hire_id,employee_id,job_id,requisition_id,hire_date,offer_date,start_date,hire_source,recruiter_employee_id,starting_salary,bonus_eligible,probation_end_date,hire_status
HIR0046,EMP0046,JOB0046,JR0046,2024-01-30,2023-12-17,2024-01-30,agency,EMP0037,111544.82,false,2024-04-29,completed
HIR0047,EMP0047,JOB0047,JR0047,2024-10-15,2024-09-16,2024-10-15,campus,EMP0003,63105.76,true,2025-01-13,completed
HIR0048,EMP0048,JOB0048,JR0048,2026-05-19,2026-05-02,2026-05-19,referral,EMP0014,73133.05,true,2026-08-17,completed
HIR0049,EMP0049,JOB0049,JR0049,2019-12-09,2019-11-27,2019-12-09,agency,EMP0050,99205.46,true,2020-03-08,completed
HIR0050,EMP0050,JOB0050,JR0050,2026-02-11,2026-01-02,2026-02-11,referral,EMP0031,71343.83,false,2026-05-12,completed
HIR0051,EMP0051,JOB0051,JR0051,2020-12-31,2020-12-04,2020-12-31,internal,EMP0024,72310.63,true,2021-03-31,completed
HIR0052,EMP0052,JOB0052,JR0052,2022-09-02,2022-07-30,2022-09-02,linkedin,EMP0013,57317.29,true,2022-12-01,completed
HIR0053,EMP0053,JOB0053,JR0053,2023-12-06,2023-11-28,2023-12-06,agency,EMP0016,45746.38,false,2024-03-05,completed
HIR0054,EMP0054,JOB0054,JR0054,2023-04-10,2023-03-06,2023-04-10,agency,EMP0010,58043.02,true,2023-07-09,completed
HIR0055,EMP0055,JOB0055,JR0055,2023-06-09,2023-05-22,2023-06-09,referral,EMP0046,60649.49,true,2023-09-07,completed
HIR0056,EMP0056,JOB0056,JR0056,2018-08-04,2018-07-25,2018-08-04,campus,EMP0033,69187.03,true,2018-11-02,completed
HIR0057,EMP0057,JOB0057,JR0057,2017-08-13,2017-07-27,2017-08-13,internal,EMP0010,72385.61,false,2017-11-11,completed
HIR0058,EMP0058,JOB0058,JR0058,2026-05-24,2026-04-22,2026-05-24,campus,EMP0009,152455.21,true,2026-08-22,completed
HIR0059,EMP0059,JOB0059,JR0059,2018-01-30,2017-12-20,2018-01-30,referral,EMP0024,86357.92,false,2018-04-30,completed
HIR0060,EMP0060,JOB0060,JR0060,2019-04-03,2019-02-19,2019-04-03,linkedin,EMP0017,24815.82,true,2019-07-02,completed
HIR0061,EMP0061,JOB0061,JR0061,2015-05-09,2015-04-23,2015-05-09,internal,EMP0001,84137.08,false,2015-08-07,completed
HIR0062,EMP0062,JOB0062,JR0062,2015-05-03,2015-04-18,2015-05-03,referral,EMP0036,162382.05,false,2015-08-01,completed
HIR0063,EMP0063,JOB0063,JR0063,2025-02-07,2024-12-28,2025-02-07,referral,EMP0032,82040.25,true,2025-05-08,completed
HIR0064,EMP0064,JOB0064,JR0064,2014-11-20,2014-11-11,2014-11-20,referral,EMP0035,73858.34,false,2015-02-18,completed
HIR0065,EMP0065,JOB0065,JR0065,2023-09-01,2023-07-26,2023-09-01,careers_site,EMP0011,58020.03,true,2023-11-30,completed
HIR0066,EMP0066,JOB0066,JR0066,2014-11-24,2014-10-28,2014-11-24,campus,EMP0021,165355.50,true,2015-02-22,completed
HIR0067,EMP0067,JOB0067,JR0067,2017-02-02,2017-01-17,2017-02-02,campus,EMP0044,151458.63,false,2017-05-03,completed
HIR0068,EMP0068,JOB0068,JR0068,2015-08-12,2015-07-31,2015-08-12,campus,EMP0036,74998.05,true,2015-11-10,completed
HIR0069,EMP0069,JOB0069,JR0069,2016-05-09,2016-03-31,2016-05-09,agency,EMP0012,191741.73,true,2016-08-07,completed
HIR0070,EMP0070,JOB0070,JR0070,2019-11-04,2019-09-26,2019-11-04,agency,EMP0043,152685.05,true,2020-02-02,completed
HIR0071,EMP0071,JOB0071,JR0071,2022-12-24,2022-12-17,2022-12-24,campus,EMP0025,73251.14,true,2023-03-24,completed
HIR0072,EMP0072,JOB0072,JR0072,2025-12-02,2025-11-12,2025-12-02,campus,EMP0005,175946.33,false,2026-03-02,completed
HIR0073,EMP0073,JOB0073,JR0073,2020-11-20,2020-11-01,2020-11-20,internal,EMP0037,113165.70,true,2021-02-18,completed
HIR0074,EMP0074,JOB0074,JR0074,2018-12-10,2018-11-27,2018-12-10,careers_site,EMP0014,46168.17,false,2019-03-10,completed
HIR0075,EMP0075,JOB0075,JR0075,2022-05-28,2022-04-19,2022-05-28,linkedin,EMP0039,128473.10,true,2022-08-26,completed
HIR0076,EMP0076,JOB0076,JR0076,2019-07-09,2019-06-28,2019-07-09,linkedin,EMP0029,188106.54,true,2019-10-07,completed
HIR0077,EMP0077,JOB0077,JR0077,2024-02-15,2024-01-24,2024-02-15,referral,EMP0040,22031.69,false,2024-05-15,completed
HIR0078,EMP0078,JOB0078,JR0078,2021-10-12,2021-10-03,2021-10-12,internal,EMP0001,188548.24,true,2022-01-10,completed
HIR0079,EMP0079,JOB0079,JR0079,2026-05-05,2026-04-13,2026-05-05,campus,EMP0047,60771.91,false,2026-08-03,completed
HIR0080,EMP0080,JOB0080,JR0080,2022-10-08,2022-09-26,2022-10-08,careers_site,EMP0004,73355.18,true,2023-01-06,completed
HIR0081,EMP0081,JOB0081,JR0081,2025-09-18,2025-08-18,2025-09-18,referral,EMP0003,161446.94,false,2025-12-17,completed
HIR0082,EMP0082,JOB0082,JR0082,2018-07-17,2018-07-08,2018-07-17,agency,EMP0029,71147.74,true,2018-10-15,completed
HIR0083,EMP0083,JOB0083,JR0083,2016-10-03,2016-08-19,2016-10-03,referral,EMP0019,206698.38,false,2017-01-01,completed
HIR0084,EMP0084,JOB0084,JR0084,2025-03-31,2025-02-14,2025-03-31,agency,EMP0027,75498.40,true,2025-06-29,completed
HIR0085,EMP0085,JOB0085,JR0085,2019-09-08,2019-07-31,2019-09-08,campus,EMP0024,70608.18,false,2019-12-07,completed
HIR0086,EMP0086,JOB0086,JR0086,2016-09-28,2016-08-14,2016-09-28,internal,EMP0028,29392.86,true,2016-12-27,completed
HIR0087,EMP0087,JOB0087,JR0087,2019-06-30,2019-06-05,2019-06-30,referral,EMP0030,178960.83,false,2019-09-28,completed
HIR0088,EMP0088,JOB0088,JR0088,2020-05-17,2020-05-08,2020-05-17,agency,EMP0032,205033.84,true,2020-08-15,completed
HIR0089,EMP0089,JOB0089,JR0089,2022-04-06,2022-03-05,2022-04-06,internal,EMP0020,177426.35,false,2022-07-05,completed
HIR0090,EMP0090,JOB0090,JR0090,2023-09-03,2023-08-19,2023-09-03,internal,EMP0005,55773.09,true,2023-12-02,completed
HIR0091,EMP0091,JOB0091,JR0091,2020-02-05,2020-01-21,2020-02-05,campus,EMP0007,17116.62,true,2020-05-05,completed
HIR0092,EMP0092,JOB0092,JR0092,2023-10-17,2023-09-21,2023-10-17,agency,EMP0049,85990.33,true,2024-01-15,completed
HIR0093,EMP0093,JOB0093,JR0093,2021-11-02,2021-10-21,2021-11-02,referral,EMP0001,64933.16,true,2022-01-31,completed
HIR0094,EMP0094,JOB0094,JR0094,2017-09-24,2017-08-30,2017-09-24,careers_site,EMP0035,21011.00,false,2017-12-23,completed
HIR0095,EMP0095,JOB0095,JR0095,2021-02-20,2021-01-21,2021-02-20,internal,EMP0003,170966.04,false,2021-05-21,completed
HIR0096,EMP0096,JOB0096,JR0096,2022-03-02,2022-02-23,2022-03-02,careers_site,EMP0031,202046.44,true,2022-05-31,completed
HIR0097,EMP0097,JOB0097,JR0097,2026-06-03,2026-05-18,2026-06-03,careers_site,EMP0001,85033.55,true,2026-09-01,completed
HIR0098,EMP0098,JOB0098,JR0098,2023-04-28,2023-03-24,2023-04-28,agency,EMP0014,34588.16,true,2023-07-27,completed
HIR0099,EMP0099,JOB0099,JR0099,2017-02-28,2017-01-15,2017-02-28,linkedin,EMP0050,119672.74,false,2017-05-29,completed
HIR0100,EMP0100,JOB0100,JR0100,2021-03-12,2021-03-03,2021-03-12,campus,EMP0044,203842.44,false,2021-06-10,completed
HIR0101,EMP0101,JOB0101,JR0101,2018-07-29,2018-07-06,2018-07-29,campus,EMP0047,202824.76,true,2018-10-27,completed
HIR0102,EMP0102,JOB0102,JR0102,2018-02-03,2017-12-26,2018-02-03,agency,EMP0019,72760.04,true,2018-05-04,completed
HIR0103,EMP0103,JOB0103,JR0103,2023-05-14,2023-04-13,2023-05-14,agency,EMP0002,148840.71,true,2023-08-12,completed
HIR0104,EMP0104,JOB0104,JR0104,2017-10-18,2017-10-09,2017-10-18,campus,EMP0035,94652.93,true,2018-01-16,completed
HIR0105,EMP0105,JOB0105,JR0105,2024-10-03,2024-08-30,2024-10-03,referral,EMP0045,75834.58,true,2025-01-01,completed
HIR0106,EMP0106,JOB0106,JR0106,2025-10-05,2025-09-01,2025-10-05,linkedin,EMP0025,29428.16,true,2026-01-03,completed
HIR0107,EMP0107,JOB0107,JR0107,2017-09-19,2017-08-13,2017-09-19,linkedin,EMP0022,121382.55,true,2017-12-18,completed
HIR0108,EMP0108,JOB0108,JR0108,2014-12-15,2014-12-04,2014-12-15,linkedin,EMP0015,178430.68,true,2015-03-15,completed
HIR0109,EMP0109,JOB0109,JR0109,2019-08-16,2019-07-08,2019-08-16,referral,EMP0044,188487.11,false,2019-11-14,completed
HIR0110,EMP0110,JOB0110,JR0110,2024-06-12,2024-05-31,2024-06-12,campus,EMP0033,100850.77,true,2024-09-10,completed
HIR0111,EMP0111,JOB0111,JR0111,2018-08-24,2018-07-31,2018-08-24,internal,EMP0034,89960.67,true,2018-11-22,completed
HIR0112,EMP0112,JOB0112,JR0112,2019-07-02,2019-05-23,2019-07-02,careers_site,EMP0028,76138.11,false,2019-09-30,completed
HIR0113,EMP0113,JOB0113,JR0113,2019-03-18,2019-02-14,2019-03-18,linkedin,EMP0048,203638.59,false,2019-06-16,completed
HIR0114,EMP0114,JOB0114,JR0114,2022-01-08,2021-12-14,2022-01-08,referral,EMP0012,60197.60,true,2022-04-08,completed
HIR0115,EMP0115,JOB0115,JR0115,2022-06-25,2022-06-17,2022-06-25,linkedin,EMP0013,202635.16,true,2022-09-23,completed
HIR0116,EMP0116,JOB0116,JR0116,2020-02-28,2020-02-14,2020-02-28,agency,EMP0038,33863.60,false,2020-05-28,completed
HIR0117,EMP0117,JOB0117,JR0117,2015-10-13,2015-09-27,2015-10-13,referral,EMP0002,177689.81,true,2016-01-11,completed
HIR0118,EMP0118,JOB0118,JR0118,2019-03-19,2019-02-20,2019-03-19,campus,EMP0044,192483.37,false,2019-06-17,completed
HIR0119,EMP0119,JOB0119,JR0119,2024-02-28,2024-02-08,2024-02-28,internal,EMP0034,46390.23,false,2024-05-28,completed
HIR0120,EMP0120,JOB0120,JR0120,2017-04-07,2017-03-01,2017-04-07,careers_site,EMP0040,166220.53,false,2017-07-06,completed
HIR0121,EMP0121,JOB0121,JR0121,2022-06-28,2022-05-29,2022-06-28,careers_site,EMP0044,110667.42,true,2022-09-26,completed
HIR0122,EMP0122,JOB0122,JR0122,2015-01-30,2014-12-31,2015-01-30,agency,EMP0025,120983.18,false,2015-04-30,completed
HIR0123,EMP0123,JOB0123,JR0123,2024-07-03,2024-06-12,2024-07-03,linkedin,EMP0023,189609.53,false,2024-10-01,completed
HIR0124,EMP0124,JOB0124,JR0124,2016-08-21,2016-07-13,2016-08-21,campus,EMP0023,61236.39,true,2016-11-19,completed
HIR0125,EMP0125,JOB0125,JR0125,2016-03-22,2016-03-08,2016-03-22,agency,EMP0010,161792.27,false,2016-06-20,completed
HIR0126,EMP0126,JOB0126,JR0126,2019-05-31,2019-04-26,2019-05-31,linkedin,EMP0020,179834.35,true,2019-08-29,completed
HIR0127,EMP0127,JOB0127,JR0127,2024-03-13,2024-02-06,2024-03-13,linkedin,EMP0047,61187.72,true,2024-06-11,completed
HIR0128,EMP0128,JOB0128,JR0128,2015-06-19,2015-06-09,2015-06-19,careers_site,EMP0032,166886.66,true,2015-09-17,completed
HIR0129,EMP0129,JOB0129,JR0129,2018-06-06,2018-05-29,2018-06-06,careers_site,EMP0022,62676.92,true,2018-09-04,completed
HIR0130,EMP0130,JOB0130,JR0130,2023-10-13,2023-09-10,2023-10-13,careers_site,EMP0003,149525.84,true,2024-01-11,completed
HIR0131,EMP0131,JOB0131,JR0131,2021-12-16,2021-11-17,2021-12-16,agency,EMP0022,123919.32,false,2022-03-16,completed
HIR0132,EMP0132,JOB0132,JR0132,2026-06-09,2026-05-24,2026-06-09,careers_site,EMP0001,99555.30,true,2026-09-07,completed
HIR0133,EMP0133,JOB0133,JR0133,2017-09-30,2017-08-21,2017-09-30,linkedin,EMP0021,108268.37,true,2017-12-29,completed
HIR0134,EMP0134,JOB0134,JR0134,2018-07-15,2018-06-11,2018-07-15,agency,EMP0044,175796.38,true,2018-10-13,completed
HIR0135,EMP0135,JOB0135,JR0135,2018-04-25,2018-04-09,2018-04-25,careers_site,EMP0012,177106.94,true,2018-07-24,completed
HIR0136,EMP0136,JOB0136,JR0136,2016-09-19,2016-09-06,2016-09-19,careers_site,EMP0015,162922.54,false,2016-12-18,completed
HIR0137,EMP0137,JOB0137,JR0137,2022-08-03,2022-07-16,2022-08-03,referral,EMP0014,106484.64,true,2022-11-01,completed
HIR0138,EMP0138,JOB0138,JR0138,2019-06-11,2019-05-17,2019-06-11,linkedin,EMP0018,162812.95,true,2019-09-09,completed
HIR0139,EMP0139,JOB0139,JR0139,2023-08-27,2023-07-24,2023-08-27,linkedin,EMP0043,80273.45,true,2023-11-25,completed
HIR0140,EMP0140,JOB0140,JR0140,2024-10-19,2024-10-01,2024-10-19,campus,EMP0008,53977.10,false,2025-01-17,completed
HIR0141,EMP0141,JOB0141,JR0141,2020-10-21,2020-09-26,2020-10-21,agency,EMP0010,187248.23,true,2021-01-19,completed
HIR0142,EMP0142,JOB0142,JR0142,2018-05-11,2018-04-05,2018-05-11,careers_site,EMP0002,152097.57,true,2018-08-09,completed
HIR0143,EMP0143,JOB0143,JR0143,2024-06-16,2024-05-08,2024-06-16,campus,EMP0029,190234.11,false,2024-09-14,completed
HIR0144,EMP0144,JOB0144,JR0144,2014-10-25,2014-10-16,2014-10-25,careers_site,EMP0027,61221.65,false,2015-01-23,completed
HIR0145,EMP0145,JOB0145,JR0145,2020-02-08,2020-01-25,2020-02-08,internal,EMP0031,110721.34,true,2020-05-08,completed
HIR0146,EMP0146,JOB0146,JR0146,2017-09-26,2017-08-14,2017-09-26,agency,EMP0018,98905.02,true,2017-12-25,completed
HIR0147,EMP0147,JOB0147,JR0147,2025-02-26,2025-01-24,2025-02-26,careers_site,EMP0039,60070.04,false,2025-05-27,completed
HIR0148,EMP0148,JOB0148,JR0148,2022-09-09,2022-08-06,2022-09-09,internal,EMP0037,81872.14,false,2022-12-08,completed
HIR0149,EMP0149,JOB0149,JR0149,2016-03-27,2016-02-21,2016-03-27,referral,EMP0015,21984.61,true,2016-06-25,completed
HIR0150,EMP0150,JOB0150,JR0150,2017-06-13,2017-05-05,2017-06-13,internal,EMP0043,56873.04,true,2017-09-11,completed
HIR0151,EMP0151,JOB0151,JR0151,2017-03-07,2017-02-04,2017-03-07,linkedin,EMP0044,148623.24,true,2017-06-05,completed
HIR0152,EMP0152,JOB0152,JR0152,2022-02-26,2022-02-06,2022-02-26,agency,EMP0023,136707.00,true,2022-05-27,completed
HIR0153,EMP0153,JOB0153,JR0153,2021-02-01,2020-12-22,2021-02-01,internal,EMP0015,16698.66,true,2021-05-02,completed
HIR0154,EMP0154,JOB0154,JR0154,2017-11-15,2017-10-01,2017-11-15,careers_site,EMP0009,168416.99,true,2018-02-13,completed
HIR0155,EMP0155,JOB0155,JR0155,2024-03-31,2024-03-13,2024-03-31,internal,EMP0002,151181.98,true,2024-06-29,completed
HIR0156,EMP0156,JOB0156,JR0156,2017-06-02,2017-04-29,2017-06-02,agency,EMP0015,147694.83,false,2017-08-31,completed
HIR0157,EMP0157,JOB0157,JR0157,2017-01-19,2017-01-06,2017-01-19,campus,EMP0017,125775.49,false,2017-04-19,completed
HIR0158,EMP0158,JOB0158,JR0158,2016-07-19,2016-06-19,2016-07-19,campus,EMP0031,53344.89,true,2016-10-17,completed
HIR0159,EMP0159,JOB0159,JR0159,2026-06-29,2026-05-28,2026-06-29,referral,EMP0020,57356.43,true,2026-09-27,completed
HIR0160,EMP0160,JOB0160,JR0160,2025-02-07,2025-01-26,2025-02-07,internal,EMP0050,175417.38,false,2025-05-08,completed
HIR0161,EMP0161,JOB0161,JR0161,2015-08-18,2015-07-18,2015-08-18,careers_site,EMP0028,84162.26,false,2015-11-16,completed
HIR0162,EMP0162,JOB0162,JR0162,2018-08-06,2018-06-27,2018-08-06,careers_site,EMP0025,202278.75,false,2018-11-04,completed
HIR0163,EMP0163,JOB0163,JR0163,2021-09-26,2021-09-03,2021-09-26,internal,EMP0043,131897.06,true,2021-12-25,completed
HIR0164,EMP0164,JOB0164,JR0164,2016-05-29,2016-05-17,2016-05-29,referral,EMP0010,129334.59,false,2016-08-27,completed
HIR0165,EMP0165,JOB0165,JR0165,2021-03-25,2021-03-09,2021-03-25,careers_site,EMP0001,152735.38,false,2021-06-23,completed
HIR0166,EMP0166,JOB0166,JR0166,2016-12-05,2016-11-11,2016-12-05,careers_site,EMP0036,70029.59,false,2017-03-05,completed
HIR0167,EMP0167,JOB0167,JR0167,2019-04-12,2019-02-26,2019-04-12,careers_site,EMP0017,36809.54,false,2019-07-11,completed
HIR0168,EMP0168,JOB0168,JR0168,2022-06-14,2022-05-18,2022-06-14,agency,EMP0048,151480.32,true,2022-09-12,completed
HIR0169,EMP0169,JOB0169,JR0169,2015-09-17,2015-08-19,2015-09-17,referral,EMP0048,177385.67,true,2015-12-16,completed
HIR0170,EMP0170,JOB0170,JR0170,2021-01-22,2020-12-15,2021-01-22,campus,EMP0038,24720.42,false,2021-04-22,completed
HIR0171,EMP0171,JOB0171,JR0171,2016-11-19,2016-11-08,2016-11-19,campus,EMP0024,83022.84,false,2017-02-17,completed
HIR0172,EMP0172,JOB0172,JR0172,2016-05-14,2016-04-30,2016-05-14,referral,EMP0030,96699.76,true,2016-08-12,completed
HIR0173,EMP0173,JOB0173,JR0173,2022-09-25,2022-08-18,2022-09-25,campus,EMP0021,94606.99,false,2022-12-24,completed
HIR0174,EMP0174,JOB0174,JR0174,2024-04-23,2024-03-27,2024-04-23,campus,EMP0040,189346.05,true,2024-07-22,completed
HIR0175,EMP0175,JOB0175,JR0175,2014-05-07,2014-04-28,2014-05-07,linkedin,EMP0046,138789.16,false,2014-08-05,completed
HIR0176,EMP0176,JOB0176,JR0176,2020-09-15,2020-08-17,2020-09-15,careers_site,EMP0008,65251.65,true,2020-12-14,completed
HIR0177,EMP0177,JOB0177,JR0177,2023-07-13,2023-06-18,2023-07-13,careers_site,EMP0047,137272.11,true,2023-10-11,completed
HIR0178,EMP0178,JOB0178,JR0178,2023-11-10,2023-10-18,2023-11-10,campus,EMP0050,121550.13,false,2024-02-08,completed
HIR0179,EMP0179,JOB0179,JR0179,2021-06-07,2021-04-24,2021-06-07,referral,EMP0049,192100.88,true,2021-09-05,completed
HIR0180,EMP0180,JOB0180,JR0180,2018-04-03,2018-02-17,2018-04-03,internal,EMP0029,124662.38,false,2018-07-02,completed
HIR0181,EMP0181,JOB0181,JR0181,2022-05-12,2022-04-03,2022-05-12,careers_site,EMP0047,137805.45,true,2022-08-10,completed
HIR0182,EMP0182,JOB0182,JR0182,2023-11-22,2023-11-11,2023-11-22,referral,EMP0042,29286.94,true,2024-02-20,completed
HIR0183,EMP0183,JOB0183,JR0183,2025-08-18,2025-07-04,2025-08-18,linkedin,EMP0034,112225.80,false,2025-11-16,completed
HIR0184,EMP0184,JOB0184,JR0184,2021-11-11,2021-10-01,2021-11-11,internal,EMP0029,165906.18,true,2022-02-09,completed
HIR0185,EMP0185,JOB0185,JR0185,2026-03-05,2026-02-24,2026-03-05,linkedin,EMP0029,99495.11,true,2026-06-03,completed
HIR0186,EMP0186,JOB0186,JR0186,2017-06-25,2017-05-15,2017-06-25,linkedin,EMP0040,153940.92,true,2017-09-23,completed
HIR0187,EMP0187,JOB0187,JR0187,2018-05-23,2018-04-27,2018-05-23,referral,EMP0038,58142.85,false,2018-08-21,completed
HIR0188,EMP0188,JOB0188,JR0188,2020-01-08,2019-12-30,2020-01-08,campus,EMP0004,125926.00,true,2020-04-07,completed
HIR0189,EMP0189,JOB0189,JR0189,2017-07-01,2017-06-22,2017-07-01,referral,EMP0030,21320.24,true,2017-09-29,completed
HIR0190,EMP0190,JOB0190,JR0190,2019-05-07,2019-04-28,2019-05-07,referral,EMP0010,165926.24,true,2019-08-05,completed
HIR0191,EMP0191,JOB0191,JR0191,2020-12-31,2020-11-30,2020-12-31,careers_site,EMP0039,94951.23,true,2021-03-31,completed
HIR0192,EMP0192,JOB0192,JR0192,2025-11-06,2025-10-11,2025-11-06,internal,EMP0006,134485.09,true,2026-02-04,completed
HIR0193,EMP0193,JOB0193,JR0193,2022-12-11,2022-12-01,2022-12-11,internal,EMP0025,18119.46,true,2023-03-11,completed
HIR0194,EMP0194,JOB0194,JR0194,2016-01-15,2015-12-25,2016-01-15,careers_site,EMP0027,70515.92,true,2016-04-14,completed
HIR0195,EMP0195,JOB0195,JR0195,2014-05-03,2014-03-31,2014-05-03,referral,EMP0002,30416.15,true,2014-08-01,completed
HIR0196,EMP0196,JOB0196,JR0196,2017-04-01,2017-02-18,2017-04-01,agency,EMP0002,185932.00,false,2017-06-30,completed
