termination_id,employee_id,job_id,termination_date,last_working_day,notice_date,termination_type,termination_reason,rehire_eligible,exit_interview_completed,initiated_by,department
TRM0032,EMP0032,JOB0032,2023-11-22,2023-11-22,2023-10-25,contract_end,end_of_contract,true,false,system,Security
TRM0033,EMP0033,JOB0033,2024-11-30,2024-11-30,2024-11-06,retirement,performance,true,true,employee,HR
TRM0034,EMP0034,JOB0034,2025-01-29,2025-01-29,2025-01-16,voluntary,restructuring,true,false,hr,Facilities
TRM0035,EMP0035,JOB0035,2019-02-13,2019-02-13,2019-02-01,contract_end,end_of_contract,true,true,manager,IT
TRM0036,EMP0036,JOB0036,2022-10-24,2022-10-24,2022-10-05,voluntary,relocation,true,false,employee,Data
TRM0037,EMP0037,JOB0037,2021-12-08,2021-12-08,2021-12-08,voluntary,attendance,true,false,employee,Facilities
TRM0038,EMP0038,JOB0038,2025-12-04,2025-12-04,2025-12-02,voluntary,retirement,true,false,hr,Marketing
TRM0039,EMP0039,JOB0039,2022-06-30,2022-06-30,2022-06-06,voluntary,performance,false,false,hr,Data
TRM0040,EMP0040,JOB0040,2020-10-06,2020-10-06,2020-09-30,contract_end,voluntary_resignation,false,true,manager,IT
TRM0041,EMP0041,JOB0041,2022-10-13,2022-10-13,2022-09-17,retirement,end_of_contract,true,true,manager,IT
TRM0042,EMP0042,JOB0042,2025-04-10,2025-04-10,2025-04-01,contract_end,restructuring,true,true,employee,Marketing
TRM0043,EMP0043,JOB0043,2023-11-25,2023-11-25,2023-11-15,retirement,performance,false,false,system,Operations
TRM0044,EMP0044,JOB0044,2022-09-05,2022-09-05,2022-08-07,involuntary,end_of_contract,true,true,manager,Operations
TRM0045,EMP0045,JOB0045,2023-05-25,2023-05-25,2023-05-05,involuntary,end_of_contract,true,true,hr,HR
TRM0046,EMP0046,JOB0046,2025-05-15,2025-05-15,2025-04-20,retirement,voluntary_resignation,true,false,hr,Operations
TRM0047,EMP0047,JOB0047,2026-07-27,2026-07-27,2026-07-09,contract_end,performance,false,true,system,Sales
TRM0048,EMP0048,JOB0048,2026-07-30,2026-07-30,2026-07-12,voluntary,mutual_agreement,true,true,employee,HR
TRM0049,EMP0049,JOB0049,2023-05-17,2023-05-17,2023-04-25,retirement,relocation,true,true,manager,Product
TRM0050,EMP0050,JOB0050,2026-06-27,2026-06-27,2026-06-13,involuntary,restructuring,false,true,employee,IT
TRM0051,EMP0051,JOB0051,2026-06-21,2026-06-21,2026-05-27,voluntary,mutual_agreement,false,true,hr,Security
TRM0052,EMP0052,JOB0052,2023-06-18,2023-06-18,2023-06-05,retirement,retirement,true,false,system,Supply Chain
TRM0053,EMP0053,JOB0053,2026-02-17,2026-02-17,2026-01-26,involuntary,mutual_agreement,false,true,hr,Legal
TRM0054,EMP0054,JOB0054,2023-07-26,2023-07-26,2023-07-09,retirement,end_of_contract,false,false,manager,Data
TRM0055,EMP0055,JOB0055,2024-08-13,2024-08-13,2024-07-24,voluntary,performance,false,true,employee,Operations
TRM0056,EMP0056,JOB0056,2022-03-02,2022-03-02,2022-02-01,voluntary,retirement,true,false,manager,Engineering
TRM0057,EMP0057,JOB0057,2020-07-31,2020-07-31,2020-07-01,contract_end,relocation,true,true,hr,Finance
TRM0058,EMP0058,JOB0058,2026-08-22,2026-08-22,2026-08-22,contract_end,restructuring,false,true,manager,Marketing
TRM0059,EMP0059,JOB0059,2026-05-22,2026-05-22,2026-04-28,involuntary,voluntary_resignation,true,true,system,HR
TRM0060,EMP0060,JOB0060,2024-04-07,2024-04-07,2024-03-14,contract_end,mutual_agreement,false,false,manager,Supply Chain
TRM0061,EMP0061,JOB0061,2023-11-08,2023-11-08,2023-10-29,contract_end,voluntary_resignation,false,false,hr,Sales
TRM0062,EMP0062,JOB0062,2022-05-23,2022-05-23,2022-04-26,involuntary,restructuring,true,false,system,Legal
TRM0063,EMP0063,JOB0063,2025-10-11,2025-10-11,2025-10-05,voluntary,retirement,false,true,manager,Legal
TRM0064,EMP0064,JOB0064,2024-10-14,2024-10-14,2024-09-19,retirement,relocation,false,false,hr,Marketing
TRM0065,EMP0065,JOB0065,2026-07-24,2026-07-24,2026-06-29,voluntary,end_of_contract,false,true,system,Product
TRM0066,EMP0066,JOB0066,2016-11-07,2016-11-07,2016-11-05,involuntary,restructuring,true,false,system,Facilities
TRM0067,EMP0067,JOB0067,2026-01-18,2026-01-18,2026-01-10,retirement,retirement,false,false,system,Sales
TRM0068,EMP0068,JOB0068,2019-07-27,2019-07-27,2019-07-02,voluntary,relocation,false,false,hr,Marketing
TRM0069,EMP0069,JOB0069,2025-09-12,2025-09-12,2025-08-17,retirement,relocation,true,false,manager,Security
TRM0070,EMP0070,JOB0070,2021-10-05,2021-10-05,2021-09-15,retirement,retirement,false,true,system,IT
TRM0071,EMP0071,JOB0071,2023-09-03,2023-09-03,2023-08-04,voluntary,end_of_contract,false,false,system,Customer Success
TRM0072,EMP0072,JOB0072,2026-08-03,2026-08-03,2026-08-02,retirement,end_of_contract,false,false,system,Finance
TRM0073,EMP0073,JOB0073,2023-01-28,2023-01-28,2023-01-20,retirement,end_of_contract,false,false,employee,Engineering
TRM0074,EMP0074,JOB0074,2022-08-31,2022-08-31,2022-08-04,voluntary,voluntary_resignation,true,false,system,Operations
TRM0075,EMP0075,JOB0075,2023-03-02,2023-03-02,2023-02-21,voluntary,voluntary_resignation,true,false,manager,Engineering
TRM0076,EMP0076,JOB0076,2023-01-19,2023-01-19,2023-01-05,involuntary,restructuring,false,false,manager,Security
TRM0077,EMP0077,JOB0077,2025-05-10,2025-05-10,2025-05-09,retirement,restructuring,true,false,manager,Operations
TRM0078,EMP0078,JOB0078,2024-03-24,2024-03-24,2024-03-02,contract_end,better_opportunity,true,true,employee,Marketing
TRM0079,EMP0079,JOB0079,2026-07-18,2026-07-18,2026-07-18,retirement,end_of_contract,true,false,manager,Sales
TRM0080,EMP0080,JOB0080,2024-08-19,2024-08-19,2024-08-19,voluntary,better_opportunity,false,false,hr,Product
TRM0081,EMP0081,JOB0081,2026-04-04,2026-04-04,2026-03-06,retirement,attendance,true,true,system,Finance
TRM0082,EMP0082,JOB0082,2024-11-17,2024-11-17,2024-10-19,retirement,relocation,false,true,hr,Data
TRM0083,EMP0083,JOB0083,2017-09-26,2017-09-26,2017-08-29,voluntary,performance,true,true,manager,Data
TRM0084,EMP0084,JOB0084,2026-01-29,2026-01-29,2026-01-23,involuntary,voluntary_resignation,true,true,hr,HR
TRM0085,EMP0085,JOB0085,2022-05-09,2022-05-09,2022-05-08,contract_end,retirement,false,false,system,Product
TRM0086,EMP0086,JOB0086,2021-04-12,2021-04-12,2021-03-19,contract_end,better_opportunity,true,true,manager,Product
TRM0087,EMP0087,JOB0087,2021-04-14,2021-04-14,2021-03-19,contract_end,relocation,true,true,hr,Product
TRM0088,EMP0088,JOB0088,2023-06-11,2023-06-11,2023-05-14,retirement,restructuring,true,false,employee,Engineering
TRM0089,EMP0089,JOB0089,2026-01-09,2026-01-09,2025-12-28,involuntary,attendance,true,true,hr,Data
TRM0090,EMP0090,JOB0090,2026-02-08,2026-02-08,2026-01-30,contract_end,retirement,true,true,manager,Operations
TRM0091,EMP0091,JOB0091,2025-03-30,2025-03-30,2025-03-04,contract_end,relocation,false,false,manager,Finance
TRM0092,EMP0092,JOB0092,2025-01-23,2025-01-23,2025-01-08,involuntary,end_of_contract,true,true,system,IT
TRM0093,EMP0093,JOB0093,2022-10-11,2022-10-11,2022-09-19,voluntary,end_of_contract,true,true,employee,Security
TRM0094,EMP0094,JOB0094,2025-01-15,2025-01-15,2024-12-29,contract_end,restructuring,true,true,hr,Product
TRM0095,EMP0095,JOB0095,2021-12-20,2021-12-20,2021-12-08,voluntary,mutual_agreement,false,true,manager,Sales
TRM0096,EMP0096,JOB0096,2026-04-20,2026-04-20,2026-03-25,voluntary,relocation,true,true,system,Legal
TRM0097,EMP0097,JOB0097,2026-09-01,2026-09-01,2026-08-22,contract_end,relocation,false,true,hr,Facilities
TRM0098,EMP0098,JOB0098,2024-12-31,2024-12-31,2024-12-20,retirement,better_opportunity,true,true,manager,Product
TRM0099,EMP0099,JOB0099,2024-11-08,2024-11-08,2024-10-29,contract_end,attendance,false,true,system,Product
TRM0100,EMP0100,JOB0100,2023-02-09,2023-02-09,2023-01-10,involuntary,performance,false,true,system,Finance
TRM0101,EMP0101,JOB0101,2026-04-11,2026-04-11,2026-04-01,retirement,end_of_contract,false,false,employee,Finance
TRM0102,EMP0102,JOB0102,2021-08-05,2021-08-05,2021-07-25,involuntary,relocation,false,false,manager,Security
TRM0103,EMP0103,JOB0103,2023-11-13,2023-11-13,2023-11-04,retirement,end_of_contract,true,false,manager,Security
TRM0104,EMP0104,JOB0104,2020-05-15,2020-05-15,2020-04-22,retirement,better_opportunity,false,true,hr,Marketing
TRM0105,EMP0105,JOB0105,2026-06-23,2026-06-23,2026-06-17,contract_end,restructuring,false,false,system,Security
TRM0106,EMP0106,JOB0106,2026-07-15,2026-07-15,2026-06-15,retirement,better_opportunity,false,true,manager,Finance
TRM0107,EMP0107,JOB0107,2025-05-19,2025-05-19,2025-04-30,involuntary,relocation,false,true,employee,Facilities
TRM0108,EMP0108,JOB0108,2016-01-03,2016-01-03,2016-01-03,involuntary,relocation,true,false,hr,HR
TRM0109,EMP0109,JOB0109,2025-09-20,2025-09-20,2025-09-11,retirement,restructuring,true,false,hr,Supply Chain
TRM0110,EMP0110,JOB0110,2026-01-22,2026-01-22,2026-01-21,retirement,relocation,true,true,hr,IT
TRM0111,EMP0111,JOB0111,2024-11-23,2024-11-23,2024-11-11,involuntary,retirement,false,false,hr,Security
TRM0112,EMP0112,JOB0112,2024-09-05,2024-09-05,2024-08-08,retirement,mutual_agreement,false,false,system,Facilities
TRM0113,EMP0113,JOB0113,2022-10-29,2022-10-29,2022-10-24,contract_end,end_of_contract,false,true,hr,Security
TRM0114,EMP0114,JOB0114,2023-08-19,2023-08-19,2023-08-10,voluntary,retirement,true,true,hr,Sales
TRM0115,EMP0115,JOB0115,2024-07-16,2024-07-16,2024-07-01,involuntary,end_of_contract,false,false,hr,Sales
TRM0116,EMP0116,JOB0116,2024-12-25,2024-12-25,2024-12-18,contract_end,restructuring,false,true,employee,IT
TRM0117,EMP0117,JOB0117,2023-01-05,2023-01-05,2022-12-21,retirement,better_opportunity,true,true,employee,Legal
TRM0118,EMP0118,JOB0118,2020-11-07,2020-11-07,2020-10-12,involuntary,retirement,false,true,system,Sales
TRM0119,EMP0119,JOB0119,2024-10-02,2024-10-02,2024-09-30,contract_end,mutual_agreement,true,false,manager,Legal
TRM0120,EMP0120,JOB0120,2021-03-19,2021-03-19,2021-02-21,retirement,end_of_contract,false,true,hr,Facilities
TRM0121,EMP0121,JOB0121,2022-11-16,2022-11-16,2022-10-26,voluntary,performance,false,false,system,HR
TRM0122,EMP0122,JOB0122,2025-08-17,2025-08-17,2025-07-20,involuntary,performance,false,true,system,Finance
TRM0123,EMP0123,JOB0123,2025-08-18,2025-08-18,2025-08-18,involuntary,better_opportunity,true,false,system,Legal
TRM0124,EMP0124,JOB0124,2019-07-12,2019-07-12,2019-07-08,voluntary,relocation,true,false,employee,Sales
TRM0125,EMP0125,JOB0125,2020-05-04,2020-05-04,2020-04-16,voluntary,restructuring,true,true,employee,Data
TRM0126,EMP0126,JOB0126,2022-02-25,2022-02-25,2022-01-30,involuntary,performance,true,true,hr,Sales
TRM0127,EMP0127,JOB0127,2025-10-05,2025-10-05,2025-09-16,contract_end,performance,true,true,system,Security
TRM0128,EMP0128,JOB0128,2019-09-29,2019-09-29,2019-09-12,voluntary,better_opportunity,true,false,system,Sales
TRM0129,EMP0129,JOB0129,2021-04-08,2021-04-08,2021-03-20,voluntary,voluntary_resignation,true,false,system,Security
TRM0130,EMP0130,JOB0130,2024-05-13,2024-05-13,2024-04-14,retirement,attendance,false,false,manager,Operations
TRM0131,EMP0131,JOB0131,2023-06-14,2023-06-14,2023-05-21,retirement,retirement,true,false,manager,Data
TRM0132,EMP0132,JOB0132,2026-09-07,2026-09-07,2026-08-15,retirement,end_of_contract,false,true,manager,Facilities
TRM0133,EMP0133,JOB0133,2020-02-14,2020-02-14,2020-02-08,involuntary,end_of_contract,true,false,hr,IT
TRM0134,EMP0134,JOB0134,2026-05-22,2026-05-22,2026-04-26,contract_end,better_opportunity,true,true,hr,Product
TRM0135,EMP0135,JOB0135,2023-02-23,2023-02-23,2023-02-08,voluntary,better_opportunity,true,true,manager,Operations
TRM0136,EMP0136,JOB0136,2018-10-19,2018-10-19,2018-09-30,retirement,voluntary_resignation,true,true,manager,Sales
TRM0137,EMP0137,JOB0137,2023-10-18,2023-10-18,2023-10-10,voluntary,retirement,false,true,manager,HR
TRM0138,EMP0138,JOB0138,2026-03-12,2026-03-12,2026-02-12,voluntary,end_of_contract,true,true,system,Engineering
TRM0139,EMP0139,JOB0139,2026-05-02,2026-05-02,2026-04-11,retirement,voluntary_resignation,true,true,manager,IT
TRM0140,EMP0140,JOB0140,2024-12-30,2024-12-30,2024-12-12,contract_end,retirement,true,true,hr,IT
TRM0141,EMP0141,JOB0141,2025-02-10,2025-02-10,2025-01-21,contract_end,performance,true,false,hr,Marketing
TRM0142,EMP0142,JOB0142,2021-07-31,2021-07-31,2021-07-27,retirement,attendance,true,true,employee,Operations
TRM0143,EMP0143,JOB0143,2025-07-04,2025-07-04,2025-06-10,voluntary,mutual_agreement,true,false,employee,Product
TRM0144,EMP0144,JOB0144,2016-10-15,2016-10-15,2016-10-13,contract_end,restructuring,true,true,manager,Supply Chain
TRM0145,EMP0145,JOB0145,2026-06-17,2026-06-17,2026-05-30,retirement,retirement,true,true,manager,Marketing
TRM0146,EMP0146,JOB0146,2022-05-16,2022-05-16,2022-05-12,involuntary,better_opportunity,false,true,employee,Engineering
TRM0147,EMP0147,JOB0147,2026-07-22,2026-07-22,2026-07-15,retirement,retirement,false,false,hr,Marketing
TRM0148,EMP0148,JOB0148,2026-03-14,2026-03-14,2026-03-08,voluntary,restructuring,false,true,hr,Facilities
TRM0149,EMP0149,JOB0149,2022-04-23,2022-04-23,2022-03-25,involuntary,restructuring,true,false,hr,Facilities
TRM0150,EMP0150,JOB0150,2024-05-22,2024-05-22,2024-05-10,voluntary,restructuring,true,true,hr,Product
TRM0151,EMP0151,JOB0151,2023-05-20,2023-05-20,2023-04-28,contract_end,better_opportunity,true,false,employee,Product
TRM0152,EMP0152,JOB0152,2025-05-28,2025-05-28,2025-05-13,voluntary,voluntary_resignation,true,true,hr,HR
TRM0153,EMP0153,JOB0153,2026-05-22,2026-05-22,2026-05-16,contract_end,restructuring,true,true,system,Security
TRM0154,EMP0154,JOB0154,2022-04-28,2022-04-28,2022-04-18,retirement,restructuring,true,false,system,IT
TRM0155,EMP0155,JOB0155,2025-08-18,2025-08-18,2025-08-16,involuntary,restructuring,true,false,hr,Engineering
TRM0156,EMP0156,JOB0156,2026-07-20,2026-07-20,2026-06-20,voluntary,voluntary_resignation,false,true,employee,Security
TRM0157,EMP0157,JOB0157,2024-01-12,2024-01-12,2023-12-15,involuntary,retirement,true,true,employee,Security
TRM0158,EMP0158,JOB0158,2022-02-02,2022-02-02,2022-01-31,involuntary,relocation,true,false,hr,Data
TRM0159,EMP0159,JOB0159,2026-09-27,2026-09-27,2026-08-29,voluntary,better_opportunity,true,false,system,Facilities
TRM0160,EMP0160,JOB0160,2025-12-26,2025-12-26,2025-12-07,retirement,attendance,false,true,system,Data
TRM0161,EMP0161,JOB0161,2018-03-02,2018-03-02,2018-03-01,voluntary,performance,true,true,manager,Supply Chain
TRM0162,EMP0162,JOB0162,2025-11-27,2025-11-27,2025-11-27,contract_end,end_of_contract,true,true,employee,Product
TRM0163,EMP0163,JOB0163,2025-06-19,2025-06-19,2025-05-22,involuntary,restructuring,false,false,manager,Supply Chain
TRM0164,EMP0164,JOB0164,2021-05-05,2021-05-05,2021-05-05,involuntary,attendance,true,true,system,Marketing
TRM0165,EMP0165,JOB0165,2025-10-29,2025-10-29,2025-09-29,involuntary,retirement,true,false,manager,Customer Success
TRM0166,EMP0166,JOB0166,2020-04-10,2020-04-10,2020-03-15,retirement,better_opportunity,false,true,manager,Security
TRM0167,EMP0167,JOB0167,2024-05-25,2024-05-25,2024-05-09,retirement,retirement,false,true,manager,Facilities
TRM0168,EMP0168,JOB0168,2026-04-17,2026-04-17,2026-04-15,retirement,relocation,true,true,employee,Engineering
TRM0169,EMP0169,JOB0169,2019-03-26,2019-03-26,2019-03-17,voluntary,mutual_agreement,false,true,hr,Security
TRM0170,EMP0170,JOB0170,2024-04-11,2024-04-11,2024-04-02,voluntary,mutual_agreement,false,true,hr,Facilities
TRM0171,EMP0171,JOB0171,2023-08-01,2023-08-01,2023-07-22,voluntary,relocation,true,true,manager,Sales
TRM0172,EMP0172,JOB0172,2020-11-04,2020-11-04,2020-10-24,voluntary,voluntary_resignation,false,false,system,Legal
TRM0173,EMP0173,JOB0173,2023-04-27,2023-04-27,2023-04-03,voluntary,relocation,false,true,employee,HR
TRM0174,EMP0174,JOB0174,2025-04-17,2025-04-17,2025-03-29,voluntary,mutual_agreement,true,false,manager,Operations
TRM0175,EMP0175,JOB0175,2020-04-12,2020-04-12,2020-03-23,retirement,attendance,true,false,hr,Data
TRM0176,EMP0176,JOB0176,2023-05-18,2023-05-18,2023-04-26,voluntary,performance,false,true,manager,Operations
TRM0177,EMP0177,JOB0177,2023-10-20,2023-10-20,2023-10-09,retirement,relocation,true,true,hr,Data
TRM0178,EMP0178,JOB0178,2025-06-29,2025-06-29,2025-06-16,voluntary,retirement,false,true,hr,Finance
TRM0179,EMP0179,JOB0179,2026-02-14,2026-02-14,2026-01-20,contract_end,restructuring,true,false,system,Legal
TRM0180,EMP0180,JOB0180,2019-06-23,2019-06-23,2019-05-25,contract_end,end_of_contract,true,true,hr,Legal
TRM0181,EMP0181,JOB0181,2024-02-03,2024-02-03,2024-01-30,retirement,better_opportunity,false,true,system,Sales
TRM0182,EMP0182,JOB0182,2025-10-18,2025-10-18,2025-10-15,retirement,restructuring,true,false,hr,Product
TRM0183,EMP0183,JOB0183,2025-11-29,2025-11-29,2025-11-12,voluntary,end_of_contract,true,false,system,HR
TRM0184,EMP0184,JOB0184,2026-02-22,2026-02-22,2026-01-31,involuntary,retirement,true,false,hr,Finance
TRM0185,EMP0185,JOB0185,2026-05-19,2026-05-19,2026-05-13,contract_end,end_of_contract,true,false,system,Marketing
TRM0186,EMP0186,JOB0186,2022-12-01,2022-12-01,2022-11-19,retirement,relocation,true,false,hr,HR
TRM0187,EMP0187,JOB0187,2023-08-12,2023-08-12,2023-07-15,involuntary,mutual_agreement,true,true,hr,HR
TRM0188,EMP0188,JOB0188,2025-04-18,2025-04-18,2025-03-27,voluntary,restructuring,false,false,manager,Marketing
TRM0189,EMP0189,JOB0189,2019-08-18,2019-08-18,2019-07-25,involuntary,relocation,true,true,hr,Supply Chain
TRM0190,EMP0190,JOB0190,2025-03-15,2025-03-15,2025-02-15,retirement,performance,true,false,employee,HR
TRM0191,EMP0191,JOB0191,2021-09-21,2021-09-21,2021-09-12,voluntary,attendance,true,true,system,Sales
TRM0192,EMP0192,JOB0192,2026-05-04,2026-05-04,2026-04-17,voluntary,performance,true,true,manager,Operations
TRM0193,EMP0193,JOB0193,2023-11-28,2023-11-28,2023-11-12,retirement,end_of_contract,false,true,employee,Data
TRM0194,EMP0194,JOB0194,2017-11-02,2017-11-02,2017-10-11,voluntary,relocation,true,false,system,IT
TRM0195,EMP0195,JOB0195,2024-06-05,2024-06-05,2024-05-15,voluntary,relocation,false,true,hr,Data
TRM0196,EMP0196,JOB0196,2024-01-21,2024-01-21,2024-01-19,contract_end,restructuring,true,false,manager,HR
TRM0197,EMP0197,JOB0197,2022-09-30,2022-09-30,2022-09-16,retirement,end_of_contract,false,false,system,Finance
TRM0198,EMP0198,JOB0198,2023-10-18,2023-10-18,2023-10-01,involuntary,end_of_contract,false,true,hr,IT
TRM0199,EMP0199,JOB0199,2019-04-07,2019-04-07,2019-03-16,involuntary,attendance,false,false,system,Engineering
TRM0200,EMP0200,JOB0200,2025-07-02,2025-07-02,2025-06-10,contract_end,performance,true,false,employee,IT
TRM0201,EMP0201,JOB0201,2026-06-03,2026-06-03,2026-05-17,retirement,restructuring,true,true,employee,Finance
TRM0202,EMP0202,JOB0202,2024-10-26,2024-10-26,2024-09-28,contract_end,mutual_agreement,true,true,hr,Engineering
TRM0203,EMP0203,JOB0203,2026-04-03,2026-04-03,2026-03-19,retirement,voluntary_resignation,false,false,hr,Product
TRM0204,EMP0204,JOB0204,2025-11-04,2025-11-04,2025-11-03,contract_end,attendance,true,true,employee,Product
TRM0205,EMP0205,JOB0205,2022-08-13,2022-08-13,2022-07-29,voluntary,better_opportunity,true,true,hr,Engineering
TRM0206,EMP0206,JOB0206,2023-01-28,2023-01-28,2023-01-11,contract_end,voluntary_resignation,true,true,hr,Marketing
TRM0207,EMP0207,JOB0207,2018-08-18,2018-08-18,2018-07-19,voluntary,voluntary_resignation,true,true,system,Operations
TRM0208,EMP0208,JOB0208,2025-07-15,2025-07-15,2025-06-21,contract_end,better_opportunity,true,false,hr,Data
TRM0209,EMP0209,JOB0209,2025-10-13,2025-10-13,2025-09-16,retirement,mutual_agreement,false,false,manager,Engineering
TRM0210,EMP0210,JOB0210,2020-01-06,2020-01-06,2019-12-18,voluntary,relocation,false,false,system,Facilities
TRM0211,EMP0211,JOB0211,2022-02-02,2022-02-02,2022-01-19,voluntary,restructuring,false,false,employee,Finance
TRM0212,EMP0212,JOB0212,2020-06-19,2020-06-19,2020-06-05,voluntary,retirement,true,true,system,IT
TRM0213,EMP0213,JOB0213,2026-07-07,2026-07-07,2026-06-26,involuntary,end_of_contract,true,true,system,Marketing
TRM0214,EMP0214,JOB0214,2024-04-30,2024-04-30,2024-04-16,voluntary,end_of_contract,false,false,manager,Customer Success
TRM0215,EMP0215,JOB0215,2025-10-12,2025-10-12,2025-09-27,retirement,restructuring,true,false,hr,IT
TRM0216,EMP0216,JOB0216,2020-03-16,2020-03-16,2020-02-19,retirement,performance,false,true,manager,Supply Chain
TRM0217,EMP0217,JOB0217,2025-11-25,2025-11-25,2025-11-17,contract_end,better_opportunity,true,false,employee,Security
TRM0218,EMP0218,JOB0218,2017-08-23,2017-08-23,2017-08-04,contract_end,performance,false,false,hr,Legal
TRM0219,EMP0219,JOB0219,2025-08-31,2025-08-31,2025-08-01,contract_end,end_of_contract,true,true,system,Supply Chain
TRM0220,EMP0220,JOB0220,2024-12-11,2024-12-11,2024-11-23,retirement,performance,true,false,system,Engineering
TRM0221,EMP0221,JOB0221,2022-02-15,2022-02-15,2022-02-14,retirement,voluntary_resignation,false,false,system,Finance
TRM0222,EMP0222,JOB0222,2024-08-08,2024-08-08,2024-07-24,retirement,performance,true,false,system,Facilities
TRM0223,EMP0223,JOB0223,2026-05-15,2026-05-15,2026-05-09,voluntary,attendance,false,false,employee,Sales
TRM0224,EMP0224,JOB0224,2026-04-10,2026-04-10,2026-03-22,involuntary,performance,true,true,system,Customer Success
TRM0225,EMP0225,JOB0225,2025-08-14,2025-08-14,2025-07-26,voluntary,retirement,false,false,hr,Supply Chain
TRM0226,EMP0226,JOB0226,2023-05-04,2023-05-04,2023-04-16,voluntary,relocation,true,true,hr,Engineering
TRM0227,EMP0227,JOB0227,2021-04-10,2021-04-10,2021-03-28,involuntary,restructuring,false,true,employee,Sales
TRM0228,EMP0228,JOB0228,2022-08-13,2022-08-13,2022-07-31,voluntary,retirement,false,false,manager,Legal
TRM0229,EMP0229,JOB0229,2020-05-11,2020-05-11,2020-04-21,involuntary,mutual_agreement,true,false,hr,Operations
TRM0230,EMP0230,JOB0230,2022-12-31,2022-12-31,2022-12-05,retirement,better_opportunity,false,false,manager,HR
