job_id,job_code,job_title,job_family,department,grade_id,grade_code,employment_type,flsa_status,location_city,location_region,location_country,is_people_manager,headcount_budgeted
JOB0030,SAL-10-0030,Enterprise AE,Sales,IT,GRD0750,G10,part_time,exempt,Hyderabad,TS,IN,true,4
JOB0031,MAR-02-0031,Marketing Specialist,Marketing,Product,GRD0111,G02,full_time,exempt,Toronto,ON,CA,false,3
JOB0032,DAT-09-0032,Data Scientist,Data Science,Security,GRD0672,G09,intern,non_exempt,Dallas,TX,US,true,4
JOB0033,PRO-05-0033,Associate PM,Product Management,HR,GRD0353,G05,intern,exempt,Seattle,WA,US,false,4
JOB0034,DAT-06-0034,Analytics Manager,Data Science,Facilities,GRD0434,G06,part_time,exempt,San Francisco,CA,US,true,4
JOB0035,SAL-04-0035,SDR,Sales,IT,GRD0275,G04,contract,non_exempt,San Francisco,CA,US,false,5
JOB0036,SOF-02-0036,Senior Software Engineer,Software Engineering,Data,GRD0116,G02,contract,non_exempt,Dallas,TX,US,false,2
JOB0037,SOF-08-0037,Senior Software Engineer,Software Engineering,Facilities,GRD0597,G08,full_time,non_exempt,Dallas,TX,US,false,1
JOB0038,LEG-01-0038,Paralegal,Legal,Marketing,GRD0038,G01,full_time,non_exempt,Dallas,TX,US,false,2
JOB0039,FIN-09-0039,Controller,Finance & Accounting,Data,GRD0679,G09,part_time,non_exempt,Toronto,ON,CA,true,3
JOB0040,FIN-03-0040,Controller,Finance & Accounting,IT,GRD0200,G03,full_time,exempt,London,ENG,UK,false,2
JOB0041,MAR-01-0041,Marketing Director,Marketing,IT,GRD0041,G01,part_time,exempt,Chicago,IL,US,true,4
JOB0042,FIN-11-0042,Financial Analyst,Finance & Accounting,Marketing,GRD0842,G11,full_time,exempt,Atlanta,GA,US,false,4
JOB0043,FIN-05-0043,Financial Analyst,Finance & Accounting,Operations,GRD0363,G05,intern,non_exempt,Austin,TX,US,false,1
JOB0044,DAT-09-0044,Analytics Manager,Data Science,Operations,GRD0684,G09,full_time,non_exempt,Toronto,ON,CA,true,1
JOB0045,CUS-03-0045,Support Specialist,Customer Support,HR,GRD0205,G03,intern,exempt,Chicago,IL,US,false,1
JOB0046,SAL-05-0046,SDR,Sales,Operations,GRD0366,G05,intern,exempt,San Francisco,CA,US,false,3
JOB0047,IT -02-0047,IT Support,IT Operations,Sales,GRD0127,G02,intern,exempt,London,ENG,UK,false,5
JOB0048,LEG-02-0048,Privacy Counsel,Legal,HR,GRD0128,G02,full_time,exempt,Austin,TX,US,false,5
JOB0049,PRO-04-0049,Senior PM,Product Management,Product,GRD0289,G04,intern,non_exempt,Dallas,TX,US,false,4
JOB0050,CUS-02-0050,Support Lead,Customer Support,IT,GRD0130,G02,contract,exempt,Atlanta,GA,US,false,2
JOB0051,MAR-02-0051,Demand Gen Manager,Marketing,Security,GRD0131,G02,intern,non_exempt,Dallas,TX,US,true,3
JOB0052,PRO-11-0052,Associate PM,Product Management,Supply Chain,GRD0852,G11,full_time,non_exempt,Hyderabad,TS,IN,true,1
JOB0053,IT -08-0053,Systems Admin,IT Operations,Legal,GRD0613,G08,part_time,non_exempt,Hyderabad,TS,IN,false,3
JOB0054,SOF-11-0054,Staff Engineer,Software Engineering,Data,GRD0854,G11,part_time,exempt,Hyderabad,TS,IN,true,1
JOB0055,CUS-01-0055,Support Lead,Customer Support,Operations,GRD0055,G01,part_time,exempt,Seattle,WA,US,false,3
JOB0056,FIN-02-0056,Financial Analyst,Finance & Accounting,Engineering,GRD0136,G02,part_time,exempt,Denver,CO,US,false,3
JOB0057,CUS-02-0057,Support Lead,Customer Support,Finance,GRD0137,G02,intern,exempt,Atlanta,GA,US,false,5
JOB0058,SAL-08-0058,Account Executive,Sales,Marketing,GRD0618,G08,intern,non_exempt,Chicago,IL,US,false,3
JOB0059,SOF-03-0059,Engineering Manager,Software Engineering,HR,GRD0219,G03,full_time,non_exempt,San Francisco,CA,US,true,2
JOB0060,SAL-03-0060,SDR,Sales,Supply Chain,GRD0220,G03,contract,non_exempt,Bengaluru,KA,IN,false,4
JOB0061,IT -03-0061,IT Manager,IT Operations,Sales,GRD0221,G03,full_time,non_exempt,Seattle,WA,US,true,4
JOB0062,PRO-09-0062,Product Manager,Product Management,Legal,GRD0702,G09,contract,exempt,New York,NY,US,true,2
JOB0063,SAL-03-0063,Sales Manager,Sales,Legal,GRD0223,G03,intern,non_exempt,Dallas,TX,US,true,3
JOB0064,LEG-03-0064,Paralegal,Legal,Marketing,GRD0224,G03,intern,exempt,Toronto,ON,CA,false,1
JOB0065,PEO-01-0065,HR Generalist,People Operations,Product,GRD0065,G01,contract,exempt,Seattle,WA,US,false,2
JOB0066,PEO-09-0066,HR Generalist,People Operations,Facilities,GRD0706,G09,contract,exempt,Denver,CO,US,false,4
JOB0067,IT -09-0067,Cloud Engineer,IT Operations,Sales,GRD0707,G09,intern,exempt,London,ENG,UK,true,3
JOB0068,LEG-03-0068,Privacy Counsel,Legal,Marketing,GRD0228,G03,part_time,non_exempt,Toronto,ON,CA,false,3
JOB0069,IT -11-0069,Cloud Engineer,IT Operations,Security,GRD0869,G11,full_time,non_exempt,Dallas,TX,US,false,3
JOB0070,SOF-08-0070,Engineering Manager,Software Engineering,IT,GRD0630,G08,part_time,non_exempt,San Francisco,CA,US,true,3
JOB0071,SAL-02-0071,Sales Manager,Sales,Customer Success,GRD0151,G02,intern,non_exempt,Chicago,IL,US,true,2
JOB0072,SAL-12-0072,Enterprise AE,Sales,Finance,GRD0952,G12,intern,non_exempt,Toronto,ON,CA,true,2
JOB0073,SAL-05-0073,Account Executive,Sales,Engineering,GRD0393,G05,part_time,non_exempt,Dallas,TX,US,false,5
JOB0074,PEO-08-0074,HR Generalist,People Operations,Operations,GRD0634,G08,contract,non_exempt,Bengaluru,KA,IN,false,4
JOB0075,FIN-08-0075,Financial Analyst,Finance & Accounting,Engineering,GRD0635,G08,part_time,non_exempt,Toronto,ON,CA,false,3
JOB0076,IT -11-0076,Systems Admin,IT Operations,Security,GRD0876,G11,part_time,non_exempt,Chicago,IL,US,true,3
JOB0077,MAR-02-0077,Content Manager,Marketing,Operations,GRD0157,G02,full_time,exempt,Bengaluru,KA,IN,true,1
JOB0078,LEG-12-0078,Privacy Counsel,Legal,Marketing,GRD0958,G12,full_time,exempt,London,ENG,UK,true,2
JOB0079,DAT-01-0079,Data Scientist,Data Science,Sales,GRD0079,G01,part_time,non_exempt,New York,NY,US,false,2
JOB0080,SOF-02-0080,Software Engineer,Software Engineering,Product,GRD0160,G02,part_time,exempt,Dallas,TX,US,false,4
JOB0081,FIN-09-0081,Accountant,Finance & Accounting,Finance,GRD0641,G09,contract,non_exempt,San Francisco,CA,US,true,3
JOB0082,FIN-02-0082,Accountant,Finance & Accounting,Data,GRD0082,G02,contract,exempt,Seattle,WA,US,false,1
JOB0083,LEG-12-0083,Legal Counsel,Legal,Data,GRD0883,G12,contract,non_exempt,Seattle,WA,US,true,2
JOB0084,SAL-03-0084,SDR,Sales,HR,GRD0164,G03,intern,non_exempt,Toronto,ON,CA,false,1
JOB0085,SAL-02-0085,Enterprise AE,Sales,Product,GRD0085,G02,full_time,exempt,Atlanta,GA,US,false,2
JOB0086,CUS-04-0086,Support Specialist,Customer Support,Product,GRD0246,G04,intern,non_exempt,Bengaluru,KA,IN,false,2
JOB0087,SOF-10-0087,Senior Software Engineer,Software Engineering,Product,GRD0727,G10,intern,exempt,Chicago,IL,US,true,5
JOB0088,PEO-12-0088,HRBP,People Operations,Engineering,GRD0888,G12,part_time,exempt,Austin,TX,US,false,3
JOB0089,SAL-10-0089,Sales Manager,Sales,Data,GRD0729,G10,part_time,non_exempt,Chicago,IL,US,true,3
JOB0090,PRO-01-0090,Product Manager,Product Management,Operations,GRD0010,G01,contract,non_exempt,Chicago,IL,US,true,4
JOB0091,FIN-01-0091,Controller,Finance & Accounting,Finance,GRD0011,G01,full_time,non_exempt,Bengaluru,KA,IN,false,1
JOB0092,FIN-03-0092,Financial Analyst,Finance & Accounting,IT,GRD0172,G03,part_time,non_exempt,New York,NY,US,false,1
JOB0093,SAL-02-0093,Enterprise AE,Sales,Security,GRD0093,G02,contract,non_exempt,London,ENG,UK,false,5
JOB0094,MAR-02-0094,Marketing Specialist,Marketing,Product,GRD0094,G02,intern,non_exempt,Hyderabad,TS,IN,false,4
JOB0095,DAT-11-0095,ML Engineer,Data Science,Sales,GRD0815,G11,intern,non_exempt,London,ENG,UK,true,4
JOB0096,FIN-12-0096,Finance Manager,Finance & Accounting,Legal,GRD0896,G12,full_time,exempt,San Francisco,CA,US,true,4
JOB0097,DAT-03-0097,ML Engineer,Data Science,Facilities,GRD0177,G03,part_time,exempt,Austin,TX,US,false,4
JOB0098,LEG-05-0098,Legal Counsel,Legal,Product,GRD0338,G05,contract,non_exempt,Hyderabad,TS,IN,false,5
JOB0099,DAT-07-0099,Data Scientist,Data Science,Product,GRD0499,G07,full_time,exempt,Toronto,ON,CA,false,3
JOB0100,PRO-12-0100,Associate PM,Product Management,Finance,GRD0900,G12,part_time,non_exempt,Dallas,TX,US,false,2
JOB0101,PEO-12-0101,People Manager,People Operations,Finance,GRD0901,G12,full_time,exempt,San Francisco,CA,US,true,4
JOB0102,IT -02-0102,IT Support,IT Operations,Security,GRD0102,G02,intern,non_exempt,Seattle,WA,US,false,2
JOB0103,PRO-08-0103,Senior PM,Product Management,Security,GRD0583,G08,part_time,exempt,Denver,CO,US,true,4
JOB0104,DAT-04-0104,ML Engineer,Data Science,Marketing,GRD0264,G04,intern,exempt,Austin,TX,US,false,5
JOB0105,FIN-03-0105,Controller,Finance & Accounting,Security,GRD0185,G03,contract,exempt,Toronto,ON,CA,false,4
JOB0106,SOF-04-0106,Software Engineer,Software Engineering,Finance,GRD0266,G04,full_time,non_exempt,Bengaluru,KA,IN,false,5
JOB0107,SOF-06-0107,Software Engineer,Software Engineering,Facilities,GRD0427,G06,contract,non_exempt,Chicago,IL,US,false,3
JOB0108,MAR-10-0108,Demand Gen Manager,Marketing,HR,GRD0748,G10,intern,non_exempt,San Francisco,CA,US,true,1
JOB0109,SAL-11-0109,SDR,Sales,Supply Chain,GRD0829,G11,part_time,exempt,Denver,CO,US,true,2
JOB0110,PRO-05-0110,Senior PM,Product Management,IT,GRD0350,G05,contract,non_exempt,London,ENG,UK,false,4
JOB0111,MAR-04-0111,Content Manager,Marketing,Security,GRD0271,G04,contract,exempt,London,ENG,UK,true,3
JOB0112,PRO-03-0112,Senior PM,Product Management,Facilities,GRD0192,G03,full_time,non_exempt,Toronto,ON,CA,false,3
JOB0113,CUS-12-0113,Support Specialist,Customer Support,Security,GRD0913,G12,contract,non_exempt,Chicago,IL,US,false,1
JOB0114,DAT-01-0114,ML Engineer,Data Science,Sales,GRD0034,G01,contract,exempt,Austin,TX,US,false,5
JOB0115,DAT-12-0115,Analytics Manager,Data Science,Sales,GRD0915,G12,intern,non_exempt,Austin,TX,US,true,3
JOB0116,CUS-05-0116,Support Specialist,Customer Support,IT,GRD0356,G05,intern,non_exempt,Hyderabad,TS,IN,false,3
JOB0117,MAR-10-0117,Demand Gen Manager,Marketing,Legal,GRD0757,G10,full_time,non_exempt,Dallas,TX,US,true,4
JOB0118,PEO-11-0118,HR Generalist,People Operations,Sales,GRD0838,G11,part_time,non_exempt,Chicago,IL,US,true,1
JOB0119,LEG-08-0119,Legal Counsel,Legal,Legal,GRD0599,G08,intern,exempt,Bengaluru,KA,IN,true,4
JOB0120,DAT-09-0120,Data Scientist,Data Science,Facilities,GRD0680,G09,contract,exempt,Seattle,WA,US,false,5
JOB0121,SOF-06-0121,Senior Software Engineer,Software Engineering,HR,GRD0441,G06,part_time,non_exempt,Toronto,ON,CA,false,1
JOB0122,PEO-06-0122,Recruiter,People Operations,Finance,GRD0442,G06,part_time,non_exempt,Seattle,WA,US,false,5
JOB0123,IT -11-0123,IT Support,IT Operations,Legal,GRD0843,G11,intern,exempt,New York,NY,US,false,5
JOB0124,DAT-01-0124,ML Engineer,Data Science,Sales,GRD0044,G01,full_time,exempt,Austin,TX,US,false,5
JOB0125,CUS-09-0125,Support Lead,Customer Support,Data,GRD0685,G09,part_time,non_exempt,Chicago,IL,US,true,4
JOB0126,PRO-10-0126,Senior PM,Product Management,Sales,GRD0766,G10,intern,exempt,Seattle,WA,US,true,4
JOB0127,SOF-01-0127,Software Engineer,Software Engineering,Security,GRD0047,G01,part_time,exempt,San Francisco,CA,US,false,5
JOB0128,MAR-09-0128,Content Manager,Marketing,Sales,GRD0688,G09,part_time,exempt,New York,NY,US,true,5
JOB0129,DAT-12-0129,Analytics Manager,Data Science,Security,GRD0929,G12,part_time,non_exempt,Bengaluru,KA,IN,true,4
JOB0130,IT -08-0130,IT Support,IT Operations,Operations,GRD0610,G08,full_time,exempt,Austin,TX,US,true,5
JOB0131,PEO-06-0131,Recruiter,People Operations,Data,GRD0451,G06,part_time,non_exempt,Atlanta,GA,US,false,4
JOB0132,SAL-04-0132,Account Executive,Sales,Facilities,GRD0292,G04,intern,non_exempt,New York,NY,US,false,5
JOB0133,PEO-05-0133,HRBP,People Operations,IT,GRD0373,G05,part_time,non_exempt,New York,NY,US,false,1
JOB0134,PRO-10-0134,Product Manager,Product Management,Product,GRD0774,G10,contract,exempt,San Francisco,CA,US,true,4
JOB0135,CUS-10-0135,Support Specialist,Customer Support,Operations,GRD0775,G10,contract,non_exempt,Atlanta,GA,US,true,4
JOB0136,LEG-09-0136,Paralegal,Legal,Sales,GRD0696,G09,full_time,non_exempt,New York,NY,US,true,1
JOB0137,PEO-06-0137,HR Generalist,People Operations,HR,GRD0457,G06,contract,non_exempt,Toronto,ON,CA,false,4
JOB0138,PRO-10-0138,Group PM,Product Management,Engineering,GRD0778,G10,full_time,non_exempt,London,ENG,UK,false,4
JOB0139,PEO-03-0139,HRBP,People Operations,IT,GRD0219,G03,full_time,exempt,London,ENG,UK,false,3
JOB0140,PEO-10-0140,HRBP,People Operations,IT,GRD0780,G10,part_time,non_exempt,Bengaluru,KA,IN,true,2
JOB0141,IT -11-0141,IT Manager,IT Operations,Marketing,GRD0861,G11,full_time,exempt,New York,NY,US,true,1
JOB0142,LEG-08-0142,Compliance Analyst,Legal,Operations,GRD0622,G08,contract,non_exempt,Atlanta,GA,US,true,1
JOB0143,FIN-11-0143,Controller,Finance & Accounting,Product,GRD0863,G11,contract,non_exempt,Atlanta,GA,US,false,5
JOB0144,LEG-01-0144,Compliance Analyst,Legal,Supply Chain,GRD0064,G01,intern,exempt,San Francisco,CA,US,false,3
JOB0145,IT -05-0145,IT Support,IT Operations,Marketing,GRD0385,G05,intern,exempt,San Francisco,CA,US,false,4
JOB0146,SOF-04-0146,Software Engineer,Software Engineering,Engineering,GRD0306,G04,part_time,exempt,Chicago,IL,US,false,3
JOB0147,SAL-01-0147,Account Executive,Sales,Marketing,GRD0067,G01,full_time,exempt,Denver,CO,US,false,2
JOB0148,IT -03-0148,IT Support,IT Operations,Facilities,GRD0228,G03,part_time,exempt,Denver,CO,US,false,4
JOB0149,PEO-02-0149,People Manager,People Operations,Facilities,GRD0149,G02,part_time,exempt,Hyderabad,TS,IN,true,3
JOB0150,SOF-01-0150,Software Engineer,Software Engineering,Product,GRD0070,G01,full_time,exempt,New York,NY,US,false,3
JOB0151,PRO-08-0151,Associate PM,Product Management,Product,GRD0631,G08,part_time,exempt,New York,NY,US,true,2
JOB0152,FIN-07-0152,Accountant,Finance & Accounting,HR,GRD0552,G07,intern,non_exempt,San Francisco,CA,US,false,4
JOB0153,SAL-01-0153,Sales Manager,Sales,Security,GRD0073,G01,part_time,exempt,Hyderabad,TS,IN,true,2
JOB0154,PRO-11-0154,Senior PM,Product Management,IT,GRD0874,G11,full_time,non_exempt,Toronto,ON,CA,true,1
JOB0155,CUS-08-0155,Support Agent,Customer Support,Engineering,GRD0635,G08,contract,non_exempt,Atlanta,GA,US,true,2
JOB0156,SOF-08-0156,Senior Software Engineer,Software Engineering,Security,GRD0636,G08,intern,exempt,New York,NY,US,true,1
JOB0157,IT -06-0157,IT Support,IT Operations,Security,GRD0477,G06,part_time,non_exempt,Denver,CO,US,false,4
JOB0158,FIN-10-0158,Finance Manager,Finance & Accounting,Data,GRD0798,G10,contract,non_exempt,Bengaluru,KA,IN,true,2
JOB0159,MAR-11-0159,Content Manager,Marketing,Facilities,GRD0879,G11,full_time,non_exempt,Bengaluru,KA,IN,true,3
JOB0160,IT -10-0160,Cloud Engineer,IT Operations,Data,GRD0800,G10,intern,non_exempt,San Francisco,CA,US,true,1
JOB0161,CUS-03-0161,Support Agent,Customer Support,Supply Chain,GRD0161,G03,full_time,non_exempt,Denver,CO,US,false,3
JOB0162,LEG-12-0162,Privacy Counsel,Legal,Product,GRD0882,G12,part_time,exempt,Austin,TX,US,false,1
JOB0163,LEG-08-0163,Privacy Counsel,Legal,Supply Chain,GRD0563,G08,contract,exempt,Toronto,ON,CA,true,3
JOB0164,DAT-08-0164,Data Analyst,Data Science,Marketing,GRD0564,G08,part_time,exempt,Toronto,ON,CA,true,3
JOB0165,FIN-09-0165,Financial Analyst,Finance & Accounting,Customer Success,GRD0645,G09,intern,non_exempt,London,ENG,UK,false,3
JOB0166,PEO-02-0166,People Manager,People Operations,Security,GRD0086,G02,part_time,non_exempt,Austin,TX,US,true,1
JOB0167,LEG-06-0167,Paralegal,Legal,Facilities,GRD0407,G06,intern,exempt,Hyderabad,TS,IN,false,3
JOB0168,IT -08-0168,IT Support,IT Operations,Engineering,GRD0568,G08,full_time,exempt,Atlanta,GA,US,true,1
JOB0169,SAL-10-0169,Sales Manager,Sales,Security,GRD0729,G10,full_time,non_exempt,Atlanta,GA,US,true,3
JOB0170,LEG-03-0170,Paralegal,Legal,Facilities,GRD0170,G03,full_time,exempt,Hyderabad,TS,IN,false,5
JOB0171,MAR-03-0171,Demand Gen Manager,Marketing,Sales,GRD0171,G03,intern,exempt,New York,NY,US,true,3
JOB0172,MAR-04-0172,Marketing Specialist,Marketing,Legal,GRD0252,G04,contract,exempt,New York,NY,US,false,4
JOB0173,IT -04-0173,IT Manager,IT Operations,HR,GRD0253,G04,intern,non_exempt,Dallas,TX,US,true,1
JOB0174,PEO-11-0174,Recruiter,People Operations,Operations,GRD0814,G11,part_time,non_exempt,Atlanta,GA,US,false,1
JOB0175,IT -07-0175,Cloud Engineer,IT Operations,Data,GRD0495,G07,intern,non_exempt,New York,NY,US,false,4
JOB0176,MAR-02-0176,Demand Gen Manager,Marketing,Operations,GRD0096,G02,contract,exempt,London,ENG,UK,true,3
JOB0177,DAT-07-0177,ML Engineer,Data Science,Data,GRD0497,G07,intern,non_exempt,Dallas,TX,US,false,3
JOB0178,PEO-06-0178,Recruiter,People Operations,Finance,GRD0418,G06,part_time,non_exempt,Austin,TX,US,false,1
JOB0179,MAR-11-0179,Marketing Director,Marketing,Legal,GRD0819,G11,contract,non_exempt,San Francisco,CA,US,true,2
JOB0180,IT -06-0180,Systems Admin,IT Operations,Legal,GRD0420,G06,part_time,non_exempt,Chicago,IL,US,false,3
JOB0181,SAL-07-0181,SDR,Sales,Sales,GRD0501,G07,full_time,exempt,Austin,TX,US,false,5
JOB0182,IT -04-0182,IT Support,IT Operations,Product,GRD0262,G04,contract,exempt,Hyderabad,TS,IN,false,2
JOB0183,LEG-05-0183,Legal Counsel,Legal,HR,GRD0343,G05,full_time,non_exempt,Austin,TX,US,false,3
JOB0184,LEG-09-0184,Legal Counsel,Legal,Finance,GRD0664,G09,part_time,exempt,Denver,CO,US,true,2
JOB0185,SAL-04-0185,SDR,Sales,Marketing,GRD0265,G04,contract,non_exempt,Dallas,TX,US,false,4
JOB0186,SOF-10-0186,Software Engineer,Software Engineering,HR,GRD0746,G10,full_time,non_exempt,Toronto,ON,CA,true,4
JOB0187,FIN-01-0187,Accountant,Finance & Accounting,HR,GRD0027,G01,intern,exempt,Austin,TX,US,false,3
JOB0188,FIN-06-0188,Financial Analyst,Finance & Accounting,Marketing,GRD0428,G06,part_time,exempt,San Francisco,CA,US,false,2
JOB0189,PRO-02-0189,Product Manager,Product Management,Supply Chain,GRD0109,G02,full_time,exempt,Bengaluru,KA,IN,true,3
JOB0190,IT -09-0190,IT Support,IT Operations,HR,GRD0670,G09,intern,exempt,Atlanta,GA,US,true,2
JOB0191,PEO-04-0191,Recruiter,People Operations,Sales,GRD0271,G04,contract,exempt,Austin,TX,US,false,1
JOB0192,CUS-07-0192,Support Specialist,Customer Support,Operations,GRD0512,G07,full_time,exempt,San Francisco,CA,US,false,1
JOB0193,CUS-01-0193,Support Lead,Customer Support,Data,GRD0033,G01,part_time,exempt,Bengaluru,KA,IN,false,3
JOB0194,DAT-02-0194,ML Engineer,Data Science,IT,GRD0114,G02,full_time,non_exempt,San Francisco,CA,US,false,3
JOB0195,DAT-04-0195,Analytics Manager,Data Science,Data,GRD0275,G04,part_time,non_exempt,Hyderabad,TS,IN,true,4
JOB0196,FIN-12-0196,Accountant,Finance & Accounting,HR,GRD0916,G12,part_time,exempt,London,ENG,UK,false,2
JOB0197,SOF-09-0197,Staff Engineer,Software Engineering,Finance,GRD0677,G09,full_time,exempt,Austin,TX,US,true,2
JOB0198,IT -03-0198,IT Manager,IT Operations,IT,GRD0198,G03,part_time,non_exempt,Chicago,IL,US,true,3
JOB0199,CUS-04-0199,Support Agent,Customer Support,Engineering,GRD0279,G04,part_time,non_exempt,Atlanta,GA,US,false,1
JOB0200,SAL-02-0200,Sales Manager,Sales,IT,GRD0120,G02,contract,non_exempt,London,ENG,UK,true,3
JOB0201,SAL-11-0201,Enterprise AE,Sales,Finance,GRD0841,G11,part_time,exempt,Hyderabad,TS,IN,false,4
JOB0202,DAT-02-0202,Data Scientist,Data Science,Engineering,GRD0122,G02,part_time,non_exempt,Dallas,TX,US,false,1
JOB0203,PEO-05-0203,People Manager,People Operations,Product,GRD0363,G05,intern,non_exempt,Chicago,IL,US,true,3
JOB0204,DAT-03-0204,Analytics Manager,Data Science,Product,GRD0204,G03,intern,non_exempt,New York,NY,US,true,2
JOB0205,SOF-10-0205,Senior Software Engineer,Software Engineering,Engineering,GRD0765,G10,full_time,exempt,Toronto,ON,CA,true,2
JOB0206,SOF-10-0206,Senior Software Engineer,Software Engineering,Marketing,GRD0766,G10,contract,exempt,Toronto,ON,CA,true,3
JOB0207,PEO-03-0207,HRBP,People Operations,Operations,GRD0207,G03,part_time,exempt,Atlanta,GA,US,false,2
JOB0208,DAT-04-0208,Analytics Manager,Data Science,Data,GRD0288,G04,contract,exempt,Hyderabad,TS,IN,true,1
JOB0209,PEO-11-0209,HR Generalist,People Operations,Engineering,GRD0849,G11,part_time,exempt,Chicago,IL,US,true,1
JOB0210,MAR-12-0210,Demand Gen Manager,Marketing,Facilities,GRD0930,G12,intern,exempt,London,ENG,UK,true,3
JOB0211,IT -08-0211,Systems Admin,IT Operations,Finance,GRD0611,G08,part_time,non_exempt,Toronto,ON,CA,false,5
JOB0212,LEG-10-0212,Paralegal,Legal,IT,GRD0772,G10,part_time,exempt,Seattle,WA,US,false,5
JOB0213,PRO-09-0213,Associate PM,Product Management,Marketing,GRD0693,G09,full_time,non_exempt,Seattle,WA,US,true,5
JOB0214,CUS-12-0214,Support Lead,Customer Support,Customer Success,GRD0934,G12,intern,non_exempt,London,ENG,UK,false,1
JOB0215,MAR-06-0215,Marketing Director,Marketing,IT,GRD0455,G06,part_time,non_exempt,Toronto,ON,CA,true,3
JOB0216,MAR-06-0216,Marketing Director,Marketing,Supply Chain,GRD0456,G06,contract,exempt,Dallas,TX,US,true,2
JOB0217,PEO-11-0217,HRBP,People Operations,Security,GRD0857,G11,full_time,non_exempt,San Francisco,CA,US,true,3
JOB0218,FIN-01-0218,Finance Manager,Finance & Accounting,Legal,GRD0058,G01,contract,exempt,Denver,CO,US,true,3
JOB0219,FIN-02-0219,Finance Manager,Finance & Accounting,Supply Chain,GRD0139,G02,part_time,non_exempt,Toronto,ON,CA,true,1
