promotion_id,employee_id,from_job_id,to_job_id,from_grade_code,to_grade_code,from_salary,to_salary,salary_increase_pct,effective_date,promotion_reason,approved_by,status
PRM0022,EMP0604,JOB0067,JOB0184,G01,G03,66900.57,71953.16,7.55,2025-08-22,performance,EMP0899,rescinded
PRM0023,EMP0392,JOB0959,JOB0439,G06,G08,113212.34,124809.93,10.24,2022-08-13,role_expansion,EMP0639,rescinded
PRM0024,EMP0617,JOB0554,JOB0530,G03,G04,70039.10,83554.44,19.30,2026-07-31,market_adjustment,EMP0224,rescinded
PRM0025,EMP0036,JOB0733,JOB0062,G01,G02,59000.40,65543.28,11.09,2018-11-15,market_adjustment,EMP0739,completed
PRM0026,EMP0033,JOB0062,JOB0948,G05,G06,94717.63,110759.64,16.94,2025-09-25,retention,EMP0392,completed
PRM0027,EMP0425,JOB0351,JOB0053,G03,G04,66762.60,75484.51,13.06,2022-07-10,critical_skill,EMP0884,rescinded
PRM0028,EMP0661,JOB0888,JOB0265,G05,G06,91286.34,97855.50,7.20,2026-03-11,retention,EMP0567,rescinded
PRM0029,EMP0752,JOB0730,JOB0605,G07,G08,37008.96,39620.13,7.06,2025-06-05,market_adjustment,EMP0847,completed
PRM0030,EMP0440,JOB0153,JOB0728,G10,G11,155676.49,186742.72,19.96,2026-03-13,role_expansion,EMP0843,rescinded
PRM0031,EMP0241,JOB0734,JOB0321,G10,G12,148457.42,166519.87,12.17,2022-06-10,critical_skill,EMP0776,completed
PRM0032,EMP0343,JOB0519,JOB0519,G04,G05,100057.08,113156.38,13.09,2026-04-15,performance,EMP0018,completed
PRM0033,EMP0704,JOB0869,JOB0897,G03,G04,71680.54,80428.72,12.20,2025-09-14,role_expansion,EMP0688,rescinded
PRM0034,EMP0314,JOB0725,JOB0602,G04,G05,75096.55,90583.23,20.62,2026-06-14,market_adjustment,EMP0259,rescinded
PRM0035,EMP0432,JOB0926,JOB0211,G04,G05,28693.06,34261.67,19.41,2026-06-25,market_adjustment,EMP0218,rescinded
PRM0036,EMP0424,JOB0208,JOB0432,G09,G11,177104.61,196477.45,10.94,2026-05-24,performance,EMP0628,completed
PRM0037,EMP0578,JOB0068,JOB0884,G04,G05,87540.97,105584.07,20.61,2026-01-02,performance,EMP0882,approved
PRM0038,EMP0664,JOB0735,JOB0530,G03,G05,87005.23,102718.20,18.06,2025-04-28,critical_skill,EMP0074,rescinded
PRM0039,EMP0932,JOB0984,JOB0046,G10,G12,44204.93,50740.47,14.78,2026-02-10,critical_skill,EMP0141,approved
PRM0040,EMP0228,JOB0662,JOB0691,G01,G03,56741.78,66930.12,17.96,2023-08-05,critical_skill,EMP0087,rescinded
PRM0041,EMP0520,JOB0416,JOB0828,G10,G11,144322.63,162310.75,12.46,2017-07-14,market_adjustment,EMP0259,rescinded
PRM0042,EMP0220,JOB0498,JOB0586,G05,G07,91942.06,100260.95,9.05,2023-03-04,performance,EMP0416,completed
PRM0043,EMP0405,JOB0637,JOB0829,G07,G09,104790.73,125306.21,19.58,2026-09-21,performance,EMP0855,completed
PRM0044,EMP0571,JOB0169,JOB0736,G12,G12,187468.18,201764.28,7.63,2025-11-25,retention,EMP0080,completed
PRM0045,EMP0225,JOB0232,JOB0597,G03,G05,74505.73,83465.98,12.03,2023-03-19,role_expansion,EMP0950,completed
PRM0046,EMP0898,JOB0543,JOB0844,G09,G10,163909.33,189234.26,15.45,2026-08-15,market_adjustment,EMP0590,completed
PRM0047,EMP0655,JOB0121,JOB0577,G11,G12,139073.97,164591.82,18.35,2020-10-09,market_adjustment,EMP0995,approved
PRM0048,EMP0150,JOB0498,JOB0455,G01,G02,43195.84,47153.13,9.16,2022-07-03,critical_skill,EMP0603,completed
PRM0049,EMP0636,JOB0420,JOB0659,G09,G10,157904.69,182939.03,15.85,2025-01-15,performance,EMP0902,completed
PRM0050,EMP0814,JOB0917,JOB0160,G02,G04,63325.13,69903.54,10.39,2021-05-27,retention,EMP0414,rescinded
PRM0051,EMP0998,JOB0455,JOB0627,G01,G03,43636.81,48633.26,11.45,2020-01-19,market_adjustment,EMP0941,rescinded
PRM0052,EMP0882,JOB0576,JOB0360,G05,G06,96944.67,115334.04,18.97,2023-06-26,role_expansion,EMP0291,approved
PRM0053,EMP0051,JOB0425,JOB0721,G02,G04,58622.27,70434.33,20.15,2022-05-10,retention,EMP0219,approved
PRM0054,EMP0008,JOB0051,JOB0913,G01,G03,57011.50,65004.73,14.02,2025-10-16,performance,EMP0151,completed
PRM0055,EMP0293,JOB0243,JOB0571,G09,G11,143898.78,175006.93,21.62,2025-04-01,retention,EMP0156,completed
PRM0056,EMP0591,JOB0570,JOB0526,G10,G11,158495.03,183039.45,15.49,2025-04-19,market_adjustment,EMP0612,completed
PRM0057,EMP0413,JOB0636,JOB0615,G09,G10,172411.23,209554.36,21.54,2025-06-15,role_expansion,EMP0752,rescinded
PRM0058,EMP0900,JOB0129,JOB0623,G09,G10,136724.95,145929.00,6.73,2025-06-20,retention,EMP0610,completed
PRM0059,EMP0733,JOB0495,JOB0326,G11,G12,171194.06,185594.47,8.41,2024-12-08,critical_skill,EMP0754,rescinded
PRM0060,EMP0631,JOB0975,JOB0265,G01,G03,50446.69,56701.95,12.40,2018-03-28,performance,EMP0362,completed
PRM0061,EMP0259,JOB0430,JOB0759,G02,G04,62006.44,66597.64,7.40,2026-02-01,market_adjustment,EMP0306,completed
PRM0062,EMP0722,JOB0917,JOB0857,G08,G09,161376.31,194479.01,20.51,2020-12-09,role_expansion,EMP0871,approved
PRM0063,EMP0898,JOB0169,JOB0269,G11,G12,144520.40,159240.29,10.19,2026-08-15,retention,EMP0289,rescinded
PRM0064,EMP0057,JOB0298,JOB0576,G02,G04,61342.72,66769.35,8.85,2019-06-02,retention,EMP0024,approved
PRM0065,EMP0128,JOB0819,JOB0153,G07,G08,150902.62,173227.05,14.79,2020-06-17,retention,EMP0587,approved
PRM0066,EMP0307,JOB0129,JOB0301,G07,G08,124917.75,146699.33,17.44,2026-07-02,performance,EMP0042,completed
PRM0067,EMP0814,JOB0505,JOB0385,G02,G03,54946.94,65357.60,18.95,2022-12-20,market_adjustment,EMP0257,rescinded
PRM0068,EMP0525,JOB0416,JOB0495,G09,G10,139756.51,151478.05,8.39,2024-11-14,performance,EMP0448,approved
PRM0069,EMP0746,JOB0763,JOB0741,G09,G10,138532.89,167379.63,20.82,2026-03-08,critical_skill,EMP0931,completed
PRM0070,EMP0398,JOB0830,JOB0655,G11,G12,162490.97,180981.71,11.38,2026-02-07,critical_skill,EMP0533,approved
PRM0071,EMP0861,JOB0483,JOB0280,G01,G02,17813.46,21569.37,21.08,2026-01-21,role_expansion,EMP0610,rescinded
PRM0072,EMP0274,JOB0927,JOB0193,G10,G11,132581.64,157092.01,18.49,2019-10-16,performance,EMP0230,rescinded
PRM0073,EMP0366,JOB0086,JOB0977,G06,G08,112702.16,129856.24,15.22,2024-09-12,retention,EMP0745,approved
PRM0074,EMP0725,JOB0663,JOB0088,G07,G08,119389.86,140509.69,17.69,2026-07-27,critical_skill,EMP0124,rescinded
PRM0075,EMP0275,JOB0193,JOB0126,G10,G12,148314.28,170351.11,14.86,2018-06-19,performance,EMP0515,rescinded
PRM0076,EMP0588,JOB0159,JOB0157,G07,G08,126361.98,150436.81,19.05,2018-12-14,critical_skill,EMP0804,rescinded
PRM0077,EMP0064,JOB0449,JOB0540,G02,G03,70053.44,83038.42,18.54,2016-12-11,critical_skill,EMP0281,completed
PRM0078,EMP0681,JOB0649,JOB0232,G06,G07,136323.71,149320.26,9.53,2018-12-19,critical_skill,EMP0128,rescinded
PRM0079,EMP0393,JOB0589,JOB0736,G01,G02,55515.76,65516.14,18.01,2024-12-23,performance,EMP0246,rescinded
PRM0080,EMP0774,JOB0613,JOB0925,G09,G11,127427.87,137515.18,7.92,2022-07-27,market_adjustment,EMP0922,rescinded
PRM0081,EMP0260,JOB0493,JOB0651,G03,G04,94897.57,105403.13,11.07,2019-08-02,market_adjustment,EMP0727,completed
PRM0082,EMP0741,JOB0172,JOB0753,G02,G03,81109.19,91008.30,12.20,2022-06-19,critical_skill,EMP0468,rescinded
PRM0083,EMP0173,JOB0509,JOB0319,G04,G05,75873.62,81156.93,6.96,2023-09-29,retention,EMP0934,rescinded
PRM0084,EMP0811,JOB0125,JOB0820,G05,G07,110050.68,131902.71,19.86,2024-05-13,market_adjustment,EMP0051,rescinded
PRM0085,EMP0282,JOB0753,JOB0196,G01,G03,56893.82,62618.88,10.06,2025-04-29,critical_skill,EMP0302,completed
PRM0086,EMP0930,JOB0431,JOB0916,G09,G10,49311.29,52964.79,7.41,2023-08-06,role_expansion,EMP0487,rescinded
PRM0087,EMP0208,JOB0178,JOB0026,G02,G04,23729.84,27095.16,14.18,2025-07-25,performance,EMP0142,completed
PRM0088,EMP0984,JOB0910,JOB0722,G07,G08,153781.31,169057.03,9.93,2026-07-22,performance,EMP0192,rescinded
PRM0089,EMP0081,JOB0386,JOB0948,G08,G09,137888.93,162283.23,17.69,2026-07-05,role_expansion,EMP0936,approved
PRM0090,EMP0333,JOB0090,JOB0388,G11,G12,161601.55,190221.12,17.71,2025-02-22,role_expansion,EMP0045,completed
PRM0091,EMP0161,JOB0378,JOB0746,G02,G04,64662.39,75033.57,16.04,2022-06-26,performance,EMP0357,rescinded
PRM0092,EMP0132,JOB0719,JOB0899,G04,G06,74797.52,85710.93,14.59,2026-12-06,retention,EMP0740,approved
PRM0093,EMP0353,JOB0102,JOB0503,G08,G09,44453.78,50880.77,14.46,2024-05-06,market_adjustment,EMP0327,rescinded
PRM0094,EMP0116,JOB0896,JOB0076,G03,G05,26693.74,30147.19,12.94,2023-05-15,critical_skill,EMP0139,completed
PRM0095,EMP0358,JOB0359,JOB0219,G08,G10,42284.19,51028.78,20.68,2026-07-05,performance,EMP0905,approved
PRM0096,EMP0944,JOB0015,JOB0482,G04,G05,86890.03,95183.38,9.54,2022-03-20,market_adjustment,EMP0730,completed
PRM0097,EMP0503,JOB0884,JOB0163,G02,G03,76456.17,92395.22,20.85,2022-09-15,retention,EMP0748,completed
PRM0098,EMP0872,JOB0016,JOB0848,G05,G06,90771.13,98389.42,8.39,2023-11-06,retention,EMP0468,approved
PRM0099,EMP0829,JOB0299,JOB0348,G09,G11,122003.44,147365.54,20.79,2025-02-16,market_adjustment,EMP0807,approved
PRM0100,EMP0801,JOB0786,JOB0993,G02,G04,16856.77,20089.43,19.18,2023-04-22,role_expansion,EMP0925,rescinded
PRM0101,EMP0254,JOB0567,JOB0479,G02,G04,16618.32,18726.32,12.68,2026-06-21,role_expansion,EMP0980,rescinded
PRM0102,EMP0338,JOB0138,JOB0496,G08,G10,146000.96,168751.60,15.58,2026-06-21,role_expansion,EMP0456,approved
PRM0103,EMP0543,JOB0341,JOB0287,G01,G03,70694.85,80375.52,13.69,2026-05-25,market_adjustment,EMP0488,rescinded
PRM0104,EMP0611,JOB0320,JOB0257,G10,G12,50237.64,55636.76,10.75,2022-10-27,role_expansion,EMP0948,rescinded
PRM0105,EMP0314,JOB0734,JOB0659,G03,G04,74752.61,81246.44,8.69,2026-07-07,market_adjustment,EMP0413,completed
PRM0106,EMP0426,JOB0411,JOB0163,G02,G03,58382.73,63782.26,9.25,2026-06-07,retention,EMP0522,completed
PRM0107,EMP0334,JOB0813,JOB0504,G09,G11,43512.90,49215.73,13.11,2022-03-06,role_expansion,EMP0392,approved
PRM0108,EMP0497,JOB0581,JOB0564,G07,G09,37415.88,44205.43,18.15,2023-09-22,market_adjustment,EMP0878,rescinded
PRM0109,EMP0111,JOB0683,JOB0922,G04,G05,82225.12,91683.99,11.50,2023-10-15,retention,EMP0066,rescinded
PRM0110,EMP0195,JOB0592,JOB0596,G02,G03,24173.58,28268.70,16.94,2018-12-31,market_adjustment,EMP0674,rescinded
PRM0111,EMP0420,JOB0501,JOB0341,G09,G10,138394.36,152611.26,10.27,2026-03-19,retention,EMP0873,approved
PRM0112,EMP0407,JOB0261,JOB0617,G01,G03,63290.84,72136.14,13.98,2020-01-20,critical_skill,EMP0561,rescinded
PRM0113,EMP0024,JOB0838,JOB0183,G05,G07,114504.14,137295.28,19.90,2020-07-08,performance,EMP0722,approved
PRM0114,EMP0559,JOB0356,JOB0394,G02,G03,17678.55,21098.91,19.35,2021-10-10,market_adjustment,EMP0472,completed
PRM0115,EMP0982,JOB0701,JOB0704,G10,G11,164868.83,187287.14,13.60,2017-08-21,role_expansion,EMP0621,completed
PRM0116,EMP0740,JOB0723,JOB0648,G07,G08,105584.46,126156.12,19.48,2025-06-24,role_expansion,EMP0477,completed
PRM0117,EMP0625,JOB0893,JOB0193,G01,G03,50516.21,57227.99,13.29,2026-05-26,critical_skill,EMP0393,approved
PRM0118,EMP0371,JOB0443,JOB0488,G10,G12,46226.35,49995.69,8.15,2026-03-20,retention,EMP0430,completed
PRM0119,EMP0150,JOB0729,JOB0986,G01,G03,46876.86,51790.55,10.48,2022-06-17,critical_skill,EMP0150,completed
PRM0120,EMP0786,JOB0890,JOB0434,G04,G06,110061.80,125637.16,14.15,2022-07-15,market_adjustment,EMP0313,rescinded
PRM0121,EMP0670,JOB0486,JOB0579,G01,G02,61348.15,71272.87,16.18,2018-08-25,performance,EMP0722,rescinded
PRM0122,EMP0554,JOB0775,JOB0081,G05,G07,32651.92,34958.55,7.06,2025-01-12,critical_skill,EMP0736,completed
PRM0123,EMP0958,JOB0796,JOB0927,G01,G03,60022.61,71603.11,19.29,2026-05-16,role_expansion,EMP0256,approved
PRM0124,EMP0812,JOB0682,JOB0245,G09,G10,143153.62,151823.15,6.06,2026-03-24,role_expansion,EMP0897,completed
PRM0125,EMP0592,JOB0894,JOB0191,G12,G12,178412.79,204190.85,14.45,2026-11-02,market_adjustment,EMP0575,completed
PRM0126,EMP0619,JOB0269,JOB0934,G06,G07,120024.98,133535.37,11.26,2019-03-07,performance,EMP0982,completed
PRM0127,EMP0107,JOB0145,JOB0004,G04,G05,99378.43,117826.99,18.56,2025-02-27,retention,EMP0097,completed
PRM0128,EMP0863,JOB0440,JOB0824,G03,G04,99401.45,118410.77,19.12,2025-10-15,market_adjustment,EMP0086,completed
PRM0129,EMP0985,JOB0220,JOB0099,G01,G02,18567.94,20765.49,11.84,2022-09-02,performance,EMP0503,completed
PRM0130,EMP0408,JOB0916,JOB0465,G07,G08,37796.89,45278.44,19.79,2022-11-09,role_expansion,EMP0618,rescinded
PRM0131,EMP0851,JOB0474,JOB0492,G01,G02,51736.87,55468.12,7.21,2021-11-17,market_adjustment,EMP0360,approved
PRM0132,EMP0945,JOB0875,JOB0029,G06,G07,124255.09,142223.91,14.46,2021-10-13,market_adjustment,EMP0544,completed
PRM0133,EMP0143,JOB0591,JOB0566,G11,G12,176139.90,207855.25,18.01,2026-07-11,market_adjustment,EMP0949,completed
PRM0134,EMP0842,JOB0890,JOB0572,G06,G07,109107.04,127065.95,16.46,2023-01-12,role_expansion,EMP0807,completed
PRM0135,EMP0508,JOB0747,JOB0096,G04,G05,107421.36,123153.19,14.64,2026-12-23,market_adjustment,EMP0284,rescinded
PRM0136,EMP0198,JOB0132,JOB0563,G02,G03,73226.27,88755.21,21.21,2025-08-15,critical_skill,EMP0686,completed
PRM0137,EMP0823,JOB0794,JOB0264,G03,G05,78579.08,92640.12,17.89,2019-03-29,performance,EMP0602,completed
PRM0138,EMP0914,JOB0430,JOB0709,G01,G03,46575.93,53329.78,14.50,2026-06-17,role_expansion,EMP0627,completed
PRM0139,EMP0395,JOB0314,JOB0541,G03,G05,76062.16,84615.79,11.25,2018-01-18,retention,EMP0393,completed
PRM0140,EMP0945,JOB0073,JOB0930,G06,G08,128932.78,156056.37,21.04,2019-12-22,performance,EMP0380,completed
PRM0141,EMP0266,JOB0509,JOB0315,G08,G09,42641.31,49354.90,15.74,2019-06-09,role_expansion,EMP0159,rescinded
PRM0142,EMP0480,JOB0209,JOB0738,G06,G08,121496.18,131222.03,8.01,2026-03-26,critical_skill,EMP0345,completed
PRM0143,EMP0645,JOB0368,JOB0228,G08,G10,151826.59,179385.32,18.15,2026-02-13,role_expansion,EMP0589,rescinded
PRM0144,EMP0495,JOB0409,JOB0756,G10,G12,154039.04,169513.56,10.05,2024-05-03,market_adjustment,EMP0913,completed
PRM0145,EMP0274,JOB0753,JOB0625,G09,G11,130262.27,141968.06,8.99,2026-03-13,critical_skill,EMP0184,approved
PRM0146,EMP0256,JOB0515,JOB0538,G01,G02,62410.06,68457.72,9.69,2024-02-08,market_adjustment,EMP0773,rescinded
PRM0147,EMP0114,JOB0271,JOB0105,G01,G02,52436.24,63087.26,20.31,2025-09-02,performance,EMP0773,completed
PRM0148,EMP0337,JOB0384,JOB0654,G04,G05,100007.19,115343.72,15.34,2022-12-07,role_expansion,EMP0222,completed
PRM0149,EMP0150,JOB0842,JOB0585,G01,G03,52168.74,58390.17,11.93,2025-03-09,critical_skill,EMP0850,approved
PRM0150,EMP0855,JOB0955,JOB0945,G03,G05,98574.94,118318.13,20.03,2025-06-01,retention,EMP1000,completed
PRM0151,EMP0492,JOB0754,JOB0506,G01,G02,44101.42,47826.14,8.45,2024-04-28,market_adjustment,EMP0557,completed
PRM0152,EMP0709,JOB0912,JOB0182,G02,G04,60143.73,70482.64,17.19,2021-08-05,role_expansion,EMP0902,rescinded
PRM0153,EMP0149,JOB0479,JOB0673,G01,G02,17354.97,20417.14,17.64,2025-08-10,market_adjustment,EMP0279,approved
PRM0154,EMP0596,JOB0085,JOB0360,G06,G08,121169.23,140588.86,16.03,2021-01-26,market_adjustment,EMP0258,completed
PRM0155,EMP0325,JOB0929,JOB0275,G01,G03,18959.87,20616.30,8.74,2018-07-10,market_adjustment,EMP0231,rescinded
PRM0156,EMP0917,JOB0655,JOB0308,G06,G08,115742.73,130584.29,12.82,2025-12-22,retention,EMP0977,completed
PRM0157,EMP0034,JOB0710,JOB0676,G04,G05,108230.21,124526.05,15.06,2022-12-26,performance,EMP0761,approved
PRM0158,EMP0805,JOB0233,JOB0888,G02,G03,56503.19,61802.27,9.38,2025-09-23,retention,EMP0129,rescinded
PRM0159,EMP0453,JOB0776,JOB0645,G01,G03,45731.98,53875.61,17.81,2024-10-29,market_adjustment,EMP0550,completed
PRM0160,EMP0225,JOB0725,JOB0788,G01,G02,76068.42,85550.21,12.46,2025-08-02,retention,EMP0071,rescinded
PRM0161,EMP0628,JOB0549,JOB0448,G10,G11,155049.52,174718.11,12.69,2024-08-17,critical_skill,EMP0999,completed
PRM0162,EMP0616,JOB0478,JOB0087,G03,G05,90859.55,106472.26,17.18,2017-09-20,role_expansion,EMP0712,approved
PRM0163,EMP0335,JOB0251,JOB0974,G07,G09,134052.27,147583.02,10.09,2026-05-12,retention,EMP0492,rescinded
PRM0164,EMP0902,JOB0786,JOB0284,G06,G07,118598.16,144676.77,21.99,2023-12-06,performance,EMP0383,rescinded
PRM0165,EMP0652,JOB0391,JOB0793,G04,G06,86468.54,97057.33,12.25,2026-01-20,critical_skill,EMP0025,rescinded
PRM0166,EMP0572,JOB0540,JOB0238,G05,G06,105362.89,121082.49,14.92,2024-05-24,market_adjustment,EMP0003,completed
PRM0167,EMP0827,JOB0627,JOB0106,G02,G04,25182.16,30172.63,19.82,2022-06-13,market_adjustment,EMP0623,rescinded
PRM0168,EMP0032,JOB0793,JOB0160,G09,G11,148102.31,158768.25,7.20,2026-01-27,market_adjustment,EMP0608,approved
PRM0169,EMP0268,JOB0492,JOB0504,G08,G09,138424.23,151969.75,9.79,2025-09-10,retention,EMP0254,completed
PRM0170,EMP0949,JOB0808,JOB0450,G02,G04,55104.63,65232.20,18.38,2025-10-18,critical_skill,EMP0651,rescinded
PRM0171,EMP0592,JOB0256,JOB0963,G11,G12,191090.86,223900.69,17.17,2026-11-02,performance,EMP0963,rescinded
PRM0172,EMP0497,JOB0792,JOB0655,G07,G08,33498.67,38002.06,13.44,2024-12-25,role_expansion,EMP0005,completed
PRM0173,EMP0385,JOB0930,JOB0151,G02,G04,78393.68,91934.85,17.27,2021-12-02,role_expansion,EMP0551,approved
PRM0174,EMP0539,JOB0383,JOB0821,G05,G07,107401.04,130775.94,21.76,2026-12-03,performance,EMP0320,completed
PRM0175,EMP0539,JOB0962,JOB0393,G05,G07,94486.38,109867.24,16.28,2026-12-03,role_expansion,EMP0540,approved
PRM0176,EMP0178,JOB0834,JOB0980,G04,G05,95052.80,102736.03,8.08,2025-04-20,performance,EMP0896,rescinded
PRM0177,EMP0629,JOB0465,JOB0510,G07,G09,118364.47,133593.66,12.87,2026-07-14,performance,EMP0048,completed
PRM0178,EMP0190,JOB0152,JOB0808,G09,G11,127799.87,144033.58,12.70,2021-12-28,critical_skill,EMP0568,rescinded
PRM0179,EMP0346,JOB0242,JOB0467,G10,G12,158122.31,188598.88,19.27,2026-10-25,retention,EMP0432,approved
PRM0180,EMP0263,JOB0085,JOB0626,G04,G06,92033.09,110113.78,19.65,2020-04-03,retention,EMP0285,completed
PRM0181,EMP0519,JOB0851,JOB0885,G07,G08,128706.77,156890.89,21.90,2020-10-02,market_adjustment,EMP0005,completed
PRM0182,EMP0382,JOB0144,JOB0910,G05,G06,111728.10,125007.20,11.89,2025-04-08,critical_skill,EMP0334,rescinded
PRM0183,EMP0116,JOB0071,JOB0340,G04,G05,28796.58,31382.43,8.98,2023-03-19,market_adjustment,EMP0469,completed
PRM0184,EMP0734,JOB0808,JOB0696,G01,G02,68040.20,75404.02,10.82,2021-04-01,performance,EMP0565,approved
PRM0185,EMP0066,JOB0779,JOB0004,G07,G08,124491.12,144527.53,16.09,2021-04-02,performance,EMP0421,completed
PRM0186,EMP0856,JOB0825,JOB0355,G11,G12,128169.38,146507.12,14.31,2023-03-16,market_adjustment,EMP0388,approved
PRM0187,EMP0131,JOB0435,JOB0122,G05,G06,101996.75,109352.25,7.21,2025-04-02,performance,EMP0074,rescinded
PRM0188,EMP0521,JOB0566,JOB0585,G06,G07,134981.49,146571.02,8.59,2024-04-18,retention,EMP0899,approved
PRM0189,EMP0720,JOB0963,JOB0641,G09,G10,133521.84,156529.36,17.23,2023-01-29,market_adjustment,EMP0940,completed
PRM0190,EMP0049,JOB0237,JOB0444,G02,G03,87569.09,102427.78,16.97,2023-04-21,role_expansion,EMP0533,rescinded
PRM0191,EMP0834,JOB0112,JOB0213,G01,G02,58269.52,66030.35,13.32,2026-05-24,critical_skill,EMP0210,completed
PRM0192,EMP0585,JOB0211,JOB0456,G02,G03,67253.95,74994.04,11.51,2018-11-28,performance,EMP0957,approved
PRM0193,EMP0733,JOB0923,JOB0288,G10,G12,163022.63,178336.75,9.39,2026-03-18,market_adjustment,EMP0364,completed
PRM0194,EMP0168,JOB0361,JOB0894,G07,G09,114772.37,123471.53,7.58,2023-08-02,retention,EMP0977,completed
PRM0195,EMP0601,JOB0077,JOB0065,G05,G07,100355.85,113483.79,13.08,2018-09-03,retention,EMP0812,completed
PRM0196,EMP0963,JOB0168,JOB0328,G01,G03,64561.04,72155.29,11.76,2020-10-06,critical_skill,EMP0426,completed
PRM0197,EMP0571,JOB0335,JOB0840,G12,G12,162370.55,188171.38,15.89,2026-07-01,performance,EMP0706,rescinded
PRM0198,EMP0652,JOB0435,JOB0135,G03,G04,81714.17,87024.15,6.50,2022-05-02,critical_skill,EMP0324,completed
PRM0199,EMP0576,JOB0680,JOB0238,G07,G09,116400.20,138983.78,19.40,2025-02-23,retention,EMP0437,completed
PRM0200,EMP0300,JOB0143,JOB0843,G06,G08,107967.06,119653.04,10.82,2022-06-23,role_expansion,EMP0237,rescinded
PRM0201,EMP0404,JOB0863,JOB0259,G01,G03,50632.61,61046.10,20.57,2020-09-08,performance,EMP0275,completed
PRM0202,EMP0183,JOB0527,JOB0515,G03,G04,90759.53,99992.43,10.17,2026-04-21,performance,EMP0918,completed
PRM0203,EMP0314,JOB0998,JOB0070,G02,G04,78963.35,86815.58,9.94,2026-01-01,market_adjustment,EMP0340,completed
PRM0204,EMP0020,JOB0515,JOB0404,G12,G12,157992.77,167803.96,6.21,2024-12-23,role_expansion,EMP0382,completed
PRM0205,EMP0021,JOB0960,JOB0496,G08,G10,114389.12,137509.13,20.21,2022-02-01,market_adjustment,EMP0758,rescinded
PRM0206,EMP0913,JOB0507,JOB0666,G06,G08,123630.48,144016.90,16.49,2025-10-09,critical_skill,EMP0936,rescinded
PRM0207,EMP0499,JOB0535,JOB0204,G05,G06,98083.75,105430.70,7.49,2025-01-02,role_expansion,EMP0684,completed
PRM0208,EMP0920,JOB0496,JOB0395,G11,G12,158107.83,174609.58,10.44,2023-12-26,retention,EMP0725,completed
PRM0209,EMP0816,JOB0460,JOB0212,G05,G06,107233.79,123953.82,15.59,2019-06-29,market_adjustment,EMP0849,completed
PRM0210,EMP0416,JOB0295,JOB0078,G11,G12,57360.65,61659.48,7.49,2022-10-23,retention,EMP0274,approved
