transfer_id,employee_id,transfer_type,from_job_id,to_job_id,from_department,to_department,from_location,to_location,from_manager_id,to_manager_id,effective_date,reason,status
XFR0027,EMP0260,entity,JOB0618,JOB0095,Legal,Sales,"Hyderabad, IN","London, UK",EMP0140,EMP0443,2024-11-16,business_need,approved
XFR0028,EMP0322,department,JOB0492,JOB0063,Finance,Legal,"Seattle, US","Dallas, US",EMP0173,EMP0898,2022-05-14,business_need,approved
XFR0029,EMP0030,entity,JOB0115,JOB0242,Sales,Facilities,"Austin, US","San Francisco, US",EMP0188,EMP0192,2023-05-20,backfill,completed
XFR0030,EMP0223,temporary,JOB0666,JOB0624,HR,Facilities,"Bengaluru, IN","Atlanta, US",EMP0007,EMP0872,2026-07-31,career_growth,approved
XFR0031,EMP0343,entity,JOB0859,JOB0773,Security,Security,"Austin, US","Toronto, CA",EMP0570,EMP0446,2025-12-02,employee_request,cancelled
XFR0032,EMP0866,manager,JOB0723,JOB0457,Finance,Customer Success,"Denver, US","Dallas, US",EMP0486,EMP0971,2022-10-04,backfill,approved
XFR0033,EMP0632,location,JOB0676,JOB0148,IT,Facilities,"London, UK","Denver, US",EMP0678,EMP0769,2026-03-08,org_redesign,approved
XFR0034,EMP0681,entity,JOB0115,JOB0733,Sales,Legal,"Austin, US","Atlanta, US",EMP0271,EMP0898,2023-03-30,backfill,approved
XFR0035,EMP0633,department,JOB0533,JOB0495,Product,Security,"Atlanta, US","Austin, US",EMP0542,EMP0820,2025-03-30,career_growth,completed
XFR0036,EMP0117,department,JOB0108,JOB0482,HR,Operations,"San Francisco, US","New York, US",EMP0912,EMP0840,2017-07-15,employee_request,completed
XFR0037,EMP0704,temporary,JOB0806,JOB0296,Finance,Marketing,"Seattle, US","London, UK",EMP0787,EMP0244,2026-02-08,career_growth,completed
XFR0038,EMP0918,manager,JOB0509,JOB0518,Product,Product,"Chicago, US","Hyderabad, IN",EMP0176,EMP0263,2025-07-21,employee_request,approved
XFR0039,EMP0130,manager,JOB0877,JOB0589,Security,Sales,"Dallas, US","Dallas, US",EMP0699,EMP0288,2024-02-18,employee_request,pending
XFR0040,EMP0095,department,JOB0485,JOB0273,Marketing,Sales,"Dallas, US","Chicago, US",EMP0079,EMP0205,2022-07-21,business_need,approved
XFR0041,EMP0343,department,JOB0423,JOB0127,Engineering,Security,"San Francisco, US","San Francisco, US",EMP0378,EMP0844,2024-11-10,org_redesign,approved
XFR0042,EMP0546,temporary,JOB0115,JOB0302,Sales,HR,"Austin, US","Chicago, US",EMP0206,EMP0145,2025-03-02,org_redesign,approved
XFR0043,EMP0986,location,JOB0450,JOB0772,Facilities,Security,"London, UK","Toronto, CA",EMP0208,EMP0970,2024-09-14,org_redesign,approved
XFR0044,EMP0791,temporary,JOB0891,JOB0130,Engineering,Operations,"Bengaluru, IN","Austin, US",EMP0824,EMP0287,2018-09-24,employee_request,approved
XFR0045,EMP0426,department,JOB0934,JOB0924,Legal,Security,"Denver, US","New York, US",EMP0869,EMP0292,2026-03-25,employee_request,approved
XFR0046,EMP0247,entity,JOB0765,JOB0310,Security,HR,"Dallas, US","Chicago, US",EMP0397,EMP0933,2024-02-26,employee_request,completed
XFR0047,EMP0777,department,JOB0015,JOB0525,Facilities,HR,"New York, US","San Francisco, US",EMP0687,EMP0684,2023-01-12,employee_request,pending
XFR0048,EMP0372,location,JOB0799,JOB0263,Operations,Data,"Seattle, US","Dallas, US",EMP0848,EMP0910,2024-10-14,business_need,cancelled
XFR0049,EMP0570,location,JOB0885,JOB0120,Customer Success,Facilities,"Austin, US","Seattle, US",EMP0109,EMP0482,2018-11-28,org_redesign,approved
XFR0050,EMP0722,manager,JOB0749,JOB0470,IT,Marketing,"Seattle, US","Toronto, CA",EMP0239,EMP0108,2022-06-26,backfill,cancelled
XFR0051,EMP0549,temporary,JOB0897,JOB0394,HR,Facilities,"Denver, US","Seattle, US",EMP0872,EMP0957,2026-02-16,career_growth,pending
XFR0052,EMP0567,manager,JOB0008,JOB0212,Sales,IT,"Toronto, CA","Seattle, US",EMP0535,EMP0666,2023-03-30,employee_request,approved
XFR0053,EMP0867,department,JOB0027,JOB0215,Supply Chain,IT,"Toronto, CA","Toronto, CA",EMP0735,EMP0087,2025-07-01,employee_request,approved
XFR0054,EMP0391,manager,JOB0781,JOB0397,Data,Marketing,"Austin, US","Bengaluru, IN",EMP0675,EMP0262,2024-07-05,business_need,cancelled
XFR0055,EMP0412,temporary,JOB0494,JOB0610,Product,Product,"Denver, US","Chicago, US",EMP0068,EMP0400,2025-07-21,career_growth,cancelled
XFR0056,EMP0380,temporary,JOB0599,JOB0121,Facilities,HR,"Hyderabad, IN","Toronto, CA",EMP0147,EMP0499,2025-08-19,career_growth,approved
XFR0057,EMP0486,location,JOB0602,JOB0056,Data,Engineering,"Atlanta, US","Denver, US",EMP0189,EMP0368,2026-05-11,business_need,approved
XFR0058,EMP0499,location,JOB0891,JOB0111,Engineering,Security,"Bengaluru, IN","London, UK",EMP0268,EMP0647,2020-02-23,business_need,approved
XFR0059,EMP0913,entity,JOB0895,JOB0439,Sales,Customer Success,"Atlanta, US","San Francisco, US",EMP0775,EMP0064,2025-08-14,business_need,completed
XFR0060,EMP0637,location,JOB0741,JOB0341,Operations,Operations,"San Francisco, US","Bengaluru, IN",EMP0731,EMP0784,2023-11-17,backfill,approved
XFR0061,EMP0742,manager,JOB0808,JOB0703,Security,HR,"Bengaluru, IN","New York, US",EMP0487,EMP0633,2022-10-26,employee_request,approved
XFR0062,EMP0667,temporary,JOB0860,JOB0081,Legal,Finance,"Denver, US","San Francisco, US",EMP0423,EMP0559,2025-12-06,employee_request,approved
XFR0063,EMP0162,manager,JOB0370,JOB0718,Finance,HR,"Toronto, CA","Austin, US",EMP0566,EMP0659,2025-09-13,career_growth,completed
XFR0064,EMP0860,department,JOB0964,JOB0756,Security,Sales,"Hyderabad, IN","Austin, US",EMP0467,EMP0059,2026-04-01,org_redesign,completed
XFR0065,EMP0406,location,JOB0155,JOB0868,Engineering,Security,"Atlanta, US","Bengaluru, IN",EMP0210,EMP0656,2025-01-09,career_growth,completed
XFR0066,EMP0351,department,JOB0886,JOB0701,Customer Success,Customer Success,"Toronto, CA","San Francisco, US",EMP0509,EMP0855,2025-11-03,employee_request,approved
XFR0067,EMP0818,location,JOB0539,JOB0964,Finance,Security,"Austin, US","Hyderabad, IN",EMP0272,EMP0358,2023-09-16,career_growth,cancelled
XFR0068,EMP0693,entity,JOB0756,JOB0743,Sales,Supply Chain,"Austin, US","Austin, US",EMP0734,EMP0104,2026-06-04,backfill,pending
XFR0069,EMP0156,entity,JOB0024,JOB0418,Supply Chain,Finance,"Austin, US","Dallas, US",EMP0392,EMP0325,2025-06-08,org_redesign,completed
XFR0070,EMP0302,entity,JOB0630,JOB0513,Sales,Marketing,"New York, US","Chicago, US",EMP0695,EMP0272,2024-07-16,employee_request,approved
XFR0071,EMP0388,manager,JOB0485,JOB0682,Marketing,Engineering,"Dallas, US","New York, US",EMP0629,EMP0049,2023-01-13,career_growth,completed
XFR0072,EMP0059,entity,JOB0774,JOB0965,Customer Success,Engineering,"Seattle, US","San Francisco, US",EMP0383,EMP0807,2024-11-13,employee_request,cancelled
XFR0073,EMP0457,department,JOB0226,JOB0339,Engineering,Engineering,"Hyderabad, IN","Chicago, US",EMP0374,EMP0754,2026-02-20,org_redesign,approved
XFR0074,EMP0709,department,JOB0966,JOB0725,Supply Chain,HR,"San Francisco, US","Dallas, US",EMP0982,EMP0969,2022-05-29,career_growth,approved
XFR0075,EMP0210,department,JOB0183,JOB0406,HR,Engineering,"Austin, US","New York, US",EMP0460,EMP0367,2019-02-18,career_growth,cancelled
XFR0076,EMP0883,entity,JOB0802,JOB0492,Engineering,Finance,"London, UK","Seattle, US",EMP0472,EMP0743,2018-08-05,business_need,completed
XFR0077,EMP0168,manager,JOB0493,JOB0990,HR,Engineering,"London, UK","Dallas, US",EMP0112,EMP0854,2023-01-29,backfill,cancelled
XFR0078,EMP0385,entity,JOB0230,JOB0392,HR,Product,"San Francisco, US","New York, US",EMP0190,EMP0049,2025-05-05,career_growth,approved
XFR0079,EMP0589,temporary,JOB0199,JOB0268,Engineering,IT,"Atlanta, US","New York, US",EMP0036,EMP0534,2025-10-31,org_redesign,approved
XFR0080,EMP0245,entity,JOB0289,JOB0991,Legal,Finance,"Austin, US","Toronto, CA",EMP0971,EMP0566,2023-04-23,business_need,completed
XFR0081,EMP0428,department,JOB0417,JOB0761,Sales,Operations,"San Francisco, US","Seattle, US",EMP0604,EMP0303,2025-05-02,business_need,approved
XFR0082,EMP0511,temporary,JOB0297,JOB0534,Product,Facilities,"San Francisco, US","Austin, US",EMP0469,EMP0581,2025-06-07,career_growth,cancelled
XFR0083,EMP0334,entity,JOB0623,JOB0196,Engineering,HR,"Atlanta, US","London, UK",EMP0830,EMP0734,2025-01-21,business_need,approved
XFR0084,EMP0547,manager,JOB0603,JOB0735,Supply Chain,Legal,"Chicago, US","Bengaluru, IN",EMP0654,EMP0865,2022-08-25,backfill,completed
XFR0085,EMP0297,department,JOB0430,JOB0549,IT,Data,"Denver, US","Dallas, US",EMP0348,EMP0043,2019-02-18,career_growth,approved
XFR0086,EMP0571,entity,JOB0919,JOB0098,Engineering,Product,"Toronto, CA","Hyderabad, IN",EMP0210,EMP0246,2026-07-31,employee_request,cancelled
XFR0087,EMP0024,temporary,JOB0215,JOB0867,IT,Finance,"Toronto, CA","London, UK",EMP0923,EMP0157,2022-08-30,employee_request,approved
XFR0088,EMP0038,manager,JOB0254,JOB0883,Customer Success,HR,"Hyderabad, IN","New York, US",EMP0417,EMP0327,2026-01-12,employee_request,cancelled
XFR0089,EMP0774,entity,JOB0831,JOB0577,Product,Customer Success,"New York, US","Chicago, US",EMP0378,EMP0762,2025-04-08,org_redesign,cancelled
XFR0090,EMP0523,temporary,JOB0375,JOB0139,Legal,IT,"Atlanta, US","London, UK",EMP0944,EMP0861,2025-11-14,backfill,completed
XFR0091,EMP0683,manager,JOB0936,JOB0094,Customer Success,Product,"San Francisco, US","Hyderabad, IN",EMP0208,EMP0704,2022-10-27,employee_request,cancelled
XFR0092,EMP0136,temporary,JOB0526,JOB0364,Data,Marketing,"Seattle, US","Toronto, CA",EMP0872,EMP0735,2024-02-24,employee_request,cancelled
XFR0093,EMP0252,entity,JOB0384,JOB0364,Marketing,Marketing,"Chicago, US","Toronto, CA",EMP0826,EMP0808,2026-07-22,employee_request,approved
XFR0094,EMP0348,location,JOB0554,JOB0297,HR,Product,"Hyderabad, IN","San Francisco, US",EMP0339,EMP0693,2021-11-16,employee_request,approved
XFR0095,EMP0052,department,JOB0652,JOB0045,Supply Chain,HR,"Austin, US","Chicago, US",EMP0076,EMP0139,2026-03-21,business_need,completed
XFR0096,EMP0732,location,JOB0791,JOB0398,Data,Sales,"Seattle, US","Chicago, US",EMP0385,EMP0868,2025-09-10,org_redesign,completed
XFR0097,EMP0644,entity,JOB0355,JOB0514,IT,Product,"Seattle, US","Denver, US",EMP0551,EMP0046,2026-01-14,career_growth,pending
XFR0098,EMP0694,department,JOB0779,JOB0411,Facilities,Operations,"Chicago, US","Atlanta, US",EMP0720,EMP0905,2025-08-27,backfill,pending
XFR0099,EMP0287,department,JOB0200,JOB0366,IT,Sales,"London, UK","Atlanta, US",EMP0532,EMP0573,2025-03-28,org_redesign,cancelled
XFR0100,EMP0849,entity,JOB0325,JOB0838,HR,Engineering,"Bengaluru, IN","Bengaluru, IN",EMP0196,EMP0225,2024-02-27,backfill,pending
XFR0101,EMP0585,entity,JOB0107,JOB0330,Facilities,Customer Success,"Chicago, US","Seattle, US",EMP0742,EMP0719,2023-11-05,backfill,approved
XFR0102,EMP0229,manager,JOB0021,JOB0189,Security,Supply Chain,"Seattle, US","Bengaluru, IN",EMP0827,EMP0428,2022-06-29,career_growth,pending
XFR0103,EMP0846,temporary,JOB0210,JOB0213,Facilities,Marketing,"London, UK","Seattle, US",EMP0076,EMP0022,2025-09-16,employee_request,pending
XFR0104,EMP0327,location,JOB0732,JOB0486,Engineering,Product,"Atlanta, US","Denver, US",EMP0433,EMP0839,2026-06-09,backfill,approved
XFR0105,EMP0620,temporary,JOB0561,JOB0120,Legal,Facilities,"Atlanta, US","Seattle, US",EMP0510,EMP0226,2025-01-30,career_growth,completed
XFR0106,EMP0889,entity,JOB0205,JOB0355,Engineering,IT,"Toronto, CA","Seattle, US",EMP0998,EMP0733,2026-04-26,org_redesign,completed
XFR0107,EMP0614,location,JOB0452,JOB0420,Legal,Marketing,"Bengaluru, IN","Seattle, US",EMP0821,EMP0249,2025-01-02,org_redesign,approved
XFR0108,EMP0407,entity,JOB0586,JOB0809,Finance,Engineering,"Chicago, US","Denver, US",EMP0819,EMP0570,2020-12-03,career_growth,pending
XFR0109,EMP0119,entity,JOB0866,JOB0742,Data,IT,"Hyderabad, IN","Seattle, US",EMP0657,EMP0657,2025-10-14,backfill,approved
XFR0110,EMP0999,manager,JOB0757,JOB0797,Finance,Security,"Atlanta, US","Chicago, US",EMP0540,EMP0165,2026-03-12,backfill,approved
XFR0111,EMP0436,temporary,JOB0526,JOB0569,Data,Data,"Seattle, US","New York, US",EMP0030,EMP0328,2022-05-16,career_growth,approved
XFR0112,EMP0251,manager,JOB0618,JOB0013,Legal,Facilities,"Hyderabad, IN","Dallas, US",EMP0961,EMP0423,2025-06-07,backfill,completed
XFR0113,EMP0703,entity,JOB0531,JOB0577,Marketing,Customer Success,"Atlanta, US","Chicago, US",EMP0741,EMP0767,2020-12-26,org_redesign,approved
XFR0114,EMP0445,temporary,JOB0422,JOB0984,Data,Security,"San Francisco, US","San Francisco, US",EMP0239,EMP0826,2023-03-07,career_growth,cancelled
XFR0115,EMP0351,entity,JOB0227,JOB0205,Sales,Engineering,"Dallas, US","Toronto, CA",EMP0324,EMP0848,2026-05-22,employee_request,approved
XFR0116,EMP0055,entity,JOB0417,JOB0629,Sales,Supply Chain,"San Francisco, US","London, UK",EMP0187,EMP0096,2024-12-09,org_redesign,approved
XFR0117,EMP0946,temporary,JOB0827,JOB0880,Customer Success,Marketing,"Hyderabad, IN","Seattle, US",EMP0156,EMP0881,2024-03-30,business_need,approved
XFR0118,EMP0629,department,JOB0345,JOB0472,IT,Legal,"Dallas, US","London, UK",EMP0720,EMP0800,2026-07-24,org_redesign,completed
XFR0119,EMP0956,department,JOB0969,JOB0445,Marketing,Security,"Hyderabad, IN","Toronto, CA",EMP0521,EMP0166,2020-09-26,business_need,completed
XFR0120,EMP0398,department,JOB0898,JOB0629,Legal,Supply Chain,"Dallas, US","London, UK",EMP0390,EMP0771,2026-03-17,employee_request,approved
XFR0121,EMP0396,temporary,JOB0634,JOB0894,Engineering,HR,"New York, US","Seattle, US",EMP0023,EMP0416,2018-04-21,employee_request,approved
XFR0122,EMP0866,temporary,JOB0142,JOB0471,Operations,Security,"Atlanta, US","New York, US",EMP0175,EMP0311,2022-02-10,business_need,pending
XFR0123,EMP0979,temporary,JOB0323,JOB0984,Legal,Security,"Austin, US","San Francisco, US",EMP0312,EMP0711,2025-11-02,employee_request,approved
XFR0124,EMP0149,temporary,JOB0979,JOB0449,HR,Engineering,"London, UK","Chicago, US",EMP0938,EMP0044,2026-06-20,career_growth,approved
XFR0125,EMP0186,manager,JOB0762,JOB0406,Security,Engineering,"Toronto, CA","New York, US",EMP0673,EMP0958,2020-02-18,business_need,approved
XFR0126,EMP0476,temporary,JOB0551,JOB0262,Engineering,Marketing,"London, UK","New York, US",EMP0312,EMP0241,2025-08-19,backfill,approved
XFR0127,EMP0942,temporary,JOB0106,JOB0364,Finance,Marketing,"Bengaluru, IN","Toronto, CA",EMP0996,EMP0048,2022-08-02,employee_request,completed
XFR0128,EMP0623,entity,JOB0980,JOB0040,Sales,IT,"Seattle, US","London, UK",EMP0393,EMP0398,2020-04-14,career_growth,cancelled
XFR0129,EMP0507,temporary,JOB0719,JOB0872,HR,Supply Chain,"San Francisco, US","Denver, US",EMP0106,EMP0397,2018-05-21,org_redesign,pending
XFR0130,EMP0331,department,JOB0070,JOB0941,IT,Engineering,"San Francisco, US","London, UK",EMP0298,EMP0196,2022-10-15,business_need,pending
XFR0131,EMP0456,location,JOB0889,JOB0168,Security,Engineering,"Toronto, CA","Atlanta, US",EMP0006,EMP0433,2023-08-24,org_redesign,cancelled
XFR0132,EMP0549,location,JOB0941,JOB0581,Engineering,Marketing,"London, UK","Chicago, US",EMP0803,EMP0734,2021-11-18,employee_request,pending
XFR0133,EMP0211,temporary,JOB0259,JOB0377,Customer Success,Supply Chain,"Atlanta, US","San Francisco, US",EMP0234,EMP0275,2022-11-26,employee_request,pending
XFR0134,EMP0601,manager,JOB0309,JOB0508,HR,Data,"Chicago, US","San Francisco, US",EMP0796,EMP0238,2019-06-23,org_redesign,approved
XFR0135,EMP0024,location,JOB0466,JOB0563,Customer Success,Marketing,"Seattle, US","San Francisco, US",EMP0955,EMP0115,2022-12-04,employee_request,pending
XFR0136,EMP0101,temporary,JOB0930,JOB0817,IT,Engineering,"Bengaluru, IN","San Francisco, US",EMP0515,EMP0286,2025-05-09,career_growth,cancelled
XFR0137,EMP0006,location,JOB0308,JOB0665,Marketing,Finance,"Seattle, US","Bengaluru, IN",EMP0941,EMP0062,2025-01-13,org_redesign,completed
XFR0138,EMP0331,department,JOB0349,JOB0691,Operations,Security,"San Francisco, US","Seattle, US",EMP0608,EMP0256,2026-07-28,employee_request,approved
XFR0139,EMP0681,temporary,JOB0581,JOB0180,Marketing,Legal,"Chicago, US","Chicago, US",EMP0039,EMP0734,2020-04-25,backfill,approved
XFR0140,EMP0865,department,JOB0620,JOB0148,Supply Chain,Facilities,"Denver, US","Denver, US",EMP0155,EMP0408,2025-09-27,backfill,pending
XFR0141,EMP0586,manager,JOB0392,JOB0565,Product,Supply Chain,"New York, US","Chicago, US",EMP0789,EMP0580,2022-11-26,career_growth,pending
XFR0142,EMP0919,manager,JOB0629,JOB0209,Supply Chain,Engineering,"London, UK","Chicago, US",EMP0017,EMP0462,2024-10-21,business_need,completed
XFR0143,EMP0899,entity,JOB0388,JOB0201,Data,Finance,"Atlanta, US","Hyderabad, IN",EMP0076,EMP0014,2025-05-20,employee_request,approved
XFR0144,EMP0054,manager,JOB0625,JOB0442,Sales,Supply Chain,"Austin, US","Toronto, CA",EMP0713,EMP0282,2025-12-07,employee_request,approved
XFR0145,EMP0568,location,JOB0057,JOB0236,Finance,Customer Success,"Atlanta, US","San Francisco, US",EMP0460,EMP0809,2024-09-14,career_growth,completed
XFR0146,EMP0437,manager,JOB0919,JOB0636,Engineering,Marketing,"Toronto, CA","Atlanta, US",EMP0975,EMP0060,2020-07-14,business_need,cancelled
XFR0147,EMP0875,location,JOB0354,JOB0741,Operations,Operations,"San Francisco, US","San Francisco, US",EMP0708,EMP0291,2019-08-21,org_redesign,approved
XFR0148,EMP0587,department,JOB0793,JOB0620,HR,Supply Chain,"Seattle, US","Denver, US",EMP0058,EMP0269,2023-05-10,career_growth,approved
XFR0149,EMP0124,temporary,JOB0112,JOB0360,Facilities,Sales,"Toronto, CA","New York, US",EMP0235,EMP0747,2018-07-08,business_need,approved
XFR0150,EMP0555,department,JOB0560,JOB0044,Marketing,Operations,"Hyderabad, IN","Toronto, CA",EMP0772,EMP0749,2022-10-07,career_growth,approved
XFR0151,EMP0661,manager,JOB0584,JOB0761,Finance,Operations,"Austin, US","Seattle, US",EMP0311,EMP0989,2025-12-27,employee_request,completed
XFR0152,EMP0304,temporary,JOB0076,JOB0367,Security,Finance,"Chicago, US","Toronto, CA",EMP0296,EMP0543,2023-02-15,career_growth,pending
XFR0153,EMP0269,entity,JOB0421,JOB0657,Sales,Facilities,"Atlanta, US","Denver, US",EMP0940,EMP0812,2026-02-19,career_growth,completed
XFR0154,EMP0047,department,JOB0832,JOB0945,Legal,Operations,"Toronto, CA","San Francisco, US",EMP0537,EMP0806,2025-11-15,business_need,cancelled
XFR0155,EMP0454,manager,JOB0697,JOB0005,Supply Chain,Data,"Dallas, US","Bengaluru, IN",EMP0878,EMP0261,2025-02-21,employee_request,completed
XFR0156,EMP0373,location,JOB0118,JOB0919,Sales,Engineering,"Chicago, US","Toronto, CA",EMP0883,EMP0068,2023-10-11,business_need,cancelled
XFR0157,EMP0714,manager,JOB0880,JOB0771,Marketing,Operations,"Seattle, US","Toronto, CA",EMP0563,EMP0132,2020-11-11,org_redesign,pending
XFR0158,EMP0387,temporary,JOB0995,JOB0456,Supply Chain,Customer Success,"Toronto, CA","Seattle, US",EMP0618,EMP0487,2024-07-07,employee_request,pending
XFR0159,EMP0506,temporary,JOB0660,JOB0434,Supply Chain,Finance,"Austin, US","Chicago, US",EMP0674,EMP0847,2025-04-19,career_growth,pending
XFR0160,EMP0809,manager,JOB0103,JOB0149,Security,Facilities,"Denver, US","Hyderabad, IN",EMP0924,EMP0752,2026-05-06,employee_request,completed
XFR0161,EMP0797,location,JOB0128,JOB0910,Sales,Legal,"New York, US","Denver, US",EMP0001,EMP0672,2025-05-08,backfill,completed
XFR0162,EMP0330,department,JOB0628,JOB0648,IT,Marketing,"Atlanta, US","Toronto, CA",EMP0701,EMP0723,2025-10-11,career_growth,completed
XFR0163,EMP0764,entity,JOB0060,JOB0890,Supply Chain,Product,"Bengaluru, IN","Hyderabad, IN",EMP0626,EMP0757,2024-04-16,career_growth,pending
XFR0164,EMP0379,temporary,JOB0967,JOB0576,Sales,Facilities,"Toronto, CA","New York, US",EMP0739,EMP0528,2019-06-19,employee_request,cancelled
XFR0165,EMP0097,manager,JOB0862,JOB0089,Facilities,Data,"Hyderabad, IN","Chicago, US",EMP0225,EMP0164,2026-07-02,employee_request,approved
XFR0166,EMP0217,location,JOB0351,JOB0322,Marketing,IT,"Atlanta, US","Seattle, US",EMP0551,EMP0742,2015-02-13,employee_request,completed
XFR0167,EMP0140,manager,JOB0149,JOB0007,Facilities,Operations,"Hyderabad, IN","Hyderabad, IN",EMP0014,EMP0389,2025-10-07,backfill,approved
XFR0168,EMP0930,entity,JOB0018,JOB0207,Finance,Operations,"Bengaluru, IN","Atlanta, US",EMP0526,EMP0023,2020-02-01,backfill,cancelled
XFR0169,EMP0327,temporary,JOB0581,JOB0114,Marketing,Sales,"Chicago, US","Austin, US",EMP0231,EMP0743,2026-07-13,career_growth,cancelled
XFR0170,EMP0885,entity,JOB0314,JOB0957,Security,Engineering,"Dallas, US","London, UK",EMP0581,EMP0295,2016-05-14,org_redesign,cancelled
XFR0171,EMP0699,location,JOB0745,JOB0853,Engineering,Sales,"Atlanta, US","London, UK",EMP0351,EMP0454,2026-04-29,employee_request,approved
XFR0172,EMP0297,department,JOB0196,JOB0766,HR,Security,"London, UK","Chicago, US",EMP0212,EMP0878,2025-08-25,employee_request,approved
XFR0173,EMP0145,temporary,JOB0756,JOB0233,Sales,Customer Success,"Austin, US","Atlanta, US",EMP0562,EMP0541,2022-06-19,org_redesign,completed
XFR0174,EMP0868,department,JOB0623,JOB0188,Engineering,Marketing,"Atlanta, US","San Francisco, US",EMP0564,EMP0494,2025-05-06,career_growth,approved
XFR0175,EMP0578,entity,JOB0391,JOB0808,Customer Success,Security,"London, UK","Bengaluru, IN",EMP0066,EMP0156,2026-03-25,org_redesign,pending
XFR0176,EMP0638,temporary,JOB0636,JOB0811,Marketing,Product,"Atlanta, US","London, UK",EMP0085,EMP0732,2025-12-30,backfill,approved
XFR0177,EMP0647,location,JOB0364,JOB0735,Marketing,Legal,"Toronto, CA","Bengaluru, IN",EMP0748,EMP0680,2026-02-16,career_growth,approved
