grade_id,grade_code,grade_name,grade_level,step,job_family,min_salary,mid_salary,max_salary,currency,is_executive,effective_from
GRD0067,G07,Grade 7 Step 6,7,6,IT Operations,116345.74,140307.28,171795.48,USD,false,2014-07-30
GRD0068,G08,Grade 8 Step 6,8,6,IT Operations,126010.52,150722.77,191527.95,USD,false,2014-08-29
GRD0069,G09,Grade 9 Step 6,9,6,Product Management,139930.43,165779.67,201823.30,USD,false,2014-09-28
GRD0070,G10,Grade 10 Step 6,10,6,Product Management,150379.54,178653.83,221862.10,USD,true,2014-10-28
GRD0071,G11,Grade 11 Step 6,11,6,Finance & Accounting,162845.63,190537.01,237755.20,USD,true,2014-11-27
GRD0072,G12,Grade 12 Step 6,12,6,Data Science,175265.13,200492.08,251775.01,USD,true,2014-12-27
GRD0073,G01,Grade 1 Step 7,1,7,Software Engineering,50960.56,58128.23,73126.16,USD,false,2014-01-31
GRD0074,G02,Grade 2 Step 7,2,7,Data Science,60272.15,72076.44,89172.90,USD,false,2014-03-02
GRD0075,G03,Grade 3 Step 7,3,7,IT Operations,70083.25,82987.58,105726.60,USD,false,2014-04-01
GRD0076,G04,Grade 4 Step 7,4,7,Customer Support,83132.97,96008.83,122387.69,USD,false,2014-05-01
GRD0077,G05,Grade 5 Step 7,5,7,Marketing,96808.38,113685.01,136153.58,USD,false,2014-05-31
GRD0078,G06,Grade 6 Step 7,6,7,Customer Support,103441.80,121589.19,154750.76,USD,false,2014-06-30
GRD0079,G07,Grade 7 Step 7,7,7,Data Science,117815.07,136930.54,169303.20,USD,false,2014-07-30
GRD0080,G08,Grade 8 Step 7,8,7,Marketing,129717.79,153389.48,185332.10,USD,false,2014-08-29
GRD0081,G09,Grade 9 Step 7,9,7,Finance & Accounting,137199.83,166516.55,208876.33,USD,false,2014-09-28
GRD0082,G10,Grade 10 Step 7,10,7,Sales,151981.79,174299.47,224695.05,USD,true,2014-10-28
GRD0083,G11,Grade 11 Step 7,11,7,Product Management,164649.34,192618.87,234986.40,USD,true,2014-11-27
GRD0084,G12,Grade 12 Step 7,12,7,People Operations,175915.23,202886.29,253758.51,USD,true,2014-12-27
GRD0085,G01,Grade 1 Step 8,1,8,Finance & Accounting,48299.41,59607.84,68449.29,USD,false,2014-01-31
GRD0086,G02,Grade 2 Step 8,2,8,IT Operations,60362.61,72701.74,88127.47,USD,false,2014-03-02
GRD0087,G03,Grade 3 Step 8,3,8,IT Operations,72573.09,84609.61,101898.26,USD,false,2014-04-01
GRD0088,G04,Grade 4 Step 8,4,8,Sales,85853.99,95022.98,120165.49,USD,false,2014-05-01
GRD0089,G05,Grade 5 Step 8,5,8,Software Engineering,96709.35,108777.70,140924.83,USD,false,2014-05-31
GRD0090,G06,Grade 6 Step 8,6,8,People Operations,107620.34,125414.22,159096.76,USD,false,2014-06-30
GRD0091,G07,Grade 7 Step 8,7,8,People Operations,114754.79,140317.28,172390.12,USD,false,2014-07-30
GRD0092,G08,Grade 8 Step 8,8,8,Finance & Accounting,125644.70,147596.93,189935.77,USD,false,2014-08-29
GRD0093,G09,Grade 9 Step 8,9,8,People Operations,141612.10,162280.57,200676.43,USD,false,2014-09-28
GRD0094,G10,Grade 10 Step 8,10,8,Data Science,152304.05,174227.82,224447.48,USD,true,2014-10-28
GRD0095,G11,Grade 11 Step 8,11,8,Data Science,160394.75,187714.58,233693.34,USD,true,2014-11-27
GRD0096,G12,Grade 12 Step 8,12,8,IT Operations,172535.17,206416.44,255487.19,USD,true,2014-12-27
GRD0097,G01,Grade 1 Step 9,1,9,Software Engineering,49521.60,56270.21,69225.27,USD,false,2014-01-31
GRD0098,G02,Grade 2 Step 9,2,9,Product Management,59208.52,69099.91,92853.12,USD,false,2014-03-02
GRD0099,G03,Grade 3 Step 9,3,9,Marketing,72028.57,82495.51,105187.80,USD,false,2014-04-01
GRD0100,G04,Grade 4 Step 9,4,9,Product Management,81741.61,99845.38,126452.55,USD,false,2014-05-01
GRD0101,G05,Grade 5 Step 9,5,9,Software Engineering,91486.26,112583.25,139159.05,USD,false,2014-05-31
GRD0102,G06,Grade 6 Step 9,6,9,Sales,105653.49,122445.19,154793.35,USD,false,2014-06-30
GRD0103,G07,Grade 7 Step 9,7,9,People Operations,117729.18,137741.75,175134.01,USD,false,2014-07-30
GRD0104,G08,Grade 8 Step 9,8,9,IT Operations,126925.15,148684.75,185980.01,USD,false,2014-08-29
GRD0105,G09,Grade 9 Step 9,9,9,Sales,141242.61,165301.41,206016.55,USD,false,2014-09-28
GRD0106,G10,Grade 10 Step 9,10,9,People Operations,153405.55,180424.99,224281.52,USD,true,2014-10-28
GRD0107,G11,Grade 11 Step 9,11,9,Software Engineering,159258.54,191987.14,235798.25,USD,true,2014-11-27
GRD0108,G12,Grade 12 Step 9,12,9,Product Management,170409.93,204690.07,253410.10,USD,true,2014-12-27
GRD0109,G01,Grade 1 Step 10,1,10,IT Operations,50363.99,56570.34,70370.34,USD,false,2014-01-31
GRD0110,G02,Grade 2 Step 10,2,10,Marketing,57937.82,69128.93,87132.94,USD,false,2014-03-02
GRD0111,G03,Grade 3 Step 10,3,10,Software Engineering,70457.67,87711.33,109732.62,USD,false,2014-04-01
GRD0112,G04,Grade 4 Step 10,4,10,IT Operations,82052.52,94537.68,125485.60,USD,false,2014-05-01
GRD0113,G05,Grade 5 Step 10,5,10,Sales,93487.62,107532.38,137697.77,USD,false,2014-05-31
GRD0114,G06,Grade 6 Step 10,6,10,Customer Support,104273.42,125276.52,153078.05,USD,false,2014-06-30
GRD0115,G07,Grade 7 Step 10,7,10,Software Engineering,114411.60,139612.61,168709.59,USD,false,2014-07-30
GRD0116,G08,Grade 8 Step 10,8,10,Legal,125364.38,147355.21,186624.11,USD,false,2014-08-29
GRD0117,G09,Grade 9 Step 10,9,10,Sales,136856.74,167032.70,207890.51,USD,false,2014-09-28
GRD0118,G10,Grade 10 Step 10,10,10,Product Management,151458.99,178590.35,224644.66,USD,true,2014-10-28
GRD0119,G11,Grade 11 Step 10,11,10,People Operations,163326.44,191847.67,237856.15,USD,true,2014-11-27
GRD0120,G12,Grade 12 Step 10,12,10,Marketing,174332.17,204538.21,250502.68,USD,true,2014-12-27
GRD0121,G01,Grade 1 Step 1,1,1,IT Operations,50110.55,59688.58,75286.64,USD,false,2014-01-31
GRD0122,G02,Grade 2 Step 1,2,1,Product Management,63008.99,73044.78,89715.64,USD,false,2014-03-02
GRD0123,G03,Grade 3 Step 1,3,1,Software Engineering,73760.64,85105.02,109044.41,USD,false,2014-04-01
GRD0124,G04,Grade 4 Step 1,4,1,Sales,80654.06,94588.85,123370.16,USD,false,2014-05-01
GRD0125,G05,Grade 5 Step 1,5,1,Data Science,93605.12,110639.56,134844.23,USD,false,2014-05-31
GRD0126,G06,Grade 6 Step 1,6,1,Software Engineering,106310.32,125446.58,155157.66,USD,false,2014-06-30
GRD0127,G07,Grade 7 Step 1,7,1,Software Engineering,116558.75,134458.77,175511.60,USD,false,2014-07-30
GRD0128,G08,Grade 8 Step 1,8,1,IT Operations,125659.24,150829.33,190431.90,USD,false,2014-08-29
GRD0129,G09,Grade 9 Step 1,9,1,Customer Support,137840.37,160938.70,202821.69,USD,false,2014-09-28
GRD0130,G10,Grade 10 Step 1,10,1,Sales,148955.77,178134.53,221032.94,USD,true,2014-10-28
GRD0131,G11,Grade 11 Step 1,11,1,People Operations,159293.83,193157.22,236071.88,USD,true,2014-11-27
GRD0132,G12,Grade 12 Step 1,12,1,Software Engineering,173703.55,204535.06,250793.20,USD,true,2014-12-27
GRD0133,G01,Grade 1 Step 2,1,2,Product Management,48377.10,59120.59,74257.40,USD,false,2014-01-31
GRD0134,G02,Grade 2 Step 2,2,2,Legal,61002.43,67936.04,85335.70,USD,false,2014-03-02
GRD0135,G03,Grade 3 Step 2,3,2,Marketing,74617.51,81761.68,103221.35,USD,false,2014-04-01
GRD0136,G04,Grade 4 Step 2,4,2,Customer Support,81860.87,97864.10,121882.71,USD,false,2014-05-01
GRD0137,G05,Grade 5 Step 2,5,2,Customer Support,95895.70,114378.77,139142.04,USD,false,2014-05-31
GRD0138,G06,Grade 6 Step 2,6,2,Marketing,108374.21,127210.15,151088.48,USD,false,2014-06-30
GRD0139,G07,Grade 7 Step 2,7,2,Customer Support,114327.21,137470.67,176047.25,USD,false,2014-07-30
GRD0140,G08,Grade 8 Step 2,8,2,Marketing,127388.86,153524.23,192025.88,USD,false,2014-08-29
GRD0141,G09,Grade 9 Step 2,9,2,Data Science,139771.59,161403.01,205051.31,USD,false,2014-09-28
GRD0142,G10,Grade 10 Step 2,10,2,Finance & Accounting,148380.23,179309.50,221450.42,USD,true,2014-10-28
GRD0143,G11,Grade 11 Step 2,11,2,Data Science,162968.83,188471.55,241336.46,USD,true,2014-11-27
GRD0144,G12,Grade 12 Step 2,12,2,Customer Support,172396.29,201197.55,258318.40,USD,true,2014-12-27
GRD0145,G01,Grade 1 Step 3,1,3,Customer Support,48809.03,59642.56,71870.81,USD,false,2014-01-31
GRD0146,G02,Grade 2 Step 3,2,3,People Operations,59526.30,73647.59,84827.53,USD,false,2014-03-02
GRD0147,G03,Grade 3 Step 3,3,3,Finance & Accounting,73835.13,81903.29,109333.94,USD,false,2014-04-01
GRD0148,G04,Grade 4 Step 3,4,3,Software Engineering,85442.69,96299.85,121085.41,USD,false,2014-05-01
GRD0149,G05,Grade 5 Step 3,5,3,People Operations,93684.54,113527.81,135065.20,USD,false,2014-05-31
GRD0150,G06,Grade 6 Step 3,6,3,People Operations,107069.43,126644.36,153358.00,USD,false,2014-06-30
GRD0151,G07,Grade 7 Step 3,7,3,Software Engineering,118774.12,135945.80,175538.21,USD,false,2014-07-30
GRD0152,G08,Grade 8 Step 3,8,3,Sales,130815.14,150210.06,186722.06,USD,false,2014-08-29
GRD0153,G09,Grade 9 Step 3,9,3,Finance & Accounting,140966.11,163376.46,200781.47,USD,false,2014-09-28
GRD0154,G10,Grade 10 Step 3,10,3,People Operations,152959.73,180140.83,221799.59,USD,true,2014-10-28
GRD0155,G11,Grade 11 Step 3,11,3,Data Science,159133.92,191928.23,237482.42,USD,true,2014-11-27
GRD0156,G12,Grade 12 Step 3,12,3,Product Management,173864.94,202074.84,250547.42,USD,true,2014-12-27
GRD0157,G01,Grade 1 Step 4,1,4,IT Operations,47177.93,57883.07,71245.34,USD,false,2014-01-31
GRD0158,G02,Grade 2 Step 4,2,4,Marketing,59172.44,72947.34,90443.05,USD,false,2014-03-02
GRD0159,G03,Grade 3 Step 4,3,4,People Operations,72761.16,83150.77,106150.65,USD,false,2014-04-01
GRD0160,G04,Grade 4 Step 4,4,4,People Operations,80857.29,98738.11,118523.35,USD,false,2014-05-01
GRD0161,G05,Grade 5 Step 4,5,4,IT Operations,96709.70,110954.82,136303.96,USD,false,2014-05-31
GRD0162,G06,Grade 6 Step 4,6,4,Finance & Accounting,108481.83,123854.73,152141.51,USD,false,2014-06-30
GRD0163,G07,Grade 7 Step 4,7,4,Sales,115310.31,135180.40,172263.16,USD,false,2014-07-30
GRD0164,G08,Grade 8 Step 4,8,4,Finance & Accounting,126522.47,148982.67,188912.95,USD,false,2014-08-29
GRD0165,G09,Grade 9 Step 4,9,4,Software Engineering,140757.99,163273.19,204101.00,USD,false,2014-09-28
GRD0166,G10,Grade 10 Step 4,10,4,IT Operations,148834.18,175514.65,223549.46,USD,true,2014-10-28
GRD0167,G11,Grade 11 Step 4,11,4,Customer Support,160471.38,193552.03,234679.41,USD,true,2014-11-27
GRD0168,G12,Grade 12 Step 4,12,4,IT Operations,173188.91,205553.15,257444.45,USD,true,2014-12-27
GRD0169,G01,Grade 1 Step 5,1,5,Data Science,48020.78,56339.33,71729.15,USD,false,2014-01-31
GRD0170,G02,Grade 2 Step 5,2,5,Customer Support,60205.22,70002.91,91836.18,USD,false,2014-03-02
GRD0171,G03,Grade 3 Step 5,3,5,Software Engineering,69660.05,84008.88,107930.59,USD,false,2014-04-01
GRD0172,G04,Grade 4 Step 5,4,5,Customer Support,85833.97,97679.79,118505.81,USD,false,2014-05-01
GRD0173,G05,Grade 5 Step 5,5,5,IT Operations,96413.54,114233.46,136549.26,USD,false,2014-05-31
GRD0174,G06,Grade 6 Step 5,6,5,Data Science,103950.09,121799.27,159320.02,USD,false,2014-06-30
GRD0175,G07,Grade 7 Step 5,7,5,Data Science,119400.59,138954.97,173052.12,USD,false,2014-07-30
GRD0176,G08,Grade 8 Step 5,8,5,Customer Support,125618.54,152560.35,184011.79,USD,false,2014-08-29
GRD0177,G09,Grade 9 Step 5,9,5,Product Management,137725.31,166772.45,206098.74,USD,false,2014-09-28
GRD0178,G10,Grade 10 Step 5,10,5,Marketing,153247.18,177972.66,221618.69,USD,true,2014-10-28
GRD0179,G11,Grade 11 Step 5,11,5,People Operations,162940.94,187648.72,234200.54,USD,true,2014-11-27
GRD0180,G12,Grade 12 Step 5,12,5,IT Operations,175618.87,201422.74,252375.10,USD,true,2014-12-27
GRD0181,G01,Grade 1 Step 6,1,6,Legal,46438.01,58333.59,76874.98,USD,false,2014-01-31
GRD0182,G02,Grade 2 Step 6,2,6,Marketing,63296.69,72297.57,92435.05,USD,false,2014-03-02
GRD0183,G03,Grade 3 Step 6,3,6,Customer Support,72000.37,84849.32,101596.30,USD,false,2014-04-01
GRD0184,G04,Grade 4 Step 6,4,6,People Operations,84287.79,96421.05,118062.91,USD,false,2014-05-01
GRD0185,G05,Grade 5 Step 6,5,6,Customer Support,96585.88,111990.46,135105.67,USD,false,2014-05-31
GRD0186,G06,Grade 6 Step 6,6,6,Sales,106551.54,127133.61,152893.53,USD,false,2014-06-30
GRD0187,G07,Grade 7 Step 6,7,6,Software Engineering,117959.75,138931.49,170593.76,USD,false,2014-07-30
GRD0188,G08,Grade 8 Step 6,8,6,People Operations,126281.74,152699.74,190374.99,USD,false,2014-08-29
GRD0189,G09,Grade 9 Step 6,9,6,IT Operations,136756.74,163845.30,202259.82,USD,false,2014-09-28
GRD0190,G10,Grade 10 Step 6,10,6,Sales,148956.19,175177.96,223621.56,USD,true,2014-10-28
GRD0191,G11,Grade 11 Step 6,11,6,Marketing,159483.09,191177.82,238855.85,USD,true,2014-11-27
GRD0192,G12,Grade 12 Step 6,12,6,Sales,172929.83,206381.73,250611.60,USD,true,2014-12-27
GRD0193,G01,Grade 1 Step 7,1,7,Legal,47289.78,57339.87,70117.94,USD,false,2014-01-31
GRD0194,G02,Grade 2 Step 7,2,7,Legal,58504.81,68207.70,85331.16,USD,false,2014-03-02
GRD0195,G03,Grade 3 Step 7,3,7,People Operations,71550.90,85988.04,104053.72,USD,false,2014-04-01
GRD0196,G04,Grade 4 Step 7,4,7,Data Science,86005.52,100728.01,120714.73,USD,false,2014-05-01
GRD0197,G05,Grade 5 Step 7,5,7,Product Management,95222.98,111146.10,138439.44,USD,false,2014-05-31
GRD0198,G06,Grade 6 Step 7,6,7,Marketing,106534.38,123362.47,154162.25,USD,false,2014-06-30
GRD0199,G07,Grade 7 Step 7,7,7,Finance & Accounting,116473.63,134726.81,168143.59,USD,false,2014-07-30
GRD0200,G08,Grade 8 Step 7,8,7,Data Science,127181.35,153793.05,185066.99,USD,false,2014-08-29
GRD0201,G09,Grade 9 Step 7,9,7,Sales,138590.71,165729.25,203193.77,USD,false,2014-09-28
GRD0202,G10,Grade 10 Step 7,10,7,People Operations,148117.22,178516.27,218750.55,USD,true,2014-10-28
GRD0203,G11,Grade 11 Step 7,11,7,IT Operations,164236.65,188206.88,236735.40,USD,true,2014-11-27
GRD0204,G12,Grade 12 Step 7,12,7,Customer Support,170262.61,202934.53,257126.99,USD,true,2014-12-27
GRD0205,G01,Grade 1 Step 8,1,8,People Operations,46669.66,54865.50,68821.00,USD,false,2014-01-31
GRD0206,G02,Grade 2 Step 8,2,8,Software Engineering,59179.90,73006.28,92562.51,USD,false,2014-03-02
GRD0207,G03,Grade 3 Step 8,3,8,Finance & Accounting,71042.59,83386.30,109569.95,USD,false,2014-04-01
GRD0208,G04,Grade 4 Step 8,4,8,Software Engineering,81692.64,99244.79,120604.68,USD,false,2014-05-01
GRD0209,G05,Grade 5 Step 8,5,8,Marketing,93140.54,112503.85,139543.02,USD,false,2014-05-31
GRD0210,G06,Grade 6 Step 8,6,8,Data Science,102779.76,122363.68,155036.00,USD,false,2014-06-30
GRD0211,G07,Grade 7 Step 8,7,8,Customer Support,119473.43,136641.95,169634.02,USD,false,2014-07-30
GRD0212,G08,Grade 8 Step 8,8,8,People Operations,129898.80,148115.68,188282.66,USD,false,2014-08-29
GRD0213,G09,Grade 9 Step 8,9,8,Software Engineering,141068.31,165520.57,207627.51,USD,false,2014-09-28
GRD0214,G10,Grade 10 Step 8,10,8,Product Management,151164.04,175911.82,219818.61,USD,true,2014-10-28
GRD0215,G11,Grade 11 Step 8,11,8,Finance & Accounting,163440.93,190985.45,238008.75,USD,true,2014-11-27
GRD0216,G12,Grade 12 Step 8,12,8,People Operations,174500.67,201806.42,250683.33,USD,true,2014-12-27
GRD0217,G01,Grade 1 Step 9,1,9,Software Engineering,49256.36,58382.85,69667.23,USD,false,2014-01-31
GRD0218,G02,Grade 2 Step 9,2,9,People Operations,62854.07,74665.98,87097.19,USD,false,2014-03-02
GRD0219,G03,Grade 3 Step 9,3,9,Data Science,70135.67,83980.32,109868.97,USD,false,2014-04-01
GRD0220,G04,Grade 4 Step 9,4,9,Customer Support,81170.77,95217.23,121850.46,USD,false,2014-05-01
GRD0221,G05,Grade 5 Step 9,5,9,Sales,95783.13,113369.21,140136.91,USD,false,2014-05-31
GRD0222,G06,Grade 6 Step 9,6,9,Data Science,107210.74,122778.07,153347.30,USD,false,2014-06-30
GRD0223,G07,Grade 7 Step 9,7,9,Marketing,116066.22,139067.67,169186.76,USD,false,2014-07-30
GRD0224,G08,Grade 8 Step 9,8,9,Sales,126209.34,148824.98,186426.67,USD,false,2014-08-29
GRD0225,G09,Grade 9 Step 9,9,9,Legal,137465.34,160872.15,202701.76,USD,false,2014-09-28
GRD0226,G10,Grade 10 Step 9,10,9,Sales,150577.96,175246.53,224035.33,USD,true,2014-10-28
GRD0227,G11,Grade 11 Step 9,11,9,Customer Support,164655.70,187581.09,237688.57,USD,true,2014-11-27
GRD0228,G12,Grade 12 Step 9,12,9,Sales,175014.86,206409.19,250473.12,USD,true,2014-12-27
GRD0229,G01,Grade 1 Step 10,1,10,Marketing,47797.17,54972.70,73460.50,USD,false,2014-01-31
GRD0230,G02,Grade 2 Step 10,2,10,Legal,58811.26,68368.30,89234.27,USD,false,2014-03-02
GRD0231,G03,Grade 3 Step 10,3,10,Product Management,71547.81,82868.64,108052.08,USD,false,2014-04-01
GRD0232,G04,Grade 4 Step 10,4,10,Software Engineering,80775.40,98413.41,123222.05,USD,false,2014-05-01
GRD0233,G05,Grade 5 Step 10,5,10,Sales,91615.92,109871.11,134787.19,USD,false,2014-05-31
GRD0234,G06,Grade 6 Step 10,6,10,Marketing,102861.76,125802.38,158820.36,USD,false,2014-06-30
GRD0235,G07,Grade 7 Step 10,7,10,Software Engineering,118681.21,136797.06,170675.60,USD,false,2014-07-30
GRD0236,G08,Grade 8 Step 10,8,10,Legal,126951.03,148603.51,190859.30,USD,false,2014-08-29
GRD0237,G09,Grade 9 Step 10,9,10,IT Operations,139197.02,163241.37,207395.40,USD,false,2014-09-28
GRD0238,G10,Grade 10 Step 10,10,10,IT Operations,148508.95,177334.58,222695.12,USD,true,2014-10-28
GRD0239,G11,Grade 11 Step 10,11,10,People Operations,162922.30,189702.54,236037.23,USD,true,2014-11-27
GRD0240,G12,Grade 12 Step 10,12,10,Marketing,172535.66,200454.39,256553.54,USD,true,2014-12-27
GRD0241,G01,Grade 1 Step 1,1,1,Finance & Accounting,48859.83,54750.67,74893.71,USD,false,2014-01-31
GRD0242,G02,Grade 2 Step 1,2,1,Finance & Accounting,61452.36,70546.04,88305.40,USD,false,2014-03-02
GRD0243,G03,Grade 3 Step 1,3,1,Software Engineering,71460.12,82155.31,102323.02,USD,false,2014-04-01
GRD0244,G04,Grade 4 Step 1,4,1,Data Science,82537.46,100391.58,121850.31,USD,false,2014-05-01
GRD0245,G05,Grade 5 Step 1,5,1,Product Management,92158.56,107881.70,135635.29,USD,false,2014-05-31
