leave_id,employee_id,leave_type,start_date,end_date,days_requested,days_approved,status,approver_id,reason,paid_flag,submitted_at
LVE0054,EMP0129,parental,2020-10-06,2020-10-17,12,12,approved,EMP0675,medical,true,2020-10-03 00:00:00
LVE0055,EMP0454,bereavement,2024-10-21,2024-10-26,6,6,pending,EMP0504,personal matter,true,2024-10-02 00:00:00
LVE0056,EMP0421,personal,2020-02-20,2020-02-22,3,3,pending,EMP0658,medical,true,2020-02-09 00:00:00
LVE0057,EMP0159,personal,2026-07-19,2026-08-01,14,14,approved,EMP0424,vacation,true,2026-07-01 00:00:00
LVE0058,EMP0018,sick,2019-11-05,2019-11-13,9,9,cancelled,EMP0442,vacation,true,2019-10-29 00:00:00
LVE0059,EMP0812,bereavement,2026-04-11,2026-04-23,13,13,cancelled,EMP0055,illness,true,2026-03-22 00:00:00
LVE0060,EMP0126,personal,2024-09-05,2024-09-15,11,11,pending,EMP0294,,true,2024-09-04 00:00:00
LVE0061,EMP0360,parental,2019-08-21,2019-09-07,18,18,pending,EMP0926,,true,2019-08-18 00:00:00
LVE0062,EMP0857,parental,2026-04-11,2026-05-31,51,51,approved,EMP0760,personal matter,true,2026-04-08 00:00:00
LVE0063,EMP0329,sick,2025-04-26,2025-05-04,9,9,approved,EMP0409,vacation,true,2025-04-08 00:00:00
LVE0064,EMP0101,personal,2026-05-03,2026-05-09,7,7,rejected,EMP0547,personal matter,true,2026-04-18 00:00:00
LVE0065,EMP0447,personal,2024-06-05,2024-06-06,2,2,approved,EMP0906,vacation,true,2024-06-01 00:00:00
LVE0066,EMP0122,parental,2023-04-14,2023-05-13,30,29,approved,EMP0919,,true,2023-04-12 00:00:00
LVE0067,EMP0911,comp_off,2023-04-06,2023-04-19,14,14,rejected,EMP0005,medical,true,2023-03-22 00:00:00
LVE0068,EMP0842,comp_off,2025-06-30,2025-07-08,9,8,approved,EMP0101,travel,true,2025-06-26 00:00:00
LVE0069,EMP0202,unpaid,2021-07-19,2021-07-22,4,4,pending,EMP0910,personal matter,false,2021-07-17 00:00:00
LVE0070,EMP0692,bereavement,2025-12-22,2025-12-27,6,6,approved,EMP0078,illness,true,2025-12-16 00:00:00
LVE0071,EMP0235,unpaid,2015-12-24,2015-12-30,7,7,rejected,EMP0330,travel,false,2015-12-05 00:00:00
LVE0072,EMP0518,unpaid,2024-05-27,2024-06-09,14,14,rejected,EMP0564,personal matter,false,2024-05-13 00:00:00
LVE0073,EMP0910,comp_off,2022-09-09,2022-09-09,1,0,approved,EMP0438,vacation,true,2022-09-05 00:00:00
LVE0074,EMP0678,unpaid,2025-07-30,2025-08-11,13,13,approved,EMP0022,travel,false,2025-07-20 00:00:00
LVE0075,EMP0977,bereavement,2025-11-21,2025-11-22,2,2,approved,EMP0788,travel,true,2025-11-12 00:00:00
LVE0076,EMP0903,bereavement,2025-03-14,2025-03-24,11,11,approved,EMP0021,,true,2025-02-23 00:00:00
LVE0077,EMP0209,parental,2026-01-21,2026-01-31,11,11,rejected,EMP0491,illness,true,2026-01-18 00:00:00
LVE0078,EMP0647,sick,2024-08-03,2024-08-14,12,12,approved,EMP0751,vacation,true,2024-07-26 00:00:00
LVE0079,EMP0569,comp_off,2016-06-29,2016-07-04,6,6,pending,EMP0779,family,true,2016-06-22 00:00:00
LVE0080,EMP0969,annual,2022-05-18,2022-05-23,6,6,cancelled,EMP0747,personal matter,true,2022-04-30 00:00:00
LVE0081,EMP0338,annual,2025-10-29,2025-11-03,6,6,approved,EMP0559,family,true,2025-10-15 00:00:00
LVE0082,EMP0478,parental,2022-07-27,2022-10-02,68,68,rejected,EMP0522,medical,true,2022-07-19 00:00:00
LVE0083,EMP0286,annual,2019-11-10,2019-11-21,12,12,rejected,EMP0315,medical,true,2019-10-21 00:00:00
LVE0084,EMP0392,parental,2025-05-14,2025-05-20,7,7,approved,EMP0054,illness,true,2025-05-06 00:00:00
LVE0085,EMP0824,comp_off,2025-03-10,2025-03-15,6,6,pending,EMP0617,personal matter,true,2025-03-05 00:00:00
LVE0086,EMP0727,parental,2023-01-26,2023-04-02,67,67,pending,EMP0409,travel,true,2023-01-13 00:00:00
LVE0087,EMP0985,bereavement,2016-07-01,2016-07-14,14,14,cancelled,EMP0236,travel,true,2016-06-20 00:00:00
LVE0088,EMP0212,bereavement,2026-07-31,2026-08-02,3,3,pending,EMP0121,illness,true,2026-07-26 00:00:00
LVE0089,EMP0397,bereavement,2018-10-06,2018-10-12,7,7,approved,EMP0649,medical,true,2018-09-26 00:00:00
LVE0090,EMP0908,sick,2023-04-12,2023-04-15,4,4,pending,EMP0954,illness,true,2023-04-02 00:00:00
LVE0091,EMP0761,annual,2016-04-21,2016-05-01,11,11,rejected,EMP0023,personal matter,true,2016-04-08 00:00:00
LVE0092,EMP0504,sick,2021-03-06,2021-03-06,1,1,approved,EMP0874,vacation,true,2021-02-23 00:00:00
LVE0093,EMP0923,comp_off,2026-03-11,2026-03-23,13,12,cancelled,EMP0687,vacation,true,2026-02-22 00:00:00
LVE0094,EMP0857,sick,2025-10-30,2025-11-04,6,6,approved,EMP0760,,true,2025-10-15 00:00:00
LVE0095,EMP0830,parental,2021-10-25,2021-11-12,19,19,approved,EMP0303,personal matter,true,2021-10-19 00:00:00
LVE0096,EMP0871,bereavement,2019-05-04,2019-05-09,6,6,approved,EMP0996,personal matter,true,2019-04-18 00:00:00
LVE0097,EMP0336,parental,2019-12-02,2020-01-29,59,59,pending,EMP0951,,true,2019-11-30 00:00:00
LVE0098,EMP0789,comp_off,2024-06-15,2024-06-17,3,3,approved,EMP0516,illness,true,2024-06-09 00:00:00
LVE0099,EMP0411,personal,2023-06-13,2023-06-14,2,2,cancelled,EMP0888,illness,true,2023-06-06 00:00:00
LVE0100,EMP0736,sick,2022-06-03,2022-06-16,14,14,pending,EMP0743,family,true,2022-05-28 00:00:00
LVE0101,EMP0761,comp_off,2019-04-14,2019-04-16,3,2,approved,EMP0023,illness,true,2019-04-12 00:00:00
LVE0102,EMP0726,personal,2022-06-18,2022-06-19,2,2,pending,EMP0796,illness,true,2022-06-05 00:00:00
LVE0103,EMP0834,unpaid,2026-05-17,2026-05-20,4,4,approved,EMP0333,medical,false,2026-05-08 00:00:00
LVE0104,EMP0332,annual,2026-04-17,2026-04-17,1,1,approved,EMP0263,family,true,2026-04-06 00:00:00
LVE0105,EMP0066,sick,2024-04-08,2024-04-09,2,2,approved,EMP0072,medical,true,2024-04-05 00:00:00
LVE0106,EMP0248,comp_off,2023-06-09,2023-06-16,8,7,approved,EMP0639,illness,true,2023-05-21 00:00:00
LVE0107,EMP0078,personal,2023-07-23,2023-07-23,1,1,pending,EMP0462,medical,true,2023-07-05 00:00:00
LVE0108,EMP0983,unpaid,2026-04-08,2026-04-15,8,8,approved,EMP0967,medical,false,2026-04-03 00:00:00
LVE0109,EMP0927,unpaid,2026-05-21,2026-05-26,6,6,cancelled,EMP0076,family,false,2026-05-06 00:00:00
LVE0110,EMP0822,unpaid,2022-12-11,2022-12-19,9,8,cancelled,EMP0312,personal matter,false,2022-12-08 00:00:00
LVE0111,EMP0881,sick,2025-12-15,2025-12-19,5,5,cancelled,EMP0680,illness,true,2025-12-07 00:00:00
LVE0112,EMP0983,unpaid,2025-07-14,2025-07-14,1,1,cancelled,EMP0967,personal matter,false,2025-07-03 00:00:00
LVE0113,EMP0490,parental,2022-07-04,2022-09-18,77,77,cancelled,EMP0682,personal matter,true,2022-06-18 00:00:00
LVE0114,EMP0576,bereavement,2026-03-27,2026-03-27,1,1,approved,EMP0626,vacation,true,2026-03-07 00:00:00
LVE0115,EMP0990,parental,2017-06-04,2017-08-28,86,86,pending,EMP0572,medical,true,2017-05-23 00:00:00
LVE0116,EMP0413,parental,2024-10-08,2024-11-19,43,43,approved,EMP0173,family,true,2024-10-04 00:00:00
LVE0117,EMP0959,personal,2023-06-19,2023-06-19,1,0,pending,EMP0138,personal matter,true,2023-06-10 00:00:00
LVE0118,EMP0411,annual,2024-08-19,2024-08-21,3,2,approved,EMP0888,family,true,2024-08-07 00:00:00
LVE0119,EMP0955,annual,2024-10-24,2024-11-02,10,10,approved,EMP0993,vacation,true,2024-10-17 00:00:00
LVE0120,EMP0441,parental,2025-03-07,2025-04-20,45,45,approved,EMP0261,,true,2025-02-21 00:00:00
LVE0121,EMP0159,unpaid,2026-07-19,2026-07-19,1,1,pending,EMP0424,,false,2026-07-03 00:00:00
LVE0122,EMP0436,comp_off,2020-07-20,2020-07-29,10,10,rejected,EMP0460,personal matter,true,2020-07-14 00:00:00
LVE0123,EMP0177,parental,2026-02-11,2026-03-26,44,44,rejected,EMP0495,personal matter,true,2026-01-26 00:00:00
LVE0124,EMP0141,parental,2025-11-25,2025-12-07,13,13,approved,EMP0614,illness,true,2025-11-05 00:00:00
LVE0125,EMP0192,comp_off,2026-01-16,2026-01-19,4,4,rejected,EMP0525,travel,true,2026-01-04 00:00:00
LVE0126,EMP0986,annual,2018-12-05,2018-12-17,13,13,pending,EMP0862,travel,true,2018-11-19 00:00:00
LVE0127,EMP0296,personal,2025-06-16,2025-06-27,12,12,approved,EMP0676,illness,true,2025-06-15 00:00:00
LVE0128,EMP0372,unpaid,2026-06-18,2026-06-27,10,10,cancelled,EMP0098,travel,false,2026-06-01 00:00:00
LVE0129,EMP0759,personal,2023-02-24,2023-03-02,7,7,pending,EMP0610,travel,true,2023-02-23 00:00:00
LVE0130,EMP0244,annual,2026-01-13,2026-01-21,9,9,rejected,EMP0204,illness,true,2025-12-28 00:00:00
LVE0131,EMP0425,comp_off,2026-06-04,2026-06-16,13,13,cancelled,EMP0028,medical,true,2026-05-22 00:00:00
LVE0132,EMP0296,personal,2025-08-02,2025-08-11,10,10,approved,EMP0676,illness,true,2025-07-15 00:00:00
LVE0133,EMP0342,parental,2026-02-07,2026-04-16,69,69,rejected,EMP0316,vacation,true,2026-01-21 00:00:00
LVE0134,EMP0591,personal,2025-12-02,2025-12-05,4,4,approved,EMP0242,family,true,2025-11-30 00:00:00
LVE0135,EMP0528,personal,2020-06-19,2020-07-02,14,14,cancelled,EMP0361,vacation,true,2020-06-17 00:00:00
LVE0136,EMP0288,comp_off,2021-12-12,2021-12-16,5,5,cancelled,EMP0722,medical,true,2021-12-09 00:00:00
LVE0137,EMP0756,unpaid,2025-08-25,2025-09-02,9,9,approved,EMP0402,family,false,2025-08-18 00:00:00
LVE0138,EMP0428,personal,2015-05-02,2015-05-05,4,4,approved,EMP0331,personal matter,true,2015-04-13 00:00:00
LVE0139,EMP0504,parental,2020-10-26,2021-01-03,70,70,approved,EMP0874,vacation,true,2020-10-16 00:00:00
LVE0140,EMP0469,personal,2015-02-08,2015-02-14,7,6,pending,EMP0840,illness,true,2015-01-27 00:00:00
LVE0141,EMP0248,unpaid,2023-03-04,2023-03-15,12,12,cancelled,EMP0639,medical,false,2023-02-16 00:00:00
LVE0142,EMP0511,parental,2025-04-07,2025-06-26,81,81,pending,EMP0831,,true,2025-03-31 00:00:00
LVE0143,EMP0480,unpaid,2026-05-04,2026-05-13,10,10,approved,EMP0205,personal matter,false,2026-04-17 00:00:00
LVE0144,EMP0537,comp_off,2026-02-28,2026-03-12,13,13,pending,EMP0401,illness,true,2026-02-11 00:00:00
LVE0145,EMP0630,annual,2025-05-05,2025-05-08,4,4,pending,EMP0742,travel,true,2025-04-15 00:00:00
LVE0146,EMP0704,annual,2025-03-09,2025-03-21,13,12,cancelled,EMP0254,family,true,2025-03-01 00:00:00
LVE0147,EMP0870,annual,2024-05-29,2024-06-04,7,7,cancelled,EMP0003,family,true,2024-05-13 00:00:00
LVE0148,EMP0512,unpaid,2024-07-08,2024-07-12,5,5,rejected,EMP0388,,false,2024-06-28 00:00:00
LVE0149,EMP0447,comp_off,2024-07-29,2024-08-07,10,10,cancelled,EMP0906,personal matter,true,2024-07-09 00:00:00
LVE0150,EMP0512,parental,2023-05-11,2023-05-26,16,16,approved,EMP0388,vacation,true,2023-05-04 00:00:00
LVE0151,EMP0115,unpaid,2023-03-03,2023-03-06,4,4,approved,EMP0386,illness,false,2023-02-16 00:00:00
LVE0152,EMP0821,sick,2018-06-16,2018-06-16,1,1,approved,EMP0752,,true,2018-06-05 00:00:00
LVE0153,EMP0009,annual,2026-08-02,2026-08-12,11,11,cancelled,EMP0253,personal matter,true,2026-07-27 00:00:00
LVE0154,EMP0721,bereavement,2024-08-29,2024-09-09,12,11,rejected,EMP0732,vacation,true,2024-08-18 00:00:00
LVE0155,EMP0534,sick,2026-03-08,2026-03-09,2,2,rejected,EMP0131,personal matter,true,2026-02-23 00:00:00
LVE0156,EMP0839,annual,2015-03-29,2015-04-06,9,9,cancelled,EMP0857,vacation,true,2015-03-25 00:00:00
LVE0157,EMP0201,comp_off,2025-05-07,2025-05-16,10,10,rejected,EMP0229,,true,2025-05-04 00:00:00
LVE0158,EMP0851,parental,2020-01-30,2020-04-24,86,86,approved,EMP0537,vacation,true,2020-01-19 00:00:00
LVE0159,EMP0831,comp_off,2022-07-11,2022-07-14,4,4,pending,EMP0134,personal matter,true,2022-07-09 00:00:00
LVE0160,EMP0147,parental,2025-03-14,2025-04-10,28,28,approved,EMP0807,vacation,true,2025-03-05 00:00:00
LVE0161,EMP0225,parental,2023-07-25,2023-08-03,10,10,rejected,EMP0022,vacation,true,2023-07-09 00:00:00
LVE0162,EMP0268,bereavement,2026-04-25,2026-05-03,9,9,cancelled,EMP0496,family,true,2026-04-20 00:00:00
LVE0163,EMP0761,bereavement,2024-06-08,2024-06-21,14,14,cancelled,EMP0023,travel,true,2024-05-21 00:00:00
LVE0164,EMP0832,sick,2024-11-12,2024-11-19,8,8,approved,EMP0513,vacation,true,2024-11-04 00:00:00
LVE0165,EMP0469,annual,2025-07-04,2025-07-05,2,2,approved,EMP0840,personal matter,true,2025-06-21 00:00:00
LVE0166,EMP0421,bereavement,2024-02-02,2024-02-09,8,8,cancelled,EMP0658,vacation,true,2024-01-29 00:00:00
LVE0167,EMP0399,annual,2022-10-23,2022-11-03,12,12,cancelled,EMP0714,illness,true,2022-10-06 00:00:00
LVE0168,EMP0829,annual,2023-02-14,2023-02-19,6,6,approved,EMP0310,travel,true,2023-01-27 00:00:00
LVE0169,EMP0207,annual,2014-08-18,2014-08-18,1,1,pending,EMP0869,medical,true,2014-08-05 00:00:00
LVE0170,EMP0814,sick,2022-07-16,2022-07-17,2,2,approved,EMP0923,family,true,2022-07-14 00:00:00
LVE0171,EMP0500,personal,2025-03-20,2025-03-30,11,11,cancelled,EMP0537,vacation,true,2025-03-09 00:00:00
LVE0172,EMP0307,unpaid,2026-05-10,2026-05-20,11,11,rejected,EMP0187,vacation,false,2026-04-29 00:00:00
LVE0173,EMP0866,sick,2022-10-17,2022-10-30,14,14,pending,EMP0236,family,true,2022-10-12 00:00:00
LVE0174,EMP0022,annual,2022-09-04,2022-09-16,13,13,approved,EMP0435,illness,true,2022-08-31 00:00:00
LVE0175,EMP0920,unpaid,2025-07-18,2025-07-25,8,8,approved,EMP0453,vacation,false,2025-06-28 00:00:00
LVE0176,EMP0507,bereavement,2018-08-08,2018-08-20,13,13,approved,EMP0281,illness,true,2018-07-19 00:00:00
LVE0177,EMP0322,personal,2022-11-09,2022-11-13,5,4,pending,EMP0620,medical,true,2022-10-27 00:00:00
LVE0178,EMP0939,comp_off,2022-03-24,2022-04-05,13,13,approved,EMP0567,personal matter,true,2022-03-15 00:00:00
LVE0179,EMP0314,unpaid,2025-05-28,2025-06-05,9,9,pending,EMP0348,,false,2025-05-26 00:00:00
LVE0180,EMP0352,bereavement,2023-02-11,2023-02-19,9,9,approved,EMP0234,medical,true,2023-01-31 00:00:00
LVE0181,EMP0893,parental,2026-01-07,2026-02-05,30,30,approved,EMP0937,travel,true,2025-12-23 00:00:00
LVE0182,EMP0851,parental,2022-04-10,2022-04-29,20,20,cancelled,EMP0537,,true,2022-03-26 00:00:00
LVE0183,EMP0993,bereavement,2025-02-09,2025-02-12,4,4,approved,EMP0075,travel,true,2025-02-04 00:00:00
LVE0184,EMP0201,annual,2022-09-02,2022-09-14,13,13,pending,EMP0229,travel,true,2022-08-26 00:00:00
LVE0185,EMP0955,parental,2022-11-09,2022-12-13,35,34,rejected,EMP0993,medical,true,2022-10-27 00:00:00
LVE0186,EMP0853,annual,2022-05-30,2022-06-11,13,13,approved,EMP0687,,true,2022-05-17 00:00:00
LVE0187,EMP0289,sick,2025-03-04,2025-03-16,13,12,approved,EMP0108,family,true,2025-02-16 00:00:00
LVE0188,EMP0452,annual,2023-01-17,2023-01-17,1,1,approved,EMP0859,,true,2023-01-12 00:00:00
LVE0189,EMP0764,sick,2026-07-25,2026-07-29,5,5,rejected,EMP0824,travel,true,2026-07-13 00:00:00
LVE0190,EMP0291,bereavement,2022-04-26,2022-05-09,14,14,cancelled,EMP0920,personal matter,true,2022-04-10 00:00:00
LVE0191,EMP0077,unpaid,2024-04-08,2024-04-19,12,12,approved,EMP0551,vacation,false,2024-03-27 00:00:00
LVE0192,EMP0798,parental,2019-01-04,2019-02-21,49,49,cancelled,EMP0002,personal matter,true,2018-12-25 00:00:00
LVE0193,EMP0654,sick,2022-05-09,2022-05-12,4,4,rejected,EMP0695,medical,true,2022-04-21 00:00:00
LVE0194,EMP0105,annual,2025-01-28,2025-02-06,10,9,cancelled,EMP0438,travel,true,2025-01-26 00:00:00
LVE0195,EMP0297,parental,2024-08-01,2024-09-26,57,57,approved,EMP0103,travel,true,2024-07-26 00:00:00
LVE0196,EMP0368,bereavement,2026-03-18,2026-03-23,6,5,approved,EMP0662,medical,true,2026-03-02 00:00:00
LVE0197,EMP0487,unpaid,2022-07-02,2022-07-12,11,11,approved,EMP0593,family,false,2022-06-29 00:00:00
LVE0198,EMP0553,comp_off,2025-02-21,2025-02-28,8,8,pending,EMP0340,,true,2025-02-10 00:00:00
LVE0199,EMP0405,personal,2026-04-11,2026-04-19,9,9,rejected,EMP0987,illness,true,2026-03-26 00:00:00
LVE0200,EMP0229,comp_off,2026-06-12,2026-06-24,13,13,rejected,EMP0641,illness,true,2026-05-24 00:00:00
LVE0201,EMP0479,annual,2017-06-23,2017-07-03,11,10,cancelled,EMP0068,family,true,2017-06-16 00:00:00
LVE0202,EMP0729,parental,2022-11-20,2022-11-29,10,10,approved,EMP0203,vacation,true,2022-11-16 00:00:00
LVE0203,EMP0851,sick,2017-06-07,2017-06-20,14,14,rejected,EMP0537,vacation,true,2017-05-20 00:00:00
LVE0204,EMP0756,annual,2025-06-21,2025-06-24,4,4,approved,EMP0402,family,true,2025-06-15 00:00:00
LVE0205,EMP0272,sick,2023-03-04,2023-03-07,4,3,pending,EMP0488,family,true,2023-02-23 00:00:00
LVE0206,EMP0800,annual,2025-12-14,2025-12-20,7,6,approved,EMP0698,travel,true,2025-11-28 00:00:00
LVE0207,EMP0558,unpaid,2024-09-17,2024-09-21,5,5,pending,EMP0398,travel,false,2024-09-08 00:00:00
LVE0208,EMP0885,annual,2017-12-09,2017-12-14,6,6,rejected,EMP0881,family,true,2017-11-25 00:00:00
LVE0209,EMP0152,annual,2026-06-17,2026-06-26,10,10,approved,EMP0485,,true,2026-06-07 00:00:00
LVE0210,EMP0620,sick,2022-05-06,2022-05-17,12,12,approved,EMP0587,personal matter,true,2022-05-03 00:00:00
LVE0211,EMP0830,parental,2019-11-15,2019-12-24,40,40,rejected,EMP0303,medical,true,2019-10-28 00:00:00
LVE0212,EMP0712,comp_off,2025-08-30,2025-09-10,12,12,approved,EMP0620,travel,true,2025-08-19 00:00:00
LVE0213,EMP0687,parental,2023-03-07,2023-04-15,40,40,approved,EMP0524,,true,2023-02-17 00:00:00
LVE0214,EMP0441,personal,2024-07-19,2024-07-30,12,12,approved,EMP0261,illness,true,2024-07-18 00:00:00
LVE0215,EMP0186,annual,2019-01-02,2019-01-02,1,0,approved,EMP1000,vacation,true,2018-12-26 00:00:00
LVE0216,EMP0076,annual,2022-12-30,2023-01-02,4,3,rejected,EMP0501,medical,true,2022-12-23 00:00:00
LVE0217,EMP0530,parental,2020-07-02,2020-09-27,88,88,approved,EMP0038,,true,2020-06-21 00:00:00
LVE0218,EMP0363,bereavement,2021-07-22,2021-07-23,2,2,cancelled,EMP0231,medical,true,2021-07-08 00:00:00
LVE0219,EMP0562,unpaid,2025-01-31,2025-02-07,8,8,approved,EMP0805,personal matter,false,2025-01-14 00:00:00
LVE0220,EMP0026,sick,2025-08-30,2025-09-03,5,5,rejected,EMP0900,personal matter,true,2025-08-10 00:00:00
LVE0221,EMP0726,parental,2023-02-15,2023-03-22,36,36,approved,EMP0796,medical,true,2023-01-31 00:00:00
LVE0222,EMP0343,sick,2026-02-18,2026-02-26,9,9,approved,EMP0894,personal matter,true,2026-02-07 00:00:00
LVE0223,EMP0563,sick,2023-11-24,2023-11-25,2,2,cancelled,EMP0285,family,true,2023-11-13 00:00:00
LVE0224,EMP0219,annual,2025-10-06,2025-10-17,12,12,rejected,EMP0775,vacation,true,2025-09-21 00:00:00
LVE0225,EMP0575,parental,2026-01-28,2026-02-01,5,5,rejected,EMP0382,illness,true,2026-01-21 00:00:00
