salary_hike_id,employee_id,effective_date,previous_salary,new_salary,increase_amount,increase_pct,currency,hike_reason,review_cycle,approved_by,status
SLH0057,EMP0060,2025-01-16,23094.74,24942.32,1847.58,8.00,INR,spot_adjustment,H2,EMP0317,pending
SLH0058,EMP0454,2025-06-01,54252.66,55880.24,1627.58,3.00,USD,spot_adjustment,H2,EMP0947,rejected
SLH0059,EMP0440,2026-05-28,157176.78,169750.93,12574.14,8.00,USD,retention,H1,EMP0611,paid
SLH0060,EMP0251,2026-05-28,160180.21,172994.63,12814.42,8.00,USD,market_correction,Off-cycle,EMP0227,approved
SLH0061,EMP0674,2026-02-16,129380.44,133908.76,4528.32,3.50,USD,promotion,H2,EMP0455,rejected
SLH0062,EMP0047,2026-05-29,56163.11,61779.42,5616.31,10.00,GBP,spot_adjustment,Off-cycle,EMP0917,rejected
SLH0063,EMP0696,2024-04-21,197439.08,221131.77,23692.69,12.00,USD,retention,Off-cycle,EMP0178,approved
SLH0064,EMP0128,2025-12-31,164119.68,169863.87,5744.19,3.50,USD,market_correction,Annual,EMP0101,rejected
SLH0065,EMP0214,2024-01-01,173648.82,187540.73,13891.91,8.00,GBP,retention,H2,EMP0040,pending
SLH0066,EMP0284,2024-10-29,148586.25,157501.43,8915.18,6.00,USD,promotion,Off-cycle,EMP0512,pending
SLH0067,EMP0158,2023-10-21,48517.27,51616.90,3099.63,6.39,INR,market_correction,Off-cycle,EMP0708,rejected
SLH0068,EMP0355,2021-08-06,73758.06,75970.81,2212.74,3.00,USD,promotion,H2,EMP0676,approved
SLH0069,EMP0587,2024-01-04,155352.91,164674.09,9321.17,6.00,USD,market_correction,H1,EMP0819,rejected
SLH0070,EMP0912,2026-10-08,163909.39,172104.86,8195.47,5.00,USD,spot_adjustment,H1,EMP0687,rejected
SLH0071,EMP0962,2026-05-23,160832.88,173699.51,12866.63,8.00,USD,market_correction,H1,EMP0995,rejected
SLH0072,EMP0295,2026-02-02,164042.48,170604.18,6561.70,4.00,USD,promotion,Annual,EMP0100,pending
SLH0073,EMP0963,2025-06-15,66741.94,68744.20,2002.26,3.00,USD,retention,Annual,EMP0899,paid
SLH0074,EMP0745,2016-09-27,49162.34,52112.08,2949.74,6.00,USD,market_correction,H1,EMP0450,pending
SLH0075,EMP0039,2025-12-21,127934.37,135610.43,7676.06,6.00,USD,retention,Off-cycle,EMP0205,approved
SLH0076,EMP0099,2019-04-04,115134.98,128951.17,13816.20,12.00,USD,promotion,H1,EMP0898,pending
SLH0077,EMP0454,2025-12-10,51991.56,54071.22,2079.66,4.00,USD,retention,Annual,EMP0083,paid
SLH0078,EMP0734,2023-02-04,64636.46,65929.19,1292.73,2.00,USD,promotion,H1,EMP0670,rejected
SLH0079,EMP0406,2024-08-04,144519.54,158665.30,14145.75,9.79,USD,spot_adjustment,H1,EMP0448,paid
SLH0080,EMP0954,2025-11-28,197479.98,207353.98,9874.00,5.00,USD,spot_adjustment,H2,EMP0393,approved
SLH0081,EMP0942,2023-11-27,179366.39,185644.21,6277.82,3.50,USD,spot_adjustment,H1,EMP0733,pending
SLH0082,EMP0425,2022-08-16,79282.65,85625.26,6342.61,8.00,USD,market_correction,H2,EMP0729,paid
SLH0083,EMP0343,2026-05-20,110157.06,113461.77,3304.71,3.00,USD,retention,H1,EMP0609,approved
SLH0084,EMP0071,2025-10-14,71877.28,80783.68,8906.40,12.39,USD,annual_cycle,Annual,EMP0779,rejected
SLH0085,EMP0787,2024-01-20,170263.41,187289.75,17026.34,10.00,USD,spot_adjustment,Off-cycle,EMP0233,rejected
SLH0086,EMP0350,2023-07-30,173216.30,194002.25,20785.96,12.00,USD,market_correction,H1,EMP0268,approved
SLH0087,EMP0486,2026-08-17,52131.42,57344.57,5213.14,10.00,USD,annual_cycle,H2,EMP0811,paid
SLH0088,EMP0867,2025-05-08,45409.61,47680.09,2270.48,5.00,GBP,market_correction,H1,EMP0255,pending
SLH0089,EMP0211,2022-12-01,124515.02,138700.97,14185.96,11.39,USD,promotion,H1,EMP0865,approved
SLH0090,EMP0905,2024-10-18,199613.12,211589.91,11976.79,6.00,USD,promotion,H2,EMP0799,approved
SLH0091,EMP0331,2026-08-04,135327.96,139387.80,4059.84,3.00,GBP,annual_cycle,H2,EMP0044,pending
SLH0092,EMP0070,2025-08-21,133890.86,141924.32,8033.45,6.00,USD,promotion,H2,EMP0557,approved
SLH0093,EMP0912,2026-10-08,151916.09,154954.42,3038.32,2.00,USD,annual_cycle,Off-cycle,EMP0050,approved
SLH0094,EMP0141,2025-02-06,166193.31,172010.08,5816.77,3.50,USD,retention,H1,EMP0429,pending
SLH0095,EMP0294,2024-11-29,160358.13,166089.45,5731.32,3.57,USD,spot_adjustment,H2,EMP0038,paid
SLH0096,EMP0366,2024-12-19,121725.41,136332.46,14607.05,12.00,USD,retention,Off-cycle,EMP0280,approved
SLH0097,EMP0850,2022-03-06,33616.90,37650.93,4034.03,12.00,INR,annual_cycle,Off-cycle,EMP0345,paid
SLH0098,EMP0140,2025-04-14,53296.48,56494.27,3197.79,6.00,INR,spot_adjustment,Off-cycle,EMP0986,paid
SLH0099,EMP0197,2024-12-27,145931.00,148849.62,2918.62,2.00,USD,annual_cycle,H2,EMP0185,rejected
SLH0100,EMP0411,2026-05-13,123654.39,129837.11,6182.72,5.00,USD,annual_cycle,H1,EMP0326,pending
SLH0101,EMP0085,2020-05-23,62088.18,67055.23,4967.05,8.00,USD,spot_adjustment,Annual,EMP0572,pending
SLH0102,EMP0067,2026-02-20,139054.02,149940.65,10886.64,7.83,GBP,promotion,H1,EMP0338,approved
SLH0103,EMP0314,2025-05-16,85185.82,96141.81,10955.98,12.86,USD,spot_adjustment,H1,EMP0969,pending
SLH0104,EMP0004,2025-10-26,42057.53,44160.41,2102.88,5.00,INR,spot_adjustment,Off-cycle,EMP0886,pending
SLH0105,EMP0598,2023-05-15,44175.43,45058.94,883.51,2.00,GBP,market_correction,Annual,EMP0880,rejected
SLH0106,EMP0239,2021-12-26,35059.72,36111.51,1051.79,3.00,INR,retention,H1,EMP0403,pending
SLH0107,EMP0653,2017-07-15,172864.41,186693.56,13829.15,8.00,GBP,promotion,Off-cycle,EMP0324,pending
SLH0108,EMP0448,2022-04-11,71713.79,76016.61,4302.83,6.00,USD,market_correction,H1,EMP0580,approved
SLH0109,EMP0610,2022-11-06,98656.82,101616.52,2959.70,3.00,USD,market_correction,H1,EMP0935,paid
SLH0110,EMP0695,2021-12-02,143956.66,165223.44,21266.78,14.77,USD,market_correction,Off-cycle,EMP0101,paid
SLH0111,EMP0009,2019-07-05,156470.58,172117.63,15647.06,10.00,USD,market_correction,H1,EMP0669,rejected
SLH0112,EMP0522,2023-02-04,102991.23,108140.79,5149.56,5.00,USD,promotion,Off-cycle,EMP0443,paid
SLH0113,EMP0153,2023-09-30,15875.03,16192.54,317.50,2.00,INR,spot_adjustment,H1,EMP0196,rejected
SLH0114,EMP0770,2026-06-23,44932.93,46280.92,1347.99,3.00,USD,retention,H2,EMP0555,rejected
SLH0115,EMP0095,2024-04-26,170756.58,179294.41,8537.83,5.00,GBP,market_correction,Off-cycle,EMP0653,paid
SLH0116,EMP0670,2022-02-10,66504.74,68349.68,1844.94,2.77,GBP,retention,H2,EMP0097,pending
SLH0117,EMP0639,2021-09-20,138279.78,149342.16,11062.38,8.00,USD,market_correction,H2,EMP0240,approved
SLH0118,EMP0960,2020-04-12,72572.08,74125.81,1553.73,2.14,USD,promotion,H1,EMP0184,rejected
SLH0119,EMP0787,2023-09-25,158073.25,177042.04,18968.79,12.00,USD,spot_adjustment,H1,EMP0925,paid
SLH0120,EMP0607,2026-08-04,52386.01,53957.59,1571.58,3.00,USD,annual_cycle,H2,EMP0650,paid
SLH0121,EMP0694,2024-12-27,152708.68,168866.57,16157.88,10.58,USD,annual_cycle,H2,EMP0667,rejected
SLH0122,EMP0968,2022-04-23,35944.81,36663.70,718.90,2.00,INR,market_correction,H1,EMP0023,paid
SLH0123,EMP0313,2026-03-05,132111.86,140038.57,7926.71,6.00,USD,spot_adjustment,H2,EMP0455,approved
SLH0124,EMP0439,2024-04-16,146933.65,149872.32,2938.67,2.00,USD,market_correction,Annual,EMP0070,approved
SLH0125,EMP0960,2025-01-16,64325.57,66898.59,2573.02,4.00,USD,promotion,Annual,EMP0601,paid
SLH0126,EMP0057,2021-07-19,67307.58,75384.49,8076.91,12.00,USD,annual_cycle,H2,EMP0429,rejected
SLH0127,EMP0349,2023-09-19,120750.78,130410.84,9660.06,8.00,USD,annual_cycle,H2,EMP0627,approved
SLH0128,EMP0414,2025-10-23,119455.69,129012.15,9556.46,8.00,USD,promotion,H2,EMP0681,approved
SLH0129,EMP0740,2025-08-15,118814.32,123566.89,4752.57,4.00,USD,annual_cycle,H1,EMP0622,pending
SLH0130,EMP0410,2022-06-21,111736.59,115647.37,3910.78,3.50,USD,promotion,H1,EMP0935,paid
SLH0131,EMP0249,2025-02-10,109790.61,111986.42,2195.81,2.00,USD,retention,Annual,EMP0633,paid
SLH0132,EMP0309,2023-01-26,130757.98,134680.72,3922.74,3.00,USD,annual_cycle,H2,EMP0213,pending
SLH0133,EMP0429,2022-12-26,84386.05,86073.77,1687.72,2.00,USD,retention,Off-cycle,EMP0061,paid
SLH0134,EMP0587,2023-12-19,142455.81,149578.61,7122.79,5.00,USD,promotion,H2,EMP0835,paid
SLH0135,EMP0929,2026-04-21,55795.80,57469.68,1673.87,3.00,INR,retention,H2,EMP0541,approved
SLH0136,EMP0915,2021-11-04,200471.93,208490.80,8018.88,4.00,USD,promotion,Off-cycle,EMP0767,paid
SLH0137,EMP0983,2026-07-20,132700.07,143810.71,11110.63,8.37,USD,annual_cycle,H1,EMP0883,rejected
SLH0138,EMP0749,2021-06-23,138635.66,143487.91,4852.25,3.50,USD,spot_adjustment,H2,EMP0924,rejected
SLH0139,EMP0088,2025-02-17,181498.60,207892.08,26393.48,14.54,USD,spot_adjustment,H1,EMP0101,approved
SLH0140,EMP0683,2024-02-04,164239.73,169988.12,5748.39,3.50,USD,market_correction,H2,EMP0735,paid
SLH0141,EMP0484,2023-12-12,109349.64,112630.13,3280.49,3.00,GBP,annual_cycle,Annual,EMP0526,approved
SLH0142,EMP0904,2025-06-16,122461.38,132258.29,9796.91,8.00,USD,annual_cycle,Annual,EMP0174,approved
SLH0143,EMP0372,2026-02-12,152018.63,161139.75,9121.12,6.00,USD,promotion,Annual,EMP0873,pending
SLH0144,EMP0517,2024-06-24,183871.64,191226.51,7354.87,4.00,USD,spot_adjustment,Off-cycle,EMP0107,approved
SLH0145,EMP0412,2017-07-12,155381.21,161596.46,6215.25,4.00,USD,retention,Off-cycle,EMP0130,pending
SLH0146,EMP0606,2015-10-29,71489.24,74348.81,2859.57,4.00,USD,retention,H1,EMP0674,approved
SLH0147,EMP0690,2026-05-14,93445.92,99052.67,5606.76,6.00,USD,market_correction,Annual,EMP0553,rejected
SLH0148,EMP0607,2026-08-03,51750.21,54855.23,3105.01,6.00,USD,market_correction,H1,EMP0625,pending
SLH0149,EMP0414,2024-04-04,112615.13,116556.65,3941.53,3.50,USD,spot_adjustment,H1,EMP0747,approved
SLH0150,EMP0816,2021-08-16,130529.41,148031.20,17501.79,13.41,USD,spot_adjustment,Annual,EMP0127,approved
SLH0151,EMP0088,2021-06-09,188520.20,199831.41,11311.21,6.00,USD,retention,Off-cycle,EMP0723,paid
SLH0152,EMP0651,2023-09-21,85848.41,90140.83,4292.42,5.00,USD,market_correction,H1,EMP0172,pending
SLH0153,EMP0020,2025-11-30,174912.52,181034.46,6121.94,3.50,USD,spot_adjustment,Annual,EMP0238,approved
SLH0154,EMP0907,2023-11-09,29860.97,33444.29,3583.32,12.00,INR,spot_adjustment,Off-cycle,EMP0762,rejected
SLH0155,EMP0950,2026-03-23,138011.29,140771.51,2760.23,2.00,USD,market_correction,Annual,EMP0720,pending
SLH0156,EMP0641,2026-06-19,192930.28,207376.71,14446.43,7.49,USD,promotion,H1,EMP0921,approved
SLH0157,EMP0855,2025-08-27,109760.00,116345.60,6585.60,6.00,USD,retention,Annual,EMP0461,paid
SLH0158,EMP0743,2024-01-16,66678.62,69012.37,2333.75,3.50,USD,annual_cycle,H1,EMP0007,paid
SLH0159,EMP0317,2022-08-16,57546.56,60423.89,2877.33,5.00,USD,market_correction,Annual,EMP0175,pending
SLH0160,EMP0602,2026-08-03,67940.15,72016.56,4076.41,6.00,USD,retention,H1,EMP0981,rejected
SLH0161,EMP0753,2024-12-05,109186.26,112461.85,3275.59,3.00,USD,spot_adjustment,H1,EMP0893,rejected
SLH0162,EMP0235,2024-12-06,75682.88,77196.53,1513.66,2.00,USD,promotion,H1,EMP0844,approved
SLH0163,EMP0190,2022-10-15,154775.46,170253.00,15477.55,10.00,USD,market_correction,Off-cycle,EMP0761,rejected
SLH0164,EMP0753,2026-03-13,104705.37,108370.06,3664.69,3.50,USD,annual_cycle,Annual,EMP0050,pending
SLH0165,EMP0226,2024-01-28,26615.22,29276.75,2661.52,10.00,INR,spot_adjustment,H2,EMP0148,pending
SLH0166,EMP0661,2026-04-03,96106.94,101873.35,5766.42,6.00,USD,promotion,H1,EMP0019,rejected
SLH0167,EMP0380,2025-12-16,55834.43,62534.56,6700.13,12.00,INR,retention,H2,EMP0620,approved
SLH0168,EMP0580,2021-05-06,136773.18,143611.84,6838.66,5.00,USD,retention,Annual,EMP0690,pending
SLH0169,EMP0852,2025-08-07,121769.66,133946.63,12176.97,10.00,USD,annual_cycle,Annual,EMP0138,rejected
SLH0170,EMP0168,2024-07-02,134774.42,138817.65,4043.23,3.00,USD,market_correction,Annual,EMP0788,paid
SLH0171,EMP0115,2024-10-30,195165.28,214359.36,19194.08,9.83,USD,annual_cycle,H1,EMP0644,approved
SLH0172,EMP0128,2018-06-04,156090.58,161553.75,5463.17,3.50,USD,market_correction,Annual,EMP0981,pending
SLH0173,EMP0267,2023-07-29,53485.88,59904.18,6418.31,12.00,INR,spot_adjustment,H2,EMP0893,rejected
SLH0174,EMP0234,2018-01-27,62714.14,66476.99,3762.85,6.00,USD,spot_adjustment,Off-cycle,EMP0387,rejected
SLH0175,EMP0674,2025-05-23,147040.38,161744.42,14704.04,10.00,USD,retention,H1,EMP0286,rejected
SLH0176,EMP0820,2020-12-19,74872.63,76370.08,1497.45,2.00,USD,retention,H2,EMP0531,pending
SLH0177,EMP0281,2025-08-29,17649.95,18708.94,1059.00,6.00,INR,promotion,H2,EMP0769,paid
SLH0178,EMP0332,2024-06-04,180237.73,194656.75,14419.02,8.00,USD,spot_adjustment,Annual,EMP0018,paid
SLH0179,EMP0445,2023-11-11,93118.91,104293.18,11174.27,12.00,USD,promotion,H1,EMP0389,rejected
SLH0180,EMP0903,2022-10-09,137497.71,152089.62,14591.92,10.61,USD,annual_cycle,Annual,EMP0187,paid
SLH0181,EMP0709,2020-11-07,72011.35,80652.71,8641.36,12.00,USD,promotion,Off-cycle,EMP0392,paid
SLH0182,EMP0888,2024-09-10,74429.25,83802.73,9373.48,12.59,USD,retention,H1,EMP0182,rejected
SLH0183,EMP0543,2026-05-18,83322.94,91973.67,8650.73,10.38,USD,annual_cycle,Off-cycle,EMP0181,rejected
SLH0184,EMP0547,2021-06-17,115219.73,129046.10,13826.37,12.00,USD,retention,H2,EMP0951,paid
SLH0185,EMP0057,2019-11-18,68860.45,75746.49,6886.04,10.00,USD,annual_cycle,H2,EMP0134,approved
SLH0186,EMP0224,2026-07-08,102394.19,104442.07,2047.88,2.00,USD,retention,Annual,EMP0312,rejected
SLH0187,EMP0119,2024-10-29,45295.48,47560.26,2264.77,5.00,INR,annual_cycle,Off-cycle,EMP0806,rejected
SLH0188,EMP0537,2023-12-25,29160.80,30181.42,1020.63,3.50,INR,promotion,H1,EMP0518,paid
SLH0189,EMP0261,2024-05-26,110325.94,123565.05,13239.11,12.00,USD,spot_adjustment,Off-cycle,EMP0613,approved
SLH0190,EMP0144,2022-03-13,52767.46,53822.81,1055.35,2.00,USD,market_correction,H1,EMP0286,approved
SLH0191,EMP0033,2025-06-02,96497.93,100357.85,3859.92,4.00,USD,market_correction,Annual,EMP0595,rejected
SLH0192,EMP0385,2024-12-21,78516.04,81264.10,2748.06,3.50,USD,market_correction,Annual,EMP0290,pending
SLH0193,EMP0809,2021-11-14,72645.32,74098.22,1452.91,2.00,USD,promotion,H1,EMP0202,approved
SLH0194,EMP0005,2025-04-25,18577.38,19692.02,1114.64,6.00,INR,promotion,H1,EMP0689,approved
SLH0195,EMP0333,2025-03-06,161857.22,181280.09,19422.87,12.00,USD,annual_cycle,Off-cycle,EMP0395,rejected
SLH0196,EMP0769,2026-02-19,149113.03,154331.98,5218.96,3.50,USD,annual_cycle,Annual,EMP0224,approved
SLH0197,EMP0186,2020-03-01,135473.83,140215.41,4741.58,3.50,USD,promotion,Annual,EMP0567,rejected
SLH0198,EMP0075,2026-02-05,127698.06,143021.83,15323.77,12.00,USD,promotion,H1,EMP0484,pending
SLH0199,EMP0640,2024-08-21,92729.69,102002.66,9272.97,10.00,USD,promotion,H1,EMP0661,paid
SLH0200,EMP0017,2015-10-20,63512.69,65735.64,2222.94,3.50,USD,spot_adjustment,Annual,EMP0080,approved
SLH0201,EMP0642,2025-09-27,122386.50,127281.96,4895.46,4.00,USD,market_correction,H1,EMP0285,pending
SLH0202,EMP0513,2023-08-04,99484.27,108687.23,9202.97,9.25,USD,market_correction,Off-cycle,EMP0468,paid
SLH0203,EMP0997,2026-09-03,49838.42,52828.72,2990.30,6.00,USD,market_correction,Annual,EMP0969,approved
SLH0204,EMP0209,2024-12-15,176384.40,179507.47,3123.07,1.77,USD,retention,Off-cycle,EMP0290,paid
SLH0205,EMP0888,2024-10-02,80010.28,81610.49,1600.21,2.00,USD,annual_cycle,Annual,EMP0931,paid
SLH0206,EMP0403,2026-07-08,156917.67,161625.20,4707.53,3.00,USD,annual_cycle,H1,EMP0794,rejected
SLH0207,EMP0887,2025-09-03,144180.22,158598.24,14418.02,10.00,USD,annual_cycle,H1,EMP0649,approved
SLH0208,EMP0004,2025-08-22,43393.41,44271.69,878.28,2.02,INR,spot_adjustment,Annual,EMP0789,pending
SLH0209,EMP0961,2024-10-01,157469.44,167147.73,9678.29,6.15,USD,spot_adjustment,H1,EMP0592,approved
SLH0210,EMP0256,2023-08-03,65849.06,68153.78,2304.72,3.50,USD,spot_adjustment,Annual,EMP0701,pending
SLH0211,EMP0952,2020-09-05,142636.55,154738.14,12101.59,8.48,USD,annual_cycle,H2,EMP0634,paid
SLH0212,EMP0153,2021-09-01,15008.95,16810.03,1801.07,12.00,INR,retention,Annual,EMP0547,approved
SLH0213,EMP0849,2024-03-22,89147.46,94496.31,5348.85,6.00,USD,annual_cycle,Off-cycle,EMP0022,rejected
SLH0214,EMP0808,2021-01-31,22325.27,23664.79,1339.52,6.00,INR,annual_cycle,H1,EMP0969,paid
SLH0215,EMP0393,2025-08-26,56761.29,63572.64,6811.35,12.00,GBP,annual_cycle,H2,EMP0990,pending
SLH0216,EMP0653,2023-05-08,167049.63,172896.37,5846.74,3.50,GBP,spot_adjustment,Annual,EMP0928,paid
SLH0217,EMP0304,2020-02-20,159873.53,163071.01,3197.47,2.00,USD,annual_cycle,Annual,EMP0948,paid
SLH0218,EMP0867,2024-11-15,45021.01,46596.75,1575.74,3.50,GBP,market_correction,H2,EMP0427,approved
SLH0219,EMP0721,2023-02-13,172502.53,178540.12,6037.59,3.50,USD,annual_cycle,H1,EMP0638,rejected
SLH0220,EMP0651,2025-10-16,85606.26,89030.52,3424.25,4.00,USD,annual_cycle,Annual,EMP0765,paid
SLH0221,EMP0402,2022-06-20,95479.83,97389.43,1909.60,2.00,USD,market_correction,H1,EMP0033,pending
SLH0222,EMP0586,2024-07-21,149210.02,158162.62,8952.60,6.00,USD,retention,Annual,EMP0998,paid
SLH0223,EMP0444,2020-07-22,166991.40,182513.84,15522.44,9.30,USD,market_correction,H2,EMP0040,pending
SLH0224,EMP0938,2025-12-20,143115.06,147408.51,4293.45,3.00,USD,promotion,H1,EMP0880,pending
SLH0225,EMP0441,2025-03-10,104068.16,112176.62,8108.46,7.79,USD,spot_adjustment,Off-cycle,EMP0745,rejected
SLH0226,EMP0234,2018-09-19,67892.74,69929.52,2036.78,3.00,USD,spot_adjustment,Annual,EMP0817,pending
SLH0227,EMP0986,2021-07-02,108052.35,118857.59,10805.24,10.00,USD,promotion,Off-cycle,EMP0205,paid
SLH0228,EMP0961,2024-09-24,156091.29,168578.59,12487.30,8.00,USD,spot_adjustment,H2,EMP0632,rejected
SLH0229,EMP0331,2026-02-21,133168.27,138495.00,5326.73,4.00,GBP,market_correction,Annual,EMP0180,approved
SLH0230,EMP0445,2021-02-13,101608.88,116161.14,14552.26,14.32,USD,market_correction,Annual,EMP0739,paid
SLH0231,EMP0704,2025-06-20,76965.71,80813.99,3848.29,5.00,USD,promotion,H2,EMP0093,approved
SLH0232,EMP0152,2026-07-28,125167.33,131425.69,6258.37,5.00,USD,retention,H1,EMP0524,paid
