jr_id,jr_number,job_id,job_title,department,grade_code,hiring_manager_id,recruiter_id,headcount,jr_status,priority,opened_date,target_fill_date,filled_date,location_city,location_country
JR0013,REQ-2022013,JOB0406,Privacy Counsel,Engineering,G08,EMP0833,EMP0010,3,cancelled,critical,2024-07-14,2024-08-14,,New York,US
JR0014,REQ-2022014,JOB0004,Privacy Counsel,Sales,G08,EMP0985,EMP0005,3,draft,medium,2025-06-19,2025-09-08,,Hyderabad,IN
JR0015,REQ-2022015,JOB0799,People Manager,Operations,G12,EMP0430,EMP0051,3,on_hold,critical,2023-12-20,2024-03-21,,Seattle,US
JR0016,REQ-2022016,JOB0248,Support Specialist,Facilities,G09,EMP0641,EMP0017,1,draft,low,2025-04-02,2025-06-20,,New York,US
JR0017,REQ-2022017,JOB0422,Product Manager,Data,G12,EMP0948,EMP0027,2,draft,low,2023-10-28,2024-01-27,,San Francisco,US
JR0018,REQ-2022018,JOB0487,Senior Software Engineer,HR,G04,EMP0601,EMP0066,2,cancelled,low,2023-07-01,2023-09-09,,San Francisco,US
JR0019,REQ-2022019,JOB0720,Finance Manager,Security,G10,EMP0786,EMP0004,1,open,medium,2025-03-29,2025-07-02,,San Francisco,US
JR0020,REQ-2022020,JOB0599,Accountant,Facilities,G06,EMP0034,EMP0021,1,on_hold,high,2023-04-15,2023-05-27,,Hyderabad,IN
JR0021,REQ-2022021,JOB0710,Compliance Analyst,Engineering,G07,EMP0599,EMP0052,3,cancelled,critical,2023-01-12,2023-02-21,,Toronto,CA
JR0022,REQ-2022022,JOB0881,Legal Counsel,Legal,G08,EMP0813,EMP0026,3,filled,low,2025-08-03,2025-11-10,2026-01-14,Hyderabad,IN
JR0023,REQ-2022023,JOB0379,Senior Software Engineer,Finance,G06,EMP0320,EMP0078,3,open,low,2024-09-25,2024-12-16,,Chicago,US
JR0024,REQ-2022024,JOB0803,Associate PM,Legal,G02,EMP0576,EMP0045,3,cancelled,medium,2023-01-19,2023-05-18,,London,UK
JR0025,REQ-2022025,JOB0269,Senior PM,Customer Success,G03,EMP0871,EMP0002,1,cancelled,high,2023-05-24,2023-07-16,,Seattle,US
JR0026,REQ-2022026,JOB0487,Senior Software Engineer,HR,G04,EMP0261,EMP0029,2,draft,medium,2023-01-02,2023-03-15,,San Francisco,US
JR0027,REQ-2022027,JOB0195,Analytics Manager,Data,G04,EMP0017,EMP0064,3,on_hold,medium,2025-07-24,2025-09-21,,Hyderabad,IN
JR0028,REQ-2022028,JOB0803,Associate PM,Legal,G02,EMP0656,EMP0045,3,filled,high,2023-05-27,2023-07-15,2025-06-02,London,UK
JR0029,REQ-2022029,JOB0079,Data Scientist,Sales,G01,EMP0118,EMP0053,1,cancelled,critical,2022-07-04,2022-09-15,,New York,US
JR0030,REQ-2022030,JOB0025,Systems Admin,Facilities,G02,EMP0381,EMP0019,1,filled,critical,2024-10-04,2024-11-30,2026-03-13,Austin,US
JR0031,REQ-2022031,JOB0047,IT Support,Sales,G02,EMP0177,EMP0018,1,cancelled,medium,2023-04-14,2023-06-06,,London,UK
JR0032,REQ-2022032,JOB0654,Enterprise AE,Facilities,G08,EMP0106,EMP0028,2,filled,low,2025-10-24,2026-01-03,2026-01-16,New York,US
JR0033,REQ-2022033,JOB0004,Privacy Counsel,Sales,G08,EMP0088,EMP0059,1,on_hold,critical,2025-02-23,2025-04-22,,Hyderabad,IN
JR0034,REQ-2022034,JOB0701,Software Engineer,Customer Success,G11,EMP0700,EMP0014,1,open,low,2022-07-09,2022-08-21,,San Francisco,US
JR0035,REQ-2022035,JOB0309,HR Generalist,HR,G07,EMP0547,EMP0030,2,on_hold,medium,2025-12-04,2026-01-19,,Chicago,US
JR0036,REQ-2022036,JOB0691,Product Manager,Security,G07,EMP0237,EMP0023,1,filled,medium,2023-06-20,2023-07-24,2024-06-11,Seattle,US
JR0037,REQ-2022037,JOB0735,Staff Engineer,Legal,G04,EMP0986,EMP0038,1,on_hold,critical,2022-04-05,2022-07-21,,Bengaluru,IN
JR0038,REQ-2022038,JOB0224,Data Analyst,Customer Success,G05,EMP0439,EMP0048,3,on_hold,high,2022-08-17,2022-09-16,,Atlanta,US
JR0039,REQ-2022039,JOB0338,IT Support,Facilities,G10,EMP0138,EMP0057,1,on_hold,medium,2024-06-18,2024-07-21,,Dallas,US
JR0040,REQ-2022040,JOB0694,Senior PM,IT,G09,EMP0488,EMP0057,3,filled,critical,2023-01-14,2023-03-18,2023-04-20,New York,US
JR0041,REQ-2022041,JOB0663,Senior PM,Finance,G12,EMP0739,EMP0055,2,open,high,2024-03-03,2024-06-13,,New York,US
JR0042,REQ-2022042,JOB0898,IT Manager,Legal,G11,EMP0783,EMP0047,1,draft,low,2024-03-09,2024-05-24,,Dallas,US
JR0043,REQ-2022043,JOB0605,IT Manager,Facilities,G12,EMP0709,EMP0019,3,open,critical,2023-04-15,2023-07-18,,Dallas,US
JR0044,REQ-2022044,JOB0195,Analytics Manager,Data,G04,EMP0537,EMP0032,2,on_hold,critical,2023-04-26,2023-06-02,,Hyderabad,IN
JR0045,REQ-2022045,JOB0058,Account Executive,Marketing,G08,EMP0929,EMP0077,1,cancelled,medium,2025-12-13,2026-01-27,,Chicago,US
JR0046,REQ-2022046,JOB0174,Recruiter,Operations,G11,EMP0219,EMP0008,2,cancelled,low,2023-11-13,2024-02-28,,Atlanta,US
JR0047,REQ-2022047,JOB0892,Finance Manager,Supply Chain,G01,EMP0837,EMP0071,3,on_hold,high,2022-08-04,2022-09-23,,New York,US
JR0048,REQ-2022048,JOB0188,Financial Analyst,Marketing,G06,EMP0449,EMP0029,3,open,high,2022-02-23,2022-04-24,,San Francisco,US
JR0049,REQ-2022049,JOB0108,Demand Gen Manager,HR,G10,EMP0906,EMP0079,3,open,high,2025-03-02,2025-06-10,,San Francisco,US
JR0050,REQ-2022050,JOB0745,IT Manager,Engineering,G01,EMP0578,EMP0011,3,filled,high,2022-06-24,2022-09-22,2026-02-20,Atlanta,US
JR0051,REQ-2022051,JOB0829,Privacy Counsel,HR,G09,EMP0298,EMP0009,2,draft,medium,2022-02-01,2022-05-02,,London,UK
JR0052,REQ-2022052,JOB0076,Systems Admin,Security,G11,EMP0187,EMP0040,3,on_hold,medium,2025-01-02,2025-02-19,,Chicago,US
JR0053,REQ-2022053,JOB0200,Sales Manager,IT,G02,EMP0725,EMP0013,3,filled,medium,2025-01-04,2025-03-27,2025-03-15,London,UK
JR0054,REQ-2022054,JOB0455,HRBP,IT,G04,EMP0921,EMP0076,2,filled,low,2025-07-21,2025-08-23,2025-07-21,Seattle,US
JR0055,REQ-2022055,JOB0835,Controller,Data,G12,EMP0329,EMP0029,3,open,critical,2022-12-15,2023-04-14,,Dallas,US
JR0056,REQ-2022056,JOB0620,Data Scientist,Supply Chain,G02,EMP0388,EMP0018,2,filled,high,2026-05-01,2026-08-11,2026-05-21,Denver,US
JR0057,REQ-2022057,JOB0909,Data Scientist,Finance,G04,EMP0765,EMP0024,3,draft,critical,2024-03-23,2024-06-17,,Hyderabad,IN
JR0058,REQ-2022058,JOB0501,Software Engineer,Legal,G12,EMP0800,EMP0038,2,on_hold,low,2025-04-24,2025-08-16,,Toronto,CA
JR0059,REQ-2022059,JOB0906,People Manager,Customer Success,G10,EMP0197,EMP0037,1,open,high,2023-08-06,2023-11-28,,Hyderabad,IN
JR0060,REQ-2022060,JOB0588,Compliance Analyst,Customer Success,G09,EMP0975,EMP0028,2,on_hold,medium,2022-12-10,2023-01-26,,San Francisco,US
JR0061,REQ-2022061,JOB0824,Marketing Director,HR,G11,EMP0922,EMP0044,1,on_hold,low,2022-03-02,2022-04-17,,London,UK
JR0062,REQ-2022062,JOB0704,Software Engineer,Product,G03,EMP0559,EMP0014,2,draft,critical,2026-04-09,2026-05-19,,New York,US
JR0063,REQ-2022063,JOB0324,Accountant,Facilities,G01,EMP0767,EMP0058,1,filled,high,2023-09-10,2023-10-16,2026-04-11,Dallas,US
JR0064,REQ-2022064,JOB0955,IT Manager,HR,G03,EMP0181,EMP0059,2,cancelled,critical,2025-05-17,2025-09-02,,Bengaluru,IN
JR0065,REQ-2022065,JOB0465,Cloud Engineer,Product,G04,EMP0159,EMP0072,3,on_hold,low,2025-06-10,2025-09-23,,London,UK
JR0066,REQ-2022066,JOB0605,IT Manager,Facilities,G12,EMP0585,EMP0002,3,open,medium,2025-05-19,2025-08-29,,Dallas,US
JR0067,REQ-2022067,JOB0736,ML Engineer,Customer Success,G06,EMP0746,EMP0058,1,cancelled,critical,2026-01-10,2026-03-11,,Dallas,US
JR0068,REQ-2022068,JOB0387,People Manager,Security,G04,EMP0208,EMP0057,3,filled,high,2025-03-21,2025-05-09,2026-04-02,Austin,US
JR0069,REQ-2022069,JOB0102,IT Support,Security,G02,EMP0781,EMP0060,2,filled,critical,2024-12-20,2025-03-05,2026-04-01,Seattle,US
JR0070,REQ-2022070,JOB0148,IT Support,Facilities,G03,EMP0612,EMP0058,2,cancelled,critical,2024-04-08,2024-05-28,,Denver,US
JR0071,REQ-2022071,JOB0090,Product Manager,Operations,G01,EMP0173,EMP0049,2,draft,high,2022-02-24,2022-04-16,,Chicago,US
JR0072,REQ-2022072,JOB0465,Cloud Engineer,Product,G04,EMP0576,EMP0043,1,filled,low,2026-03-28,2026-07-19,2026-07-09,London,UK
JR0073,REQ-2022073,JOB0571,Group PM,IT,G12,EMP0630,EMP0019,1,filled,critical,2025-02-22,2025-04-14,2026-07-22,Austin,US
JR0074,REQ-2022074,JOB0507,Support Agent,Sales,G05,EMP0210,EMP0061,3,cancelled,medium,2025-06-03,2025-09-27,,Hyderabad,IN
JR0075,REQ-2022075,JOB0907,Demand Gen Manager,Customer Success,G05,EMP0011,EMP0018,1,on_hold,low,2024-04-17,2024-06-21,,Bengaluru,IN
JR0076,REQ-2022076,JOB0196,Accountant,HR,G12,EMP0472,EMP0066,3,filled,low,2025-11-25,2026-01-10,2026-06-16,London,UK
JR0077,REQ-2022077,JOB0470,Accountant,Marketing,G09,EMP0349,EMP0048,2,open,low,2023-02-04,2023-05-03,,Toronto,CA
JR0078,REQ-2022078,JOB0639,Product Manager,Engineering,G08,EMP0161,EMP0023,2,open,low,2025-04-16,2025-07-09,,New York,US
JR0079,REQ-2022079,JOB0957,SDR,Engineering,G02,EMP0270,EMP0011,1,on_hold,high,2026-04-10,2026-07-23,,London,UK
JR0080,REQ-2022080,JOB0326,Marketing Director,Operations,G10,EMP0830,EMP0068,1,open,high,2025-04-11,2025-06-16,,Dallas,US
JR0081,REQ-2022081,JOB0285,Enterprise AE,Security,G08,EMP0389,EMP0073,3,open,medium,2022-06-05,2022-10-02,,Hyderabad,IN
JR0082,REQ-2022082,JOB0299,Content Manager,IT,G03,EMP0848,EMP0025,3,draft,low,2026-08-01,2026-11-04,,London,UK
JR0083,REQ-2022083,JOB0938,Staff Engineer,IT,G09,EMP0974,EMP0011,1,draft,low,2023-11-21,2024-01-01,,San Francisco,US
JR0084,REQ-2022084,JOB0408,Marketing Specialist,Supply Chain,G08,EMP0959,EMP0031,3,cancelled,high,2023-08-16,2023-11-24,,Bengaluru,IN
JR0085,REQ-2022085,JOB0897,Recruiter,HR,G02,EMP0374,EMP0066,2,open,low,2026-06-24,2026-09-08,,Denver,US
JR0086,REQ-2022086,JOB0123,IT Support,Legal,G11,EMP0743,EMP0065,2,on_hold,low,2024-08-04,2024-10-30,,New York,US
JR0087,REQ-2022087,JOB0855,Financial Analyst,HR,G05,EMP0472,EMP0038,3,draft,high,2025-12-13,2026-04-03,,New York,US
JR0088,REQ-2022088,JOB0833,Group PM,Engineering,G01,EMP0522,EMP0060,2,draft,medium,2024-04-02,2024-07-23,,Bengaluru,IN
JR0089,REQ-2022089,JOB0763,Support Lead,Data,G01,EMP0214,EMP0020,1,draft,medium,2022-03-21,2022-06-12,,Seattle,US
JR0090,REQ-2022090,JOB0065,HR Generalist,Product,G01,EMP0867,EMP0057,1,on_hold,medium,2025-04-18,2025-06-29,,Seattle,US
JR0091,REQ-2022091,JOB0566,Staff Engineer,Legal,G12,EMP0514,EMP0046,3,filled,medium,2022-10-24,2023-01-08,2025-07-25,Denver,US
JR0092,REQ-2022092,JOB0166,People Manager,Security,G02,EMP0705,EMP0009,3,open,low,2024-01-03,2024-02-24,,Austin,US
JR0093,REQ-2022093,JOB0982,Associate PM,Sales,G11,EMP0523,EMP0055,2,open,critical,2026-01-11,2026-04-24,,Dallas,US
JR0094,REQ-2022094,JOB0482,Group PM,Operations,G08,EMP0570,EMP0068,3,open,critical,2024-01-31,2024-05-29,,New York,US
JR0095,REQ-2022095,JOB0771,Data Scientist,Operations,G10,EMP0690,EMP0003,3,cancelled,low,2023-11-07,2024-01-24,,Toronto,CA
JR0096,REQ-2022096,JOB0391,Support Lead,Customer Success,G04,EMP0573,EMP0003,3,open,high,2025-09-02,2025-11-01,,London,UK
JR0097,REQ-2022097,JOB0728,Financial Analyst,Supply Chain,G03,EMP0696,EMP0061,2,open,low,2026-03-05,2026-04-13,,Seattle,US
JR0098,REQ-2022098,JOB0043,Financial Analyst,Operations,G05,EMP0515,EMP0067,1,cancelled,critical,2022-05-12,2022-08-19,,Austin,US
JR0099,REQ-2022099,JOB0845,Cloud Engineer,Legal,G02,EMP0118,EMP0021,2,draft,critical,2022-10-09,2022-11-15,,Seattle,US
JR0100,REQ-2022100,JOB0063,Sales Manager,Legal,G03,EMP0960,EMP0027,1,open,low,2025-01-06,2025-04-11,,Dallas,US
JR0101,REQ-2022101,JOB0862,Support Lead,Facilities,G08,EMP0615,EMP0045,3,on_hold,low,2025-12-19,2026-02-13,,Hyderabad,IN
JR0102,REQ-2022102,JOB0147,Account Executive,Marketing,G01,EMP0909,EMP0008,3,draft,critical,2024-07-21,2024-10-10,,Denver,US
JR0103,REQ-2022103,JOB0887,Sales Manager,Operations,G08,EMP0567,EMP0056,1,cancelled,low,2022-07-18,2022-09-21,,Dallas,US
JR0104,REQ-2022104,JOB0816,ML Engineer,Sales,G07,EMP0478,EMP0057,3,filled,high,2024-01-23,2024-04-03,2025-09-03,Denver,US
JR0105,REQ-2022105,JOB0600,Recruiter,Customer Success,G06,EMP0235,EMP0044,1,filled,low,2022-05-16,2022-08-28,2026-02-04,London,UK
JR0106,REQ-2022106,JOB0504,Account Executive,Legal,G08,EMP0791,EMP0029,2,on_hold,critical,2023-06-23,2023-10-14,,Seattle,US
JR0107,REQ-2022107,JOB0668,Senior Software Engineer,Finance,G03,EMP0618,EMP0070,1,on_hold,critical,2024-05-19,2024-07-23,,Toronto,CA
JR0108,REQ-2022108,JOB0751,Privacy Counsel,Sales,G03,EMP0039,EMP0045,1,open,critical,2023-12-25,2024-03-29,,San Francisco,US
JR0109,REQ-2022109,JOB0525,CS Manager,HR,G09,EMP0756,EMP0044,2,cancelled,critical,2026-04-07,2026-05-19,,San Francisco,US
JR0110,REQ-2022110,JOB0770,CS Manager,Finance,G01,EMP0029,EMP0071,3,on_hold,critical,2025-09-18,2025-12-12,,Toronto,CA
JR0111,REQ-2022111,JOB0499,Marketing Specialist,HR,G06,EMP0731,EMP0077,2,open,low,2023-12-23,2024-04-14,,Toronto,CA
JR0112,REQ-2022112,JOB0724,Financial Analyst,Facilities,G06,EMP0449,EMP0022,2,open,critical,2023-06-06,2023-08-06,,Toronto,CA
JR0113,REQ-2022113,JOB0583,Data Analyst,IT,G06,EMP0423,EMP0029,1,filled,medium,2025-04-30,2025-07-29,2025-07-15,Dallas,US
JR0114,REQ-2022114,JOB0650,Analytics Manager,Supply Chain,G08,EMP0298,EMP0070,2,filled,high,2024-01-19,2024-03-10,2025-08-08,Hyderabad,IN
JR0115,REQ-2022115,JOB0897,Recruiter,HR,G02,EMP0210,EMP0008,1,on_hold,critical,2024-10-04,2024-11-19,,Denver,US
JR0116,REQ-2022116,JOB0094,Marketing Specialist,Product,G02,EMP0896,EMP0071,2,cancelled,low,2022-02-18,2022-04-29,,Hyderabad,IN
JR0117,REQ-2022117,JOB0144,Compliance Analyst,Supply Chain,G01,EMP0443,EMP0004,3,draft,medium,2025-09-22,2026-01-04,,San Francisco,US
JR0118,REQ-2022118,JOB0226,Controller,Engineering,G03,EMP0355,EMP0045,2,draft,medium,2022-12-25,2023-02-10,,Hyderabad,IN
JR0119,REQ-2022119,JOB0176,Demand Gen Manager,Operations,G02,EMP0673,EMP0033,2,cancelled,low,2025-07-30,2025-09-02,,London,UK
JR0120,REQ-2022120,JOB0474,Compliance Analyst,Engineering,G07,EMP0585,EMP0036,1,filled,critical,2026-06-07,2026-10-05,2026-06-22,Chicago,US
JR0121,REQ-2022121,JOB0940,Sales Manager,Engineering,G12,EMP0574,EMP0042,3,filled,high,2022-07-25,2022-11-03,2022-10-27,Toronto,CA
JR0122,REQ-2022122,JOB0665,Associate PM,Finance,G05,EMP0648,EMP0002,1,cancelled,critical,2023-07-08,2023-09-11,,Bengaluru,IN
JR0123,REQ-2022123,JOB0651,Group PM,Marketing,G03,EMP0772,EMP0028,3,cancelled,critical,2024-04-11,2024-07-21,,Seattle,US
JR0124,REQ-2022124,JOB0693,Enterprise AE,IT,G01,EMP0818,EMP0042,1,on_hold,high,2026-04-01,2026-06-20,,Atlanta,US
JR0125,REQ-2022125,JOB0951,Senior Software Engineer,Legal,G08,EMP0597,EMP0006,2,filled,critical,2024-12-24,2025-01-25,2025-02-17,San Francisco,US
JR0126,REQ-2022126,JOB0860,IT Support,Legal,G05,EMP0008,EMP0034,3,cancelled,low,2025-01-23,2025-03-26,,Denver,US
JR0127,REQ-2022127,JOB0925,Accountant,IT,G03,EMP0227,EMP0028,3,on_hold,low,2024-07-01,2024-10-21,,Seattle,US
JR0128,REQ-2022128,JOB0399,Content Manager,Finance,G08,EMP0908,EMP0056,2,cancelled,critical,2022-12-19,2023-01-26,,Denver,US
JR0129,REQ-2022129,JOB0030,Enterprise AE,IT,G10,EMP0248,EMP0026,3,filled,critical,2023-01-28,2023-03-06,2024-09-20,Hyderabad,IN
JR0130,REQ-2022130,JOB0685,Sales Manager,IT,G03,EMP0394,EMP0078,2,draft,high,2022-09-28,2022-12-04,,Austin,US
JR0131,REQ-2022131,JOB0968,Marketing Specialist,Legal,G07,EMP0159,EMP0056,2,draft,low,2025-08-14,2025-11-19,,Bengaluru,IN
JR0132,REQ-2022132,JOB0665,Associate PM,Finance,G05,EMP0675,EMP0044,1,draft,medium,2023-04-23,2023-07-30,,Bengaluru,IN
JR0133,REQ-2022133,JOB0011,IT Manager,Data,G05,EMP0775,EMP0012,3,open,medium,2026-01-30,2026-03-25,,Austin,US
JR0134,REQ-2022134,JOB0320,Support Agent,Engineering,G02,EMP0733,EMP0049,3,on_hold,high,2026-04-19,2026-08-14,,Atlanta,US
JR0135,REQ-2022135,JOB0733,Enterprise AE,Legal,G11,EMP0705,EMP0064,1,draft,critical,2022-02-17,2022-05-14,,Atlanta,US
JR0136,REQ-2022136,JOB0042,Financial Analyst,Marketing,G11,EMP0366,EMP0061,1,on_hold,high,2024-03-01,2024-05-04,,Atlanta,US
JR0137,REQ-2022137,JOB0467,Demand Gen Manager,Customer Success,G02,EMP0041,EMP0043,2,filled,critical,2025-01-30,2025-04-28,2025-08-19,Bengaluru,IN
JR0138,REQ-2022138,JOB0513,Sales Manager,Marketing,G05,EMP0058,EMP0014,2,open,critical,2023-11-04,2024-01-02,,Chicago,US
JR0139,REQ-2022139,JOB0220,Financial Analyst,Engineering,G05,EMP0717,EMP0025,2,draft,critical,2022-01-10,2022-04-24,,Atlanta,US
JR0140,REQ-2022140,JOB0611,Compliance Analyst,Marketing,G10,EMP0794,EMP0012,3,on_hold,low,2024-06-20,2024-08-05,,Hyderabad,IN
JR0141,REQ-2022141,JOB0223,Associate PM,Sales,G07,EMP0462,EMP0004,2,open,critical,2025-04-12,2025-06-01,,Denver,US
JR0142,REQ-2022142,JOB0250,Sales Manager,Operations,G02,EMP0607,EMP0044,3,filled,medium,2023-09-14,2024-01-07,2024-09-26,Toronto,CA
JR0143,REQ-2022143,JOB0429,Privacy Counsel,Operations,G04,EMP0593,EMP0013,1,filled,critical,2023-02-20,2023-05-19,2025-10-06,Chicago,US
JR0144,REQ-2022144,JOB0243,Enterprise AE,IT,G11,EMP0957,EMP0065,2,open,medium,2024-07-15,2024-10-31,,Denver,US
JR0145,REQ-2022145,JOB0452,Privacy Counsel,Legal,G03,EMP0814,EMP0006,2,filled,low,2024-08-28,2024-10-21,2024-11-26,Bengaluru,IN
JR0146,REQ-2022146,JOB0541,Support Lead,Operations,G02,EMP0287,EMP0002,1,cancelled,medium,2024-02-23,2024-05-25,,San Francisco,US
JR0147,REQ-2022147,JOB0958,Demand Gen Manager,Customer Success,G02,EMP0495,EMP0049,3,open,high,2024-09-03,2024-12-31,,San Francisco,US
JR0148,REQ-2022148,JOB0144,Compliance Analyst,Supply Chain,G01,EMP0126,EMP0060,3,open,high,2025-08-15,2025-09-28,,San Francisco,US
JR0149,REQ-2022149,JOB0820,CS Manager,Customer Success,G04,EMP0663,EMP0017,1,filled,high,2022-04-12,2022-05-13,2025-03-30,Toronto,CA
JR0150,REQ-2022150,JOB0290,Support Agent,HR,G02,EMP0952,EMP0053,3,draft,low,2023-09-26,2024-01-01,,Dallas,US
JR0151,REQ-2022151,JOB0267,Support Agent,Product,G11,EMP0012,EMP0015,2,filled,medium,2026-06-09,2026-08-29,2026-07-18,Bengaluru,IN
JR0152,REQ-2022152,JOB0965,Data Scientist,Engineering,G04,EMP0281,EMP0033,2,draft,high,2026-06-26,2026-09-17,,San Francisco,US
JR0153,REQ-2022153,JOB0667,IT Manager,Marketing,G05,EMP0682,EMP0066,2,draft,critical,2025-07-06,2025-10-03,,Seattle,US
JR0154,REQ-2022154,JOB0022,Staff Engineer,Data,G07,EMP0648,EMP0046,2,on_hold,critical,2022-01-09,2022-03-03,,Dallas,US
JR0155,REQ-2022155,JOB0541,Support Lead,Operations,G02,EMP0908,EMP0074,2,open,low,2026-03-10,2026-05-02,,San Francisco,US
JR0156,REQ-2022156,JOB0528,Sales Manager,Data,G06,EMP0510,EMP0064,1,cancelled,high,2022-04-11,2022-07-02,,Denver,US
JR0157,REQ-2022157,JOB0876,HR Generalist,Engineering,G02,EMP0744,EMP0026,1,cancelled,low,2023-09-16,2023-11-30,,New York,US
JR0158,REQ-2022158,JOB0257,Data Scientist,Operations,G08,EMP0855,EMP0006,3,cancelled,low,2024-09-10,2024-12-03,,San Francisco,US
JR0159,REQ-2022159,JOB0359,SDR,Product,G05,EMP0858,EMP0075,3,cancelled,low,2023-06-24,2023-10-07,,London,UK
JR0160,REQ-2022160,JOB0002,Product Manager,Sales,G01,EMP0549,EMP0048,2,open,medium,2024-07-07,2024-10-16,,Dallas,US
JR0161,REQ-2022161,JOB0576,Data Analyst,Facilities,G08,EMP0438,EMP0052,1,cancelled,medium,2026-06-19,2026-10-17,,New York,US
JR0162,REQ-2022162,JOB0764,ML Engineer,Security,G01,EMP0256,EMP0019,2,cancelled,high,2023-10-06,2024-01-07,,Dallas,US
JR0163,REQ-2022163,JOB0407,Sales Manager,Security,G02,EMP0783,EMP0053,1,cancelled,critical,2022-08-29,2022-12-17,,Dallas,US
JR0164,REQ-2022164,JOB0508,Demand Gen Manager,Data,G06,EMP0349,EMP0078,3,on_hold,low,2025-07-19,2025-11-14,,San Francisco,US
JR0165,REQ-2022165,JOB0653,Financial Analyst,IT,G12,EMP0990,EMP0007,3,cancelled,high,2025-11-24,2026-01-02,,London,UK
JR0166,REQ-2022166,JOB0893,Group PM,Supply Chain,G03,EMP0217,EMP0048,1,open,critical,2023-12-18,2024-01-22,,Atlanta,US
JR0167,REQ-2022167,JOB0364,Recruiter,Marketing,G09,EMP0159,EMP0029,1,filled,critical,2025-11-04,2026-01-04,2025-12-23,Toronto,CA
JR0168,REQ-2022168,JOB0103,Senior PM,Security,G08,EMP0239,EMP0080,3,filled,low,2025-02-19,2025-04-27,2025-03-18,Denver,US
JR0169,REQ-2022169,JOB0747,Controller,Supply Chain,G07,EMP0490,EMP0045,1,open,low,2025-09-01,2025-10-14,,Toronto,CA
JR0170,REQ-2022170,JOB0354,Recruiter,Operations,G05,EMP0989,EMP0039,1,cancelled,high,2023-06-29,2023-08-18,,San Francisco,US
JR0171,REQ-2022171,JOB0783,Controller,Customer Success,G03,EMP0260,EMP0036,1,filled,critical,2026-06-07,2026-08-23,2026-07-07,Austin,US
JR0172,REQ-2022172,JOB0891,Recruiter,Engineering,G05,EMP0395,EMP0062,3,on_hold,low,2025-12-02,2026-01-16,,Bengaluru,IN
JR0173,REQ-2022173,JOB0818,Content Manager,IT,G09,EMP0395,EMP0038,2,filled,low,2024-06-02,2024-07-27,2026-02-16,Toronto,CA
JR0174,REQ-2022174,JOB0981,Data Scientist,IT,G06,EMP0372,EMP0015,1,draft,critical,2022-07-11,2022-09-08,,Hyderabad,IN
JR0175,REQ-2022175,JOB0131,Recruiter,Data,G06,EMP0822,EMP0069,2,open,critical,2024-03-15,2024-06-21,,Atlanta,US
JR0176,REQ-2022176,JOB0776,Privacy Counsel,Finance,G08,EMP0627,EMP0071,1,on_hold,medium,2022-08-10,2022-11-20,,London,UK
JR0177,REQ-2022177,JOB0504,Account Executive,Legal,G08,EMP0120,EMP0071,1,open,low,2022-06-08,2022-07-11,,Seattle,US
JR0178,REQ-2022178,JOB0797,People Manager,Security,G12,EMP0853,EMP0048,1,cancelled,medium,2025-08-03,2025-09-04,,Chicago,US
JR0179,REQ-2022179,JOB0166,People Manager,Security,G02,EMP0071,EMP0044,2,filled,high,2026-01-06,2026-03-11,2026-03-06,Austin,US
JR0180,REQ-2022180,JOB0758,Accountant,HR,G05,EMP0453,EMP0056,1,filled,low,2024-01-19,2024-03-26,2026-07-21,Seattle,US
