invoice_id,customer_id,invoice_date,due_date,amount_due,tax_amount,total_amount,status
INV7C29173AE5,CUST100005932,2026-03-26,2026-04-16,277.85,22.23,300.08,Paid
INV5D108444C2,CUST100078005,2025-11-28,2025-12-19,38.66,3.09,41.75,Paid
INV8498E27312,CUST100085598,2026-05-05,2026-05-26,215.18,17.21,232.39,Overdue
INV120F386958,CUST100035480,2025-10-01,2025-10-22,266.85,21.35,288.2,Paid
INVE76A17C8FD,CUST100029064,2026-02-13,2026-03-06,189.19,15.14,204.33,Paid
INV24595247AF,CUST100070996,2026-07-09,2026-07-30,192.09,15.37,207.46,Partially Paid
INV2AD2A176E8,CUST100074755,2025-09-29,2025-10-20,75.87,6.07,81.94,Paid
INV283D6ED170,CUST100015358,2025-09-23,2025-10-14,336.69,26.94,363.63,Paid
INVDF300BE5E0,CUST100072140,2025-12-01,2025-12-22,111.63,8.93,120.56,Paid
INVCCD80C3129,CUST100034930,2025-09-01,2025-09-22,248.3,19.86,268.16,Paid
INV73F8A47916,CUST100028555,2025-08-01,2025-08-22,24.41,1.95,26.36,Partially Paid
INV4722374E45,CUST100027894,2025-08-09,2025-08-30,226.79,18.14,244.93,Paid
INVED38921854,CUST100005913,2025-10-23,2025-11-13,355.89,28.47,384.36,Partially Paid
INVE96E7EB2A5,CUST100066605,2025-08-16,2025-09-06,126.26,10.1,136.36,Unpaid
INV9D129396B1,CUST100007744,2026-01-16,2026-02-06,212.19,16.98,229.17,Partially Paid
INV659A7B5369,CUST100046055,2025-09-26,2025-10-17,215.63,17.25,232.88,Paid
INVA92CB3782B,CUST100081723,2025-08-13,2025-09-03,297.67,23.81,321.48,Partially Paid
INV8CBF90D297,CUST100042780,2026-06-06,2026-06-27,68.88,5.51,74.39,Partially Paid
INV7653657ACD,CUST100065629,2026-05-07,2026-05-28,186.77,14.94,201.71,Unpaid
INVB8BFEA1308,CUST100007572,2026-04-01,2026-04-22,358.25,28.66,386.91,Paid
INVF5F46DB333,CUST100086535,2026-06-15,2026-07-06,37.47,3.0,40.47,Paid
INV7537C05CEC,CUST100065553,2025-09-17,2025-10-08,96.25,7.7,103.95,Paid
INV080546760C,CUST100028972,2026-06-03,2026-06-24,126.26,10.1,136.36,Overdue
INV0D643BB044,CUST100016277,2026-01-24,2026-02-14,295.07,23.61,318.68,Paid
INVE00E31EC7B,CUST100023064,2026-02-01,2026-02-22,280.37,22.43,302.8,Paid
INV69121550DC,CUST100057977,2025-12-14,2026-01-04,132.14,10.57,142.71,Paid
INV4C518A3372,CUST100003439,2025-08-25,2025-09-15,256.03,20.48,276.51,Partially Paid
INV80C3A1A8FD,CUST100050216,2025-11-27,2025-12-18,316.71,25.34,342.05,Paid
INV2039AAD816,CUST100049389,2026-03-19,2026-04-09,241.76,19.34,261.1,Paid
INV6315FD2410,CUST100019960,2025-09-25,2025-10-16,281.57,22.53,304.1,Paid
INVB529354C8C,CUST100038455,2026-05-01,2026-05-22,359.37,28.75,388.12,Paid
INV5758D364E5,CUST100094250,2026-07-05,2026-07-26,321.41,25.71,347.12,Paid
INVA567A68CA3,CUST100030696,2025-11-18,2025-12-09,149.82,11.99,161.81,Paid
INV9F6BDB33C7,CUST100095930,2026-07-13,2026-08-03,285.78,22.86,308.64,Paid
INV0719C71911,CUST100046507,2025-12-21,2026-01-11,345.39,27.63,373.02,Unpaid
INVCB827A75A8,CUST100078034,2026-01-18,2026-02-08,181.74,14.54,196.28,Paid
INVF9C378541B,CUST100065829,2026-05-12,2026-06-02,228.37,18.27,246.64,Paid
INV8CDAAC40B6,CUST100075026,2025-08-19,2025-09-09,332.69,26.62,359.31,Paid
INVB47C8903DB,CUST100001629,2025-11-06,2025-11-27,198.03,15.84,213.87,Unpaid
INVB2B203975E,CUST100087347,2026-06-04,2026-06-25,137.77,11.02,148.79,Overdue
INV4EEF435C71,CUST100092848,2026-07-19,2026-08-09,91.96,7.36,99.32,Paid
INV15731ED537,CUST100015722,2026-07-09,2026-07-30,59.57,4.77,64.34,Partially Paid
INV0DB75906E5,CUST100007222,2026-01-05,2026-01-26,54.27,4.34,58.61,Unpaid
INVEC24A682A0,CUST100068529,2025-11-24,2025-12-15,245.99,19.68,265.67,Paid
INV1A5519DE97,CUST100038468,2026-06-12,2026-07-03,186.59,14.93,201.52,Paid
INV26188FA2AA,CUST100060722,2026-01-22,2026-02-12,158.83,12.71,171.54,Unpaid
INV991E0333D3,CUST100011334,2025-12-19,2026-01-09,136.63,10.93,147.56,Paid
INV66AB4DB0C9,CUST100083879,2025-08-04,2025-08-25,237.05,18.96,256.01,Paid
INV954E7B89B3,CUST100043594,2026-01-30,2026-02-20,320.76,25.66,346.42,Paid
INV21AF016075,CUST100073431,2025-10-08,2025-10-29,267.13,21.37,288.5,Overdue
INVE3B679609E,CUST100028799,2026-05-11,2026-06-01,194.83,15.59,210.42,Paid
INV2925A3B149,CUST100076444,2025-08-22,2025-09-12,252.96,20.24,273.2,Unpaid
INV4957DA1F4F,CUST100080756,2025-10-06,2025-10-27,164.91,13.19,178.1,Paid
INVBEDC51363E,CUST100012489,2025-09-30,2025-10-21,214.7,17.18,231.88,Unpaid
INV9CBD13E704,CUST100038322,2025-09-18,2025-10-09,344.04,27.52,371.56,Overdue
INV3EEBFFB4C5,CUST100024598,2025-12-11,2026-01-01,129.05,10.32,139.37,Unpaid
INVE40C12B55E,CUST100039110,2026-04-24,2026-05-15,335.87,26.87,362.74,Paid
INV38E471A9EB,CUST100052000,2026-05-30,2026-06-20,55.41,4.43,59.84,Paid
INV1A43F4989C,CUST100041599,2025-09-19,2025-10-10,73.39,5.87,79.26,Paid
INVD038E38FA6,CUST100005673,2026-06-30,2026-07-21,115.15,9.21,124.36,Paid
INV67890A6705,CUST100069611,2026-04-27,2026-05-18,235.19,18.82,254.01,Paid
INV233E45649F,CUST100085227,2026-05-07,2026-05-28,82.43,6.59,89.02,Paid
INV6D4E7F8AB7,CUST100021162,2025-08-21,2025-09-11,246.65,19.73,266.38,Partially Paid
INVBE9B7E0C00,CUST100033721,2025-11-11,2025-12-02,58.55,4.68,63.23,Partially Paid
INV7B7D2160EA,CUST100056035,2026-02-15,2026-03-08,152.29,12.18,164.47,Paid
INVD05F9D4592,CUST100034943,2025-11-03,2025-11-24,122.47,9.8,132.27,Paid
INV372702C8E9,CUST100016141,2026-03-25,2026-04-15,321.9,25.75,347.65,Overdue
INV021925C851,CUST100069231,2026-06-25,2026-07-16,238.97,19.12,258.09,Partially Paid
INV147A3F9737,CUST100040916,2026-06-06,2026-06-27,20.29,1.62,21.91,Paid
INVA98689C780,CUST100063545,2025-10-05,2025-10-26,315.71,25.26,340.97,Partially Paid
INV77A4DA4B9F,CUST100095709,2026-03-21,2026-04-11,272.12,21.77,293.89,Paid
INVAB3698FDB9,CUST100095698,2025-08-17,2025-09-07,130.84,10.47,141.31,Partially Paid
INV0ED3ECC429,CUST100048884,2025-11-10,2025-12-01,125.38,10.03,135.41,Paid
INVA481EE635A,CUST100010458,2025-09-19,2025-10-10,398.49,31.88,430.37,Paid
INV82D1DDE26E,CUST100046800,2026-03-29,2026-04-19,263.74,21.1,284.84,Paid
INVBE08C96F38,CUST100017370,2025-08-29,2025-09-19,381.13,30.49,411.62,Paid
INV8F98A4EB6B,CUST100091610,2026-07-15,2026-08-05,176.21,14.1,190.31,Paid
INV5E3EA1BDBF,CUST100004624,2026-03-07,2026-03-28,363.47,29.08,392.55,Paid
INVD42D388284,CUST100083166,2025-09-25,2025-10-16,68.37,5.47,73.84,Partially Paid
INVE4E9CE1A01,CUST100095035,2025-08-17,2025-09-07,307.51,24.6,332.11,Partially Paid
INVCCBC67E204,CUST100006660,2026-07-07,2026-07-28,282.7,22.62,305.32,Paid
INV0BE67CAD61,CUST100011113,2025-11-17,2025-12-08,228.27,18.26,246.53,Paid
INV02AC0AE0C0,CUST100057053,2025-12-07,2025-12-28,368.92,29.51,398.43,Paid
INV0FC5F18757,CUST100024451,2026-06-01,2026-06-22,139.7,11.18,150.88,Paid
INV4C2179210E,CUST100066528,2026-04-10,2026-05-01,94.32,7.55,101.87,Paid
INVBAFCC56E35,CUST100036768,2026-06-30,2026-07-21,299.8,23.98,323.78,Paid
INV12465F0789,CUST100001538,2026-05-06,2026-05-27,293.26,23.46,316.72,Paid
INV5A0AFB2740,CUST100096211,2025-08-13,2025-09-03,67.55,5.4,72.95,Partially Paid
INVE756ED4321,CUST100035260,2025-09-30,2025-10-21,351.88,28.15,380.03,Unpaid
INV438198AB07,CUST100050459,2026-03-24,2026-04-14,86.78,6.94,93.72,Paid
INV6FDC9BE204,CUST100024919,2026-01-08,2026-01-29,225.15,18.01,243.16,Unpaid
INVD0446F2D8A,CUST100008616,2025-12-17,2026-01-07,256.93,20.55,277.48,Overdue
INVED688D5BFA,CUST100032728,2026-05-03,2026-05-24,177.23,14.18,191.41,Unpaid
INV7A760E1DDC,CUST100014205,2026-04-22,2026-05-13,192.7,15.42,208.12,Paid
INVDAD3AACBA4,CUST100043854,2025-08-31,2025-09-21,129.7,10.38,140.08,Unpaid
INVA646F27ECF,CUST100032817,2026-03-17,2026-04-07,59.16,4.73,63.89,Paid
INV687597A025,CUST100000532,2025-12-29,2026-01-19,158.44,12.68,171.12,Paid
INVFFE1FF46CD,CUST100019617,2025-12-25,2026-01-15,218.13,17.45,235.58,Paid
INV5E54C6CE3B,CUST100063995,2025-09-29,2025-10-20,49.76,3.98,53.74,Paid
INV68BFC08C50,CUST100035748,2025-09-26,2025-10-17,147.55,11.8,159.35,Paid
INVDC1719AF1D,CUST100011340,2026-04-12,2026-05-03,309.86,24.79,334.65,Paid
INV1917B420EC,CUST100028904,2025-12-21,2026-01-11,379.06,30.32,409.38,Paid
INV83898CF204,CUST100034243,2026-06-17,2026-07-08,119.74,9.58,129.32,Paid
INV28C0743AF9,CUST100097907,2025-09-24,2025-10-15,290.09,23.21,313.3,Paid
INVB5D0D99D08,CUST100019050,2026-06-29,2026-07-20,138.62,11.09,149.71,Unpaid
INV8549EE4BE5,CUST100099951,2026-05-19,2026-06-09,58.36,4.67,63.03,Paid
INV869FF98968,CUST100033918,2025-11-08,2025-11-29,294.71,23.58,318.29,Paid
INV215DBECB59,CUST100084107,2026-06-15,2026-07-06,156.45,12.52,168.97,Paid
INVBEB87FEC88,CUST100067909,2025-12-09,2025-12-30,226.86,18.15,245.01,Paid
INVAB8922A0EE,CUST100079131,2026-04-15,2026-05-06,314.28,25.14,339.42,Partially Paid
INV4C47917B82,CUST100018634,2025-12-04,2025-12-25,48.71,3.9,52.61,Paid
INV83A3A090E2,CUST100071060,2025-08-12,2025-09-02,149.56,11.96,161.52,Paid
INVEA9D277D2D,CUST100043772,2025-12-21,2026-01-11,349.76,27.98,377.74,Overdue
INVD8DDC24D93,CUST100057271,2026-03-30,2026-04-20,223.18,17.85,241.03,Unpaid
INV1173321A91,CUST100013563,2026-07-01,2026-07-22,114.84,9.19,124.03,Partially Paid
INV35CAC2881D,CUST100031663,2026-04-11,2026-05-02,373.06,29.84,402.9,Paid
INV4FF163BB06,CUST100091674,2025-08-07,2025-08-28,87.17,6.97,94.14,Paid
INV2C5D231521,CUST100062033,2025-08-10,2025-08-31,208.97,16.72,225.69,Partially Paid
INV17946E7B17,CUST100030260,2026-01-03,2026-01-24,41.25,3.3,44.55,Paid
INV27832D35B4,CUST100050846,2026-04-06,2026-04-27,207.24,16.58,223.82,Paid
INV732E9F7920,CUST100065096,2026-04-11,2026-05-02,350.56,28.04,378.6,Paid
INVC22EF8CEF6,CUST100054174,2025-10-07,2025-10-28,59.7,4.78,64.48,Paid
INVE83D489FE9,CUST100061989,2025-12-19,2026-01-09,256.27,20.5,276.77,Unpaid
INV5BEA2EB642,CUST100003345,2026-03-05,2026-03-26,77.54,6.2,83.74,Paid
INV0EDD634E70,CUST100094804,2025-11-26,2025-12-17,233.82,18.71,252.53,Paid
INVA74832FD31,CUST100024840,2026-03-08,2026-03-29,387.39,30.99,418.38,Paid
INV3D5DC10A26,CUST100087255,2026-07-20,2026-08-10,257.6,20.61,278.21,Paid
INVE34EC7A7BA,CUST100077594,2025-11-15,2025-12-06,223.75,17.9,241.65,Paid
INVC55295E32A,CUST100040223,2026-05-17,2026-06-07,28.65,2.29,30.94,Overdue
INV3FCEE41A90,CUST100008063,2026-06-28,2026-07-19,54.45,4.36,58.81,Unpaid
INV1368701B0F,CUST100061996,2025-12-02,2025-12-23,328.6,26.29,354.89,Paid
INV7BCC495EBF,CUST100085481,2025-10-21,2025-11-11,368.93,29.51,398.44,Paid
INVD651932B2E,CUST100071878,2026-04-14,2026-05-05,304.73,24.38,329.11,Overdue
INV74C7D86A0F,CUST100015070,2025-11-12,2025-12-03,221.87,17.75,239.62,Paid
INV945224907E,CUST100079980,2026-05-21,2026-06-11,153.33,12.27,165.6,Paid
INV033D3A136B,CUST100099398,2026-04-09,2026-04-30,122.6,9.81,132.41,Unpaid
INV918DDA747C,CUST100084813,2026-05-10,2026-05-31,346.14,27.69,373.83,Paid
INVD46A3E646F,CUST100010554,2026-01-30,2026-02-20,175.42,14.03,189.45,Paid
INV957A577DA8,CUST100084947,2026-01-31,2026-02-21,272.02,21.76,293.78,Paid
INV00242761DE,CUST100085914,2025-11-11,2025-12-02,176.2,14.1,190.3,Overdue
INVE5E5A47E4E,CUST100083174,2025-08-14,2025-09-04,179.77,14.38,194.15,Paid
INV24B48703DA,CUST100040199,2025-12-18,2026-01-08,290.78,23.26,314.04,Paid
INV26A20E0706,CUST100034474,2025-11-02,2025-11-23,123.74,9.9,133.64,Unpaid
INVE49CF99D4F,CUST100002875,2026-07-10,2026-07-31,71.23,5.7,76.93,Overdue
INVC75BAF0302,CUST100082884,2026-02-09,2026-03-02,186.22,14.9,201.12,Paid
INV17EED1FFD9,CUST100056945,2025-12-25,2026-01-15,93.52,7.48,101.0,Paid
INVEFB7DDDE02,CUST100083494,2025-09-08,2025-09-29,371.32,29.71,401.03,Overdue
INV7468B09391,CUST100003789,2025-12-19,2026-01-09,222.75,17.82,240.57,Overdue
INV6998988FFA,CUST100035243,2026-05-10,2026-05-31,308.61,24.69,333.3,Paid
INV29B36F32E7,CUST100054311,2026-07-13,2026-08-03,114.06,9.12,123.18,Paid
INV08EBB8F537,CUST100079948,2025-08-07,2025-08-28,81.66,6.53,88.19,Paid
INVB85F399193,CUST100074312,2026-06-11,2026-07-02,183.64,14.69,198.33,Paid
INVE60CB919E7,CUST100065059,2026-04-18,2026-05-09,210.52,16.84,227.36,Overdue
INVD420476849,CUST100028810,2026-04-13,2026-05-04,183.45,14.68,198.13,Paid
INV96913FFF8B,CUST100007745,2026-05-06,2026-05-27,136.94,10.96,147.9,Paid
INV8E399D9086,CUST100056297,2025-10-25,2025-11-15,337.27,26.98,364.25,Overdue
INV35E2AA55D5,CUST100029820,2025-10-03,2025-10-24,137.42,10.99,148.41,Paid
INV9E97273FF5,CUST100037549,2025-12-08,2025-12-29,265.01,21.2,286.21,Paid
INVC60B3DF5E3,CUST100064835,2026-06-05,2026-06-26,380.69,30.46,411.15,Overdue
INV7858C65F18,CUST100086746,2026-02-25,2026-03-18,325.28,26.02,351.3,Paid
INVA6B0711BC8,CUST100047564,2025-10-22,2025-11-12,251.54,20.12,271.66,Paid
INV616639309C,CUST100023428,2025-11-19,2025-12-10,379.15,30.33,409.48,Paid
INVFA8C88200E,CUST100009981,2025-12-26,2026-01-16,321.61,25.73,347.34,Paid
INV404E224A01,CUST100013888,2025-08-30,2025-09-20,95.96,7.68,103.64,Paid
INVC04873CFF6,CUST100062560,2025-11-14,2025-12-05,104.21,8.34,112.55,Unpaid
INVF4DDBC6DE7,CUST100046167,2026-07-11,2026-08-01,340.3,27.22,367.52,Paid
INV4FFC706A43,CUST100025489,2025-12-20,2026-01-10,201.62,16.13,217.75,Paid
INV30F13614D2,CUST100048906,2025-12-23,2026-01-13,173.22,13.86,187.08,Partially Paid
INV2C941ACC8E,CUST100062540,2025-08-06,2025-08-27,80.89,6.47,87.36,Partially Paid
INV0A4D349F9F,CUST100059300,2025-09-29,2025-10-20,70.05,5.6,75.65,Overdue
INV25F423B942,CUST100047501,2025-11-14,2025-12-05,279.71,22.38,302.09,Paid
INV29497C0A52,CUST100024210,2025-11-18,2025-12-09,277.49,22.2,299.69,Paid
INV7D26FE7829,CUST100000019,2025-11-24,2025-12-15,232.36,18.59,250.95,Paid
INV3051D6C8C0,CUST100061335,2026-05-18,2026-06-08,221.81,17.74,239.55,Overdue
INV4DAB617441,CUST100081894,2026-05-17,2026-06-07,174.08,13.93,188.01,Partially Paid
INVBAFA836A5D,CUST100002736,2025-11-24,2025-12-15,121.78,9.74,131.52,Paid
INV6509970D75,CUST100035286,2026-01-25,2026-02-15,290.7,23.26,313.96,Paid
INV43AF502505,CUST100087544,2026-05-20,2026-06-10,50.95,4.08,55.03,Paid
INV1252E9183A,CUST100004518,2025-08-06,2025-08-27,300.95,24.08,325.03,Paid
INVA8E91518D5,CUST100036163,2026-07-01,2026-07-22,286.53,22.92,309.45,Paid
INVF97D84CD8E,CUST100024263,2026-02-15,2026-03-08,47.46,3.8,51.26,Paid
INVB7E69FDC5E,CUST100046046,2025-10-22,2025-11-12,76.09,6.09,82.18,Paid
INV45B7627DCB,CUST100083861,2025-08-30,2025-09-20,215.31,17.22,232.53,Paid
INV3007DCAE3C,CUST100079717,2025-08-01,2025-08-22,74.53,5.96,80.49,Unpaid
INVAB7D8F0E84,CUST100094059,2025-12-04,2025-12-25,212.57,17.01,229.58,Paid
INV00767CFF02,CUST100016411,2025-10-12,2025-11-02,34.74,2.78,37.52,Paid
INV665EF54F07,CUST100066490,2025-12-14,2026-01-04,40.48,3.24,43.72,Unpaid
INV4006E58CD2,CUST100090081,2026-07-18,2026-08-08,371.12,29.69,400.81,Partially Paid
INV461928337D,CUST100070182,2025-12-12,2026-01-02,171.93,13.75,185.68,Overdue
INVCB249F6968,CUST100019605,2025-11-30,2025-12-21,370.5,29.64,400.14,Paid
INV4202F32375,CUST100007606,2026-03-11,2026-04-01,158.51,12.68,171.19,Unpaid
INV75C80DE27A,CUST100029868,2026-02-02,2026-02-23,100.5,8.04,108.54,Overdue
INVBE1D3BAF08,CUST100013733,2026-04-01,2026-04-22,197.47,15.8,213.27,Paid
INV4EC853F8CC,CUST100012149,2026-02-18,2026-03-11,175.86,14.07,189.93,Paid
INV8AB32104DE,CUST100034625,2026-03-08,2026-03-29,136.6,10.93,147.53,Paid
INV64B45A0033,CUST100061354,2026-05-23,2026-06-13,327.33,26.19,353.52,Partially Paid
INVA67C857C99,CUST100081364,2025-08-10,2025-08-31,301.47,24.12,325.59,Paid
INVD3F27A80EE,CUST100061320,2026-03-30,2026-04-20,171.04,13.68,184.72,Paid
INVC63DE08065,CUST100035909,2025-08-26,2025-09-16,264.34,21.15,285.49,Paid
INVA90228DF70,CUST100095351,2026-02-12,2026-03-05,228.04,18.24,246.28,Partially Paid
INVF856A2A3A3,CUST100047543,2025-09-19,2025-10-10,278.5,22.28,300.78,Paid
INV259C8EDCC6,CUST100012458,2026-05-12,2026-06-02,114.7,9.18,123.88,Partially Paid
INV274E9F646F,CUST100052172,2025-10-18,2025-11-08,295.16,23.61,318.77,Overdue
INV8993A60FE6,CUST100027427,2026-06-07,2026-06-28,286.72,22.94,309.66,Unpaid
INV29A00D3AF1,CUST100039852,2026-06-09,2026-06-30,90.7,7.26,97.96,Paid
INV49EE6B3277,CUST100008120,2025-10-03,2025-10-24,173.96,13.92,187.88,Unpaid
INV134DA55EEF,CUST100038603,2026-04-02,2026-04-23,276.12,22.09,298.21,Paid
INV8FF7D7A6C1,CUST100027582,2025-10-31,2025-11-21,371.38,29.71,401.09,Overdue
INV31C20FF466,CUST100035957,2026-06-29,2026-07-20,295.93,23.67,319.6,Overdue
INVA48682EDF0,CUST100042802,2026-02-15,2026-03-08,212.81,17.02,229.83,Paid
INVE1742967E3,CUST100069008,2025-09-15,2025-10-06,77.0,6.16,83.16,Paid
INVC00436E174,CUST100070348,2026-04-09,2026-04-30,226.86,18.15,245.01,Overdue
INV2A9F0D0FB8,CUST100070020,2025-09-27,2025-10-18,350.2,28.02,378.22,Paid
INV72F4C6C5F9,CUST100016389,2026-02-12,2026-03-05,372.49,29.8,402.29,Overdue
INVE8E3C76041,CUST100046117,2025-10-06,2025-10-27,112.82,9.03,121.85,Paid
INV3B98EFA03C,CUST100041989,2026-01-24,2026-02-14,337.4,26.99,364.39,Paid
INVA2EE98403E,CUST100043418,2026-04-19,2026-05-10,260.26,20.82,281.08,Paid
INVA9EA77D655,CUST100064789,2025-10-11,2025-11-01,261.98,20.96,282.94,Paid
INV2B81FA0445,CUST100053909,2026-04-11,2026-05-02,392.78,31.42,424.2,Paid
INV2AADFB43DA,CUST100023355,2026-05-30,2026-06-20,119.78,9.58,129.36,Overdue
INV26C6C2DFCB,CUST100097285,2025-08-23,2025-09-13,22.55,1.8,24.35,Paid
INV4F7F64750B,CUST100008461,2026-01-16,2026-02-06,287.53,23.0,310.53,Paid
INV3680176C5C,CUST100074487,2025-11-09,2025-11-30,326.16,26.09,352.25,Unpaid
INV14F2FC047D,CUST100009056,2026-05-02,2026-05-23,337.15,26.97,364.12,Overdue
INV0EFC73324C,CUST100021743,2026-02-02,2026-02-23,307.04,24.56,331.6,Paid
INV5C160F2C75,CUST100098194,2025-10-07,2025-10-28,104.98,8.4,113.38,Paid
INV3FF83F1AE3,CUST100041720,2025-08-12,2025-09-02,287.91,23.03,310.94,Paid
INVB84C2606B1,CUST100004658,2026-04-23,2026-05-14,329.37,26.35,355.72,Overdue
INVA17DDFD147,CUST100007084,2025-08-12,2025-09-02,160.03,12.8,172.83,Overdue
INVC47E4FDC54,CUST100096393,2025-08-20,2025-09-10,367.78,29.42,397.2,Overdue
INV52DC073B3C,CUST100099885,2026-05-27,2026-06-17,392.98,31.44,424.42,Paid
INV626BB25B5A,CUST100069220,2025-10-10,2025-10-31,271.89,21.75,293.64,Paid
INVADD91B9DFB,CUST100030659,2025-08-15,2025-09-05,170.06,13.6,183.66,Paid
INV2A287E2EE3,CUST100088221,2026-06-07,2026-06-28,141.47,11.32,152.79,Paid
INV837D9A3B28,CUST100071040,2026-06-09,2026-06-30,384.83,30.79,415.62,Paid
INV1C51EE1641,CUST100084683,2025-10-05,2025-10-26,226.17,18.09,244.26,Paid
INVC2AD103E01,CUST100061257,2025-11-22,2025-12-13,309.21,24.74,333.95,Paid
INV8C70F3BC53,CUST100058420,2026-01-08,2026-01-29,70.27,5.62,75.89,Overdue
INVBC50F55B8E,CUST100037613,2025-11-14,2025-12-05,170.07,13.61,183.68,Paid
INV06F4284681,CUST100045255,2025-09-04,2025-09-25,393.13,31.45,424.58,Paid
INV061928AAD8,CUST100099838,2026-07-10,2026-07-31,228.5,18.28,246.78,Overdue
INV76CE8BB973,CUST100042758,2026-02-20,2026-03-13,98.45,7.88,106.33,Overdue
INVE9C57C0C3A,CUST100014103,2025-08-31,2025-09-21,359.09,28.73,387.82,Paid
INV2EAD278294,CUST100045544,2026-02-19,2026-03-12,100.74,8.06,108.8,Paid
INVCCE12D025B,CUST100093863,2026-04-28,2026-05-19,343.67,27.49,371.16,Paid
INV9B3C976E6F,CUST100066411,2025-11-08,2025-11-29,111.43,8.91,120.34,Unpaid
INV12A65A396C,CUST100005724,2025-09-11,2025-10-02,74.74,5.98,80.72,Paid
