customer_id,product_recommended,propensity_score,score_date
CUST100073489,Streaming Bundle,0.603,2026-07-12
CUST100020493,Device Insurance,0.0916,2026-07-19
CUST100020348,International Roaming Pack,0.1505,2026-07-02
CUST100075937,Family Plan Upgrade,0.4705,2026-07-12
CUST100034334,Home Security Add-on,0.0911,2026-07-23
CUST100042728,Family Plan Upgrade,0.373,2026-07-20
CUST100008546,Family Plan Upgrade,0.1582,2026-07-13
CUST100093463,Device Insurance,0.2947,2026-07-10
CUST100074967,Streaming Bundle,0.8569,2026-07-13
CUST100064971,5G Handset Upgrade,0.9482,2026-07-18
CUST100023397,Streaming Bundle,0.8735,2026-07-11
CUST100076157,International Roaming Pack,0.8708,2026-07-21
CUST100008654,International Roaming Pack,0.5365,2026-07-16
CUST100061454,Streaming Bundle,0.5822,2026-07-06
CUST100060847,5G Handset Upgrade,0.866,2026-07-09
CUST100025427,5G Handset Upgrade,0.304,2026-07-01
CUST100023942,Family Plan Upgrade,0.6077,2026-07-13
CUST100006705,Device Insurance,0.7164,2026-07-01
CUST100061380,Home Security Add-on,0.9718,2026-07-02
CUST100085612,International Roaming Pack,0.6513,2026-07-05
CUST100045985,Streaming Bundle,0.3306,2026-07-21
CUST100059155,Device Insurance,0.2369,2026-07-02
CUST100099585,Streaming Bundle,0.621,2026-07-08
CUST100013652,Streaming Bundle,0.7035,2026-07-09
CUST100027238,Home Security Add-on,0.6679,2026-07-06
CUST100076719,International Roaming Pack,0.7821,2026-07-01
CUST100015896,Streaming Bundle,0.8098,2026-07-21
CUST100025761,Family Plan Upgrade,0.6797,2026-07-11
CUST100065342,Device Insurance,0.9439,2026-07-08
CUST100056075,Device Insurance,0.4392,2026-07-02
CUST100075001,Streaming Bundle,0.2506,2026-07-03
CUST100094931,International Roaming Pack,0.8105,2026-07-08
CUST100047687,International Roaming Pack,0.1332,2026-07-09
CUST100030970,Streaming Bundle,0.0536,2026-07-16
CUST100055461,Streaming Bundle,0.2052,2026-07-15
CUST100044730,Device Insurance,0.7336,2026-07-10
CUST100002270,Family Plan Upgrade,0.9958,2026-07-17
CUST100023968,Streaming Bundle,0.4941,2026-07-06
CUST100010010,Home Security Add-on,0.6647,2026-07-22
CUST100099897,Device Insurance,0.4577,2026-07-19
CUST100001743,5G Handset Upgrade,0.4652,2026-07-14
CUST100062711,International Roaming Pack,0.1739,2026-07-08
CUST100076146,International Roaming Pack,0.0635,2026-07-11
CUST100082923,5G Handset Upgrade,0.9981,2026-07-16
CUST100011034,Device Insurance,0.6336,2026-07-19
CUST100098809,International Roaming Pack,0.5218,2026-07-08
CUST100035553,Device Insurance,0.7472,2026-07-21
CUST100009683,Family Plan Upgrade,0.2687,2026-07-17
CUST100075006,Home Security Add-on,0.6675,2026-07-07
CUST100037796,Home Security Add-on,0.9802,2026-07-16
CUST100008655,Home Security Add-on,0.5503,2026-07-05
CUST100087806,5G Handset Upgrade,0.5191,2026-07-11
CUST100084703,International Roaming Pack,0.9135,2026-07-17
CUST100032552,Home Security Add-on,0.6827,2026-07-23
CUST100013680,International Roaming Pack,0.577,2026-07-09
CUST100004660,5G Handset Upgrade,0.2846,2026-07-10
CUST100024890,Home Security Add-on,0.2037,2026-07-06
CUST100032100,International Roaming Pack,0.8053,2026-07-04
CUST100083548,5G Handset Upgrade,0.7059,2026-07-09
CUST100038567,International Roaming Pack,0.0615,2026-07-07
CUST100070450,Family Plan Upgrade,0.6814,2026-07-07
CUST100097923,Streaming Bundle,0.6459,2026-07-22
CUST100019262,Device Insurance,0.5392,2026-07-08
CUST100081407,International Roaming Pack,0.0309,2026-07-06
CUST100060383,Device Insurance,0.993,2026-07-20
CUST100005106,International Roaming Pack,0.1332,2026-07-02
CUST100083583,International Roaming Pack,0.7176,2026-07-13
CUST100042306,Family Plan Upgrade,0.2377,2026-07-20
CUST100035809,International Roaming Pack,0.2884,2026-07-18
CUST100024566,5G Handset Upgrade,0.8347,2026-07-16
CUST100053350,International Roaming Pack,0.1209,2026-07-09
CUST100077373,Family Plan Upgrade,0.0639,2026-07-04
CUST100028322,International Roaming Pack,0.4469,2026-07-01
CUST100027883,5G Handset Upgrade,0.354,2026-07-16
CUST100038726,Home Security Add-on,0.5861,2026-07-12
CUST100031568,Device Insurance,0.8824,2026-07-12
CUST100084069,International Roaming Pack,0.2106,2026-07-21
CUST100044785,International Roaming Pack,0.6915,2026-07-08
CUST100086320,Device Insurance,0.6739,2026-07-20
CUST100078452,Family Plan Upgrade,0.5779,2026-07-10
CUST100030344,5G Handset Upgrade,0.8326,2026-07-23
CUST100058225,5G Handset Upgrade,0.309,2026-07-08
CUST100078572,Device Insurance,0.9748,2026-07-04
CUST100012380,Family Plan Upgrade,0.8754,2026-07-17
CUST100088514,Home Security Add-on,0.101,2026-07-13
CUST100005883,Streaming Bundle,0.5754,2026-07-06
CUST100078217,Family Plan Upgrade,0.1864,2026-07-15
CUST100002107,Home Security Add-on,0.3777,2026-07-22
CUST100095854,Device Insurance,0.301,2026-07-09
CUST100013607,International Roaming Pack,0.9676,2026-07-08
CUST100052588,5G Handset Upgrade,0.1454,2026-07-13
CUST100004920,Streaming Bundle,0.6751,2026-07-09
CUST100051643,Streaming Bundle,0.989,2026-07-20
CUST100071761,Device Insurance,0.9078,2026-07-04
CUST100077859,Home Security Add-on,0.8002,2026-07-20
CUST100011002,5G Handset Upgrade,0.3787,2026-07-21
CUST100035679,Device Insurance,0.4283,2026-07-19
CUST100089603,5G Handset Upgrade,0.9227,2026-07-14
CUST100058462,Device Insurance,0.112,2026-07-23
CUST100004647,International Roaming Pack,0.1518,2026-07-02
CUST100063823,Device Insurance,0.7466,2026-07-23
CUST100099879,5G Handset Upgrade,0.2356,2026-07-04
CUST100091914,International Roaming Pack,0.8079,2026-07-20
CUST100084093,Family Plan Upgrade,0.0678,2026-07-07
CUST100033554,Family Plan Upgrade,0.6926,2026-07-05
CUST100027066,Streaming Bundle,0.0255,2026-07-15
CUST100063839,International Roaming Pack,0.7554,2026-07-17
CUST100020317,5G Handset Upgrade,0.5854,2026-07-13
CUST100078780,Streaming Bundle,0.1936,2026-07-03
CUST100020710,Family Plan Upgrade,0.4122,2026-07-12
CUST100098950,Home Security Add-on,0.0454,2026-07-06
CUST100033613,Device Insurance,0.9129,2026-07-03
CUST100004201,Streaming Bundle,0.3024,2026-07-10
CUST100042604,5G Handset Upgrade,0.9146,2026-07-01
CUST100053692,Family Plan Upgrade,0.7878,2026-07-14
CUST100038082,International Roaming Pack,0.779,2026-07-06
CUST100024451,International Roaming Pack,0.7469,2026-07-06
CUST100034776,International Roaming Pack,0.893,2026-07-07
CUST100002441,Family Plan Upgrade,0.871,2026-07-23
CUST100098399,5G Handset Upgrade,0.6635,2026-07-05
CUST100008893,Family Plan Upgrade,0.7527,2026-07-11
CUST100013925,International Roaming Pack,0.2219,2026-07-21
CUST100057168,Family Plan Upgrade,0.6876,2026-07-04
CUST100092324,Family Plan Upgrade,0.0424,2026-07-06
CUST100056118,Device Insurance,0.3193,2026-07-20
CUST100033144,5G Handset Upgrade,0.5298,2026-07-05
CUST100080788,Home Security Add-on,0.7205,2026-07-05
CUST100041092,Home Security Add-on,0.4914,2026-07-02
CUST100001919,Home Security Add-on,0.3945,2026-07-01
CUST100062100,5G Handset Upgrade,0.2808,2026-07-03
CUST100020285,Home Security Add-on,0.8925,2026-07-09
CUST100055410,Streaming Bundle,0.3132,2026-07-03
CUST100000737,Home Security Add-on,0.1356,2026-07-15
CUST100096824,Family Plan Upgrade,0.0596,2026-07-18
CUST100045519,Family Plan Upgrade,0.5252,2026-07-16
CUST100056814,International Roaming Pack,0.2083,2026-07-07
CUST100037509,Family Plan Upgrade,0.289,2026-07-19
CUST100093226,Streaming Bundle,0.7245,2026-07-18
CUST100012404,Streaming Bundle,0.3906,2026-07-11
CUST100090916,Family Plan Upgrade,0.7146,2026-07-10
CUST100053671,Home Security Add-on,0.0236,2026-07-09
CUST100095327,5G Handset Upgrade,0.9925,2026-07-14
CUST100070409,Streaming Bundle,0.6798,2026-07-20
CUST100017329,Home Security Add-on,0.3338,2026-07-11
CUST100050469,Family Plan Upgrade,0.0627,2026-07-02
CUST100085996,Family Plan Upgrade,0.1105,2026-07-18
CUST100073177,Streaming Bundle,0.0592,2026-07-01
CUST100098151,International Roaming Pack,0.7794,2026-07-14
CUST100045267,International Roaming Pack,0.0302,2026-07-01
CUST100017770,5G Handset Upgrade,0.776,2026-07-14
CUST100000040,International Roaming Pack,0.1919,2026-07-21
CUST100015344,Home Security Add-on,0.3639,2026-07-09
CUST100082638,Device Insurance,0.0399,2026-07-13
CUST100070158,5G Handset Upgrade,0.2929,2026-07-13
CUST100009822,International Roaming Pack,0.3687,2026-07-14
CUST100068528,Family Plan Upgrade,0.2133,2026-07-10
CUST100033762,International Roaming Pack,0.2954,2026-07-14
CUST100031494,International Roaming Pack,0.8284,2026-07-16
CUST100041152,Device Insurance,0.1239,2026-07-09
CUST100078930,Family Plan Upgrade,0.0941,2026-07-15
CUST100034665,Device Insurance,0.9949,2026-07-14
CUST100057281,Streaming Bundle,0.8678,2026-07-09
CUST100078071,Streaming Bundle,0.0869,2026-07-21
CUST100083741,International Roaming Pack,0.826,2026-07-04
CUST100005724,Streaming Bundle,0.9357,2026-07-23
CUST100002071,Streaming Bundle,0.7606,2026-07-17
CUST100032056,Home Security Add-on,0.2547,2026-07-07
CUST100096424,Family Plan Upgrade,0.2767,2026-07-07
CUST100046815,5G Handset Upgrade,0.9571,2026-07-11
CUST100059752,International Roaming Pack,0.9685,2026-07-19
CUST100065894,Family Plan Upgrade,0.7421,2026-07-14
CUST100079109,Home Security Add-on,0.9276,2026-07-16
CUST100069185,Device Insurance,0.1224,2026-07-02
CUST100094735,Streaming Bundle,0.989,2026-07-03
CUST100075674,5G Handset Upgrade,0.2674,2026-07-13
CUST100063557,Family Plan Upgrade,0.865,2026-07-02
CUST100036534,Streaming Bundle,0.1517,2026-07-09
CUST100053256,International Roaming Pack,0.0179,2026-07-14
CUST100033476,5G Handset Upgrade,0.9771,2026-07-11
CUST100018244,Streaming Bundle,0.4767,2026-07-05
CUST100045068,Streaming Bundle,0.5864,2026-07-18
CUST100064548,Family Plan Upgrade,0.1725,2026-07-23
CUST100095762,5G Handset Upgrade,0.7779,2026-07-23
CUST100007412,Device Insurance,0.2003,2026-07-18
CUST100018868,Streaming Bundle,0.8916,2026-07-11
CUST100093432,5G Handset Upgrade,0.1794,2026-07-07
CUST100018861,International Roaming Pack,0.8997,2026-07-05
CUST100087879,Streaming Bundle,0.8319,2026-07-19
CUST100065633,Device Insurance,0.8506,2026-07-22
CUST100092744,Streaming Bundle,0.3081,2026-07-07
CUST100016405,Streaming Bundle,0.1025,2026-07-08
CUST100055735,Home Security Add-on,0.2444,2026-07-16
CUST100052098,International Roaming Pack,0.5343,2026-07-05
CUST100073189,Streaming Bundle,0.0665,2026-07-05
CUST100000583,International Roaming Pack,0.7466,2026-07-09
CUST100021659,Family Plan Upgrade,0.3004,2026-07-05
CUST100061645,International Roaming Pack,0.1011,2026-07-07
CUST100099073,5G Handset Upgrade,0.7829,2026-07-20
CUST100000588,Home Security Add-on,0.5263,2026-07-22
CUST100067927,Home Security Add-on,0.4354,2026-07-08
CUST100064119,Family Plan Upgrade,0.2086,2026-07-19
CUST100012281,5G Handset Upgrade,0.5153,2026-07-17
CUST100089091,Family Plan Upgrade,0.843,2026-07-21
CUST100031077,5G Handset Upgrade,0.0131,2026-07-09
CUST100081616,5G Handset Upgrade,0.3813,2026-07-02
CUST100050762,5G Handset Upgrade,0.153,2026-07-20
CUST100091020,Family Plan Upgrade,0.7301,2026-07-03
CUST100072361,Family Plan Upgrade,0.6921,2026-07-04
CUST100035957,Streaming Bundle,0.5616,2026-07-02
CUST100005481,International Roaming Pack,0.3437,2026-07-05
CUST100060653,Family Plan Upgrade,0.0864,2026-07-18
CUST100085770,5G Handset Upgrade,0.883,2026-07-16
CUST100077871,Home Security Add-on,0.3894,2026-07-04
CUST100007787,International Roaming Pack,0.3293,2026-07-07
CUST100064132,Home Security Add-on,0.9751,2026-07-12
CUST100034132,Home Security Add-on,0.4123,2026-07-06
CUST100022603,International Roaming Pack,0.0928,2026-07-22
CUST100044225,5G Handset Upgrade,0.5671,2026-07-01
CUST100098663,Family Plan Upgrade,0.5748,2026-07-08
CUST100019181,Home Security Add-on,0.1534,2026-07-06
CUST100010525,Streaming Bundle,0.7925,2026-07-23
CUST100036093,Home Security Add-on,0.3018,2026-07-14
CUST100063972,5G Handset Upgrade,0.15,2026-07-21
CUST100003033,5G Handset Upgrade,0.6286,2026-07-16
CUST100070313,Streaming Bundle,0.9799,2026-07-11
CUST100089336,Streaming Bundle,0.7328,2026-07-13
CUST100065500,5G Handset Upgrade,0.8755,2026-07-16
CUST100044433,5G Handset Upgrade,0.3018,2026-07-06
CUST100092522,Device Insurance,0.9029,2026-07-13
CUST100061047,International Roaming Pack,0.9905,2026-07-07
CUST100087917,Family Plan Upgrade,0.426,2026-07-22
CUST100021358,Home Security Add-on,0.0779,2026-07-13
CUST100070651,5G Handset Upgrade,0.4149,2026-07-09
CUST100092648,International Roaming Pack,0.2947,2026-07-03
CUST100048035,Streaming Bundle,0.5332,2026-07-23
CUST100044662,Home Security Add-on,0.7418,2026-07-16
CUST100050663,Device Insurance,0.0722,2026-07-08
CUST100066832,Family Plan Upgrade,0.5578,2026-07-04
CUST100054059,Family Plan Upgrade,0.5184,2026-07-10
CUST100030455,Streaming Bundle,0.0341,2026-07-06
CUST100095219,Device Insurance,0.9464,2026-07-23
CUST100099422,Home Security Add-on,0.8103,2026-07-16
CUST100013070,Streaming Bundle,0.7444,2026-07-04
CUST100089876,Home Security Add-on,0.0507,2026-07-10
CUST100034189,Home Security Add-on,0.8729,2026-07-16
CUST100053356,Streaming Bundle,0.7002,2026-07-10
CUST100035876,International Roaming Pack,0.4393,2026-07-02
CUST100057001,International Roaming Pack,0.5494,2026-07-03
CUST100045788,International Roaming Pack,0.033,2026-07-21
CUST100044971,Home Security Add-on,0.6579,2026-07-11
CUST100071472,Family Plan Upgrade,0.3435,2026-07-17
CUST100084462,Streaming Bundle,0.5551,2026-07-05
CUST100083184,Streaming Bundle,0.8503,2026-07-23
CUST100020986,5G Handset Upgrade,0.4712,2026-07-18
CUST100074027,Streaming Bundle,0.7711,2026-07-09
CUST100059719,Family Plan Upgrade,0.1244,2026-07-13
CUST100094724,Streaming Bundle,0.2986,2026-07-04
CUST100015478,Home Security Add-on,0.082,2026-07-16
CUST100009537,International Roaming Pack,0.619,2026-07-16
CUST100087905,International Roaming Pack,0.3333,2026-07-16
CUST100003251,Device Insurance,0.0965,2026-07-11
CUST100085269,International Roaming Pack,0.6396,2026-07-12
CUST100098529,Family Plan Upgrade,0.8481,2026-07-21
CUST100035807,5G Handset Upgrade,0.9175,2026-07-21
CUST100009791,Device Insurance,0.5513,2026-07-07
CUST100025006,Streaming Bundle,0.7023,2026-07-22
CUST100056966,Streaming Bundle,0.859,2026-07-05
CUST100078464,Home Security Add-on,0.2634,2026-07-19
CUST100040712,Home Security Add-on,0.5647,2026-07-06
CUST100078666,Device Insurance,0.3703,2026-07-23
CUST100090824,Home Security Add-on,0.0068,2026-07-22
CUST100066468,Streaming Bundle,0.2557,2026-07-10
CUST100016816,Streaming Bundle,0.4413,2026-07-12
CUST100051087,Home Security Add-on,0.2547,2026-07-01
CUST100071877,International Roaming Pack,0.3033,2026-07-11
CUST100073908,International Roaming Pack,0.1804,2026-07-16
CUST100095821,International Roaming Pack,0.9606,2026-07-09
CUST100032544,Streaming Bundle,0.3651,2026-07-05
CUST100055578,International Roaming Pack,0.9843,2026-07-10
CUST100018426,Device Insurance,0.0316,2026-07-20
CUST100044771,Streaming Bundle,0.9728,2026-07-21
CUST100097835,Device Insurance,0.3777,2026-07-20
CUST100096124,Device Insurance,0.1417,2026-07-19
CUST100036737,Home Security Add-on,0.5048,2026-07-21
CUST100070709,Device Insurance,0.7715,2026-07-14
CUST100058068,International Roaming Pack,0.4318,2026-07-13
CUST100043968,Device Insurance,0.8358,2026-07-02
CUST100032562,Home Security Add-on,0.2829,2026-07-16
CUST100084546,Streaming Bundle,0.3806,2026-07-17
CUST100007889,International Roaming Pack,0.1638,2026-07-23
CUST100009148,Family Plan Upgrade,0.1546,2026-07-07
CUST100004046,Family Plan Upgrade,0.74,2026-07-05
