account_id,customer_id,parent_account_id,account_type,hierarchy_level
ACC65AFD3FFB7,CUST100054954,,Family Plan,1
ACC816531E424,CUST100040736,,Individual,1
ACCA77E35E30B,CUST100036893,,Business Master,1
ACCD630F0EB0A,CUST100007847,,Individual,0
ACC31A5586420,CUST100092345,,Family Plan,1
ACC5A92386E12,CUST100054179,ACC44A93D811A,Individual,0
ACC79F26EAE59,CUST100028503,,Individual,1
ACC4AD207DFFF,CUST100023553,,Family Plan,1
ACC798A8F9D06,CUST100081919,,Individual,0
ACC05D885C39A,CUST100001870,,Business Master,0
ACC25E8506E59,CUST100031560,,Business Sub-Account,0
ACC8A33AF6ACE,CUST100064122,,Individual,0
ACC85E6D6D506,CUST100074169,,Family Plan,0
ACCFB893125E8,CUST100060750,,Family Plan,1
ACCCA8AC98FC6,CUST100035310,,Individual,0
ACCC62840B24D,CUST100077593,,Individual,0
ACC6FCED6C771,CUST100015593,ACC182998F8D9,Family Plan,0
ACC7A78D7F5A1,CUST100080877,ACCD389038659,Family Plan,0
ACC3CCA7F9537,CUST100018449,,Individual,0
ACCC6558E6179,CUST100023835,,Business Master,0
ACCA12133B7FA,CUST100092930,,Individual,0
ACCD01976A5DA,CUST100020547,,Individual,0
ACC7B712A8715,CUST100006735,,Family Plan,1
ACC912909EE22,CUST100078004,,Individual,1
ACCB8CAA4ACF1,CUST100000678,,Individual,0
ACCA74E6972E1,CUST100093727,,Family Plan,1
ACC68028B82D5,CUST100050105,,Individual,1
ACCCBB37AE870,CUST100091947,,Business Master,1
ACC0F91CE4477,CUST100059283,,Business Master,0
ACC701A0CCE64,CUST100075847,,Individual,0
ACC335D348A52,CUST100096214,,Individual,0
ACC2D32F23F4D,CUST100099556,,Individual,0
ACCA9FECF9D54,CUST100056063,,Individual,0
ACCA920DCEC93,CUST100083609,,Family Plan,0
ACCC2982E7FA2,CUST100081831,,Individual,0
ACC910B7A052D,CUST100086028,,Business Master,0
ACC55DB9947CC,CUST100009153,,Family Plan,1
ACC55BC1E3985,CUST100009481,,Family Plan,0
ACCFB61038156,CUST100031658,,Family Plan,0
ACCFB25860A98,CUST100089043,ACC2EC7AC32BD,Family Plan,0
ACC208393B998,CUST100019854,,Family Plan,0
ACC4D75ABC6DC,CUST100025379,,Business Master,2
ACCE79FBB5A28,CUST100099652,,Individual,0
ACC76A902DC36,CUST100067352,,Individual,0
ACCA48F745B86,CUST100075229,,Family Plan,0
ACC47E9BBB173,CUST100069704,ACC64E34B00B0,Individual,0
ACCA9BBD4FC81,CUST100070481,,Business Master,0
ACCC044122480,CUST100019572,,Individual,0
ACCE7DD1A533D,CUST100074251,ACCB95B6310D9,Family Plan,0
ACCFA65803C06,CUST100069940,,Family Plan,0
ACCC9D4099CB4,CUST100080619,,Individual,2
ACC909749AA95,CUST100091981,,Family Plan,0
ACC5FF595FF32,CUST100073655,ACC6478425C95,Family Plan,0
ACC9F119854E9,CUST100052839,,Individual,0
ACCD4ABE5FCF2,CUST100005108,,Individual,0
ACCF451A87A6A,CUST100026946,,Individual,0
ACCE9D0C68F71,CUST100029493,ACCEC4E67B447,Individual,0
ACC0002273074,CUST100099227,,Individual,0
ACCE40187FD7D,CUST100053914,,Business Sub-Account,0
ACC76B4E30DD6,CUST100045631,ACC9245CD4E8D,Individual,0
ACC3D691AA5F8,CUST100065894,,Individual,1
ACC6F4A43569F,CUST100032362,,Business Master,1
ACCB66A334DCD,CUST100006081,ACCBBA0C52B24,Individual,0
ACC0A1BE18E3F,CUST100094261,,Individual,0
ACCAEE4457451,CUST100079926,,Individual,1
ACC4AF8A0D5BA,CUST100059015,,Family Plan,0
ACC88F41D93DD,CUST100051147,,Business Master,2
ACC6739D2F439,CUST100043685,,Family Plan,0
ACC861BAD908A,CUST100051209,,Individual,0
ACC65C6F44521,CUST100068529,ACC61DE618611,Individual,1
ACCB2DBC3361C,CUST100004478,,Individual,0
ACC9BC19A0A46,CUST100071918,,Family Plan,0
ACC8396AD7DAA,CUST100038057,,Individual,0
ACC7E396D68B5,CUST100080459,,Individual,1
ACC55408BB5F7,CUST100043006,,Individual,0
ACC4D2B0652BA,CUST100056494,,Individual,0
ACCAF9DDCEB34,CUST100037177,,Business Master,1
ACCEF72F11C6D,CUST100028821,,Individual,0
ACC759F655F98,CUST100025728,,Business Sub-Account,1
ACCA6DCFFD9FA,CUST100025985,,Individual,0
ACCEC16CAC43E,CUST100093668,,Family Plan,1
ACCA42B0B404D,CUST100051514,,Family Plan,0
ACCE0F81E30C3,CUST100073217,ACC0A987BA9FB,Business Master,0
ACC86865537B9,CUST100051749,,Individual,1
ACC7EC2F578A7,CUST100006043,,Business Master,0
ACCDD90FA6F13,CUST100000685,,Individual,0
ACCD9C62B0372,CUST100077034,,Family Plan,1
ACC851FF88903,CUST100027115,,Family Plan,1
ACC12E1EA825E,CUST100011909,,Business Master,0
ACCF250AE5F21,CUST100072513,,Family Plan,2
ACCDE3899019E,CUST100087013,,Business Master,0
ACC71091037BA,CUST100022821,,Individual,0
ACC2E8C9D7E66,CUST100015351,,Individual,0
ACCD9019B8347,CUST100016847,,Individual,0
ACC48C0A5AA2F,CUST100015616,ACC61616FBF8A,Family Plan,0
ACC0AC1434342,CUST100037936,,Business Sub-Account,1
ACC9787D664A8,CUST100089850,,Family Plan,0
ACC85E80867B5,CUST100055706,ACCB17650F24B,Individual,0
ACCE86FDF541B,CUST100011990,,Business Master,0
ACC25DE310287,CUST100053105,,Family Plan,0
ACCDFA734BA37,CUST100062013,,Individual,0
ACCBF9F5FBFF2,CUST100067652,,Individual,0
ACC7DD6CBA428,CUST100006144,,Business Master,0
ACC198AA95C36,CUST100097459,ACCBBD8314B73,Individual,0
ACC093CB7BA67,CUST100025641,,Individual,0
ACC25A2F412B5,CUST100023442,,Family Plan,0
ACC2FE92CE860,CUST100086583,,Individual,1
ACC6F15776FB8,CUST100092074,,Business Sub-Account,0
ACC4A982620EA,CUST100042598,ACC336E88E13A,Family Plan,0
ACC761FBF2310,CUST100081782,,Individual,0
ACC821E47F61B,CUST100059060,,Family Plan,0
ACC02C66CF3B7,CUST100096713,,Individual,1
ACC533637F6CA,CUST100035985,,Individual,0
ACC8147E47500,CUST100040686,,Individual,0
ACCE3013D67D7,CUST100098167,,Individual,0
ACCF1F7CD8D8F,CUST100024387,,Individual,0
ACC62A9FDBEAC,CUST100018974,,Individual,1
ACCBA5CEA0320,CUST100074225,,Individual,0
ACC69DF75124F,CUST100048245,,Individual,0
ACC174909A293,CUST100007193,,Individual,0
ACC69F75A88FE,CUST100099514,,Individual,0
ACC5A9823E667,CUST100080981,,Individual,0
ACC405058F7EA,CUST100021315,,Family Plan,1
ACC8FE88DD55D,CUST100045024,,Family Plan,1
ACCDC472EB273,CUST100014294,,Individual,0
ACCA14B79FF69,CUST100079168,,Individual,0
ACCAE056311C7,CUST100072733,,Family Plan,0
ACC3D14A6FD11,CUST100062048,ACC31A523DD98,Individual,1
ACC19449D8F03,CUST100025785,,Individual,0
ACC8032755AAB,CUST100096157,,Family Plan,0
ACC1D9788C53D,CUST100063181,,Individual,0
ACCA8F957B38F,CUST100010759,,Business Master,2
ACC24F84C673A,CUST100049273,,Family Plan,2
ACCD7236C59F9,CUST100056338,,Family Plan,2
ACC80D726B065,CUST100036675,,Business Master,0
ACCE41163B194,CUST100051402,,Family Plan,0
ACC5C86E71E16,CUST100070603,,Individual,0
ACC4658203B24,CUST100020235,,Family Plan,2
ACCA68089C6A5,CUST100008606,ACC3BB9138978,Family Plan,0
ACC71752FA3B5,CUST100094270,,Family Plan,1
ACCA1DDAAFB61,CUST100021391,ACCE54E0014C5,Business Master,0
ACC156FB35047,CUST100001423,,Individual,0
ACC77A232D8C5,CUST100001600,ACC40B6C01BBD,Individual,0
ACC0F88881097,CUST100060249,,Family Plan,0
ACC6BD22AA6B1,CUST100060283,,Individual,1
ACCC7C615683A,CUST100028107,,Individual,0
ACC6E25403ADD,CUST100098960,,Family Plan,0
ACCB2281A23E4,CUST100055144,,Business Sub-Account,1
ACCE9FD4DCDFA,CUST100025194,,Individual,0
ACCCC6CF57268,CUST100061715,,Individual,0
ACC67EE218B8A,CUST100014067,ACC6FCA724D07,Individual,0
ACC904B0FBD6E,CUST100043024,ACC975A388FBE,Individual,1
ACC04A461C2B9,CUST100015528,,Business Sub-Account,0
ACCF5785EBB4B,CUST100068520,,Family Plan,0
ACC85B0DEFA6A,CUST100091869,,Family Plan,0
ACC8D941C7327,CUST100072823,,Individual,0
ACC9846F7FE8D,CUST100015157,,Family Plan,0
ACC81494132BE,CUST100035043,,Individual,0
ACCB104CF4DF9,CUST100071207,ACC09BCFD3389,Individual,0
ACCDF90101B4B,CUST100035982,,Individual,0
ACC3539966B86,CUST100067371,,Individual,0
ACC7535A69277,CUST100076232,,Family Plan,0
ACCFF6D50389F,CUST100000029,ACC18096365ED,Family Plan,1
ACC10D4D00AE1,CUST100091617,,Family Plan,0
ACC18D9B97443,CUST100043342,,Business Sub-Account,2
ACC406D289CB1,CUST100022508,,Family Plan,0
ACCC8F0234079,CUST100034711,,Business Master,1
ACCD23EFB84EE,CUST100056966,,Individual,0
ACC810636EEC7,CUST100098306,,Business Sub-Account,1
ACCC9B9A6E789,CUST100029996,,Individual,0
ACC41149F80C1,CUST100005764,,Individual,0
ACCE5B9521E81,CUST100002348,,Individual,0
ACCDFAB1F2CB8,CUST100019947,,Individual,0
ACCED34ED1815,CUST100042151,,Family Plan,0
ACC4F6AACF8A7,CUST100008174,ACCC3DC3B8F6B,Business Master,1
ACC56C41FA5CF,CUST100089837,,Individual,0
ACC260AB16879,CUST100099277,,Family Plan,0
ACC7C39AC6DA4,CUST100015311,,Individual,0
ACCBA14CB38B6,CUST100090216,,Individual,0
ACCF343ADCDA8,CUST100066813,,Business Master,0
ACC8D410B0F86,CUST100064566,,Individual,0
ACC86D3B6C7C3,CUST100045676,,Family Plan,0
ACC01B281C5CB,CUST100040668,ACC4391FC9336,Family Plan,0
ACC06DD5E1787,CUST100076058,ACC7D46FB95A6,Individual,0
ACCAE9950C0F3,CUST100036107,,Individual,0
ACC82FDC29D1A,CUST100016679,,Family Plan,1
ACCB90FBF98DE,CUST100064209,,Individual,0
ACC4C11CF1963,CUST100079381,ACC8DE79D7450,Family Plan,0
ACC21580B96DC,CUST100008496,,Individual,1
ACC47CC96E985,CUST100019531,,Individual,0
ACC64FC127D5C,CUST100038211,,Individual,1
ACCFE76D06A41,CUST100021305,,Business Sub-Account,1
ACCFD07B76A26,CUST100068993,,Individual,0
ACC92B5369A76,CUST100030142,,Business Sub-Account,1
ACCC6FE97564E,CUST100096482,,Individual,0
ACC99ED6257F2,CUST100024134,,Individual,0
ACC2B9F61CA0E,CUST100008333,,Family Plan,0
ACC4434E4A3D7,CUST100005557,,Individual,0
ACC76706D8B29,CUST100094302,,Individual,2
ACC778290DC4B,CUST100057735,ACC8C3FE101B3,Individual,0
ACC44F10B7E1C,CUST100081535,,Individual,1
ACC392E9F8A55,CUST100074964,,Individual,0
ACC2E03D78654,CUST100028006,,Family Plan,2
ACC56D3AD5961,CUST100065968,,Individual,0
ACCC9DBD79EB4,CUST100047432,,Family Plan,0
ACCEFEC79E8B3,CUST100023398,,Business Master,0
ACC73CEB4159A,CUST100040666,ACCFB9F8A38D7,Individual,1
ACC9825C370E8,CUST100028622,,Business Sub-Account,0
ACCA537D7C9DB,CUST100030980,,Family Plan,0
ACC5DF10AAF13,CUST100030641,,Individual,0
ACCE02DD15849,CUST100066305,,Individual,0
ACCAF127989E5,CUST100004964,,Individual,0
ACC9D3827FE5E,CUST100077117,,Family Plan,1
ACC08778A6838,CUST100082342,,Individual,1
ACCB472EA4417,CUST100008016,,Individual,0
ACCA75A77E918,CUST100030879,,Individual,0
ACC43E182DBCB,CUST100069343,,Individual,0
ACC7067C7B4EA,CUST100085137,,Individual,0
ACC123BE85F23,CUST100096233,ACCECEC55A138,Family Plan,2
ACC835FE2FE51,CUST100085901,ACC53B730606B,Individual,0
ACC66E3E3EA0F,CUST100050584,,Business Master,0
ACC08714ED8E8,CUST100099388,,Individual,0
ACC128955A087,CUST100004384,,Family Plan,0
ACC3D986816EA,CUST100038976,ACC4C9A7620AD,Business Master,0
ACC62AD384D60,CUST100098699,,Business Master,0
ACC102BDF0D56,CUST100060775,,Individual,0
ACC01E8693739,CUST100054177,ACC3C26309FC9,Individual,0
ACC862367EA06,CUST100034549,,Business Sub-Account,0
ACC750283D844,CUST100071224,,Family Plan,0
ACCE3C9F698E0,CUST100006223,ACC9D255E3FAF,Business Master,0
ACCD7CAF8A5F2,CUST100037154,,Individual,0
ACC9F43212979,CUST100070772,,Individual,0
ACC0FF8B29F4D,CUST100005238,,Individual,0
ACC62E1924D68,CUST100041999,,Individual,1
ACC45555188D9,CUST100076689,,Individual,0
ACC9702E57D43,CUST100007450,,Family Plan,1
ACC1DA1051C6E,CUST100046408,,Individual,0
ACC9C86EA17C2,CUST100059306,,Individual,1
ACCDBDC09CCAB,CUST100022163,,Individual,0
ACC7316395360,CUST100045135,,Individual,0
ACCE54F3770F5,CUST100052735,,Individual,1
ACC1D9439E9FD,CUST100042058,,Individual,1
ACC77C800AE56,CUST100003893,,Business Sub-Account,0
ACCDECAED9585,CUST100013688,,Business Master,0
ACC7A24F9029A,CUST100083611,,Family Plan,0
ACCDF2A61944C,CUST100052232,,Family Plan,0
ACC7EC1AA028B,CUST100098761,,Individual,0
ACC6148DD506D,CUST100014990,,Individual,0
ACCE2AF96C87A,CUST100007366,,Family Plan,0
ACC3D9515AFD4,CUST100038568,,Family Plan,1
ACCE99A70051C,CUST100090749,,Individual,0
ACC912462CE65,CUST100088678,,Family Plan,1
ACCBCC1568E56,CUST100056098,ACC817B941873,Individual,0
ACCAFB1EF5535,CUST100073328,,Business Master,0
ACC7DC548075D,CUST100047340,,Individual,0
ACC563F45C345,CUST100068164,,Business Master,1
ACC9B76C6F8CE,CUST100007432,ACCD08F90A41E,Individual,1
ACCCB007CFE58,CUST100053591,,Individual,0
ACC50A879534C,CUST100070510,,Business Sub-Account,0
ACC60AD9C012C,CUST100062196,,Individual,0
ACCF94A15DDE3,CUST100077163,,Individual,0
ACC549765BAA8,CUST100030083,ACC65C060D7E5,Family Plan,1
ACCB8EF3ACB6F,CUST100099288,,Individual,0
ACC7FA1F01275,CUST100097977,ACCBB13E68DA1,Individual,0
ACCD8A4E4E469,CUST100018348,,Individual,0
ACC4DD2F66AFD,CUST100057392,,Family Plan,0
ACCB50594D232,CUST100045943,,Business Sub-Account,1
ACC71FB5DBA31,CUST100058922,ACCBA0FE686BF,Individual,1
ACC36C1053431,CUST100092476,,Individual,2
ACC8539437BDF,CUST100063853,,Family Plan,0
ACC224CE3F09F,CUST100034817,,Individual,0
ACCCDDAEBBC7A,CUST100074150,,Individual,0
