ar_id,customer_id,invoice_id,outstanding_balance,days_past_due,aging_bucket
ARE827B75A6E,CUST100034930,INVCCD80C3129,216.8,0,Current
AR635E78C70F,CUST100028555,INV73F8A47916,14.74,0,Current
AR77E06CD2D3,CUST100027894,INV4722374E45,103.56,0,Current
AR89F3BAA505,CUST100005913,INVED38921854,6.0,0,Current
AR77EE987E66,CUST100066605,INVE96E7EB2A5,74.24,30,1-30 Days
AR86C59120B1,CUST100007744,INV9D129396B1,61.52,120,90+ Days
ARB1ADDCCC2E,CUST100046055,INV659A7B5369,19.98,0,Current
AR0C1628840F,CUST100081723,INVA92CB3782B,101.54,15,1-30 Days
AR14CC0C3308,CUST100042780,INV8CBF90D297,38.37,120,90+ Days
AR5EC0A807E4,CUST100065629,INV7653657ACD,154.57,0,Current
ARE1D922F830,CUST100007572,INVB8BFEA1308,68.6,0,Current
AR69CCF669D5,CUST100086535,INVF5F46DB333,35.66,60,31-60 Days
ARC2F33A0A00,CUST100065553,INV7537C05CEC,8.03,0,Current
ARF61B817115,CUST100028972,INV080546760C,65.78,60,31-60 Days
AR6C9DEB4399,CUST100016277,INV0D643BB044,207.21,15,1-30 Days
AR7E52333E5B,CUST100023064,INVE00E31EC7B,195.85,15,1-30 Days
ARA729ACA1B2,CUST100057977,INV69121550DC,41.97,60,31-60 Days
AR5666E8A85A,CUST100003439,INV4C518A3372,223.33,60,31-60 Days
AR76E1827A7F,CUST100050216,INV80C3A1A8FD,208.2,0,Current
AR860BF90160,CUST100049389,INV2039AAD816,102.34,0,Current
AR0551577D2A,CUST100019960,INV6315FD2410,289.95,15,1-30 Days
ARD64BF86734,CUST100038455,INVB529354C8C,323.78,0,Current
AR80CB8CB921,CUST100094250,INV5758D364E5,77.23,0,Current
ARDADB86E297,CUST100030696,INVA567A68CA3,144.73,0,Current
AR3DB3D1C9D7,CUST100095930,INV9F6BDB33C7,230.46,0,Current
AR102B2345DE,CUST100046507,INV0719C71911,148.43,0,Current
AR620BC90984,CUST100078034,INVCB827A75A8,67.96,90,61-90 Days
AR8189C9C3FD,CUST100065829,INVF9C378541B,177.83,30,1-30 Days
AR6D25C8C058,CUST100075026,INV8CDAAC40B6,222.2,15,1-30 Days
AR469442CEAC,CUST100001629,INVB47C8903DB,171.79,15,1-30 Days
ARCE2CA61B31,CUST100087347,INVB2B203975E,144.43,0,Current
AR4BCBE5C858,CUST100092848,INV4EEF435C71,86.92,15,1-30 Days
AR857168286F,CUST100015722,INV15731ED537,36.95,0,Current
ARCDE2F28C8A,CUST100007222,INV0DB75906E5,25.59,30,1-30 Days
AR20CECF9B7C,CUST100068529,INVEC24A682A0,197.92,30,1-30 Days
AR7910C520CF,CUST100038468,INV1A5519DE97,42.33,0,Current
AR5BF4747FB0,CUST100060722,INV26188FA2AA,103.92,0,Current
ARA88E827038,CUST100011334,INV991E0333D3,44.07,60,31-60 Days
AR13E076CF59,CUST100083879,INV66AB4DB0C9,79.43,30,1-30 Days
AR717A163A23,CUST100043594,INV954E7B89B3,128.86,15,1-30 Days
AR1799380486,CUST100073431,INV21AF016075,144.4,15,1-30 Days
AR7F3AC0F693,CUST100028799,INVE3B679609E,168.25,60,31-60 Days
AR30ACB02481,CUST100076444,INV2925A3B149,208.68,30,1-30 Days
ARCE7C275AF0,CUST100080756,INV4957DA1F4F,95.95,60,31-60 Days
AR3D55C954E0,CUST100012489,INVBEDC51363E,103.26,30,1-30 Days
AR141E08F7A2,CUST100038322,INV9CBD13E704,28.0,60,31-60 Days
ARD5D13DEE67,CUST100024598,INV3EEBFFB4C5,121.61,30,1-30 Days
AR719B33A443,CUST100039110,INVE40C12B55E,195.55,0,Current
ARFFDD6486DB,CUST100052000,INV38E471A9EB,11.96,0,Current
AR9FB941780B,CUST100041599,INV1A43F4989C,11.45,0,Current
AR6AA08A6ECA,CUST100005673,INVD038E38FA6,98.95,0,Current
AR268EBCC7B4,CUST100069611,INV67890A6705,125.5,15,1-30 Days
ARBD78BBA263,CUST100085227,INV233E45649F,3.68,0,Current
AR7D8205D00C,CUST100021162,INV6D4E7F8AB7,200.84,0,Current
ARFBFD213FC3,CUST100033721,INVBE9B7E0C00,46.27,0,Current
AR65896675BB,CUST100056035,INV7B7D2160EA,76.58,60,31-60 Days
AR27EBDD7860,CUST100034943,INVD05F9D4592,124.04,15,1-30 Days
AR3DA8028608,CUST100016141,INV372702C8E9,33.5,0,Current
AR1C77B4D149,CUST100069231,INV021925C851,9.62,0,Current
ARBD038FE0F5,CUST100040916,INV147A3F9737,8.38,0,Current
ARAB8F792938,CUST100063545,INVA98689C780,217.82,0,Current
AR3F74B0695C,CUST100095709,INV77A4DA4B9F,21.04,90,61-90 Days
AR8167189453,CUST100095698,INVAB3698FDB9,128.98,0,Current
AR5E7DFF04B9,CUST100048884,INV0ED3ECC429,112.09,0,Current
AREF9C2E8AE1,CUST100010458,INVA481EE635A,357.56,0,Current
AR209C05162C,CUST100046800,INV82D1DDE26E,193.93,0,Current
ARFF65BAE787,CUST100017370,INVBE08C96F38,164.02,30,1-30 Days
AR4B16BB0EAE,CUST100091610,INV8F98A4EB6B,86.12,15,1-30 Days
AR2D07CD8104,CUST100004624,INV5E3EA1BDBF,129.95,30,1-30 Days
AR010F1A6988,CUST100083166,INVD42D388284,6.03,0,Current
AR3DBCD4F782,CUST100095035,INVE4E9CE1A01,213.86,0,Current
ARCBF58B6CBD,CUST100006660,INVCCBC67E204,102.44,0,Current
AR6077B366C2,CUST100011113,INV0BE67CAD61,105.97,0,Current
AR9B2F030BD8,CUST100057053,INV02AC0AE0C0,244.4,15,1-30 Days
ARF762903B73,CUST100024451,INV0FC5F18757,14.85,60,31-60 Days
AR7DE9CE7549,CUST100066528,INV4C2179210E,80.34,0,Current
ARB32BC568C2,CUST100036768,INVBAFCC56E35,233.0,0,Current
AR0524EECD0B,CUST100001538,INV12465F0789,122.68,0,Current
AR734AD7F60C,CUST100096211,INV5A0AFB2740,54.54,0,Current
AR82125418D6,CUST100035260,INVE756ED4321,13.63,0,Current
AR7CD2A54577,CUST100050459,INV438198AB07,71.59,15,1-30 Days
ARDB884DA714,CUST100024919,INV6FDC9BE204,11.84,15,1-30 Days
AR41E0865329,CUST100008616,INVD0446F2D8A,147.47,0,Current
ARB8DF7FEC63,CUST100032728,INVED688D5BFA,28.31,0,Current
ARF84A674CF2,CUST100014205,INV7A760E1DDC,127.71,0,Current
AREB57173450,CUST100043854,INVDAD3AACBA4,99.52,0,Current
AR9A3EB6E1C7,CUST100032817,INVA646F27ECF,16.92,30,1-30 Days
AR4CE04849B8,CUST100000532,INV687597A025,15.84,60,31-60 Days
AR7ACF58FBE9,CUST100019617,INVFFE1FF46CD,72.73,0,Current
AR71FF0AFE8E,CUST100063995,INV5E54C6CE3B,52.76,0,Current
AR5EE124876D,CUST100035748,INV68BFC08C50,14.43,0,Current
AR51BE1F3EE3,CUST100011340,INVDC1719AF1D,98.25,0,Current
AR1D1973029D,CUST100028904,INV1917B420EC,177.32,0,Current
ARDA0E322C7F,CUST100034243,INV83898CF204,21.06,30,1-30 Days
AR2283BCE5E7,CUST100097907,INV28C0743AF9,183.98,15,1-30 Days
AR5651CBA75B,CUST100019050,INVB5D0D99D08,135.76,30,1-30 Days
AR8F9CEA8819,CUST100099951,INV8549EE4BE5,10.25,15,1-30 Days
ARE0A1D25516,CUST100033918,INV869FF98968,266.1,0,Current
AR5123C9491A,CUST100084107,INV215DBECB59,56.06,0,Current
ARDCF73C43BF,CUST100067909,INVBEB87FEC88,16.84,15,1-30 Days
AR19B411AC5C,CUST100079131,INVAB8922A0EE,225.79,0,Current
ARBB62044DA8,CUST100018634,INV4C47917B82,41.28,0,Current
ARCFA6CCD274,CUST100071060,INV83A3A090E2,93.97,120,90+ Days
ARC3A5E3A8AD,CUST100043772,INVEA9D277D2D,184.13,0,Current
AR329297B975,CUST100057271,INVD8DDC24D93,220.94,60,31-60 Days
ARBCD13718CF,CUST100013563,INV1173321A91,117.51,15,1-30 Days
ARFAA75C0D66,CUST100031663,INV35CAC2881D,298.46,0,Current
AR699286AF2A,CUST100091674,INV4FF163BB06,62.51,0,Current
AR6D995729ED,CUST100062033,INV2C5D231521,33.78,15,1-30 Days
AR7F779B21AD,CUST100030260,INV17946E7B17,37.89,15,1-30 Days
AR44E3AF37BA,CUST100050846,INV27832D35B4,149.2,15,1-30 Days
ARF62A76A576,CUST100065096,INV732E9F7920,334.8,15,1-30 Days
AR5607D446A0,CUST100054174,INVC22EF8CEF6,38.63,0,Current
AR0FC0458FFC,CUST100061989,INVE83D489FE9,239.21,0,Current
AR6C6148B9F2,CUST100003345,INV5BEA2EB642,69.45,0,Current
ARCAD866654B,CUST100094804,INV0EDD634E70,157.44,60,31-60 Days
AR52517253B5,CUST100024840,INVA74832FD31,95.59,0,Current
AR02E54261F4,CUST100087255,INV3D5DC10A26,95.52,15,1-30 Days
AR63B5737A76,CUST100077594,INVE34EC7A7BA,15.29,0,Current
AR2BBBAC7F64,CUST100040223,INVC55295E32A,13.03,0,Current
ARF94E7C739D,CUST100008063,INV3FCEE41A90,54.03,0,Current
AR85049229A5,CUST100061996,INV1368701B0F,308.15,0,Current
ARB7401A4900,CUST100085481,INV7BCC495EBF,79.46,0,Current
AR352D9B7B09,CUST100071878,INVD651932B2E,253.31,0,Current
AR7DEAE6748B,CUST100015070,INV74C7D86A0F,75.47,0,Current
AR8E6A1D571F,CUST100079980,INV945224907E,56.7,30,1-30 Days
AR9F28799163,CUST100099398,INV033D3A136B,7.54,30,1-30 Days
AR1F5008479E,CUST100084813,INV918DDA747C,315.34,15,1-30 Days
AR7FC2C5DA02,CUST100010554,INVD46A3E646F,75.67,0,Current
ARD572607A26,CUST100084947,INV957A577DA8,198.21,0,Current
ARE738A62CFE,CUST100085914,INV00242761DE,72.78,15,1-30 Days
AR3A45699B25,CUST100083174,INVE5E5A47E4E,136.11,15,1-30 Days
AR64E6DA01D9,CUST100040199,INV24B48703DA,95.02,0,Current
AR35C1AC7088,CUST100034474,INV26A20E0706,10.76,30,1-30 Days
AR0523B96EA0,CUST100002875,INVE49CF99D4F,37.49,0,Current
AR318E60D3A8,CUST100082884,INVC75BAF0302,70.84,15,1-30 Days
AR26B16384CE,CUST100056945,INV17EED1FFD9,20.26,120,90+ Days
AR7433AC455A,CUST100083494,INVEFB7DDDE02,216.12,0,Current
ARC75A384F68,CUST100003789,INV7468B09391,166.64,15,1-30 Days
AR3CF17C57D6,CUST100035243,INV6998988FFA,96.49,0,Current
ARF195FFB110,CUST100054311,INV29B36F32E7,106.79,0,Current
AR00E31189C6,CUST100079948,INV08EBB8F537,73.34,15,1-30 Days
AR609A9630BE,CUST100074312,INVB85F399193,68.04,0,Current
AR8407758D12,CUST100065059,INVE60CB919E7,44.16,0,Current
ARA63054CF4F,CUST100028810,INVD420476849,135.01,0,Current
AR2024FB6A19,CUST100007745,INV96913FFF8B,144.96,0,Current
AR9D5E7C8701,CUST100056297,INV8E399D9086,203.22,0,Current
ARD23B657E67,CUST100029820,INV35E2AA55D5,99.66,0,Current
ARBC2E1F97A8,CUST100037549,INV9E97273FF5,216.17,0,Current
ARF94FCD6603,CUST100064835,INVC60B3DF5E3,139.36,0,Current
ARB588058F27,CUST100086746,INV7858C65F18,203.24,15,1-30 Days
AR76841644F2,CUST100047564,INVA6B0711BC8,242.72,15,1-30 Days
AR7A39225032,CUST100023428,INV616639309C,181.78,30,1-30 Days
AR47195E7387,CUST100009981,INVFA8C88200E,279.19,0,Current
AR4CD78AE06F,CUST100013888,INV404E224A01,41.65,0,Current
ARD4B30C76D9,CUST100062560,INVC04873CFF6,19.26,0,Current
ARC3E509020E,CUST100046167,INVF4DDBC6DE7,87.82,15,1-30 Days
AR0063094A71,CUST100025489,INV4FFC706A43,106.44,0,Current
AR7733D2194A,CUST100048906,INV30F13614D2,57.62,15,1-30 Days
ARB487A26EDA,CUST100062540,INV2C941ACC8E,42.4,0,Current
ARCDC7C63E10,CUST100059300,INV0A4D349F9F,12.53,15,1-30 Days
ARA1EB59BE46,CUST100047501,INV25F423B942,60.54,30,1-30 Days
AR74EE119659,CUST100024210,INV29497C0A52,20.97,60,31-60 Days
AR77B943AB75,CUST100000019,INV7D26FE7829,30.56,15,1-30 Days
AR559C3E4F11,CUST100061335,INV3051D6C8C0,127.89,0,Current
ARF69F3F5FA4,CUST100081894,INV4DAB617441,106.42,0,Current
AR96C617A7E5,CUST100002736,INVBAFA836A5D,60.09,0,Current
AR20F3D4141A,CUST100035286,INV6509970D75,53.56,60,31-60 Days
AR389BB7941B,CUST100087544,INV43AF502505,29.24,30,1-30 Days
AR15AED75F7D,CUST100004518,INV1252E9183A,5.51,0,Current
AR86CD25C668,CUST100036163,INVA8E91518D5,107.61,60,31-60 Days
AR763689B4D3,CUST100024263,INVF97D84CD8E,21.49,15,1-30 Days
AR86644DF34C,CUST100046046,INVB7E69FDC5E,69.06,60,31-60 Days
ARAF21ACD1D2,CUST100083861,INV45B7627DCB,1.31,30,1-30 Days
AR1824773239,CUST100079717,INV3007DCAE3C,60.25,0,Current
AR7530030F57,CUST100094059,INVAB7D8F0E84,111.5,15,1-30 Days
ARDE1FC4C0EB,CUST100016411,INV00767CFF02,35.2,15,1-30 Days
ARA8B60C6823,CUST100066490,INV665EF54F07,5.83,15,1-30 Days
ARF64C2D1684,CUST100090081,INV4006E58CD2,271.5,0,Current
AR5D1BCCE239,CUST100070182,INV461928337D,7.73,0,Current
ARF1BA3EFF2B,CUST100019605,INVCB249F6968,224.73,0,Current
AR41C221AD68,CUST100007606,INV4202F32375,100.43,60,31-60 Days
AR874858CA40,CUST100029868,INV75C80DE27A,80.17,15,1-30 Days
AR59067403EC,CUST100013733,INVBE1D3BAF08,21.4,15,1-30 Days
AR3E86C7AD3B,CUST100012149,INV4EC853F8CC,40.18,15,1-30 Days
ARA3CE9B45B3,CUST100034625,INV8AB32104DE,23.95,0,Current
AR4C4BE73D36,CUST100061354,INV64B45A0033,192.2,0,Current
AR8B50A33F4E,CUST100081364,INVA67C857C99,79.19,90,61-90 Days
AR916B8F11F4,CUST100061320,INVD3F27A80EE,87.18,15,1-30 Days
ARD742DC7639,CUST100035909,INVC63DE08065,213.64,30,1-30 Days
AR42FE6E1949,CUST100095351,INVA90228DF70,33.38,0,Current
ARC73BDE6902,CUST100047543,INVF856A2A3A3,112.93,60,31-60 Days
AR1348155250,CUST100012458,INV259C8EDCC6,75.9,30,1-30 Days
ARE1C2357C8A,CUST100052172,INV274E9F646F,0.85,15,1-30 Days
ARD172CCEE97,CUST100027427,INV8993A60FE6,109.66,0,Current
ARD27703E7F7,CUST100039852,INV29A00D3AF1,25.49,0,Current
ARC5D96779A6,CUST100008120,INV49EE6B3277,49.38,90,61-90 Days
AR619E31800E,CUST100038603,INV134DA55EEF,234.91,15,1-30 Days
AR2CE414BE51,CUST100027582,INV8FF7D7A6C1,260.45,90,61-90 Days
AR4077F82587,CUST100035957,INV31C20FF466,17.41,0,Current
ARE451979CA0,CUST100042802,INVA48682EDF0,105.91,0,Current
AR7B01AA022C,CUST100069008,INVE1742967E3,66.86,0,Current
AR7DE660A10D,CUST100070348,INVC00436E174,91.81,0,Current
ARA26A2957E2,CUST100070020,INV2A9F0D0FB8,359.78,0,Current
AR9C48E9B0F7,CUST100016389,INV72F4C6C5F9,121.43,0,Current
AR07434BBEA9,CUST100046117,INVE8E3C76041,11.51,0,Current
AR06C01E8A4E,CUST100041989,INV3B98EFA03C,126.91,0,Current
AR0582641F0C,CUST100043418,INVA2EE98403E,21.5,60,31-60 Days
ARA3A66DF5C1,CUST100064789,INVA9EA77D655,19.6,0,Current
AR5959AC2BCB,CUST100053909,INV2B81FA0445,408.5,30,1-30 Days
ARA6A55E6721,CUST100023355,INV2AADFB43DA,81.84,30,1-30 Days
AR5D597369C6,CUST100097285,INV26C6C2DFCB,0.38,15,1-30 Days
AR99062F6843,CUST100008461,INV4F7F64750B,25.66,0,Current
ARE1FBFDC0B6,CUST100074487,INV3680176C5C,225.62,0,Current
ARC6EB3AD0E5,CUST100009056,INV14F2FC047D,221.22,0,Current
AR2AECCF795B,CUST100021743,INV0EFC73324C,296.85,15,1-30 Days
ARDFFAB3D29F,CUST100098194,INV5C160F2C75,55.97,90,61-90 Days
ARA272FD8F23,CUST100041720,INV3FF83F1AE3,1.27,90,61-90 Days
ARC59763DFC7,CUST100004658,INVB84C2606B1,232.96,0,Current
ARF6FE12FDB2,CUST100007084,INVA17DDFD147,49.99,15,1-30 Days
ARCD0C209901,CUST100096393,INVC47E4FDC54,294.31,0,Current
AR57B9F52B96,CUST100099885,INV52DC073B3C,244.89,0,Current
AR35C8C30CB2,CUST100069220,INV626BB25B5A,26.78,30,1-30 Days
AR2F10567691,CUST100030659,INVADD91B9DFB,48.23,30,1-30 Days
AR3D80CBF012,CUST100088221,INV2A287E2EE3,48.62,30,1-30 Days
AR38017244DB,CUST100071040,INV837D9A3B28,176.45,0,Current
AR9A5AD14961,CUST100084683,INV1C51EE1641,219.83,0,Current
AR63560795EC,CUST100061257,INVC2AD103E01,83.68,60,31-60 Days
AR94A00ADDB1,CUST100058420,INV8C70F3BC53,36.68,0,Current
ARD1911F9AD0,CUST100037613,INVBC50F55B8E,148.83,15,1-30 Days
AR362EB12AA7,CUST100045255,INV06F4284681,136.4,0,Current
ARCFA3EAAF6E,CUST100099838,INV061928AAD8,75.12,15,1-30 Days
ARE0E933056A,CUST100042758,INV76CE8BB973,55.6,0,Current
AR2A62519DAC,CUST100014103,INVE9C57C0C3A,60.7,0,Current
ARE940D478EA,CUST100045544,INV2EAD278294,15.58,0,Current
ARD350606F06,CUST100093863,INVCCE12D025B,165.04,0,Current
AR7C68AEBA2A,CUST100066411,INV9B3C976E6F,13.38,0,Current
AR6E89EEB00A,CUST100005724,INV12A65A396C,71.54,0,Current
ARD9706AD38C,CUST100011974,INV2F8890E5F3,14.67,0,Current
AR3634E81926,CUST100008611,INV60B79196FF,21.18,15,1-30 Days
AR0A7D949AC4,CUST100039610,INVDA3D82B17E,145.13,30,1-30 Days
ARC528EA13D1,CUST100088597,INVFFF0152028,152.77,0,Current
AR6F2BE195B3,CUST100026048,INVCF4E11B7E5,278.92,0,Current
ARBBE6025833,CUST100082948,INV31B48FD28E,169.58,60,31-60 Days
AR633355DDAE,CUST100054008,INVB43767C4E8,149.2,30,1-30 Days
AREF075A3798,CUST100009166,INV110022BC67,5.2,90,61-90 Days
AR3C56D4ACA2,CUST100062726,INVEED2E9E0C1,179.32,90,61-90 Days
AR4AB70EB1B6,CUST100053029,INVA733C9A880,138.62,0,Current
AR8819A0C936,CUST100036026,INV6F4A0DA3C9,258.43,15,1-30 Days
AR4A31039A93,CUST100022595,INV96AD9A4258,141.37,90,61-90 Days
AR1493A61A23,CUST100060321,INV59BF9E8D89,145.9,0,Current
AR05E5267758,CUST100020859,INVB8CAE49C94,117.15,0,Current
AR6A68475482,CUST100033452,INV4BE1D661A3,177.6,90,61-90 Days
ARE5C07F719C,CUST100028072,INV8BE4E04E08,204.94,15,1-30 Days
AR744CBFFD84,CUST100096863,INV5C77EFDB81,268.86,0,Current
AR7D853FF43F,CUST100049134,INV249F977019,220.94,0,Current
AR056B69A7F4,CUST100043021,INV836B410825,244.28,0,Current
AR95F5951D41,CUST100042753,INV8276BFDA90,154.32,0,Current
AR77A9EEF83C,CUST100004920,INVA6C96FE2F2,311.73,0,Current
AR03D46A5C2C,CUST100013096,INVBD6BF3A374,184.38,0,Current
AR607C0DF6CD,CUST100018829,INVF04D12DC73,288.07,0,Current
AR12A4BDBAC0,CUST100084717,INV6A85AE87D1,26.63,15,1-30 Days
AR0C4F303C12,CUST100027321,INV383978849B,227.83,60,31-60 Days
AR5F59662DEC,CUST100028561,INVDCE21183C3,22.67,0,Current
ARAE7DDC7192,CUST100050369,INVB7139E6281,117.54,0,Current
AR62AF256910,CUST100057580,INV39F70FD31C,20.13,0,Current
ARE7B81F93AC,CUST100036700,INV102C1E5FF6,84.74,0,Current
AREB9EAC98E4,CUST100047645,INV9670938317,109.5,120,90+ Days
AR0C5A6C3648,CUST100006782,INV28B085810D,140.35,30,1-30 Days
ARAA294FEC2C,CUST100007262,INV5D41C58FBD,203.38,15,1-30 Days
ARAB22E46C12,CUST100009636,INV14F5F77FA9,26.1,60,31-60 Days
ARD0F541EAEE,CUST100043650,INV75AC909304,9.44,0,Current
AR368C4C565B,CUST100008549,INV886427E9A2,129.6,0,Current
ARACCBA2BD9C,CUST100048647,INVA9E18F040C,134.75,15,1-30 Days
ARD0F8A27925,CUST100009189,INVCD4C066E2C,160.65,0,Current
AR7ECFE58B4F,CUST100064241,INV4EF3D0824B,206.18,0,Current
ARB26E3AEEF3,CUST100011705,INVEB7B3B76A1,251.9,0,Current
ARBDCF57FC50,CUST100010328,INV2DB9E45130,26.82,15,1-30 Days
AR7B4AE1B694,CUST100053430,INVFBE9BA5671,171.65,0,Current
AR1F8D7C15F9,CUST100064889,INV52C257AA36,307.38,15,1-30 Days
ARD62DDA2048,CUST100025838,INVFBEE6D4304,45.74,30,1-30 Days
AR696E5B4DA5,CUST100089052,INV6802AD86E6,87.99,15,1-30 Days
AR47638950FC,CUST100049353,INVCF970A9CA1,155.88,15,1-30 Days
AR274EE02416,CUST100068471,INV4D61285522,53.46,120,90+ Days
ARB04E8383D4,CUST100052557,INV638F89662B,107.32,0,Current
AREE5959F6A3,CUST100006486,INV0B14833723,143.57,0,Current
ARB8C8370838,CUST100082222,INVDCE144C771,32.46,15,1-30 Days
ARBCC51D41F4,CUST100034553,INVD7D3EDEA32,313.2,0,Current
AR2D8874FD9D,CUST100014946,INV2D554F1192,228.49,15,1-30 Days
AR5DDFAD5A76,CUST100079054,INV7F9703913C,218.66,0,Current
AREF475524CD,CUST100021666,INV42F44F1E64,36.85,30,1-30 Days
AR88C492BC9D,CUST100085970,INV93BB0BBB64,212.12,90,61-90 Days
ARAF87D8E339,CUST100049473,INVFED54CA642,70.69,0,Current
AR6FFC420CF3,CUST100021835,INV197C317E18,64.21,15,1-30 Days
AR1661967CE2,CUST100053067,INV738CFAB4AB,223.58,0,Current
ARA9642FDDBC,CUST100035333,INV1BD9C58A30,48.15,0,Current
AR3F430A2B82,CUST100044582,INV0333170864,234.59,15,1-30 Days
AR6677EA3D4C,CUST100032666,INV19CFFF5BA3,56.29,0,Current
AR0E015AA26F,CUST100032746,INV14C224C5A8,17.76,90,61-90 Days
ARBBE924EFE8,CUST100088433,INVC9A7968A5E,337.39,0,Current
AR44B78E36E2,CUST100004421,INVE3F545CB5A,91.89,30,1-30 Days
ARBEF9703038,CUST100081268,INV5BCB15AB0B,57.86,15,1-30 Days
ARB3B45FD1FA,CUST100095238,INV7BA5193029,198.53,15,1-30 Days
ARB9E3C3C593,CUST100083467,INVD96063394A,9.37,0,Current
AR36AED30631,CUST100033797,INVCA4DEB1A73,170.84,0,Current
AR85C1F1D1FD,CUST100050268,INV20B25236AC,357.1,0,Current
AR18B6FB4695,CUST100078415,INVC92056023E,316.18,30,1-30 Days
AR4ED954F46B,CUST100042994,INV87F7F8672C,139.72,30,1-30 Days
AR257DF0A51B,CUST100056296,INV446020FC55,196.04,15,1-30 Days
AR19229E569B,CUST100035669,INV00E2E1D5A1,154.62,0,Current
AR8541F05520,CUST100051696,INV8879D053C0,45.69,0,Current
ARAD309206C1,CUST100006067,INVEB47C756FC,54.06,30,1-30 Days
AR48557A61B9,CUST100035976,INVCED9122F9B,106.72,30,1-30 Days
ARA0CB16F284,CUST100028453,INV7C4CB220F3,129.88,120,90+ Days
ARCA4C3FE503,CUST100033725,INV9CF7280ECF,50.75,15,1-30 Days
