asset_id,customer_id,asset_type,manufacturer,serial_number,install_date,status
AST20D80148C7,CUST100045450,Handset,Google,895E00B31C3F4705,2026-02-27,Active
ASTACB327921A,CUST100041326,Handset,Huawei,C65ED7561FEF4170,2023-10-02,Active
ASTFFA116C34B,CUST100010363,Router,Samsung,844BB2BE62044456,2024-03-28,Active
ASTC51D6F62CD,CUST100091244,Modem,Cisco,5E320C49D35C4A99,2019-02-23,Active
ASTE8952B0AED,CUST100052356,Handset,Cisco,1FFC677865584AEA,2024-08-16,Active
ASTFDCE5BF789,CUST100043016,Handset,Nokia,38FF8565592F4B9E,2024-04-06,Active
AST64C303E861,CUST100068846,Modem,Arris,58AC03DF3FEF4929,2019-07-04,Active
AST3A681998B4,CUST100022087,Handset,Apple,3F6D4A3D683C489D,2021-08-11,Active
AST6EE149EA73,CUST100015546,Handset,Huawei,10B082ADD4B84945,2022-02-17,Active
ASTB0391D7712,CUST100029383,Set-Top Box,Huawei,F860302026484512,2025-09-20,Active
AST2319EFDF8E,CUST100098062,Handset,Apple,3EBE6B58A59D412F,2020-06-16,Active
ASTB0DB857B8E,CUST100032407,Handset,Samsung,3D20D4A1A9EE46A6,2018-01-18,Active
AST7773095974,CUST100073083,Handset,Arris,D6A2A95E27B44393,2022-06-30,Active
AST85F847D7A9,CUST100053366,Set-Top Box,Apple,3B8B32B5324C404F,2024-08-23,Active
AST0574ADE788,CUST100063569,Handset,Samsung,39840177487F4CCD,2022-05-09,Active
AST24CD7CC44B,CUST100033984,Smartwatch,Samsung,EEF1C7A0796245F0,2018-09-07,Active
ASTA21BA2C582,CUST100096453,Modem,Google,03C7F6E3F3704A6D,2022-05-18,Active
ASTE1930E8B5B,CUST100082687,Router,Cisco,659720E4DE1B47C4,2024-08-05,Faulty
AST324A4CE136,CUST100070301,Smartwatch,Google,4056157841BB4706,2020-08-30,Active
ASTA7491B89BF,CUST100055459,Handset,Nokia,12645D03CCE94694,2025-12-13,Active
AST48498A6AC1,CUST100006632,Handset,Samsung,E847E13220E44F7C,2017-01-14,Active
AST7447ABF0EA,CUST100057144,Handset,Google,A05553F645A345BE,2017-10-17,Active
AST0E2E160EEE,CUST100092658,Handset,Nokia,71D316E2FB2E487D,2024-09-19,Faulty
AST8CA933A8F5,CUST100038055,Set-Top Box,Arris,E84E6DAF8E474B7F,2020-12-16,Active
ASTD8C0B51AC4,CUST100093512,Smartwatch,Samsung,6AD6758ED52548BD,2021-09-21,Active
ASTC47ABCB481,CUST100046856,Set-Top Box,Nokia,64F983E3667647B2,2024-05-20,Decommissioned
AST536662F34F,CUST100021707,Handset,Huawei,E3E7B162993E4725,2025-09-04,Active
ASTFA4ED26333,CUST100088361,Handset,Nokia,C5EC673A1963429B,2022-05-07,Returned
AST01D5412FF1,CUST100040604,Router,Google,DB7D9FC83E794119,2019-12-26,Active
ASTA39698540C,CUST100090955,Handset,Samsung,DF0087C2BEF54EC9,2025-10-09,Active
AST224AE769DB,CUST100023968,Router,Arris,C24A071ADC1C4329,2020-05-31,Active
AST5360AD99F0,CUST100008078,Handset,Arris,2F24401B63AC4168,2020-10-19,Active
ASTCBD677EAD1,CUST100067994,Handset,Cisco,62E3E38C544B4D73,2025-06-02,Active
ASTD14236A2DD,CUST100007760,Set-Top Box,Cisco,0E668EE80A8E4DE8,2021-05-28,Active
ASTC7D450FC55,CUST100097055,Handset,Google,6DE645900D6140B0,2023-04-27,Active
ASTCF23697C8D,CUST100069419,Handset,Arris,177F40C4D1DB420F,2016-07-14,Active
ASTA71A34A98D,CUST100063517,Handset,Arris,1356E82FE7CA43D7,2022-08-02,Active
ASTB3B75BE391,CUST100025277,Router,Cisco,701F01D8B92C42E0,2019-08-06,Active
ASTCED3B5AD6F,CUST100024642,Set-Top Box,Samsung,3E57948B70BC4597,2024-08-06,Active
AST84D803F9DC,CUST100074099,Home Security Hub,Arris,EBBC229860864BC4,2017-05-13,Active
AST8347DFBFBF,CUST100026936,Set-Top Box,Apple,4922C256BB6E4488,2023-03-01,Active
AST95A7B25C46,CUST100003156,Handset,Nokia,BBDE5FFAB30F4A07,2018-05-23,Returned
AST810691EB2C,CUST100011322,Set-Top Box,Google,AA3E4BBBE6DB44C7,2024-05-03,Active
ASTBDFAEC5493,CUST100053878,Handset,Nokia,8FD055EB2CC84B68,2025-06-04,Active
AST53D8406345,CUST100098682,Home Security Hub,Samsung,41363973929A438C,2016-09-17,Returned
AST6234B2FC5E,CUST100071485,Handset,Nokia,D4ADA77911954942,2025-01-13,Active
AST3F986E44DC,CUST100061409,Smartwatch,Samsung,91357DE6FB1D4FD6,2022-08-31,Active
ASTFB27BEB74E,CUST100007900,Modem,Samsung,B4E6BE64ACDB4E51,2024-03-19,Active
AST5AA6B60A72,CUST100068593,Handset,Huawei,3FC47A14BDC4453F,2017-06-14,Faulty
AST321F876328,CUST100037133,Handset,Apple,A71AD2551C9A4ACF,2018-09-28,Active
AST36F8187039,CUST100074602,Router,Cisco,9AFB1C3A4EE64076,2017-09-04,Faulty
ASTF5B3FF5E70,CUST100087401,Router,Nokia,45F16206545949BB,2023-02-13,Active
ASTD0A7B1CCBC,CUST100088813,Handset,Nokia,4610E958F918426A,2020-04-19,Active
AST9E2DE16A4D,CUST100045202,Set-Top Box,Google,4FAA5F9A9AE34154,2022-07-24,Active
AST8AA6A475C6,CUST100045106,Handset,Samsung,AC515759636644F3,2023-04-16,Faulty
AST2317AA48F6,CUST100026299,Router,Arris,8910C5A125744169,2021-10-07,Active
AST4458035010,CUST100008599,Router,Google,B6966619E836453D,2021-01-05,Active
ASTC11B285D71,CUST100057268,Modem,Samsung,3CDA3DCF0F1F483E,2017-08-15,Active
ASTA0FC0C8436,CUST100073220,Handset,Huawei,7579B39A5BB344EF,2017-05-29,Active
AST9B605942B6,CUST100059776,Handset,Huawei,A23F18B8DA894B85,2025-10-23,Active
ASTCAA6C23A9D,CUST100030185,Router,Arris,758F394B6A354042,2016-12-19,Active
AST7BD5AC3A01,CUST100036724,Modem,Huawei,2EF127C17A5942EE,2017-11-08,Active
AST2A253984F0,CUST100085016,Modem,Samsung,C4C3AF241C5948B6,2024-04-19,Active
ASTEA59637BC5,CUST100097273,Handset,Google,7AD6D90FBC304F9C,2022-07-18,Active
ASTDD1873CD0E,CUST100018381,Handset,Samsung,5829E47063814F65,2017-06-02,Faulty
ASTD8B2CB4667,CUST100086532,Router,Samsung,24E69283B58745F6,2022-04-23,Active
ASTFFE5C8E59A,CUST100097302,Set-Top Box,Google,D58654B71C5F4CAA,2023-07-27,Faulty
ASTCE9A033E4E,CUST100088432,Modem,Apple,16DA8D8024AF4568,2024-04-22,Active
AST6DD793AD50,CUST100095058,Handset,Arris,9B6E04EC167048FE,2024-09-03,Active
AST150153BF8C,CUST100080307,Handset,Huawei,A70DBD51866444D9,2023-04-09,Active
ASTBC5DD9FA80,CUST100001870,Handset,Nokia,1BD91BCC71F84D13,2025-11-18,Faulty
AST479DAFD661,CUST100016171,Router,Nokia,30D768F0514C41FC,2019-11-04,Active
ASTE9996AD06A,CUST100019353,Handset,Google,50303335B85C4B93,2023-11-15,Active
AST15960085D6,CUST100055267,Set-Top Box,Google,BE759F61CC28467E,2017-11-09,Active
ASTD4991C71B1,CUST100048331,Handset,Cisco,48213835E8F84BB1,2024-12-22,Active
ASTAE995BB22E,CUST100048849,Router,Cisco,41F4E8A9A8064C66,2021-11-26,Active
AST192635ECAC,CUST100002110,Set-Top Box,Arris,187C0140AB9F40C7,2025-01-25,Returned
AST111BE0D122,CUST100021704,Modem,Huawei,D91E6DA5ABC54C66,2017-11-09,Active
AST01A55DCC46,CUST100037556,Smartwatch,Apple,CBE9F427C93B474F,2022-10-24,Active
ASTDDD13B460A,CUST100015097,Set-Top Box,Samsung,9C9DD25A5B2E4BF1,2022-01-04,Active
AST2F9686798A,CUST100058387,Handset,Google,9E3C19185AC54E99,2018-05-24,Active
ASTA3CAF7D891,CUST100085005,Router,Samsung,D2ABD01335E04173,2022-02-18,Returned
AST9EAFE29C7A,CUST100027969,Handset,Google,F25E81851EA44F8E,2025-03-13,Active
ASTC8C324F765,CUST100087090,Handset,Samsung,4E2DEB49D7E2427E,2019-09-03,Active
AST59B0155B80,CUST100079819,Smartwatch,Arris,09F25968699940F6,2022-11-16,Active
AST99D5D4038E,CUST100052043,Handset,Huawei,CC612F43C7E44FAF,2024-01-29,Returned
ASTA2F0469A61,CUST100077710,Handset,Samsung,B6870720C17746C5,2022-01-13,Active
ASTB8BD50DF94,CUST100019177,Set-Top Box,Samsung,D1468F9343534C09,2023-04-12,Active
AST85E10E6F63,CUST100043612,Handset,Cisco,F47A077FF1144CD1,2019-12-02,Decommissioned
ASTCFB0EB0A95,CUST100015776,Smartwatch,Apple,0F3194772E554FDA,2019-10-06,Active
ASTDC69571C0C,CUST100099260,Router,Cisco,B2F851CB531D4E4A,2020-08-18,Active
AST0D91D66112,CUST100030393,Set-Top Box,Google,61C8D0807B5C4408,2020-04-02,Active
AST93A3324D2E,CUST100096452,Handset,Apple,DD95025DAB7C4353,2022-08-08,Active
ASTD0C3BF0344,CUST100059742,Handset,Samsung,5729AE015B854056,2020-06-01,Active
ASTBE19D7F733,CUST100038146,Router,Huawei,EBE7D9A9CC034DA1,2018-02-04,Active
AST900FC5ADEB,CUST100031638,Handset,Google,5657B1E7CCE44AB4,2018-10-11,Active
AST675707CCDD,CUST100058466,Set-Top Box,Cisco,2F9B91C204E548F6,2018-02-20,Returned
AST5FE60CB7A4,CUST100003117,Handset,Nokia,9C34A9BCE3664CF0,2022-01-11,Active
AST7DC2E082C5,CUST100002745,Router,Arris,7FFD10D89B8D4ABC,2017-06-20,Active
ASTBDE8C6E847,CUST100078647,Modem,Apple,E30315D5AB254A11,2021-10-30,Active
ASTBB84067FFA,CUST100025641,Handset,Samsung,6C4E6AA79EA447FB,2017-09-13,Returned
ASTF922AED85A,CUST100055839,Router,Cisco,D251573547C74660,2023-04-09,Active
ASTE154C05F41,CUST100032995,Handset,Nokia,F3D2FB62A8E746CF,2024-05-27,Active
ASTF816DF36BF,CUST100041226,Handset,Nokia,7CF73A81A80947BC,2024-03-05,Decommissioned
AST5C6C405A33,CUST100022709,Handset,Nokia,F897BAC0F2364016,2022-01-27,Decommissioned
AST6E4A513752,CUST100018063,Modem,Huawei,05B55CBA9F324BFC,2017-01-21,Active
AST30177453A0,CUST100023564,Set-Top Box,Huawei,8CAE9A7041964086,2023-02-28,Active
AST98E3A468F1,CUST100095053,Router,Apple,EBA1FA3035774AAD,2024-10-25,Decommissioned
AST052E113706,CUST100051449,Modem,Arris,AC506F3DA7F2468B,2023-05-03,Active
AST01282F3DF0,CUST100002535,Modem,Huawei,F9453F20526844E1,2018-07-29,Active
ASTB5802F78EF,CUST100081664,Handset,Apple,0891D6C618794BF8,2024-12-05,Active
AST7E4B482BAD,CUST100024050,Modem,Google,E5B3B48796124249,2025-05-11,Active
ASTB7786CFE97,CUST100082918,Handset,Huawei,0826673E381E4600,2022-09-05,Active
AST25E46836AA,CUST100007819,Handset,Nokia,6659D6F631814AF5,2017-08-26,Faulty
ASTA308AACE53,CUST100058940,Handset,Huawei,72EB97C3E88D402F,2019-07-01,Active
AST229351973F,CUST100069287,Handset,Nokia,126A44A232794195,2024-11-25,Active
ASTEDADEF4C5D,CUST100040786,Router,Nokia,B2BB4259C9BF47EE,2024-06-21,Returned
ASTD19B184788,CUST100098509,Set-Top Box,Cisco,80F713CE660A4CA9,2025-04-13,Active
ASTEA8D6DCC09,CUST100084045,Home Security Hub,Google,6F84C5518B5C4F97,2020-07-04,Active
AST1BC2C29961,CUST100095240,Set-Top Box,Arris,8B4C2FDF278240FF,2017-10-05,Active
AST93B4EFD79D,CUST100010366,Set-Top Box,Arris,61C1F566CCD2427C,2025-04-19,Active
AST966CF9B0C9,CUST100033825,Set-Top Box,Nokia,10F10BD2E4AD4E2D,2022-05-26,Faulty
ASTE1868E1AD2,CUST100032469,Router,Google,5AE9141D1428462D,2021-07-31,Active
AST6349568F63,CUST100020762,Router,Samsung,B90AAF1A501549BD,2016-09-25,Active
AST584266F2CF,CUST100014024,Router,Huawei,DD779259850341F1,2021-07-13,Active
AST32CA393027,CUST100065342,Router,Apple,574945BCF9424848,2022-12-22,Active
ASTA4ED00F1CB,CUST100020699,Handset,Arris,E2AFBF64DE514747,2022-09-16,Active
ASTBBB4A71245,CUST100038465,Handset,Apple,7635273F1FBD4C2F,2018-12-21,Active
AST203B143F6E,CUST100046322,Handset,Nokia,1E9E5B2B845549A4,2021-06-04,Active
AST84E42CB261,CUST100043122,Handset,Cisco,67731828497645BE,2017-12-14,Active
ASTE5FAD0F3FF,CUST100000188,Set-Top Box,Arris,84E79829723C493C,2024-04-13,Active
ASTFCA0276BB3,CUST100077563,Home Security Hub,Nokia,9AC44C41F1DF45F9,2023-04-19,Returned
AST112C21DAE3,CUST100022125,Modem,Google,337D44A721C641EF,2016-10-10,Active
AST9706677A0E,CUST100075786,Handset,Samsung,87B6E54F614A47AE,2019-10-22,Active
AST98A8748B22,CUST100041521,Modem,Arris,D2631318A9334895,2021-08-12,Decommissioned
AST60A41C9815,CUST100071706,Handset,Samsung,22C721DCFE81413C,2023-06-20,Active
ASTFF60485785,CUST100097320,Modem,Huawei,03DE5B35F4494E07,2023-11-28,Active
AST68E02FB3D8,CUST100051523,Handset,Cisco,10DE50128B2B4D77,2017-07-09,Active
AST639EF80581,CUST100040253,Handset,Huawei,68985907D2C841FD,2024-08-14,Returned
AST2540B3B216,CUST100050499,Handset,Arris,B7F03066DF08452D,2023-10-04,Returned
AST6747053A4C,CUST100094802,Handset,Apple,B26B8AEF6D9C4817,2016-07-12,Active
AST54352B045A,CUST100026914,Home Security Hub,Cisco,955CF18E372A4286,2026-02-11,Decommissioned
AST82C08F651E,CUST100093782,Modem,Samsung,67AE55F77E2043D6,2026-06-26,Active
AST2D0D9F8E27,CUST100073699,Handset,Google,0CA5B08E28CD43A0,2016-04-13,Active
ASTB415AB0A96,CUST100027188,Handset,Samsung,8E4C746B0D214F88,2024-10-03,Active
AST02217CE7F6,CUST100012366,Home Security Hub,Huawei,AF1776D02ED94D1E,2023-02-05,Active
AST9E55F904CF,CUST100028502,Modem,Cisco,86B34FB2A3084F06,2024-07-30,Active
AST771874303E,CUST100075359,Handset,Cisco,10662FCA1B3F4B2B,2022-12-31,Active
ASTD0F5D88C01,CUST100040189,Home Security Hub,Samsung,2D650D5261464A88,2022-06-01,Active
AST1B2E6D23A3,CUST100066963,Handset,Google,EBA220A12034487B,2023-08-31,Active
AST46D29FB22B,CUST100093326,Set-Top Box,Samsung,9CAD3CB1A4C9494C,2019-11-21,Active
AST69324B6963,CUST100083873,Router,Huawei,72AB7CF9406C413F,2016-08-18,Active
AST7B41F36563,CUST100040561,Handset,Samsung,556F94A0A35C45F0,2021-09-15,Active
AST90C9AE44EF,CUST100062248,Router,Cisco,BA9EE10D3A1C4AAE,2025-08-31,Active
AST452AA4EAF7,CUST100089495,Set-Top Box,Cisco,FED61DEC46464E2E,2019-02-21,Faulty
AST26BBBA5729,CUST100097438,Modem,Arris,ADB035DFCADC4310,2019-08-20,Active
AST9CFF6BA1F6,CUST100031855,Handset,Huawei,D784BD4DE46343DD,2023-05-17,Returned
AST94358209F7,CUST100074970,Handset,Huawei,A2282E074801422F,2026-02-24,Active
ASTFED6019E2F,CUST100038008,Smartwatch,Nokia,0FB2C85C083A4EB6,2018-06-29,Faulty
AST7EE41494B0,CUST100033539,Set-Top Box,Nokia,0D86705FB081491D,2021-07-01,Faulty
AST49E7C6B202,CUST100020783,Handset,Samsung,EB896D8083EC461B,2024-12-30,Active
ASTF3D358AE95,CUST100004452,Smartwatch,Samsung,8297022ECFBF49FE,2025-01-16,Active
AST2E02EAA2CA,CUST100085996,Modem,Arris,EC00E3D4B5514B46,2024-02-01,Active
AST58D7D2A2F9,CUST100072603,Handset,Apple,2FFF4955C4BC477F,2023-03-03,Active
ASTAAEF7A72F5,CUST100058167,Home Security Hub,Samsung,16557FA85EBA489F,2021-07-22,Active
AST8C1C41DBC8,CUST100081565,Router,Samsung,D36326450C584F4D,2023-01-19,Active
AST44A5893169,CUST100029946,Router,Apple,13B3BEDF7A8046E2,2020-04-13,Active
AST83F70E1D65,CUST100085025,Router,Google,64384F74B4DB499C,2018-06-12,Active
AST5B9D115B24,CUST100076351,Router,Arris,041817AB293C45B2,2024-04-06,Active
AST095FCD70E7,CUST100036572,Set-Top Box,Cisco,6B94786BAC404D20,2022-02-19,Returned
AST9EC7450FEC,CUST100055119,Router,Google,25B3A171BADD4E06,2017-03-15,Active
AST8268CE23D7,CUST100033041,Set-Top Box,Cisco,68583E922CC747A8,2021-07-19,Active
ASTB9FF1696EB,CUST100008129,Modem,Google,B380747D5E1941B3,2022-06-10,Active
AST7457D44965,CUST100062175,Modem,Apple,D7D6B29E301B4D8E,2018-02-14,Active
AST1B3F64861B,CUST100095667,Set-Top Box,Nokia,A9525A0E8E164A6B,2021-08-12,Active
ASTD89BEAA689,CUST100094076,Set-Top Box,Google,AB9F7A6CA23C4943,2019-06-13,Active
AST803C4FFBAB,CUST100044370,Router,Arris,526C0DFBE105410B,2016-05-16,Active
AST21AD37A6CB,CUST100059860,Router,Apple,D73356241ADC4841,2024-11-01,Decommissioned
AST6D5B1824C9,CUST100043439,Handset,Nokia,4FA6958246CE4077,2017-10-29,Decommissioned
AST32E3EA2590,CUST100040194,Handset,Arris,6470AF2E45314E85,2026-06-30,Active
AST525F4BB378,CUST100066623,Smartwatch,Huawei,AFB5DB824A114971,2020-03-24,Active
AST55115D3FB4,CUST100005746,Smartwatch,Apple,81395DF6ED054CE6,2025-07-28,Decommissioned
AST1C236D5DE7,CUST100089040,Router,Huawei,6D06F037D45E4BEE,2021-05-21,Active
ASTE780556825,CUST100060659,Handset,Samsung,8BC4E2EF0F134CF0,2016-04-12,Active
AST02FC88234D,CUST100084491,Handset,Samsung,D011D83A639746ED,2024-06-12,Returned
ASTE84A5F2095,CUST100077539,Modem,Arris,7B2B3E430CDD4BA5,2018-06-19,Active
AST5FA6E62603,CUST100089668,Handset,Samsung,F572F333031546FE,2019-07-27,Decommissioned
AST1836E98073,CUST100045975,Smartwatch,Cisco,CBFC7759BD0246C8,2024-07-02,Active
ASTCD72B9523C,CUST100098235,Handset,Samsung,BB157B83020044CD,2020-11-17,Active
ASTE996E94B46,CUST100092786,Router,Cisco,FBFE23D6C92F4468,2016-07-14,Active
AST09CA1E5012,CUST100076516,Router,Samsung,46D8D00AA4C54778,2019-07-12,Active
AST71B5BE0E25,CUST100092045,Router,Arris,37C56C4B7BC54DA5,2023-02-27,Active
AST33D4C0B2CF,CUST100055857,Home Security Hub,Samsung,B6692D6979184CEF,2024-01-29,Active
AST88560A9078,CUST100008836,Router,Nokia,F65C2DDF425C4688,2017-02-14,Decommissioned
AST3B09BE3181,CUST100063938,Router,Samsung,29135905A0264437,2023-11-24,Active
ASTD9C7989E5B,CUST100066257,Router,Huawei,1A1CD2D4081845D2,2025-07-06,Active
ASTD6CFA044D5,CUST100055800,Router,Apple,C534C9D4EB0746B0,2020-05-26,Active
ASTC0468D57E2,CUST100078434,Set-Top Box,Arris,AC3E338F561A478A,2016-05-11,Faulty
AST1FDC7F7810,CUST100009189,Handset,Google,1E0E43CFBA254E4D,2020-08-29,Active
ASTC8A196EFC0,CUST100042646,Router,Arris,A29077B8842347D0,2023-10-18,Active
AST8B65B42B69,CUST100013906,Router,Apple,F04FCEF4E197477F,2020-07-18,Active
ASTA88853D525,CUST100078263,Router,Huawei,8B42979A4B254C19,2016-12-30,Returned
ASTE4D346D888,CUST100049072,Handset,Apple,F69B4565A0B5460F,2022-03-22,Active
AST36BC7E4215,CUST100054432,Set-Top Box,Nokia,635DF6E57B9548E3,2019-04-06,Active
AST515C0099A3,CUST100043333,Handset,Apple,8036E51C873E4CF0,2020-10-16,Active
AST2264CEF617,CUST100068582,Router,Cisco,BCEB4F983EF64694,2025-02-04,Active
AST94F29E43F0,CUST100025823,Handset,Samsung,C0AC5FCC9621473B,2016-11-18,Active
AST4EF8007A21,CUST100023791,Handset,Samsung,675B451C31584F71,2017-10-12,Active
ASTEDFA5A9CF4,CUST100085127,Smartwatch,Nokia,8BA0402E5ED94AE4,2024-11-30,Active
ASTB889591852,CUST100025902,Handset,Google,10C8DBC276C94132,2024-07-12,Active
AST1EA2B53BDD,CUST100068999,Router,Samsung,C4AB59DA66D64F61,2025-07-27,Active
AST506BDB3848,CUST100013526,Handset,Apple,7D6DFC9033654D9F,2018-03-03,Active
AST03510B74CC,CUST100047823,Handset,Cisco,11B43D76AE4B48C3,2017-05-23,Active
AST92C1EBD59A,CUST100000535,Set-Top Box,Huawei,6EBF0CDA623D446D,2017-07-08,Active
AST5F7AEE527A,CUST100047788,Modem,Arris,4BB80B3323DA47B0,2017-09-30,Active
AST6D14FDEEAE,CUST100091728,Handset,Huawei,525AA9FD659B41E7,2026-03-11,Active
ASTCABAC1BFA2,CUST100061382,Handset,Samsung,BD020665C2894599,2019-02-26,Returned
ASTEE5789B039,CUST100012190,Set-Top Box,Apple,61E8EDE087F0429B,2024-06-17,Returned
ASTF81059B559,CUST100036785,Modem,Arris,67B2132CFD254D3C,2016-12-28,Active
AST25CC7821E9,CUST100014830,Set-Top Box,Samsung,778F7112198C4477,2017-07-11,Active
AST42F872B778,CUST100027388,Handset,Apple,79E46B673C434635,2018-01-30,Active
ASTED21DDCE1B,CUST100036874,Modem,Huawei,47FA857B984C41FD,2024-11-01,Active
AST789B61A66F,CUST100066906,Smartwatch,Cisco,D998055EEF664C23,2020-03-28,Active
ASTC2A057F91A,CUST100028253,Set-Top Box,Samsung,0ECE005CA2E04C42,2016-01-22,Decommissioned
ASTE5791DDA69,CUST100000319,Router,Huawei,3A7EAEEB93A9468F,2018-05-02,Active
AST8E40F1F63C,CUST100076095,Router,Cisco,80ED4861EF4F4CEC,2019-05-07,Active
AST336600004B,CUST100049086,Home Security Hub,Samsung,E9430363CD3545B5,2020-05-11,Active
AST9B2E3E5E51,CUST100072896,Handset,Huawei,90951C1B12244D04,2021-11-15,Active
AST32425C6FC4,CUST100067137,Handset,Nokia,5B709611ED844ACB,2023-08-16,Active
AST084FB5D5E6,CUST100076897,Set-Top Box,Cisco,4C57E4FA63BD4872,2026-05-12,Active
AST46D45AB7D8,CUST100016986,Handset,Google,0FD26D64B64E44D6,2019-08-18,Active
ASTA1EB18F940,CUST100099634,Handset,Huawei,1E1891353F4A4076,2022-01-18,Active
AST05461E8729,CUST100018339,Handset,Google,67725A23DE7E4A1E,2018-09-18,Active
ASTDE48388DDD,CUST100036591,Router,Samsung,CF6AF180E1154386,2016-09-18,Active
ASTDD4CB179F4,CUST100088141,Set-Top Box,Google,84F15F31707A4EB1,2017-11-28,Active
AST85C7D709D2,CUST100062158,Router,Arris,38BAD63E56C749DE,2017-09-16,Faulty
ASTA731FC0D08,CUST100072795,Router,Nokia,A1B2938D46EE413D,2026-03-22,Active
ASTC6EF34BB1E,CUST100062554,Handset,Samsung,44F8DA2FA6E1419A,2017-04-17,Active
AST761F3B530D,CUST100026601,Router,Nokia,A5716B7D74E84710,2018-08-22,Returned
AST154428B08B,CUST100085665,Handset,Google,3CD4632E86154283,2018-08-08,Active
AST89C18290B9,CUST100089872,Handset,Huawei,536E5E7B27D54149,2017-12-09,Active
ASTAA78E521AB,CUST100024077,Smartwatch,Samsung,01D805BD5EBE4E3C,2025-11-22,Active
ASTBC46BEE892,CUST100029986,Handset,Cisco,7C62014645D7434D,2024-05-12,Active
ASTA5E5D9FF55,CUST100088628,Router,Huawei,D1357F1D185240A4,2024-08-18,Active
AST8E6932EBC4,CUST100087984,Router,Cisco,DEC1FA317D2A4F9D,2025-12-23,Active
AST1DC76740FE,CUST100031324,Modem,Google,75204DA531984466,2024-02-18,Active
ASTA166C7E80B,CUST100090602,Smartwatch,Huawei,B082C3098B464ECF,2016-09-05,Active
