session_id,customer_id,ip_address,session_start,session_duration_min,bytes_uploaded_mb,bytes_downloaded_mb,apn
SES13D4D578B405,CUST100076276,148.247.175.32,2026-06-15 06:07:46,18,94.89,0.53,internet.telco.com
SES560574FCA814,CUST100029445,194.246.119.49,2026-06-29 20:32:21,190,61.48,155.57,internet.telco.com
SESE64F209B06FF,CUST100081152,152.156.218.143,2026-06-05 00:16:11,176,2.11,290.48,internet.telco.com
SES856B482D1781,CUST100009612,197.129.201.199,2026-07-23 11:24:13,174,12.22,1127.3,internet.telco.com
SES707C25EA6A31,CUST100065402,213.190.222.113,2026-06-11 19:16:33,6,2.92,361.93,broadband.telco.com
SES00F5453340FE,CUST100064434,213.187.71.54,2026-07-01 16:44:43,323,16.19,1304.9,iot.telco.com
SES60244133441D,CUST100061048,156.200.196.242,2026-07-18 18:55:22,299,67.63,289.36,broadband.telco.com
SES0C04D426ED9B,CUST100021934,196.247.95.20,2026-06-02 05:03:15,377,151.83,769.36,broadband.telco.com
SES48D254C1D01F,CUST100077534,141.235.198.50,2026-07-05 16:41:36,56,2.17,78.66,broadband.telco.com
SES02F39C91A09E,CUST100040560,197.134.144.109,2026-06-10 06:41:35,477,74.72,137.97,internet.telco.com
SES14881EBFDD99,CUST100056074,53.113.126.86,2026-06-19 03:35:15,175,34.85,64.03,broadband.telco.com
SESFD8AA2EE915C,CUST100094083,210.58.81.15,2026-07-02 19:16:53,338,17.98,539.96,broadband.telco.com
SES3F4E4A9EC7DA,CUST100094303,98.43.2.25,2026-07-07 23:01:41,432,8.74,322.91,iot.telco.com
SES5B75ADF61FE6,CUST100087252,8.206.111.44,2026-06-06 10:05:59,373,237.45,34.97,iot.telco.com
SES0D24FF740CCE,CUST100018384,222.211.246.40,2026-07-03 02:59:29,248,18.99,651.19,internet.telco.com
SES0DE3C2FD0BFA,CUST100027198,212.164.98.42,2026-07-03 09:47:20,280,41.14,623.24,broadband.telco.com
SES737468CB0EB5,CUST100062616,159.187.139.31,2026-06-19 01:21:49,378,58.31,260.91,internet.telco.com
SES7F47735D4A47,CUST100054322,207.195.41.245,2026-06-07 17:20:50,231,18.09,0.89,internet.telco.com
SESD56F675476FD,CUST100055453,209.250.149.145,2026-06-05 20:27:33,151,9.82,84.71,internet.telco.com
SES30727D758F73,CUST100001383,34.19.57.153,2026-07-15 08:01:31,333,85.95,290.93,iot.telco.com
SES2AB180FCBC19,CUST100097530,164.47.138.106,2026-07-10 12:45:36,178,14.23,559.84,internet.telco.com
SESA0BCD4B9EFFA,CUST100092069,48.45.105.80,2026-06-28 23:25:47,18,73.32,253.0,iot.telco.com
SES7EF9D810374A,CUST100048524,156.44.188.146,2026-07-19 22:07:04,307,42.36,32.01,iot.telco.com
SESE54A9617229F,CUST100027590,194.220.174.139,2026-07-18 01:35:25,185,235.14,187.15,iot.telco.com
SESB50970646E26,CUST100073195,213.231.186.87,2026-07-19 15:53:21,169,1.53,744.53,iot.telco.com
SES51A6F99AA580,CUST100003215,202.235.74.96,2026-07-03 23:08:31,113,29.82,187.6,broadband.telco.com
SES0F21E0E156A6,CUST100082338,180.244.255.37,2026-06-13 21:42:28,316,168.89,101.55,iot.telco.com
SES1B555EB10846,CUST100003192,198.240.155.14,2026-06-19 10:12:53,46,33.05,713.87,broadband.telco.com
SES9F75B20842F1,CUST100090941,133.82.24.142,2026-07-23 23:40:28,107,6.55,38.85,internet.telco.com
SES4B925B3CF21D,CUST100093480,102.84.187.238,2026-07-17 15:16:12,50,134.25,68.96,iot.telco.com
SES0EF5673FD0B7,CUST100007717,213.122.50.149,2026-07-08 02:35:10,241,158.39,544.53,broadband.telco.com
SESFFA45C7995F3,CUST100097568,198.26.251.149,2026-07-21 09:47:14,321,15.97,1307.61,broadband.telco.com
SES72E0EB22C2F1,CUST100067075,59.128.81.141,2026-06-11 04:26:55,149,108.31,902.22,broadband.telco.com
SES610747999FE0,CUST100041448,212.238.56.38,2026-07-07 10:04:43,119,13.04,178.07,broadband.telco.com
SESE87C17AB6FD5,CUST100036077,99.209.157.60,2026-07-12 07:43:54,432,16.24,103.69,internet.telco.com
SES8CA71B434F74,CUST100031212,122.242.28.17,2026-06-24 20:04:42,54,55.15,211.24,broadband.telco.com
SESB9BED93CA318,CUST100023228,192.136.95.215,2026-06-14 22:42:22,269,2.43,75.57,iot.telco.com
SESCF86F7013069,CUST100001854,223.114.86.62,2026-06-03 14:31:44,170,56.52,69.39,iot.telco.com
SES82CB3C60997A,CUST100061117,148.94.65.63,2026-06-22 17:28:18,95,69.33,1004.01,broadband.telco.com
SES32CD795F735F,CUST100023960,146.255.143.142,2026-06-01 16:38:08,451,120.15,133.67,internet.telco.com
SES7C0C627E193B,CUST100030673,196.230.14.149,2026-07-12 03:51:01,251,17.71,37.42,iot.telco.com
SES2D0986FD70A2,CUST100059850,90.210.40.213,2026-06-22 21:18:39,412,19.49,227.61,iot.telco.com
SES9904CCA4D081,CUST100090840,203.122.133.130,2026-06-04 23:38:03,293,8.89,142.08,iot.telco.com
SES22DBE8AAF376,CUST100066138,203.24.178.250,2026-07-23 09:06:31,181,39.15,421.21,iot.telco.com
SESA877ADC8F370,CUST100077116,92.218.25.253,2026-06-17 16:59:57,46,109.56,103.16,iot.telco.com
SESB1434B8A1BE7,CUST100011744,126.143.127.102,2026-06-18 18:35:37,381,30.19,327.69,iot.telco.com
SES29DB8A93BC74,CUST100086142,180.56.146.5,2026-06-05 22:13:31,200,101.8,347.41,iot.telco.com
SES412BBA7615CB,CUST100080070,141.190.211.16,2026-06-11 00:56:14,258,15.51,56.02,broadband.telco.com
SESF8A7CE747CEF,CUST100057064,109.246.141.29,2026-07-14 09:01:25,396,10.99,223.97,internet.telco.com
SES3F4D2EDDFDB5,CUST100074383,206.227.57.199,2026-06-16 04:28:11,322,126.64,142.5,iot.telco.com
SESBE346774CE7E,CUST100037238,198.199.134.122,2026-06-09 13:56:57,239,15.72,44.19,broadband.telco.com
SES367CC3FFCF44,CUST100037118,166.12.246.130,2026-06-28 10:40:41,465,8.56,283.67,broadband.telco.com
SES2A4D8ECAAEAF,CUST100038643,183.177.224.204,2026-06-22 06:10:33,179,0.06,225.87,broadband.telco.com
SESB7998DFCF4A8,CUST100071318,34.189.20.10,2026-07-13 11:33:48,472,17.51,41.82,iot.telco.com
SES2B7B0836F4BE,CUST100002934,72.127.226.221,2026-07-16 19:49:54,215,57.43,95.39,broadband.telco.com
SES50482B40E6AD,CUST100059313,220.158.131.1,2026-06-17 08:21:05,281,11.19,57.35,iot.telco.com
SES802734B16B88,CUST100041030,221.228.6.117,2026-07-16 10:59:50,286,4.28,120.76,internet.telco.com
SESD7A54188C724,CUST100026523,130.66.20.65,2026-06-23 08:44:34,56,42.83,47.1,internet.telco.com
SES9CA79C3722B3,CUST100060635,141.176.14.66,2026-06-14 16:48:45,314,71.89,1185.18,internet.telco.com
SES73668E8EF93D,CUST100012671,211.105.29.239,2026-06-14 01:18:41,263,42.33,174.77,internet.telco.com
SES6293CDD2120C,CUST100010392,196.244.143.3,2026-06-21 23:48:02,437,52.37,37.44,internet.telco.com
SES7A8D9F4CD595,CUST100027273,68.126.129.109,2026-07-10 19:53:40,153,100.26,209.82,iot.telco.com
SESD0CC1205BBAE,CUST100012699,1.19.190.106,2026-06-01 14:48:24,27,95.98,71.04,internet.telco.com
SES49E3853B3B2F,CUST100062777,149.138.127.4,2026-07-12 21:14:12,18,78.28,139.55,iot.telco.com
SES0F050E18B7FD,CUST100021111,108.38.226.199,2026-07-01 21:56:28,349,8.7,21.87,broadband.telco.com
SESA9176169AFCC,CUST100038739,6.111.238.248,2026-06-30 19:21:36,355,112.67,107.57,internet.telco.com
SES80771ED8B8B6,CUST100082582,148.177.172.248,2026-07-01 18:17:43,217,38.51,535.29,internet.telco.com
SESB44E431F166A,CUST100026563,74.144.63.185,2026-06-02 22:34:37,161,50.0,444.63,iot.telco.com
SES0D4CDF243F4C,CUST100057172,65.53.90.150,2026-07-05 05:46:17,54,82.88,25.12,broadband.telco.com
SES4B02EB212F31,CUST100084034,108.84.150.96,2026-06-23 22:15:04,395,98.96,294.36,internet.telco.com
SES026F423EB102,CUST100066827,150.128.66.14,2026-07-22 06:09:44,51,17.99,177.49,broadband.telco.com
SESBEDBD355CCE4,CUST100088596,66.80.144.13,2026-07-16 18:39:43,103,58.43,287.49,internet.telco.com
SES7F57332EB82B,CUST100023828,12.89.233.179,2026-07-08 23:58:37,467,47.0,31.33,broadband.telco.com
SES6C910C41D89A,CUST100040429,189.254.76.123,2026-07-21 02:15:48,460,20.37,166.49,internet.telco.com
SES40293FECA7AF,CUST100049598,221.106.236.233,2026-06-13 14:31:53,128,26.85,416.41,internet.telco.com
SESFF39C2693D83,CUST100077147,191.40.96.203,2026-07-03 11:23:24,253,16.33,222.23,broadband.telco.com
SES5F4B4453F7DC,CUST100086437,34.220.145.246,2026-06-30 14:36:10,455,81.11,118.79,internet.telco.com
SES4220237E68FE,CUST100097061,34.106.34.87,2026-06-09 23:32:26,11,32.56,321.19,iot.telco.com
SES07C2912C8F98,CUST100093332,137.230.123.76,2026-07-16 20:52:32,35,9.11,96.71,internet.telco.com
SES76F4705F2261,CUST100018108,78.184.40.163,2026-06-29 05:54:52,328,66.94,465.84,internet.telco.com
SESBC32BE3CC4A1,CUST100074856,2.64.212.89,2026-07-22 10:32:22,347,14.37,93.45,broadband.telco.com
SESAE87ABA087C2,CUST100048042,144.4.181.248,2026-06-25 09:41:07,184,25.4,104.32,internet.telco.com
SES8BC9019A029C,CUST100031007,180.250.244.53,2026-07-04 02:00:18,95,12.89,866.53,broadband.telco.com
SESED9FC407D5B2,CUST100023433,197.90.196.201,2026-06-08 01:15:47,92,72.9,324.31,iot.telco.com
SESD1CC684971ED,CUST100073408,222.128.128.191,2026-07-14 05:06:48,36,106.83,243.24,internet.telco.com
SES05FBD9811172,CUST100076734,100.202.94.39,2026-06-25 15:58:49,137,40.08,418.38,iot.telco.com
SES3907EB6DCFDE,CUST100091977,210.139.64.175,2026-06-30 23:39:01,38,74.42,406.5,broadband.telco.com
SESE71BE0FA77BB,CUST100033439,132.141.100.110,2026-07-13 15:57:30,407,10.13,735.73,iot.telco.com
SES1C673E127BBC,CUST100081123,99.22.69.12,2026-07-04 22:15:51,293,50.12,611.59,internet.telco.com
SES00AEF8F39CA8,CUST100052990,182.6.55.97,2026-06-01 16:32:16,476,25.82,95.01,broadband.telco.com
SES87FBF7A309DB,CUST100074712,160.91.78.228,2026-06-08 02:33:57,377,29.45,682.99,internet.telco.com
SES87CAB7380521,CUST100038597,215.189.203.238,2026-07-02 08:13:07,183,57.42,215.47,iot.telco.com
SES3F1E7D702943,CUST100029976,152.170.239.146,2026-07-15 08:18:34,7,39.4,30.63,internet.telco.com
SESCB4A85709FD7,CUST100028514,82.111.65.122,2026-06-28 14:52:05,73,78.01,57.95,internet.telco.com
SESA6F545F34C30,CUST100083810,164.254.229.240,2026-07-14 07:38:41,35,20.4,22.26,broadband.telco.com
SES7B1D154714CC,CUST100006291,62.198.135.155,2026-07-15 18:30:25,378,63.23,72.57,iot.telco.com
SES18CB53FDC0EB,CUST100092849,136.104.248.240,2026-07-14 03:03:10,471,69.9,31.53,internet.telco.com
SES843C249744CF,CUST100068361,4.135.249.237,2026-06-08 10:38:30,49,4.97,7.21,iot.telco.com
SES3BEFDE82720D,CUST100018948,147.55.56.20,2026-06-06 08:18:00,161,18.19,134.03,iot.telco.com
SES09C982EB1657,CUST100050628,157.233.162.149,2026-07-12 02:50:21,114,11.04,103.01,broadband.telco.com
SESD6D0BB613EBF,CUST100061921,200.167.252.43,2026-06-21 08:51:54,223,37.65,414.5,internet.telco.com
SES88B6F23480FC,CUST100032842,212.181.108.238,2026-06-21 06:36:22,92,158.84,690.97,iot.telco.com
SESF17881ED064B,CUST100048246,210.213.76.76,2026-07-03 04:29:43,303,37.64,158.73,iot.telco.com
SES777FDFAF7970,CUST100027296,19.121.93.131,2026-06-24 10:44:05,277,12.74,0.22,broadband.telco.com
SES41B81947E7BA,CUST100070616,49.62.238.42,2026-06-14 16:54:34,11,131.1,147.79,iot.telco.com
SESA748E16A3A92,CUST100097156,150.64.241.159,2026-06-27 05:02:12,37,0.1,39.87,internet.telco.com
SES8611C7427F51,CUST100041851,84.140.139.146,2026-06-10 19:52:27,30,4.96,371.96,internet.telco.com
SES2866248BCBEB,CUST100040727,189.174.181.58,2026-07-10 11:03:09,250,1.9,25.6,iot.telco.com
SES59D3AD8B48C1,CUST100089444,2.15.93.183,2026-07-11 23:55:26,165,5.53,563.21,broadband.telco.com
SES82F19CC9674E,CUST100085300,180.237.27.95,2026-07-11 17:31:47,217,19.39,76.85,internet.telco.com
SESA63E83A4C979,CUST100023267,175.255.161.250,2026-07-02 16:48:41,123,53.67,13.91,iot.telco.com
SES560813A26C3C,CUST100058406,207.244.224.84,2026-06-05 08:45:10,359,0.86,217.95,internet.telco.com
SESBC70941D73C0,CUST100006276,148.99.154.95,2026-07-20 05:02:26,141,44.96,345.76,internet.telco.com
SESCEE4D6A1893B,CUST100089780,81.75.12.132,2026-06-17 19:32:37,182,30.09,116.71,internet.telco.com
SESD8243A4C7CED,CUST100029937,30.59.125.45,2026-06-18 20:47:38,219,66.97,74.3,iot.telco.com
SES42950039BD46,CUST100028056,112.169.132.160,2026-07-06 16:02:53,298,62.26,71.4,internet.telco.com
SES9040132D97F7,CUST100057008,156.141.48.42,2026-06-04 18:39:28,278,54.51,248.17,internet.telco.com
SES202EAC928BEF,CUST100003309,184.150.213.66,2026-06-15 10:13:02,477,10.8,727.86,broadband.telco.com
SESB4DED4A3C58A,CUST100002478,91.209.32.138,2026-06-28 12:10:17,325,29.39,272.63,internet.telco.com
SES530B85E05954,CUST100076842,164.56.81.233,2026-07-21 05:46:03,192,15.48,286.07,internet.telco.com
SESAA5120D62E4B,CUST100090951,213.95.181.33,2026-07-13 15:41:34,462,3.5,276.67,internet.telco.com
SESC00E7CE0D4A2,CUST100070108,191.101.159.175,2026-06-02 09:59:59,266,53.64,173.12,broadband.telco.com
SES4901E59DD52B,CUST100097930,152.186.186.235,2026-06-21 07:53:44,192,5.46,188.27,broadband.telco.com
SES6969C87DE833,CUST100020602,206.115.236.76,2026-07-13 18:52:12,80,73.59,215.92,iot.telco.com
SESD44BD9A1374F,CUST100078995,152.72.180.50,2026-06-24 20:34:22,150,90.97,682.42,iot.telco.com
SES727A2C50B59C,CUST100057806,188.192.23.67,2026-07-05 23:34:08,142,12.79,40.13,broadband.telco.com
SES8CF54026A98E,CUST100060977,153.74.199.56,2026-06-11 10:57:34,311,69.0,389.59,broadband.telco.com
SES06035BDBFA3C,CUST100051144,79.5.139.218,2026-07-22 10:30:42,403,58.97,32.62,iot.telco.com
SES4B93DBD30DD6,CUST100060376,161.202.252.55,2026-06-24 15:39:48,391,88.3,376.94,internet.telco.com
SES299123C5F2B9,CUST100012808,151.92.145.111,2026-06-04 19:06:58,157,27.65,16.06,iot.telco.com
SES2AD134E917D0,CUST100090226,96.43.189.163,2026-06-13 09:55:39,248,14.17,229.92,broadband.telco.com
SESE4766DAF2A4A,CUST100019062,153.173.0.19,2026-07-14 03:36:31,59,45.12,763.81,iot.telco.com
SES56383BA765DC,CUST100042723,68.210.142.117,2026-07-08 15:27:18,151,12.16,234.17,iot.telco.com
SES0DE51972D5BE,CUST100079133,211.59.3.110,2026-06-03 21:01:30,59,15.0,148.85,internet.telco.com
SESC12D6BF58886,CUST100063160,28.234.5.77,2026-07-14 20:09:49,386,48.86,526.52,internet.telco.com
SES184DEDF8B05C,CUST100083644,82.233.202.58,2026-07-19 13:22:18,293,14.45,252.88,iot.telco.com
SES5378F11B4203,CUST100005833,58.67.23.198,2026-06-02 11:37:26,64,18.58,37.82,broadband.telco.com
SES7E045F155388,CUST100026767,177.169.17.189,2026-06-21 02:50:50,154,55.08,76.78,iot.telco.com
SESD69251F43207,CUST100045636,196.237.123.166,2026-07-01 04:26:51,74,8.72,688.67,broadband.telco.com
SESDA19B81E8EB5,CUST100055334,84.49.243.131,2026-07-14 18:22:49,127,31.19,493.57,broadband.telco.com
SES35A1955693BF,CUST100094823,158.189.15.13,2026-06-01 10:42:21,272,23.31,631.59,broadband.telco.com
SES73719444811A,CUST100047152,222.35.153.9,2026-06-08 23:42:48,96,33.95,247.63,broadband.telco.com
SESFAC99EC97266,CUST100081320,178.108.94.223,2026-06-13 10:38:57,310,125.35,740.74,internet.telco.com
SESAA054075A52C,CUST100084880,92.97.97.156,2026-07-07 00:11:50,204,28.7,737.77,internet.telco.com
SES6027283CC9C8,CUST100088282,152.86.68.140,2026-06-27 23:26:37,220,14.87,176.81,internet.telco.com
SES826C18A47F05,CUST100004390,210.189.48.139,2026-07-14 23:37:09,119,98.15,285.05,broadband.telco.com
SESC4D6C434558C,CUST100075939,211.149.136.110,2026-07-21 13:07:59,215,71.1,1033.75,iot.telco.com
SES432BDA01B3C3,CUST100071198,166.215.89.195,2026-07-04 04:45:35,325,43.44,419.57,broadband.telco.com
SES65243CD93FF9,CUST100038811,208.92.227.75,2026-06-29 16:11:39,233,49.36,541.82,internet.telco.com
SES3D4D5388245C,CUST100047598,219.39.86.10,2026-06-05 10:35:28,133,38.05,51.5,broadband.telco.com
SESC91074C22FDB,CUST100097461,90.25.28.159,2026-07-21 12:38:27,342,58.38,476.53,internet.telco.com
SESDEF9AE1A7C87,CUST100083896,192.185.106.231,2026-06-16 05:01:45,338,5.03,827.19,iot.telco.com
SESFA3BC63A78E1,CUST100004797,194.208.71.254,2026-06-20 22:38:19,128,71.91,4.89,internet.telco.com
SES80BA4BCB1837,CUST100081567,192.95.108.99,2026-06-07 09:00:41,287,7.27,70.06,internet.telco.com
SES5C6554E79450,CUST100043086,197.78.113.203,2026-07-14 18:02:31,410,15.4,388.15,broadband.telco.com
SES849A24C4D519,CUST100014355,119.68.44.89,2026-07-04 09:42:06,413,0.45,72.34,iot.telco.com
SES93A6F467285D,CUST100061901,67.6.206.103,2026-07-22 22:00:26,363,41.89,369.18,broadband.telco.com
SES939E915BC7CA,CUST100080084,2.209.19.198,2026-07-05 13:49:54,327,31.28,144.74,broadband.telco.com
SESC490DDB2A77B,CUST100039124,216.29.195.12,2026-06-22 06:02:02,407,144.51,12.57,internet.telco.com
SES83167DC9EBE6,CUST100030499,216.216.31.215,2026-07-19 10:50:08,237,32.3,27.98,iot.telco.com
SES525ABB87C01C,CUST100072235,124.170.19.86,2026-06-14 01:24:15,274,2.34,858.98,broadband.telco.com
SESB860D4BD5562,CUST100059768,130.221.237.75,2026-06-04 11:10:16,245,24.64,150.33,broadband.telco.com
SES4583332D1B16,CUST100034371,87.223.116.198,2026-06-25 02:47:26,161,36.13,268.57,broadband.telco.com
SES578FECC795E4,CUST100015671,85.129.185.36,2026-07-03 09:45:19,390,69.38,1069.03,broadband.telco.com
SES3385F14C0E0E,CUST100073658,190.192.127.79,2026-06-12 11:23:03,87,97.4,750.5,iot.telco.com
