party_id,customer_id,party_type,role,relationship_to_account
PTY88EE50EF3B,CUST100025977,Individual,Primary Account Holder,Child
PTYEC057313AD,CUST100069514,Individual,Authorized User,Child
PTY5D12E0AB37,CUST100098155,Individual,Primary Account Holder,Business Partner
PTYEAC05149F2,CUST100053960,Individual,Primary Account Holder,Child
PTY39230560CA,CUST100074377,Individual,Authorized User,Spouse
PTYED8DD688F5,CUST100045234,Individual,Authorized User,Child
PTY9C4501BDE2,CUST100019258,Individual,Authorized User,Child
PTYD1B68F414C,CUST100024419,Individual,Beneficiary,Dependent
PTY3B7757DEBF,CUST100058095,Individual,Primary Account Holder,Child
PTY2DD4F72681,CUST100089798,Individual,Authorized User,Business Partner
PTYBFEECC4FAD,CUST100086958,Organization,Primary Account Holder,Self
PTY3DE670016A,CUST100099996,Individual,Primary Account Holder,Business Partner
PTYEAF3D1D9A2,CUST100052765,Individual,Primary Account Holder,Self
PTYA8DCB3EADE,CUST100053476,Individual,Primary Account Holder,Spouse
PTY68C6A0B21D,CUST100049323,Organization,Authorized User,Child
PTYB1C1A42D7B,CUST100005720,Individual,Primary Account Holder,Spouse
PTYEE8A9147AA,CUST100021782,Individual,Primary Account Holder,Self
PTY52626E30F9,CUST100097017,Individual,Primary Account Holder,Child
PTYD295F5B8C3,CUST100050481,Organization,Primary Account Holder,Child
PTY20B9B6F233,CUST100086996,Organization,Primary Account Holder,Child
PTY2356424731,CUST100074747,Individual,Primary Account Holder,Self
PTY16E1C01596,CUST100085237,Individual,Authorized User,Business Partner
PTY34DCF5C062,CUST100048964,Individual,Primary Account Holder,Child
PTYD869FA53E3,CUST100090646,Individual,Primary Account Holder,Business Partner
PTY57470274D5,CUST100089397,Individual,Primary Account Holder,Business Partner
PTY9616300900,CUST100067387,Individual,Beneficiary,Child
PTYC59CE54ED6,CUST100049138,Individual,Authorized User,Spouse
PTY33FE208699,CUST100082445,Individual,Primary Account Holder,Spouse
PTY74F1FE4D5C,CUST100042912,Individual,Primary Account Holder,Business Partner
PTY3CEBE8FEF0,CUST100017732,Individual,Authorized User,Spouse
PTYE473FB3745,CUST100035531,Individual,Guarantor,Business Partner
PTY2E7471CE0C,CUST100084779,Individual,Authorized User,Spouse
PTYFF02E9F372,CUST100047444,Individual,Primary Account Holder,Spouse
PTYF819706958,CUST100003114,Individual,Primary Account Holder,Self
PTY69AF731E58,CUST100077549,Organization,Primary Account Holder,Child
PTY4FBC267E2E,CUST100040862,Individual,Primary Account Holder,Spouse
PTYD0F7ACCF29,CUST100010313,Individual,Guarantor,Self
PTY86A0079812,CUST100094677,Individual,Primary Account Holder,Business Partner
PTY2B2C1A1D2B,CUST100000359,Individual,Primary Account Holder,Spouse
PTYDE876ACF6E,CUST100056470,Individual,Primary Account Holder,Spouse
PTY581141A037,CUST100096607,Individual,Primary Account Holder,Business Partner
PTYE56D0043B1,CUST100033572,Individual,Primary Account Holder,Spouse
PTY4F2A9A7A12,CUST100088796,Organization,Primary Account Holder,Child
PTYE1B25A9422,CUST100053086,Individual,Beneficiary,Spouse
PTYE2A9CF1FAE,CUST100012929,Individual,Authorized User,Dependent
PTY843839CD1C,CUST100082778,Individual,Primary Account Holder,Business Partner
PTYA8D0A30F21,CUST100054171,Individual,Primary Account Holder,Business Partner
PTY11E39A673B,CUST100090333,Individual,Primary Account Holder,Dependent
PTY902081DDB6,CUST100059776,Individual,Beneficiary,Child
PTY83A0CBE885,CUST100017222,Organization,Primary Account Holder,Dependent
PTYA2DE0BD145,CUST100051399,Individual,Primary Account Holder,Self
PTYD122875D2F,CUST100084322,Individual,Primary Account Holder,Spouse
PTY1F0C2DB5A5,CUST100014188,Organization,Primary Account Holder,Dependent
PTY88BEB52168,CUST100067369,Individual,Primary Account Holder,Business Partner
PTY207B3D4BBE,CUST100037472,Organization,Primary Account Holder,Business Partner
PTY97142578D3,CUST100097275,Individual,Primary Account Holder,Dependent
PTYA1780DABD3,CUST100074541,Individual,Primary Account Holder,Business Partner
PTY70536D9E11,CUST100042803,Individual,Primary Account Holder,Spouse
PTY0B8F926E93,CUST100009273,Individual,Primary Account Holder,Child
PTY8F3C5B935F,CUST100017184,Individual,Primary Account Holder,Self
PTY79BF563FB8,CUST100010787,Individual,Primary Account Holder,Business Partner
PTY34A3C9ED93,CUST100039374,Individual,Authorized User,Spouse
PTYBEBA8AAEEB,CUST100031124,Individual,Authorized User,Dependent
PTY060D39D4ED,CUST100000509,Individual,Primary Account Holder,Child
PTY0E1A6D822F,CUST100007579,Individual,Beneficiary,Spouse
PTYA63D0CDFE9,CUST100059542,Individual,Primary Account Holder,Child
PTYA1BA0B965A,CUST100007368,Individual,Primary Account Holder,Dependent
PTY2B720979A7,CUST100012385,Individual,Authorized User,Self
PTYFC8151961C,CUST100010252,Individual,Primary Account Holder,Child
PTY58666266A6,CUST100013304,Individual,Primary Account Holder,Self
PTYFD5B745F87,CUST100087761,Individual,Beneficiary,Spouse
PTY8CEE3461C6,CUST100029295,Individual,Primary Account Holder,Self
PTY9E5967540C,CUST100045678,Individual,Primary Account Holder,Business Partner
PTY772E4A98B6,CUST100062936,Individual,Primary Account Holder,Business Partner
PTY1DD0F2E6CE,CUST100079820,Individual,Authorized User,Dependent
PTY225B1EAA99,CUST100042311,Organization,Primary Account Holder,Child
PTY91AD6FE82D,CUST100002047,Individual,Primary Account Holder,Dependent
PTYDA644AA530,CUST100030131,Individual,Authorized User,Child
PTYCBCDFBD047,CUST100077860,Individual,Authorized User,Child
PTY7C966A43F4,CUST100052909,Individual,Primary Account Holder,Dependent
PTY566EF80B7B,CUST100087670,Individual,Authorized User,Dependent
PTYB25E640D61,CUST100019578,Organization,Primary Account Holder,Business Partner
PTYA890353004,CUST100044006,Individual,Primary Account Holder,Child
PTY78712A54E7,CUST100009470,Individual,Authorized User,Child
PTY5D9E20D86D,CUST100029711,Individual,Authorized User,Child
PTY073CE98471,CUST100005359,Individual,Primary Account Holder,Self
PTY23A5A057C9,CUST100071062,Individual,Authorized User,Business Partner
PTY7D7C43B884,CUST100031323,Individual,Primary Account Holder,Business Partner
PTY824DC4D4DD,CUST100069572,Individual,Primary Account Holder,Dependent
PTYBC5E1DCDEE,CUST100081264,Individual,Primary Account Holder,Self
PTY8E85B15931,CUST100008900,Individual,Primary Account Holder,Business Partner
PTY60FB90EE25,CUST100041256,Individual,Primary Account Holder,Self
PTY0C8A2B9CEA,CUST100090737,Individual,Authorized User,Spouse
PTY8411C97865,CUST100002403,Individual,Authorized User,Business Partner
PTYDA6C0C1BFF,CUST100048315,Individual,Primary Account Holder,Child
PTY5848A5DC40,CUST100028107,Organization,Authorized User,Dependent
PTYF70795F795,CUST100097791,Individual,Primary Account Holder,Business Partner
PTY644CFCE906,CUST100012504,Individual,Beneficiary,Dependent
PTY81BFAE4235,CUST100086108,Individual,Guarantor,Business Partner
PTY03B6AD1AA2,CUST100034741,Individual,Beneficiary,Spouse
PTY2FFC55CECA,CUST100094374,Individual,Primary Account Holder,Dependent
PTY050F2F8315,CUST100069175,Individual,Authorized User,Spouse
PTY87484124A4,CUST100052926,Individual,Primary Account Holder,Dependent
PTY1582FD39D9,CUST100024364,Individual,Authorized User,Self
PTY5E5ED2E7E7,CUST100092260,Individual,Primary Account Holder,Dependent
PTY056254540B,CUST100017505,Individual,Authorized User,Spouse
PTYF6F97BC6F2,CUST100083630,Individual,Primary Account Holder,Child
PTY0687F10362,CUST100066112,Organization,Authorized User,Dependent
PTY84B0676745,CUST100021348,Individual,Primary Account Holder,Spouse
PTY11AC977712,CUST100040972,Organization,Primary Account Holder,Dependent
PTY97B8383727,CUST100056411,Individual,Authorized User,Child
PTY42AE8183CD,CUST100091420,Individual,Primary Account Holder,Self
PTY6027FA531E,CUST100008801,Individual,Authorized User,Self
PTY0693F8190D,CUST100055469,Individual,Guarantor,Spouse
PTYAFA8BD4480,CUST100017855,Individual,Primary Account Holder,Spouse
PTY4064D7F4E8,CUST100092957,Individual,Primary Account Holder,Child
PTYA428D87ED0,CUST100094724,Individual,Guarantor,Dependent
PTY3C0577AC62,CUST100064766,Individual,Authorized User,Child
PTY5042B771E2,CUST100096232,Individual,Authorized User,Self
PTY22964C9C3F,CUST100096499,Organization,Beneficiary,Spouse
PTY144ADF2C87,CUST100063812,Organization,Primary Account Holder,Business Partner
PTY590477D8CD,CUST100060969,Individual,Primary Account Holder,Spouse
PTYDDDA712502,CUST100050144,Individual,Authorized User,Dependent
PTYAAC2EAB74E,CUST100080646,Individual,Primary Account Holder,Child
PTYCA3CA69E81,CUST100076609,Individual,Primary Account Holder,Self
PTYC571C47E75,CUST100081986,Individual,Authorized User,Self
PTY4645B261DA,CUST100084850,Individual,Primary Account Holder,Child
PTYD0537721B5,CUST100012745,Individual,Primary Account Holder,Business Partner
PTYF23338A6F3,CUST100011187,Individual,Primary Account Holder,Self
PTYEAA6664B03,CUST100014855,Individual,Primary Account Holder,Child
PTY22AB5B91C1,CUST100062176,Individual,Primary Account Holder,Self
PTY84F1942B22,CUST100042168,Individual,Authorized User,Self
PTY3AAD22CC7D,CUST100008924,Individual,Guarantor,Spouse
PTY29802C8086,CUST100088702,Organization,Authorized User,Spouse
PTY898C2C144E,CUST100096635,Individual,Primary Account Holder,Self
PTY774171D866,CUST100081840,Individual,Primary Account Holder,Self
PTY45D00BAC56,CUST100068110,Individual,Authorized User,Dependent
PTYF03C3CBA38,CUST100045096,Individual,Primary Account Holder,Child
PTY41EF09D378,CUST100027579,Individual,Primary Account Holder,Dependent
PTY055687BF9A,CUST100020135,Individual,Authorized User,Child
PTYF9FE5387B4,CUST100087196,Individual,Primary Account Holder,Child
PTY2DA513120D,CUST100008724,Individual,Primary Account Holder,Self
PTY25F310E044,CUST100006341,Individual,Primary Account Holder,Child
PTY0F9A294890,CUST100029628,Individual,Primary Account Holder,Dependent
PTY8982F26E5E,CUST100092424,Individual,Beneficiary,Spouse
PTY3847AEB16D,CUST100032388,Individual,Primary Account Holder,Child
PTY30150F1A13,CUST100044437,Individual,Guarantor,Dependent
PTYE8982A85BE,CUST100047280,Individual,Primary Account Holder,Child
PTY722D39254A,CUST100089275,Individual,Primary Account Holder,Spouse
PTY3A08A4DE18,CUST100057774,Individual,Primary Account Holder,Business Partner
PTY5BCF8EAAB9,CUST100066916,Individual,Primary Account Holder,Child
PTY27963EBC3F,CUST100092634,Individual,Authorized User,Spouse
PTY9D7CD72162,CUST100098462,Individual,Primary Account Holder,Spouse
PTYEA1105F022,CUST100015838,Individual,Primary Account Holder,Child
PTYC04BCD596F,CUST100003387,Individual,Beneficiary,Self
PTY3AFCF1346A,CUST100033870,Individual,Authorized User,Self
PTY2DD499105F,CUST100055600,Individual,Authorized User,Child
PTYE5ED84AD46,CUST100079428,Individual,Beneficiary,Dependent
PTY6DFF0024C9,CUST100076572,Individual,Authorized User,Child
PTY6108CBA5FA,CUST100053078,Organization,Primary Account Holder,Child
PTYB1974EF754,CUST100067792,Individual,Beneficiary,Business Partner
PTY67B47879DA,CUST100024995,Individual,Authorized User,Child
PTY0A16A44F49,CUST100040219,Individual,Primary Account Holder,Business Partner
PTY8ACC10D82E,CUST100093823,Individual,Primary Account Holder,Business Partner
PTYF21D8634B3,CUST100070754,Individual,Primary Account Holder,Self
PTYD91643C62F,CUST100017582,Individual,Authorized User,Self
PTY1FF82C58A4,CUST100034647,Individual,Authorized User,Child
PTYE16E526481,CUST100052938,Individual,Beneficiary,Dependent
PTY4B638A8B34,CUST100065795,Individual,Primary Account Holder,Self
PTY78A5EB1440,CUST100095785,Individual,Beneficiary,Dependent
PTYABA7567E62,CUST100063727,Individual,Beneficiary,Child
PTY6CABE61DDF,CUST100007508,Individual,Authorized User,Child
PTY4F74B629AB,CUST100097659,Organization,Primary Account Holder,Dependent
PTY0A9A04A44C,CUST100058563,Organization,Primary Account Holder,Business Partner
PTY92E56025F1,CUST100016597,Individual,Primary Account Holder,Spouse
PTY91C9D0BD01,CUST100003653,Individual,Authorized User,Self
PTYBEEC00D024,CUST100044240,Individual,Primary Account Holder,Spouse
PTY4BE96D51D8,CUST100093896,Organization,Beneficiary,Self
PTY486ABD6C10,CUST100025108,Individual,Primary Account Holder,Spouse
PTY0D4A283C64,CUST100025839,Individual,Beneficiary,Child
PTY9935941DBB,CUST100033380,Individual,Primary Account Holder,Child
PTY74F25768EE,CUST100034968,Individual,Primary Account Holder,Self
PTYF748A3BEF6,CUST100094239,Individual,Primary Account Holder,Dependent
PTY46CCC07713,CUST100081273,Organization,Primary Account Holder,Self
PTY676045A5D7,CUST100068746,Individual,Primary Account Holder,Spouse
PTYD608B0C519,CUST100000793,Individual,Primary Account Holder,Spouse
PTY957E80D729,CUST100046057,Organization,Authorized User,Child
PTYF00555ECCB,CUST100084913,Individual,Primary Account Holder,Child
PTY33B4562D35,CUST100000339,Organization,Primary Account Holder,Child
PTY148EE42A82,CUST100028359,Individual,Primary Account Holder,Child
PTY4282E86FC1,CUST100029821,Organization,Primary Account Holder,Child
PTYD9C189238F,CUST100074064,Individual,Primary Account Holder,Dependent
PTYFFCC0B02D4,CUST100068132,Individual,Beneficiary,Child
PTYB028080779,CUST100038323,Individual,Authorized User,Spouse
PTY4D850A03BE,CUST100053596,Individual,Guarantor,Child
PTYA80397F0F8,CUST100017812,Individual,Authorized User,Self
PTYF43D6206F2,CUST100071542,Individual,Primary Account Holder,Self
PTY09B6603F17,CUST100035241,Individual,Primary Account Holder,Child
PTY13A43C6FD8,CUST100061807,Individual,Primary Account Holder,Child
PTY0E25873C2C,CUST100005556,Individual,Primary Account Holder,Business Partner
PTY1FE05BD0AC,CUST100069193,Individual,Authorized User,Spouse
PTYA40DB7DD05,CUST100098184,Individual,Authorized User,Dependent
PTY0BFF8E17F8,CUST100089274,Organization,Primary Account Holder,Dependent
PTY3652F32CC9,CUST100046273,Individual,Primary Account Holder,Child
PTYB6A9159992,CUST100004748,Individual,Primary Account Holder,Child
PTYF01140D706,CUST100011194,Individual,Primary Account Holder,Self
PTY5A04F954AC,CUST100051564,Individual,Primary Account Holder,Spouse
PTYFDB02F1B52,CUST100036268,Individual,Authorized User,Child
PTY870992863E,CUST100059416,Individual,Beneficiary,Dependent
PTYAC61440A00,CUST100012442,Individual,Primary Account Holder,Dependent
PTY50FF69611D,CUST100078221,Individual,Authorized User,Dependent
PTY845FF86DCD,CUST100079571,Individual,Authorized User,Spouse
PTY070079BDAC,CUST100014955,Organization,Authorized User,Dependent
PTY7081E96876,CUST100088809,Individual,Primary Account Holder,Self
PTY09496FD632,CUST100077940,Individual,Primary Account Holder,Child
PTYEAC18F3AD8,CUST100049089,Individual,Beneficiary,Business Partner
PTY019801A9FB,CUST100011190,Individual,Primary Account Holder,Dependent
PTYACE16F0E1E,CUST100049848,Individual,Authorized User,Self
PTY63D1B07B50,CUST100029951,Individual,Primary Account Holder,Spouse
PTY2F85E4F18A,CUST100046010,Individual,Authorized User,Business Partner
PTY32CC415D04,CUST100087878,Individual,Authorized User,Self
PTYAB89D21158,CUST100061654,Individual,Guarantor,Spouse
PTYC637842F5E,CUST100020288,Organization,Authorized User,Spouse
PTYF78CEC37AB,CUST100080825,Individual,Primary Account Holder,Business Partner
PTY4AE45F94BC,CUST100024899,Individual,Authorized User,Dependent
PTY1CFD52F788,CUST100012670,Individual,Beneficiary,Child
PTY329E0F1BB9,CUST100016736,Individual,Primary Account Holder,Spouse
PTY3A779433AA,CUST100049453,Individual,Primary Account Holder,Self
PTYC16FBE69BB,CUST100011033,Individual,Primary Account Holder,Spouse
PTY41DA3E7E80,CUST100088301,Individual,Primary Account Holder,Child
PTY2558DEB9A3,CUST100085162,Individual,Primary Account Holder,Child
PTY3C88B44242,CUST100010733,Individual,Primary Account Holder,Spouse
PTY166EDC2CB8,CUST100056562,Individual,Beneficiary,Dependent
PTY8F83DD7902,CUST100095749,Individual,Beneficiary,Spouse
PTYC3D59BD26A,CUST100069192,Individual,Primary Account Holder,Self
PTY1A2AA3051E,CUST100045257,Individual,Primary Account Holder,Spouse
PTYC3677CABAB,CUST100076647,Individual,Primary Account Holder,Self
PTY5D8A192399,CUST100023899,Individual,Authorized User,Dependent
PTYD0FCC84BCC,CUST100010721,Organization,Primary Account Holder,Spouse
PTY4B57822001,CUST100014564,Individual,Primary Account Holder,Spouse
PTYFFFCF04F08,CUST100074513,Individual,Beneficiary,Business Partner
PTYD2F632AEF6,CUST100016267,Individual,Primary Account Holder,Spouse
PTY44E1800FB4,CUST100052969,Individual,Primary Account Holder,Business Partner
PTY0B01BEADCB,CUST100006837,Organization,Primary Account Holder,Self
PTY9E2AAFB45A,CUST100010564,Individual,Beneficiary,Self
PTY245B26AE8C,CUST100012407,Individual,Primary Account Holder,Dependent
PTY7BCB5F4E85,CUST100099775,Organization,Beneficiary,Child
PTY68FD6D5AB8,CUST100067647,Individual,Authorized User,Child
PTYAA8F0279F8,CUST100097465,Individual,Authorized User,Self
PTY9A077669BA,CUST100045455,Individual,Guarantor,Dependent
PTYDD1F380268,CUST100093990,Individual,Primary Account Holder,Child
PTY3F663C58CC,CUST100033273,Individual,Authorized User,Business Partner
PTY9A32CE4610,CUST100052577,Individual,Primary Account Holder,Child
PTY406B803848,CUST100087948,Organization,Primary Account Holder,Self
PTY66BE13A72D,CUST100069774,Individual,Primary Account Holder,Self
PTY0AA3E668DE,CUST100023759,Individual,Authorized User,Self
PTY3A6238220B,CUST100002494,Individual,Primary Account Holder,Spouse
PTY316D4841F8,CUST100003134,Organization,Primary Account Holder,Self
PTY728C9AA9E9,CUST100023749,Organization,Authorized User,Dependent
PTY3A34115220,CUST100069772,Individual,Primary Account Holder,Business Partner
PTYA36F87969E,CUST100048505,Individual,Beneficiary,Self
PTY3CB9718E48,CUST100058232,Individual,Primary Account Holder,Business Partner
PTYDB3CA6FE63,CUST100057530,Individual,Primary Account Holder,Self
PTY54A0AB1A72,CUST100072217,Individual,Primary Account Holder,Dependent
PTY345A85FACC,CUST100030187,Individual,Primary Account Holder,Child
PTY1BA6F2F7AB,CUST100082616,Individual,Primary Account Holder,Business Partner
PTY2C8A727D73,CUST100055793,Individual,Beneficiary,Spouse
PTY3961D80CAA,CUST100001682,Individual,Primary Account Holder,Self
PTY75A3FE651F,CUST100099099,Individual,Primary Account Holder,Self
PTYD6A7433866,CUST100039307,Individual,Primary Account Holder,Business Partner
PTYDA951118CD,CUST100020329,Individual,Beneficiary,Spouse
PTY4272C8089C,CUST100043405,Organization,Primary Account Holder,Self
PTY326D3A455F,CUST100054635,Organization,Primary Account Holder,Spouse
PTY45A8E4D69B,CUST100046541,Individual,Primary Account Holder,Child
PTY6AB37E8368,CUST100058127,Individual,Authorized User,Child
PTY12A927501B,CUST100050941,Organization,Authorized User,Dependent
PTY6A70A816B9,CUST100091896,Individual,Primary Account Holder,Business Partner
PTYD87347D931,CUST100063476,Individual,Primary Account Holder,Self
PTYE5A59B4B30,CUST100016795,Individual,Beneficiary,Self
PTY91670D082D,CUST100043248,Individual,Primary Account Holder,Dependent
PTY65B71BBB8A,CUST100025889,Individual,Primary Account Holder,Business Partner
PTY77E7E4030E,CUST100092718,Individual,Primary Account Holder,Business Partner
PTYE37725703A,CUST100055480,Individual,Primary Account Holder,Dependent
PTY56BFD79B29,CUST100070955,Individual,Authorized User,Dependent
PTYCF7D271E2C,CUST100049379,Individual,Primary Account Holder,Business Partner
PTY987E1C22E3,CUST100043237,Individual,Primary Account Holder,Business Partner
PTY606987FF63,CUST100008328,Individual,Authorized User,Spouse
PTY5313C11D07,CUST100082761,Individual,Primary Account Holder,Self
PTY6E9CB93780,CUST100054912,Individual,Primary Account Holder,Business Partner
PTYFB06479DC0,CUST100043518,Individual,Primary Account Holder,Spouse
PTY7B9BE6F79D,CUST100075665,Organization,Beneficiary,Dependent
PTY653E4CD1A0,CUST100015614,Individual,Primary Account Holder,Spouse
PTYE26107B3FD,CUST100066934,Individual,Primary Account Holder,Business Partner
PTY1C5746E07D,CUST100054654,Individual,Primary Account Holder,Self
PTY303D076EB6,CUST100063028,Individual,Primary Account Holder,Dependent
PTYAB1B718CC5,CUST100030953,Individual,Primary Account Holder,Dependent
PTY0A75891A5A,CUST100074128,Individual,Primary Account Holder,Business Partner
PTY5B77713BC2,CUST100081792,Individual,Primary Account Holder,Business Partner
PTY8AA044DDD3,CUST100001239,Individual,Primary Account Holder,Spouse
PTY40A2F3A19F,CUST100095315,Individual,Authorized User,Child
PTY1458E729EF,CUST100042271,Individual,Primary Account Holder,Child
PTYDCB3752B5A,CUST100029366,Individual,Beneficiary,Business Partner
PTYB93BBB5FF7,CUST100081000,Individual,Primary Account Holder,Dependent
PTYCD5DB32DCD,CUST100095748,Individual,Primary Account Holder,Child
PTY175FC5EB40,CUST100055194,Individual,Authorized User,Child
PTY92384D88DA,CUST100051302,Individual,Authorized User,Business Partner
PTY7532C5193F,CUST100032068,Individual,Primary Account Holder,Spouse
PTY72BD93CFDE,CUST100058807,Individual,Primary Account Holder,Self
PTY55F6277F80,CUST100017795,Individual,Authorized User,Spouse
PTY7F51F8963C,CUST100095833,Individual,Primary Account Holder,Business Partner
PTYDF31584EB3,CUST100007111,Individual,Primary Account Holder,Spouse
PTY5A043224F9,CUST100079131,Individual,Authorized User,Business Partner
PTY96EA1D7BD8,CUST100015303,Individual,Primary Account Holder,Child
PTY4BADC6FF69,CUST100016350,Individual,Primary Account Holder,Self
PTYA6320AF5AB,CUST100040330,Individual,Authorized User,Self
PTYED07190245,CUST100068998,Individual,Authorized User,Spouse
PTY3B82B7C5EE,CUST100010769,Organization,Primary Account Holder,Spouse
PTY6D95D8209E,CUST100080453,Individual,Primary Account Holder,Dependent
PTYBB04DF3DBA,CUST100097210,Individual,Primary Account Holder,Dependent
PTY986DDDE33C,CUST100007731,Individual,Authorized User,Self
PTY1D08B9DEED,CUST100001846,Individual,Primary Account Holder,Spouse
PTY4FD05A546D,CUST100032901,Organization,Beneficiary,Child
PTY912284F0E9,CUST100073498,Individual,Primary Account Holder,Dependent
PTYE0D1BA3CD6,CUST100025289,Individual,Primary Account Holder,Self
PTY82339E58A5,CUST100060658,Individual,Primary Account Holder,Child
PTY9AC6A5C1AC,CUST100082615,Individual,Primary Account Holder,Spouse
PTY647AE22FFF,CUST100074574,Individual,Primary Account Holder,Business Partner
PTYB890070A56,CUST100078900,Organization,Primary Account Holder,Dependent
PTY7A126CC4E2,CUST100097184,Individual,Primary Account Holder,Self
PTY38967D1446,CUST100087493,Individual,Primary Account Holder,Child
PTY795B89F98F,CUST100047803,Individual,Primary Account Holder,Child
PTY647824F2F1,CUST100040231,Individual,Primary Account Holder,Business Partner
PTY07C563CA2A,CUST100076205,Individual,Primary Account Holder,Spouse
PTY9627508464,CUST100089490,Individual,Authorized User,Spouse
PTYF9EC169CE2,CUST100024234,Individual,Beneficiary,Self
