tower_id,tower_name,latitude,longitude,region,tower_type,capacity_status
TWR100055,Site-NorthTracy-55,46.24909,-73.480351,Southeast,Small Cell,Normal
TWR100056,Site-Taylorside-56,44.553384,-68.201342,Southwest,Macro Cell,Near Capacity
TWR100057,Site-Jonathanmouth-57,25.809851,-109.404462,Southwest,Macro Cell,Near Capacity
TWR100058,Site-PortElizabeth-58,47.721879,-73.360352,Northeast,DAS,Congested
TWR100059,Site-Aliciaview-59,35.110518,-116.74585,Pacific Northwest,Macro Cell,Normal
TWR100060,Site-NorthMichael-60,28.529343,-117.15119,Pacific Northwest,DAS,Congested
TWR100061,Site-NorthStacey-61,37.262705,-67.413108,Pacific Northwest,Macro Cell,Near Capacity
TWR100062,Site-NorthJason-62,36.719892,-73.711212,Southeast,Macro Cell,Near Capacity
TWR100063,Site-Isaachaven-63,41.069627,-76.096583,Pacific Northwest,Small Cell,Congested
TWR100064,Site-Wellsview-64,44.295399,-93.625738,Southwest,Macro Cell,Normal
TWR100065,Site-SouthCharlesfort-65,40.778418,-82.251616,Midwest,Macro Cell,Near Capacity
TWR100066,Site-NorthMichaelville-66,42.720627,-102.760684,Pacific Northwest,Macro Cell,Congested
TWR100067,Site-WestTimothystad-67,38.687492,-89.340288,Pacific Northwest,Macro Cell,Congested
TWR100068,Site-EastOscarville-68,40.861158,-96.629315,Southwest,Macro Cell,Normal
TWR100069,Site-NorthJeremyshire-69,35.65493,-99.653245,Northeast,Macro Cell,Near Capacity
TWR100070,Site-Joseport-70,26.285996,-84.928638,Southwest,Macro Cell,Normal
TWR100071,Site-EastWandaborough-71,36.70307,-121.452417,Southeast,Small Cell,Congested
TWR100072,Site-LakeDrew-72,44.335634,-105.076105,Pacific Northwest,Macro Cell,Normal
TWR100073,Site-Vanessaland-73,25.77002,-78.905403,West,Macro Cell,Congested
TWR100074,Site-NorthAndrea-74,42.043348,-72.325865,Southeast,Macro Cell,Normal
TWR100075,Site-SouthMichelle-75,40.374355,-114.477807,Pacific Northwest,Macro Cell,Normal
TWR100076,Site-NewBrianborough-76,27.713825,-103.422887,Midwest,Small Cell,Normal
TWR100077,Site-Marcusberg-77,37.030346,-92.910998,West,Macro Cell,Normal
TWR100078,Site-Georgebury-78,37.904565,-115.057424,Midwest,DAS,Near Capacity
TWR100079,Site-LakeChelseachester-79,30.344739,-109.692111,Midwest,Macro Cell,Normal
TWR100080,Site-Harmonview-80,42.336585,-102.767544,Pacific Northwest,Macro Cell,Near Capacity
TWR100081,Site-Gatesberg-81,41.772525,-89.977323,West,Macro Cell,Near Capacity
TWR100082,Site-WestPatrickview-82,37.967809,-75.587382,Northeast,Macro Cell,Normal
TWR100083,Site-Blairport-83,39.191508,-99.567246,Northeast,Macro Cell,Near Capacity
TWR100084,Site-Fullerton-84,32.799117,-119.841855,Southeast,Macro Cell,Normal
TWR100085,Site-Theresahaven-85,25.837881,-117.50336,Pacific Northwest,Macro Cell,Near Capacity
TWR100086,Site-Wheelerfurt-86,46.411133,-105.126168,Pacific Northwest,Macro Cell,Near Capacity
TWR100087,Site-Dustinville-87,38.647294,-70.786657,West,Macro Cell,Normal
TWR100088,Site-Joshuafort-88,36.918188,-117.060385,Southeast,DAS,Normal
TWR100089,Site-Petersonstad-89,29.430117,-82.299865,West,Macro Cell,Normal
TWR100090,Site-Adamsville-90,42.013707,-101.973832,Midwest,Macro Cell,Normal
TWR100091,Site-Tammyshire-91,37.280027,-102.307894,Midwest,Small Cell,Normal
TWR100092,Site-PortGregory-92,42.121388,-75.61448,West,Macro Cell,Normal
TWR100093,Site-SouthChristyhaven-93,44.71868,-81.968319,Southwest,Small Cell,Near Capacity
TWR100094,Site-LakeAndrew-94,48.011434,-118.194006,Northeast,Macro Cell,Normal
TWR100095,Site-Davisfurt-95,41.947451,-70.933522,Southeast,Macro Cell,Normal
TWR100096,Site-LakeKelly-96,27.564942,-120.729555,Midwest,Macro Cell,Near Capacity
TWR100097,Site-Emilybury-97,27.739051,-81.406487,Southeast,Macro Cell,Near Capacity
TWR100098,Site-Kellyside-98,25.336829,-119.900042,Pacific Northwest,Macro Cell,Normal
TWR100099,Site-Chavezhaven-99,35.016066,-119.860489,Pacific Northwest,Macro Cell,Normal
TWR100100,Site-Marieside-100,30.684772,-75.398077,Southeast,Macro Cell,Normal
TWR100101,Site-SouthMeganburgh-101,43.701601,-106.01798,West,Small Cell,Normal
TWR100102,Site-Garyshire-102,38.588551,-112.55995,Pacific Northwest,Rooftop,Congested
TWR100103,Site-NewRonaldmouth-103,36.737851,-96.673315,West,Small Cell,Normal
TWR100104,Site-NorthAaronbury-104,44.997509,-69.354724,Pacific Northwest,Small Cell,Congested
TWR100105,Site-LakePatricia-105,37.196446,-80.683014,Northeast,Macro Cell,Near Capacity
TWR100106,Site-Hunterstad-106,34.953616,-75.416869,Southeast,DAS,Normal
TWR100107,Site-SouthMichaelburgh-107,46.547451,-93.858053,West,Macro Cell,Near Capacity
TWR100108,Site-WestJamestown-108,35.781228,-115.946272,Pacific Northwest,Macro Cell,Normal
TWR100109,Site-EastAnneport-109,40.060083,-96.527806,Northeast,DAS,Near Capacity
TWR100110,Site-NewSteven-110,49.231508,-123.426099,Southwest,Macro Cell,Near Capacity
TWR100111,Site-Reginaldbury-111,35.786592,-73.123481,West,Macro Cell,Normal
TWR100112,Site-Michellechester-112,28.848866,-109.713718,Northeast,Rooftop,Near Capacity
TWR100113,Site-Michaelview-113,25.67816,-68.364699,Midwest,Macro Cell,Normal
TWR100114,Site-Ericaport-114,30.649758,-75.728383,West,Small Cell,Normal
TWR100115,Site-NorthMark-115,41.429001,-106.081059,West,Small Cell,Normal
TWR100116,Site-Webbmouth-116,37.047984,-79.231465,West,Macro Cell,Congested
TWR100117,Site-Michellechester-117,25.589604,-72.831492,West,Macro Cell,Normal
TWR100118,Site-NorthDavidland-118,25.846723,-68.035175,Southwest,Macro Cell,Normal
TWR100119,Site-NewRyanfort-119,25.923582,-90.702441,West,DAS,Normal
TWR100120,Site-Jackside-120,32.796305,-101.697931,Southwest,Macro Cell,Normal
TWR100121,Site-Sawyerstad-121,35.721935,-93.355865,Midwest,Macro Cell,Normal
TWR100122,Site-SouthAshleychester-122,28.508359,-118.95915,Southwest,Macro Cell,Near Capacity
TWR100123,Site-Morenoville-123,28.447969,-108.829892,Midwest,Macro Cell,Near Capacity
TWR100124,Site-Michaelton-124,39.604857,-94.691632,Southeast,Small Cell,Near Capacity
TWR100125,Site-Marshfurt-125,36.299727,-93.854,Southeast,Macro Cell,Congested
TWR100126,Site-Juliaport-126,26.740251,-116.161004,West,DAS,Normal
TWR100127,Site-Snyderborough-127,37.549559,-108.244322,Pacific Northwest,Macro Cell,Normal
TWR100128,Site-Staciemouth-128,35.063849,-87.900611,Midwest,Small Cell,Normal
TWR100129,Site-Smithfort-129,49.462891,-81.211867,Northeast,Macro Cell,Normal
TWR100130,Site-EastStacyview-130,37.545883,-85.828033,West,Small Cell,Normal
TWR100131,Site-Jamesmouth-131,48.726211,-120.972342,Pacific Northwest,Small Cell,Normal
TWR100132,Site-Tonyabury-132,39.648881,-71.148368,Midwest,Small Cell,Normal
TWR100133,Site-Lisastad-133,39.960303,-67.085252,West,Small Cell,Normal
TWR100134,Site-Masonfurt-134,46.731863,-71.518336,Midwest,Small Cell,Normal
TWR100135,Site-WestEricaport-135,31.75602,-71.366019,Midwest,Macro Cell,Near Capacity
TWR100136,Site-Rogersland-136,44.158088,-111.560599,Pacific Northwest,DAS,Normal
TWR100137,Site-NewKatherinemouth-137,42.480509,-68.520913,Midwest,Small Cell,Normal
TWR100138,Site-LakeTaylor-138,29.652,-103.719083,Southwest,Macro Cell,Normal
TWR100139,Site-WestAmy-139,43.167707,-83.812791,Midwest,Macro Cell,Near Capacity
TWR100140,Site-Tonyaville-140,41.815146,-67.974457,Midwest,Macro Cell,Normal
TWR100141,Site-Gregoryburgh-141,38.503643,-111.126082,Southwest,Macro Cell,Normal
TWR100142,Site-Stricklandview-142,29.453379,-87.300507,Southwest,Small Cell,Normal
TWR100143,Site-SouthChristina-143,39.749005,-73.745217,West,Small Cell,Normal
TWR100144,Site-WestJennifershire-144,32.624684,-91.485819,Southwest,DAS,Normal
TWR100145,Site-Melissashire-145,38.565971,-101.604419,Pacific Northwest,Macro Cell,Normal
TWR100146,Site-EastNicole-146,33.494457,-84.328891,Midwest,Small Cell,Normal
TWR100147,Site-NewJoelborough-147,27.177624,-96.05993,Southwest,Small Cell,Near Capacity
TWR100148,Site-SouthJohnnyfort-148,26.145088,-74.216098,West,Macro Cell,Normal
TWR100149,Site-Jonesview-149,30.109205,-103.272812,Midwest,Macro Cell,Normal
TWR100150,Site-Ortizland-150,49.292814,-98.66329,Northeast,DAS,Near Capacity
TWR100151,Site-SouthRitafort-151,44.541024,-113.827068,Southwest,Macro Cell,Near Capacity
TWR100152,Site-Jenniferfurt-152,46.047551,-118.790193,Southeast,Macro Cell,Normal
TWR100153,Site-NewEdgar-153,27.445087,-72.331927,Southwest,Rooftop,Normal
TWR100154,Site-SouthTravis-154,29.706452,-103.934568,Midwest,Macro Cell,Near Capacity
TWR100155,Site-LakeJennifer-155,31.152797,-118.208726,Pacific Northwest,Macro Cell,Normal
TWR100156,Site-LakeLarrytown-156,26.699964,-123.38187,Northeast,Macro Cell,Normal
TWR100157,Site-Adrianmouth-157,36.477585,-117.845929,Northeast,Macro Cell,Near Capacity
TWR100158,Site-Andersonmouth-158,45.450364,-84.34149,Northeast,Small Cell,Normal
TWR100159,Site-PortPaulaburgh-159,26.177302,-84.899804,Southeast,Small Cell,Near Capacity
TWR100160,Site-Dayberg-160,25.073008,-110.139019,West,Macro Cell,Normal
TWR100161,Site-Samanthaberg-161,38.543746,-109.070973,Northeast,Macro Cell,Normal
TWR100162,Site-LakeGabriella-162,30.898881,-101.325654,Northeast,Macro Cell,Normal
TWR100163,Site-NewJonathantown-163,30.649973,-88.030433,Midwest,Small Cell,Near Capacity
TWR100164,Site-Douglasmouth-164,43.269208,-103.8083,Midwest,Small Cell,Normal
TWR100165,Site-Wattsmouth-165,26.661335,-76.188271,Pacific Northwest,Macro Cell,Normal
TWR100166,Site-Marthamouth-166,29.685348,-103.919056,Northeast,Small Cell,Normal
TWR100167,Site-NorthTimothyville-167,39.967952,-88.053203,Northeast,Macro Cell,Normal
TWR100168,Site-Ortizmouth-168,38.060603,-123.347507,Midwest,Macro Cell,Normal
TWR100169,Site-Russelltown-169,29.247788,-70.086681,Southeast,Macro Cell,Normal
TWR100170,Site-LakePatrickfurt-170,29.037125,-108.582702,Northeast,Rooftop,Normal
TWR100171,Site-Cameronton-171,25.399013,-100.281003,Pacific Northwest,Small Cell,Near Capacity
TWR100172,Site-Murphyport-172,41.500141,-88.655003,West,Macro Cell,Normal
TWR100173,Site-Joshuamouth-173,47.068654,-100.482766,Midwest,Macro Cell,Normal
TWR100174,Site-NewSarafurt-174,37.988302,-90.089415,Midwest,Macro Cell,Near Capacity
TWR100175,Site-Josephberg-175,24.592964,-94.052764,Midwest,Macro Cell,Normal
TWR100176,Site-WestMegan-176,28.886119,-67.699592,Northeast,Macro Cell,Normal
TWR100177,Site-PortKarenmouth-177,43.211341,-86.955153,Southeast,Macro Cell,Normal
TWR100178,Site-Thompsonbury-178,30.233267,-71.71278,Southwest,Macro Cell,Normal
TWR100179,Site-NorthNicholasmouth-179,45.368738,-93.595602,Pacific Northwest,Macro Cell,Near Capacity
TWR100180,Site-SouthLisaburgh-180,36.157,-122.591871,Southeast,Macro Cell,Near Capacity
TWR100181,Site-Hartville-181,46.736622,-124.11042,Midwest,Macro Cell,Normal
TWR100182,Site-NewStevenmouth-182,45.067232,-94.930588,Pacific Northwest,Macro Cell,Congested
TWR100183,Site-NorthIsaac-183,48.474851,-84.010743,Southwest,Macro Cell,Normal
TWR100184,Site-Ritterberg-184,28.806791,-117.033414,Pacific Northwest,Small Cell,Normal
TWR100185,Site-Dustinborough-185,38.429585,-93.177035,Southeast,Macro Cell,Near Capacity
TWR100186,Site-LakePatrick-186,37.345466,-104.373916,Pacific Northwest,Small Cell,Normal
TWR100187,Site-Tranborough-187,25.722682,-68.397729,West,Rooftop,Normal
TWR100188,Site-WestTara-188,28.685462,-90.687475,Northeast,Small Cell,Normal
TWR100189,Site-LakeMichaelbury-189,29.252645,-94.127227,Northeast,Macro Cell,Normal
TWR100190,Site-Anthonyside-190,46.12315,-122.701669,Southwest,Macro Cell,Near Capacity
TWR100191,Site-LakeCoreyville-191,25.057367,-81.401686,Southeast,Macro Cell,Normal
TWR100192,Site-Marcchester-192,39.363119,-74.660969,Northeast,Rooftop,Normal
TWR100193,Site-Ashleyside-193,40.944957,-104.156645,Pacific Northwest,Macro Cell,Normal
TWR100194,Site-SouthRebecca-194,45.836945,-115.635658,Southeast,Small Cell,Normal
TWR100195,Site-Petersonton-195,25.643602,-77.162963,Pacific Northwest,Small Cell,Normal
TWR100196,Site-NewKelly-196,26.138507,-98.285631,Southeast,Small Cell,Normal
TWR100197,Site-NewEmilyland-197,42.002928,-79.200549,Southeast,Rooftop,Congested
TWR100198,Site-Juliabury-198,34.319172,-101.916513,Southeast,DAS,Normal
TWR100199,Site-Parkerberg-199,40.761504,-73.001847,Pacific Northwest,Macro Cell,Normal
TWR100200,Site-NorthDeborah-200,30.114426,-101.790097,Midwest,Small Cell,Normal
TWR100201,Site-LakeDavidport-201,46.846925,-78.655415,Southwest,Macro Cell,Near Capacity
TWR100202,Site-Juliafurt-202,45.821148,-84.000468,Pacific Northwest,Macro Cell,Normal
TWR100203,Site-LakeTara-203,47.528501,-73.008545,Southeast,Macro Cell,Near Capacity
TWR100204,Site-WestMikaylastad-204,42.622996,-103.470009,Midwest,Macro Cell,Normal
TWR100205,Site-NorthVictor-205,38.385547,-105.899794,Southeast,Macro Cell,Normal
TWR100206,Site-PortDenisehaven-206,28.144287,-70.882685,West,Macro Cell,Near Capacity
TWR100207,Site-Larsonborough-207,28.044099,-113.619953,Southeast,Macro Cell,Normal
TWR100208,Site-WestTaylorfort-208,39.497507,-122.780989,Midwest,Macro Cell,Normal
TWR100209,Site-Bateschester-209,24.918679,-104.179468,Southwest,Macro Cell,Normal
TWR100210,Site-Bruceville-210,38.040771,-112.320215,Southwest,Macro Cell,Near Capacity
TWR100211,Site-Moorebury-211,24.836956,-72.419128,Midwest,Macro Cell,Normal
TWR100212,Site-PortKimberlyview-212,43.326379,-67.123914,Pacific Northwest,Macro Cell,Normal
TWR100213,Site-EastSamantha-213,25.335708,-104.595911,Southeast,Macro Cell,Near Capacity
TWR100214,Site-NewKendra-214,46.034529,-82.891652,Midwest,Macro Cell,Normal
TWR100215,Site-NewDanamouth-215,47.243786,-74.708439,Southwest,Macro Cell,Normal
TWR100216,Site-LakeMatthewside-216,28.023633,-97.021269,Midwest,Macro Cell,Normal
TWR100217,Site-WestKimberly-217,49.108805,-115.935966,Southeast,DAS,Normal
TWR100218,Site-Ricardotown-218,25.901394,-69.846083,Southeast,Rooftop,Normal
TWR100219,Site-Sherryshire-219,36.78006,-119.336827,West,Macro Cell,Near Capacity
TWR100220,Site-Melissamouth-220,44.286367,-72.474798,Pacific Northwest,Macro Cell,Near Capacity
TWR100221,Site-Ryanmouth-221,43.973814,-84.080422,Northeast,Macro Cell,Normal
TWR100222,Site-Cherylland-222,30.008024,-88.13326,Southwest,Macro Cell,Normal
TWR100223,Site-Jamesburgh-223,28.238951,-91.825902,Southeast,Macro Cell,Normal
TWR100224,Site-PortShelleymouth-224,35.54867,-82.761246,Northeast,Macro Cell,Normal
TWR100225,Site-NorthJordan-225,40.561196,-82.031081,Southwest,Macro Cell,Normal
TWR100226,Site-Emilyborough-226,25.788831,-73.632468,Northeast,Macro Cell,Normal
TWR100227,Site-Richardchester-227,36.534804,-120.339255,Pacific Northwest,Macro Cell,Normal
TWR100228,Site-WestCourtneyborough-228,41.05143,-113.310324,Pacific Northwest,Small Cell,Near Capacity
TWR100229,Site-Kylemouth-229,27.639873,-84.118957,Southwest,Small Cell,Normal
TWR100230,Site-SouthNicole-230,45.126687,-117.154683,Pacific Northwest,Macro Cell,Normal
TWR100231,Site-LakeCameron-231,45.775214,-114.18453,Pacific Northwest,Macro Cell,Normal
TWR100232,Site-Hollyburgh-232,47.580052,-112.119441,Midwest,Small Cell,Normal
TWR100233,Site-Myersborough-233,43.523448,-78.601041,Midwest,Small Cell,Normal
TWR100234,Site-Wesleyside-234,42.83022,-72.837184,Midwest,Small Cell,Congested
TWR100235,Site-Hillport-235,47.451771,-119.178681,Pacific Northwest,Macro Cell,Normal
TWR100236,Site-LakeMarthaburgh-236,31.178661,-117.299049,West,Macro Cell,Normal
TWR100237,Site-LakeLisashire-237,45.5938,-77.304946,Midwest,Macro Cell,Normal
TWR100238,Site-Phelpsburgh-238,41.618654,-106.857761,Northeast,DAS,Normal
TWR100239,Site-Benjaminton-239,27.516164,-112.381119,Midwest,Macro Cell,Near Capacity
TWR100240,Site-Berrybury-240,47.444548,-74.745818,Southwest,Macro Cell,Normal
TWR100241,Site-WestJustinton-241,47.739447,-95.175536,West,Macro Cell,Near Capacity
TWR100242,Site-NewPaula-242,28.173754,-86.44819,West,Macro Cell,Normal
TWR100243,Site-LakeSteven-243,25.97927,-72.82323,West,Macro Cell,Normal
TWR100244,Site-SouthMichelleview-244,38.756522,-117.879495,Southwest,Macro Cell,Normal
TWR100245,Site-Stevenland-245,46.084224,-84.953652,West,Macro Cell,Congested
TWR100246,Site-SouthJohntown-246,47.732327,-115.608612,Midwest,DAS,Near Capacity
TWR100247,Site-SouthPatrick-247,41.598974,-92.058796,Pacific Northwest,Macro Cell,Normal
TWR100248,Site-LakeKristin-248,33.852763,-112.783232,West,DAS,Normal
TWR100249,Site-SouthKathyside-249,24.787744,-82.134099,Northeast,Macro Cell,Normal
TWR100250,Site-PortAmyshire-250,47.702233,-111.777349,Southwest,Rooftop,Normal
TWR100251,Site-Jessicahaven-251,44.651509,-121.132209,Northeast,Small Cell,Normal
TWR100252,Site-EastAnnettetown-252,42.266165,-122.720862,Southeast,Macro Cell,Normal
TWR100253,Site-LakeTamaraland-253,37.299518,-111.01813,West,Macro Cell,Near Capacity
TWR100254,Site-PortMarkfurt-254,49.421275,-71.936578,Pacific Northwest,Macro Cell,Normal
TWR100255,Site-NewMarcberg-255,49.161697,-72.149277,Midwest,Macro Cell,Normal
TWR100256,Site-Marshallmouth-256,32.77762,-109.22986,Pacific Northwest,Macro Cell,Normal
TWR100257,Site-Eddieberg-257,32.804708,-92.631907,Pacific Northwest,Small Cell,Normal
TWR100258,Site-NorthGlennshire-258,27.130023,-106.902292,West,DAS,Congested
TWR100259,Site-Torreshaven-259,39.177546,-82.275911,West,Macro Cell,Normal
TWR100260,Site-PortJoseph-260,44.654473,-101.078191,Northeast,Small Cell,Normal
TWR100261,Site-EastElizabeth-261,31.977393,-114.706597,Northeast,Macro Cell,Normal
TWR100262,Site-Wardland-262,48.912597,-106.111439,West,Macro Cell,Near Capacity
TWR100263,Site-Elizabethmouth-263,40.540862,-79.236508,Northeast,Macro Cell,Normal
TWR100264,Site-Davisbury-264,30.817982,-121.036317,West,Rooftop,Normal
TWR100265,Site-WestMichael-265,26.781589,-108.877763,Pacific Northwest,Small Cell,Normal
TWR100266,Site-EastRuth-266,43.922186,-101.667176,Northeast,Small Cell,Congested
TWR100267,Site-Williamsonborough-267,32.19706,-80.152673,Northeast,Small Cell,Normal
TWR100268,Site-SouthVanessaborough-268,32.643085,-118.139107,Midwest,Macro Cell,Normal
TWR100269,Site-NewNicole-269,36.763403,-93.72205,Midwest,Macro Cell,Normal
TWR100270,Site-EastJohnview-270,47.126134,-112.749861,Pacific Northwest,Small Cell,Near Capacity
TWR100271,Site-Amandatown-271,35.445874,-112.958375,Northeast,Macro Cell,Normal
TWR100272,Site-EastJameston-272,41.528856,-101.388668,Northeast,Small Cell,Normal
TWR100273,Site-Alvaradoshire-273,38.365425,-118.752018,Pacific Northwest,Macro Cell,Normal
TWR100274,Site-Waltersmouth-274,35.059736,-74.386768,Southeast,Macro Cell,Congested
TWR100275,Site-PortJohn-275,42.626282,-112.982712,Pacific Northwest,Macro Cell,Normal
TWR100276,Site-PortValeriemouth-276,27.182702,-123.842044,Midwest,Macro Cell,Normal
TWR100277,Site-Sarahton-277,48.094464,-121.31384,Pacific Northwest,Rooftop,Normal
TWR100278,Site-Matthewshire-278,45.544468,-93.850571,Southwest,Small Cell,Normal
TWR100279,Site-SouthDawnton-279,41.058373,-113.946504,Midwest,Macro Cell,Near Capacity
TWR100280,Site-Bryanborough-280,44.347315,-71.157191,Southwest,Macro Cell,Normal
TWR100281,Site-LakeRaymondmouth-281,31.798944,-98.161432,Pacific Northwest,Small Cell,Normal
TWR100282,Site-NorthAaronview-282,46.981566,-102.053029,Southwest,Macro Cell,Normal
TWR100283,Site-NorthGarybury-283,47.63668,-74.139009,Pacific Northwest,Macro Cell,Normal
TWR100284,Site-Davidberg-284,32.663406,-77.574106,West,Macro Cell,Normal
TWR100285,Site-Patelchester-285,48.679928,-114.998319,Southwest,Small Cell,Normal
TWR100286,Site-LakeAshleyberg-286,25.363658,-110.767554,Midwest,Macro Cell,Near Capacity
TWR100287,Site-PortBill-287,48.903785,-78.19335,Southwest,Macro Cell,Normal
TWR100288,Site-Theresafort-288,30.904487,-100.43381,Southwest,Macro Cell,Normal
TWR100289,Site-WestBeth-289,28.780415,-116.513985,West,Macro Cell,Normal
TWR100290,Site-Kennethfurt-290,34.308292,-72.450793,Northeast,Macro Cell,Near Capacity
TWR100291,Site-Brownview-291,26.029869,-81.756771,Northeast,Macro Cell,Near Capacity
TWR100292,Site-Osborneberg-292,29.569579,-109.547305,Southwest,DAS,Normal
TWR100293,Site-Skinnerview-293,29.383242,-115.505175,Southeast,Macro Cell,Near Capacity
TWR100294,Site-PortMelissachester-294,36.017622,-83.477827,Southeast,Macro Cell,Normal
TWR100295,Site-Matthewfurt-295,28.482852,-67.917151,Northeast,Macro Cell,Normal
TWR100296,Site-SouthClaire-296,46.032099,-98.956709,West,Macro Cell,Normal
TWR100297,Site-Emilyfurt-297,34.142724,-91.093373,Midwest,Macro Cell,Congested
TWR100298,Site-SouthEmily-298,47.666542,-99.990381,Southwest,Macro Cell,Near Capacity
TWR100299,Site-Lindseyfurt-299,29.955605,-104.251351,Northeast,Small Cell,Normal
TWR100300,Site-PortDeborahhaven-300,34.641567,-74.743842,Southeast,Macro Cell,Normal
TWR100301,Site-NorthLeeport-301,43.157753,-96.166217,Southwest,Rooftop,Normal
TWR100302,Site-Wendyhaven-302,28.39657,-72.094418,Pacific Northwest,Small Cell,Normal
TWR100303,Site-Samanthaview-303,28.967497,-68.502177,Southeast,Macro Cell,Normal
