customer_id,recommended_action,action_type,priority_rank,generated_date
CUST100000882,Recommend Plan Upgrade,Retention,1,2026-07-04
CUST100052344,Schedule Win-back Call,Service,1,2026-07-11
CUST100038549,Recommend Plan Upgrade,Upsell,4,2026-07-13
CUST100019086,Recommend Plan Upgrade,Service,1,2026-07-15
CUST100081161,Offer Device Trade-In,Service,5,2026-07-09
CUST100046580,Offer Retention Discount,Retention,2,2026-07-22
CUST100077962,Recommend Plan Upgrade,Upsell,2,2026-07-03
CUST100024603,Offer Device Trade-In,Retention,2,2026-07-13
CUST100059491,Schedule Win-back Call,Retention,1,2026-07-06
CUST100059417,Offer Device Trade-In,Loyalty,3,2026-07-08
CUST100004953,Send Proactive Outage Alert,Retention,3,2026-07-11
CUST100073656,Recommend Plan Upgrade,Loyalty,5,2026-07-03
CUST100026738,Send Proactive Outage Alert,Service,2,2026-07-03
CUST100072588,Invite to Loyalty Program,Loyalty,2,2026-07-19
CUST100082005,Offer Retention Discount,Service,2,2026-07-17
CUST100090439,Offer Device Trade-In,Retention,2,2026-07-19
CUST100090218,Offer Retention Discount,Retention,1,2026-07-02
CUST100077963,Offer Device Trade-In,Retention,4,2026-07-05
CUST100005663,Send Proactive Outage Alert,Retention,2,2026-07-17
CUST100048983,Recommend Plan Upgrade,Service,5,2026-07-01
CUST100052084,Schedule Win-back Call,Upsell,3,2026-07-17
CUST100015786,Recommend Plan Upgrade,Service,5,2026-07-23
CUST100052184,Offer Retention Discount,Upsell,3,2026-07-23
CUST100086391,Send Proactive Outage Alert,Upsell,4,2026-07-19
CUST100037848,Send Proactive Outage Alert,Service,5,2026-07-02
CUST100066631,Send Proactive Outage Alert,Loyalty,1,2026-07-12
CUST100073748,Schedule Win-back Call,Retention,4,2026-07-10
CUST100070481,Offer Retention Discount,Loyalty,1,2026-07-21
CUST100069555,Recommend Plan Upgrade,Loyalty,4,2026-07-18
CUST100068489,Schedule Win-back Call,Retention,2,2026-07-12
CUST100068193,Offer Device Trade-In,Loyalty,3,2026-07-07
CUST100067247,Invite to Loyalty Program,Upsell,2,2026-07-22
CUST100072336,Schedule Win-back Call,Upsell,3,2026-07-14
CUST100009098,Offer Retention Discount,Upsell,3,2026-07-21
CUST100050550,Schedule Win-back Call,Loyalty,2,2026-07-23
CUST100073166,Send Proactive Outage Alert,Service,5,2026-07-02
CUST100057235,Invite to Loyalty Program,Loyalty,4,2026-07-18
CUST100075920,Offer Retention Discount,Retention,1,2026-07-02
CUST100008121,Offer Retention Discount,Service,5,2026-07-06
CUST100054162,Schedule Win-back Call,Retention,1,2026-07-17
CUST100028442,Offer Device Trade-In,Service,3,2026-07-22
CUST100062403,Offer Retention Discount,Loyalty,4,2026-07-20
CUST100039465,Offer Retention Discount,Service,3,2026-07-19
CUST100092221,Send Proactive Outage Alert,Loyalty,3,2026-07-12
CUST100043867,Send Proactive Outage Alert,Service,4,2026-07-03
CUST100088893,Invite to Loyalty Program,Loyalty,5,2026-07-21
CUST100000859,Invite to Loyalty Program,Retention,4,2026-07-01
CUST100081032,Send Proactive Outage Alert,Service,2,2026-07-23
CUST100074498,Invite to Loyalty Program,Upsell,5,2026-07-06
CUST100032775,Offer Device Trade-In,Loyalty,4,2026-07-03
CUST100017652,Send Proactive Outage Alert,Retention,2,2026-07-04
CUST100013829,Send Proactive Outage Alert,Loyalty,1,2026-07-22
CUST100095479,Schedule Win-back Call,Upsell,5,2026-07-04
CUST100086076,Schedule Win-back Call,Service,4,2026-07-11
CUST100084465,Send Proactive Outage Alert,Upsell,5,2026-07-07
CUST100069202,Recommend Plan Upgrade,Service,4,2026-07-20
CUST100017641,Offer Device Trade-In,Upsell,2,2026-07-06
CUST100034462,Recommend Plan Upgrade,Service,1,2026-07-03
CUST100090314,Send Proactive Outage Alert,Service,1,2026-07-04
CUST100060620,Recommend Plan Upgrade,Loyalty,3,2026-07-06
CUST100000895,Offer Device Trade-In,Service,4,2026-07-07
CUST100035490,Invite to Loyalty Program,Upsell,3,2026-07-12
CUST100058232,Invite to Loyalty Program,Loyalty,2,2026-07-05
CUST100045179,Offer Retention Discount,Upsell,5,2026-07-23
CUST100026973,Schedule Win-back Call,Loyalty,4,2026-07-18
CUST100046340,Offer Device Trade-In,Loyalty,4,2026-07-23
CUST100059063,Send Proactive Outage Alert,Retention,3,2026-07-01
CUST100094110,Schedule Win-back Call,Loyalty,1,2026-07-07
CUST100043467,Invite to Loyalty Program,Retention,4,2026-07-03
CUST100048907,Offer Retention Discount,Upsell,3,2026-07-10
CUST100026117,Schedule Win-back Call,Upsell,2,2026-07-09
CUST100092531,Offer Device Trade-In,Loyalty,3,2026-07-15
CUST100090164,Offer Device Trade-In,Loyalty,1,2026-07-03
CUST100009796,Offer Device Trade-In,Upsell,5,2026-07-10
CUST100009617,Send Proactive Outage Alert,Upsell,4,2026-07-19
CUST100077304,Offer Retention Discount,Upsell,5,2026-07-10
CUST100072209,Offer Device Trade-In,Service,3,2026-07-02
CUST100072008,Offer Device Trade-In,Upsell,3,2026-07-01
CUST100067796,Invite to Loyalty Program,Loyalty,1,2026-07-14
CUST100027363,Send Proactive Outage Alert,Retention,5,2026-07-15
CUST100000126,Send Proactive Outage Alert,Retention,5,2026-07-04
CUST100020013,Offer Device Trade-In,Upsell,3,2026-07-15
CUST100098559,Send Proactive Outage Alert,Loyalty,3,2026-07-20
CUST100046165,Schedule Win-back Call,Retention,2,2026-07-15
CUST100097460,Send Proactive Outage Alert,Service,1,2026-07-23
CUST100051964,Recommend Plan Upgrade,Upsell,4,2026-07-10
CUST100005355,Invite to Loyalty Program,Retention,4,2026-07-05
CUST100038648,Schedule Win-back Call,Service,5,2026-07-13
CUST100000049,Offer Device Trade-In,Loyalty,1,2026-07-19
CUST100053035,Send Proactive Outage Alert,Service,3,2026-07-21
CUST100046346,Offer Device Trade-In,Upsell,3,2026-07-05
CUST100042949,Offer Retention Discount,Service,3,2026-07-02
CUST100046123,Invite to Loyalty Program,Retention,5,2026-07-23
CUST100006744,Invite to Loyalty Program,Retention,4,2026-07-07
CUST100033725,Invite to Loyalty Program,Retention,4,2026-07-01
CUST100050338,Offer Device Trade-In,Service,2,2026-07-09
CUST100067346,Schedule Win-back Call,Service,2,2026-07-14
CUST100064993,Recommend Plan Upgrade,Service,5,2026-07-08
CUST100043656,Invite to Loyalty Program,Loyalty,4,2026-07-01
CUST100008447,Recommend Plan Upgrade,Service,5,2026-07-14
CUST100044601,Recommend Plan Upgrade,Service,1,2026-07-08
CUST100088548,Schedule Win-back Call,Service,2,2026-07-13
CUST100033971,Offer Retention Discount,Upsell,5,2026-07-10
CUST100040641,Offer Retention Discount,Retention,4,2026-07-03
CUST100048823,Offer Device Trade-In,Service,3,2026-07-02
CUST100037119,Recommend Plan Upgrade,Service,2,2026-07-06
CUST100032982,Recommend Plan Upgrade,Service,5,2026-07-14
CUST100091544,Offer Retention Discount,Service,5,2026-07-20
CUST100043223,Offer Retention Discount,Service,1,2026-07-03
CUST100048845,Offer Device Trade-In,Service,2,2026-07-09
CUST100063313,Offer Device Trade-In,Retention,1,2026-07-20
CUST100059231,Send Proactive Outage Alert,Service,2,2026-07-05
CUST100052271,Offer Retention Discount,Service,1,2026-07-03
CUST100051315,Schedule Win-back Call,Service,2,2026-07-12
CUST100072237,Offer Retention Discount,Retention,1,2026-07-15
CUST100020663,Send Proactive Outage Alert,Loyalty,4,2026-07-12
CUST100054167,Recommend Plan Upgrade,Loyalty,5,2026-07-19
CUST100096460,Schedule Win-back Call,Loyalty,4,2026-07-13
CUST100090582,Schedule Win-back Call,Retention,3,2026-07-12
CUST100073102,Offer Retention Discount,Upsell,1,2026-07-11
CUST100095710,Offer Retention Discount,Upsell,2,2026-07-19
CUST100041413,Recommend Plan Upgrade,Retention,4,2026-07-22
CUST100096424,Offer Device Trade-In,Retention,5,2026-07-04
CUST100082251,Offer Device Trade-In,Upsell,3,2026-07-09
CUST100097227,Recommend Plan Upgrade,Loyalty,1,2026-07-18
CUST100071923,Schedule Win-back Call,Loyalty,5,2026-07-17
CUST100047299,Offer Device Trade-In,Loyalty,4,2026-07-11
CUST100069351,Offer Retention Discount,Service,5,2026-07-11
CUST100000539,Send Proactive Outage Alert,Service,1,2026-07-06
CUST100028965,Recommend Plan Upgrade,Service,5,2026-07-13
CUST100068859,Schedule Win-back Call,Upsell,2,2026-07-13
CUST100051732,Send Proactive Outage Alert,Loyalty,1,2026-07-02
CUST100092645,Recommend Plan Upgrade,Retention,4,2026-07-18
CUST100050175,Send Proactive Outage Alert,Service,4,2026-07-13
CUST100042841,Schedule Win-back Call,Service,1,2026-07-15
CUST100047997,Recommend Plan Upgrade,Retention,1,2026-07-09
CUST100031948,Invite to Loyalty Program,Upsell,1,2026-07-22
CUST100097149,Invite to Loyalty Program,Retention,2,2026-07-23
CUST100015926,Recommend Plan Upgrade,Retention,4,2026-07-18
CUST100033167,Send Proactive Outage Alert,Retention,5,2026-07-09
CUST100023609,Invite to Loyalty Program,Upsell,1,2026-07-02
CUST100066837,Invite to Loyalty Program,Loyalty,5,2026-07-20
