dunning_id,customer_id,invoice_id,dunning_stage,notice_date,action_taken,resolved_flag
DUNB29AAE3FE2,CUST100030217,INV33C043AE67,Reminder,2026-03-05,Email Sent,True
DUN452C09A334,CUST100089916,INV7FA1F0E821,Reminder,2026-04-10,SMS Sent,True
DUNDCA642214A,CUST100031099,INV0B84A29EF1,First Notice,2026-03-18,Call Placed,False
DUN60E141B573,CUST100071893,INV0DDA4E8507,Collections Referral,2026-03-06,Call Placed,True
DUNC41DCAEFD3,CUST100073968,INV0C49920954,Reminder,2026-05-02,Call Placed,False
DUN1745C69609,CUST100096156,INV72C892921C,First Notice,2026-03-15,Email Sent,True
DUN240BA6F8C1,CUST100037947,INVB2E75D6756,Final Notice,2026-04-16,Call Placed,True
DUN3456E2D7F9,CUST100027250,INV77DE2FAD14,Reminder,2026-02-08,Call Placed,False
DUNC4E0689FF0,CUST100045038,INVB2CD24FB6C,Reminder,2026-03-25,None,False
DUN15DEFA6884,CUST100063537,INVFECF2910D4,First Notice,2026-01-22,SMS Sent,True
DUNC5AC72FC53,CUST100048012,INV15AA991CE4,Final Notice,2026-02-10,Service Restricted,True
DUN0CF01DFEC9,CUST100009854,INVB81C6148B7,Collections Referral,2026-02-06,Email Sent,True
DUN130030B9E7,CUST100094598,INV54B86DD032,First Notice,2026-03-24,Service Restricted,True
DUNF9DCA34E53,CUST100015293,INV89CE2D04DA,Reminder,2026-01-26,SMS Sent,True
DUNE8BDF93711,CUST100015497,INV04BC0AB92D,Collections Referral,2026-02-18,SMS Sent,True
DUN3A67A7A680,CUST100005932,INV7C29173AE5,First Notice,2026-07-19,SMS Sent,True
DUNBAF8500300,CUST100078005,INV5D108444C2,Collections Referral,2026-07-09,Email Sent,True
DUN8F2E2114DF,CUST100085598,INV8498E27312,First Notice,2026-02-06,Email Sent,True
DUN91225AEED7,CUST100035480,INV120F386958,Final Notice,2026-05-14,Service Restricted,True
DUN36B329986B,CUST100029064,INVE76A17C8FD,Reminder,2026-07-22,Call Placed,True
DUNC714BAA156,CUST100070996,INV24595247AF,First Notice,2026-05-19,Email Sent,True
DUND9638192DA,CUST100074755,INV2AD2A176E8,Final Notice,2026-01-07,None,True
DUNB396DCB20A,CUST100015358,INV283D6ED170,Final Notice,2026-02-15,Email Sent,True
DUNB13B9BF410,CUST100072140,INVDF300BE5E0,Collections Referral,2026-04-14,Email Sent,False
DUNC437A0CDC4,CUST100034930,INVCCD80C3129,Collections Referral,2026-01-07,SMS Sent,False
DUN478B1B2570,CUST100028555,INV73F8A47916,Reminder,2026-01-14,None,True
DUN2C6B7B52CE,CUST100027894,INV4722374E45,Collections Referral,2026-03-12,None,True
DUND4DFE86A70,CUST100005913,INVED38921854,First Notice,2026-06-15,None,True
DUNC5792778A7,CUST100066605,INVE96E7EB2A5,Reminder,2026-04-30,None,True
DUN8BD6229477,CUST100007744,INV9D129396B1,Collections Referral,2026-04-24,Call Placed,False
DUNBCB04AF677,CUST100046055,INV659A7B5369,Final Notice,2026-05-04,None,False
DUN161ED0C48D,CUST100081723,INVA92CB3782B,First Notice,2026-03-22,Email Sent,True
DUND8F67A0EBF,CUST100042780,INV8CBF90D297,Reminder,2026-05-22,SMS Sent,False
DUN9D0269E929,CUST100065629,INV7653657ACD,Reminder,2026-02-25,Service Restricted,False
DUNA1B7A7F1EE,CUST100007572,INVB8BFEA1308,Final Notice,2026-04-04,Service Restricted,False
DUNBB121DE26C,CUST100086535,INVF5F46DB333,Service Suspension,2026-02-16,Service Restricted,True
DUN3084E3C315,CUST100065553,INV7537C05CEC,First Notice,2026-06-07,Service Restricted,True
DUNC4494A79D7,CUST100028972,INV080546760C,Reminder,2026-07-21,SMS Sent,True
DUN7603FE36C9,CUST100016277,INV0D643BB044,Reminder,2026-04-28,SMS Sent,True
DUN5C1C23C09E,CUST100023064,INVE00E31EC7B,First Notice,2026-02-27,Service Restricted,False
DUN2DC4366F38,CUST100057977,INV69121550DC,First Notice,2026-01-10,Call Placed,False
DUN040D6D35DA,CUST100003439,INV4C518A3372,Reminder,2026-01-29,Email Sent,True
DUN586BFECD38,CUST100050216,INV80C3A1A8FD,Reminder,2026-03-16,Email Sent,True
DUN786D3C79AB,CUST100049389,INV2039AAD816,Reminder,2026-03-19,Call Placed,True
DUN13A1E17F5E,CUST100019960,INV6315FD2410,Reminder,2026-02-12,Call Placed,True
DUN1E0C3BD3FF,CUST100038455,INVB529354C8C,First Notice,2026-02-26,Email Sent,True
DUN094465D4A3,CUST100094250,INV5758D364E5,Reminder,2026-06-21,None,False
DUN3B5E2DB0F4,CUST100030696,INVA567A68CA3,Collections Referral,2026-02-07,None,True
DUN506AB75934,CUST100095930,INV9F6BDB33C7,Final Notice,2026-02-03,SMS Sent,False
DUN5E074BABEE,CUST100046507,INV0719C71911,Collections Referral,2026-05-13,Service Restricted,False
DUN083E418212,CUST100078034,INVCB827A75A8,First Notice,2026-01-22,SMS Sent,True
DUN295D467853,CUST100065829,INVF9C378541B,Final Notice,2026-01-10,None,True
DUN655B0D0EF9,CUST100075026,INV8CDAAC40B6,First Notice,2026-02-23,Service Restricted,False
DUN65ED9D8BCD,CUST100001629,INVB47C8903DB,Final Notice,2026-01-09,Service Restricted,False
DUNBC7F72E99A,CUST100087347,INVB2B203975E,First Notice,2026-06-16,Service Restricted,True
DUN0C105C9FAA,CUST100092848,INV4EEF435C71,First Notice,2026-03-31,Call Placed,True
DUNF6DC5D57E2,CUST100015722,INV15731ED537,First Notice,2026-07-10,None,True
DUNB3183467AC,CUST100007222,INV0DB75906E5,Final Notice,2026-07-17,Service Restricted,True
DUN165BD819D1,CUST100068529,INVEC24A682A0,First Notice,2026-05-03,Email Sent,True
DUNA3AA05E6AC,CUST100038468,INV1A5519DE97,First Notice,2026-03-31,Email Sent,False
DUN174F99B826,CUST100060722,INV26188FA2AA,Final Notice,2026-02-19,Service Restricted,False
DUN91D9580FED,CUST100011334,INV991E0333D3,First Notice,2026-04-29,Call Placed,True
DUND822563875,CUST100083879,INV66AB4DB0C9,Final Notice,2026-07-17,Service Restricted,True
DUNB67349909C,CUST100043594,INV954E7B89B3,Final Notice,2026-06-28,Service Restricted,True
DUN73FEAE208A,CUST100073431,INV21AF016075,Collections Referral,2026-05-25,SMS Sent,True
DUN85C0FAAFF7,CUST100028799,INVE3B679609E,Collections Referral,2026-02-12,None,True
DUNC007138BA6,CUST100076444,INV2925A3B149,Reminder,2026-02-22,None,True
DUNFD4A5D62A3,CUST100080756,INV4957DA1F4F,First Notice,2026-04-25,Call Placed,True
DUN783E90AAE7,CUST100012489,INVBEDC51363E,Final Notice,2026-05-07,Call Placed,True
DUNEB8B24CCF9,CUST100038322,INV9CBD13E704,Reminder,2026-02-09,Call Placed,False
DUN262A9D1BE2,CUST100024598,INV3EEBFFB4C5,Reminder,2026-02-24,SMS Sent,True
DUN841F8C7662,CUST100039110,INVE40C12B55E,Collections Referral,2026-01-22,Email Sent,True
DUNCA103C7069,CUST100052000,INV38E471A9EB,Reminder,2026-04-12,Service Restricted,True
DUN534D70F886,CUST100041599,INV1A43F4989C,Collections Referral,2026-06-08,Service Restricted,False
DUN9718F4D1A8,CUST100005673,INVD038E38FA6,First Notice,2026-04-27,None,True
DUN32D6D46ACF,CUST100069611,INV67890A6705,Reminder,2026-06-27,None,False
DUN30827B9BD4,CUST100085227,INV233E45649F,Final Notice,2026-05-30,None,True
DUN59C072CB53,CUST100021162,INV6D4E7F8AB7,First Notice,2026-01-11,Call Placed,True
DUN1B8CBF2469,CUST100033721,INVBE9B7E0C00,Reminder,2026-01-07,Call Placed,True
DUN4AD207A24E,CUST100056035,INV7B7D2160EA,Collections Referral,2026-04-17,Email Sent,False
DUNC85734B4AC,CUST100034943,INVD05F9D4592,First Notice,2026-05-12,Call Placed,True
DUN72A4E52738,CUST100016141,INV372702C8E9,Reminder,2026-03-24,None,True
DUND1898E5FB0,CUST100069231,INV021925C851,First Notice,2026-06-15,Service Restricted,True
DUN6CD8CFAD68,CUST100040916,INV147A3F9737,First Notice,2026-07-23,Call Placed,False
DUN5D0671F9B9,CUST100063545,INVA98689C780,Final Notice,2026-04-26,Service Restricted,True
DUN00C712AB2C,CUST100095709,INV77A4DA4B9F,First Notice,2026-07-11,None,True
DUN058FBC5F06,CUST100095698,INVAB3698FDB9,Final Notice,2026-03-11,None,False
DUN7A49C4A7D2,CUST100048884,INV0ED3ECC429,First Notice,2026-04-05,Service Restricted,False
DUNAC57EFAE3C,CUST100010458,INVA481EE635A,Reminder,2026-04-28,Call Placed,True
DUN979F3D4468,CUST100046800,INV82D1DDE26E,Reminder,2026-07-10,Email Sent,True
DUN36874B0F29,CUST100017370,INVBE08C96F38,Reminder,2026-03-24,Email Sent,False
DUN9CED22319F,CUST100091610,INV8F98A4EB6B,Final Notice,2026-06-07,Service Restricted,False
DUN3CDE753053,CUST100004624,INV5E3EA1BDBF,Final Notice,2026-05-23,Email Sent,True
DUN905FE9EA6B,CUST100083166,INVD42D388284,Reminder,2026-01-24,Call Placed,True
DUNE9C3C357DF,CUST100095035,INVE4E9CE1A01,First Notice,2026-03-02,SMS Sent,True
DUN284ECF0471,CUST100006660,INVCCBC67E204,Reminder,2026-04-27,SMS Sent,True
DUNA71C50A85E,CUST100011113,INV0BE67CAD61,Reminder,2026-07-03,Email Sent,False
DUN025F39CBAE,CUST100057053,INV02AC0AE0C0,Reminder,2026-01-10,SMS Sent,True
DUN8228FABCAA,CUST100024451,INV0FC5F18757,Collections Referral,2026-01-29,Service Restricted,True
DUN3C98968CBF,CUST100066528,INV4C2179210E,Reminder,2026-07-05,Service Restricted,True
DUNEC9029B8C5,CUST100036768,INVBAFCC56E35,Final Notice,2026-04-12,None,True
DUN0E5C20A656,CUST100001538,INV12465F0789,Reminder,2026-05-23,None,True
DUN4DE12AEBE1,CUST100096211,INV5A0AFB2740,Collections Referral,2026-02-21,Service Restricted,True
DUN52343FAC67,CUST100035260,INVE756ED4321,Reminder,2026-06-29,SMS Sent,True
DUN83C7088D8E,CUST100050459,INV438198AB07,Final Notice,2026-04-29,Call Placed,True
DUN905B600EB3,CUST100024919,INV6FDC9BE204,First Notice,2026-05-30,Service Restricted,True
DUN9FC73AFCC1,CUST100008616,INVD0446F2D8A,First Notice,2026-02-09,Email Sent,False
DUND9AE9B3C5C,CUST100032728,INVED688D5BFA,First Notice,2026-03-04,Email Sent,True
DUN337B124F32,CUST100014205,INV7A760E1DDC,Final Notice,2026-05-19,SMS Sent,False
DUN891D14B405,CUST100043854,INVDAD3AACBA4,Reminder,2026-02-08,Email Sent,True
DUNC49177B518,CUST100032817,INVA646F27ECF,Reminder,2026-02-09,SMS Sent,True
DUNA52D88D545,CUST100000532,INV687597A025,Reminder,2026-03-10,Email Sent,True
DUN5B437229DF,CUST100019617,INVFFE1FF46CD,First Notice,2026-01-15,Call Placed,False
DUN7152022CD0,CUST100063995,INV5E54C6CE3B,Final Notice,2026-06-25,Email Sent,True
DUN512C4A227C,CUST100035748,INV68BFC08C50,Final Notice,2026-07-22,Service Restricted,False
DUNAFBD3E041A,CUST100011340,INVDC1719AF1D,Final Notice,2026-01-02,None,True
DUN14BF43242D,CUST100028904,INV1917B420EC,Service Suspension,2026-06-30,Email Sent,False
DUNAAE684C0F5,CUST100034243,INV83898CF204,First Notice,2026-02-17,Email Sent,True
DUN619CCD2E6C,CUST100097907,INV28C0743AF9,Reminder,2026-02-06,Call Placed,False
DUND393E15D3F,CUST100019050,INVB5D0D99D08,First Notice,2026-06-11,None,False
DUN37E47935BA,CUST100099951,INV8549EE4BE5,First Notice,2026-02-26,Email Sent,False
DUN92619F1422,CUST100033918,INV869FF98968,Service Suspension,2026-06-05,Email Sent,True
DUN033A26AF19,CUST100084107,INV215DBECB59,Service Suspension,2026-04-17,None,False
DUNE8B917BF01,CUST100067909,INVBEB87FEC88,Collections Referral,2026-02-11,Service Restricted,False
DUNA76741871F,CUST100079131,INVAB8922A0EE,First Notice,2026-03-21,Service Restricted,True
DUNE9696209DE,CUST100018634,INV4C47917B82,First Notice,2026-04-28,None,True
DUNA0EC29A728,CUST100071060,INV83A3A090E2,Service Suspension,2026-03-19,Call Placed,True
DUN1E78530D23,CUST100043772,INVEA9D277D2D,Collections Referral,2026-05-06,None,False
DUNE0C25CA963,CUST100057271,INVD8DDC24D93,Reminder,2026-02-16,Email Sent,True
DUN45F796F51C,CUST100013563,INV1173321A91,Final Notice,2026-07-20,None,True
DUN2F7EB09C6E,CUST100031663,INV35CAC2881D,First Notice,2026-01-12,Email Sent,False
DUN9ECDE346A8,CUST100091674,INV4FF163BB06,First Notice,2026-05-04,Service Restricted,False
DUNC9E07EB3DD,CUST100062033,INV2C5D231521,First Notice,2026-03-23,Call Placed,True
DUN9667B3944F,CUST100030260,INV17946E7B17,Final Notice,2026-02-25,Service Restricted,True
DUN49926A4A04,CUST100050846,INV27832D35B4,Reminder,2026-03-11,None,False
DUNB383FFA8F6,CUST100065096,INV732E9F7920,First Notice,2026-01-22,Email Sent,False
DUN501555C378,CUST100054174,INVC22EF8CEF6,Reminder,2026-02-23,SMS Sent,True
DUNDDB2CD1867,CUST100061989,INVE83D489FE9,Reminder,2026-04-04,Email Sent,True
DUN457813E3EC,CUST100003345,INV5BEA2EB642,First Notice,2026-06-22,Email Sent,False
DUN34203A624B,CUST100094804,INV0EDD634E70,First Notice,2026-06-04,Email Sent,True
DUN31BB88632F,CUST100024840,INVA74832FD31,Final Notice,2026-05-31,Call Placed,False
DUN7263EEB060,CUST100087255,INV3D5DC10A26,First Notice,2026-06-10,Call Placed,True
DUN561E894CAD,CUST100077594,INVE34EC7A7BA,First Notice,2026-01-19,SMS Sent,True
DUN9B177B78C8,CUST100040223,INVC55295E32A,Reminder,2026-06-23,Service Restricted,True
DUN1CB561D933,CUST100008063,INV3FCEE41A90,First Notice,2026-02-21,SMS Sent,False
DUN37D06EE263,CUST100061996,INV1368701B0F,Reminder,2026-05-17,Service Restricted,True
DUNB5FDBC8AF9,CUST100085481,INV7BCC495EBF,Final Notice,2026-03-28,Call Placed,True
DUN7A96670C29,CUST100071878,INVD651932B2E,Final Notice,2026-05-03,SMS Sent,True
DUN48D72348E9,CUST100015070,INV74C7D86A0F,Final Notice,2026-01-06,SMS Sent,True
DUNF5CFD84C61,CUST100079980,INV945224907E,Reminder,2026-07-13,None,False
DUN0167C5D545,CUST100099398,INV033D3A136B,Reminder,2026-05-26,SMS Sent,True
DUNDFE5F890A9,CUST100084813,INV918DDA747C,Final Notice,2026-03-27,SMS Sent,True
DUN0AD87E2713,CUST100010554,INVD46A3E646F,Reminder,2026-01-31,Email Sent,True
DUNAB8063FD61,CUST100084947,INV957A577DA8,Collections Referral,2026-02-18,None,False
DUNCF5C1C54E9,CUST100085914,INV00242761DE,Collections Referral,2026-03-07,Service Restricted,False
DUND93C545639,CUST100083174,INVE5E5A47E4E,Reminder,2026-04-28,None,True
DUN066718D3E5,CUST100040199,INV24B48703DA,First Notice,2026-05-01,None,True
DUNBBC5A9B306,CUST100034474,INV26A20E0706,Service Suspension,2026-01-01,None,True
DUN21A6BF8F93,CUST100002875,INVE49CF99D4F,Reminder,2026-05-30,SMS Sent,True
DUNAAF0F4BDC4,CUST100082884,INVC75BAF0302,Final Notice,2026-06-04,Call Placed,True
DUN2877AD377A,CUST100056945,INV17EED1FFD9,Reminder,2026-05-07,Call Placed,False
DUN2296396141,CUST100083494,INVEFB7DDDE02,First Notice,2026-04-29,Call Placed,True
DUN89B3EE0CF8,CUST100003789,INV7468B09391,Collections Referral,2026-06-02,None,True
DUN0378C373D9,CUST100035243,INV6998988FFA,Reminder,2026-03-20,None,True
DUN69B9AFB330,CUST100054311,INV29B36F32E7,Collections Referral,2026-01-20,None,True
DUN6F9F5D969A,CUST100079948,INV08EBB8F537,Reminder,2026-04-01,Call Placed,True
DUNE532BDA39D,CUST100074312,INVB85F399193,Reminder,2026-06-16,None,True
DUN1025A72469,CUST100065059,INVE60CB919E7,First Notice,2026-06-11,Call Placed,False
DUN85ACC2B2A9,CUST100028810,INVD420476849,Service Suspension,2026-01-19,Email Sent,True
DUN0732189511,CUST100007745,INV96913FFF8B,First Notice,2026-06-26,Service Restricted,False
DUNAC9BEDDD06,CUST100056297,INV8E399D9086,First Notice,2026-05-26,Call Placed,True
DUNF792FEFFC5,CUST100029820,INV35E2AA55D5,Reminder,2026-01-17,Email Sent,True
DUNA84CDA310A,CUST100037549,INV9E97273FF5,Reminder,2026-05-11,None,True
DUNC68C4445AE,CUST100064835,INVC60B3DF5E3,Reminder,2026-05-19,SMS Sent,False
DUNFBE0B79731,CUST100086746,INV7858C65F18,Reminder,2026-03-20,Service Restricted,True
DUNFB189C49D7,CUST100047564,INVA6B0711BC8,Final Notice,2026-06-09,SMS Sent,False
DUN41682C9694,CUST100023428,INV616639309C,First Notice,2026-06-03,SMS Sent,True
DUN10CDF953D4,CUST100009981,INVFA8C88200E,Reminder,2026-03-26,Call Placed,False
DUN9AA8CF173B,CUST100013888,INV404E224A01,First Notice,2026-05-05,None,False
DUN97A9570CDF,CUST100062560,INVC04873CFF6,First Notice,2026-04-22,SMS Sent,True
DUNB5CD745468,CUST100046167,INVF4DDBC6DE7,Final Notice,2026-05-11,Email Sent,True
DUN2E4F73D477,CUST100025489,INV4FFC706A43,Reminder,2026-06-13,Call Placed,True
DUN1DCC5CE040,CUST100048906,INV30F13614D2,First Notice,2026-02-19,None,False
DUN0625DAE342,CUST100062540,INV2C941ACC8E,Final Notice,2026-05-13,Call Placed,True
DUNC32987D352,CUST100059300,INV0A4D349F9F,Final Notice,2026-03-15,Call Placed,True
DUNBF1AB48DA5,CUST100047501,INV25F423B942,First Notice,2026-04-30,None,False
DUN56B53D11E9,CUST100024210,INV29497C0A52,Reminder,2026-07-03,Email Sent,False
DUN2CD053C7D4,CUST100000019,INV7D26FE7829,Collections Referral,2026-05-19,Service Restricted,True
DUN86422D5A18,CUST100061335,INV3051D6C8C0,Reminder,2026-06-18,None,True
DUN71857EB8AE,CUST100081894,INV4DAB617441,First Notice,2026-04-09,None,False
DUN922B5FE8B2,CUST100002736,INVBAFA836A5D,Reminder,2026-05-09,SMS Sent,False
DUN01CDB9CF93,CUST100035286,INV6509970D75,Reminder,2026-04-28,Service Restricted,True
DUN014EC28331,CUST100087544,INV43AF502505,Final Notice,2026-02-20,Service Restricted,True
DUNDFD3F8E1FD,CUST100004518,INV1252E9183A,Reminder,2026-01-11,Call Placed,True
DUNA8C3EFD0CA,CUST100036163,INVA8E91518D5,First Notice,2026-01-02,SMS Sent,True
DUN5897E357E7,CUST100024263,INVF97D84CD8E,Reminder,2026-02-21,Service Restricted,True
DUNB6CE0605F1,CUST100046046,INVB7E69FDC5E,First Notice,2026-01-06,Email Sent,True
DUNB27A137ED9,CUST100083861,INV45B7627DCB,Reminder,2026-02-17,None,False
DUN869B79754A,CUST100079717,INV3007DCAE3C,First Notice,2026-05-07,Email Sent,True
DUN582FDE6F41,CUST100094059,INVAB7D8F0E84,Reminder,2026-02-22,Service Restricted,True
DUNE96CC8DC76,CUST100016411,INV00767CFF02,Reminder,2026-06-18,SMS Sent,True
DUN2FCF79769B,CUST100066490,INV665EF54F07,Reminder,2026-05-26,None,True
DUN0CF4FFD838,CUST100090081,INV4006E58CD2,Reminder,2026-05-15,Call Placed,False
DUNE344025B7D,CUST100070182,INV461928337D,Reminder,2026-03-23,Call Placed,False
DUNBCB79933DB,CUST100019605,INVCB249F6968,Collections Referral,2026-05-01,None,False
DUNA05070D559,CUST100007606,INV4202F32375,First Notice,2026-07-18,Call Placed,True
DUN34BCB1BDB8,CUST100029868,INV75C80DE27A,First Notice,2026-03-13,Call Placed,True
DUN219D4B6EC0,CUST100013733,INVBE1D3BAF08,Reminder,2026-05-14,SMS Sent,True
DUN3F77A7614D,CUST100012149,INV4EC853F8CC,Final Notice,2026-05-04,Email Sent,True
DUN5ACC5C77BD,CUST100034625,INV8AB32104DE,Collections Referral,2026-03-03,Call Placed,True
DUNF74982E13E,CUST100061354,INV64B45A0033,Reminder,2026-03-25,None,False
DUNDC8B19F178,CUST100081364,INVA67C857C99,Final Notice,2026-07-15,SMS Sent,True
DUN16C93DAC3D,CUST100061320,INVD3F27A80EE,First Notice,2026-06-06,Email Sent,True
DUN1C4A9E03A1,CUST100035909,INVC63DE08065,Reminder,2026-01-27,Call Placed,False
DUN9F3FFC6330,CUST100095351,INVA90228DF70,First Notice,2026-05-09,SMS Sent,True
DUN9FE4543F42,CUST100047543,INVF856A2A3A3,First Notice,2026-05-18,None,False
DUNE26CC267FE,CUST100012458,INV259C8EDCC6,Reminder,2026-02-25,Service Restricted,False
DUN72C6F66B3B,CUST100052172,INV274E9F646F,Reminder,2026-03-03,Call Placed,True
DUN31EDB58C0B,CUST100027427,INV8993A60FE6,Reminder,2026-04-16,Email Sent,True
DUNA5F8CC33AF,CUST100039852,INV29A00D3AF1,First Notice,2026-02-17,SMS Sent,True
DUNE3638E0512,CUST100008120,INV49EE6B3277,Service Suspension,2026-01-31,Email Sent,True
DUN730038BE11,CUST100038603,INV134DA55EEF,Reminder,2026-03-30,Call Placed,False
DUNB2368303AA,CUST100027582,INV8FF7D7A6C1,First Notice,2026-05-11,Email Sent,True
DUNFA028E957C,CUST100035957,INV31C20FF466,Collections Referral,2026-07-01,Service Restricted,True
DUNF47394111D,CUST100042802,INVA48682EDF0,Reminder,2026-05-14,Service Restricted,False
DUN57BE078DFC,CUST100069008,INVE1742967E3,Final Notice,2026-03-16,None,False
DUN9D658D649E,CUST100070348,INVC00436E174,Final Notice,2026-01-26,None,True
DUN496479858D,CUST100070020,INV2A9F0D0FB8,Collections Referral,2026-01-15,None,False
DUNB26EB923C5,CUST100016389,INV72F4C6C5F9,First Notice,2026-07-22,Call Placed,True
DUNE3C4F71250,CUST100046117,INVE8E3C76041,Reminder,2026-07-13,None,True
DUNB4C1F8FB9B,CUST100041989,INV3B98EFA03C,Reminder,2026-04-28,SMS Sent,True
DUN5F3A97E504,CUST100043418,INVA2EE98403E,Reminder,2026-01-28,None,True
DUNECFA3E0F1E,CUST100064789,INVA9EA77D655,Final Notice,2026-04-02,Service Restricted,True
DUNC35F02C95F,CUST100053909,INV2B81FA0445,Reminder,2026-02-21,None,True
DUNE766FA0EC6,CUST100023355,INV2AADFB43DA,Reminder,2026-01-06,SMS Sent,True
DUN121BBF7C33,CUST100097285,INV26C6C2DFCB,Collections Referral,2026-01-01,SMS Sent,True
DUN8B692481B3,CUST100008461,INV4F7F64750B,Final Notice,2026-04-17,Call Placed,True
DUNF6990B8311,CUST100074487,INV3680176C5C,Final Notice,2026-06-16,Email Sent,False
DUN353351B66A,CUST100009056,INV14F2FC047D,Reminder,2026-07-23,Email Sent,True
DUN6D986640AF,CUST100021743,INV0EFC73324C,Final Notice,2026-04-26,Call Placed,False
DUNDCAF34AE51,CUST100098194,INV5C160F2C75,Final Notice,2026-06-23,Service Restricted,False
DUN1BEB631BF7,CUST100041720,INV3FF83F1AE3,First Notice,2026-04-08,Service Restricted,False
DUN4BDF90B571,CUST100004658,INVB84C2606B1,Reminder,2026-07-21,Service Restricted,False
DUNE8FA551390,CUST100007084,INVA17DDFD147,Reminder,2026-02-24,Email Sent,True
DUN3A518D3E5E,CUST100096393,INVC47E4FDC54,Reminder,2026-02-13,None,False
DUNC1B414C4B4,CUST100099885,INV52DC073B3C,Final Notice,2026-07-19,SMS Sent,True
DUN30C8AE2E2E,CUST100069220,INV626BB25B5A,Reminder,2026-04-22,Call Placed,True
DUNAE3CEE5386,CUST100030659,INVADD91B9DFB,Service Suspension,2026-03-22,SMS Sent,False
DUNC62465EB59,CUST100088221,INV2A287E2EE3,Final Notice,2026-05-04,None,False
DUN9A481032E3,CUST100071040,INV837D9A3B28,Reminder,2026-01-28,Service Restricted,True
DUN65B87B5677,CUST100084683,INV1C51EE1641,Final Notice,2026-03-07,SMS Sent,True
DUN9205680D3B,CUST100061257,INVC2AD103E01,First Notice,2026-04-12,SMS Sent,True
DUNF9C933FF64,CUST100058420,INV8C70F3BC53,Collections Referral,2026-01-24,Email Sent,True
DUN51F3513A5A,CUST100037613,INVBC50F55B8E,First Notice,2026-07-16,Email Sent,True
DUNBEBF4F4B11,CUST100045255,INV06F4284681,Reminder,2026-03-09,Call Placed,False
DUNF38ACBFC03,CUST100099838,INV061928AAD8,Reminder,2026-02-10,None,False
DUNA81A1F0DDC,CUST100042758,INV76CE8BB973,Reminder,2026-02-02,SMS Sent,True
DUN231856A082,CUST100014103,INVE9C57C0C3A,Reminder,2026-03-12,Call Placed,True
DUN8C11A65907,CUST100045544,INV2EAD278294,First Notice,2026-04-08,Service Restricted,True
DUN658D2C1915,CUST100093863,INVCCE12D025B,Collections Referral,2026-06-17,None,False
DUN67660B695B,CUST100066411,INV9B3C976E6F,Collections Referral,2026-02-04,Email Sent,False
