plan_id,customer_id,plan_name,plan_type,monthly_fee_usd,data_allowance_gb,voice_minutes,sms_allowance,start_date
PLNFC53ED8FF4,CUST100006730,Unlimited Plus,Prepaid Mobile,42.83,-1,-1,100,2020-12-23
PLNDF06F88AFF,CUST100053868,Prepaid 5GB,Broadband,90.71,10,500,500,2016-02-02
PLNBB590305E5,CUST100089630,Family Share 10GB,Prepaid Mobile,139.05,20,-1,-1,2018-07-04
PLNDB662EFE40,CUST100052093,Unlimited Basic,Prepaid Mobile,64.49,10,-1,500,2022-06-10
PLNA9099D33E7,CUST100009136,Family Share 10GB,Prepaid Mobile,134.4,2,-1,500,2023-04-25
PLN68B07B46A4,CUST100074564,Unlimited Basic,Postpaid Mobile,83.39,-1,-1,500,2021-01-07
PLND9BA8BC0D5,CUST100001567,Prepaid 5GB,Prepaid Mobile,34.22,-1,-1,500,2015-06-24
PLN3AA85F5B04,CUST100074201,Unlimited Plus,Postpaid Mobile,25.95,-1,-1,100,2015-12-18
PLN08025DB9BF,CUST100039916,Fiber 1Gbps,Postpaid Mobile,50.21,20,-1,500,2018-03-25
PLN8E2FDFD4AE,CUST100084543,Unlimited Premium,Prepaid Mobile,109.97,20,1000,100,2020-06-16
PLN8086B6A982,CUST100078453,Unlimited Basic,Postpaid Mobile,64.0,20,-1,500,2019-08-04
PLNA9EF488644,CUST100039927,Unlimited Premium,Postpaid Mobile,114.74,20,-1,500,2019-08-04
PLNB4F34EB931,CUST100079260,Family Share 10GB,Prepaid Mobile,73.92,10,-1,100,2018-07-11
PLNC6F9A38DDB,CUST100075249,Prepaid 5GB,Postpaid Mobile,129.67,-1,-1,500,2025-11-26
PLN963EDEF6B6,CUST100066971,Fiber 1Gbps,Postpaid Mobile,58.52,50,-1,-1,2024-03-21
PLN48205A6A2B,CUST100046558,Unlimited Basic,Prepaid Mobile,91.04,5,500,100,2025-11-08
PLNC8723C17FF,CUST100078321,Unlimited Premium,Prepaid Mobile,121.25,20,500,-1,2017-09-08
PLN5958C3FA7F,CUST100090889,Unlimited Plus,Prepaid Mobile,24.96,2,500,-1,2021-04-13
PLND4F54B49E3,CUST100013733,Unlimited Basic,Postpaid Mobile,138.05,-1,1000,-1,2019-09-19
PLN6644C36121,CUST100034738,Fiber 500Mbps,Postpaid Mobile,56.78,-1,500,500,2025-05-28
PLNE6465A0464,CUST100004921,Family Share 10GB,Broadband,49.74,10,-1,-1,2020-01-04
PLNF009A5734D,CUST100072817,Unlimited Plus,Broadband,111.7,20,500,100,2021-03-23
PLN9A4DD22C9A,CUST100025632,Unlimited Premium,Postpaid Mobile,24.6,10,500,500,2018-03-31
PLNBB81105CF1,CUST100023938,Fiber 500Mbps,Broadband,26.61,5,500,500,2023-08-25
PLN362E740F1E,CUST100087707,Unlimited Plus,IoT,86.09,50,500,500,2023-11-09
PLN1553A7D12F,CUST100014158,Unlimited Plus,Postpaid Mobile,105.45,-1,-1,500,2020-10-05
PLN6ED1A42B2A,CUST100010694,Prepaid 5GB,Postpaid Mobile,78.19,2,500,500,2026-04-27
PLN4B62FB78C0,CUST100038940,Fiber 500Mbps,Prepaid Mobile,71.64,2,-1,500,2017-07-24
PLN61D424FFB2,CUST100079472,Prepaid 5GB,Prepaid Mobile,96.54,2,1000,500,2019-02-24
PLN76198AC1F8,CUST100005099,Fiber 500Mbps,Prepaid Mobile,130.09,2,1000,-1,2021-07-02
PLN59D99A2155,CUST100072057,Prepaid 5GB,Postpaid Mobile,139.44,-1,-1,500,2025-08-17
PLNFF17B57283,CUST100082523,Fiber 500Mbps,Broadband,43.84,-1,-1,500,2015-06-26
PLNC03115606B,CUST100093163,Fiber 1Gbps,Postpaid Mobile,138.38,2,1000,100,2025-12-07
PLND67920C7C2,CUST100055395,Fiber 1Gbps,Postpaid Mobile,118.8,10,1000,100,2025-06-06
PLNC9537C57DC,CUST100021383,Fiber 1Gbps,Prepaid Mobile,140.68,50,500,-1,2019-02-03
PLN0C1354C564,CUST100095034,Fiber 1Gbps,Prepaid Mobile,29.95,50,1000,-1,2017-05-28
PLNF66CD8A82C,CUST100044282,Fiber 500Mbps,Prepaid Mobile,86.38,2,500,500,2015-10-13
PLNEF34FDCD94,CUST100040438,Prepaid 5GB,Prepaid Mobile,65.42,10,-1,100,2024-08-01
PLNFC1CE66ABC,CUST100000166,Fiber 1Gbps,Broadband,67.86,10,500,-1,2021-04-24
PLN1B911D2540,CUST100079196,Fiber 500Mbps,IoT,47.42,-1,500,500,2025-11-26
PLN0327F71ED4,CUST100030842,Unlimited Plus,Prepaid Mobile,57.99,2,-1,500,2025-05-24
PLN792AA6399F,CUST100020790,Fiber 500Mbps,Prepaid Mobile,137.84,50,1000,500,2019-10-21
PLN8343F7894C,CUST100004239,Unlimited Premium,Postpaid Mobile,59.43,50,500,500,2016-11-01
PLNE2E8176735,CUST100032551,Fiber 1Gbps,Broadband,42.35,10,1000,500,2016-01-22
PLN79341B6651,CUST100019241,Fiber 1Gbps,Broadband,136.59,-1,-1,500,2024-01-22
PLNA2A279EDDD,CUST100011472,Unlimited Basic,Broadband,48.42,50,500,500,2017-10-08
PLNE6F4CC423D,CUST100010910,Unlimited Premium,Postpaid Mobile,28.26,-1,500,100,2019-01-08
PLND676A50E24,CUST100062793,Unlimited Premium,Prepaid Mobile,87.91,10,1000,-1,2018-09-17
PLN5D6D906E9E,CUST100003026,IoT Data Plan,Prepaid Mobile,89.36,20,1000,100,2026-04-22
PLND2C1009221,CUST100045692,IoT Data Plan,Broadband,130.48,50,500,100,2022-07-06
PLN6E61F6F489,CUST100037590,Fiber 500Mbps,Postpaid Mobile,32.3,5,500,-1,2019-12-09
PLN9AD54A4196,CUST100044070,Unlimited Plus,Postpaid Mobile,30.13,20,500,100,2024-01-02
PLN1F68DE7E43,CUST100024834,Prepaid 5GB,Postpaid Mobile,127.83,-1,500,-1,2026-01-11
PLN6D27EDC2FA,CUST100014354,IoT Data Plan,Postpaid Mobile,18.07,5,1000,-1,2019-10-20
PLN36E18AF011,CUST100070823,Prepaid 5GB,Prepaid Mobile,20.12,20,1000,500,2019-08-25
PLN387AF9E516,CUST100052122,Family Share 10GB,Prepaid Mobile,15.74,2,1000,-1,2019-09-03
PLN25ED517715,CUST100060546,Prepaid 5GB,IoT,108.62,20,1000,500,2017-01-25
PLN904B4EA2FF,CUST100084260,Family Share 10GB,Postpaid Mobile,85.53,10,1000,-1,2024-12-18
PLN55D266BB4F,CUST100048367,Unlimited Premium,Postpaid Mobile,71.55,-1,1000,-1,2025-04-28
PLN2A64B290D0,CUST100047085,Fiber 1Gbps,Postpaid Mobile,24.76,50,1000,500,2016-03-01
PLN0E11D0B961,CUST100076504,Unlimited Premium,Prepaid Mobile,26.88,2,-1,100,2021-10-06
PLN566809B97F,CUST100062723,Prepaid 5GB,Postpaid Mobile,108.13,10,500,-1,2020-03-10
PLN2D3D0F1659,CUST100019880,Fiber 500Mbps,Prepaid Mobile,113.85,10,1000,500,2019-07-25
PLN00CC455408,CUST100060922,IoT Data Plan,Postpaid Mobile,81.33,20,1000,-1,2015-02-15
PLND9481F6893,CUST100031461,Fiber 500Mbps,Prepaid Mobile,115.61,20,1000,-1,2016-12-14
PLN80182CBD10,CUST100070476,Fiber 500Mbps,Broadband,130.91,2,-1,-1,2019-05-17
PLNE986948188,CUST100089865,Unlimited Premium,Postpaid Mobile,136.09,10,500,500,2019-12-03
PLN6B8B7FF998,CUST100077823,Fiber 1Gbps,Postpaid Mobile,125.08,10,1000,500,2016-08-02
PLN92EFE457B5,CUST100015791,Unlimited Basic,Postpaid Mobile,131.39,20,500,-1,2016-05-01
PLN4A22217A0D,CUST100071160,Fiber 1Gbps,Prepaid Mobile,122.93,-1,1000,500,2020-12-22
PLN6E370DF6E8,CUST100067532,Unlimited Basic,Broadband,94.14,-1,-1,100,2018-10-27
PLND29F72842F,CUST100046069,Fiber 500Mbps,Prepaid Mobile,85.92,10,-1,-1,2025-10-21
PLNC79A8B6069,CUST100030284,Unlimited Premium,Postpaid Mobile,76.52,20,-1,100,2020-09-02
PLN2D1A6B88D8,CUST100061220,Fiber 500Mbps,Postpaid Mobile,74.11,20,500,100,2020-03-25
PLNEAEA5C8BB1,CUST100033549,Fiber 1Gbps,Broadband,144.26,10,1000,100,2024-11-08
PLNC2BBA73F6D,CUST100039442,Unlimited Basic,Postpaid Mobile,41.99,50,1000,500,2024-04-04
PLND6C7916B99,CUST100024841,Unlimited Premium,Postpaid Mobile,75.7,10,1000,500,2023-12-02
PLNEBE27E43F2,CUST100075305,Unlimited Basic,Postpaid Mobile,123.65,-1,1000,100,2018-03-16
PLN0B5817ECA0,CUST100067941,Family Share 10GB,Postpaid Mobile,84.43,5,500,100,2021-06-11
PLN5B35A77B6F,CUST100021953,Unlimited Basic,Postpaid Mobile,47.07,50,1000,500,2024-10-01
PLNB7F8175972,CUST100096817,Family Share 10GB,Broadband,50.72,10,1000,-1,2015-10-09
PLND7430D2F92,CUST100063654,Fiber 1Gbps,Prepaid Mobile,114.89,5,-1,500,2025-06-04
PLNBD3E405B88,CUST100077917,Family Share 10GB,Prepaid Mobile,33.83,50,-1,100,2017-01-12
PLN5263E8803B,CUST100037001,Fiber 500Mbps,Prepaid Mobile,48.82,50,1000,-1,2025-03-24
PLN1C58333426,CUST100024978,IoT Data Plan,Broadband,113.2,-1,-1,100,2023-01-15
PLN9EB54CD0D1,CUST100031583,Fiber 1Gbps,Postpaid Mobile,53.4,5,-1,100,2015-12-27
PLNAE62BEED30,CUST100081300,Unlimited Basic,Postpaid Mobile,115.05,50,500,-1,2021-08-18
PLNFD84670C0A,CUST100025827,Unlimited Premium,Prepaid Mobile,16.82,20,500,100,2015-06-25
PLN5B002BA3F1,CUST100041422,Unlimited Basic,Prepaid Mobile,92.16,-1,500,-1,2023-08-16
PLN4A423AA9AA,CUST100000815,Prepaid 5GB,Prepaid Mobile,24.28,50,500,500,2021-10-29
PLN2C80DE0295,CUST100024337,Prepaid 5GB,Postpaid Mobile,79.76,10,500,500,2021-02-27
PLN767441149E,CUST100069950,Prepaid 5GB,Postpaid Mobile,31.49,5,1000,500,2016-12-01
PLNA7F107FCFA,CUST100083001,Family Share 10GB,Broadband,141.99,50,1000,100,2024-07-30
PLN8D9B27ABB1,CUST100023302,Fiber 1Gbps,Postpaid Mobile,20.96,2,1000,100,2021-05-11
PLN61E5010D14,CUST100090011,IoT Data Plan,Prepaid Mobile,54.87,-1,1000,100,2015-01-16
PLN24B26E6E2D,CUST100026064,Family Share 10GB,Prepaid Mobile,79.0,20,1000,-1,2025-09-20
PLN42950A811F,CUST100093511,Prepaid 5GB,Broadband,68.01,20,500,100,2020-03-30
PLN4C690A24A1,CUST100076192,Family Share 10GB,Postpaid Mobile,104.75,20,500,500,2017-08-22
PLN696A39DA0C,CUST100093770,Family Share 10GB,Postpaid Mobile,59.08,10,500,500,2020-01-19
PLN565E0537CA,CUST100022051,Unlimited Basic,Postpaid Mobile,47.79,-1,-1,-1,2019-01-18
PLN13740D4147,CUST100063591,Unlimited Basic,Prepaid Mobile,32.23,10,-1,500,2021-10-24
PLNED247607EB,CUST100022713,Fiber 500Mbps,Broadband,100.45,20,500,-1,2015-04-30
PLNA18B5F4BE1,CUST100094187,IoT Data Plan,Broadband,145.36,5,1000,-1,2018-06-06
PLNA72C09A32B,CUST100041666,Unlimited Basic,Prepaid Mobile,91.34,5,1000,100,2021-12-03
PLND980DB3FF1,CUST100087788,Unlimited Plus,Postpaid Mobile,82.96,50,1000,500,2024-09-03
PLNC7893F5288,CUST100086031,Unlimited Basic,Prepaid Mobile,56.2,20,500,100,2022-10-16
PLNDC7E6CE5B1,CUST100098363,Fiber 500Mbps,Prepaid Mobile,146.89,10,1000,-1,2026-03-30
PLNDBAC974938,CUST100053292,Fiber 500Mbps,Prepaid Mobile,75.81,5,1000,-1,2023-10-28
PLNC4C75DAA41,CUST100024958,Unlimited Basic,Prepaid Mobile,44.34,5,-1,100,2018-09-08
PLN62242D40F2,CUST100023335,Unlimited Basic,Prepaid Mobile,60.93,20,500,100,2026-06-04
PLNE5CE1EB887,CUST100058438,Family Share 10GB,Postpaid Mobile,121.64,5,1000,-1,2015-10-02
PLN4650749126,CUST100096491,Fiber 1Gbps,Postpaid Mobile,114.89,-1,1000,-1,2021-09-21
PLNE50EFA173A,CUST100086155,Family Share 10GB,Prepaid Mobile,19.32,20,-1,100,2023-12-10
PLN70F2B15D79,CUST100024064,Prepaid 5GB,Broadband,22.23,5,1000,-1,2016-04-18
PLN8C1EBCF96D,CUST100062809,IoT Data Plan,Prepaid Mobile,85.14,50,500,500,2015-07-28
PLN83D59A6747,CUST100056817,Unlimited Basic,Postpaid Mobile,36.7,-1,500,-1,2023-07-21
PLN11294D11AF,CUST100030058,Unlimited Plus,Prepaid Mobile,21.86,2,1000,100,2023-11-10
PLNCD61007E0C,CUST100066573,IoT Data Plan,Prepaid Mobile,41.9,5,-1,500,2023-04-19
PLN4526B41178,CUST100080425,Unlimited Premium,Postpaid Mobile,19.57,20,-1,100,2015-04-04
PLN518E5355E7,CUST100059627,Unlimited Premium,Postpaid Mobile,56.2,2,1000,-1,2024-09-28
PLN78612F1EEA,CUST100071814,Fiber 500Mbps,Prepaid Mobile,86.78,10,-1,-1,2018-05-20
PLNE52B9878F5,CUST100011462,Unlimited Basic,Prepaid Mobile,56.73,50,-1,100,2021-03-11
PLNEBB9532204,CUST100091513,Family Share 10GB,Postpaid Mobile,87.97,-1,500,500,2021-04-18
PLN7C8968E3EC,CUST100090660,Fiber 500Mbps,Broadband,64.68,10,500,500,2023-09-17
PLN0B3A0DFE07,CUST100053759,Unlimited Premium,Postpaid Mobile,45.56,-1,1000,100,2022-08-02
PLN4FB7B17BE4,CUST100063794,Fiber 500Mbps,Prepaid Mobile,40.16,20,500,500,2022-11-12
PLNA2201C3138,CUST100065171,Prepaid 5GB,IoT,58.06,2,1000,500,2019-01-25
PLN67E1934D13,CUST100072060,IoT Data Plan,Postpaid Mobile,33.17,-1,-1,100,2018-10-01
PLN6188BF48F3,CUST100031447,Unlimited Premium,Prepaid Mobile,75.39,-1,1000,500,2020-01-19
PLN4B29D4D2E0,CUST100022447,Unlimited Plus,Postpaid Mobile,52.83,5,-1,-1,2020-05-22
PLNC702DAF8DB,CUST100054889,IoT Data Plan,Broadband,96.81,20,1000,500,2015-04-25
PLNED2E5E9815,CUST100019249,Prepaid 5GB,Broadband,73.82,5,-1,100,2023-10-30
PLN5F4A865B93,CUST100079386,Fiber 1Gbps,Postpaid Mobile,139.53,2,1000,-1,2018-09-03
PLNE8BADD16E6,CUST100074368,Prepaid 5GB,Postpaid Mobile,30.33,50,500,500,2024-08-16
PLN605E3F3B0F,CUST100079461,Prepaid 5GB,Postpaid Mobile,37.84,5,1000,500,2023-02-19
PLN423E4FFC4B,CUST100011960,Unlimited Plus,Prepaid Mobile,127.68,10,500,500,2020-03-03
PLNFC8E601CC3,CUST100071149,Family Share 10GB,Postpaid Mobile,141.36,10,-1,100,2021-12-15
PLN5C47A1499D,CUST100066465,Unlimited Plus,Postpaid Mobile,48.96,2,500,100,2023-02-18
PLN350AE0E17E,CUST100023018,Prepaid 5GB,Broadband,36.99,20,1000,500,2019-08-31
PLN2EDDB24A67,CUST100052542,Unlimited Basic,Prepaid Mobile,82.89,50,500,500,2021-05-11
PLNC955AE2798,CUST100001852,Fiber 500Mbps,Postpaid Mobile,140.1,-1,-1,500,2016-09-26
PLN563584F376,CUST100006266,Unlimited Plus,Prepaid Mobile,126.1,2,1000,-1,2022-12-25
PLNB74D7B0947,CUST100065593,IoT Data Plan,Postpaid Mobile,28.64,10,500,100,2021-01-15
PLNC0C874441C,CUST100079662,Fiber 500Mbps,Postpaid Mobile,137.25,50,500,500,2022-01-17
PLN5A46B318A5,CUST100052894,Unlimited Plus,Broadband,31.34,50,-1,-1,2016-09-27
PLN2D498C792C,CUST100038104,Fiber 1Gbps,Broadband,20.56,50,-1,-1,2022-08-30
PLN60FA91330A,CUST100082214,Unlimited Premium,Prepaid Mobile,94.12,10,500,100,2018-03-27
PLN6995E30365,CUST100010362,Fiber 500Mbps,Postpaid Mobile,17.14,-1,1000,-1,2025-11-08
PLN5C8599E97D,CUST100026505,Unlimited Premium,Postpaid Mobile,21.16,50,500,100,2023-11-07
PLN1BA112D931,CUST100012261,Fiber 1Gbps,Postpaid Mobile,111.89,5,-1,100,2018-03-23
PLN4E181334F1,CUST100095243,Fiber 500Mbps,Postpaid Mobile,70.54,50,-1,-1,2023-12-22
PLN8F5B93B0ED,CUST100082877,Prepaid 5GB,Postpaid Mobile,124.55,2,-1,500,2024-09-13
PLN816207F15A,CUST100058033,Unlimited Premium,Postpaid Mobile,149.62,5,500,500,2016-04-02
PLNC27A65773F,CUST100031615,Unlimited Plus,Prepaid Mobile,85.16,-1,500,100,2023-10-09
PLNE02459520B,CUST100068264,Prepaid 5GB,Prepaid Mobile,100.69,-1,-1,100,2025-12-12
PLN6167A5D335,CUST100038164,Unlimited Plus,Postpaid Mobile,125.73,-1,-1,-1,2024-07-25
PLNF312DC164C,CUST100087119,Unlimited Premium,Postpaid Mobile,23.95,50,-1,-1,2025-12-13
PLNAA1FD80CD6,CUST100006975,IoT Data Plan,Postpaid Mobile,18.94,-1,-1,-1,2022-10-04
PLN8FE31FE141,CUST100020113,Unlimited Premium,Broadband,80.4,-1,500,-1,2017-08-09
PLND5BEFEE5B9,CUST100074155,Unlimited Plus,Broadband,53.85,10,1000,500,2015-04-30
PLN9D126BDDCE,CUST100085599,Unlimited Premium,Prepaid Mobile,36.32,2,1000,100,2018-11-06
PLN55551FC603,CUST100050305,Fiber 500Mbps,Postpaid Mobile,45.2,20,500,500,2021-07-26
PLN744917C088,CUST100079755,Family Share 10GB,Postpaid Mobile,32.38,20,500,500,2016-10-26
PLN8142453755,CUST100031198,Unlimited Plus,Prepaid Mobile,66.23,-1,-1,500,2025-07-05
PLN9D415ED97A,CUST100098711,Unlimited Premium,Postpaid Mobile,36.96,10,1000,100,2015-03-04
PLN373E942F3B,CUST100045819,Prepaid 5GB,Prepaid Mobile,123.79,50,1000,100,2018-05-05
PLN32D5274A9E,CUST100015529,IoT Data Plan,Prepaid Mobile,92.88,20,500,500,2015-09-25
PLN4B12E8FAD2,CUST100004247,Family Share 10GB,Postpaid Mobile,98.4,-1,500,-1,2020-03-28
PLN6B31C128B5,CUST100071121,Prepaid 5GB,Broadband,26.52,-1,1000,-1,2023-04-06
PLNFFC55F052A,CUST100009876,Unlimited Basic,Postpaid Mobile,23.73,5,1000,500,2017-03-28
PLNB92723898D,CUST100088193,Prepaid 5GB,Postpaid Mobile,32.22,20,500,500,2026-05-02
PLNA7F5C5FAD6,CUST100081348,Family Share 10GB,Prepaid Mobile,105.97,20,500,100,2021-05-15
PLNBBC5D8ADED,CUST100070822,Fiber 1Gbps,Broadband,99.08,-1,500,-1,2025-11-29
PLNBC1F6816EF,CUST100038349,Family Share 10GB,Prepaid Mobile,146.14,2,1000,100,2024-06-25
PLN0C1433A569,CUST100064852,Unlimited Basic,Postpaid Mobile,92.45,20,-1,-1,2016-06-13
PLN82218557B9,CUST100017733,Prepaid 5GB,Postpaid Mobile,51.36,20,1000,100,2025-11-12
PLN88DA10C771,CUST100086909,IoT Data Plan,Postpaid Mobile,113.12,50,1000,-1,2015-01-27
PLN25BB6E492B,CUST100061938,Fiber 500Mbps,Postpaid Mobile,60.49,50,-1,-1,2016-03-10
PLNCD0BCCB1B1,CUST100052335,Unlimited Plus,Broadband,82.45,20,1000,500,2025-08-26
PLN9CBF17E580,CUST100040679,Prepaid 5GB,Postpaid Mobile,130.56,50,1000,-1,2021-08-08
PLN708F06B941,CUST100034710,Unlimited Plus,Broadband,16.48,10,1000,100,2022-09-20
PLN14CDD8D3B7,CUST100083803,Unlimited Premium,Prepaid Mobile,124.6,5,-1,100,2021-12-24
PLN73929C237F,CUST100058993,Family Share 10GB,Prepaid Mobile,138.47,20,1000,-1,2020-10-14
PLND4D01E238D,CUST100039526,Unlimited Premium,Postpaid Mobile,32.7,5,500,100,2024-04-16
PLN64DE0121F7,CUST100084898,Unlimited Plus,Postpaid Mobile,132.95,10,1000,100,2015-07-18
PLND4AEF9513C,CUST100005092,Unlimited Plus,Postpaid Mobile,52.8,2,500,-1,2016-08-30
PLN215090308A,CUST100079657,Unlimited Plus,Prepaid Mobile,129.58,10,500,500,2017-09-10
PLN95C1D6188C,CUST100045262,Prepaid 5GB,Prepaid Mobile,92.28,10,-1,500,2020-08-31
PLN6FF3800B5C,CUST100079570,Prepaid 5GB,Postpaid Mobile,93.66,20,-1,-1,2017-07-11
PLNFB10E281B6,CUST100017196,Family Share 10GB,Broadband,122.11,5,-1,500,2025-08-17
PLND0AD303D50,CUST100011220,Prepaid 5GB,Postpaid Mobile,88.27,10,-1,-1,2017-06-28
PLN581D519EAD,CUST100077232,IoT Data Plan,Postpaid Mobile,38.82,-1,1000,100,2025-06-05
PLN6B0A3076BA,CUST100019890,Unlimited Plus,Postpaid Mobile,81.49,50,-1,-1,2020-02-26
PLNF4FBE8DB90,CUST100055916,Unlimited Premium,Prepaid Mobile,139.59,-1,-1,500,2016-12-30
PLN0D5A53C70E,CUST100039328,Fiber 500Mbps,Prepaid Mobile,60.09,2,1000,100,2023-07-08
PLN9E46ED7DF5,CUST100091240,Prepaid 5GB,Prepaid Mobile,113.44,5,500,-1,2016-04-10
PLN241284D982,CUST100039248,Fiber 500Mbps,Postpaid Mobile,99.03,5,500,-1,2016-03-19
PLNCFE511ED68,CUST100028510,Unlimited Plus,Prepaid Mobile,27.05,50,500,500,2020-05-22
PLNBE9994F9EF,CUST100004064,Unlimited Premium,Prepaid Mobile,21.84,5,500,100,2022-02-28
PLN2D9992731A,CUST100074497,Fiber 1Gbps,IoT,31.87,20,-1,-1,2018-04-28
PLN1D8366557A,CUST100017941,Fiber 1Gbps,Postpaid Mobile,82.68,-1,1000,100,2018-05-11
PLN1106C99987,CUST100012629,Unlimited Premium,Prepaid Mobile,62.41,10,-1,100,2024-01-25
PLNB7EB507E74,CUST100033364,Unlimited Basic,Postpaid Mobile,66.91,5,1000,-1,2022-01-08
PLN5FF8C68805,CUST100069079,Family Share 10GB,Postpaid Mobile,95.73,10,500,100,2016-11-07
PLNAD17E9C719,CUST100032834,Fiber 500Mbps,Prepaid Mobile,34.62,2,500,500,2017-04-23
PLNE5219E6F57,CUST100005552,Unlimited Plus,Postpaid Mobile,57.99,50,-1,500,2017-08-13
PLN1AAB42F134,CUST100091848,Fiber 1Gbps,Prepaid Mobile,24.52,50,500,500,2017-05-03
PLN50292AFFB0,CUST100034369,IoT Data Plan,Postpaid Mobile,69.01,-1,-1,500,2020-02-27
PLN5D0D4D7674,CUST100037267,Fiber 500Mbps,Postpaid Mobile,88.95,2,-1,-1,2021-07-22
PLNB34600C745,CUST100026495,Family Share 10GB,Postpaid Mobile,102.91,50,-1,500,2017-08-11
PLN33567F9CD0,CUST100021350,Unlimited Basic,IoT,59.68,-1,1000,-1,2017-03-02
PLN8C5733D461,CUST100097923,Unlimited Plus,Broadband,104.47,2,1000,100,2020-10-26
PLNBA98DF7A7A,CUST100079403,IoT Data Plan,Postpaid Mobile,79.02,5,500,500,2020-02-17
PLNB9B43D8D4D,CUST100008686,Family Share 10GB,IoT,114.04,50,500,500,2021-06-21
PLNBB6D4F2706,CUST100009055,Family Share 10GB,Postpaid Mobile,46.13,-1,1000,500,2021-06-13
PLN3ACF1CD232,CUST100006166,Unlimited Plus,Prepaid Mobile,144.73,50,500,-1,2020-03-31
PLN98CFAB1763,CUST100091789,Unlimited Basic,Broadband,146.59,5,1000,-1,2015-04-05
PLNED0265572F,CUST100057659,Family Share 10GB,Prepaid Mobile,33.58,50,-1,-1,2016-04-17
PLN9814786291,CUST100038666,Unlimited Basic,Postpaid Mobile,17.88,50,-1,500,2017-06-30
PLNFD6D1B19C0,CUST100014315,Unlimited Premium,Postpaid Mobile,43.11,2,500,-1,2026-05-15
PLNA3F3E1295E,CUST100042815,Family Share 10GB,Broadband,126.92,-1,500,-1,2026-02-25
PLN8A606D70A2,CUST100080195,Unlimited Basic,Postpaid Mobile,89.42,20,500,500,2026-03-30
PLNBC23E61197,CUST100046203,Fiber 500Mbps,Postpaid Mobile,131.43,5,-1,100,2025-04-13
PLNCC02D440C6,CUST100000564,Family Share 10GB,Postpaid Mobile,65.23,5,500,-1,2018-02-25
PLNA822551007,CUST100067606,Fiber 1Gbps,Postpaid Mobile,22.26,-1,1000,-1,2021-11-13
PLN17363ACB84,CUST100078867,IoT Data Plan,Broadband,53.42,50,1000,100,2025-12-16
PLNBF8A59D5CE,CUST100003386,Fiber 1Gbps,Postpaid Mobile,24.16,-1,500,-1,2026-05-04
