contract_id,customer_id,contract_type,start_date,term_months,end_date,auto_renew,status
CTR6F83295246,CUST100011993,Month-to-Month,2015-08-19,12,2016-08-19,True,Active
CTR6D9F3E40ED,CUST100069119,Fixed Term,2025-01-04,24,2027-01-04,False,Active
CTRC1BB2B25FB,CUST100085257,Fixed Term,2019-10-08,24,2021-10-08,True,Active
CTR5EB4068FA3,CUST100075175,Month-to-Month,2015-12-25,24,2017-12-25,True,Active
CTRC23A1359C8,CUST100070016,Month-to-Month,2020-05-12,0,,False,Active
CTR1807B3C34B,CUST100093845,Fixed Term,2023-03-31,12,2024-03-31,False,Active
CTRE4EC52103A,CUST100088686,Fixed Term,2021-08-22,36,2024-08-22,True,Active
CTR286D832952,CUST100030580,Fixed Term,2018-11-27,0,,True,Active
CTR3943D5F9F3,CUST100050874,Fixed Term,2019-12-10,0,,False,Pending Renewal
CTRB0D1EE6932,CUST100044253,Fixed Term,2025-08-18,12,2026-08-18,True,Active
CTR1E9A9731DC,CUST100097807,Month-to-Month,2016-01-21,12,2017-01-21,False,Expired
CTR17BE879300,CUST100052145,Month-to-Month,2020-09-25,24,2022-09-25,False,Active
CTR0D969ED566,CUST100028389,Month-to-Month,2018-09-05,24,2020-09-05,True,Terminated Early
CTRB2E9F2B5A3,CUST100099541,Fixed Term,2020-05-02,0,,False,Expired
CTR835F444B41,CUST100025051,Month-to-Month,2022-07-05,12,2023-07-05,True,Active
CTR91CD1CB1A0,CUST100077928,Fixed Term,2025-02-02,12,2026-02-02,False,Active
CTRF005F8B45C,CUST100059805,Month-to-Month,2024-11-26,0,,True,Pending Renewal
CTRA17F6CF5C1,CUST100007966,Month-to-Month,2017-06-25,12,2018-06-25,True,Active
CTRA1A9160A9C,CUST100050284,Month-to-Month,2022-08-10,12,2023-08-10,False,Active
CTRA357B9E009,CUST100032009,Fixed Term,2022-09-17,24,2024-09-17,False,Active
CTRD55472E36F,CUST100017376,Month-to-Month,2023-01-19,24,2025-01-19,True,Active
CTR89A44A2186,CUST100040086,Fixed Term,2023-10-06,0,,True,Expired
CTR94DB8216E8,CUST100031346,Month-to-Month,2025-07-29,12,2026-07-29,False,Expired
CTRC4622CCAF4,CUST100055317,Month-to-Month,2017-05-20,24,2019-05-20,True,Active
CTR9AD8010E7A,CUST100052025,Fixed Term,2016-02-21,24,2018-02-21,False,Expired
CTRA37047E362,CUST100002947,Fixed Term,2017-07-17,12,2018-07-17,True,Active
CTRA43D78303F,CUST100070919,Fixed Term,2019-01-22,24,2021-01-22,False,Pending Renewal
CTR6FE632725B,CUST100037063,Fixed Term,2015-08-18,12,2016-08-18,True,Active
CTR9B89C86D69,CUST100047345,Fixed Term,2015-01-13,0,,False,Terminated Early
CTR53250BA6E7,CUST100081409,Fixed Term,2018-09-10,0,,True,Terminated Early
CTRB58D611527,CUST100018152,Fixed Term,2024-11-09,24,2026-11-09,True,Active
CTR8224FB32DD,CUST100088802,Fixed Term,2020-08-31,36,2023-08-31,True,Active
CTRB5CD6456CA,CUST100019141,Month-to-Month,2015-04-21,12,2016-04-21,True,Active
CTREB4E443B4C,CUST100050099,Fixed Term,2024-08-15,0,,True,Expired
CTRA577A402AA,CUST100051038,Month-to-Month,2018-01-14,12,2019-01-14,True,Active
CTR2F64C8962A,CUST100095127,Month-to-Month,2022-09-04,0,,True,Active
CTR36376A0500,CUST100020705,Fixed Term,2024-09-28,12,2025-09-28,True,Active
CTRBD86CB93B6,CUST100014348,Month-to-Month,2021-03-06,24,2023-03-06,True,Active
CTR5CDEC38C88,CUST100050678,Month-to-Month,2023-09-09,0,,False,Pending Renewal
CTR098FCADC5D,CUST100031802,Month-to-Month,2021-07-08,24,2023-07-08,False,Active
CTRCDF71ABF1F,CUST100068741,Month-to-Month,2023-04-27,24,2025-04-27,False,Active
CTR20AC112543,CUST100007055,Fixed Term,2024-01-27,12,2025-01-27,True,Expired
CTR1B29C890CF,CUST100033089,Month-to-Month,2024-11-30,24,2026-11-30,True,Active
CTR8AD416B1B2,CUST100074366,Month-to-Month,2015-08-18,36,2018-08-18,False,Active
CTR54630271E5,CUST100057107,Month-to-Month,2017-01-27,0,,True,Active
CTR0606FFD3D2,CUST100057046,Month-to-Month,2015-02-16,0,,True,Active
CTR8D2A75A8CE,CUST100015851,Month-to-Month,2021-09-29,24,2023-09-29,True,Active
CTR8C8B889C48,CUST100058399,Month-to-Month,2022-02-26,0,,False,Active
CTR317C43D810,CUST100023688,Fixed Term,2023-10-13,36,2026-10-13,True,Active
CTR8A46310F55,CUST100068817,Month-to-Month,2018-04-23,12,2019-04-23,True,Pending Renewal
CTREEA9037E76,CUST100063673,Month-to-Month,2018-11-18,24,2020-11-18,False,Active
CTR6EB39C6DD7,CUST100059858,Fixed Term,2024-07-05,24,2026-07-05,False,Active
CTRE83921512B,CUST100034401,Fixed Term,2022-09-29,0,,False,Active
CTRD2CFAF18E8,CUST100044829,Fixed Term,2021-01-19,24,2023-01-19,True,Active
CTRBB85FEF00B,CUST100014811,Fixed Term,2023-03-14,12,2024-03-14,True,Active
CTRF1B81910E5,CUST100032434,Fixed Term,2023-08-18,0,,True,Active
CTR5F21695382,CUST100041848,Fixed Term,2023-05-23,0,,False,Terminated Early
CTR1965425A66,CUST100024697,Fixed Term,2022-05-25,24,2024-05-25,True,Active
CTR18CB07D980,CUST100056622,Month-to-Month,2015-08-22,24,2017-08-22,True,Active
CTR1259EA4F9C,CUST100078504,Fixed Term,2021-10-10,0,,True,Active
CTR8795AB656A,CUST100035726,Month-to-Month,2019-12-06,12,2020-12-06,False,Active
CTREBC0DA3F57,CUST100004046,Fixed Term,2015-04-13,24,2017-04-13,True,Active
CTR78296063E3,CUST100058986,Fixed Term,2024-07-07,0,,False,Terminated Early
CTR80F482F844,CUST100060914,Month-to-Month,2023-09-01,0,,False,Expired
CTRE34E556EFB,CUST100053924,Fixed Term,2018-11-04,24,2020-11-04,False,Active
CTRCBD6A4B611,CUST100060868,Fixed Term,2021-08-20,0,,True,Active
CTR6BD41C88E9,CUST100006685,Fixed Term,2022-08-27,12,2023-08-27,True,Active
CTR62788FB083,CUST100023956,Fixed Term,2020-08-22,24,2022-08-22,True,Expired
CTR0E1F1A1904,CUST100047447,Month-to-Month,2015-08-05,0,,True,Active
CTR5874C27DCB,CUST100078955,Month-to-Month,2024-06-17,24,2026-06-17,True,Active
CTR5E4A48E526,CUST100062528,Month-to-Month,2021-12-03,0,,False,Expired
CTR3D9555629A,CUST100092556,Fixed Term,2020-08-19,12,2021-08-19,True,Active
CTR1EFB78E78F,CUST100071455,Month-to-Month,2023-07-07,24,2025-07-07,True,Expired
CTRD12CA1285F,CUST100042206,Fixed Term,2017-07-29,0,,True,Terminated Early
CTR1EC3D44E11,CUST100003441,Month-to-Month,2024-10-01,0,,False,Expired
CTR4F48FA1230,CUST100006588,Month-to-Month,2020-11-05,12,2021-11-05,False,Active
CTR6EDEFB09E9,CUST100043024,Month-to-Month,2019-06-20,12,2020-06-20,True,Expired
CTR54A215D5B7,CUST100022280,Fixed Term,2020-01-25,12,2021-01-25,False,Active
CTR675B752533,CUST100068273,Fixed Term,2024-12-04,12,2025-12-04,False,Terminated Early
CTRAB75DCBC42,CUST100033097,Month-to-Month,2020-03-15,24,2022-03-15,True,Expired
CTRD19461B2D7,CUST100098743,Month-to-Month,2021-08-08,12,2022-08-08,False,Active
CTR36FEB86A25,CUST100084949,Month-to-Month,2022-03-10,0,,False,Active
CTR2E4B4BE2A0,CUST100022898,Month-to-Month,2024-02-06,12,2025-02-06,False,Expired
CTR6994E5FEA2,CUST100042508,Fixed Term,2021-04-23,12,2022-04-23,True,Active
CTR762171954A,CUST100033038,Fixed Term,2021-10-23,12,2022-10-23,False,Terminated Early
CTR448B4180B6,CUST100080060,Fixed Term,2020-11-18,24,2022-11-18,False,Active
CTR6D78E5AB43,CUST100094092,Month-to-Month,2019-09-15,24,2021-09-15,False,Expired
CTR399AD773C5,CUST100052792,Enterprise SLA,2021-05-05,24,2023-05-05,False,Active
CTRBBB75ED6AC,CUST100058859,Month-to-Month,2019-09-27,24,2021-09-27,True,Active
CTR91FEBD591A,CUST100001840,Month-to-Month,2016-08-15,12,2017-08-15,False,Terminated Early
CTREB49A8A675,CUST100023984,Month-to-Month,2017-09-23,12,2018-09-23,False,Active
CTR3C25676919,CUST100040621,Fixed Term,2017-05-18,24,2019-05-18,False,Active
CTR89AAD058F6,CUST100072132,Fixed Term,2023-06-30,24,2025-06-30,False,Active
CTR9F8EABA55B,CUST100016578,Enterprise SLA,2022-02-25,12,2023-02-25,True,Expired
CTR1CDC16138E,CUST100083138,Month-to-Month,2017-07-31,24,2019-07-31,True,Expired
CTR8C30B8D8FC,CUST100076597,Fixed Term,2023-07-21,0,,True,Active
CTR2D4FF0550F,CUST100067222,Fixed Term,2020-04-06,0,,False,Active
CTR3A715BE363,CUST100050977,Fixed Term,2024-06-26,12,2025-06-26,True,Terminated Early
CTR2AFED4559F,CUST100042057,Month-to-Month,2021-12-09,24,2023-12-09,True,Active
CTRFAAF66F2D1,CUST100070450,Month-to-Month,2019-01-01,24,2021-01-01,True,Active
CTRF345D38D04,CUST100042728,Month-to-Month,2016-03-17,24,2018-03-17,False,Expired
CTRE676FF0F03,CUST100040806,Fixed Term,2019-12-30,12,2020-12-30,True,Expired
CTRCF907538CD,CUST100013579,Fixed Term,2023-08-06,36,2026-08-06,False,Active
CTR67FEC24291,CUST100076317,Fixed Term,2021-02-05,0,,False,Active
CTR465A9DF255,CUST100003822,Fixed Term,2025-09-04,24,2027-09-04,True,Active
CTRDEFB766141,CUST100080775,Fixed Term,2024-05-13,24,2026-05-13,False,Active
CTRC6245A2F8D,CUST100085191,Fixed Term,2019-07-04,24,2021-07-04,False,Active
CTR03589B2E9E,CUST100084439,Month-to-Month,2020-01-15,0,,False,Expired
CTR633D9FB846,CUST100051662,Fixed Term,2016-08-16,12,2017-08-16,True,Active
CTRA184CE29A4,CUST100088370,Fixed Term,2015-06-05,24,2017-06-05,False,Expired
CTR1D130395DB,CUST100095063,Month-to-Month,2021-05-21,0,,True,Expired
CTRDA6CEF676B,CUST100024483,Fixed Term,2021-04-21,12,2022-04-21,True,Terminated Early
CTR39CDE8E99B,CUST100010990,Fixed Term,2016-07-24,24,2018-07-24,False,Active
CTRCCD73710C1,CUST100067589,Fixed Term,2022-01-10,12,2023-01-10,False,Active
CTRDBF8A1B26B,CUST100035838,Fixed Term,2016-02-06,24,2018-02-06,True,Expired
CTRAB33F60459,CUST100035595,Fixed Term,2019-04-14,0,,False,Active
CTR106AC70F69,CUST100047600,Fixed Term,2022-03-06,12,2023-03-06,False,Active
CTR78D538FEBF,CUST100090908,Fixed Term,2020-02-04,12,2021-02-04,True,Active
CTRA3291A6E77,CUST100092062,Month-to-Month,2020-04-04,0,,False,Active
CTRA0B248C95F,CUST100091019,Fixed Term,2023-10-11,12,2024-10-11,True,Expired
CTRDB88A82D5A,CUST100060423,Fixed Term,2021-06-19,24,2023-06-19,False,Active
CTR7FC7FC22EE,CUST100070944,Fixed Term,2016-08-19,24,2018-08-19,True,Active
CTR08417F3EAB,CUST100009227,Fixed Term,2021-02-08,24,2023-02-08,False,Expired
CTRDF63D76528,CUST100007376,Month-to-Month,2018-09-10,12,2019-09-10,True,Expired
CTR462B1C0738,CUST100059181,Fixed Term,2019-02-23,24,2021-02-23,True,Active
CTRB86E162D8D,CUST100036807,Month-to-Month,2023-03-23,12,2024-03-23,True,Terminated Early
CTRCA142DC779,CUST100029374,Fixed Term,2018-08-20,0,,True,Terminated Early
CTR40C52F0868,CUST100067733,Month-to-Month,2020-11-08,24,2022-11-08,False,Terminated Early
CTR0485F880FD,CUST100046294,Fixed Term,2020-09-18,24,2022-09-18,True,Active
CTR15632A336E,CUST100058639,Fixed Term,2020-12-23,24,2022-12-23,True,Terminated Early
CTRA68F6819A9,CUST100039580,Fixed Term,2020-07-03,0,,True,Expired
CTRE1333B73AA,CUST100045617,Month-to-Month,2022-04-10,12,2023-04-10,True,Active
CTR1A47185668,CUST100028048,Month-to-Month,2018-12-19,24,2020-12-19,False,Active
CTR1FB19E74A8,CUST100002612,Fixed Term,2019-04-20,24,2021-04-20,False,Terminated Early
CTRB01338178B,CUST100051363,Fixed Term,2023-03-30,24,2025-03-30,True,Active
CTR2F1ECC3E3F,CUST100021721,Fixed Term,2025-01-20,0,,True,Expired
CTRB14D0FC177,CUST100052727,Fixed Term,2025-03-06,12,2026-03-06,False,Active
CTR1EC2F17D55,CUST100055841,Fixed Term,2021-09-16,24,2023-09-16,False,Active
CTR6E4E3AFA38,CUST100017153,Fixed Term,2018-08-19,24,2020-08-19,True,Expired
CTRAF31FF03AC,CUST100061805,Month-to-Month,2016-10-04,24,2018-10-04,True,Terminated Early
CTRBDDD24682A,CUST100016385,Fixed Term,2015-05-05,0,,False,Terminated Early
CTR5C9CAC30B1,CUST100099888,Fixed Term,2015-04-06,0,,False,Active
CTR07AEBCD95C,CUST100025937,Month-to-Month,2020-04-19,24,2022-04-19,True,Active
CTRD767AD5D25,CUST100079677,Month-to-Month,2018-08-19,0,,False,Active
CTRC19ABB6F06,CUST100026135,Fixed Term,2021-05-16,12,2022-05-16,True,Active
CTR4494A15244,CUST100083152,Fixed Term,2016-06-26,0,,False,Active
CTRB20DD5FEE2,CUST100070014,Fixed Term,2016-10-26,0,,True,Active
CTRF6936D531D,CUST100040152,Fixed Term,2025-12-09,0,,True,Active
CTR232C91D6F1,CUST100085402,Month-to-Month,2021-07-22,24,2023-07-22,True,Active
CTRC65B8FCC59,CUST100046333,Fixed Term,2015-02-01,0,,False,Expired
CTR0E1D332C6E,CUST100022075,Fixed Term,2023-08-17,24,2025-08-17,False,Active
CTR184888CD70,CUST100028711,Month-to-Month,2015-09-26,12,2016-09-26,True,Active
CTR5CEF8EA140,CUST100044255,Fixed Term,2023-10-30,24,2025-10-30,False,Expired
CTRD532FD912E,CUST100098213,Fixed Term,2021-12-02,12,2022-12-02,False,Expired
CTRAE36413685,CUST100020528,Fixed Term,2019-10-08,24,2021-10-08,False,Active
CTR353AE7A396,CUST100083744,Month-to-Month,2016-10-29,24,2018-10-29,False,Active
CTREDCB12ADB3,CUST100035103,Fixed Term,2025-04-25,0,,False,Pending Renewal
CTR2AAA74D69A,CUST100041480,Fixed Term,2023-12-16,24,2025-12-16,True,Active
CTRB147789A4D,CUST100070657,Fixed Term,2017-10-30,24,2019-10-30,True,Active
CTR3A96B53A00,CUST100040945,Month-to-Month,2017-03-19,12,2018-03-19,True,Active
CTRABC1654AB2,CUST100002464,Month-to-Month,2023-09-03,12,2024-09-03,False,Active
CTR11CEBA4A09,CUST100096084,Fixed Term,2018-05-12,36,2021-05-12,False,Active
CTR26781A7B94,CUST100080253,Fixed Term,2023-01-08,24,2025-01-08,True,Active
CTR895919EC3C,CUST100082623,Month-to-Month,2016-11-10,0,,True,Expired
CTR920B16F30E,CUST100064055,Month-to-Month,2020-07-22,0,,True,Terminated Early
CTR62403522F2,CUST100047799,Fixed Term,2015-05-30,12,2016-05-30,True,Active
CTR4282D8DF32,CUST100064991,Fixed Term,2018-11-11,24,2020-11-11,False,Terminated Early
CTR428685355F,CUST100036277,Month-to-Month,2020-11-13,0,,False,Expired
CTR988C31F76F,CUST100075083,Fixed Term,2022-09-08,24,2024-09-08,True,Active
CTR5C8D2B0798,CUST100096180,Fixed Term,2015-05-23,24,2017-05-23,True,Active
CTR02AC84CCCF,CUST100083303,Month-to-Month,2023-05-12,24,2025-05-12,True,Expired
CTR2EBC123EC8,CUST100043660,Fixed Term,2018-12-18,12,2019-12-18,True,Active
CTR03BE20E7F2,CUST100036780,Enterprise SLA,2024-03-09,24,2026-03-09,False,Active
CTRD5B2417B00,CUST100014029,Month-to-Month,2020-08-27,24,2022-08-27,True,Active
CTRB834684A1A,CUST100060563,Month-to-Month,2022-08-12,12,2023-08-12,True,Active
CTR34F23D765E,CUST100084232,Fixed Term,2023-11-26,12,2024-11-26,False,Active
CTR475AEACE8F,CUST100055645,Fixed Term,2016-08-18,12,2017-08-18,True,Active
CTR40E8F4042B,CUST100026808,Month-to-Month,2017-08-21,12,2018-08-21,False,Active
CTRB8626557E2,CUST100034648,Fixed Term,2020-10-10,24,2022-10-10,True,Active
CTR958CE2CC36,CUST100042644,Fixed Term,2016-08-29,24,2018-08-29,False,Active
CTR6BF0F9DC0C,CUST100002704,Fixed Term,2021-02-02,0,,False,Active
CTR5BE0B17E4A,CUST100079056,Month-to-Month,2022-02-28,12,2023-02-28,True,Pending Renewal
CTR5DA2406558,CUST100029470,Month-to-Month,2021-10-04,24,2023-10-04,True,Active
CTR9379ADB7BF,CUST100066309,Fixed Term,2021-10-23,0,,True,Terminated Early
CTR43097E8CF3,CUST100049566,Fixed Term,2022-04-27,12,2023-04-27,True,Active
CTRE6FDAC76B3,CUST100010387,Month-to-Month,2016-03-24,12,2017-03-24,True,Pending Renewal
CTR4F5A86E374,CUST100029978,Fixed Term,2018-08-28,12,2019-08-28,True,Active
CTR7DCD381A21,CUST100020786,Month-to-Month,2018-01-04,0,,True,Active
CTR0658D2C40B,CUST100076013,Month-to-Month,2025-11-25,12,2026-11-25,False,Active
CTR65ECDC0381,CUST100058544,Fixed Term,2023-10-13,12,2024-10-13,False,Active
CTRF9A0B2A9BA,CUST100011038,Month-to-Month,2021-09-09,12,2022-09-09,False,Active
CTRBA1B417E72,CUST100058259,Fixed Term,2024-10-10,24,2026-10-10,False,Terminated Early
CTR142BEB2A3F,CUST100055543,Fixed Term,2016-09-13,12,2017-09-13,True,Active
CTR8DB524C21B,CUST100016120,Month-to-Month,2019-12-03,0,,True,Pending Renewal
CTR05E834EDE1,CUST100082140,Fixed Term,2025-06-11,12,2026-06-11,True,Terminated Early
CTRC92585E920,CUST100056747,Fixed Term,2024-09-20,12,2025-09-20,False,Expired
CTR4E134CCA41,CUST100018536,Fixed Term,2025-02-03,0,,False,Active
CTR4192459C88,CUST100017796,Month-to-Month,2018-12-29,0,,True,Active
CTR43E1FADAFA,CUST100024269,Fixed Term,2018-03-20,24,2020-03-20,False,Active
CTR7DD473F98D,CUST100003048,Fixed Term,2024-05-02,24,2026-05-02,True,Active
CTRD3E0A4F8A6,CUST100053969,Month-to-Month,2024-02-11,12,2025-02-11,True,Active
CTR6AC27F1EE2,CUST100028911,Fixed Term,2020-05-04,24,2022-05-04,True,Active
CTRC39264E4D9,CUST100074081,Fixed Term,2025-03-25,24,2027-03-25,False,Expired
CTRB59D5ADC13,CUST100096533,Fixed Term,2018-04-23,24,2020-04-23,False,Active
CTR5D3DE99191,CUST100012786,Fixed Term,2016-05-10,12,2017-05-10,True,Active
CTR81E3456526,CUST100071076,Fixed Term,2015-08-20,24,2017-08-20,False,Active
CTRDC349198BB,CUST100037827,Month-to-Month,2023-08-06,0,,False,Active
CTRC548757F0D,CUST100067317,Month-to-Month,2025-01-27,36,2028-01-27,False,Active
CTR50F3C79791,CUST100022131,Fixed Term,2023-01-09,0,,True,Active
CTR4CB20B6EAE,CUST100081641,Fixed Term,2015-01-11,0,,True,Active
CTRE51EAB86A2,CUST100001421,Fixed Term,2021-07-14,0,,True,Active
CTR7C1520B867,CUST100015322,Fixed Term,2019-07-19,0,,False,Active
CTR2EB62E9125,CUST100080412,Fixed Term,2023-12-24,12,2024-12-24,True,Expired
CTRF5BC2C33B4,CUST100068467,Fixed Term,2019-12-04,0,,True,Active
CTR5397515ADB,CUST100088484,Month-to-Month,2023-02-12,12,2024-02-12,True,Active
CTRC261E81030,CUST100002685,Fixed Term,2021-07-19,24,2023-07-19,True,Expired
CTRA7067A4D89,CUST100044143,Fixed Term,2021-01-31,24,2023-01-31,False,Active
CTR1326DB1662,CUST100085675,Fixed Term,2015-03-28,24,2017-03-28,True,Active
CTR3D924451C1,CUST100011811,Fixed Term,2017-12-04,0,,True,Active
CTR52B9EA7188,CUST100033604,Fixed Term,2017-08-18,0,,True,Active
CTRA1BC05E852,CUST100088162,Fixed Term,2023-11-16,24,2025-11-16,True,Active
CTR9F63404399,CUST100028957,Fixed Term,2019-08-16,24,2021-08-16,True,Active
CTR54876B9883,CUST100086232,Fixed Term,2016-03-25,0,,False,Active
CTR6D73B7597B,CUST100037610,Month-to-Month,2023-11-01,24,2025-11-01,True,Active
CTR7B2484F579,CUST100077851,Month-to-Month,2018-04-03,24,2020-04-03,False,Expired
CTR2D6B194FEB,CUST100040399,Fixed Term,2023-01-13,12,2024-01-13,True,Terminated Early
CTRCED47D97D6,CUST100046639,Fixed Term,2021-06-09,24,2023-06-09,True,Expired
CTRD41F464776,CUST100049425,Fixed Term,2021-08-27,24,2023-08-27,True,Active
CTRFA5A5E937A,CUST100000792,Fixed Term,2023-09-30,0,,False,Terminated Early
CTR8B4C311334,CUST100070692,Enterprise SLA,2018-07-26,12,2019-07-26,False,Active
CTR7F42DAEF54,CUST100030862,Fixed Term,2022-03-24,0,,False,Active
CTRDA1941AA97,CUST100096767,Fixed Term,2015-03-04,0,,True,Pending Renewal
CTR1553B59EC0,CUST100003443,Month-to-Month,2016-12-05,24,2018-12-05,True,Pending Renewal
CTR891ED22945,CUST100016613,Fixed Term,2025-08-18,0,,True,Active
CTR1EB4B2C2F5,CUST100037484,Month-to-Month,2022-10-30,12,2023-10-30,True,Pending Renewal
CTRE7B1FE1103,CUST100037450,Fixed Term,2025-10-20,12,2026-10-20,True,Terminated Early
CTRFC0B06634E,CUST100009067,Month-to-Month,2024-01-11,0,,False,Active
CTR437FD74716,CUST100003041,Fixed Term,2023-10-11,0,,False,Active
CTR5BF21EB543,CUST100060160,Fixed Term,2019-03-27,24,2021-03-27,True,Active
CTR12C6B92862,CUST100078801,Fixed Term,2024-07-16,0,,False,Active
CTR18FA4317FD,CUST100057062,Fixed Term,2022-02-02,24,2024-02-02,False,Expired
CTR425CFE0CC4,CUST100083557,Fixed Term,2024-11-28,24,2026-11-28,True,Active
CTR93253545A5,CUST100047526,Enterprise SLA,2024-06-19,24,2026-06-19,True,Terminated Early
CTR67EC23EC9E,CUST100070478,Month-to-Month,2017-05-05,24,2019-05-05,True,Expired
CTRE324C1195D,CUST100055014,Fixed Term,2020-07-29,24,2022-07-29,True,Active
CTR5250B724F1,CUST100018641,Fixed Term,2024-11-09,24,2026-11-09,True,Active
CTRE5DB8564D7,CUST100004799,Month-to-Month,2021-01-09,24,2023-01-09,True,Active
CTR35B9567002,CUST100045589,Fixed Term,2023-08-22,12,2024-08-22,False,Expired
CTRB0EC5E61EC,CUST100088344,Month-to-Month,2025-06-14,24,2027-06-14,False,Active
CTR0539C590ED,CUST100072607,Month-to-Month,2015-04-13,0,,True,Active
CTR587E12C104,CUST100045395,Fixed Term,2015-11-19,0,,True,Active
CTR7A2A028008,CUST100098862,Month-to-Month,2020-06-05,12,2021-06-05,True,Active
CTRB3A4BB7A60,CUST100070982,Fixed Term,2024-07-14,24,2026-07-14,False,Active
CTR9FDD9A3299,CUST100019507,Fixed Term,2023-11-15,24,2025-11-15,True,Active
CTR793E75F43E,CUST100061169,Month-to-Month,2015-10-29,24,2017-10-29,True,Active
CTR7894C83ED7,CUST100092907,Month-to-Month,2025-12-02,24,2027-12-02,True,Active
CTRE9C9F703B0,CUST100049727,Fixed Term,2016-12-30,24,2018-12-30,False,Terminated Early
CTR8A91952404,CUST100045788,Month-to-Month,2021-10-04,24,2023-10-04,True,Terminated Early
CTRCA54CADE32,CUST100019777,Fixed Term,2017-05-24,24,2019-05-24,False,Active
CTR55038F4F39,CUST100005069,Fixed Term,2022-07-02,12,2023-07-02,False,Terminated Early
CTRC57A6EAB33,CUST100069846,Fixed Term,2020-10-27,24,2022-10-27,False,Active
CTRC6D5EB0CC8,CUST100086347,Fixed Term,2020-11-17,24,2022-11-17,False,Terminated Early
CTR5C62216317,CUST100005561,Fixed Term,2020-04-02,0,,True,Active
CTRF46BAEE154,CUST100093797,Month-to-Month,2021-01-11,12,2022-01-11,True,Active
CTR07E65B81CE,CUST100099754,Fixed Term,2023-12-02,36,2026-12-02,True,Active
CTRBC481A71E1,CUST100070118,Month-to-Month,2017-11-14,24,2019-11-14,True,Active
CTR7A3598F8C2,CUST100035179,Fixed Term,2021-09-29,0,,True,Terminated Early
CTR99D4063B8A,CUST100011315,Month-to-Month,2024-07-30,24,2026-07-30,True,Active
