usage_id,customer_id,usage_date,data_used_gb,peak_hour_usage_gb,throttled_flag
BWU383025097839,CUST100082884,2026-06-18,0.395,1.882,False
BWUE4883A2CBC08,CUST100086178,2026-06-29,7.627,1.828,False
BWU33924C538D79,CUST100056728,2026-06-11,1.951,1.528,False
BWU22F089556C6C,CUST100094981,2026-07-23,0.139,0.453,False
BWUF32653483775,CUST100081630,2026-06-25,1.904,0.257,True
BWU04C1C597B186,CUST100091198,2026-06-13,9.184,2.327,False
BWU79A4D642365E,CUST100023608,2026-06-28,2.577,4.369,False
BWU5995B9AB0AB1,CUST100008700,2026-07-20,0.157,0.73,False
BWU3893F1E4FB43,CUST100076081,2026-06-29,5.596,0.015,False
BWUA4842F2324E9,CUST100084119,2026-06-13,4.472,0.421,False
BWU6FE6A101D3CD,CUST100049795,2026-06-26,0.74,1.126,False
BWUE4289FBECA29,CUST100057208,2026-06-04,2.274,0.041,False
BWU856E396884B9,CUST100058638,2026-06-29,27.425,0.037,False
BWUF056F7434A00,CUST100022874,2026-06-01,2.047,1.054,False
BWUE4C0C1CD940B,CUST100026264,2026-07-09,4.282,0.733,False
BWUE9E5CA332B4C,CUST100079834,2026-06-13,2.582,1.548,False
BWU26DE08330F46,CUST100016849,2026-07-23,4.726,0.722,False
BWU8F32C410B606,CUST100065454,2026-06-30,2.093,0.242,False
BWU2FB449D8B673,CUST100046528,2026-07-01,0.048,0.992,False
BWU55E0E22CB1D4,CUST100074792,2026-06-03,1.033,0.359,False
BWUCAE633D46F75,CUST100082380,2026-07-02,0.147,0.912,False
BWU2B35B77F113B,CUST100021135,2026-07-19,1.3,0.18,False
BWUB59B70BBA8D5,CUST100061666,2026-06-19,4.858,0.304,False
BWU95F76FB12DA5,CUST100033311,2026-06-23,0.5,1.829,False
BWUFF4436EF7E47,CUST100095171,2026-06-26,2.944,0.742,False
BWU15255B923895,CUST100004595,2026-06-21,0.535,0.234,False
BWU1D2E152A41EC,CUST100075482,2026-06-12,0.181,0.639,False
BWU7D389228135B,CUST100040687,2026-07-19,0.636,1.66,False
BWUF43B6034B6EF,CUST100019160,2026-06-09,1.633,0.912,False
BWU8FB63AAD0D53,CUST100083096,2026-06-20,3.265,0.67,False
BWU951DAE5C0016,CUST100041060,2026-06-21,1.335,0.251,False
BWU9DC3EE68FDDA,CUST100089933,2026-07-23,1.817,3.363,False
BWUE5BD3D7DCF2B,CUST100068919,2026-06-20,5.222,0.901,False
BWU6D361B4037E7,CUST100058870,2026-07-06,5.181,0.209,True
BWU5585632270B9,CUST100019318,2026-07-23,0.273,1.083,False
BWU35CA3771102A,CUST100014511,2026-06-09,6.675,0.741,False
BWUB9C49DA503C0,CUST100058931,2026-06-24,7.635,1.975,False
BWU6360D11BE3F4,CUST100049365,2026-06-09,1.119,0.279,False
BWU51D01EB53DEF,CUST100002708,2026-06-28,4.276,3.251,False
BWU3B6D26821D17,CUST100052379,2026-07-09,3.186,1.523,False
BWU565DC794E15E,CUST100054966,2026-07-09,0.558,2.677,False
BWU0901239AF87B,CUST100036465,2026-06-22,1.83,0.003,False
BWU79D384044CDB,CUST100046234,2026-06-25,10.515,3.005,False
BWUA6CED2FF56D9,CUST100059037,2026-06-23,0.569,1.569,False
BWU885D272C12EC,CUST100039288,2026-06-26,3.251,0.953,False
BWU70F6F7CB40A5,CUST100002664,2026-07-14,10.712,1.806,False
BWU9194BD597484,CUST100049151,2026-06-23,3.745,0.641,False
BWU53590E2AEAA4,CUST100082946,2026-07-09,1.626,0.982,False
BWU8CA1675C37D2,CUST100017449,2026-07-14,0.47,0.607,False
BWU4F0DE3AEEC32,CUST100023467,2026-06-09,1.116,2.757,False
BWUFD88742DF51B,CUST100087356,2026-06-12,0.886,0.89,False
BWU4AB6DF048F87,CUST100039337,2026-06-11,1.066,2.894,False
BWUB78F67CC6C6B,CUST100084360,2026-06-22,5.434,1.102,False
BWUD7E161F81883,CUST100048077,2026-06-12,6.978,1.401,False
BWU5BFAF9356994,CUST100072979,2026-06-02,0.241,0.623,False
BWU64DB6C238C88,CUST100076798,2026-07-04,0.592,4.081,False
BWUFD05D2D29F7A,CUST100076203,2026-06-29,7.15,0.67,False
BWUA708CEC4F3A3,CUST100071519,2026-07-02,16.005,1.15,False
BWU593CFF80B412,CUST100067737,2026-06-23,13.415,0.317,False
BWU89151618AD4F,CUST100095136,2026-06-15,7.926,0.05,False
BWUC42D8D61C689,CUST100033748,2026-07-08,2.462,1.618,False
BWU4ECD63135E2E,CUST100088373,2026-06-25,6.016,5.168,False
BWUD2255337EAC6,CUST100083959,2026-06-22,5.266,0.57,False
BWU3441A46BA286,CUST100041542,2026-06-04,7.539,0.947,False
BWU164F170223B8,CUST100043274,2026-06-24,2.878,0.322,False
BWU6F648F8D7159,CUST100013840,2026-06-18,0.031,2.206,True
BWUA389554AEAA0,CUST100056700,2026-06-14,8.091,0.28,False
BWU8E4D622A72B0,CUST100074586,2026-06-12,1.213,1.588,False
BWU85312FBDC7A8,CUST100041093,2026-06-08,0.244,0.205,False
BWU90358749F4BC,CUST100069923,2026-07-19,4.474,0.117,False
BWU4D5FF08D55E5,CUST100019882,2026-06-01,4.451,2.618,False
BWU400C849BF201,CUST100024456,2026-07-06,1.671,0.687,False
BWU8A802D948ECC,CUST100047357,2026-06-28,8.486,2.999,False
BWUD2484C2310A9,CUST100033148,2026-07-02,4.674,2.559,False
BWU059E2136D150,CUST100029207,2026-06-26,1.766,3.655,False
BWUD90C4A5E4752,CUST100077223,2026-06-20,4.207,3.608,False
BWU90ED02188D5D,CUST100090306,2026-06-20,0.307,1.222,False
BWUA6D672FB7DCB,CUST100091569,2026-06-29,2.869,4.049,False
BWU4C740C4AD2B5,CUST100096175,2026-07-09,2.86,0.41,False
BWUA211215D7302,CUST100057230,2026-06-27,5.99,4.536,False
BWU1C1F45C52C04,CUST100088960,2026-06-26,2.196,1.48,False
BWU832CCDED389C,CUST100007840,2026-06-02,1.139,1.828,False
BWU8FBAEAFA95ED,CUST100019234,2026-07-08,9.406,1.532,False
BWU3C2FCC86B223,CUST100015622,2026-06-25,11.965,0.087,True
BWU3515162AD557,CUST100074300,2026-07-23,4.256,3.531,False
BWU434D02C27D71,CUST100010461,2026-06-06,2.496,1.296,False
BWU11E28FBA5B9F,CUST100006821,2026-06-26,2.604,0.523,False
BWUECEA68DE93EA,CUST100025312,2026-07-11,6.194,5.047,False
BWU06DE58FE4305,CUST100066815,2026-07-19,6.328,4.283,False
BWU2E2B201E10A7,CUST100093224,2026-06-12,6.572,1.326,False
BWU10363CE25D7A,CUST100039694,2026-06-18,1.885,2.35,False
BWUB45B7CE54A08,CUST100035216,2026-06-01,4.361,1.728,False
BWU09F78D17840B,CUST100041613,2026-06-18,8.846,5.872,False
BWU792DA9F26D82,CUST100045046,2026-07-03,1.699,0.992,False
BWUA315E468452B,CUST100092200,2026-06-26,0.639,0.805,False
BWUC7CD96610690,CUST100064155,2026-06-14,6.426,0.995,False
BWU7BA662300C8B,CUST100027390,2026-06-07,2.599,0.046,False
BWU834B9E94E4F1,CUST100010568,2026-06-04,1.4,0.575,False
BWU5C0B81DF6D76,CUST100099726,2026-07-07,0.807,1.234,False
BWU9E6EFF6D72F7,CUST100062748,2026-07-13,1.502,3.085,False
BWUF0F0B40BA00F,CUST100050558,2026-07-14,2.888,1.223,True
BWU9CB387EF1C21,CUST100074547,2026-06-10,1.773,1.853,False
BWUFAC08A3FEA24,CUST100041178,2026-06-08,10.751,1.952,False
BWU172A4C368154,CUST100052515,2026-07-11,0.407,0.331,False
BWU5BA0D61FFB41,CUST100090630,2026-07-09,0.473,2.18,False
BWU356AA2283A20,CUST100088208,2026-06-06,19.839,0.934,False
BWUEF60DF24E900,CUST100037487,2026-07-22,2.005,0.599,False
BWU354ED32FC6D6,CUST100060622,2026-07-01,2.221,2.242,False
BWUDBE448199055,CUST100009547,2026-06-07,3.111,1.239,False
BWU27B8E9DC9073,CUST100037731,2026-07-12,0.131,1.175,True
BWU05E2FDD4F63E,CUST100023431,2026-07-05,12.1,0.551,True
BWU4965D39E3D2B,CUST100041034,2026-06-15,0.658,1.743,False
BWU0268A48EE9B4,CUST100021244,2026-06-27,0.1,1.178,False
BWUA7C4DA1E7402,CUST100074784,2026-07-22,2.273,4.095,False
BWU92B97383C817,CUST100016742,2026-07-09,9.675,0.272,False
BWUCC96720F9AA1,CUST100049867,2026-06-16,0.616,1.522,False
BWU96B3AA35BF4F,CUST100002169,2026-06-27,13.742,5.596,False
BWU8E5331F3CC5D,CUST100047156,2026-06-19,10.4,0.874,False
BWUB74D72224215,CUST100080801,2026-06-25,1.765,3.208,True
BWU67D548377DBC,CUST100061969,2026-07-20,23.82,3.576,False
BWU0E7B46B7CE2D,CUST100030556,2026-07-13,9.984,0.06,False
BWU876EC6E98E44,CUST100070592,2026-06-08,0.043,1.12,False
BWUE5F0C2EE9F25,CUST100083867,2026-06-04,6.675,0.148,False
BWU9CB93FAB4135,CUST100038676,2026-06-28,1.911,0.846,True
BWUFE903DF96C98,CUST100024911,2026-06-25,7.707,0.043,False
BWUE28EC1C6316A,CUST100083640,2026-06-12,4.915,2.224,False
BWUA94FAD29BD56,CUST100016981,2026-07-22,1.014,0.538,False
BWUC56AE6C8027A,CUST100004049,2026-06-21,0.076,4.341,False
BWU94606E70A349,CUST100014001,2026-07-11,9.592,1.731,False
BWU472297241ABC,CUST100097215,2026-06-05,0.288,0.31,False
BWU11D7178843E5,CUST100041704,2026-07-14,16.424,6.994,True
BWUEA686D6EEDDF,CUST100045526,2026-07-21,3.39,0.753,False
BWUCC11C029EBDA,CUST100011621,2026-07-15,6.048,1.059,False
BWU633A85BC60D0,CUST100027791,2026-07-03,0.247,1.747,False
BWU27D90DCF06CB,CUST100053547,2026-06-01,2.0,2.505,False
BWUC456A099F792,CUST100046049,2026-06-27,8.771,0.632,False
BWUDA994420742C,CUST100052256,2026-07-17,1.536,0.303,False
BWU408A190C167E,CUST100037636,2026-06-29,0.328,1.096,False
BWU1A4E0C497684,CUST100073098,2026-07-05,1.738,2.502,False
BWU711F4E1D3E54,CUST100037496,2026-07-15,1.981,1.825,False
BWUCF426AD376CA,CUST100005209,2026-06-16,2.719,2.549,False
BWUF26EF768FE86,CUST100027283,2026-06-17,3.599,0.518,False
BWUB56284C106DB,CUST100058930,2026-07-14,1.738,0.476,False
BWUE18349DDB6A5,CUST100080830,2026-06-08,7.799,0.002,True
BWUE0C5A0EB5E83,CUST100011313,2026-07-01,0.812,0.783,False
BWU30654CABD20C,CUST100082184,2026-06-16,6.772,1.334,False
BWUC652F7BCD079,CUST100006576,2026-07-21,18.132,0.939,False
BWU0D449E84A3D8,CUST100095165,2026-06-02,4.552,0.825,False
BWUAFA1001D3C77,CUST100087458,2026-07-06,2.175,0.68,False
BWUCFCD727EA04A,CUST100038567,2026-06-26,12.377,5.081,False
BWUF1CD3BE715DA,CUST100068789,2026-07-03,3.761,0.726,False
BWUA37A8618D6D0,CUST100066576,2026-06-03,1.745,3.505,False
BWU801E763B0F01,CUST100037310,2026-07-12,0.121,1.569,False
BWU4ACDFB852284,CUST100054994,2026-07-17,1.529,0.081,False
BWUB9349D17ABA7,CUST100093549,2026-06-19,3.33,1.232,False
BWUAAFF9E21B2ED,CUST100050525,2026-07-09,3.101,0.038,False
BWU382ED175A45C,CUST100052388,2026-06-04,2.069,0.516,False
BWUAF0CBB0D1E72,CUST100004760,2026-06-30,4.999,1.281,False
BWU328759EFF31C,CUST100066929,2026-06-05,4.754,0.11,False
BWU6BBB2C3C3FE3,CUST100076459,2026-06-25,2.268,1.762,False
BWU278109F72B4E,CUST100088669,2026-07-10,6.11,0.266,False
BWU82A30859767F,CUST100065749,2026-06-10,1.998,5.599,False
BWU8B0D11E3CCC2,CUST100058941,2026-07-17,2.032,1.942,False
BWUC6C7E69B6E33,CUST100017388,2026-06-23,5.225,0.191,False
BWUFC7BE1685F5C,CUST100019798,2026-07-01,2.356,4.49,False
BWU4628091E4919,CUST100078815,2026-06-11,0.417,1.35,False
BWU2D36B2CC92F8,CUST100086619,2026-07-21,0.764,2.636,False
BWU1C34819A100F,CUST100027594,2026-06-20,5.78,1.302,False
BWU423333682617,CUST100046014,2026-07-09,0.641,2.174,False
BWU2699D0E89FCF,CUST100062350,2026-07-22,2.616,2.356,True
BWUB6D24BBA6CF5,CUST100046902,2026-06-19,1.64,0.462,False
BWU028B153F26AB,CUST100072950,2026-07-02,3.251,1.306,False
BWUC5C70FF47FB3,CUST100075940,2026-06-14,3.338,0.335,False
BWU270A730EE0EA,CUST100039105,2026-07-08,4.629,0.337,False
BWU9FF6414BBC48,CUST100012346,2026-06-17,11.333,5.756,False
BWU15F9F7E7A291,CUST100034661,2026-06-11,5.535,0.612,False
BWU3E5B8E1F6905,CUST100035255,2026-06-02,10.373,0.421,False
BWU39690F72152D,CUST100078078,2026-07-07,1.902,0.641,False
BWU05B720132D0D,CUST100017405,2026-07-16,5.409,0.5,False
BWU04C4729251C3,CUST100083678,2026-07-11,4.744,1.323,False
BWU720248BEEC69,CUST100085198,2026-06-02,6.861,0.043,False
BWU045776FF7B96,CUST100035315,2026-06-19,2.463,0.969,False
BWUFC8C1EA3D089,CUST100042414,2026-07-06,1.663,0.281,False
BWUA8A770CF6322,CUST100057148,2026-06-28,8.614,7.862,False
BWU2FC5A529377A,CUST100061742,2026-06-03,3.758,0.023,False
BWUB05FF13E7621,CUST100060932,2026-07-17,6.302,0.287,False
BWUCA800C4E9359,CUST100076039,2026-06-29,5.786,0.252,False
BWU1C95A292E8BC,CUST100097110,2026-07-07,0.248,1.301,False
BWUD97BC805596C,CUST100064217,2026-07-02,0.49,0.024,False
BWU6883911AD964,CUST100012718,2026-07-13,3.89,1.926,False
BWU7E8810F5AC4A,CUST100058108,2026-07-15,3.712,0.961,False
BWU4CB7B5F2A150,CUST100063956,2026-06-19,8.013,3.054,False
BWU48D78F7E65FF,CUST100052988,2026-06-06,6.384,3.354,False
BWUBDA6037024C1,CUST100038112,2026-06-19,1.808,0.73,False
BWU4B19E53DA924,CUST100047361,2026-07-05,2.835,1.433,False
BWU62A171C4DAD9,CUST100070762,2026-07-07,0.834,1.457,False
BWUB1FD465B45B2,CUST100024147,2026-06-03,4.702,0.627,False
BWU6F31A6EB587F,CUST100009326,2026-07-16,0.164,2.964,False
BWU899DC8DD4EF3,CUST100013797,2026-06-18,1.777,3.677,False
BWU96DFEE17E887,CUST100041846,2026-06-17,2.445,0.546,False
BWU8B8EE1F94D6B,CUST100069756,2026-07-05,0.618,4.31,False
BWU3920935CD224,CUST100029540,2026-06-24,0.807,0.683,False
BWU557C2AF573F0,CUST100083466,2026-07-21,2.678,1.079,True
BWU4734D77A88EE,CUST100064319,2026-06-18,5.875,2.207,False
BWUD2E2B2A82FD9,CUST100012656,2026-07-02,0.991,1.062,False
BWUC702C7C83743,CUST100048626,2026-07-14,1.348,0.479,False
BWU036889AEA435,CUST100021340,2026-06-16,5.208,0.504,False
BWU14B60215E40D,CUST100023595,2026-07-08,9.002,0.954,False
BWU9EACA90D471A,CUST100025987,2026-07-07,1.222,1.99,False
BWUD32EE9BDE568,CUST100023692,2026-06-26,0.892,0.202,False
BWU8A6B3E752FE7,CUST100057283,2026-06-21,0.317,0.661,False
BWUE0C14B07BB51,CUST100078879,2026-06-27,10.987,1.566,False
BWU5ED02EFD3455,CUST100072396,2026-07-02,1.423,1.107,False
BWUBB651FE45FD7,CUST100046517,2026-07-07,13.951,1.487,False
BWU0B3BBDD514C0,CUST100079766,2026-06-09,1.105,0.923,False
BWU3F945D88F38B,CUST100015569,2026-07-15,4.396,0.601,False
BWUFE0C3D87A97A,CUST100016447,2026-06-05,6.238,1.954,False
BWUF113309F8599,CUST100022328,2026-06-22,0.161,0.903,False
BWU5A8E40D50846,CUST100086270,2026-06-22,2.92,3.759,False
BWU9AB88DFEFF54,CUST100055456,2026-06-22,2.792,0.87,False
BWU7B3502864781,CUST100022811,2026-06-29,3.543,0.79,False
BWUFC9493CDA851,CUST100098574,2026-07-12,10.404,1.029,False
BWU2CC629E4DAF9,CUST100083240,2026-07-10,9.066,1.079,False
BWU8D49E091125F,CUST100067445,2026-06-15,7.115,4.503,False
BWU11A9912C2E67,CUST100091855,2026-06-12,8.588,4.707,False
BWUDAD9FEC00C2D,CUST100066469,2026-07-17,4.76,2.125,True
BWU63AC1B130A9C,CUST100058345,2026-06-01,0.625,0.033,False
BWU5E49FD076476,CUST100068374,2026-06-21,4.152,0.171,False
BWUD7117B01D97F,CUST100052473,2026-07-15,17.609,1.305,False
BWU807608E873DE,CUST100092972,2026-06-03,2.24,3.01,False
BWUCC05396BBC5D,CUST100092709,2026-07-05,1.675,0.577,False
BWUCAD182A16DAA,CUST100026704,2026-07-18,3.919,1.643,True
BWU05A3765A5DA7,CUST100057525,2026-06-27,2.859,0.196,False
BWUA2DC2B45FA93,CUST100044281,2026-06-12,0.094,0.859,False
BWUA7E27971B845,CUST100016763,2026-07-11,1.612,1.177,False
BWU0410C93569F1,CUST100023238,2026-06-08,3.413,2.874,False
BWU91B222FD8163,CUST100031578,2026-07-15,1.201,0.87,False
BWU46EE4B8376A8,CUST100007919,2026-07-21,0.744,1.213,False
BWU4586D8C070DB,CUST100058873,2026-06-11,11.284,0.712,False
BWU4C3BEC885FCA,CUST100008043,2026-06-30,1.55,4.396,False
BWU08912EE02FF0,CUST100029821,2026-07-08,6.609,0.555,False
BWUCCC18A76F62B,CUST100021884,2026-06-27,16.878,0.065,True
BWU57EAA1A62EE8,CUST100081177,2026-06-17,1.42,2.862,False
BWUC806A093ECA6,CUST100070092,2026-07-12,15.189,0.285,False
BWU71F4D7F04E98,CUST100032119,2026-06-14,0.87,0.983,False
BWUA1E6D9DB0312,CUST100049325,2026-07-12,2.278,3.691,False
BWUFB4E5E621893,CUST100036481,2026-07-22,4.279,1.085,False
BWU4F705B27CFE0,CUST100030685,2026-06-16,4.163,0.689,False
BWU385EE859653E,CUST100099841,2026-07-12,0.67,0.514,True
BWUD49BFF0BCEB0,CUST100052727,2026-06-16,0.761,0.302,False
BWUC5FE695CCF7F,CUST100025585,2026-06-24,3.408,3.107,True
BWU0FE307514241,CUST100004751,2026-07-03,3.546,2.95,False
BWUBCB1673FE1D4,CUST100026850,2026-07-10,3.15,0.054,False
BWU9BCB7166840F,CUST100016292,2026-06-04,10.448,0.884,False
BWU6CE96FE5F901,CUST100089434,2026-07-04,1.659,0.037,False
BWUAE8907464698,CUST100052106,2026-07-09,5.523,0.212,False
BWUC92F1DBE8EC5,CUST100009251,2026-06-11,1.998,1.099,False
BWUA2B3CF75E3FD,CUST100091489,2026-07-02,3.179,0.322,False
BWU7823FAE6EF4B,CUST100032262,2026-07-18,8.116,2.071,False
BWU78716E7E61FF,CUST100060416,2026-07-23,3.337,0.712,False
BWU90CB8277273F,CUST100064710,2026-06-08,1.514,0.598,False
BWU525E28138B5D,CUST100099600,2026-06-22,0.498,1.232,False
BWUAF8BC56BE81A,CUST100023021,2026-06-25,6.734,0.586,False
BWU7783E4072F64,CUST100063546,2026-06-29,5.359,1.631,False
BWU3B3E0AB0E45B,CUST100045137,2026-07-21,1.278,1.022,False
BWUDA65BABA6982,CUST100084054,2026-06-02,1.085,0.048,False
BWU0D4ED15061A0,CUST100086399,2026-07-19,4.086,0.939,False
BWU46BE40115352,CUST100050250,2026-06-20,0.593,0.7,False
BWU16F104AFBBFA,CUST100098889,2026-06-06,7.81,0.201,False
BWU8C546AB4DB27,CUST100098256,2026-07-10,9.261,0.179,False
BWUFB14D1ADAFAB,CUST100051117,2026-07-21,2.083,0.338,False
BWU758425320B1C,CUST100094949,2026-06-25,4.618,0.671,True
BWU441EA8FEB910,CUST100070309,2026-07-08,3.936,0.278,False
BWUFA2FE96C4966,CUST100034095,2026-06-21,22.041,0.023,False
BWU484C49256A8E,CUST100096200,2026-07-10,9.362,0.857,False
BWUF28B99DC00F5,CUST100006314,2026-06-01,3.28,0.636,False
BWU9C26E8D999EA,CUST100006114,2026-07-20,3.421,0.986,False
BWU19E7184BE997,CUST100068912,2026-06-12,0.76,1.28,False
BWU606681D9860A,CUST100093075,2026-06-10,1.329,0.577,False
BWU75A69644022C,CUST100085914,2026-07-10,3.528,2.119,False
BWUC14F3D02F891,CUST100002579,2026-06-09,0.828,0.689,False
BWU9B6341CA5FAD,CUST100040252,2026-07-16,0.609,0.168,False
BWUFC888321DC20,CUST100017058,2026-07-02,1.228,0.495,False
BWU66FA71DF3F5D,CUST100043243,2026-07-20,1.165,1.165,False
BWUC229D5A7C1A3,CUST100042005,2026-06-01,0.311,6.646,False
BWU3002E522374C,CUST100056296,2026-06-10,1.568,0.788,True
BWU34685FC76890,CUST100009139,2026-06-19,4.049,0.249,False
BWU7E9847BE5794,CUST100088983,2026-06-16,1.592,0.75,False
BWU1ED5E9D0DC16,CUST100001625,2026-06-15,9.245,0.797,False
BWU473D9C0AED95,CUST100088562,2026-07-13,0.138,0.75,False
BWU4D318A0CEEA9,CUST100074663,2026-07-05,5.52,0.059,True
BWUA2C29866F1CA,CUST100088961,2026-06-12,11.366,0.119,False
BWU8D8EC3467129,CUST100022532,2026-07-02,2.093,0.836,False
BWUEA0A40D97D46,CUST100028433,2026-07-23,5.973,0.606,False
BWUA6F2ED9DB172,CUST100011989,2026-06-20,6.317,1.697,False
BWU4AA0F8725AAB,CUST100043432,2026-06-19,7.577,1.837,True
BWUC7244671B427,CUST100066677,2026-06-12,0.446,1.834,True
BWU7E89C1F83C32,CUST100031509,2026-06-20,5.639,0.17,False
BWUF71495BEE84E,CUST100097890,2026-06-20,6.024,1.903,False
BWU322D313AB4E7,CUST100007098,2026-06-23,0.957,3.68,False
BWU10B08E2272F1,CUST100092749,2026-06-15,6.327,2.058,False
BWU7CD6FF048A8B,CUST100026514,2026-07-01,4.994,1.329,False
BWU3C9E79122810,CUST100013412,2026-06-22,13.841,1.746,True
BWUA67351FCCD9B,CUST100062064,2026-06-05,12.61,1.145,False
BWU84972093EF97,CUST100042107,2026-07-01,4.608,1.465,False
BWUDF8A948A6E83,CUST100000153,2026-07-20,0.716,0.626,False
BWU72E1D47B833C,CUST100040750,2026-07-03,0.192,2.251,False
BWUBE8D8B39F71E,CUST100020979,2026-06-30,14.517,1.089,False
BWU0D599AFA48DD,CUST100055895,2026-06-26,8.542,0.82,False
BWUF7BDB993DE61,CUST100052963,2026-06-15,1.188,4.25,False
BWU370C22D656E5,CUST100007319,2026-07-20,6.67,0.354,False
BWU12FBD1CD89EC,CUST100036356,2026-07-09,2.785,5.512,False
BWUF21E6053D10F,CUST100090157,2026-07-21,1.897,0.021,False
BWUB4EF43AED201,CUST100072237,2026-06-23,2.253,0.78,False
BWU5B573AF311CD,CUST100013502,2026-06-14,0.908,3.208,False
BWUEC8B4EEBEBCD,CUST100042201,2026-06-11,21.631,2.722,False
BWUBC61A08D991F,CUST100065072,2026-07-07,1.215,0.076,True
BWU08412A3E4AB5,CUST100046817,2026-07-21,0.251,0.331,False
BWU5B55C18BB063,CUST100035300,2026-06-11,0.968,4.478,False
BWU9437F3BA09CC,CUST100051611,2026-06-20,1.627,3.819,False
BWU79E18CA19F87,CUST100082527,2026-07-15,1.097,1.216,False
BWU49D9355AACD5,CUST100065506,2026-07-01,9.685,2.521,False
BWU43AF18CC7D46,CUST100002693,2026-06-15,2.688,0.27,False
BWU2EAFC2739A30,CUST100016664,2026-07-07,4.33,4.944,False
BWUE8FDFD5DDBDF,CUST100039065,2026-07-02,0.816,0.001,False
BWU7B73E34931B2,CUST100092817,2026-07-09,6.027,0.037,False
BWUDA6D263A92CA,CUST100021155,2026-07-21,7.414,0.446,False
BWUBF7486393CCE,CUST100042208,2026-06-08,1.554,1.272,False
BWUAA98934709FD,CUST100007434,2026-07-11,0.473,2.832,False
BWU5F05AF8B5C09,CUST100029939,2026-07-02,0.11,2.064,False
BWU9AE1E55D35CA,CUST100046519,2026-06-30,7.886,0.784,False
BWUED4F7ABA0C1D,CUST100087115,2026-06-09,3.612,1.39,False
BWU5594ED2C822A,CUST100049672,2026-06-18,5.888,1.519,False
BWUFC1AC5811657,CUST100021921,2026-06-15,4.854,0.196,False
BWUDCD69E2495AC,CUST100025725,2026-06-24,2.848,1.551,False
