customer_id,clv_estimate_usd,clv_segment,calculation_date
CUST100038790,633.71,Silver,2026-07-04
CUST100020045,948.67,Silver,2026-07-05
CUST100096433,2686.84,Gold,2026-07-23
CUST100009832,483.14,Bronze,2026-07-10
CUST100029291,857.87,Silver,2026-07-10
CUST100033686,2993.0,Gold,2026-07-09
CUST100074377,2306.92,Gold,2026-07-18
CUST100000508,576.16,Silver,2026-07-23
CUST100082442,1337.63,Silver,2026-07-13
CUST100076219,727.68,Silver,2026-07-20
CUST100019927,1261.51,Silver,2026-07-11
CUST100041591,1296.26,Silver,2026-07-04
CUST100038568,1689.8,Gold,2026-07-15
CUST100021076,1198.82,Silver,2026-07-11
CUST100000030,592.53,Silver,2026-07-08
CUST100020518,739.68,Silver,2026-07-22
CUST100047665,2091.47,Gold,2026-07-08
CUST100024750,721.39,Silver,2026-07-08
CUST100061861,1297.44,Silver,2026-07-06
CUST100060200,994.86,Silver,2026-07-20
CUST100057415,1350.24,Silver,2026-07-16
CUST100076332,2189.56,Gold,2026-07-17
CUST100055993,775.85,Silver,2026-07-05
CUST100018287,612.49,Silver,2026-07-18
CUST100051769,966.08,Silver,2026-07-17
CUST100000250,1040.54,Silver,2026-07-19
CUST100015297,507.28,Silver,2026-07-20
CUST100073395,810.1,Silver,2026-07-10
CUST100092597,1328.14,Silver,2026-07-20
CUST100099271,2456.34,Gold,2026-07-11
CUST100020737,1010.56,Silver,2026-07-15
CUST100019929,1839.01,Gold,2026-07-03
CUST100012624,1231.96,Silver,2026-07-11
CUST100010681,1090.52,Silver,2026-07-23
CUST100060167,688.14,Silver,2026-07-15
CUST100001055,1516.4,Gold,2026-07-10
CUST100097563,553.14,Silver,2026-07-10
CUST100058168,1803.84,Gold,2026-07-02
CUST100005385,1066.28,Silver,2026-07-21
CUST100071979,2310.3,Gold,2026-07-01
CUST100065404,1589.68,Gold,2026-07-14
CUST100061558,1619.38,Gold,2026-07-13
CUST100047244,211.94,Bronze,2026-07-08
CUST100005966,1270.85,Silver,2026-07-16
CUST100021575,1459.1,Silver,2026-07-20
CUST100052946,802.29,Silver,2026-07-16
CUST100016951,1201.37,Silver,2026-07-04
CUST100083191,1691.81,Gold,2026-07-09
CUST100058924,1039.88,Silver,2026-07-23
CUST100092587,587.98,Silver,2026-07-14
CUST100073307,750.31,Silver,2026-07-18
CUST100098185,979.81,Silver,2026-07-01
CUST100034536,1374.68,Silver,2026-07-06
CUST100010451,646.12,Silver,2026-07-15
CUST100063749,487.92,Bronze,2026-07-03
CUST100004580,727.72,Silver,2026-07-01
CUST100007617,1256.53,Silver,2026-07-19
CUST100006851,1816.73,Gold,2026-07-17
CUST100098712,1375.89,Silver,2026-07-08
CUST100095547,801.85,Silver,2026-07-20
CUST100008728,531.64,Silver,2026-07-05
CUST100006594,2452.24,Gold,2026-07-22
CUST100021632,1491.15,Silver,2026-07-20
CUST100051757,623.38,Silver,2026-07-16
CUST100051652,677.93,Silver,2026-07-08
CUST100093258,306.56,Bronze,2026-07-07
CUST100054562,771.8,Silver,2026-07-16
CUST100008067,2149.44,Gold,2026-07-08
CUST100043313,1107.52,Silver,2026-07-08
CUST100064978,1252.9,Silver,2026-07-02
CUST100079769,442.94,Bronze,2026-07-03
CUST100089916,3610.27,Platinum,2026-07-20
CUST100038002,993.94,Silver,2026-07-08
CUST100052899,543.24,Silver,2026-07-12
CUST100039285,2434.11,Gold,2026-07-05
CUST100070461,174.42,Bronze,2026-07-12
CUST100078873,983.73,Silver,2026-07-03
CUST100012278,1386.82,Silver,2026-07-09
CUST100005184,1328.7,Silver,2026-07-18
CUST100063929,566.68,Silver,2026-07-01
CUST100087790,1583.11,Gold,2026-07-03
CUST100035678,642.0,Silver,2026-07-03
CUST100021425,2203.79,Gold,2026-07-12
CUST100087823,1212.48,Silver,2026-07-17
CUST100001027,1003.76,Silver,2026-07-20
CUST100027938,1420.85,Silver,2026-07-10
CUST100069631,1110.89,Silver,2026-07-14
CUST100054738,2108.47,Gold,2026-07-17
CUST100067135,1395.71,Silver,2026-07-21
CUST100037931,1622.09,Gold,2026-07-11
CUST100037492,945.48,Silver,2026-07-06
CUST100085338,1066.77,Silver,2026-07-01
CUST100009287,2187.75,Gold,2026-07-07
CUST100084682,794.35,Silver,2026-07-18
CUST100034419,1846.95,Gold,2026-07-16
CUST100069887,3620.32,Platinum,2026-07-01
CUST100002107,736.33,Silver,2026-07-05
CUST100085516,987.61,Silver,2026-07-15
CUST100020667,898.82,Silver,2026-07-22
CUST100023597,330.13,Bronze,2026-07-07
CUST100001170,1015.67,Silver,2026-07-12
CUST100054807,1478.83,Silver,2026-07-22
CUST100060587,1695.13,Gold,2026-07-05
CUST100007374,921.28,Silver,2026-07-03
CUST100093118,1446.17,Silver,2026-07-05
CUST100093954,3971.32,Platinum,2026-07-03
CUST100058638,677.31,Silver,2026-07-03
CUST100069079,1953.41,Gold,2026-07-13
CUST100024430,1268.71,Silver,2026-07-13
CUST100025941,540.37,Silver,2026-07-20
CUST100055248,2558.29,Gold,2026-07-13
CUST100051855,1211.14,Silver,2026-07-13
CUST100053172,620.63,Silver,2026-07-02
CUST100095158,789.35,Silver,2026-07-13
CUST100093223,849.4,Silver,2026-07-21
CUST100063727,2764.39,Gold,2026-07-18
CUST100026826,729.41,Silver,2026-07-17
CUST100060164,544.82,Silver,2026-07-13
CUST100030014,5696.98,Platinum,2026-07-19
CUST100021304,732.3,Silver,2026-07-02
CUST100093755,1003.84,Silver,2026-07-19
CUST100098884,1166.03,Silver,2026-07-09
CUST100021735,1623.31,Gold,2026-07-18
CUST100084139,340.28,Bronze,2026-07-14
CUST100065485,1499.73,Silver,2026-07-05
CUST100049245,1361.55,Silver,2026-07-04
CUST100012002,1923.37,Gold,2026-07-20
CUST100013048,627.16,Silver,2026-07-10
CUST100036771,756.39,Silver,2026-07-02
CUST100013778,1014.11,Silver,2026-07-18
CUST100066351,2735.72,Gold,2026-07-20
CUST100059581,2090.19,Gold,2026-07-19
CUST100023435,1646.02,Gold,2026-07-13
CUST100070859,2673.35,Gold,2026-07-23
CUST100043039,713.36,Silver,2026-07-15
CUST100004315,1241.2,Silver,2026-07-07
CUST100087118,1731.37,Gold,2026-07-20
CUST100032455,931.69,Silver,2026-07-21
CUST100002813,2107.3,Gold,2026-07-14
CUST100072768,2264.33,Gold,2026-07-06
CUST100077400,1341.21,Silver,2026-07-03
CUST100022614,1291.22,Silver,2026-07-01
CUST100089596,2066.5,Gold,2026-07-03
CUST100008365,1219.49,Silver,2026-07-08
CUST100016795,1546.93,Gold,2026-07-07
CUST100035960,1398.58,Silver,2026-07-15
CUST100016868,583.97,Silver,2026-07-03
CUST100079317,319.66,Bronze,2026-07-14
CUST100099840,979.34,Silver,2026-07-08
CUST100009442,684.28,Silver,2026-07-05
CUST100035406,789.61,Silver,2026-07-14
CUST100093639,853.71,Silver,2026-07-02
CUST100038752,875.34,Silver,2026-07-22
CUST100082568,761.92,Silver,2026-07-05
CUST100007577,1178.95,Silver,2026-07-05
CUST100017488,3030.49,Platinum,2026-07-01
CUST100003961,1085.53,Silver,2026-07-15
CUST100097278,633.02,Silver,2026-07-23
CUST100065448,677.23,Silver,2026-07-04
CUST100074684,1166.92,Silver,2026-07-21
CUST100069176,325.0,Bronze,2026-07-03
CUST100002563,791.56,Silver,2026-07-09
CUST100019712,1185.64,Silver,2026-07-20
CUST100043950,2176.73,Gold,2026-07-03
CUST100007116,1471.77,Silver,2026-07-16
CUST100017899,983.22,Silver,2026-07-01
CUST100035063,2043.82,Gold,2026-07-05
CUST100089021,382.87,Bronze,2026-07-13
CUST100069866,1571.15,Gold,2026-07-07
CUST100000200,802.6,Silver,2026-07-12
CUST100097457,114.44,Bronze,2026-07-04
CUST100092490,217.03,Bronze,2026-07-12
CUST100071317,413.48,Bronze,2026-07-12
CUST100081497,776.41,Silver,2026-07-07
CUST100072618,1298.06,Silver,2026-07-21
CUST100003465,2055.58,Gold,2026-07-21
CUST100004596,1151.06,Silver,2026-07-01
CUST100089438,316.03,Bronze,2026-07-15
CUST100086759,875.5,Silver,2026-07-11
CUST100032881,1364.08,Silver,2026-07-09
CUST100020687,890.93,Silver,2026-07-06
CUST100057584,1044.29,Silver,2026-07-04
CUST100082473,1165.34,Silver,2026-07-03
CUST100057796,143.86,Bronze,2026-07-03
CUST100013256,1850.09,Gold,2026-07-18
CUST100033720,488.96,Bronze,2026-07-15
CUST100078246,3590.08,Platinum,2026-07-09
CUST100073421,1193.87,Silver,2026-07-21
CUST100042238,2405.2,Gold,2026-07-12
CUST100012927,925.57,Silver,2026-07-12
CUST100040723,1408.45,Silver,2026-07-06
CUST100046271,1296.48,Silver,2026-07-15
CUST100048529,2142.31,Gold,2026-07-08
CUST100076933,1346.35,Silver,2026-07-11
CUST100043934,752.64,Silver,2026-07-18
CUST100051296,1131.59,Silver,2026-07-09
CUST100092822,911.11,Silver,2026-07-19
CUST100011741,355.67,Bronze,2026-07-18
CUST100072276,1481.0,Silver,2026-07-17
CUST100082817,704.09,Silver,2026-07-09
CUST100009001,2977.3,Gold,2026-07-17
CUST100014596,813.03,Silver,2026-07-06
CUST100023876,831.39,Silver,2026-07-21
CUST100017698,3023.97,Platinum,2026-07-20
CUST100060646,294.71,Bronze,2026-07-12
CUST100061631,1228.04,Silver,2026-07-04
CUST100002486,2706.49,Gold,2026-07-14
CUST100090911,1470.36,Silver,2026-07-02
CUST100027630,2684.95,Gold,2026-07-07
CUST100052387,1364.44,Silver,2026-07-09
CUST100038631,1043.37,Silver,2026-07-15
CUST100097894,1621.29,Gold,2026-07-07
CUST100022275,494.61,Bronze,2026-07-19
CUST100022120,2039.68,Gold,2026-07-19
CUST100089257,1140.28,Silver,2026-07-12
CUST100038593,740.4,Silver,2026-07-17
CUST100091323,454.26,Bronze,2026-07-20
CUST100053933,2320.33,Gold,2026-07-17
CUST100073046,594.29,Silver,2026-07-13
CUST100085769,872.98,Silver,2026-07-16
CUST100092045,1062.41,Silver,2026-07-02
CUST100019276,1673.45,Gold,2026-07-22
CUST100079949,300.93,Bronze,2026-07-09
CUST100009853,1004.79,Silver,2026-07-23
CUST100067658,1137.68,Silver,2026-07-07
CUST100076174,389.1,Bronze,2026-07-16
CUST100049763,1549.37,Gold,2026-07-17
CUST100074052,767.7,Silver,2026-07-06
CUST100061694,786.66,Silver,2026-07-15
CUST100052481,804.99,Silver,2026-07-20
CUST100033957,1858.42,Gold,2026-07-13
CUST100048869,1474.98,Silver,2026-07-11
CUST100046405,1815.13,Gold,2026-07-21
CUST100039062,1034.45,Silver,2026-07-01
CUST100059934,652.79,Silver,2026-07-21
CUST100018569,3295.43,Platinum,2026-07-02
CUST100067435,1367.85,Silver,2026-07-12
CUST100096171,973.54,Silver,2026-07-08
CUST100031140,696.04,Silver,2026-07-04
CUST100057784,386.88,Bronze,2026-07-14
CUST100047725,327.08,Bronze,2026-07-03
CUST100078611,1263.23,Silver,2026-07-02
CUST100037424,558.51,Silver,2026-07-01
CUST100025183,341.95,Bronze,2026-07-06
CUST100055385,1492.29,Silver,2026-07-21
CUST100091127,387.67,Bronze,2026-07-02
CUST100039983,757.82,Silver,2026-07-02
CUST100057303,493.51,Bronze,2026-07-14
CUST100038339,1966.32,Gold,2026-07-08
CUST100060864,1198.06,Silver,2026-07-09
CUST100005617,724.51,Silver,2026-07-03
CUST100086445,776.66,Silver,2026-07-02
CUST100059075,949.7,Silver,2026-07-11
CUST100089230,255.23,Bronze,2026-07-09
CUST100035041,2033.78,Gold,2026-07-01
CUST100041484,763.82,Silver,2026-07-04
CUST100081961,1088.99,Silver,2026-07-10
CUST100074282,1241.82,Silver,2026-07-21
CUST100095914,686.57,Silver,2026-07-05
CUST100052770,771.07,Silver,2026-07-16
CUST100077505,1340.33,Silver,2026-07-04
CUST100074976,1436.19,Silver,2026-07-05
CUST100046408,1129.06,Silver,2026-07-10
CUST100089974,1388.77,Silver,2026-07-22
CUST100083609,771.67,Silver,2026-07-21
CUST100028971,1119.68,Silver,2026-07-05
CUST100086836,1482.82,Silver,2026-07-22
CUST100035879,1339.22,Silver,2026-07-11
CUST100057576,2222.06,Gold,2026-07-15
CUST100099329,444.37,Bronze,2026-07-06
CUST100031693,1012.94,Silver,2026-07-17
CUST100058898,1750.95,Gold,2026-07-13
CUST100011530,2509.83,Gold,2026-07-08
CUST100080164,649.04,Silver,2026-07-02
CUST100093919,1283.45,Silver,2026-07-11
CUST100083294,537.63,Silver,2026-07-12
CUST100000771,1160.42,Silver,2026-07-23
CUST100097229,1016.02,Silver,2026-07-04
CUST100067498,1134.95,Silver,2026-07-23
CUST100046645,776.13,Silver,2026-07-01
CUST100013991,1012.39,Silver,2026-07-07
CUST100070191,1183.59,Silver,2026-07-14
CUST100067426,855.79,Silver,2026-07-05
CUST100030409,1418.79,Silver,2026-07-12
CUST100073660,1248.32,Silver,2026-07-06
CUST100057903,532.59,Silver,2026-07-21
CUST100078987,804.03,Silver,2026-07-19
CUST100037433,817.24,Silver,2026-07-15
CUST100046691,522.53,Silver,2026-07-10
CUST100097880,243.29,Bronze,2026-07-11
CUST100050117,582.89,Silver,2026-07-06
CUST100089315,1609.4,Gold,2026-07-04
CUST100048316,550.23,Silver,2026-07-07
CUST100012674,714.25,Silver,2026-07-13
CUST100014903,602.43,Silver,2026-07-17
CUST100063004,993.26,Silver,2026-07-09
CUST100093314,1863.04,Gold,2026-07-16
CUST100013782,1437.37,Silver,2026-07-13
CUST100083387,602.67,Silver,2026-07-20
CUST100058953,414.56,Bronze,2026-07-09
CUST100053243,805.47,Silver,2026-07-18
CUST100091657,953.12,Silver,2026-07-09
CUST100051733,2613.6,Gold,2026-07-07
CUST100041245,591.58,Silver,2026-07-20
CUST100000693,1190.61,Silver,2026-07-15
CUST100079285,809.73,Silver,2026-07-09
CUST100004999,566.33,Silver,2026-07-18
CUST100064641,726.69,Silver,2026-07-04
CUST100005758,603.89,Silver,2026-07-02
CUST100017384,977.6,Silver,2026-07-23
CUST100076678,1502.51,Gold,2026-07-23
CUST100094650,475.55,Bronze,2026-07-13
CUST100075351,1080.4,Silver,2026-07-11
CUST100098454,488.2,Bronze,2026-07-06
CUST100006933,1021.62,Silver,2026-07-21
CUST100076679,875.47,Silver,2026-07-03
CUST100094241,1828.4,Gold,2026-07-11
CUST100052613,2717.7,Gold,2026-07-12
CUST100099719,639.73,Silver,2026-07-02
CUST100011914,658.4,Silver,2026-07-03
CUST100079408,1322.69,Silver,2026-07-03
CUST100058735,1062.42,Silver,2026-07-15
CUST100045217,773.38,Silver,2026-07-03
CUST100055173,3140.91,Platinum,2026-07-21
CUST100059204,571.42,Silver,2026-07-13
CUST100021914,922.31,Silver,2026-07-14
CUST100099691,1367.71,Silver,2026-07-05
CUST100047993,1214.03,Silver,2026-07-09
CUST100028510,852.74,Silver,2026-07-11
CUST100070923,934.45,Silver,2026-07-21
CUST100015717,1197.25,Silver,2026-07-16
CUST100064310,1557.8,Gold,2026-07-18
CUST100044091,474.8,Bronze,2026-07-05
CUST100040201,2505.49,Gold,2026-07-16
CUST100081991,1022.44,Silver,2026-07-09
CUST100055273,1937.22,Gold,2026-07-13
CUST100056008,2355.23,Gold,2026-07-14
CUST100011888,980.92,Silver,2026-07-19
CUST100023955,166.22,Bronze,2026-07-20
CUST100041865,1771.89,Gold,2026-07-22
CUST100021199,1958.83,Gold,2026-07-14
CUST100005926,957.15,Silver,2026-07-16
CUST100065737,1152.99,Silver,2026-07-23
CUST100040784,1360.22,Silver,2026-07-21
CUST100071762,1115.67,Silver,2026-07-11
CUST100011257,349.46,Bronze,2026-07-10
CUST100000645,1194.01,Silver,2026-07-04
CUST100002197,2311.83,Gold,2026-07-11
CUST100086188,41.12,Bronze,2026-07-03
CUST100099496,910.79,Silver,2026-07-19
CUST100021469,989.33,Silver,2026-07-06
CUST100021831,965.26,Silver,2026-07-21
CUST100093089,397.85,Bronze,2026-07-17
CUST100082718,2273.53,Gold,2026-07-11
CUST100033014,1116.73,Silver,2026-07-19
CUST100018853,1380.71,Silver,2026-07-05
CUST100049233,604.56,Silver,2026-07-11
CUST100085223,689.94,Silver,2026-07-03
CUST100073651,1313.55,Silver,2026-07-23
CUST100080818,635.28,Silver,2026-07-04
CUST100028409,2233.37,Gold,2026-07-16
CUST100022238,1096.31,Silver,2026-07-08
CUST100042837,698.26,Silver,2026-07-04
CUST100033460,298.92,Bronze,2026-07-15
CUST100099263,1143.12,Silver,2026-07-12
CUST100041004,1156.36,Silver,2026-07-07
CUST100052069,1064.12,Silver,2026-07-12
CUST100098404,861.73,Silver,2026-07-10
CUST100054448,3168.11,Platinum,2026-07-09
CUST100062088,1220.15,Silver,2026-07-19
CUST100022283,1356.36,Silver,2026-07-22
CUST100045610,625.74,Silver,2026-07-21
CUST100090806,403.32,Bronze,2026-07-06
CUST100056890,2954.3,Gold,2026-07-20
CUST100019387,2641.19,Gold,2026-07-12
CUST100072774,1338.05,Silver,2026-07-09
CUST100083738,324.28,Bronze,2026-07-18
CUST100019873,349.55,Bronze,2026-07-05
CUST100074806,621.01,Silver,2026-07-08
CUST100086300,529.14,Silver,2026-07-01
CUST100083239,806.58,Silver,2026-07-19
CUST100094790,827.0,Silver,2026-07-07
CUST100002256,1412.39,Silver,2026-07-04
CUST100015708,1993.3,Gold,2026-07-16
CUST100057696,979.17,Silver,2026-07-03
CUST100004996,1638.65,Gold,2026-07-23
CUST100068748,2507.73,Gold,2026-07-05
CUST100077660,1183.42,Silver,2026-07-14
CUST100070657,1481.31,Silver,2026-07-20
CUST100091998,200.43,Bronze,2026-07-13
CUST100086129,586.77,Silver,2026-07-16
CUST100015225,511.57,Silver,2026-07-13
CUST100070738,345.15,Bronze,2026-07-22
CUST100086994,3117.05,Platinum,2026-07-01
CUST100023700,1403.09,Silver,2026-07-16
CUST100089177,1230.58,Silver,2026-07-07
CUST100050500,1895.14,Gold,2026-07-07
CUST100048745,611.89,Silver,2026-07-02
CUST100048232,1543.41,Gold,2026-07-15
CUST100067538,896.35,Silver,2026-07-17
CUST100082842,1676.62,Gold,2026-07-18
CUST100079013,304.91,Bronze,2026-07-12
CUST100005843,937.72,Silver,2026-07-21
CUST100021031,1320.21,Silver,2026-07-13
CUST100044325,802.19,Silver,2026-07-15
CUST100040421,1683.2,Gold,2026-07-10
CUST100069042,2025.68,Gold,2026-07-09
CUST100060188,844.25,Silver,2026-07-08
CUST100034106,1161.44,Silver,2026-07-20
CUST100042430,687.0,Silver,2026-07-08
CUST100054356,538.9,Silver,2026-07-01
CUST100020033,1042.85,Silver,2026-07-12
CUST100004295,907.12,Silver,2026-07-05
CUST100025589,3197.47,Platinum,2026-07-23
CUST100027184,1685.06,Gold,2026-07-14
CUST100025958,1735.5,Gold,2026-07-04
CUST100021430,1421.12,Silver,2026-07-13
CUST100075221,1254.25,Silver,2026-07-07
CUST100097186,772.21,Silver,2026-07-17
CUST100042260,419.93,Bronze,2026-07-02
CUST100000096,1261.65,Silver,2026-07-13
CUST100081335,212.75,Bronze,2026-07-20
CUST100038698,839.75,Silver,2026-07-15
CUST100038252,989.48,Silver,2026-07-03
CUST100066832,1224.85,Silver,2026-07-13
CUST100022418,981.91,Silver,2026-07-03
CUST100069428,1026.63,Silver,2026-07-05
CUST100027644,1690.63,Gold,2026-07-03
CUST100029221,2174.04,Gold,2026-07-02
CUST100078304,902.82,Silver,2026-07-08
CUST100042472,807.32,Silver,2026-07-16
CUST100070322,1184.57,Silver,2026-07-07
CUST100025394,509.62,Silver,2026-07-12
CUST100079691,989.22,Silver,2026-07-22
CUST100069775,864.17,Silver,2026-07-05
CUST100005286,717.12,Silver,2026-07-04
CUST100089156,1729.57,Gold,2026-07-18
CUST100031849,1503.49,Gold,2026-07-07
CUST100038506,2819.65,Gold,2026-07-18
CUST100037785,1187.05,Silver,2026-07-14
CUST100074338,1754.0,Gold,2026-07-18
CUST100081862,2017.71,Gold,2026-07-13
CUST100014407,638.1,Silver,2026-07-03
CUST100002938,1574.91,Gold,2026-07-12
CUST100062923,1912.11,Gold,2026-07-11
CUST100091951,1800.34,Gold,2026-07-12
CUST100015415,1483.58,Silver,2026-07-21
CUST100022867,900.6,Silver,2026-07-13
CUST100016410,1117.91,Silver,2026-07-10
CUST100058522,1104.32,Silver,2026-07-23
CUST100057699,3167.22,Platinum,2026-07-14
CUST100055220,2293.4,Gold,2026-07-22
CUST100091353,842.34,Silver,2026-07-20
CUST100083192,499.62,Bronze,2026-07-18
CUST100041515,2503.22,Gold,2026-07-01
CUST100031135,266.99,Bronze,2026-07-23
CUST100071415,1813.38,Gold,2026-07-15
CUST100044084,564.92,Silver,2026-07-12
CUST100067562,1122.29,Silver,2026-07-22
CUST100082962,2545.26,Gold,2026-07-18
CUST100003226,3380.36,Platinum,2026-07-19
CUST100023303,895.99,Silver,2026-07-18
CUST100068885,603.56,Silver,2026-07-17
CUST100068228,446.6,Bronze,2026-07-23
CUST100008445,1376.49,Silver,2026-07-10
CUST100094422,616.51,Silver,2026-07-04
CUST100040469,864.82,Silver,2026-07-04
CUST100089777,211.41,Bronze,2026-07-13
CUST100035682,1969.64,Gold,2026-07-10
CUST100027415,1046.87,Silver,2026-07-07
CUST100043610,593.14,Silver,2026-07-17
CUST100016177,415.05,Bronze,2026-07-18
CUST100099208,1180.46,Silver,2026-07-15
CUST100010240,1830.42,Gold,2026-07-15
CUST100022738,1543.05,Gold,2026-07-14
CUST100084858,467.8,Bronze,2026-07-02
CUST100003720,1984.78,Gold,2026-07-10
CUST100004644,1145.04,Silver,2026-07-12
CUST100005221,1627.75,Gold,2026-07-20
CUST100048168,2573.91,Gold,2026-07-09
CUST100022178,190.19,Bronze,2026-07-02
CUST100042272,627.92,Silver,2026-07-18
CUST100067107,630.79,Silver,2026-07-23
CUST100049025,2145.99,Gold,2026-07-20
CUST100001159,407.41,Bronze,2026-07-01
CUST100027807,674.41,Silver,2026-07-01
CUST100044728,1244.2,Silver,2026-07-16
CUST100036080,584.89,Silver,2026-07-16
CUST100074842,1221.71,Silver,2026-07-14
CUST100091752,723.87,Silver,2026-07-01
CUST100068588,2181.22,Gold,2026-07-10
CUST100048334,615.93,Silver,2026-07-20
CUST100032046,1934.89,Gold,2026-07-07
CUST100068021,1801.68,Gold,2026-07-17
CUST100031933,837.93,Silver,2026-07-13
CUST100095022,198.93,Bronze,2026-07-02
CUST100026078,670.57,Silver,2026-07-12
CUST100066150,476.62,Bronze,2026-07-12
CUST100036434,1163.19,Silver,2026-07-07
CUST100094174,1314.75,Silver,2026-07-04
CUST100001341,157.71,Bronze,2026-07-12
CUST100002920,957.56,Silver,2026-07-09
CUST100024950,2300.65,Gold,2026-07-14
CUST100065804,641.55,Silver,2026-07-04
CUST100086361,228.31,Bronze,2026-07-17
CUST100027618,2178.84,Gold,2026-07-12
