dispatch_id,customer_id,technician_id,dispatch_date,issue_type,resolution_time_hr,status
DSPA822B4A768,CUST100039888,TECH1421,2026-06-19,Line Repair,5.89,Completed
DSPDFF332DF79,CUST100099182,TECH1338,2026-01-04,No Service,9.54,Rescheduled
DSP19E5171303,CUST100059799,TECH1105,2026-03-25,Router Replacement,0.23,Scheduled
DSPEE62F6FD58,CUST100033643,TECH1048,2026-01-31,Line Repair,4.98,Rescheduled
DSP62541CBEFC,CUST100084563,TECH1185,2026-06-01,Router Replacement,3.23,Completed
DSP616C857D6B,CUST100048859,TECH1386,2026-02-18,Equipment Install,9.66,Completed
DSPB0310E1DBF,CUST100001464,TECH1147,2026-05-08,No Service,2.47,Completed
DSP40BC85FDAC,CUST100025684,TECH1128,2026-05-15,Equipment Install,8.03,Completed
DSP637F05D75C,CUST100064151,TECH1037,2026-03-26,Equipment Install,2.45,Completed
DSP6358A4F942,CUST100044062,TECH1117,2026-06-20,Router Replacement,1.23,Cancelled
DSP3FD455FDEE,CUST100004266,TECH1013,2026-02-12,Slow Internet,3.12,Completed
DSPD8C31D80CB,CUST100029157,TECH1193,2026-07-01,Slow Internet,2.28,Completed
DSPFC0974AB29,CUST100031983,TECH1310,2026-02-25,Router Replacement,0.43,Completed
DSPEBD99B06A6,CUST100015185,TECH1372,2026-02-09,No Service,0.62,Rescheduled
DSP83C827985E,CUST100095047,TECH1206,2026-04-12,No Service,0.43,Completed
DSP6A89BBC331,CUST100002899,TECH1192,2026-01-17,No Service,0.34,Scheduled
DSPC7AEEA0296,CUST100091751,TECH1203,2026-05-17,Slow Internet,3.26,Completed
DSP4304F69B8E,CUST100049310,TECH1184,2026-05-20,Router Replacement,4.47,Completed
DSP2740686191,CUST100065237,TECH1371,2026-03-26,No Service,0.24,Completed
DSP5F65C8655B,CUST100085250,TECH1080,2026-03-16,Router Replacement,0.95,Rescheduled
DSPB9DBE0BD67,CUST100070011,TECH1141,2026-04-19,Line Repair,0.2,Rescheduled
DSP67EE2AE5A2,CUST100000860,TECH1213,2026-03-06,Equipment Install,17.61,Completed
DSPB304C9A130,CUST100090554,TECH1182,2026-05-20,No Service,6.63,Completed
DSP3390DE6B67,CUST100006599,TECH1050,2026-05-15,Slow Internet,8.48,Scheduled
DSP0B7CE51427,CUST100017134,TECH1396,2026-01-23,Line Repair,0.57,Completed
DSP11320218E2,CUST100004474,TECH1021,2026-04-21,Equipment Install,4.22,Scheduled
DSP42E4EA6CE3,CUST100035297,TECH1330,2026-04-15,Equipment Install,1.97,Completed
DSP711C8BEAA8,CUST100090417,TECH1429,2026-06-06,Slow Internet,1.55,Completed
DSP08DECF88FA,CUST100041590,TECH1299,2026-05-12,Equipment Install,7.08,Completed
DSP0E195E3844,CUST100083998,TECH1316,2026-07-17,Router Replacement,7.89,Completed
DSP154C488975,CUST100037273,TECH1327,2026-06-09,Router Replacement,1.57,Completed
DSPC95F5E6FB9,CUST100000285,TECH1432,2026-04-06,Router Replacement,1.35,Completed
DSPB7BA531060,CUST100093816,TECH1079,2026-04-12,Slow Internet,2.77,Cancelled
DSPC8BA55C707,CUST100044962,TECH1398,2026-04-07,Line Repair,4.85,Scheduled
DSPF2C9423737,CUST100014965,TECH1321,2026-04-20,Slow Internet,0.15,Scheduled
DSP83FD0EE7D2,CUST100016242,TECH1003,2026-01-01,Line Repair,2.63,Completed
DSPFBDEC82D41,CUST100033091,TECH1414,2026-04-01,Router Replacement,2.29,Completed
DSP473F921636,CUST100087321,TECH1084,2026-01-26,Equipment Install,2.05,Scheduled
DSPAD3CDFB570,CUST100042799,TECH1395,2026-01-18,Line Repair,0.42,Completed
DSP4D3BDDAC13,CUST100091611,TECH1072,2026-02-16,Router Replacement,7.82,Completed
DSPA96DE0EE94,CUST100006015,TECH1012,2026-03-31,Equipment Install,1.25,Completed
DSP8E41C38E90,CUST100019215,TECH1323,2026-03-03,Router Replacement,0.25,Cancelled
DSPCD87769EFA,CUST100091645,TECH1441,2026-05-29,Equipment Install,0.88,Completed
DSP69434246B0,CUST100038873,TECH1094,2026-04-28,Slow Internet,0.37,Completed
DSP66960B686A,CUST100012514,TECH1467,2026-01-08,Line Repair,0.83,Rescheduled
DSP0D4AA72267,CUST100085897,TECH1345,2026-06-23,Router Replacement,0.8,Scheduled
DSP55F49CABF8,CUST100056113,TECH1481,2026-02-01,Equipment Install,1.28,Completed
DSPF4A2551AE8,CUST100058491,TECH1170,2026-04-13,Slow Internet,0.94,Scheduled
DSPA087FF7A86,CUST100025045,TECH1400,2026-06-20,Slow Internet,1.23,Completed
DSPF4C26F5A3F,CUST100044947,TECH1164,2026-01-30,Line Repair,1.58,Completed
DSPFDB2478415,CUST100043570,TECH1270,2026-05-02,No Service,1.42,Completed
DSPF1D75F7192,CUST100053548,TECH1243,2026-03-19,Slow Internet,1.65,Completed
DSP32E5A253A9,CUST100027587,TECH1258,2026-03-21,Equipment Install,0.42,Completed
DSP1F586C6448,CUST100076934,TECH1460,2026-02-12,Slow Internet,0.07,Completed
DSPE54C5E4898,CUST100051731,TECH1205,2026-05-05,Router Replacement,4.96,Completed
DSPD797B997E6,CUST100035597,TECH1358,2026-02-22,No Service,0.39,Completed
DSP99FABC6A74,CUST100029578,TECH1173,2026-01-12,Router Replacement,1.96,Rescheduled
DSP2F3073F5A8,CUST100006843,TECH1012,2026-06-12,Equipment Install,0.5,Completed
DSPA73FE68A8F,CUST100019461,TECH1116,2026-02-23,No Service,0.39,Completed
DSP7B2B5828F6,CUST100072878,TECH1343,2026-03-07,No Service,1.77,Completed
DSP23B32AFCA3,CUST100082334,TECH1374,2026-02-03,Router Replacement,2.11,Completed
DSP7B55FC3FD3,CUST100000981,TECH1089,2026-07-11,Line Repair,0.39,Completed
DSPFF0211F86F,CUST100086568,TECH1350,2026-06-07,No Service,0.74,Scheduled
DSP7F22D2D277,CUST100086613,TECH1454,2026-06-17,No Service,1.38,Completed
DSP778BE8E19A,CUST100050655,TECH1146,2026-06-07,Line Repair,0.82,Completed
DSPDB9C599687,CUST100018040,TECH1150,2026-06-09,Router Replacement,2.78,Completed
DSP453AEC6343,CUST100057010,TECH1362,2026-03-05,Slow Internet,2.85,Completed
DSP1C453FF264,CUST100060516,TECH1486,2026-02-22,Slow Internet,2.15,Completed
DSP2E45AD8779,CUST100096933,TECH1288,2026-06-05,Line Repair,1.48,Completed
DSP1297A64328,CUST100001365,TECH1328,2026-04-05,No Service,7.59,Scheduled
DSPA1AE95BB43,CUST100028976,TECH1212,2026-01-13,Router Replacement,4.72,Completed
DSPC5247F8970,CUST100042059,TECH1417,2026-06-01,Slow Internet,3.26,Completed
DSP9144F729CC,CUST100004465,TECH1233,2026-01-06,Line Repair,5.65,Completed
DSP5F7AD4D044,CUST100053756,TECH1081,2026-01-29,Equipment Install,0.34,Completed
DSP39E7BC6EAB,CUST100006002,TECH1215,2026-01-05,Equipment Install,2.49,Completed
DSP2C0ABBB5F1,CUST100062234,TECH1256,2026-07-22,Equipment Install,0.91,Rescheduled
DSP11C1178225,CUST100062245,TECH1237,2026-02-23,No Service,2.19,Completed
DSPA2D842FFEB,CUST100009811,TECH1226,2026-01-08,Equipment Install,0.87,Completed
DSPDA57B7480C,CUST100044226,TECH1079,2026-03-13,Slow Internet,0.24,Completed
DSPFB0D3D5069,CUST100027702,TECH1026,2026-06-19,Slow Internet,0.06,Scheduled
DSP2CE18898EE,CUST100056613,TECH1195,2026-04-21,Equipment Install,0.31,Scheduled
DSP7DE3A81CD4,CUST100010384,TECH1367,2026-02-07,Slow Internet,1.43,Cancelled
DSPF8D029A7C4,CUST100098195,TECH1241,2026-06-22,Slow Internet,2.44,Completed
DSP8F11084AC8,CUST100050556,TECH1194,2026-03-12,Slow Internet,5.36,Completed
DSPCAB01C6B04,CUST100004337,TECH1077,2026-02-25,Equipment Install,0.96,Completed
DSP8A93758EFF,CUST100076524,TECH1254,2026-06-09,Router Replacement,3.34,Completed
DSPB59CC767DF,CUST100062473,TECH1167,2026-06-11,Equipment Install,6.99,Completed
DSP2F7BDC2D77,CUST100041395,TECH1179,2026-03-16,Slow Internet,1.43,Rescheduled
DSPC29B043F2F,CUST100024002,TECH1134,2026-07-11,Slow Internet,1.73,Completed
DSP826F3B87E5,CUST100063751,TECH1186,2026-02-15,Router Replacement,0.44,Completed
DSPD2FF7599F4,CUST100082014,TECH1278,2026-06-06,Slow Internet,2.46,Completed
DSP919DB2B9C8,CUST100093774,TECH1189,2026-05-08,Router Replacement,2.63,Completed
DSPA9E1C9488B,CUST100073343,TECH1306,2026-02-17,No Service,1.41,Rescheduled
DSP1CF983C5AE,CUST100070935,TECH1080,2026-02-11,Slow Internet,9.96,Completed
DSP31D8E1CBC5,CUST100045328,TECH1433,2026-03-05,Router Replacement,1.28,Completed
DSP7BE7D5770B,CUST100036312,TECH1128,2026-04-21,Equipment Install,0.27,Completed
DSP50BA801258,CUST100041002,TECH1245,2026-04-06,Equipment Install,1.19,Scheduled
DSP7E69524D65,CUST100086085,TECH1393,2026-06-04,Equipment Install,2.77,Completed
DSP9A4657C674,CUST100000397,TECH1452,2026-05-28,Slow Internet,0.05,Completed
DSPCA68C5C88D,CUST100086950,TECH1210,2026-01-09,Equipment Install,6.5,Completed
DSPD0BCD2994F,CUST100020059,TECH1264,2026-03-28,Slow Internet,2.33,Completed
DSP648314D39C,CUST100065109,TECH1155,2026-06-21,Slow Internet,0.57,Completed
DSP688D91807E,CUST100074853,TECH1075,2026-07-09,Equipment Install,0.35,Rescheduled
DSPBDF41E3459,CUST100056244,TECH1278,2026-06-07,Slow Internet,3.17,Completed
DSP6EDAE2EED6,CUST100055625,TECH1455,2026-02-14,Equipment Install,0.43,Scheduled
DSP1F4290B670,CUST100039076,TECH1257,2026-04-28,Slow Internet,7.72,Completed
DSPB37CD076C2,CUST100082915,TECH1010,2026-03-03,No Service,2.28,Completed
DSP9FF2C91700,CUST100012739,TECH1083,2026-05-15,Router Replacement,2.0,Completed
DSP479DEA8FE7,CUST100054218,TECH1340,2026-07-04,No Service,10.34,Completed
DSPD6D9EC99E5,CUST100007080,TECH1493,2026-06-21,No Service,2.62,Completed
DSP3B0F8BC1CE,CUST100008967,TECH1323,2026-04-14,Equipment Install,1.02,Completed
DSP5B699E1981,CUST100099922,TECH1277,2026-02-06,Equipment Install,1.42,Completed
DSPADDE5695C7,CUST100038420,TECH1295,2026-05-24,Router Replacement,1.21,Cancelled
DSP3CDC3D12E8,CUST100085555,TECH1495,2026-06-30,Equipment Install,3.15,Completed
DSP9E82753BAA,CUST100050621,TECH1191,2026-04-02,No Service,0.06,Completed
DSPA4A34245CC,CUST100079558,TECH1246,2026-04-13,No Service,2.62,Completed
DSP937701F8C5,CUST100086315,TECH1080,2026-05-28,Router Replacement,0.32,Completed
DSPC801068C0F,CUST100071318,TECH1372,2026-05-22,No Service,0.45,Completed
DSPD2640B1B9C,CUST100076543,TECH1046,2026-03-29,Line Repair,6.99,Completed
DSPC4517AB5D2,CUST100001456,TECH1118,2026-06-02,Slow Internet,0.94,Completed
DSPAD656ADA82,CUST100054887,TECH1207,2026-02-10,No Service,4.87,Completed
DSPF8CC9CB8EE,CUST100014068,TECH1077,2026-04-22,No Service,3.58,Completed
DSP5EC8553C6A,CUST100066481,TECH1459,2026-04-26,Router Replacement,0.76,Completed
DSPEE7E3F6A7E,CUST100018732,TECH1070,2026-06-02,Line Repair,3.99,Scheduled
DSPF3D50A9F61,CUST100026817,TECH1289,2026-04-18,Equipment Install,0.24,Completed
DSPED1306A23B,CUST100099810,TECH1139,2026-03-06,No Service,2.4,Completed
DSP71FCB5068A,CUST100010418,TECH1315,2026-01-07,Router Replacement,2.88,Completed
DSP60CEE650B0,CUST100047074,TECH1452,2026-04-28,Equipment Install,0.22,Completed
DSP2D2EE77DC7,CUST100061889,TECH1177,2026-03-02,Line Repair,3.23,Completed
DSP1364CFAB9B,CUST100041285,TECH1307,2026-01-08,Line Repair,4.87,Completed
DSPD148B2C3CC,CUST100058219,TECH1046,2026-05-25,Router Replacement,0.28,Completed
DSP37D5EAB071,CUST100036264,TECH1143,2026-06-10,Line Repair,3.52,Scheduled
DSP9DF3B5D323,CUST100013876,TECH1033,2026-05-19,Equipment Install,1.05,Completed
DSP88E44CDCC9,CUST100018725,TECH1154,2026-07-23,No Service,1.05,Completed
DSP4DA2D906EE,CUST100086735,TECH1118,2026-06-25,No Service,0.73,Completed
DSPD671A06D3E,CUST100097780,TECH1211,2026-04-19,Equipment Install,1.76,Completed
DSPD4FA897ED5,CUST100029152,TECH1350,2026-02-19,Line Repair,0.02,Completed
DSP6035F61DF1,CUST100079204,TECH1480,2026-06-23,Line Repair,4.17,Completed
DSPA994C19830,CUST100054338,TECH1397,2026-05-22,Slow Internet,1.98,Completed
DSP9EFD12A44E,CUST100045829,TECH1115,2026-01-31,Slow Internet,0.05,Completed
