visit_id,customer_id,store_id,visit_date,visit_reason,duration_min,outcome
VIS25FF2CAF71,CUST100066472,STR1018,2026-01-15 20:09:10,Bill Payment,78,Unresolved
VISC6C50ABC6D,CUST100009202,STR1100,2026-03-26 13:57:52,Account Inquiry,28,Purchase Completed
VISA56D758F17,CUST100089613,STR1068,2026-05-11 17:36:40,Device Repair,53,Unresolved
VISD40CBB46CE,CUST100056161,STR1070,2026-01-16 20:46:52,Device Purchase,54,Resolved
VISAB23D878FE,CUST100043449,STR1201,2026-04-03 09:42:57,Technical Support,75,Resolved
VIS7DF6DB816E,CUST100091096,STR1209,2026-02-28 05:26:16,Plan Upgrade,41,Resolved
VISFAC50EF303,CUST100007632,STR1145,2026-02-08 10:49:13,Device Purchase,67,Follow-up Scheduled
VIS3755B0E690,CUST100078979,STR1222,2026-06-11 15:06:04,Device Repair,40,Resolved
VISCC6FD74A9D,CUST100099639,STR1104,2026-03-28 18:15:14,Account Inquiry,31,Unresolved
VIS465FBAA77D,CUST100030059,STR1099,2026-01-07 21:17:39,Device Purchase,50,Resolved
VISFE68D6E1DB,CUST100031021,STR1032,2026-06-17 01:24:58,Plan Upgrade,22,Purchase Completed
VISF952EBB4A6,CUST100057789,STR1082,2026-02-04 20:21:44,Plan Upgrade,74,Follow-up Scheduled
VIS46A641B274,CUST100029203,STR1243,2026-05-14 22:28:21,Device Repair,69,Resolved
VIS7F1C6AFBDE,CUST100081474,STR1101,2026-02-19 05:05:09,Device Purchase,85,Unresolved
VIS5D8F54DC4D,CUST100090517,STR1106,2026-01-12 05:25:47,Device Purchase,49,Follow-up Scheduled
VIS3C60B57340,CUST100041034,STR1203,2026-06-12 19:40:40,Bill Payment,33,Purchase Completed
VIS86F2D31D50,CUST100015923,STR1050,2026-02-04 20:32:13,Bill Payment,76,Purchase Completed
VIS7539B950FA,CUST100075975,STR1095,2026-05-30 21:44:32,Account Inquiry,40,Resolved
VIS52A7D4F92B,CUST100000683,STR1147,2026-06-19 18:15:54,Technical Support,21,Resolved
VIS5713EFEBD6,CUST100063503,STR1016,2026-03-14 21:24:04,Device Purchase,47,Purchase Completed
VIS86BDFBCD96,CUST100003037,STR1099,2026-03-25 20:28:06,Technical Support,52,Purchase Completed
VIS9D17B7B7F4,CUST100097681,STR1152,2026-06-07 11:40:11,Bill Payment,21,Resolved
VIS2051A71495,CUST100068975,STR1040,2026-06-21 09:30:09,Bill Payment,36,Resolved
VISFE81210CE8,CUST100017557,STR1002,2026-05-23 23:54:09,Device Repair,48,Purchase Completed
VISD0C1C3E01A,CUST100045168,STR1064,2026-03-27 23:34:12,Bill Payment,58,Resolved
VISDC5413BF1E,CUST100078571,STR1196,2026-04-07 03:16:50,Bill Payment,33,Resolved
VIS0B47C9978A,CUST100064497,STR1125,2026-02-08 20:40:48,Technical Support,78,Resolved
VIS25925204CE,CUST100007185,STR1111,2026-01-27 01:16:48,Device Repair,44,Resolved
VISEB059ACCC1,CUST100035686,STR1122,2026-02-22 04:13:44,Bill Payment,43,Unresolved
VISD573DFA123,CUST100048191,STR1202,2026-04-24 04:18:23,Account Inquiry,63,Unresolved
VISC624377A4D,CUST100078635,STR1170,2026-06-01 01:59:36,Device Purchase,39,Resolved
VISA23B9D7476,CUST100077792,STR1010,2026-05-11 08:07:38,Plan Upgrade,13,Unresolved
VISAD043493AA,CUST100064540,STR1120,2026-01-15 09:50:11,Technical Support,59,Unresolved
VISE0D8144E06,CUST100054487,STR1057,2026-01-21 10:37:55,Bill Payment,11,Follow-up Scheduled
VIS78DE58D4D5,CUST100004617,STR1169,2026-06-05 09:29:49,Account Inquiry,84,Resolved
VISEC81F6C1FD,CUST100013164,STR1159,2026-07-16 07:04:25,Device Purchase,11,Resolved
VIS9FC52E720B,CUST100091576,STR1095,2026-01-18 10:11:18,Device Repair,34,Resolved
VISEDF8E536F0,CUST100001347,STR1143,2026-06-03 01:07:23,Account Inquiry,73,Follow-up Scheduled
VIS7C4E229737,CUST100065262,STR1217,2026-03-17 11:03:10,Account Inquiry,32,Resolved
VISCC46671BAB,CUST100021573,STR1114,2026-07-09 21:16:47,Bill Payment,31,Resolved
VIS9DBCA28110,CUST100019198,STR1081,2026-02-11 23:01:38,Account Inquiry,46,Resolved
VIS49E8528FD8,CUST100021981,STR1101,2026-01-21 04:01:14,Technical Support,10,Unresolved
VIS3E3009B133,CUST100019625,STR1083,2026-05-17 22:37:44,Technical Support,66,Resolved
VISABF3BEA310,CUST100024208,STR1169,2026-02-11 12:18:04,Technical Support,64,Purchase Completed
VIS9122BC2DC4,CUST100096005,STR1179,2026-05-09 14:34:52,Plan Upgrade,28,Follow-up Scheduled
VISACB4925151,CUST100066257,STR1186,2026-04-24 23:10:17,Bill Payment,6,Resolved
VIS7B063437A9,CUST100045259,STR1181,2026-03-16 19:49:41,Device Purchase,8,Unresolved
VIS84DB3D044A,CUST100099565,STR1035,2026-07-08 18:36:36,Bill Payment,70,Purchase Completed
VIS6A481A5A1D,CUST100047339,STR1016,2026-03-23 16:25:33,Technical Support,80,Follow-up Scheduled
VIS8B2936D056,CUST100034578,STR1242,2026-03-18 00:11:15,Device Purchase,30,Unresolved
VISD767EC6E1A,CUST100015274,STR1054,2026-05-31 17:15:28,Device Repair,75,Resolved
VIS2BD5CE2962,CUST100089225,STR1076,2026-06-20 07:18:12,Device Purchase,68,Unresolved
VISDC83378678,CUST100012257,STR1159,2026-07-21 18:43:44,Bill Payment,58,Unresolved
VIS3B474D9221,CUST100021223,STR1060,2026-05-19 22:13:46,Technical Support,43,Unresolved
VISF24AC1126D,CUST100049642,STR1235,2026-07-17 03:21:21,Plan Upgrade,24,Follow-up Scheduled
VISB8AD25BBD4,CUST100048978,STR1071,2026-07-20 22:27:43,Device Repair,42,Follow-up Scheduled
VIS6FE16FD1D7,CUST100084535,STR1020,2026-07-19 23:21:25,Device Repair,78,Resolved
VIS9BAD4A8336,CUST100099688,STR1107,2026-03-04 23:22:14,Technical Support,81,Resolved
VIS50CD858445,CUST100094181,STR1022,2026-03-26 12:42:38,Account Inquiry,80,Resolved
VIS46716395FC,CUST100096378,STR1125,2026-07-16 07:16:24,Bill Payment,73,Purchase Completed
VISCE17793DBF,CUST100044216,STR1163,2026-07-20 21:07:54,Technical Support,60,Unresolved
VISA35881738E,CUST100015845,STR1160,2026-04-04 17:41:41,Bill Payment,88,Resolved
VISF185D16151,CUST100045489,STR1187,2026-01-03 17:44:22,Account Inquiry,47,Purchase Completed
VIS9AEC7B9F41,CUST100021978,STR1234,2026-06-11 17:12:28,Device Purchase,48,Follow-up Scheduled
VIS67A8190CE8,CUST100025460,STR1195,2026-05-23 19:42:31,Technical Support,34,Purchase Completed
VIS819749B50D,CUST100066103,STR1166,2026-02-17 00:07:54,Plan Upgrade,48,Resolved
VIS5627334320,CUST100090898,STR1206,2026-02-28 19:56:40,Technical Support,77,Resolved
VIS09A4BBF687,CUST100021114,STR1236,2026-02-28 07:49:41,Device Repair,80,Purchase Completed
VIS3291C6E242,CUST100009345,STR1099,2026-03-21 10:55:46,Bill Payment,80,Purchase Completed
VIS4B97D5FD4A,CUST100090218,STR1221,2026-05-26 07:05:57,Device Repair,67,Follow-up Scheduled
VIS5ED6E76DC4,CUST100055783,STR1004,2026-06-17 08:30:21,Account Inquiry,59,Purchase Completed
VIS8BE09A33C2,CUST100054452,STR1130,2026-06-27 15:14:11,Plan Upgrade,56,Follow-up Scheduled
VIS7E17C09DC3,CUST100038129,STR1143,2026-05-24 05:59:22,Plan Upgrade,31,Resolved
VIS933354DC57,CUST100074849,STR1120,2026-07-12 04:02:19,Account Inquiry,70,Follow-up Scheduled
VIS2A783D5CAA,CUST100020175,STR1202,2026-06-15 14:29:51,Plan Upgrade,81,Follow-up Scheduled
VIS76650689B0,CUST100016742,STR1118,2026-04-06 12:04:38,Account Inquiry,82,Unresolved
VIS2D461DE719,CUST100092737,STR1197,2026-06-19 12:06:39,Technical Support,47,Resolved
VIS93A1CF5613,CUST100030500,STR1220,2026-05-25 07:38:56,Device Repair,24,Resolved
VIS098C5CEFC0,CUST100000203,STR1212,2026-02-06 23:45:25,Device Repair,82,Resolved
VIS2AF503D2ED,CUST100085599,STR1074,2026-03-11 20:09:45,Device Purchase,36,Follow-up Scheduled
VIS3E2F437924,CUST100012246,STR1132,2026-06-17 01:11:50,Device Purchase,18,Purchase Completed
VIS60B1330662,CUST100034448,STR1059,2026-02-25 09:12:41,Device Purchase,82,Purchase Completed
VISE937591A1E,CUST100080802,STR1176,2026-01-16 03:14:19,Bill Payment,85,Purchase Completed
VISD24FEC0DDD,CUST100026541,STR1029,2026-05-20 10:55:06,Bill Payment,28,Resolved
VIS6BF5E799C6,CUST100018112,STR1072,2026-02-22 04:03:04,Account Inquiry,13,Unresolved
VISA3B7AC9112,CUST100051665,STR1136,2026-04-03 08:14:37,Plan Upgrade,18,Purchase Completed
VISE76E85DA51,CUST100081810,STR1182,2026-04-22 03:17:01,Bill Payment,21,Resolved
VIS225D45EE01,CUST100048553,STR1139,2026-04-25 08:07:29,Account Inquiry,59,Resolved
VIS48B06ECD71,CUST100042247,STR1160,2026-01-02 10:45:57,Technical Support,61,Unresolved
VIS741660F1DD,CUST100052938,STR1166,2026-05-14 12:23:31,Device Purchase,75,Purchase Completed
VISC94D6FF682,CUST100084135,STR1156,2026-04-03 03:19:27,Account Inquiry,62,Resolved
VIS2DC3A33C3F,CUST100016981,STR1004,2026-01-08 14:49:38,Plan Upgrade,20,Resolved
VIS5625E79F68,CUST100012833,STR1124,2026-07-03 14:48:14,Account Inquiry,47,Resolved
VISEB7D81F5CA,CUST100058533,STR1092,2026-03-18 16:17:34,Device Purchase,8,Purchase Completed
VIS20A85D9E14,CUST100039777,STR1137,2026-06-14 06:18:29,Device Repair,75,Purchase Completed
VISE6228F2CD5,CUST100067087,STR1019,2026-06-19 11:29:02,Bill Payment,41,Purchase Completed
VIS5C0AA4E023,CUST100023403,STR1087,2026-01-19 07:17:28,Device Purchase,74,Resolved
VIS73C6586397,CUST100088809,STR1034,2026-07-12 15:27:28,Device Purchase,53,Purchase Completed
VIS05F3568A10,CUST100063291,STR1128,2026-05-28 04:37:20,Device Repair,49,Follow-up Scheduled
VIS4DCE254F00,CUST100084568,STR1222,2026-02-20 16:27:58,Account Inquiry,80,Follow-up Scheduled
VISE878B087B1,CUST100003752,STR1180,2026-01-20 01:31:46,Device Repair,24,Resolved
VISF220222B3E,CUST100066971,STR1009,2026-04-18 09:16:55,Technical Support,57,Purchase Completed
VIS3ACF71DB51,CUST100092465,STR1195,2026-07-18 00:19:22,Technical Support,14,Resolved
VIS604DD347AA,CUST100037316,STR1212,2026-04-20 21:23:46,Account Inquiry,29,Resolved
VISB213A8194B,CUST100072307,STR1227,2026-03-11 05:02:19,Device Purchase,45,Resolved
VIS1549B36759,CUST100062241,STR1203,2026-06-24 08:35:08,Plan Upgrade,64,Purchase Completed
VIS0C310A789E,CUST100031472,STR1022,2026-05-15 12:29:48,Plan Upgrade,23,Unresolved
VIS2C26582EFE,CUST100060465,STR1023,2026-03-19 16:28:34,Device Purchase,68,Resolved
VISD1E98199E7,CUST100092284,STR1153,2026-05-14 05:34:24,Plan Upgrade,11,Follow-up Scheduled
VIS8E106D4752,CUST100098150,STR1000,2026-06-24 00:16:25,Plan Upgrade,44,Purchase Completed
VISF6757D031F,CUST100039071,STR1028,2026-01-12 07:38:48,Device Purchase,78,Resolved
VIS39299D9057,CUST100078682,STR1152,2026-03-01 13:12:58,Device Purchase,47,Follow-up Scheduled
VIS816D5119D2,CUST100002259,STR1061,2026-04-04 06:15:18,Device Purchase,30,Purchase Completed
VISD57D17BBF6,CUST100061555,STR1043,2026-05-04 04:24:32,Plan Upgrade,17,Follow-up Scheduled
VISB0463D41CA,CUST100048797,STR1114,2026-02-02 04:35:41,Plan Upgrade,9,Follow-up Scheduled
VISFEE5352ECF,CUST100004105,STR1105,2026-06-02 19:01:47,Device Repair,12,Unresolved
VIS3581D83742,CUST100002362,STR1166,2026-04-05 11:17:06,Device Purchase,49,Resolved
VIS40EF69CD03,CUST100065924,STR1015,2026-03-27 10:14:41,Device Purchase,12,Purchase Completed
VIS8461674C8A,CUST100056044,STR1050,2026-01-24 17:11:14,Plan Upgrade,33,Resolved
VIS104AB50AED,CUST100005744,STR1227,2026-06-07 02:39:04,Device Repair,21,Purchase Completed
VISF1A1E937E4,CUST100002221,STR1025,2026-05-07 04:48:41,Bill Payment,41,Resolved
VIS5FF2C65DB6,CUST100043376,STR1053,2026-03-26 14:44:04,Account Inquiry,87,Purchase Completed
VIS068BC3A2C8,CUST100085731,STR1243,2026-04-02 10:07:49,Bill Payment,9,Resolved
VIS889C682C3A,CUST100072754,STR1102,2026-01-20 09:59:08,Device Purchase,89,Resolved
VIS5F65839694,CUST100049007,STR1027,2026-05-05 07:44:22,Device Purchase,9,Resolved
VIS651E1CDBF7,CUST100007953,STR1141,2026-05-13 23:55:22,Device Purchase,75,Resolved
VIS6E62A1D0FF,CUST100065429,STR1106,2026-01-14 19:51:12,Device Repair,47,Resolved
VIS6FDAB8D089,CUST100045419,STR1202,2026-02-16 10:37:36,Bill Payment,40,Resolved
VIS7D6131769E,CUST100033399,STR1133,2026-04-15 10:09:40,Bill Payment,26,Follow-up Scheduled
VISF9FDED6E5E,CUST100039453,STR1233,2026-03-18 13:34:08,Device Repair,80,Purchase Completed
VIS5D4A6E9720,CUST100032873,STR1201,2026-01-14 17:11:03,Device Repair,57,Purchase Completed
VIS1111CB4220,CUST100040533,STR1224,2026-04-29 23:46:28,Account Inquiry,83,Resolved
VIS2B945D0FC3,CUST100038627,STR1062,2026-02-15 12:16:22,Plan Upgrade,85,Resolved
VISB235173EF4,CUST100021684,STR1006,2026-05-06 08:02:04,Bill Payment,80,Unresolved
VISC09C5A9590,CUST100001030,STR1088,2026-05-20 10:42:37,Device Purchase,74,Purchase Completed
VISE4E1F2B495,CUST100019868,STR1202,2026-04-27 23:32:30,Bill Payment,33,Purchase Completed
VIS81BA664CB3,CUST100013921,STR1249,2026-06-25 23:27:08,Plan Upgrade,75,Resolved
VISAF0CF31929,CUST100036654,STR1124,2026-05-29 04:37:27,Plan Upgrade,72,Resolved
VIS9FFF4EF7C4,CUST100011496,STR1234,2026-02-10 05:37:42,Bill Payment,78,Resolved
VIS5332AE2938,CUST100028279,STR1014,2026-07-05 20:16:00,Technical Support,88,Follow-up Scheduled
VIS52BC83F6C6,CUST100010703,STR1222,2026-06-10 22:45:33,Account Inquiry,71,Resolved
VIS0DD992C4F4,CUST100072383,STR1024,2026-07-14 14:20:52,Technical Support,56,Follow-up Scheduled
VIS8DF12DD04F,CUST100082641,STR1178,2026-02-20 10:44:03,Account Inquiry,14,Purchase Completed
VISDFC4C4DBC1,CUST100045083,STR1143,2026-02-17 12:41:37,Plan Upgrade,58,Purchase Completed
VISE8D3E42D93,CUST100001556,STR1130,2026-01-01 16:00:15,Account Inquiry,8,Resolved
VIS0879DC0EA3,CUST100022481,STR1138,2026-07-01 15:36:35,Plan Upgrade,70,Resolved
VIS527A2701B3,CUST100050394,STR1089,2026-03-14 14:09:26,Device Purchase,79,Resolved
VIS9F52384B59,CUST100020360,STR1019,2026-05-01 21:25:22,Device Repair,24,Resolved
VIS44B18FE616,CUST100057208,STR1063,2026-05-07 20:59:31,Plan Upgrade,84,Purchase Completed
VISEEC380756B,CUST100006204,STR1056,2026-06-23 18:25:44,Technical Support,11,Follow-up Scheduled
VIS8D6CD196BC,CUST100074836,STR1194,2026-05-21 05:58:46,Bill Payment,83,Resolved
VIS5703620035,CUST100062006,STR1199,2026-02-28 18:09:24,Account Inquiry,5,Unresolved
VIS709EBF9B7C,CUST100082432,STR1197,2026-03-09 07:58:24,Technical Support,64,Resolved
VISC4D276E3D8,CUST100034831,STR1052,2026-02-12 05:25:00,Plan Upgrade,67,Resolved
VIS8C8249F607,CUST100084606,STR1026,2026-01-29 06:25:16,Plan Upgrade,30,Resolved
VIS33B0CAE710,CUST100039082,STR1189,2026-01-09 13:29:51,Bill Payment,72,Resolved
VIS33CF7C4F02,CUST100045939,STR1055,2026-04-03 13:07:59,Technical Support,13,Resolved
VISE0AA8BBC79,CUST100042966,STR1116,2026-04-09 12:41:17,Account Inquiry,84,Resolved
VISF672206352,CUST100075068,STR1040,2026-03-06 21:58:43,Account Inquiry,36,Resolved
VISF95E955254,CUST100041449,STR1164,2026-05-05 05:29:19,Bill Payment,74,Unresolved
VISDB5BFF052D,CUST100001215,STR1049,2026-02-17 20:47:36,Plan Upgrade,51,Resolved
VIS84100CE36D,CUST100077556,STR1181,2026-05-16 15:48:14,Device Purchase,42,Purchase Completed
VIS47CC7DD887,CUST100028484,STR1046,2026-03-13 11:47:46,Device Purchase,8,Follow-up Scheduled
VIS6DF9DBCA7C,CUST100018246,STR1196,2026-04-01 01:12:32,Device Repair,48,Follow-up Scheduled
VISAEDCFFD885,CUST100032490,STR1069,2026-07-02 15:34:51,Account Inquiry,21,Resolved
VISB915A82BA3,CUST100081842,STR1084,2026-03-22 06:31:39,Plan Upgrade,40,Follow-up Scheduled
VIS00ACCF6243,CUST100008044,STR1082,2026-04-25 23:59:07,Device Purchase,82,Resolved
VISF0F3BC0FC9,CUST100005584,STR1204,2026-04-25 15:36:37,Device Repair,73,Purchase Completed
VISCF10F0581F,CUST100097346,STR1057,2026-02-14 05:41:04,Device Purchase,55,Purchase Completed
VIS867AB2BD2E,CUST100033978,STR1248,2026-03-25 20:46:29,Device Repair,86,Resolved
VIS467DCCEC50,CUST100098919,STR1033,2026-05-05 17:15:14,Technical Support,51,Resolved
VISDB0B5194D8,CUST100086429,STR1023,2026-03-22 20:41:14,Device Repair,78,Unresolved
VIS525B97FA25,CUST100018120,STR1139,2026-05-21 21:36:16,Device Purchase,28,Unresolved
VIS0CDBD92688,CUST100076908,STR1241,2026-05-06 22:36:25,Technical Support,26,Resolved
VISFE1E78BB3D,CUST100082362,STR1157,2026-01-03 09:56:17,Bill Payment,85,Resolved
VIS8C6D8D8B17,CUST100092203,STR1119,2026-05-18 09:14:15,Account Inquiry,47,Follow-up Scheduled
VISAB9C707A6B,CUST100098368,STR1058,2026-01-17 03:50:21,Technical Support,9,Follow-up Scheduled
VISED351E2DEE,CUST100007780,STR1020,2026-07-09 07:30:17,Technical Support,40,Resolved
VIS37FDB93E59,CUST100078273,STR1077,2026-06-28 13:23:25,Device Purchase,13,Purchase Completed
VIS1594CDD05D,CUST100066647,STR1195,2026-05-20 19:02:39,Device Repair,40,Follow-up Scheduled
VISA34E4210D8,CUST100019995,STR1247,2026-05-15 01:18:49,Plan Upgrade,70,Purchase Completed
VISDE80092B39,CUST100066054,STR1186,2026-07-13 21:46:33,Device Purchase,66,Purchase Completed
VISAB58A4BF85,CUST100048909,STR1059,2026-05-21 15:56:29,Device Repair,46,Purchase Completed
VIS1BAAE71405,CUST100084750,STR1003,2026-04-16 06:48:11,Bill Payment,25,Unresolved
VIS7D9A5535DE,CUST100077088,STR1215,2026-05-21 05:39:46,Plan Upgrade,10,Resolved
VISEACB116210,CUST100054178,STR1142,2026-03-12 22:09:01,Device Repair,87,Resolved
VIS85B5E83A00,CUST100057259,STR1031,2026-03-25 15:41:15,Device Purchase,24,Resolved
VIS2C7F2F7206,CUST100018444,STR1050,2026-06-20 02:48:03,Bill Payment,26,Follow-up Scheduled
VIS88911BE2A8,CUST100079828,STR1025,2026-05-10 10:52:16,Account Inquiry,78,Follow-up Scheduled
VISE82617B772,CUST100059178,STR1097,2026-07-20 14:04:03,Device Purchase,73,Follow-up Scheduled
VISDA06446A60,CUST100002218,STR1104,2026-02-20 08:45:39,Technical Support,82,Resolved
VIS4EEE3B0C6A,CUST100087888,STR1243,2026-05-02 11:10:52,Technical Support,89,Purchase Completed
VIS3C3FF9DB75,CUST100087916,STR1144,2026-01-05 07:35:25,Bill Payment,6,Follow-up Scheduled
VISF578DC2BFD,CUST100071315,STR1090,2026-03-31 09:06:29,Account Inquiry,79,Follow-up Scheduled
VISDE442C750A,CUST100074758,STR1207,2026-05-13 18:07:45,Technical Support,26,Resolved
VIS7B1A391286,CUST100089681,STR1176,2026-06-11 07:14:13,Bill Payment,8,Resolved
VIS73704100E2,CUST100067387,STR1009,2026-04-14 19:44:35,Plan Upgrade,25,Follow-up Scheduled
VISBB37710AFF,CUST100082255,STR1202,2026-04-15 13:59:15,Bill Payment,73,Resolved
VIS03C173C63F,CUST100097151,STR1171,2026-05-11 06:55:58,Device Purchase,11,Resolved
VISA09C800D2A,CUST100005881,STR1240,2026-03-23 05:42:47,Technical Support,21,Purchase Completed
VIS650DE84B3D,CUST100061398,STR1219,2026-07-02 19:41:01,Plan Upgrade,46,Purchase Completed
VISDD1E423416,CUST100051897,STR1085,2026-06-08 12:21:24,Technical Support,11,Purchase Completed
VIS037C315A25,CUST100051140,STR1184,2026-02-10 01:43:55,Device Repair,75,Follow-up Scheduled
VIS87545CFB84,CUST100056345,STR1088,2026-01-05 20:21:56,Account Inquiry,37,Resolved
VISB1BE567E36,CUST100091688,STR1139,2026-06-18 19:29:13,Plan Upgrade,37,Purchase Completed
VIS329C7A318C,CUST100098810,STR1190,2026-03-08 05:18:04,Device Repair,43,Purchase Completed
VIS0CA0BC5A22,CUST100047866,STR1033,2026-04-29 20:52:33,Bill Payment,7,Resolved
VISAE2C53D305,CUST100025171,STR1175,2026-03-11 13:22:17,Plan Upgrade,9,Purchase Completed
VISF33CC232C9,CUST100017891,STR1085,2026-05-29 03:54:02,Device Repair,21,Resolved
VIS13BA1F678D,CUST100007808,STR1074,2026-01-05 04:24:02,Bill Payment,84,Resolved
VISC4DDF83DA6,CUST100039051,STR1212,2026-05-10 23:15:00,Plan Upgrade,46,Purchase Completed
VISE344D9342C,CUST100052008,STR1130,2026-05-24 20:32:23,Technical Support,45,Follow-up Scheduled
VIS85D1A2C63A,CUST100037563,STR1054,2026-02-06 06:40:54,Account Inquiry,88,Resolved
VISDF5273F107,CUST100029385,STR1015,2026-02-12 19:08:21,Account Inquiry,67,Resolved
VISB5B5E5DB71,CUST100001790,STR1002,2026-04-10 14:47:04,Account Inquiry,42,Follow-up Scheduled
VIS90ABF05A59,CUST100053885,STR1068,2026-05-05 09:41:18,Bill Payment,26,Unresolved
VIS03B2F8C5EE,CUST100048328,STR1079,2026-03-13 19:30:21,Bill Payment,63,Purchase Completed
VISC268A60A0F,CUST100052379,STR1172,2026-07-14 04:46:01,Device Repair,28,Resolved
VISFC01342B64,CUST100017509,STR1232,2026-04-18 23:44:08,Account Inquiry,26,Follow-up Scheduled
VIS9E0F788241,CUST100006707,STR1192,2026-07-19 19:39:45,Account Inquiry,5,Follow-up Scheduled
VIS1BD2B633E6,CUST100042131,STR1110,2026-04-07 12:12:44,Device Purchase,41,Unresolved
VIS3AE16831F8,CUST100064807,STR1214,2026-06-10 08:59:03,Device Purchase,22,Resolved
VISE83C3D7FBC,CUST100079875,STR1110,2026-06-16 02:02:11,Account Inquiry,38,Unresolved
VISCC4C14702B,CUST100058373,STR1094,2026-01-16 06:33:57,Bill Payment,42,Follow-up Scheduled
VISBA7ACDFDDC,CUST100043945,STR1129,2026-01-14 23:54:43,Device Purchase,27,Resolved
VISFA85A07D96,CUST100033302,STR1034,2026-02-09 18:54:48,Plan Upgrade,19,Purchase Completed
VIS1100CC38FA,CUST100038083,STR1024,2026-01-27 19:59:03,Plan Upgrade,61,Unresolved
VIS8FF31EB9B6,CUST100048728,STR1249,2026-06-01 20:50:10,Device Repair,57,Purchase Completed
VIS49B9AD5362,CUST100008896,STR1065,2026-03-04 03:24:59,Technical Support,27,Follow-up Scheduled
VIS7DB227D0D3,CUST100097613,STR1173,2026-03-31 16:51:46,Device Purchase,22,Resolved
VIS3983C2337D,CUST100071627,STR1202,2026-02-17 13:24:22,Account Inquiry,72,Resolved
VISFA5DA3739E,CUST100051780,STR1131,2026-01-09 06:42:47,Device Repair,61,Unresolved
VIS5C53938546,CUST100035988,STR1232,2026-05-21 08:08:50,Device Repair,88,Purchase Completed
VIS6E4FCE9310,CUST100088411,STR1059,2026-04-10 14:15:28,Account Inquiry,21,Unresolved
VIS601EB1531D,CUST100090356,STR1074,2026-04-24 06:37:05,Technical Support,24,Purchase Completed
VIS6BD4F27494,CUST100052684,STR1127,2026-04-03 12:36:29,Bill Payment,20,Resolved
VIS6B778F4C8F,CUST100076964,STR1141,2026-06-20 16:10:17,Account Inquiry,85,Resolved
VISB9CF6E038F,CUST100084763,STR1230,2026-01-12 10:52:28,Account Inquiry,48,Resolved
VIS617E3C0FD9,CUST100076208,STR1010,2026-03-07 23:07:08,Plan Upgrade,32,Resolved
VIS82E74B93AB,CUST100033219,STR1218,2026-05-20 10:22:42,Device Purchase,15,Unresolved
VIS13F4FB9390,CUST100020145,STR1182,2026-07-06 18:23:04,Device Repair,48,Resolved
