membership_id,customer_id,tier_code,tier_name,points_balance,lifetime_points,discount_pct,points_multiplier,status,joined_at,renewal_date,referral_code
MEM0025,CUS0025,BRONZE,Bronze Slice Club,765,1900,0.00,1.00,active,2025-05-04,2026-05-04,PIZZA0025
MEM0026,CUS0026,BRONZE,Bronze Slice Club,481,511,0.00,1.00,active,2025-02-12,2026-02-12,PIZZA0026
MEM0027,CUS0027,PLATINUM,Platinum Slice Club,990,1038,0.15,2.00,active,2026-04-03,2027-04-03,PIZZA0027
MEM0028,CUS0028,PLATINUM,Platinum Slice Club,669,1423,0.15,2.00,active,2025-10-23,2026-10-23,PIZZA0028
MEM0029,CUS0029,SILVER,Silver Slice Club,752,2685,0.05,1.25,active,2024-01-08,2025-01-07,PIZZA0029
MEM0030,CUS0030,GOLD,Gold Slice Club,271,2104,0.10,1.50,expired,2024-03-18,2025-03-18,PIZZA0030
MEM0031,CUS0031,GOLD,Gold Slice Club,486,1097,0.10,1.50,paused,2026-02-01,2027-02-01,PIZZA0031
MEM0032,CUS0032,SILVER,Silver Slice Club,570,2156,0.05,1.25,active,2026-04-22,2027-04-22,PIZZA0032
MEM0033,CUS0033,GOLD,Gold Slice Club,646,1275,0.10,1.50,active,2024-10-06,2025-10-06,PIZZA0033
MEM0034,CUS0034,PLATINUM,Platinum Slice Club,922,1259,0.15,2.00,expired,2024-09-05,2025-09-05,PIZZA0034
MEM0035,CUS0035,GOLD,Gold Slice Club,605,940,0.10,1.50,active,2024-01-05,2025-01-04,PIZZA0035
MEM0036,CUS0036,GOLD,Gold Slice Club,338,364,0.10,1.50,active,2024-12-13,2025-12-13,PIZZA0036
MEM0037,CUS0037,SILVER,Silver Slice Club,419,568,0.05,1.25,active,2026-04-13,2027-04-13,PIZZA0037
MEM0038,CUS0038,GOLD,Gold Slice Club,269,655,0.10,1.50,active,2024-03-28,2025-03-28,PIZZA0038
MEM0039,CUS0039,SILVER,Silver Slice Club,529,694,0.05,1.25,active,2025-01-28,2026-01-28,PIZZA0039
MEM0040,CUS0040,PLATINUM,Platinum Slice Club,922,1892,0.15,2.00,active,2026-05-09,2027-05-09,PIZZA0040
MEM0041,CUS0041,BRONZE,Bronze Slice Club,125,551,0.00,1.00,expired,2025-07-15,2026-07-15,PIZZA0041
MEM0042,CUS0042,BRONZE,Bronze Slice Club,650,1197,0.00,1.00,active,2026-04-04,2027-04-04,PIZZA0042
MEM0043,CUS0043,BRONZE,Bronze Slice Club,766,955,0.00,1.00,active,2025-07-11,2026-07-11,PIZZA0043
MEM0044,CUS0044,BRONZE,Bronze Slice Club,22,2004,0.00,1.00,active,2024-07-16,2025-07-16,PIZZA0044
MEM0045,CUS0045,PLATINUM,Platinum Slice Club,1047,2941,0.15,2.00,active,2025-02-05,2026-02-05,PIZZA0045
MEM0046,CUS0046,GOLD,Gold Slice Club,219,897,0.10,1.50,paused,2025-08-03,2026-08-03,PIZZA0046
MEM0047,CUS0047,SILVER,Silver Slice Club,840,1155,0.05,1.25,paused,2024-12-02,2025-12-02,PIZZA0047
MEM0048,CUS0048,PLATINUM,Platinum Slice Club,1192,1975,0.15,2.00,expired,2024-08-14,2025-08-14,PIZZA0048
MEM0049,CUS0049,GOLD,Gold Slice Club,381,1427,0.10,1.50,paused,2025-11-27,2026-11-27,PIZZA0049
MEM0050,CUS0050,SILVER,Silver Slice Club,630,2546,0.05,1.25,active,2024-03-06,2025-03-06,PIZZA0050
MEM0051,CUS0051,GOLD,Gold Slice Club,358,1592,0.10,1.50,active,2024-10-04,2025-10-04,PIZZA0051
MEM0052,CUS0052,PLATINUM,Platinum Slice Club,775,1620,0.15,2.00,active,2024-03-20,2025-03-20,PIZZA0052
MEM0053,CUS0053,PLATINUM,Platinum Slice Club,849,1014,0.15,2.00,active,2024-03-11,2025-03-11,PIZZA0053
MEM0054,CUS0054,GOLD,Gold Slice Club,358,1335,0.10,1.50,active,2024-07-10,2025-07-10,PIZZA0054
MEM0055,CUS0055,GOLD,Gold Slice Club,290,1611,0.10,1.50,active,2024-05-14,2025-05-14,PIZZA0055
MEM0056,CUS0056,BRONZE,Bronze Slice Club,227,2057,0.00,1.00,paused,2026-05-31,2027-05-31,PIZZA0056
MEM0057,CUS0057,PLATINUM,Platinum Slice Club,694,2475,0.15,2.00,active,2026-06-18,2027-06-18,PIZZA0057
MEM0058,CUS0058,PLATINUM,Platinum Slice Club,612,2594,0.15,2.00,paused,2025-04-07,2026-04-07,PIZZA0058
MEM0059,CUS0059,GOLD,Gold Slice Club,236,1583,0.10,1.50,active,2024-10-30,2025-10-30,PIZZA0059
MEM0060,CUS0060,GOLD,Gold Slice Club,436,1199,0.10,1.50,paused,2026-07-15,2027-07-15,PIZZA0060
MEM0061,CUS0061,BRONZE,Bronze Slice Club,32,1576,0.00,1.00,expired,2025-07-26,2026-07-26,PIZZA0061
MEM0062,CUS0062,GOLD,Gold Slice Club,450,1231,0.10,1.50,active,2024-06-18,2025-06-18,PIZZA0062
MEM0063,CUS0063,BRONZE,Bronze Slice Club,458,1722,0.00,1.00,expired,2026-04-10,2027-04-10,PIZZA0063
MEM0064,CUS0064,PLATINUM,Platinum Slice Club,1199,1666,0.15,2.00,active,2025-09-30,2026-09-30,PIZZA0064
MEM0065,CUS0065,BRONZE,Bronze Slice Club,203,219,0.00,1.00,active,2024-07-19,2025-07-19,PIZZA0065
MEM0066,CUS0066,SILVER,Silver Slice Club,296,1960,0.05,1.25,active,2024-11-22,2025-11-22,PIZZA0066
MEM0067,CUS0067,SILVER,Silver Slice Club,727,1894,0.05,1.25,paused,2024-06-10,2025-06-10,PIZZA0067
MEM0068,CUS0068,BRONZE,Bronze Slice Club,332,387,0.00,1.00,expired,2024-08-13,2025-08-13,PIZZA0068
MEM0069,CUS0069,SILVER,Silver Slice Club,66,595,0.05,1.25,active,2026-02-09,2027-02-09,PIZZA0069
MEM0070,CUS0070,BRONZE,Bronze Slice Club,251,1837,0.00,1.00,expired,2025-04-27,2026-04-27,PIZZA0070
MEM0071,CUS0071,PLATINUM,Platinum Slice Club,839,1893,0.15,2.00,active,2025-08-12,2026-08-12,PIZZA0071
MEM0072,CUS0072,PLATINUM,Platinum Slice Club,911,2246,0.15,2.00,active,2024-03-03,2025-03-03,PIZZA0072
MEM0073,CUS0073,PLATINUM,Platinum Slice Club,1155,1483,0.15,2.00,paused,2024-03-07,2025-03-07,PIZZA0073
MEM0074,CUS0074,GOLD,Gold Slice Club,901,1937,0.10,1.50,expired,2026-01-10,2027-01-10,PIZZA0074
MEM0075,CUS0075,PLATINUM,Platinum Slice Club,607,1453,0.15,2.00,expired,2025-10-25,2026-10-25,PIZZA0075
MEM0076,CUS0076,BRONZE,Bronze Slice Club,210,2198,0.00,1.00,paused,2025-07-08,2026-07-08,PIZZA0076
MEM0077,CUS0077,SILVER,Silver Slice Club,109,1835,0.05,1.25,expired,2026-04-03,2027-04-03,PIZZA0077
MEM0078,CUS0078,SILVER,Silver Slice Club,244,2052,0.05,1.25,active,2024-11-08,2025-11-08,PIZZA0078
MEM0079,CUS0079,PLATINUM,Platinum Slice Club,495,1741,0.15,2.00,expired,2024-02-16,2025-02-15,PIZZA0079
MEM0080,CUS0080,SILVER,Silver Slice Club,525,1548,0.05,1.25,active,2025-04-02,2026-04-02,PIZZA0080
MEM0081,CUS0081,PLATINUM,Platinum Slice Club,501,1573,0.15,2.00,paused,2025-07-16,2026-07-16,PIZZA0081
MEM0082,CUS0082,SILVER,Silver Slice Club,53,1206,0.05,1.25,expired,2024-06-11,2025-06-11,PIZZA0082
MEM0083,CUS0083,PLATINUM,Platinum Slice Club,813,1755,0.15,2.00,expired,2024-10-19,2025-10-19,PIZZA0083
MEM0084,CUS0084,SILVER,Silver Slice Club,714,2045,0.05,1.25,active,2026-02-24,2027-02-24,PIZZA0084
MEM0085,CUS0085,PLATINUM,Platinum Slice Club,987,1780,0.15,2.00,active,2026-04-26,2027-04-26,PIZZA0085
MEM0086,CUS0086,BRONZE,Bronze Slice Club,793,2603,0.00,1.00,paused,2025-08-11,2026-08-11,PIZZA0086
MEM0087,CUS0087,BRONZE,Bronze Slice Club,498,1702,0.00,1.00,active,2024-09-05,2025-09-05,PIZZA0087
MEM0088,CUS0088,GOLD,Gold Slice Club,528,879,0.10,1.50,expired,2024-09-11,2025-09-11,PIZZA0088
MEM0089,CUS0089,GOLD,Gold Slice Club,480,1511,0.10,1.50,active,2025-08-09,2026-08-09,PIZZA0089
MEM0090,CUS0090,PLATINUM,Platinum Slice Club,1194,1347,0.15,2.00,paused,2026-04-28,2027-04-28,PIZZA0090
MEM0091,CUS0091,SILVER,Silver Slice Club,696,1280,0.05,1.25,active,2024-08-31,2025-08-31,PIZZA0091
MEM0092,CUS0092,PLATINUM,Platinum Slice Club,853,870,0.15,2.00,active,2026-07-28,2027-07-28,PIZZA0092
MEM0093,CUS0093,BRONZE,Bronze Slice Club,570,697,0.00,1.00,expired,2024-03-05,2025-03-05,PIZZA0093
MEM0094,CUS0094,SILVER,Silver Slice Club,622,2106,0.05,1.25,active,2025-02-15,2026-02-15,PIZZA0094
MEM0095,CUS0095,GOLD,Gold Slice Club,413,2273,0.10,1.50,expired,2025-02-05,2026-02-05,PIZZA0095
MEM0096,CUS0096,PLATINUM,Platinum Slice Club,987,1078,0.15,2.00,active,2026-05-06,2027-05-06,PIZZA0096
MEM0097,CUS0097,SILVER,Silver Slice Club,311,1163,0.05,1.25,active,2024-10-26,2025-10-26,PIZZA0097
MEM0098,CUS0098,PLATINUM,Platinum Slice Club,1153,2452,0.15,2.00,active,2025-12-12,2026-12-12,PIZZA0098
MEM0099,CUS0099,PLATINUM,Platinum Slice Club,587,791,0.15,2.00,active,2024-04-03,2025-04-03,PIZZA0099
MEM0100,CUS0100,BRONZE,Bronze Slice Club,704,764,0.00,1.00,paused,2026-02-22,2027-02-22,PIZZA0100
MEM0101,CUS0101,PLATINUM,Platinum Slice Club,704,818,0.15,2.00,active,2025-10-07,2026-10-07,PIZZA0101
MEM0102,CUS0102,PLATINUM,Platinum Slice Club,627,1938,0.15,2.00,active,2025-04-17,2026-04-17,PIZZA0102
MEM0103,CUS0103,PLATINUM,Platinum Slice Club,408,2132,0.15,2.00,active,2026-05-13,2027-05-13,PIZZA0103
MEM0104,CUS0104,PLATINUM,Platinum Slice Club,577,2465,0.15,2.00,active,2026-03-25,2027-03-25,PIZZA0104
MEM0105,CUS0105,SILVER,Silver Slice Club,159,418,0.05,1.25,paused,2025-11-13,2026-11-13,PIZZA0105
MEM0106,CUS0106,PLATINUM,Platinum Slice Club,694,2527,0.15,2.00,active,2024-02-06,2025-02-05,PIZZA0106
MEM0107,CUS0107,GOLD,Gold Slice Club,648,1754,0.10,1.50,active,2025-05-12,2026-05-12,PIZZA0107
MEM0108,CUS0108,SILVER,Silver Slice Club,255,1718,0.05,1.25,active,2025-11-14,2026-11-14,PIZZA0108
MEM0109,CUS0109,GOLD,Gold Slice Club,272,1993,0.10,1.50,paused,2024-09-16,2025-09-16,PIZZA0109
MEM0110,CUS0110,GOLD,Gold Slice Club,290,843,0.10,1.50,paused,2025-08-25,2026-08-25,PIZZA0110
MEM0111,CUS0111,GOLD,Gold Slice Club,402,804,0.10,1.50,active,2025-01-26,2026-01-26,PIZZA0111
MEM0112,CUS0112,PLATINUM,Platinum Slice Club,562,1482,0.15,2.00,active,2026-04-26,2027-04-26,PIZZA0112
MEM0113,CUS0113,BRONZE,Bronze Slice Club,664,2433,0.00,1.00,expired,2025-06-30,2026-06-30,PIZZA0113
MEM0114,CUS0114,PLATINUM,Platinum Slice Club,845,1121,0.15,2.00,active,2025-09-26,2026-09-26,PIZZA0114
MEM0115,CUS0115,GOLD,Gold Slice Club,601,1667,0.10,1.50,active,2024-01-23,2025-01-22,PIZZA0115
MEM0116,CUS0116,PLATINUM,Platinum Slice Club,413,1977,0.15,2.00,active,2025-01-28,2026-01-28,PIZZA0116
MEM0117,CUS0117,GOLD,Gold Slice Club,609,1211,0.10,1.50,paused,2025-11-18,2026-11-18,PIZZA0117
MEM0118,CUS0118,PLATINUM,Platinum Slice Club,519,1747,0.15,2.00,expired,2024-08-04,2025-08-04,PIZZA0118
MEM0119,CUS0119,PLATINUM,Platinum Slice Club,1078,1726,0.15,2.00,paused,2026-03-05,2027-03-05,PIZZA0119
MEM0120,CUS0120,GOLD,Gold Slice Club,473,2322,0.10,1.50,active,2024-07-13,2025-07-13,PIZZA0120
MEM0121,CUS0121,GOLD,Gold Slice Club,419,1103,0.10,1.50,expired,2024-08-20,2025-08-20,PIZZA0121
MEM0122,CUS0122,PLATINUM,Platinum Slice Club,865,1222,0.15,2.00,expired,2025-09-16,2026-09-16,PIZZA0122
MEM0123,CUS0123,SILVER,Silver Slice Club,671,783,0.05,1.25,paused,2026-06-08,2027-06-08,PIZZA0123
MEM0124,CUS0124,SILVER,Silver Slice Club,785,1645,0.05,1.25,paused,2024-07-29,2025-07-29,PIZZA0124
MEM0125,CUS0125,GOLD,Gold Slice Club,593,1957,0.10,1.50,active,2024-03-09,2025-03-09,PIZZA0125
MEM0126,CUS0126,BRONZE,Bronze Slice Club,792,1324,0.00,1.00,active,2025-05-03,2026-05-03,PIZZA0126
MEM0127,CUS0127,SILVER,Silver Slice Club,217,1114,0.05,1.25,active,2026-03-14,2027-03-14,PIZZA0127
MEM0128,CUS0128,PLATINUM,Platinum Slice Club,938,1385,0.15,2.00,active,2026-04-15,2027-04-15,PIZZA0128
MEM0129,CUS0129,SILVER,Silver Slice Club,599,1963,0.05,1.25,expired,2024-11-11,2025-11-11,PIZZA0129
MEM0130,CUS0130,PLATINUM,Platinum Slice Club,558,1291,0.15,2.00,active,2024-08-02,2025-08-02,PIZZA0130
MEM0131,CUS0131,PLATINUM,Platinum Slice Club,1157,2019,0.15,2.00,active,2026-02-17,2027-02-17,PIZZA0131
MEM0132,CUS0132,PLATINUM,Platinum Slice Club,488,611,0.15,2.00,active,2025-10-31,2026-10-31,PIZZA0132
MEM0133,CUS0133,GOLD,Gold Slice Club,531,1549,0.10,1.50,active,2025-09-15,2026-09-15,PIZZA0133
MEM0134,CUS0134,BRONZE,Bronze Slice Club,319,730,0.00,1.00,paused,2026-05-19,2027-05-19,PIZZA0134
MEM0135,CUS0135,BRONZE,Bronze Slice Club,790,1977,0.00,1.00,active,2025-04-19,2026-04-19,PIZZA0135
MEM0136,CUS0136,PLATINUM,Platinum Slice Club,892,1366,0.15,2.00,active,2024-08-14,2025-08-14,PIZZA0136
MEM0137,CUS0137,BRONZE,Bronze Slice Club,32,139,0.00,1.00,active,2025-09-11,2026-09-11,PIZZA0137
MEM0138,CUS0138,SILVER,Silver Slice Club,472,2236,0.05,1.25,active,2025-10-27,2026-10-27,PIZZA0138
MEM0139,CUS0139,PLATINUM,Platinum Slice Club,999,2636,0.15,2.00,paused,2024-02-26,2025-02-25,PIZZA0139
MEM0140,CUS0140,BRONZE,Bronze Slice Club,619,2222,0.00,1.00,active,2025-03-18,2026-03-18,PIZZA0140
MEM0141,CUS0141,BRONZE,Bronze Slice Club,48,1271,0.00,1.00,active,2024-01-11,2025-01-10,PIZZA0141
MEM0142,CUS0142,PLATINUM,Platinum Slice Club,764,2473,0.15,2.00,expired,2025-09-01,2026-09-01,PIZZA0142
MEM0143,CUS0143,GOLD,Gold Slice Club,497,2427,0.10,1.50,active,2025-04-25,2026-04-25,PIZZA0143
MEM0144,CUS0144,SILVER,Silver Slice Club,105,301,0.05,1.25,paused,2024-03-01,2025-03-01,PIZZA0144
MEM0145,CUS0145,GOLD,Gold Slice Club,283,1623,0.10,1.50,paused,2025-09-13,2026-09-13,PIZZA0145
MEM0146,CUS0146,GOLD,Gold Slice Club,154,2020,0.10,1.50,active,2024-08-31,2025-08-31,PIZZA0146
MEM0147,CUS0147,SILVER,Silver Slice Club,398,1760,0.05,1.25,expired,2024-07-22,2025-07-22,PIZZA0147
MEM0148,CUS0148,PLATINUM,Platinum Slice Club,457,1479,0.15,2.00,active,2024-11-03,2025-11-03,PIZZA0148
MEM0149,CUS0149,SILVER,Silver Slice Club,471,1283,0.05,1.25,active,2024-06-18,2025-06-18,PIZZA0149
MEM0150,CUS0150,PLATINUM,Platinum Slice Club,508,601,0.15,2.00,paused,2026-06-04,2027-06-04,PIZZA0150
MEM0151,CUS0151,BRONZE,Bronze Slice Club,695,2062,0.00,1.00,paused,2026-04-07,2027-04-07,PIZZA0151
MEM0152,CUS0152,BRONZE,Bronze Slice Club,506,696,0.00,1.00,active,2024-07-02,2025-07-02,PIZZA0152
MEM0153,CUS0153,GOLD,Gold Slice Club,804,1104,0.10,1.50,active,2024-01-02,2025-01-01,PIZZA0153
MEM0154,CUS0154,BRONZE,Bronze Slice Club,416,968,0.00,1.00,active,2024-02-05,2025-02-04,PIZZA0154
MEM0155,CUS0155,SILVER,Silver Slice Club,480,2339,0.05,1.25,active,2025-12-13,2026-12-13,PIZZA0155
MEM0156,CUS0156,SILVER,Silver Slice Club,639,1962,0.05,1.25,active,2025-04-27,2026-04-27,PIZZA0156
MEM0157,CUS0157,PLATINUM,Platinum Slice Club,543,2422,0.15,2.00,paused,2025-06-10,2026-06-10,PIZZA0157
MEM0158,CUS0158,GOLD,Gold Slice Club,477,2470,0.10,1.50,active,2024-04-04,2025-04-04,PIZZA0158
MEM0159,CUS0159,GOLD,Gold Slice Club,652,2028,0.10,1.50,active,2026-02-14,2027-02-14,PIZZA0159
MEM0160,CUS0160,BRONZE,Bronze Slice Club,421,451,0.00,1.00,active,2024-05-07,2025-05-07,PIZZA0160
MEM0161,CUS0161,GOLD,Gold Slice Club,510,903,0.10,1.50,expired,2026-06-09,2027-06-09,PIZZA0161
MEM0162,CUS0162,PLATINUM,Platinum Slice Club,767,1994,0.15,2.00,expired,2025-06-17,2026-06-17,PIZZA0162
MEM0163,CUS0163,PLATINUM,Platinum Slice Club,977,2885,0.15,2.00,active,2025-05-06,2026-05-06,PIZZA0163
MEM0164,CUS0164,BRONZE,Bronze Slice Club,741,883,0.00,1.00,active,2025-02-08,2026-02-08,PIZZA0164
MEM0165,CUS0165,GOLD,Gold Slice Club,692,2202,0.10,1.50,active,2024-09-11,2025-09-11,PIZZA0165
MEM0166,CUS0166,SILVER,Silver Slice Club,151,968,0.05,1.25,active,2024-03-18,2025-03-18,PIZZA0166
MEM0167,CUS0167,SILVER,Silver Slice Club,724,1228,0.05,1.25,active,2024-02-02,2025-02-01,PIZZA0167
MEM0168,CUS0168,PLATINUM,Platinum Slice Club,1121,1692,0.15,2.00,active,2025-12-12,2026-12-12,PIZZA0168
MEM0169,CUS0169,GOLD,Gold Slice Club,383,1971,0.10,1.50,active,2024-12-19,2025-12-19,PIZZA0169
MEM0170,CUS0170,GOLD,Gold Slice Club,845,1780,0.10,1.50,expired,2025-06-20,2026-06-20,PIZZA0170
MEM0171,CUS0171,PLATINUM,Platinum Slice Club,1109,2426,0.15,2.00,active,2026-02-14,2027-02-14,PIZZA0171
MEM0172,CUS0172,BRONZE,Bronze Slice Club,483,2414,0.00,1.00,paused,2025-04-03,2026-04-03,PIZZA0172
MEM0173,CUS0173,SILVER,Silver Slice Club,701,2004,0.05,1.25,paused,2025-02-11,2026-02-11,PIZZA0173
MEM0174,CUS0174,GOLD,Gold Slice Club,303,1914,0.10,1.50,expired,2026-01-17,2027-01-17,PIZZA0174
MEM0175,CUS0175,SILVER,Silver Slice Club,155,1307,0.05,1.25,active,2025-04-04,2026-04-04,PIZZA0175
MEM0176,CUS0176,PLATINUM,Platinum Slice Club,1042,2880,0.15,2.00,active,2025-12-01,2026-12-01,PIZZA0176
MEM0177,CUS0177,BRONZE,Bronze Slice Club,610,1782,0.00,1.00,paused,2024-02-20,2025-02-19,PIZZA0177
MEM0178,CUS0178,GOLD,Gold Slice Club,327,1583,0.10,1.50,expired,2025-03-29,2026-03-29,PIZZA0178
MEM0179,CUS0179,SILVER,Silver Slice Club,633,1140,0.05,1.25,active,2026-06-18,2027-06-18,PIZZA0179
MEM0180,CUS0180,PLATINUM,Platinum Slice Club,534,782,0.15,2.00,active,2025-02-07,2026-02-07,PIZZA0180
MEM0181,CUS0181,SILVER,Silver Slice Club,414,1450,0.05,1.25,active,2025-10-20,2026-10-20,PIZZA0181
MEM0182,CUS0182,PLATINUM,Platinum Slice Club,1184,1552,0.15,2.00,active,2024-03-19,2025-03-19,PIZZA0182
MEM0183,CUS0183,BRONZE,Bronze Slice Club,350,1667,0.00,1.00,active,2024-01-04,2025-01-03,PIZZA0183
MEM0184,CUS0184,PLATINUM,Platinum Slice Club,986,2149,0.15,2.00,active,2026-05-26,2027-05-26,PIZZA0184
MEM0185,CUS0185,GOLD,Gold Slice Club,911,1445,0.10,1.50,active,2026-04-01,2027-04-01,PIZZA0185
MEM0186,CUS0186,GOLD,Gold Slice Club,537,1254,0.10,1.50,active,2025-06-29,2026-06-29,PIZZA0186
MEM0187,CUS0187,SILVER,Silver Slice Club,343,761,0.05,1.25,active,2024-12-12,2025-12-12,PIZZA0187
MEM0188,CUS0188,GOLD,Gold Slice Club,883,2663,0.10,1.50,paused,2024-03-28,2025-03-28,PIZZA0188
MEM0189,CUS0189,BRONZE,Bronze Slice Club,790,831,0.00,1.00,paused,2026-03-09,2027-03-09,PIZZA0189
MEM0190,CUS0190,SILVER,Silver Slice Club,801,1291,0.05,1.25,expired,2024-04-20,2025-04-20,PIZZA0190
MEM0191,CUS0191,GOLD,Gold Slice Club,394,1054,0.10,1.50,paused,2025-03-30,2026-03-30,PIZZA0191
MEM0192,CUS0192,GOLD,Gold Slice Club,784,826,0.10,1.50,paused,2025-05-21,2026-05-21,PIZZA0192
MEM0193,CUS0193,SILVER,Silver Slice Club,209,1280,0.05,1.25,active,2024-07-11,2025-07-11,PIZZA0193
MEM0194,CUS0194,BRONZE,Bronze Slice Club,73,446,0.00,1.00,paused,2024-06-05,2025-06-05,PIZZA0194
MEM0195,CUS0195,GOLD,Gold Slice Club,246,2236,0.10,1.50,expired,2024-08-24,2025-08-24,PIZZA0195
MEM0196,CUS0196,BRONZE,Bronze Slice Club,262,799,0.00,1.00,paused,2025-05-11,2026-05-11,PIZZA0196
MEM0197,CUS0197,SILVER,Silver Slice Club,700,2689,0.05,1.25,paused,2025-12-22,2026-12-22,PIZZA0197
MEM0198,CUS0198,BRONZE,Bronze Slice Club,59,816,0.00,1.00,active,2026-01-27,2027-01-27,PIZZA0198
MEM0199,CUS0199,PLATINUM,Platinum Slice Club,1036,1795,0.15,2.00,active,2024-02-09,2025-02-08,PIZZA0199
MEM0200,CUS0200,PLATINUM,Platinum Slice Club,794,2163,0.15,2.00,active,2024-07-21,2025-07-21,PIZZA0200
MEM0201,CUS0201,SILVER,Silver Slice Club,464,831,0.05,1.25,active,2025-11-20,2026-11-20,PIZZA0201
MEM0202,CUS0202,SILVER,Silver Slice Club,487,1172,0.05,1.25,paused,2024-07-21,2025-07-21,PIZZA0202
MEM0203,CUS0203,SILVER,Silver Slice Club,837,1852,0.05,1.25,expired,2024-01-06,2025-01-05,PIZZA0203
MEM0204,CUS0204,BRONZE,Bronze Slice Club,756,1761,0.00,1.00,active,2025-01-31,2026-01-31,PIZZA0204
MEM0205,CUS0205,PLATINUM,Platinum Slice Club,1036,2656,0.15,2.00,active,2026-03-08,2027-03-08,PIZZA0205
MEM0206,CUS0206,PLATINUM,Platinum Slice Club,929,1950,0.15,2.00,paused,2026-07-28,2027-07-28,PIZZA0206
MEM0207,CUS0207,GOLD,Gold Slice Club,867,2854,0.10,1.50,active,2024-09-10,2025-09-10,PIZZA0207
MEM0208,CUS0208,PLATINUM,Platinum Slice Club,798,1956,0.15,2.00,active,2024-10-30,2025-10-30,PIZZA0208
MEM0209,CUS0209,GOLD,Gold Slice Club,433,981,0.10,1.50,active,2025-07-16,2026-07-16,PIZZA0209
MEM0210,CUS0210,SILVER,Silver Slice Club,421,1347,0.05,1.25,expired,2026-02-26,2027-02-26,PIZZA0210
MEM0211,CUS0211,SILVER,Silver Slice Club,219,1037,0.05,1.25,active,2026-03-30,2027-03-30,PIZZA0211
MEM0212,CUS0212,BRONZE,Bronze Slice Club,429,2074,0.00,1.00,active,2024-06-05,2025-06-05,PIZZA0212
MEM0213,CUS0213,BRONZE,Bronze Slice Club,617,2098,0.00,1.00,expired,2025-05-05,2026-05-05,PIZZA0213
MEM0214,CUS0214,GOLD,Gold Slice Club,643,2544,0.10,1.50,active,2024-09-15,2025-09-15,PIZZA0214
