product_id,product_name,category,size,crust,is_vegetarian,unit_cost,unit_price,calories,is_active,supplier_id
PRD0035,"Four Cheese (Large, Thin)",pizza,Large,Thin,false,5.38,16.11,499,true,SUP0417
PRD0036,"Spicy Diablo (Large, Pan)",pizza,Large,Pan,false,4.86,16.51,479,true,SUP0509
PRD0037,"Spinach Feta (Personal, Thin)",pizza,Personal,Thin,false,3.47,9.15,1116,true,SUP0067
PRD0038,"Sausage & Peppers (Large, Stuffed)",pizza,Large,Stuffed,false,6.18,20.34,992,true,SUP0290
PRD0039,"Ranch Special (Medium, Thin)",pizza,Medium,Thin,false,2.71,6.32,817,true,SUP0357
PRD0040,"White Garlic (Medium, Pan)",pizza,Medium,Pan,false,5.05,14.17,418,true,SUP0189
PRD0041,"Sausage & Peppers (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,3.59,9.65,860,true,SUP0027
PRD0042,"Mushroom Truffle (Family, Thin)",pizza,Family,Thin,false,5.83,17.48,289,true,SUP0670
PRD0043,"Mushroom Truffle (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,2.54,8.07,1162,true,SUP0985
PRD0044,"Pesto Chicken (Medium, Pan)",pizza,Medium,Pan,false,2.78,8.46,1031,true,SUP0106
PRD0045,"Margherita (Personal, Cauliflower)",pizza,Personal,Cauliflower,true,5.36,15.66,676,true,SUP0824
PRD0046,"Hawaiian (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,6.25,13.82,954,true,SUP0514
PRD0047,"Hawaiian (Personal, Pan)",pizza,Personal,Pan,false,8.59,25.70,406,true,SUP0566
PRD0048,"Veggie Supreme (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,true,6.39,16.24,1217,true,SUP0335
PRD0049,"Veggie Supreme (Medium, Pan)",pizza,Medium,Pan,true,9.50,27.64,728,false,SUP0280
PRD0050,"BBQ Chicken (Personal, Stuffed)",pizza,Personal,Stuffed,false,4.38,12.81,357,true,SUP0912
PRD0051,"Hawaiian (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,4.93,11.02,763,true,SUP0991
PRD0052,"Sausage & Peppers (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,7.86,22.31,388,true,SUP0008
PRD0053,"Pesto Chicken (Large, Thin)",pizza,Large,Thin,false,6.98,23.19,856,true,SUP0570
PRD0054,"Pepperoni (Family, Stuffed)",pizza,Family,Stuffed,false,4.18,9.84,1226,false,SUP0075
PRD0055,"Margherita (Large, Thin)",pizza,Large,Thin,true,6.85,22.57,794,true,SUP0080
PRD0056,"Sicilian (Medium, Stuffed)",pizza,Medium,Stuffed,false,7.83,18.12,657,true,SUP0570
PRD0057,"Pesto Chicken (Family, Pan)",pizza,Family,Pan,false,7.63,22.54,1247,false,SUP0088
PRD0058,"Ranch Special (Medium, Thin)",pizza,Medium,Thin,false,5.20,16.15,1139,true,SUP0573
PRD0059,"Margherita (Medium, Cauliflower)",pizza,Medium,Cauliflower,true,6.41,20.04,418,true,SUP0844
PRD0060,"Sausage & Peppers (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,8.25,22.15,1299,false,SUP0834
PRD0061,"Sicilian (Large, Pan)",pizza,Large,Pan,false,8.90,27.97,1333,true,SUP0715
PRD0062,"Margherita (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,true,6.53,20.14,978,true,SUP0441
PRD0063,"Pepperoni (Large, Pan)",pizza,Large,Pan,false,8.76,24.73,1232,true,SUP0387
PRD0064,"BBQ Chicken (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,4.82,13.27,598,true,SUP0280
PRD0065,"Neapolitan (Family, Thin)",pizza,Family,Thin,false,3.08,7.96,1029,true,SUP0949
PRD0066,"Buffalo Chicken (Family, Stuffed)",pizza,Family,Stuffed,false,2.98,8.67,1250,false,SUP0367
PRD0067,"Buffalo Chicken (Personal, Stuffed)",pizza,Personal,Stuffed,false,4.46,12.38,936,true,SUP0165
PRD0068,"White Garlic (Large, Pan)",pizza,Large,Pan,false,4.61,14.42,1141,true,SUP0185
PRD0069,"Sicilian (Personal, Stuffed)",pizza,Personal,Stuffed,false,4.47,10.83,408,true,SUP0179
PRD0070,"Four Cheese (Large, Stuffed)",pizza,Large,Stuffed,false,2.53,5.67,283,true,SUP0130
PRD0071,"Spinach Feta (Personal, Pan)",pizza,Personal,Pan,false,4.89,16.30,935,true,SUP0336
PRD0072,"Spicy Diablo (Large, Pan)",pizza,Large,Pan,false,5.71,18.36,1317,true,SUP0394
PRD0073,"Meat Lovers (Family, Stuffed)",pizza,Family,Stuffed,false,8.16,18.10,688,true,SUP0464
PRD0074,"Pepperoni (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,4.05,9.62,812,true,SUP0299
PRD0075,"Neapolitan (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,8.44,21.83,1221,true,SUP0143
PRD0076,"Ranch Special (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,2.82,6.28,406,true,SUP0402
PRD0077,"Meat Lovers (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,3.61,10.03,441,true,SUP0850
PRD0078,"Veggie Supreme (Personal, Pan)",pizza,Personal,Pan,true,3.11,8.57,482,true,SUP0368
PRD0079,"Buffalo Chicken (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,5.18,12.69,130,true,SUP0130
PRD0080,"Neapolitan (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,3.35,8.29,441,true,SUP0310
PRD0081,"Spicy Diablo (Large, Thin)",pizza,Large,Thin,false,3.79,8.55,315,true,SUP0050
PRD0082,"Hawaiian (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,3.98,11.72,1122,true,SUP0087
PRD0083,"Pepperoni (Personal, Thin)",pizza,Personal,Thin,false,7.02,17.00,1311,true,SUP0441
PRD0084,"Hawaiian (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,3.79,9.89,695,true,SUP0066
PRD0085,"Ranch Special (Large, Pan)",pizza,Large,Pan,false,9.29,23.88,1040,true,SUP0637
PRD0086,"Veggie Supreme (Medium, Thin)",pizza,Medium,Thin,true,4.50,14.11,564,true,SUP0240
PRD0087,"BBQ Chicken (Family, Cauliflower)",pizza,Family,Cauliflower,false,5.76,18.07,274,true,SUP0386
PRD0088,"Spinach Feta (Family, Pan)",pizza,Family,Pan,false,8.37,22.86,362,true,SUP0968
PRD0089,"Neapolitan (Medium, Stuffed)",pizza,Medium,Stuffed,false,7.40,17.20,284,true,SUP0998
PRD0090,"Supreme (Family, Cauliflower)",pizza,Family,Cauliflower,false,7.48,19.51,825,true,SUP0483
PRD0091,"Pesto Chicken (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,2.69,7.76,1254,true,SUP0718
PRD0092,"Sicilian (Family, Stuffed)",pizza,Family,Stuffed,false,2.88,8.64,1399,false,SUP0136
PRD0093,"Buffalo Chicken (Personal, Thin)",pizza,Personal,Thin,false,5.24,15.45,1024,false,SUP0645
PRD0094,"Supreme (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,4.85,11.45,526,true,SUP0127
PRD0095,"Spicy Diablo (Large, Stuffed)",pizza,Large,Stuffed,false,3.59,11.63,895,true,SUP0530
PRD0096,"Spinach Feta (Large, Cauliflower)",pizza,Large,Cauliflower,false,4.04,11.32,290,true,SUP0156
PRD0097,"Spinach Feta (Medium, Thin)",pizza,Medium,Thin,false,2.78,9.25,621,true,SUP0345
PRD0098,"Buffalo Chicken (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,7.42,16.98,413,true,SUP0353
PRD0099,"Ranch Special (Family, Cauliflower)",pizza,Family,Cauliflower,false,6.79,15.97,1100,true,SUP0549
PRD0100,"Mushroom Truffle (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,7.11,17.37,1137,true,SUP0584
PRD0101,"BBQ Chicken (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,8.94,21.15,313,true,SUP0282
PRD0102,"Margherita (Family, Pan)",pizza,Family,Pan,true,3.65,9.89,719,true,SUP0456
PRD0103,"Buffalo Chicken (Large, Thin)",pizza,Large,Thin,false,8.14,22.67,692,true,SUP0354
PRD0104,"Buffalo Chicken (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,9.15,24.15,923,true,SUP0770
PRD0105,"White Garlic (Family, Cauliflower)",pizza,Family,Cauliflower,false,4.32,11.80,721,true,SUP0164
PRD0106,"Meat Lovers (Large, Stuffed)",pizza,Large,Stuffed,false,4.52,11.93,366,false,SUP0417
PRD0107,"Veggie Supreme (Large, Thin)",pizza,Large,Thin,true,9.21,26.66,1282,true,SUP0393
PRD0108,"Spicy Diablo (Large, Thin)",pizza,Large,Thin,false,3.50,10.53,983,true,SUP0769
PRD0109,"Sausage & Peppers (Family, Cauliflower)",pizza,Family,Cauliflower,false,3.76,12.52,774,true,SUP0629
PRD0110,"Sausage & Peppers (Medium, Pan)",pizza,Medium,Pan,false,7.29,18.40,403,false,SUP0590
PRD0111,"Hawaiian (Large, Cauliflower)",pizza,Large,Cauliflower,false,8.58,25.64,128,true,SUP0807
PRD0112,"Four Cheese (Large, Cauliflower)",pizza,Large,Cauliflower,false,5.73,19.37,132,true,SUP0354
PRD0113,"Supreme (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,5.12,16.56,716,true,SUP0054
PRD0114,"Sausage & Peppers (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,4.11,12.06,394,true,SUP0464
PRD0115,"Spicy Diablo (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,3.85,11.45,439,true,SUP0949
PRD0116,"Mushroom Truffle (Large, Thin)",pizza,Large,Thin,false,7.52,20.12,939,true,SUP0456
PRD0117,"Margherita (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,true,5.35,13.18,407,true,SUP0803
PRD0118,"Ranch Special (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,2.53,5.77,403,true,SUP0846
PRD0119,"Veggie Supreme (Personal, Thin)",pizza,Personal,Thin,true,8.74,26.78,1180,true,SUP0941
PRD0120,"Mushroom Truffle (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,8.22,25.71,1232,true,SUP0771
PRD0121,"Four Cheese (Family, Cauliflower)",pizza,Family,Cauliflower,false,7.23,19.21,1163,true,SUP0708
PRD0122,"Spicy Diablo (Family, Cauliflower)",pizza,Family,Cauliflower,false,7.57,22.44,543,true,SUP0873
PRD0123,"Sicilian (Large, Stuffed)",pizza,Large,Stuffed,false,8.92,29.16,1347,true,SUP0576
PRD0124,"Neapolitan (Family, Pan)",pizza,Family,Pan,false,6.48,20.73,352,true,SUP0150
PRD0125,"Mushroom Truffle (Large, Thin)",pizza,Large,Thin,false,8.86,29.37,886,false,SUP0669
PRD0126,"Margherita (Personal, Thin)",pizza,Personal,Thin,true,8.79,22.42,344,true,SUP0806
PRD0127,"Ranch Special (Personal, Stuffed)",pizza,Personal,Stuffed,false,8.64,21.27,1192,true,SUP0591
PRD0128,"Pepperoni (Large, Pan)",pizza,Large,Pan,false,6.97,15.84,245,true,SUP0066
PRD0129,"Neapolitan (Family, Cauliflower)",pizza,Family,Cauliflower,false,8.76,22.83,557,true,SUP0196
PRD0130,"Ranch Special (Personal, Pan)",pizza,Personal,Pan,false,6.11,15.02,755,true,SUP0361
PRD0131,"Ranch Special (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,2.79,8.29,331,true,SUP0529
PRD0132,"Sicilian (Family, Pan)",pizza,Family,Pan,false,5.63,15.68,1043,true,SUP0037
PRD0133,"BBQ Chicken (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,8.72,27.45,330,true,SUP0621
PRD0134,"Ranch Special (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,7.41,20.18,338,true,SUP0951
PRD0135,"White Garlic (Family, Stuffed)",pizza,Family,Stuffed,false,9.34,21.82,1284,true,SUP0847
PRD0136,"White Garlic (Family, Pan)",pizza,Family,Pan,false,6.55,20.02,533,true,SUP0164
PRD0137,"Pesto Chicken (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,8.59,26.31,177,true,SUP0550
PRD0138,"Four Cheese (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,4.29,12.75,257,true,SUP0433
PRD0139,"Sicilian (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,6.32,15.77,610,true,SUP0593
PRD0140,"Ranch Special (Medium, Pan)",pizza,Medium,Pan,false,3.61,9.69,410,true,SUP0928
PRD0141,"Supreme (Large, Stuffed)",pizza,Large,Stuffed,false,2.80,8.46,1224,true,SUP0952
PRD0142,"Pesto Chicken (Family, Stuffed)",pizza,Family,Stuffed,false,5.89,19.11,128,true,SUP0796
PRD0143,"Four Cheese (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,8.02,20.93,442,true,SUP0474
PRD0144,"Meat Lovers (Family, Cauliflower)",pizza,Family,Cauliflower,false,5.51,15.83,574,true,SUP0072
PRD0145,"Neapolitan (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,4.74,15.40,879,true,SUP0437
PRD0146,"Hawaiian (Medium, Thin)",pizza,Medium,Thin,false,8.13,22.43,510,true,SUP0008
PRD0147,"Spicy Diablo (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,8.70,27.94,1055,true,SUP0230
PRD0148,"Spicy Diablo (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,8.05,22.25,357,true,SUP0779
PRD0149,"Ranch Special (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,4.73,14.35,1104,true,SUP0944
PRD0150,"White Garlic (Medium, Thin)",pizza,Medium,Thin,false,7.96,18.10,1026,true,SUP0150
PRD0151,"BBQ Chicken (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,7.51,19.04,516,true,SUP0298
PRD0152,"Supreme (Medium, Thin)",pizza,Medium,Thin,false,4.94,14.78,1035,true,SUP0097
PRD0153,"Pesto Chicken (Personal, Stuffed)",pizza,Personal,Stuffed,false,6.58,18.22,890,true,SUP0625
PRD0154,"Pesto Chicken (Large, Cauliflower)",pizza,Large,Cauliflower,false,5.32,14.61,726,false,SUP0625
PRD0155,"White Garlic (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,4.51,11.37,155,true,SUP0376
PRD0156,"Veggie Supreme (Medium, Pan)",pizza,Medium,Pan,true,9.11,30.84,897,true,SUP0374
PRD0157,"Four Cheese (Family, Stuffed)",pizza,Family,Stuffed,false,3.90,11.84,380,true,SUP0594
PRD0158,"BBQ Chicken (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,9.39,28.58,1059,false,SUP0710
PRD0159,"Spinach Feta (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,5.45,16.97,805,true,SUP0656
PRD0160,"Hawaiian (Personal, Pan)",pizza,Personal,Pan,false,2.76,8.40,209,false,SUP0726
PRD0161,"Veggie Supreme (Family, Thin)",pizza,Family,Thin,true,2.72,6.08,941,true,SUP0586
PRD0162,"Four Cheese (Large, Cauliflower)",pizza,Large,Cauliflower,false,8.87,25.87,1259,true,SUP0209
PRD0163,"Buffalo Chicken (Large, Pan)",pizza,Large,Pan,false,6.05,18.50,853,true,SUP0092
PRD0164,"Meat Lovers (Personal, Pan)",pizza,Personal,Pan,false,6.49,17.96,306,true,SUP0394
PRD0165,"Buffalo Chicken (Family, Cauliflower)",pizza,Family,Cauliflower,false,8.47,25.54,611,true,SUP0024
PRD0166,"Four Cheese (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,7.35,23.37,954,true,SUP0150
PRD0167,"Ranch Special (Medium, Pan)",pizza,Medium,Pan,false,5.25,13.65,1332,true,SUP0738
PRD0168,"Supreme (Medium, Pan)",pizza,Medium,Pan,false,2.52,7.99,409,false,SUP0401
PRD0169,"Pepperoni (Personal, Pan)",pizza,Personal,Pan,false,7.17,19.01,155,true,SUP0604
PRD0170,"Margherita (Large, Pan)",pizza,Large,Pan,true,3.96,9.39,354,true,SUP0668
PRD0171,"Four Cheese (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,9.42,24.34,981,true,SUP0932
PRD0172,"Four Cheese (Family, Stuffed)",pizza,Family,Stuffed,false,7.49,23.96,531,true,SUP0092
PRD0173,"Pepperoni (Personal, Thin)",pizza,Personal,Thin,false,6.63,18.76,1338,true,SUP0068
PRD0174,"Spicy Diablo (Family, Stuffed)",pizza,Family,Stuffed,false,3.30,7.27,754,true,SUP0545
PRD0175,"Pepperoni (Medium, Stuffed)",pizza,Medium,Stuffed,false,7.01,23.39,807,true,SUP0286
PRD0176,"BBQ Chicken (Large, Stuffed)",pizza,Large,Stuffed,false,8.67,25.30,488,true,SUP0052
PRD0177,"Buffalo Chicken (Personal, Pan)",pizza,Personal,Pan,false,7.44,22.03,974,true,SUP0249
PRD0178,"Pesto Chicken (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,6.24,18.53,1168,true,SUP0085
PRD0179,"Veggie Supreme (Medium, Cauliflower)",pizza,Medium,Cauliflower,true,6.14,16.08,1291,true,SUP0470
PRD0180,"Mushroom Truffle (Family, Thin)",pizza,Family,Thin,false,8.60,28.33,571,false,SUP0849
PRD0181,"BBQ Chicken (Personal, Pan)",pizza,Personal,Pan,false,7.27,24.24,620,false,SUP0628
PRD0182,"Pesto Chicken (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,6.73,19.81,714,true,SUP0097
PRD0183,"Spicy Diablo (Personal, Pan)",pizza,Personal,Pan,false,3.48,9.42,596,true,SUP0418
PRD0184,"Neapolitan (Personal, Thin)",pizza,Personal,Thin,false,5.34,14.86,1100,true,SUP0101
PRD0185,"Ranch Special (Family, Cauliflower)",pizza,Family,Cauliflower,false,5.29,17.33,1207,true,SUP0982
PRD0186,"Four Cheese (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,5.53,15.65,852,false,SUP0747
PRD0187,"White Garlic (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,8.97,21.58,445,true,SUP0443
PRD0188,"Pesto Chicken (Family, Stuffed)",pizza,Family,Stuffed,false,8.32,23.43,1287,true,SUP0200
PRD0189,"Sausage & Peppers (Family, Thin)",pizza,Family,Thin,false,9.15,30.99,785,true,SUP0564
PRD0190,"Spicy Diablo (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,4.54,13.17,771,true,SUP0109
PRD0191,"Veggie Supreme (Large, Pan)",pizza,Large,Pan,true,6.86,19.04,431,true,SUP0998
PRD0192,"Supreme (Family, Pan)",pizza,Family,Pan,false,2.67,8.58,1260,true,SUP0760
PRD0193,"Spicy Diablo (Personal, Pan)",pizza,Personal,Pan,false,2.71,6.19,715,true,SUP0452
PRD0194,"Hawaiian (Family, Pan)",pizza,Family,Pan,false,5.88,17.05,1290,false,SUP0843
PRD0195,"Veggie Supreme (Large, Cauliflower)",pizza,Large,Cauliflower,true,4.96,11.46,1211,true,SUP0664
PRD0196,"Hawaiian (Large, Stuffed)",pizza,Large,Stuffed,false,5.50,12.47,859,true,SUP0005
PRD0197,"Meat Lovers (Large, Pan)",pizza,Large,Pan,false,6.66,19.76,1190,true,SUP0575
PRD0198,"Supreme (Large, Cauliflower)",pizza,Large,Cauliflower,false,9.45,27.88,154,true,SUP0604
PRD0199,"Four Cheese (Personal, Thin)",pizza,Personal,Thin,false,3.21,10.45,816,true,SUP0066
PRD0200,"Ranch Special (Family, Thin)",pizza,Family,Thin,false,5.95,14.32,167,true,SUP0659
PRD0201,"Neapolitan (Medium, Hand-Tossed)",pizza,Medium,Hand-Tossed,false,3.63,11.71,955,true,SUP0841
PRD0202,"Hawaiian (Personal, Cauliflower)",pizza,Personal,Cauliflower,false,3.68,8.27,1140,true,SUP0021
PRD0203,"Veggie Supreme (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,true,8.83,26.33,987,true,SUP0719
PRD0204,"Sausage & Peppers (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,5.79,18.24,710,true,SUP0715
PRD0205,"Sicilian (Family, Thin)",pizza,Family,Thin,false,8.15,25.38,744,true,SUP0680
PRD0206,"Neapolitan (Family, Cauliflower)",pizza,Family,Cauliflower,false,4.29,13.15,1231,true,SUP0808
PRD0207,"Four Cheese (Large, Pan)",pizza,Large,Pan,false,4.27,11.31,640,true,SUP0068
PRD0208,"Mushroom Truffle (Family, Cauliflower)",pizza,Family,Cauliflower,false,8.77,29.57,977,true,SUP0895
PRD0209,"Ranch Special (Medium, Pan)",pizza,Medium,Pan,false,6.05,19.01,1270,true,SUP0235
PRD0210,"Neapolitan (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,8.48,27.13,562,true,SUP0402
PRD0211,"Spinach Feta (Large, Hand-Tossed)",pizza,Large,Hand-Tossed,false,3.58,11.57,1063,true,SUP0538
PRD0212,"Supreme (Personal, Stuffed)",pizza,Personal,Stuffed,false,8.81,22.45,445,true,SUP0667
PRD0213,"Pesto Chicken (Medium, Pan)",pizza,Medium,Pan,false,4.61,14.95,1001,true,SUP0708
PRD0214,"Sicilian (Personal, Pan)",pizza,Personal,Pan,false,2.67,8.18,745,true,SUP0062
PRD0215,"Neapolitan (Personal, Stuffed)",pizza,Personal,Stuffed,false,3.72,9.40,1069,true,SUP0843
PRD0216,"Margherita (Personal, Cauliflower)",pizza,Personal,Cauliflower,true,3.88,9.34,1355,true,SUP0581
PRD0217,"Pepperoni (Family, Cauliflower)",pizza,Family,Cauliflower,false,4.09,12.62,410,true,SUP0605
PRD0218,"Sicilian (Large, Pan)",pizza,Large,Pan,false,7.17,24.11,129,true,SUP0948
PRD0219,"Margherita (Personal, Cauliflower)",pizza,Personal,Cauliflower,true,3.46,9.94,839,true,SUP0040
PRD0220,"Veggie Supreme (Personal, Pan)",pizza,Personal,Pan,true,9.45,21.05,498,true,SUP0097
PRD0221,"Spinach Feta (Medium, Pan)",pizza,Medium,Pan,false,4.09,9.31,1070,true,SUP0791
PRD0222,"Buffalo Chicken (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,6.84,21.89,797,true,SUP0817
PRD0223,"Hawaiian (Personal, Hand-Tossed)",pizza,Personal,Hand-Tossed,false,4.17,10.95,179,true,SUP0890
PRD0224,"Meat Lovers (Family, Pan)",pizza,Family,Pan,false,3.79,10.44,661,true,SUP0445
PRD0225,"White Garlic (Medium, Pan)",pizza,Medium,Pan,false,3.28,7.41,864,true,SUP0542
PRD0226,"Four Cheese (Large, Pan)",pizza,Large,Pan,false,4.55,15.21,651,true,SUP0442
PRD0227,"Pepperoni (Personal, Stuffed)",pizza,Personal,Stuffed,false,4.13,9.54,1096,true,SUP0946
PRD0228,"Spinach Feta (Large, Pan)",pizza,Large,Pan,false,4.69,14.16,1049,true,SUP0946
PRD0229,"Pesto Chicken (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,3.81,12.23,971,true,SUP0254
PRD0230,"Sausage & Peppers (Large, Cauliflower)",pizza,Large,Cauliflower,false,3.17,10.18,297,true,SUP0851
PRD0231,"Supreme (Large, Cauliflower)",pizza,Large,Cauliflower,false,7.53,23.47,461,true,SUP0264
PRD0232,"Hawaiian (Medium, Cauliflower)",pizza,Medium,Cauliflower,false,2.70,6.78,362,true,SUP0803
PRD0233,"Sausage & Peppers (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,2.60,7.66,241,true,SUP0240
PRD0234,"BBQ Chicken (Family, Hand-Tossed)",pizza,Family,Hand-Tossed,false,2.64,8.49,1386,true,SUP0973
PRD0235,"BBQ Chicken (Family, Cauliflower)",pizza,Family,Cauliflower,false,9.09,23.38,186,true,SUP0739
