sale_id,order_id,store_id,customer_id,sale_ts,sale_channel,gross_amount,discount_amount,tax_amount,net_amount,items_count,is_member_sale,business_date
SAL0113,ORD0113,STR0994,CUS0162,2026-02-18 17:47:26,delivery_partner,35.26,0.00,2.91,42.16,4,true,2026-02-18
SAL0114,ORD0114,STR0580,CUS0012,2025-08-14 04:56:58,in_store,66.50,0.00,5.49,71.99,4,true,2025-08-14
SAL0115,ORD0115,STR0195,CUS0902,2024-09-02 19:33:57,web,90.93,9.09,7.50,93.33,2,true,2024-09-02
SAL0116,ORD0116,STR0816,CUS0344,2024-03-08 13:47:52,delivery_partner,9.30,1.39,0.77,8.67,2,true,2024-03-08
SAL0117,ORD0117,STR0767,CUS0754,2026-01-20 02:04:12,in_store,14.82,0.00,1.22,16.04,4,true,2026-01-20
SAL0118,ORD0118,STR0852,CUS0026,2024-08-04 05:19:41,delivery_partner,62.40,9.36,5.15,62.18,2,true,2024-08-04
SAL0119,ORD0119,STR0841,CUS0894,2024-05-31 14:02:47,phone,59.55,0.00,4.91,64.46,2,true,2024-05-31
SAL0120,ORD0120,STR0151,CUS0157,2024-11-02 08:45:07,phone,29.10,4.36,2.40,27.14,4,true,2024-11-02
SAL0121,ORD0121,STR0591,CUS0230,2026-04-20 15:48:44,web,13.88,0.00,1.15,19.02,4,true,2026-04-20
SAL0122,ORD0122,STR0782,CUS0510,2025-12-30 19:46:40,phone,55.07,8.26,4.54,51.36,4,true,2025-12-30
SAL0123,ORD0123,STR0565,CUS0450,2025-12-28 00:04:42,mobile_app,89.97,0.00,7.42,101.38,4,true,2025-12-28
SAL0124,ORD0124,STR0732,CUS0565,2025-03-31 13:40:43,phone,59.60,2.98,4.92,61.54,2,true,2025-03-31
SAL0125,ORD0125,STR0312,CUS0107,2025-02-01 14:23:04,web,77.27,3.86,6.38,79.78,3,true,2025-02-01
SAL0126,ORD0126,STR0413,CUS0920,2024-08-29 11:11:56,in_store,41.24,0.00,3.40,44.65,4,true,2024-08-29
SAL0127,ORD0127,STR0865,CUS0997,2026-05-15 17:48:32,web,78.43,0.00,6.47,88.89,1,true,2026-05-15
SAL0128,ORD0128,STR0145,CUS0450,2024-03-19 13:30:16,delivery_partner,52.71,0.00,4.35,57.06,4,true,2024-03-19
SAL0129,ORD0129,STR0244,CUS0279,2024-12-05 16:26:35,in_store,94.97,0.00,7.84,102.81,3,true,2024-12-05
SAL0130,ORD0130,STR0773,CUS0119,2024-04-27 13:26:22,mobile_app,59.41,0.00,4.90,64.31,3,true,2024-04-27
SAL0131,ORD0131,STR0466,CUS0002,2025-03-10 14:55:15,web,12.59,0.00,1.04,13.63,4,true,2025-03-10
SAL0132,ORD0132,STR0846,CUS0100,2026-07-06 19:02:28,delivery_partner,56.59,0.00,4.67,65.24,2,true,2026-07-06
SAL0133,ORD0133,STR1000,CUS0288,2025-02-13 23:31:13,in_store,77.27,3.86,6.37,79.78,1,true,2025-02-13
SAL0134,ORD0134,STR0219,CUS0607,2025-09-26 20:55:46,phone,31.75,0.00,2.62,34.37,3,true,2025-09-26
SAL0135,ORD0135,STR0339,CUS0786,2024-06-27 10:49:02,mobile_app,28.24,0.00,2.33,30.57,4,true,2024-06-27
SAL0136,ORD0136,STR0754,CUS0922,2025-05-12 15:30:10,web,14.65,0.73,1.21,15.13,3,true,2025-05-12
SAL0137,ORD0137,STR0874,CUS0425,2025-06-04 02:53:02,web,18.63,0.00,1.54,20.17,1,true,2025-06-04
SAL0138,ORD0138,STR0359,CUS0540,2024-05-10 07:26:45,mobile_app,28.38,0.00,2.34,34.71,2,true,2024-05-10
SAL0139,ORD0139,STR0807,CUS0290,2025-03-08 06:02:55,mobile_app,43.72,2.19,3.61,49.13,4,true,2025-03-08
SAL0140,ORD0140,STR0933,CUS0702,2024-04-01 12:30:55,in_store,75.52,0.00,6.23,81.75,4,true,2024-04-01
SAL0141,ORD0141,STR0963,CUS0104,2025-06-10 01:44:05,web,67.61,6.76,5.58,70.41,4,true,2025-06-10
SAL0142,ORD0142,STR0124,CUS0938,2024-03-23 22:41:24,web,41.41,6.21,3.42,38.61,1,true,2024-03-23
SAL0143,ORD0143,STR0805,CUS0650,2026-07-09 01:07:43,delivery_partner,22.18,0.00,1.83,28.00,1,true,2026-07-09
SAL0144,ORD0144,STR0117,CUS0551,2024-08-06 17:15:35,phone,37.28,0.00,3.08,40.36,1,true,2024-08-06
SAL0145,ORD0145,STR0837,CUS0508,2025-08-17 14:22:41,in_store,20.43,0.00,1.69,22.11,4,true,2025-08-17
SAL0146,ORD0146,STR0475,CUS0185,2026-04-01 14:29:18,delivery_partner,56.37,5.64,4.65,59.38,4,true,2026-04-01
SAL0147,ORD0147,STR0982,CUS0471,2024-05-19 13:55:40,in_store,82.28,0.00,6.79,89.07,1,true,2024-05-19
SAL0148,ORD0148,STR0511,CUS0315,2025-11-20 11:34:31,in_store,38.28,0.00,3.16,41.44,1,true,2025-11-20
SAL0149,ORD0149,STR0760,CUS0782,2025-02-01 06:16:39,phone,94.25,14.14,7.78,87.89,4,true,2025-02-01
SAL0150,ORD0150,STR0169,CUS0530,2024-05-26 22:11:58,in_store,69.27,10.39,5.72,64.60,2,true,2024-05-26
SAL0151,ORD0151,STR0645,CUS0319,2024-05-23 19:19:22,web,72.20,0.00,5.96,78.16,4,true,2024-05-23
SAL0152,ORD0152,STR0546,CUS0476,2026-07-03 20:21:36,phone,77.29,7.73,6.38,75.93,1,true,2026-07-03
SAL0153,ORD0153,STR0955,CUS0594,2024-01-25 17:20:12,in_store,88.89,8.89,7.33,87.34,3,true,2024-01-25
SAL0154,ORD0154,STR0748,CUS0738,2024-12-17 12:48:24,web,39.29,0.00,3.24,42.54,2,true,2024-12-17
SAL0155,ORD0155,STR0089,CUS0683,2024-11-04 01:59:52,in_store,26.66,1.33,2.20,27.53,2,true,2024-11-04
SAL0156,ORD0156,STR0073,CUS0400,2026-01-10 20:58:31,mobile_app,69.15,10.37,5.70,64.48,3,true,2026-01-10
SAL0157,ORD0157,STR0275,CUS0752,2025-10-05 02:11:29,delivery_partner,66.67,10.00,5.50,62.17,4,true,2025-10-05
SAL0158,ORD0158,STR0501,CUS0535,2024-07-15 19:27:18,web,74.85,0.00,6.17,85.01,3,true,2024-07-15
SAL0159,ORD0159,STR0588,CUS0399,2025-09-03 03:24:17,phone,27.69,0.00,2.28,29.97,3,true,2025-09-03
SAL0160,ORD0160,STR0379,CUS0335,2025-11-14 17:53:58,web,51.37,0.00,4.24,59.59,3,true,2025-11-14
SAL0161,ORD0161,STR0420,CUS0585,2024-10-31 20:31:35,mobile_app,21.29,2.13,1.76,24.90,4,true,2024-10-31
SAL0162,ORD0162,STR0677,CUS0974,2025-02-27 15:44:26,web,90.84,13.63,7.49,88.69,2,true,2025-02-27
SAL0163,ORD0163,STR0640,CUS0916,2024-02-14 17:26:48,mobile_app,12.86,0.64,1.06,17.27,3,true,2024-02-14
SAL0164,ORD0164,STR0838,CUS0249,2025-11-11 13:09:04,in_store,68.69,0.00,5.67,74.35,4,true,2025-11-11
SAL0165,ORD0165,STR0863,CUS0221,2025-06-21 13:16:50,web,71.22,10.68,5.88,70.40,1,true,2025-06-21
SAL0166,ORD0166,STR0798,CUS0041,2025-07-23 04:24:00,mobile_app,15.69,0.00,1.29,20.97,4,true,2025-07-23
SAL0167,ORD0167,STR0985,CUS0398,2025-06-22 12:58:47,web,16.77,0.84,1.38,21.31,1,true,2025-06-22
SAL0168,ORD0168,STR0344,CUS0098,2025-12-13 09:51:29,in_store,92.49,0.00,7.63,100.12,1,true,2025-12-13
SAL0169,ORD0169,STR0108,CUS0019,2026-03-22 17:06:07,in_store,68.26,10.24,5.63,63.65,2,true,2026-03-22
SAL0170,ORD0170,STR0377,CUS0784,2026-06-04 07:08:56,mobile_app,62.91,3.15,5.19,68.94,1,true,2026-06-04
SAL0171,ORD0171,STR0348,CUS0893,2024-08-01 12:58:19,mobile_app,44.63,6.69,3.68,41.62,4,true,2024-08-01
SAL0172,ORD0172,STR0893,CUS0356,2026-03-08 15:53:36,web,54.59,2.73,4.50,60.35,2,true,2026-03-08
SAL0173,ORD0173,STR0779,CUS0689,2026-03-13 17:40:27,phone,73.41,0.00,6.06,79.47,1,true,2026-03-13
SAL0174,ORD0174,STR0607,CUS0165,2026-07-25 22:21:06,mobile_app,55.00,0.00,4.54,59.53,1,true,2026-07-25
SAL0175,ORD0175,STR0730,CUS0067,2025-01-08 20:19:27,delivery_partner,55.34,0.00,4.57,63.90,2,true,2025-01-08
SAL0176,ORD0176,STR0049,CUS0008,2025-01-19 11:11:26,mobile_app,37.99,5.70,3.13,35.42,4,true,2025-01-19
SAL0177,ORD0177,STR0853,CUS0678,2024-01-26 00:39:18,web,11.69,0.00,0.96,12.65,2,true,2024-01-26
SAL0178,ORD0178,STR0361,CUS0855,2025-11-30 13:06:01,mobile_app,11.24,1.12,0.93,15.04,4,true,2025-11-30
SAL0179,ORD0179,STR0058,CUS0626,2024-08-10 12:11:09,mobile_app,71.98,0.00,5.94,81.91,2,true,2024-08-10
SAL0180,ORD0180,STR0880,CUS0620,2024-04-15 23:13:45,delivery_partner,74.35,7.44,6.13,77.04,1,true,2024-04-15
SAL0181,ORD0181,STR0431,CUS0535,2025-02-18 16:07:21,delivery_partner,24.33,2.43,2.01,23.90,2,true,2025-02-18
SAL0182,ORD0182,STR0718,CUS0423,2024-10-28 11:17:33,mobile_app,66.44,0.00,5.48,75.92,2,true,2024-10-28
SAL0183,ORD0183,STR0190,CUS0326,2026-07-17 20:51:21,delivery_partner,69.47,0.00,5.73,79.20,3,true,2026-07-17
SAL0184,ORD0184,STR0367,CUS0102,2025-02-26 23:15:28,delivery_partner,63.03,6.30,5.20,65.92,1,true,2025-02-26
SAL0185,ORD0185,STR0652,CUS0688,2025-02-15 15:47:14,phone,30.43,0.00,2.51,32.94,2,true,2025-02-15
SAL0186,ORD0186,STR0484,CUS0843,2024-02-25 09:33:25,in_store,76.96,3.85,6.35,79.46,4,true,2024-02-25
SAL0187,ORD0187,STR0441,CUS0330,2024-09-10 14:27:29,web,81.31,8.13,6.71,83.87,4,true,2024-09-10
SAL0188,ORD0188,STR0550,CUS0739,2026-04-08 02:27:51,mobile_app,46.45,6.97,3.83,47.30,2,true,2026-04-08
SAL0189,ORD0189,STR0909,CUS0232,2026-06-10 23:32:41,delivery_partner,25.48,1.27,2.10,30.30,1,true,2026-06-10
SAL0190,ORD0190,STR0083,CUS0733,2025-04-09 12:17:29,in_store,16.81,0.00,1.39,18.19,1,true,2025-04-09
SAL0191,ORD0191,STR0809,CUS0673,2026-04-16 00:40:12,web,26.43,3.96,2.18,28.63,3,true,2026-04-16
SAL0192,ORD0192,STR0952,CUS0783,2024-04-27 02:11:48,in_store,33.49,0.00,2.76,36.25,3,true,2024-04-27
SAL0193,ORD0193,STR0704,CUS0448,2024-10-31 20:08:04,web,81.14,0.00,6.69,91.82,1,true,2024-10-31
SAL0194,ORD0194,STR0494,CUS0167,2024-12-19 07:55:26,in_store,51.63,5.16,4.26,50.73,4,true,2024-12-19
SAL0195,ORD0195,STR0796,CUS0327,2025-04-06 06:22:57,mobile_app,65.01,0.00,5.36,70.37,4,true,2025-04-06
SAL0196,ORD0196,STR1000,CUS0065,2024-03-06 13:41:28,delivery_partner,36.00,1.80,2.97,41.16,2,true,2024-03-06
SAL0197,ORD0197,STR0472,CUS0499,2024-10-19 16:14:21,mobile_app,57.27,5.73,4.72,56.26,2,true,2024-10-19
SAL0198,ORD0198,STR0585,CUS0739,2026-02-17 13:07:17,web,42.52,2.13,3.51,47.89,1,true,2026-02-17
SAL0199,ORD0199,STR0121,CUS0382,2024-05-24 07:05:55,in_store,26.74,0.00,2.21,28.94,1,true,2024-05-24
SAL0200,ORD0200,STR0495,CUS0327,2025-09-10 08:22:57,in_store,12.94,1.94,1.07,12.06,3,true,2025-09-10
SAL0201,ORD0201,STR0540,CUS0146,2024-02-10 11:26:01,mobile_app,73.96,11.09,6.10,72.95,1,true,2024-02-10
SAL0202,ORD0202,STR0824,CUS0025,2024-03-26 11:23:31,web,33.91,1.70,2.80,35.01,4,true,2024-03-26
SAL0203,ORD0203,STR0043,CUS0244,2025-08-04 21:35:55,mobile_app,85.95,4.30,7.09,92.73,1,true,2025-08-04
SAL0204,ORD0204,STR0117,CUS0168,2025-12-01 22:33:40,delivery_partner,57.44,5.74,4.74,60.42,1,true,2025-12-01
SAL0205,ORD0205,STR0329,CUS0023,2024-10-28 12:31:41,in_store,18.22,0.00,1.50,19.73,4,true,2024-10-28
