promotion_id,promo_code,promo_name,discount_type,discount_value,min_order_amount,start_date,end_date,channel,is_active
PRO0033,SLICE0033,Free Delivery Weekend 33,fixed,6.07,23.28,2025-01-02,2025-03-19,phone,true
PRO0034,SLICE0034,Student Night 34,bogo,9.19,27.43,2025-07-18,2025-10-02,mobile_app,true
PRO0035,SLICE0035,Two for Tuesday 35,fixed,13.08,34.08,2025-06-21,2025-07-16,phone,true
PRO0036,SLICE0036,Student Night 36,percent,15.69,34.28,2024-04-17,2024-06-26,all,true
PRO0037,SLICE0037,App Exclusive 37,bogo,16.99,32.22,2024-10-14,2024-11-21,phone,true
PRO0038,SLICE0038,Lunch Special 38,fixed,22.73,14.96,2025-01-23,2025-03-28,in_store,true
PRO0039,SLICE0039,Free Delivery Weekend 39,free_delivery,12.98,24.57,2025-11-25,2025-12-06,delivery_partner,true
PRO0040,SLICE0040,Member Double Points 40,bogo,22.79,23.51,2024-07-03,2024-09-04,in_store,true
PRO0041,SLICE0041,App Exclusive 41,percent,17.13,31.60,2024-08-05,2024-09-14,mobile_app,true
PRO0042,SLICE0042,Free Delivery Weekend 42,fixed,4.40,10.57,2025-01-31,2025-03-23,web,true
PRO0043,SLICE0043,Two for Tuesday 43,bogo,18.55,35.40,2024-05-13,2024-05-31,all,false
PRO0044,SLICE0044,Member Double Points 44,free_delivery,17.24,15.68,2024-07-05,2024-09-25,web,true
PRO0045,SLICE0045,Free Delivery Weekend 45,bogo,20.55,38.74,2025-10-17,2026-01-14,mobile_app,true
PRO0046,SLICE0046,Family Feast 46,percent,3.83,19.93,2025-11-20,2026-01-30,in_store,true
PRO0047,SLICE0047,Lunch Special 47,fixed,3.21,28.93,2024-01-07,2024-04-05,phone,false
PRO0048,SLICE0048,Free Delivery Weekend 48,percent,14.67,22.32,2025-12-19,2026-01-14,web,true
PRO0049,SLICE0049,Two for Tuesday 49,percent,14.18,34.38,2024-06-07,2024-07-22,all,false
PRO0050,SLICE0050,Free Delivery Weekend 50,free_delivery,19.81,10.36,2026-01-21,2026-04-17,delivery_partner,false
PRO0051,SLICE0051,App Exclusive 51,fixed,12.58,15.66,2024-11-23,2024-12-06,in_store,true
PRO0052,SLICE0052,Member Double Points 52,bogo,21.42,22.55,2024-12-12,2025-01-11,all,false
PRO0053,SLICE0053,Family Feast 53,percent,18.71,16.79,2024-12-20,2024-12-27,mobile_app,true
PRO0054,SLICE0054,Two for Tuesday 54,bogo,7.26,10.25,2025-06-02,2025-08-24,delivery_partner,true
PRO0055,SLICE0055,Free Delivery Weekend 55,fixed,3.31,31.10,2025-01-08,2025-02-07,all,true
PRO0056,SLICE0056,Lunch Special 56,fixed,14.88,16.81,2025-03-23,2025-05-05,all,true
PRO0057,SLICE0057,Two for Tuesday 57,bogo,7.53,12.23,2025-05-07,2025-07-09,phone,false
PRO0058,SLICE0058,Lunch Special 58,percent,16.82,21.83,2024-10-31,2025-01-26,all,true
PRO0059,SLICE0059,Student Night 59,bogo,16.13,38.21,2025-04-01,2025-04-20,all,true
PRO0060,SLICE0060,Family Feast 60,free_delivery,20.18,36.18,2026-01-01,2026-03-03,mobile_app,true
PRO0061,SLICE0061,Family Feast 61,fixed,9.27,21.27,2026-02-02,2026-04-06,in_store,false
PRO0062,SLICE0062,Member Double Points 62,bogo,17.11,21.48,2024-02-24,2024-03-21,in_store,true
PRO0063,SLICE0063,App Exclusive 63,fixed,5.43,18.94,2024-12-21,2025-02-24,in_store,true
PRO0064,SLICE0064,Free Delivery Weekend 64,percent,20.35,35.21,2024-07-11,2024-10-06,phone,true
PRO0065,SLICE0065,Family Feast 65,bogo,16.43,15.61,2024-03-02,2024-03-16,delivery_partner,true
PRO0066,SLICE0066,Two for Tuesday 66,free_delivery,8.57,23.79,2024-02-06,2024-04-26,mobile_app,true
PRO0067,SLICE0067,Lunch Special 67,percent,11.94,10.27,2024-05-28,2024-07-26,mobile_app,true
PRO0068,SLICE0068,Student Night 68,percent,13.28,39.39,2024-11-07,2024-11-15,all,true
PRO0069,SLICE0069,Lunch Special 69,free_delivery,13.06,38.58,2025-02-12,2025-03-07,mobile_app,true
PRO0070,SLICE0070,Lunch Special 70,free_delivery,2.97,35.69,2024-09-04,2024-09-23,phone,true
PRO0071,SLICE0071,Student Night 71,free_delivery,9.73,14.86,2025-09-02,2025-09-27,delivery_partner,true
PRO0072,SLICE0072,Two for Tuesday 72,bogo,17.18,31.71,2025-07-19,2025-09-23,mobile_app,false
PRO0073,SLICE0073,Lunch Special 73,percent,4.79,34.40,2025-11-21,2026-01-29,in_store,true
PRO0074,SLICE0074,Family Feast 74,free_delivery,2.67,22.78,2025-08-31,2025-11-07,in_store,true
PRO0075,SLICE0075,Student Night 75,bogo,2.74,13.71,2025-02-20,2025-04-21,in_store,false
PRO0076,SLICE0076,Free Delivery Weekend 76,percent,4.63,29.83,2025-11-08,2025-12-13,mobile_app,true
PRO0077,SLICE0077,Lunch Special 77,fixed,13.45,36.95,2026-02-27,2026-03-27,delivery_partner,true
PRO0078,SLICE0078,Two for Tuesday 78,percent,6.10,18.92,2025-06-06,2025-07-02,all,true
PRO0079,SLICE0079,App Exclusive 79,free_delivery,22.80,26.15,2025-08-01,2025-10-01,mobile_app,true
PRO0080,SLICE0080,Member Double Points 80,free_delivery,9.98,23.31,2024-03-10,2024-05-05,mobile_app,true
PRO0081,SLICE0081,Student Night 81,fixed,12.54,28.62,2024-09-05,2024-11-27,in_store,false
PRO0082,SLICE0082,Lunch Special 82,free_delivery,17.18,34.56,2025-07-11,2025-08-30,phone,false
PRO0083,SLICE0083,Lunch Special 83,fixed,20.82,32.85,2025-10-02,2025-10-13,in_store,false
PRO0084,SLICE0084,Two for Tuesday 84,bogo,2.82,38.72,2025-05-16,2025-07-31,all,true
PRO0085,SLICE0085,Free Delivery Weekend 85,fixed,22.06,11.57,2025-07-23,2025-08-19,all,true
PRO0086,SLICE0086,Free Delivery Weekend 86,percent,6.68,11.17,2024-10-30,2024-11-30,mobile_app,false
PRO0087,SLICE0087,App Exclusive 87,free_delivery,11.47,39.95,2025-01-13,2025-02-20,delivery_partner,true
PRO0088,SLICE0088,Member Double Points 88,percent,14.70,13.91,2024-01-19,2024-03-08,delivery_partner,true
PRO0089,SLICE0089,Free Delivery Weekend 89,fixed,12.73,21.07,2024-10-07,2024-11-21,mobile_app,true
PRO0090,SLICE0090,App Exclusive 90,percent,2.99,27.73,2024-06-23,2024-08-01,all,true
PRO0091,SLICE0091,Member Double Points 91,bogo,12.62,28.48,2024-12-29,2025-02-23,phone,false
PRO0092,SLICE0092,Free Delivery Weekend 92,percent,15.42,19.58,2024-05-02,2024-07-07,in_store,true
PRO0093,SLICE0093,Two for Tuesday 93,free_delivery,8.52,25.85,2025-04-11,2025-05-02,mobile_app,false
PRO0094,SLICE0094,App Exclusive 94,free_delivery,2.64,19.81,2025-11-27,2026-01-09,phone,true
PRO0095,SLICE0095,App Exclusive 95,bogo,8.91,34.09,2024-04-15,2024-06-30,web,true
PRO0096,SLICE0096,Lunch Special 96,free_delivery,4.20,18.16,2024-10-31,2025-01-02,web,true
PRO0097,SLICE0097,Student Night 97,free_delivery,16.12,27.48,2025-09-26,2025-10-20,all,false
PRO0098,SLICE0098,Member Double Points 98,fixed,24.90,28.36,2024-10-16,2024-11-17,mobile_app,true
PRO0099,SLICE0099,Family Feast 99,free_delivery,13.81,39.14,2024-07-03,2024-08-20,in_store,true
PRO0100,SLICE0100,Two for Tuesday 100,percent,10.65,20.10,2024-01-27,2024-03-25,web,false
PRO0101,SLICE0101,Two for Tuesday 101,fixed,8.78,21.10,2024-12-20,2025-01-09,delivery_partner,true
PRO0102,SLICE0102,Free Delivery Weekend 102,percent,10.98,29.63,2025-11-20,2026-01-11,mobile_app,true
PRO0103,SLICE0103,App Exclusive 103,free_delivery,16.80,15.57,2026-02-18,2026-03-10,phone,true
PRO0104,SLICE0104,Two for Tuesday 104,bogo,18.60,35.70,2024-01-19,2024-04-04,in_store,true
PRO0105,SLICE0105,App Exclusive 105,fixed,18.30,28.08,2026-01-20,2026-02-25,mobile_app,true
PRO0106,SLICE0106,Student Night 106,fixed,11.13,31.06,2026-03-08,2026-03-29,in_store,true
PRO0107,SLICE0107,Free Delivery Weekend 107,free_delivery,16.90,23.59,2025-09-27,2025-10-12,delivery_partner,false
PRO0108,SLICE0108,Lunch Special 108,percent,17.51,32.79,2025-01-27,2025-02-17,mobile_app,true
PRO0109,SLICE0109,Member Double Points 109,percent,1.75,34.76,2025-03-05,2025-04-04,in_store,true
PRO0110,SLICE0110,App Exclusive 110,percent,1.49,16.23,2024-12-04,2025-02-14,mobile_app,true
PRO0111,SLICE0111,Two for Tuesday 111,fixed,1.24,29.81,2025-05-11,2025-07-01,web,true
PRO0112,SLICE0112,Two for Tuesday 112,percent,18.99,23.53,2025-01-08,2025-03-23,delivery_partner,false
PRO0113,SLICE0113,Free Delivery Weekend 113,bogo,23.33,27.68,2024-02-28,2024-04-08,phone,false
PRO0114,SLICE0114,Family Feast 114,bogo,22.11,16.06,2024-12-29,2025-01-30,web,true
PRO0115,SLICE0115,Student Night 115,fixed,5.18,33.49,2025-12-03,2026-01-01,all,true
PRO0116,SLICE0116,Lunch Special 116,bogo,13.37,29.09,2024-01-08,2024-02-09,phone,true
PRO0117,SLICE0117,App Exclusive 117,percent,6.73,14.19,2024-08-11,2024-10-19,mobile_app,true
PRO0118,SLICE0118,Family Feast 118,free_delivery,23.75,17.91,2024-01-16,2024-03-26,all,true
PRO0119,SLICE0119,Member Double Points 119,percent,3.90,10.92,2024-01-13,2024-03-16,all,true
PRO0120,SLICE0120,Student Night 120,free_delivery,11.06,21.43,2024-01-14,2024-03-28,web,true
PRO0121,SLICE0121,Family Feast 121,fixed,18.50,20.52,2024-07-21,2024-09-24,delivery_partner,false
PRO0122,SLICE0122,Two for Tuesday 122,percent,17.29,25.22,2025-04-11,2025-04-23,phone,false
PRO0123,SLICE0123,Student Night 123,percent,5.91,16.38,2025-02-12,2025-04-01,in_store,true
PRO0124,SLICE0124,Two for Tuesday 124,fixed,6.84,31.65,2024-11-16,2025-01-09,in_store,true
PRO0125,SLICE0125,App Exclusive 125,fixed,20.19,31.81,2024-04-25,2024-07-02,delivery_partner,true
PRO0126,SLICE0126,Student Night 126,bogo,17.33,23.53,2024-10-21,2024-11-27,mobile_app,true
PRO0127,SLICE0127,Family Feast 127,fixed,1.31,18.02,2024-06-21,2024-09-19,phone,true
PRO0128,SLICE0128,Lunch Special 128,free_delivery,21.05,15.60,2024-01-04,2024-01-27,mobile_app,true
PRO0129,SLICE0129,Lunch Special 129,free_delivery,4.24,25.53,2025-09-15,2025-09-25,phone,false
PRO0130,SLICE0130,Free Delivery Weekend 130,percent,1.39,31.48,2024-11-05,2024-12-24,in_store,true
PRO0131,SLICE0131,Two for Tuesday 131,fixed,14.65,28.16,2024-03-12,2024-04-21,in_store,true
PRO0132,SLICE0132,App Exclusive 132,bogo,11.03,35.62,2025-08-12,2025-10-29,delivery_partner,true
PRO0133,SLICE0133,App Exclusive 133,bogo,22.54,20.65,2025-10-08,2025-12-21,all,false
PRO0134,SLICE0134,Two for Tuesday 134,fixed,22.03,11.13,2025-03-28,2025-04-24,delivery_partner,false
PRO0135,SLICE0135,Family Feast 135,bogo,5.17,15.00,2025-07-28,2025-08-31,delivery_partner,false
PRO0136,SLICE0136,Lunch Special 136,fixed,3.24,17.29,2024-07-27,2024-09-01,in_store,true
PRO0137,SLICE0137,Two for Tuesday 137,bogo,18.57,14.97,2025-10-24,2025-12-12,mobile_app,false
PRO0138,SLICE0138,Student Night 138,fixed,15.31,30.48,2024-01-30,2024-04-20,web,true
PRO0139,SLICE0139,Free Delivery Weekend 139,fixed,1.63,10.72,2025-05-17,2025-07-20,web,false
PRO0140,SLICE0140,Student Night 140,fixed,8.81,21.79,2024-01-21,2024-02-24,in_store,true
PRO0141,SLICE0141,Two for Tuesday 141,free_delivery,17.95,16.68,2025-03-18,2025-06-14,in_store,false
PRO0142,SLICE0142,App Exclusive 142,bogo,8.24,24.80,2025-06-23,2025-07-31,in_store,true
PRO0143,SLICE0143,Member Double Points 143,free_delivery,4.17,24.64,2024-12-26,2025-02-01,in_store,false
PRO0144,SLICE0144,App Exclusive 144,free_delivery,19.35,37.91,2025-08-23,2025-11-19,phone,true
PRO0145,SLICE0145,Free Delivery Weekend 145,fixed,15.57,37.12,2025-04-13,2025-06-21,web,true
PRO0146,SLICE0146,Lunch Special 146,percent,7.58,36.19,2024-03-31,2024-05-06,mobile_app,true
PRO0147,SLICE0147,Member Double Points 147,bogo,2.50,19.28,2025-02-06,2025-02-21,web,false
PRO0148,SLICE0148,Member Double Points 148,free_delivery,17.77,19.26,2024-08-28,2024-11-21,web,false
PRO0149,SLICE0149,Lunch Special 149,free_delivery,3.48,37.82,2026-03-10,2026-04-18,phone,true
PRO0150,SLICE0150,Two for Tuesday 150,bogo,10.88,16.65,2024-10-15,2024-10-23,phone,true
PRO0151,SLICE0151,Family Feast 151,fixed,2.66,32.78,2026-03-07,2026-03-20,web,true
PRO0152,SLICE0152,Family Feast 152,bogo,18.02,35.83,2025-02-17,2025-04-12,web,true
PRO0153,SLICE0153,Family Feast 153,free_delivery,20.86,15.65,2025-02-19,2025-03-15,in_store,true
PRO0154,SLICE0154,Lunch Special 154,bogo,18.46,31.79,2024-01-16,2024-04-02,delivery_partner,true
PRO0155,SLICE0155,Lunch Special 155,fixed,17.02,20.88,2024-10-13,2024-11-22,in_store,false
PRO0156,SLICE0156,App Exclusive 156,percent,22.73,26.55,2024-03-11,2024-04-16,web,true
PRO0157,SLICE0157,Free Delivery Weekend 157,free_delivery,21.65,14.28,2024-07-27,2024-09-08,mobile_app,true
PRO0158,SLICE0158,Family Feast 158,bogo,10.88,20.95,2025-03-15,2025-05-23,all,true
PRO0159,SLICE0159,Family Feast 159,bogo,21.42,39.28,2024-08-22,2024-09-14,mobile_app,false
PRO0160,SLICE0160,Member Double Points 160,bogo,11.93,27.85,2025-12-06,2026-01-05,mobile_app,false
PRO0161,SLICE0161,Member Double Points 161,bogo,23.18,37.59,2024-12-27,2025-02-20,in_store,true
PRO0162,SLICE0162,Lunch Special 162,free_delivery,2.35,31.19,2024-11-18,2024-12-31,web,true
PRO0163,SLICE0163,Two for Tuesday 163,free_delivery,18.36,24.68,2025-11-28,2025-12-05,delivery_partner,true
PRO0164,SLICE0164,Lunch Special 164,free_delivery,1.72,29.07,2025-12-01,2026-02-04,all,false
PRO0165,SLICE0165,App Exclusive 165,percent,3.58,22.87,2026-01-13,2026-02-26,delivery_partner,false
PRO0166,SLICE0166,Lunch Special 166,fixed,4.48,20.71,2026-02-21,2026-05-04,mobile_app,true
PRO0167,SLICE0167,Member Double Points 167,percent,2.49,26.27,2025-10-04,2025-10-23,web,true
PRO0168,SLICE0168,Free Delivery Weekend 168,bogo,10.30,38.16,2025-07-08,2025-08-26,web,false
PRO0169,SLICE0169,Lunch Special 169,bogo,24.89,15.24,2024-03-10,2024-04-04,delivery_partner,true
PRO0170,SLICE0170,App Exclusive 170,percent,6.99,26.69,2024-03-01,2024-03-23,mobile_app,true
PRO0171,SLICE0171,Student Night 171,bogo,20.76,30.63,2026-01-29,2026-04-17,mobile_app,true
PRO0172,SLICE0172,Student Night 172,fixed,6.09,36.79,2025-06-13,2025-09-02,mobile_app,true
PRO0173,SLICE0173,Free Delivery Weekend 173,free_delivery,10.89,21.13,2025-03-16,2025-04-29,all,true
PRO0174,SLICE0174,Lunch Special 174,free_delivery,14.37,34.71,2025-02-10,2025-04-25,web,true
PRO0175,SLICE0175,App Exclusive 175,percent,22.42,37.25,2026-01-11,2026-03-25,delivery_partner,true
PRO0176,SLICE0176,Lunch Special 176,bogo,18.18,36.93,2025-12-12,2026-02-24,all,true
PRO0177,SLICE0177,Lunch Special 177,fixed,12.48,26.12,2025-03-19,2025-05-23,web,true
PRO0178,SLICE0178,Free Delivery Weekend 178,free_delivery,19.42,23.29,2024-06-05,2024-07-09,phone,true
PRO0179,SLICE0179,Member Double Points 179,percent,6.62,11.97,2026-02-03,2026-04-29,phone,true
PRO0180,SLICE0180,App Exclusive 180,free_delivery,4.20,30.97,2024-02-18,2024-05-15,phone,true
PRO0181,SLICE0181,Lunch Special 181,percent,12.56,28.87,2025-07-05,2025-09-25,web,true
PRO0182,SLICE0182,Lunch Special 182,bogo,3.14,17.38,2025-02-22,2025-03-19,web,true
PRO0183,SLICE0183,Two for Tuesday 183,fixed,6.76,34.56,2026-01-20,2026-03-04,all,true
PRO0184,SLICE0184,Lunch Special 184,percent,20.48,25.62,2024-10-03,2024-11-22,web,true
PRO0185,SLICE0185,Free Delivery Weekend 185,percent,7.02,19.18,2024-12-16,2025-03-02,phone,true
PRO0186,SLICE0186,Member Double Points 186,free_delivery,23.73,28.12,2024-02-27,2024-05-19,phone,true
PRO0187,SLICE0187,Two for Tuesday 187,percent,5.64,30.80,2024-12-23,2025-01-08,web,true
PRO0188,SLICE0188,Member Double Points 188,fixed,18.23,26.30,2026-02-08,2026-03-23,delivery_partner,false
PRO0189,SLICE0189,Lunch Special 189,bogo,20.96,39.17,2025-06-13,2025-07-07,mobile_app,false
PRO0190,SLICE0190,App Exclusive 190,free_delivery,16.53,29.47,2024-01-12,2024-02-23,delivery_partner,true
PRO0191,SLICE0191,Family Feast 191,fixed,6.56,39.94,2025-02-09,2025-03-01,mobile_app,true
PRO0192,SLICE0192,Two for Tuesday 192,fixed,19.74,13.95,2025-10-20,2025-11-18,phone,false
PRO0193,SLICE0193,App Exclusive 193,free_delivery,15.09,31.43,2024-03-12,2024-04-07,all,true
PRO0194,SLICE0194,Two for Tuesday 194,free_delivery,2.43,20.95,2025-11-22,2026-01-04,web,true
PRO0195,SLICE0195,Two for Tuesday 195,percent,3.27,32.58,2025-02-06,2025-02-28,mobile_app,false
PRO0196,SLICE0196,Member Double Points 196,bogo,22.76,14.69,2024-02-08,2024-02-19,all,true
PRO0197,SLICE0197,Lunch Special 197,percent,9.43,13.51,2024-10-04,2024-12-27,delivery_partner,true
PRO0198,SLICE0198,App Exclusive 198,free_delivery,18.31,20.35,2024-05-05,2024-08-03,mobile_app,true
PRO0199,SLICE0199,Family Feast 199,free_delivery,6.78,26.66,2024-04-02,2024-05-30,web,true
PRO0200,SLICE0200,Free Delivery Weekend 200,bogo,16.53,18.53,2025-01-30,2025-03-19,mobile_app,true
PRO0201,SLICE0201,Student Night 201,free_delivery,23.33,14.80,2024-01-06,2024-02-26,phone,true
PRO0202,SLICE0202,Free Delivery Weekend 202,free_delivery,20.68,28.14,2026-02-13,2026-05-02,all,true
PRO0203,SLICE0203,App Exclusive 203,percent,20.45,12.21,2025-06-25,2025-07-27,all,true
PRO0204,SLICE0204,Student Night 204,bogo,5.59,13.52,2024-12-25,2025-02-01,in_store,false
PRO0205,SLICE0205,Free Delivery Weekend 205,free_delivery,18.89,23.10,2024-05-24,2024-07-06,web,true
PRO0206,SLICE0206,Student Night 206,fixed,22.53,27.14,2025-06-25,2025-09-23,delivery_partner,true
PRO0207,SLICE0207,Student Night 207,free_delivery,15.57,12.68,2024-10-12,2024-11-18,in_store,true
PRO0208,SLICE0208,Student Night 208,free_delivery,15.11,13.47,2024-08-19,2024-09-04,delivery_partner,true
PRO0209,SLICE0209,Lunch Special 209,free_delivery,10.57,11.57,2024-01-02,2024-03-03,web,false
PRO0210,SLICE0210,Member Double Points 210,fixed,19.23,31.06,2024-01-07,2024-02-23,mobile_app,true
PRO0211,SLICE0211,Free Delivery Weekend 211,percent,7.98,10.37,2026-01-02,2026-03-24,all,false
PRO0212,SLICE0212,Two for Tuesday 212,bogo,7.82,26.74,2024-01-23,2024-02-26,web,true
PRO0213,SLICE0213,Two for Tuesday 213,bogo,3.56,19.22,2024-10-14,2024-11-28,web,true
PRO0214,SLICE0214,Student Night 214,fixed,8.58,29.46,2024-09-06,2024-10-14,all,true
PRO0215,SLICE0215,App Exclusive 215,fixed,12.04,17.36,2024-05-28,2024-06-11,mobile_app,true
PRO0216,SLICE0216,App Exclusive 216,percent,7.78,32.81,2025-05-22,2025-08-05,all,false
PRO0217,SLICE0217,Two for Tuesday 217,free_delivery,6.18,10.08,2024-02-24,2024-05-17,all,true
PRO0218,SLICE0218,Family Feast 218,percent,12.08,22.09,2026-02-24,2026-04-04,in_store,true
PRO0219,SLICE0219,App Exclusive 219,free_delivery,3.71,29.80,2025-06-10,2025-09-01,in_store,true
PRO0220,SLICE0220,Student Night 220,fixed,14.35,34.00,2024-09-04,2024-09-18,delivery_partner,false
PRO0221,SLICE0221,Member Double Points 221,percent,3.80,28.09,2024-02-17,2024-05-01,delivery_partner,false
PRO0222,SLICE0222,App Exclusive 222,bogo,22.13,27.22,2025-12-03,2026-02-13,delivery_partner,false
PRO0223,SLICE0223,Lunch Special 223,fixed,17.12,37.51,2025-09-29,2025-11-07,mobile_app,true
PRO0224,SLICE0224,App Exclusive 224,percent,1.34,22.82,2025-10-05,2025-11-09,phone,true
PRO0225,SLICE0225,Student Night 225,fixed,17.40,16.29,2024-06-07,2024-09-02,all,false
PRO0226,SLICE0226,Family Feast 226,fixed,12.00,19.78,2024-09-02,2024-11-11,phone,true
PRO0227,SLICE0227,Family Feast 227,fixed,19.11,19.51,2024-02-08,2024-05-08,in_store,true
PRO0228,SLICE0228,Student Night 228,free_delivery,4.64,22.28,2025-10-06,2025-12-03,web,true
PRO0229,SLICE0229,App Exclusive 229,free_delivery,12.69,31.83,2025-03-27,2025-06-01,delivery_partner,true
PRO0230,SLICE0230,App Exclusive 230,percent,5.55,10.30,2025-05-31,2025-08-26,web,true
PRO0231,SLICE0231,Lunch Special 231,free_delivery,4.15,37.49,2025-05-29,2025-07-25,all,true
PRO0232,SLICE0232,Member Double Points 232,bogo,11.26,26.90,2024-05-13,2024-07-07,web,true
PRO0233,SLICE0233,Student Night 233,fixed,10.62,35.65,2025-05-28,2025-08-24,in_store,true
PRO0234,SLICE0234,Member Double Points 234,free_delivery,23.03,10.25,2024-03-08,2024-04-11,delivery_partner,false
PRO0235,SLICE0235,Family Feast 235,percent,7.18,36.25,2026-01-07,2026-03-24,in_store,false
PRO0236,SLICE0236,Two for Tuesday 236,bogo,24.14,10.19,2024-07-28,2024-09-19,all,true
PRO0237,SLICE0237,Free Delivery Weekend 237,fixed,8.26,26.25,2025-01-14,2025-04-14,delivery_partner,false
PRO0238,SLICE0238,Family Feast 238,bogo,10.54,18.26,2024-07-07,2024-07-22,all,true
PRO0239,SLICE0239,Family Feast 239,fixed,22.20,35.91,2025-06-17,2025-08-20,mobile_app,false
PRO0240,SLICE0240,Member Double Points 240,fixed,5.49,20.77,2026-03-03,2026-05-22,delivery_partner,true
PRO0241,SLICE0241,App Exclusive 241,bogo,17.71,32.63,2025-12-18,2026-03-17,web,false
PRO0242,SLICE0242,Free Delivery Weekend 242,free_delivery,19.25,27.80,2025-11-21,2026-01-21,in_store,false
PRO0243,SLICE0243,Lunch Special 243,bogo,14.75,27.45,2026-01-03,2026-02-12,all,true
PRO0244,SLICE0244,Free Delivery Weekend 244,percent,2.65,37.92,2025-11-22,2026-02-10,web,true
PRO0245,SLICE0245,Member Double Points 245,percent,17.96,25.27,2025-07-27,2025-09-09,phone,true
PRO0246,SLICE0246,Student Night 246,bogo,22.35,20.86,2024-10-13,2024-11-28,phone,true
PRO0247,SLICE0247,Family Feast 247,bogo,16.13,14.73,2024-07-06,2024-08-01,delivery_partner,true
PRO0248,SLICE0248,Family Feast 248,fixed,15.02,31.34,2025-08-19,2025-11-14,delivery_partner,false
PRO0249,SLICE0249,App Exclusive 249,fixed,13.93,26.58,2024-02-20,2024-04-11,phone,false
PRO0250,SLICE0250,Two for Tuesday 250,free_delivery,6.38,27.90,2024-02-13,2024-02-29,phone,false
PRO0251,SLICE0251,Family Feast 251,free_delivery,1.55,32.91,2025-10-16,2025-11-28,in_store,true
PRO0252,SLICE0252,Lunch Special 252,fixed,7.70,16.28,2025-06-05,2025-06-14,phone,true
PRO0253,SLICE0253,Family Feast 253,bogo,22.12,34.80,2025-09-21,2025-11-23,phone,true
