movement_id,store_id,product_id,supplier_id,movement_type,quantity,unit_cost,reference_id,moved_at,notes
MOV0130,STR0515,PRD0535,,adjustment,33,2.58,DOC0130,2025-03-28 21:44:47,
MOV0131,STR0201,PRD0598,,transfer_in,11,3.72,DOC0131,2025-08-05 23:37:11,promo prep
MOV0132,STR0787,PRD0876,,adjustment,14,3.93,DOC0132,2024-05-21 09:45:30,
MOV0133,STR0309,PRD0705,,transfer_out,-17,3.69,DOC0133,2025-10-21 00:18:39,
MOV0134,STR0525,PRD0478,SUP0499,receipt,33,7.24,DOC0134,2024-09-06 01:09:52,damaged goods
MOV0135,STR0967,PRD0346,,sale,-7,9.21,ORD0981,2026-07-05 03:40:26,promo prep
MOV0136,STR0558,PRD0242,,waste,-11,3.86,DOC0136,2024-07-27 09:15:58,
MOV0137,STR0631,PRD0947,,sale,-8,3.93,ORD0975,2024-04-12 02:26:24,weekly delivery
MOV0138,STR0190,PRD0958,,sale,-6,2.40,ORD0082,2025-07-17 10:24:11,weekly delivery
MOV0139,STR0838,PRD0495,,transfer_out,-29,3.94,DOC0139,2024-01-14 14:18:05,weekly delivery
MOV0140,STR0639,PRD0893,,adjustment,37,3.79,DOC0140,2026-04-08 22:40:42,promo prep
MOV0141,STR0964,PRD0523,,adjustment,15,6.41,DOC0141,2024-05-01 18:01:29,promo prep
MOV0142,STR0179,PRD0956,SUP0932,receipt,25,3.34,DOC0142,2024-02-25 16:28:01,weekly delivery
MOV0143,STR0236,PRD0846,,transfer_out,-22,3.79,DOC0143,2025-04-26 20:04:39,
MOV0144,STR0726,PRD0776,,sale,-33,2.86,ORD0284,2025-06-23 03:50:40,promo prep
MOV0145,STR0952,PRD0079,,sale,-39,5.18,ORD0681,2026-05-25 23:56:36,
MOV0146,STR0470,PRD0549,,adjustment,34,7.82,DOC0146,2026-03-04 06:21:34,weekly delivery
MOV0147,STR0079,PRD0207,SUP0068,receipt,29,4.27,DOC0147,2025-03-30 21:14:06,damaged goods
MOV0148,STR0083,PRD0920,,waste,-34,3.83,DOC0148,2025-12-02 04:29:19,end of day count
MOV0149,STR0288,PRD0854,,sale,-29,1.76,ORD0223,2024-01-08 08:38:18,
MOV0150,STR0171,PRD0599,SUP0255,receipt,7,4.22,DOC0150,2026-04-08 13:20:12,damaged goods
MOV0151,STR0498,PRD0899,SUP0720,receipt,27,3.23,DOC0151,2026-07-19 01:45:37,promo prep
MOV0152,STR0558,PRD0642,,sale,-10,6.08,ORD0769,2026-06-05 22:55:51,
MOV0153,STR0279,PRD0834,SUP0531,receipt,6,0.75,DOC0153,2024-06-28 02:32:03,end of day count
MOV0154,STR0863,PRD0177,,transfer_out,-2,7.44,DOC0154,2024-05-16 17:37:33,end of day count
MOV0155,STR0815,PRD0554,SUP0717,receipt,30,8.94,DOC0155,2025-01-11 02:53:51,
MOV0156,STR0532,PRD0938,SUP0881,receipt,37,1.89,DOC0156,2025-12-21 17:37:49,weekly delivery
MOV0157,STR0662,PRD0641,,adjustment,3,9.44,DOC0157,2025-12-07 13:34:38,end of day count
MOV0158,STR0076,PRD0154,,transfer_out,-36,5.32,DOC0158,2024-01-30 01:40:50,end of day count
MOV0159,STR0929,PRD0430,,waste,-4,8.11,DOC0159,2025-06-03 12:59:50,end of day count
MOV0160,STR0906,PRD0371,,waste,-15,9.46,DOC0160,2025-03-10 14:46:38,
MOV0161,STR0818,PRD0052,,sale,-28,7.86,ORD0700,2026-02-05 08:04:22,
MOV0162,STR0071,PRD0422,,transfer_in,9,8.16,DOC0162,2025-12-11 19:21:05,end of day count
MOV0163,STR0240,PRD0326,,adjustment,40,7.71,DOC0163,2026-05-29 23:41:17,weekly delivery
MOV0164,STR0899,PRD0266,,sale,-6,7.85,ORD0716,2025-10-26 19:29:36,
MOV0165,STR0076,PRD0857,,transfer_out,-27,2.65,DOC0165,2026-07-06 15:39:58,damaged goods
MOV0166,STR0905,PRD0114,,waste,-12,4.11,DOC0166,2024-06-28 19:05:00,damaged goods
MOV0167,STR0591,PRD0379,,sale,-37,2.73,ORD0952,2025-01-10 10:22:43,
MOV0168,STR0026,PRD0958,,waste,-18,2.40,DOC0168,2026-07-31 02:53:40,
MOV0169,STR0927,PRD0161,,transfer_out,-18,2.72,DOC0169,2025-10-03 10:30:19,damaged goods
MOV0170,STR0480,PRD0640,,transfer_in,7,3.60,DOC0170,2025-09-25 15:01:14,end of day count
MOV0171,STR0128,PRD0795,SUP0838,receipt,35,1.06,DOC0171,2025-08-01 10:49:05,end of day count
MOV0172,STR0764,PRD0038,SUP0290,receipt,6,6.18,DOC0172,2024-02-01 22:13:41,damaged goods
MOV0173,STR0062,PRD0161,,transfer_in,15,2.72,DOC0173,2025-11-19 16:16:24,damaged goods
MOV0174,STR0716,PRD0937,,transfer_in,26,1.04,DOC0174,2025-05-14 22:28:58,weekly delivery
MOV0175,STR0922,PRD0685,,transfer_in,8,5.13,DOC0175,2025-06-06 05:42:58,weekly delivery
MOV0176,STR0170,PRD0495,,transfer_out,-3,3.94,DOC0176,2024-10-23 21:51:04,weekly delivery
MOV0177,STR0669,PRD0071,,sale,-35,4.89,ORD0429,2025-05-02 09:38:03,
MOV0178,STR0394,PRD0476,,transfer_in,15,3.75,DOC0178,2026-01-12 01:28:30,
MOV0179,STR0497,PRD0817,,sale,-23,3.38,ORD0857,2026-07-04 21:51:45,promo prep
MOV0180,STR0408,PRD0030,,sale,-23,8.86,ORD0628,2024-12-06 14:10:23,
MOV0181,STR0791,PRD0161,SUP0586,receipt,24,2.72,DOC0181,2024-04-25 17:43:44,promo prep
MOV0182,STR0048,PRD0952,SUP0770,receipt,39,1.94,DOC0182,2026-07-19 00:39:08,damaged goods
MOV0183,STR0179,PRD0111,,transfer_out,-38,8.58,DOC0183,2026-03-30 01:55:47,
MOV0184,STR0835,PRD0745,,waste,-34,2.19,DOC0184,2025-11-03 06:03:50,
MOV0185,STR0701,PRD0224,SUP0445,receipt,7,3.79,DOC0185,2024-01-01 11:44:34,
MOV0186,STR0335,PRD0904,,transfer_out,-2,1.13,DOC0186,2025-12-07 12:21:22,end of day count
MOV0187,STR0705,PRD0889,SUP0377,receipt,4,3.99,DOC0187,2026-07-05 18:59:46,
MOV0188,STR0060,PRD0171,,adjustment,17,9.42,DOC0188,2025-06-14 17:54:25,promo prep
MOV0189,STR0236,PRD0595,,transfer_out,-31,6.99,DOC0189,2025-07-13 12:59:07,damaged goods
MOV0190,STR0941,PRD0935,,transfer_in,15,1.60,DOC0190,2026-03-21 18:29:57,promo prep
MOV0191,STR0330,PRD0310,,sale,-21,4.01,ORD0744,2025-03-04 11:08:24,end of day count
MOV0192,STR0951,PRD0560,SUP0910,receipt,40,3.46,DOC0192,2025-10-10 15:47:41,end of day count
MOV0193,STR0847,PRD0178,,sale,-4,6.24,ORD0010,2024-10-23 05:32:25,end of day count
MOV0194,STR0401,PRD0239,,sale,-30,8.21,ORD0799,2025-06-18 19:37:22,end of day count
MOV0195,STR0771,PRD0955,SUP0240,receipt,34,1.50,DOC0195,2024-04-18 16:55:18,weekly delivery
MOV0196,STR0712,PRD0066,,transfer_out,-1,2.98,DOC0196,2025-12-08 18:17:02,end of day count
MOV0197,STR0897,PRD0900,,transfer_out,-15,4.00,DOC0197,2024-11-29 02:53:11,end of day count
MOV0198,STR0190,PRD0540,,transfer_in,5,3.81,DOC0198,2025-03-27 20:41:56,promo prep
MOV0199,STR0732,PRD0858,,waste,-26,2.34,DOC0199,2025-02-14 20:39:14,weekly delivery
MOV0200,STR0374,PRD0986,,transfer_in,23,1.20,DOC0200,2024-12-11 10:38:24,
MOV0201,STR0912,PRD0064,SUP0280,receipt,9,4.82,DOC0201,2025-09-29 13:48:51,end of day count
MOV0202,STR0573,PRD0978,,transfer_out,-29,3.11,DOC0202,2025-04-26 14:48:47,
MOV0203,STR0327,PRD0486,,transfer_in,5,3.72,DOC0203,2025-03-01 01:48:13,damaged goods
MOV0204,STR0986,PRD0610,SUP0237,receipt,12,9.15,DOC0204,2025-08-02 14:56:48,weekly delivery
MOV0205,STR0635,PRD0135,SUP0847,receipt,26,9.34,DOC0205,2025-06-20 10:07:56,
MOV0206,STR0624,PRD0801,,transfer_in,37,3.93,DOC0206,2025-01-23 21:49:57,weekly delivery
MOV0207,STR0258,PRD0463,SUP0375,receipt,5,7.36,DOC0207,2025-06-02 19:21:24,damaged goods
MOV0208,STR0423,PRD0663,,transfer_in,34,4.34,DOC0208,2025-03-15 06:09:29,damaged goods
MOV0209,STR0176,PRD0836,,transfer_in,11,3.35,DOC0209,2025-07-14 15:47:35,weekly delivery
MOV0210,STR0869,PRD0339,,sale,-34,3.22,ORD0194,2024-08-19 18:57:17,weekly delivery
MOV0211,STR0833,PRD0030,,sale,-13,8.86,ORD0034,2026-03-21 09:00:56,promo prep
MOV0212,STR0927,PRD0598,,adjustment,5,3.72,DOC0212,2024-07-31 03:49:03,
MOV0213,STR0993,PRD0903,,adjustment,38,3.66,DOC0213,2025-03-14 12:40:23,
MOV0214,STR0451,PRD0631,SUP0542,receipt,21,9.02,DOC0214,2024-02-26 15:00:18,
MOV0215,STR0153,PRD0049,,adjustment,16,9.50,DOC0215,2026-06-07 06:11:16,weekly delivery
MOV0216,STR0317,PRD0119,,adjustment,9,8.74,DOC0216,2026-07-04 21:13:31,
MOV0217,STR0898,PRD0064,,transfer_out,-20,4.82,DOC0217,2024-03-04 04:46:41,
MOV0218,STR0847,PRD0453,,transfer_in,17,5.88,DOC0218,2024-05-31 22:49:03,damaged goods
MOV0219,STR0950,PRD0180,,transfer_out,-13,8.60,DOC0219,2024-08-06 13:44:26,weekly delivery
MOV0220,STR0379,PRD0580,SUP0547,receipt,8,8.91,DOC0220,2024-01-10 19:02:37,damaged goods
MOV0221,STR0437,PRD0733,,adjustment,29,0.41,DOC0221,2024-02-18 06:03:19,promo prep
MOV0222,STR0182,PRD0823,,waste,-40,1.37,DOC0222,2024-04-09 14:43:39,
MOV0223,STR0425,PRD0771,,transfer_out,-39,2.80,DOC0223,2024-12-13 03:47:18,weekly delivery
MOV0224,STR0469,PRD0739,,adjustment,36,1.44,DOC0224,2025-12-05 01:07:45,end of day count
MOV0225,STR0147,PRD0425,,transfer_out,-31,7.74,DOC0225,2025-02-28 08:12:34,promo prep
MOV0226,STR0399,PRD0937,,transfer_in,39,1.04,DOC0226,2024-11-20 23:07:39,
MOV0227,STR0913,PRD0712,,transfer_in,10,0.57,DOC0227,2024-07-02 12:33:45,promo prep
MOV0228,STR0498,PRD0918,,transfer_out,-12,1.21,DOC0228,2024-04-24 04:29:56,promo prep
MOV0229,STR0718,PRD0600,,adjustment,9,9.40,DOC0229,2026-01-21 19:54:06,damaged goods
MOV0230,STR0029,PRD0805,,adjustment,4,2.38,DOC0230,2025-09-20 12:14:15,promo prep
MOV0231,STR0667,PRD0526,,waste,-26,7.82,DOC0231,2025-03-27 17:54:32,
MOV0232,STR0512,PRD0546,,sale,-20,8.70,ORD0375,2025-11-17 23:52:47,end of day count
MOV0233,STR0693,PRD0196,,waste,-33,5.50,DOC0233,2025-12-14 08:15:56,
MOV0234,STR0090,PRD0100,SUP0584,receipt,14,7.11,DOC0234,2025-07-22 14:15:41,weekly delivery
MOV0235,STR0627,PRD0746,,sale,-21,0.82,ORD0576,2025-08-17 17:18:41,end of day count
MOV0236,STR0328,PRD0281,,transfer_in,19,9.33,DOC0236,2025-04-30 11:12:08,
MOV0237,STR0211,PRD0123,,sale,-35,8.92,ORD0114,2025-08-03 14:29:55,end of day count
MOV0238,STR0208,PRD0080,,transfer_in,33,3.35,DOC0238,2024-10-15 17:21:36,
MOV0239,STR0242,PRD0900,,adjustment,10,4.00,DOC0239,2024-02-23 13:56:26,promo prep
MOV0240,STR0441,PRD0299,SUP0926,receipt,34,7.94,DOC0240,2025-03-31 07:46:21,end of day count
MOV0241,STR0946,PRD0700,,adjustment,29,7.23,DOC0241,2025-04-07 07:42:50,
MOV0242,STR0137,PRD0482,,waste,-34,6.95,DOC0242,2024-03-12 14:01:29,promo prep
MOV0243,STR0527,PRD0112,,transfer_in,40,5.73,DOC0243,2026-07-29 01:02:48,end of day count
MOV0244,STR0801,PRD0105,,transfer_in,39,4.32,DOC0244,2024-02-04 18:26:16,damaged goods
MOV0245,STR0261,PRD0818,,transfer_out,-6,2.55,DOC0245,2025-05-10 09:22:18,promo prep
MOV0246,STR0502,PRD0164,,transfer_in,7,6.49,DOC0246,2024-04-22 16:44:23,weekly delivery
MOV0247,STR0930,PRD0753,,sale,-32,0.47,ORD0330,2024-01-23 04:38:42,end of day count
MOV0248,STR0751,PRD0650,,sale,-28,4.62,ORD0085,2025-01-06 10:25:08,
MOV0249,STR0312,PRD0037,SUP0067,receipt,26,3.47,DOC0249,2025-01-23 13:27:37,
MOV0250,STR0175,PRD0860,,sale,-25,0.69,ORD0177,2026-02-26 00:03:58,
MOV0251,STR0863,PRD0658,,adjustment,38,3.05,DOC0251,2025-12-10 08:13:39,damaged goods
MOV0252,STR0959,PRD0638,SUP0813,receipt,7,5.14,DOC0252,2024-05-07 19:24:13,
MOV0253,STR0487,PRD0027,,sale,-27,3.92,ORD0397,2024-05-20 05:34:39,damaged goods
MOV0254,STR0415,PRD0722,,transfer_in,8,0.77,DOC0254,2026-06-17 19:50:45,end of day count
MOV0255,STR0979,PRD0604,,transfer_in,39,6.24,DOC0255,2025-11-12 06:00:20,damaged goods
MOV0256,STR0390,PRD0069,,sale,-26,4.47,ORD0389,2026-01-31 00:07:10,
MOV0257,STR0278,PRD0776,SUP0986,receipt,28,2.86,DOC0257,2026-04-28 00:33:04,
MOV0258,STR0680,PRD0417,,adjustment,24,7.11,DOC0258,2026-06-21 05:36:08,end of day count
MOV0259,STR0056,PRD0043,,transfer_in,14,2.54,DOC0259,2024-09-08 08:43:08,
MOV0260,STR0142,PRD0830,,transfer_in,5,2.56,DOC0260,2024-08-06 17:31:03,
MOV0261,STR0363,PRD0832,SUP0339,receipt,40,1.02,DOC0261,2025-11-21 07:25:12,promo prep
MOV0262,STR0020,PRD0981,,transfer_out,-26,2.82,DOC0262,2024-08-27 02:27:39,end of day count
