order_item_id,order_id,product_id,product_name,quantity,unit_price,line_discount,line_total,special_instructions
ORI0032,ORD0032,PRD0597,"Four Cheese (Large, Hand-Tossed)",3,19.53,2.08,58.59,
ORI0033,ORD0033,PRD0417,"BBQ Chicken (Medium, Cauliflower)",1,16.10,0.53,16.10,cut in squares
ORI0034,ORD0034,PRD0356,"Sausage & Peppers (Family, Thin)",4,18.74,2.89,74.96,
ORI0035,ORD0035,PRD0302,"Meat Lovers (Large, Stuffed)",1,19.76,1.68,19.76,cut in squares
ORI0036,ORD0036,PRD0854,Garden Salad #854,2,3.94,0.43,7.88,no onions
ORI0037,ORD0037,PRD0516,"Spinach Feta (Large, Pan)",3,12.65,1.56,37.95,
ORI0038,ORD0038,PRD0388,"Ranch Special (Large, Thin)",2,30.01,0.83,60.02,
ORI0039,ORD0039,PRD0965,Cheese Breadsticks #965,4,12.40,1.04,49.60,no onions
ORI0040,ORD0040,PRD0631,"Sausage & Peppers (Medium, Stuffed)",2,20.03,1.89,40.06,no onions
ORI0041,ORD0041,PRD0914,Bottled Water #914,3,12.33,0.21,36.99,
ORI0042,ORD0042,PRD0027,"BBQ Chicken (Family, Thin)",3,9.27,0.79,27.81,well done
ORI0043,ORD0043,PRD0811,Cinnamon Twists #811,2,6.96,1.51,13.92,cut in squares
ORI0044,ORD0044,PRD0514,"Buffalo Chicken (Medium, Pan)",4,19.63,2.64,78.52,light sauce
ORI0045,ORD0045,PRD0476,"Spicy Diablo (Family, Stuffed)",4,10.62,0.02,42.48,no onions
ORI0046,ORD0046,PRD0969,Chicken Wings #969,4,3.87,3.00,15.48,
ORI0047,ORD0047,PRD0907,Cheese Breadsticks #907,2,1.13,0.75,2.26,extra cheese
ORI0048,ORD0048,PRD0390,"Hawaiian (Medium, Pan)",2,20.83,1.47,41.66,
ORI0049,ORD0049,PRD0410,"Pepperoni (Large, Stuffed)",3,27.50,2.30,82.50,
ORI0050,ORD0050,PRD0214,"Sicilian (Personal, Pan)",4,8.18,1.62,32.72,well done
ORI0051,ORD0051,PRD0968,Soft Drink #968,4,1.88,1.30,7.52,extra cheese
ORI0052,ORD0052,PRD0336,"White Garlic (Family, Stuffed)",3,25.09,2.59,75.27,well done
ORI0053,ORD0053,PRD0666,"Ranch Special (Family, Thin)",1,16.66,0.49,16.66,
ORI0054,ORD0054,PRD0319,"Four Cheese (Family, Thin)",3,15.15,1.63,45.45,no onions
ORI0055,ORD0055,PRD0225,"White Garlic (Medium, Pan)",3,7.41,2.52,22.23,well done
ORI0056,ORD0056,PRD0142,"Pesto Chicken (Family, Stuffed)",3,19.11,2.45,57.33,
ORI0057,ORD0057,PRD0348,"Ranch Special (Personal, Cauliflower)",1,19.55,0.17,19.55,well done
ORI0058,ORD0058,PRD0808,Caesar Salad #808,1,2.82,2.11,2.82,
ORI0059,ORD0059,PRD0751,Chicken Wings #751,4,5.92,1.93,23.68,no onions
ORI0060,ORD0060,PRD0013,"Sausage & Peppers (Personal, Stuffed)",3,18.19,1.67,54.57,
ORI0061,ORD0061,PRD0593,"Margherita (Personal, Thin)",3,17.74,1.71,53.22,light sauce
ORI0062,ORD0062,PRD0217,"Pepperoni (Family, Cauliflower)",1,12.62,1.01,12.62,extra cheese
ORI0063,ORD0063,PRD0167,"Ranch Special (Medium, Pan)",2,13.65,2.84,27.30,cut in squares
ORI0064,ORD0064,PRD0058,"Ranch Special (Medium, Thin)",2,16.15,0.33,32.30,no onions
ORI0065,ORD0065,PRD0556,"Hawaiian (Family, Stuffed)",4,13.43,1.21,53.72,
ORI0066,ORD0066,PRD0165,"Buffalo Chicken (Family, Cauliflower)",2,25.54,1.57,51.08,
ORI0067,ORD0067,PRD0264,"Hawaiian (Personal, Cauliflower)",4,24.44,2.74,97.76,no onions
ORI0068,ORD0068,PRD0881,Caesar Salad #881,1,6.12,2.48,6.12,cut in squares
ORI0069,ORD0069,PRD0566,"Mushroom Truffle (Large, Cauliflower)",1,22.28,2.86,22.28,well done
ORI0070,ORD0070,PRD0265,"Neapolitan (Personal, Stuffed)",2,21.62,2.90,43.24,
ORI0071,ORD0071,PRD0759,Cheese Breadsticks #759,1,9.18,0.95,9.18,extra cheese
ORI0072,ORD0072,PRD0228,"Spinach Feta (Large, Pan)",4,14.16,1.17,56.64,light sauce
ORI0073,ORD0073,PRD0292,"Pesto Chicken (Personal, Cauliflower)",2,19.57,0.85,39.14,light sauce
ORI0074,ORD0074,PRD0235,"BBQ Chicken (Family, Cauliflower)",1,23.38,0.70,23.38,
ORI0075,ORD0075,PRD0441,"Pepperoni (Large, Cauliflower)",4,16.00,1.64,64.00,light sauce
ORI0076,ORD0076,PRD0832,Mozzarella Sticks #832,3,3.37,2.40,10.11,no onions
ORI0077,ORD0077,PRD0750,Chicken Wings #750,1,3.94,0.33,3.94,well done
ORI0078,ORD0078,PRD0956,Mozzarella Sticks #956,3,10.95,1.20,32.85,
ORI0079,ORD0079,PRD0916,Chicken Wings #916,4,7.25,2.76,29.00,no onions
ORI0080,ORD0080,PRD0315,"Spinach Feta (Large, Hand-Tossed)",1,21.57,1.11,21.57,cut in squares
ORI0081,ORD0081,PRD0870,Cinnamon Twists #870,4,6.74,1.25,26.96,
ORI0082,ORD0082,PRD0483,"Buffalo Chicken (Large, Cauliflower)",2,23.00,2.03,46.00,no onions
ORI0083,ORD0083,PRD0874,Caesar Salad #874,1,8.26,2.60,8.26,light sauce
ORI0084,ORD0084,PRD0767,Cinnamon Twists #767,4,3.45,0.68,13.80,cut in squares
ORI0085,ORD0085,PRD0300,"Buffalo Chicken (Personal, Hand-Tossed)",1,14.88,0.45,14.88,cut in squares
ORI0086,ORD0086,PRD0749,Mozzarella Sticks #749,2,9.03,2.83,18.06,cut in squares
ORI0087,ORD0087,PRD0208,"Mushroom Truffle (Family, Cauliflower)",1,29.57,0.34,29.57,no onions
ORI0088,ORD0088,PRD0640,"Spinach Feta (Medium, Pan)",3,9.25,1.19,27.75,well done
ORI0089,ORD0089,PRD0815,Soft Drink #815,2,4.57,0.32,9.14,light sauce
ORI0090,ORD0090,PRD0896,Mozzarella Sticks #896,3,3.71,1.96,11.13,well done
ORI0091,ORD0091,PRD0570,"Neapolitan (Medium, Hand-Tossed)",3,9.73,0.59,29.19,no onions
ORI0092,ORD0092,PRD0576,"Spicy Diablo (Medium, Thin)",3,11.17,2.48,33.51,extra cheese
ORI0093,ORD0093,PRD0706,Garden Salad #706,1,3.68,2.00,3.68,light sauce
ORI0094,ORD0094,PRD0109,"Sausage & Peppers (Family, Cauliflower)",3,12.52,1.12,37.56,well done
ORI0095,ORD0095,PRD0356,"Sausage & Peppers (Family, Thin)",4,18.74,0.59,74.96,
ORI0096,ORD0096,PRD0351,"Sicilian (Personal, Stuffed)",4,15.50,2.15,62.00,cut in squares
ORI0097,ORD0097,PRD0659,"Spicy Diablo (Personal, Pan)",2,8.68,1.59,17.36,well done
ORI0098,ORD0098,PRD0953,Chocolate Brownie #953,4,7.69,0.25,30.76,
ORI0099,ORD0099,PRD0129,"Neapolitan (Family, Cauliflower)",2,22.83,2.57,45.66,cut in squares
ORI0100,ORD0100,PRD0894,Garlic Knots #894,4,12.28,0.65,49.12,
ORI0101,ORD0101,PRD0404,"BBQ Chicken (Family, Pan)",3,24.13,2.34,72.39,cut in squares
ORI0102,ORD0102,PRD0212,"Supreme (Personal, Stuffed)",4,22.45,1.18,89.80,cut in squares
ORI0103,ORD0103,PRD0697,"Mushroom Truffle (Large, Stuffed)",4,15.83,1.10,63.32,no onions
ORI0104,ORD0104,PRD0303,"Pesto Chicken (Medium, Thin)",4,27.91,0.33,111.64,
ORI0105,ORD0105,PRD0691,"Spinach Feta (Family, Hand-Tossed)",4,23.41,1.07,93.64,extra cheese
ORI0106,ORD0106,PRD0273,"Pepperoni (Medium, Hand-Tossed)",1,12.01,1.74,12.01,
ORI0107,ORD0107,PRD0649,"Pepperoni (Family, Hand-Tossed)",4,14.03,2.32,56.12,well done
ORI0108,ORD0108,PRD0117,"Margherita (Family, Hand-Tossed)",1,13.18,2.41,13.18,well done
ORI0109,ORD0109,PRD0430,"White Garlic (Large, Pan)",2,19.98,2.47,39.96,light sauce
ORI0110,ORD0110,PRD0841,Chicken Wings #841,3,9.59,0.18,28.77,
ORI0111,ORD0111,PRD0157,"Four Cheese (Family, Stuffed)",1,11.84,0.10,11.84,
ORI0112,ORD0112,PRD0908,Garlic Knots #908,4,5.12,2.44,20.48,
ORI0113,ORD0113,PRD0444,"Supreme (Personal, Pan)",4,12.09,1.86,48.36,no onions
ORI0114,ORD0114,PRD0946,Chocolate Brownie #946,4,5.34,0.49,21.36,cut in squares
ORI0115,ORD0115,PRD0808,Caesar Salad #808,2,2.82,0.61,5.64,
ORI0116,ORD0116,PRD0389,"Neapolitan (Personal, Cauliflower)",2,17.80,2.93,35.60,extra cheese
ORI0117,ORD0117,PRD0067,"Buffalo Chicken (Personal, Stuffed)",4,12.38,2.39,49.52,
ORI0118,ORD0118,PRD0312,"Meat Lovers (Large, Hand-Tossed)",2,20.99,1.26,41.98,
ORI0119,ORD0119,PRD0773,Cheese Breadsticks #773,2,5.60,2.66,11.20,
ORI0120,ORD0120,PRD0441,"Pepperoni (Large, Cauliflower)",4,16.00,1.67,64.00,cut in squares
ORI0121,ORD0121,PRD0162,"Four Cheese (Large, Cauliflower)",4,25.87,1.38,103.48,well done
ORI0122,ORD0122,PRD0989,Garden Salad #989,4,9.52,1.75,38.08,light sauce
ORI0123,ORD0123,PRD0742,Cinnamon Twists #742,4,2.49,2.01,9.96,
ORI0124,ORD0124,PRD0075,"Neapolitan (Medium, Hand-Tossed)",2,21.83,1.86,43.66,extra cheese
ORI0125,ORD0125,PRD0975,Bottled Water #975,3,5.62,2.06,16.86,light sauce
ORI0126,ORD0126,PRD0081,"Spicy Diablo (Large, Thin)",4,8.55,0.83,34.20,
ORI0127,ORD0127,PRD0500,"Supreme (Family, Pan)",1,16.07,1.05,16.07,
ORI0128,ORD0128,PRD0442,"Ranch Special (Personal, Pan)",4,6.25,1.04,25.00,
ORI0129,ORD0129,PRD0562,"Meat Lovers (Family, Stuffed)",3,14.25,2.71,42.75,
ORI0130,ORD0130,PRD0033,"Spinach Feta (Personal, Cauliflower)",3,9.71,0.98,29.13,cut in squares
ORI0131,ORD0131,PRD0712,Garden Salad #712,4,1.40,0.75,5.60,well done
ORI0132,ORD0132,PRD0634,"Meat Lovers (Family, Thin)",2,14.57,0.45,29.14,
ORI0133,ORD0133,PRD0887,Garlic Knots #887,1,10.12,0.06,10.12,no onions
ORI0134,ORD0134,PRD0950,Chocolate Brownie #950,3,1.69,1.22,5.07,cut in squares
ORI0135,ORD0135,PRD0663,"Margherita (Medium, Thin)",4,13.75,0.92,55.00,
ORI0136,ORD0136,PRD0305,"Spicy Diablo (Large, Pan)",3,10.66,0.41,31.98,
ORI0137,ORD0137,PRD0085,"Ranch Special (Large, Pan)",1,23.88,0.63,23.88,light sauce
ORI0138,ORD0138,PRD0969,Chicken Wings #969,2,3.87,0.00,7.74,no onions
ORI0139,ORD0139,PRD0752,Mozzarella Sticks #752,4,6.76,2.54,27.04,
ORI0140,ORD0140,PRD0070,"Four Cheese (Large, Stuffed)",4,5.67,0.08,22.68,no onions
ORI0141,ORD0141,PRD0428,"Buffalo Chicken (Large, Hand-Tossed)",4,9.15,1.93,36.60,
ORI0142,ORD0142,PRD0983,Chocolate Brownie #983,1,6.67,2.40,6.67,no onions
ORI0143,ORD0143,PRD0146,"Hawaiian (Medium, Thin)",1,22.43,0.24,22.43,no onions
ORI0144,ORD0144,PRD0496,"Four Cheese (Family, Cauliflower)",1,19.10,0.44,19.10,
ORI0145,ORD0145,PRD0272,"Sausage & Peppers (Personal, Hand-Tossed)",4,20.34,2.09,81.36,extra cheese
ORI0146,ORD0146,PRD0904,Cheese Breadsticks #904,4,2.89,2.33,11.56,
ORI0147,ORD0147,PRD0766,Chicken Wings #766,1,7.19,1.22,7.19,no onions
ORI0148,ORD0148,PRD0367,"Mushroom Truffle (Large, Hand-Tossed)",1,20.70,2.50,20.70,no onions
ORI0149,ORD0149,PRD0818,Mozzarella Sticks #818,4,7.18,2.11,28.72,
ORI0150,ORD0150,PRD0780,Garden Salad #780,2,4.01,2.88,8.02,
ORI0151,ORD0151,PRD0557,"Meat Lovers (Personal, Cauliflower)",4,6.55,2.59,26.20,
ORI0152,ORD0152,PRD0143,"Four Cheese (Personal, Hand-Tossed)",1,20.93,0.71,20.93,
ORI0153,ORD0153,PRD0727,Caesar Salad #727,3,4.22,0.07,12.66,no onions
ORI0154,ORD0154,PRD0851,Chocolate Brownie #851,2,6.56,1.81,13.12,light sauce
ORI0155,ORD0155,PRD0497,"Supreme (Personal, Pan)",2,12.22,2.68,24.44,
ORI0156,ORD0156,PRD0712,Garden Salad #712,3,1.40,0.56,4.20,
ORI0157,ORD0157,PRD0267,"Mushroom Truffle (Large, Pan)",4,11.38,0.91,45.52,cut in squares
ORI0158,ORD0158,PRD0581,"Margherita (Large, Hand-Tossed)",3,13.19,2.78,39.57,light sauce
ORI0159,ORD0159,PRD0320,"BBQ Chicken (Personal, Stuffed)",3,21.41,2.39,64.23,cut in squares
ORI0160,ORD0160,PRD0843,Chicken Wings #843,3,14.16,1.13,42.48,no onions
ORI0161,ORD0161,PRD0092,"Sicilian (Family, Stuffed)",4,8.64,0.56,34.56,extra cheese
ORI0162,ORD0162,PRD0175,"Pepperoni (Medium, Stuffed)",2,23.39,1.75,46.78,
ORI0163,ORD0163,PRD0636,"Pepperoni (Large, Pan)",3,14.83,0.03,44.49,cut in squares
ORI0164,ORD0164,PRD0830,Chocolate Brownie #830,4,5.32,0.25,21.28,extra cheese
ORI0165,ORD0165,PRD0138,"Four Cheese (Large, Hand-Tossed)",1,12.75,1.18,12.75,
ORI0166,ORD0166,PRD0997,Chocolate Brownie #997,4,3.28,0.45,13.12,cut in squares
ORI0167,ORD0167,PRD0695,"Meat Lovers (Family, Thin)",1,7.65,2.62,7.65,well done
ORI0168,ORD0168,PRD0675,"BBQ Chicken (Family, Cauliflower)",1,28.53,2.19,28.53,extra cheese
ORI0169,ORD0169,PRD0866,Garlic Knots #866,2,13.04,2.79,26.08,
ORI0170,ORD0170,PRD0618,"Hawaiian (Medium, Thin)",1,15.05,0.81,15.05,
ORI0171,ORD0171,PRD0405,"White Garlic (Medium, Thin)",4,18.35,2.51,73.40,
ORI0172,ORD0172,PRD0616,"Ranch Special (Personal, Stuffed)",2,6.23,0.03,12.46,
ORI0173,ORD0173,PRD0799,Chocolate Brownie #799,1,4.79,0.26,4.79,well done
ORI0174,ORD0174,PRD0600,"Four Cheese (Personal, Hand-Tossed)",1,25.45,2.32,25.45,
ORI0175,ORD0175,PRD0490,"White Garlic (Personal, Thin)",2,20.77,0.33,41.54,cut in squares
ORI0176,ORD0176,PRD0899,Caesar Salad #899,4,10.75,1.05,43.00,no onions
ORI0177,ORD0177,PRD0504,"Spinach Feta (Personal, Stuffed)",2,15.11,0.56,30.22,
ORI0178,ORD0178,PRD0161,"Veggie Supreme (Family, Thin)",4,6.08,2.77,24.32,
ORI0179,ORD0179,PRD0717,Garden Salad #717,2,3.16,2.88,6.32,light sauce
ORI0180,ORD0180,PRD0128,"Pepperoni (Large, Pan)",1,15.84,0.29,15.84,well done
ORI0181,ORD0181,PRD0825,Caesar Salad #825,2,3.02,0.48,6.04,light sauce
ORI0182,ORD0182,PRD0600,"Four Cheese (Personal, Hand-Tossed)",2,25.45,2.07,50.90,light sauce
ORI0183,ORD0183,PRD0261,"Margherita (Medium, Stuffed)",3,19.38,0.08,58.14,no onions
ORI0184,ORD0184,PRD0443,"Sicilian (Medium, Cauliflower)",1,20.49,2.56,20.49,
ORI0185,ORD0185,PRD0711,Cinnamon Twists #711,2,7.95,0.40,15.90,cut in squares
ORI0186,ORD0186,PRD0847,Chicken Wings #847,4,2.51,1.76,10.04,light sauce
ORI0187,ORD0187,PRD0839,Bottled Water #839,4,6.24,0.20,24.96,extra cheese
ORI0188,ORD0188,PRD0767,Cinnamon Twists #767,2,3.45,1.05,6.90,well done
ORI0189,ORD0189,PRD0706,Garden Salad #706,1,3.68,0.88,3.68,
ORI0190,ORD0190,PRD0825,Caesar Salad #825,1,3.02,2.39,3.02,cut in squares
ORI0191,ORD0191,PRD0175,"Pepperoni (Medium, Stuffed)",3,23.39,1.05,70.17,
ORI0192,ORD0192,PRD0799,Chocolate Brownie #799,3,4.79,0.23,14.37,
ORI0193,ORD0193,PRD0057,"Pesto Chicken (Family, Pan)",1,22.54,1.66,22.54,
ORI0194,ORD0194,PRD0828,Chocolate Brownie #828,4,8.86,2.82,35.44,
ORI0195,ORD0195,PRD0539,"Sausage & Peppers (Personal, Thin)",4,7.87,2.76,31.48,extra cheese
ORI0196,ORD0196,PRD0349,"Pesto Chicken (Personal, Cauliflower)",2,10.90,2.88,21.80,light sauce
ORI0197,ORD0197,PRD0453,"Hawaiian (Personal, Cauliflower)",2,15.56,0.45,31.12,light sauce
ORI0198,ORD0198,PRD0159,"Spinach Feta (Family, Hand-Tossed)",1,16.97,2.67,16.97,well done
ORI0199,ORD0199,PRD0476,"Spicy Diablo (Family, Stuffed)",1,10.62,2.24,10.62,no onions
ORI0200,ORD0200,PRD0373,"Spinach Feta (Family, Cauliflower)",3,12.66,1.74,37.98,well done
ORI0201,ORD0201,PRD0490,"White Garlic (Personal, Thin)",1,20.77,1.48,20.77,
ORI0202,ORD0202,PRD0809,Cinnamon Twists #809,4,9.90,2.53,39.60,
ORI0203,ORD0203,PRD0616,"Ranch Special (Personal, Stuffed)",1,6.23,2.10,6.23,no onions
ORI0204,ORD0204,PRD0764,Bottled Water #764,1,7.75,2.69,7.75,
ORI0205,ORD0205,PRD0746,Cheese Breadsticks #746,4,2.12,0.30,8.48,
ORI0206,ORD0206,PRD0666,"Ranch Special (Family, Thin)",2,16.66,1.44,33.32,
ORI0207,ORD0207,PRD0720,Caesar Salad #720,4,7.43,2.17,29.72,no onions
ORI0208,ORD0208,PRD0501,"Supreme (Family, Thin)",1,23.11,1.16,23.11,cut in squares
ORI0209,ORD0209,PRD0186,"Four Cheese (Family, Hand-Tossed)",4,15.65,0.16,62.60,
ORI0210,ORD0210,PRD0749,Mozzarella Sticks #749,3,9.03,0.24,27.09,
ORI0211,ORD0211,PRD0428,"Buffalo Chicken (Large, Hand-Tossed)",2,9.15,0.29,18.30,extra cheese
ORI0212,ORD0212,PRD0014,"Spicy Diablo (Medium, Hand-Tossed)",2,14.02,2.50,28.04,
ORI0213,ORD0213,PRD0783,Garden Salad #783,1,8.71,0.91,8.71,extra cheese
ORI0214,ORD0214,PRD0653,"Hawaiian (Personal, Hand-Tossed)",1,13.71,2.51,13.71,extra cheese
ORI0215,ORD0215,PRD0549,"Buffalo Chicken (Family, Cauliflower)",3,20.05,2.53,60.15,well done
ORI0216,ORD0216,PRD0821,Mozzarella Sticks #821,2,2.99,2.96,5.98,
ORI0217,ORD0217,PRD0724,Soft Drink #724,2,5.70,0.69,11.40,cut in squares
ORI0218,ORD0218,PRD0842,Garlic Knots #842,2,2.52,0.20,5.04,cut in squares
ORI0219,ORD0219,PRD0147,"Spicy Diablo (Family, Hand-Tossed)",4,27.94,2.45,111.76,cut in squares
ORI0220,ORD0220,PRD0953,Chocolate Brownie #953,4,7.69,0.22,30.76,
ORI0221,ORD0221,PRD0310,"BBQ Chicken (Personal, Hand-Tossed)",2,11.82,2.56,23.64,cut in squares
ORI0222,ORD0222,PRD0687,"Buffalo Chicken (Large, Stuffed)",4,9.17,1.51,36.68,
ORI0223,ORD0223,PRD0760,Bottled Water #760,1,6.53,0.04,6.53,cut in squares
ORI0224,ORD0224,PRD0833,Garlic Knots #833,4,2.84,1.75,11.36,light sauce
ORI0225,ORD0225,PRD0162,"Four Cheese (Large, Cauliflower)",4,25.87,2.63,103.48,
ORI0226,ORD0226,PRD0621,"White Garlic (Large, Cauliflower)",4,22.21,1.59,88.84,well done
ORI0227,ORD0227,PRD0153,"Pesto Chicken (Personal, Stuffed)",3,18.22,0.74,54.66,
ORI0228,ORD0228,PRD0193,"Spicy Diablo (Personal, Pan)",3,6.19,2.55,18.57,
ORI0229,ORD0229,PRD0232,"Hawaiian (Medium, Cauliflower)",1,6.78,2.58,6.78,cut in squares
ORI0230,ORD0230,PRD0643,"White Garlic (Medium, Hand-Tossed)",3,13.32,0.75,39.96,well done
ORI0231,ORD0231,PRD0829,Cheese Breadsticks #829,1,6.35,2.39,6.35,well done
ORI0232,ORD0232,PRD0259,"Spicy Diablo (Medium, Pan)",3,19.44,2.84,58.32,extra cheese
ORI0233,ORD0233,PRD0211,"Spinach Feta (Large, Hand-Tossed)",3,11.57,0.77,34.71,
ORI0234,ORD0234,PRD0382,"Meat Lovers (Medium, Stuffed)",3,14.49,2.38,43.47,
ORI0235,ORD0235,PRD0010,"Meat Lovers (Family, Pan)",2,13.19,1.90,26.38,
ORI0236,ORD0236,PRD0455,"Hawaiian (Family, Pan)",1,16.51,2.99,16.51,cut in squares
ORI0237,ORD0237,PRD0281,"BBQ Chicken (Large, Stuffed)",3,28.88,0.73,86.64,well done
ORI0238,ORD0238,PRD0617,"Hawaiian (Personal, Hand-Tossed)",4,18.64,0.86,74.56,no onions
ORI0239,ORD0239,PRD0715,Caesar Salad #715,1,8.02,1.68,8.02,cut in squares
ORI0240,ORD0240,PRD0697,"Mushroom Truffle (Large, Stuffed)",2,15.83,2.47,31.66,well done
ORI0241,ORD0241,PRD0257,"Meat Lovers (Personal, Thin)",4,22.15,2.59,88.60,cut in squares
ORI0242,ORD0242,PRD0339,"Four Cheese (Large, Cauliflower)",2,8.60,2.84,17.20,
ORI0243,ORD0243,PRD0763,Cheese Breadsticks #763,4,11.96,2.38,47.84,extra cheese
ORI0244,ORD0244,PRD0378,"Buffalo Chicken (Family, Hand-Tossed)",2,20.30,0.39,40.60,cut in squares
ORI0245,ORD0245,PRD0537,"Sausage & Peppers (Family, Cauliflower)",1,14.77,2.42,14.77,
ORI0246,ORD0246,PRD0012,"BBQ Chicken (Personal, Hand-Tossed)",1,21.28,2.38,21.28,
ORI0247,ORD0247,PRD0117,"Margherita (Family, Hand-Tossed)",4,13.18,0.77,52.72,light sauce
ORI0248,ORD0248,PRD0432,"Sicilian (Large, Pan)",2,16.01,0.27,32.02,
ORI0249,ORD0249,PRD0826,Garlic Knots #826,3,1.76,1.19,5.28,
ORI0250,ORD0250,PRD0398,"Spinach Feta (Large, Pan)",3,17.60,1.85,52.80,
ORI0251,ORD0251,PRD0506,"Spinach Feta (Personal, Stuffed)",1,18.21,1.90,18.21,light sauce
ORI0252,ORD0252,PRD0350,"BBQ Chicken (Personal, Thin)",1,20.03,1.80,20.03,no onions
ORI0253,ORD0253,PRD0296,"Meat Lovers (Personal, Cauliflower)",2,13.70,0.72,27.40,
ORI0254,ORD0254,PRD0390,"Hawaiian (Medium, Pan)",4,20.83,0.20,83.32,
ORI0255,ORD0255,PRD0118,"Ranch Special (Family, Hand-Tossed)",4,5.77,1.96,23.08,light sauce
ORI0256,ORD0256,PRD0168,"Supreme (Medium, Pan)",3,7.99,0.48,23.97,no onions
ORI0257,ORD0257,PRD0864,Caesar Salad #864,4,4.08,0.36,16.32,extra cheese
ORI0258,ORD0258,PRD0064,"BBQ Chicken (Personal, Cauliflower)",4,13.27,2.14,53.08,light sauce
ORI0259,ORD0259,PRD0845,Caesar Salad #845,4,7.41,2.74,29.64,
ORI0260,ORD0260,PRD0789,Garlic Knots #789,4,7.79,1.06,31.16,well done
ORI0261,ORD0261,PRD0547,"Sicilian (Medium, Thin)",2,9.60,0.49,19.20,light sauce
ORI0262,ORD0262,PRD0987,Chicken Wings #987,2,7.31,0.99,14.62,well done
ORI0263,ORD0263,PRD0938,Cheese Breadsticks #938,1,5.08,0.71,5.08,extra cheese
ORI0264,ORD0264,PRD0071,"Spinach Feta (Personal, Pan)",4,16.30,2.23,65.20,well done
ORI0265,ORD0265,PRD0930,Cinnamon Twists #930,3,14.14,0.59,42.42,extra cheese
ORI0266,ORD0266,PRD0188,"Pesto Chicken (Family, Stuffed)",3,23.43,1.25,70.29,extra cheese
ORI0267,ORD0267,PRD0360,"Spinach Feta (Medium, Pan)",3,25.59,0.37,76.77,cut in squares
ORI0268,ORD0268,PRD0565,"Spicy Diablo (Medium, Cauliflower)",2,18.57,1.97,37.14,cut in squares
