order_id,customer_id,store_id,employee_id,membership_id,order_channel,order_type,order_status,ordered_at,promised_at,subtotal_amount,tax_amount,delivery_fee,discount_amount,total_amount,currency
ORD0035,CUS0675,STR0188,EMP0624,MEM0675,delivery_partner,delivery,preparing,2024-09-17 03:42:00,2024-09-17 04:14:00,30.60,2.52,0.00,1.53,31.59,USD
ORD0036,CUS0551,STR0662,EMP0579,MEM0551,delivery_partner,dine_in,baking,2026-07-16 14:14:47,2026-07-16 14:43:47,34.15,2.82,3.99,3.42,37.55,USD
ORD0037,CUS0334,STR0066,EMP0456,MEM0334,mobile_app,takeout,baking,2026-01-20 00:09:29,2026-01-20 00:51:29,36.02,2.97,3.99,3.60,39.38,USD
ORD0038,CUS0408,STR0376,EMP0690,MEM0408,phone,delivery,placed,2025-05-04 04:17:34,2025-05-04 05:19:34,52.80,4.36,0.00,5.28,51.87,USD
ORD0039,CUS0342,STR0447,EMP0434,MEM0342,phone,takeout,ready_pickup,2024-11-09 21:26:07,2024-11-09 22:35:07,45.25,3.73,0.00,2.26,46.72,USD
ORD0040,CUS0465,STR0060,EMP0643,MEM0465,in_store,dine_in,placed,2024-11-22 19:55:09,2024-11-22 20:30:09,14.81,1.22,0.00,0.00,16.03,USD
ORD0041,CUS0230,STR0660,EMP0805,MEM0230,web,takeout,out_for_delivery,2026-03-12 15:44:54,2026-03-12 16:15:54,76.38,6.30,3.99,11.46,75.22,USD
ORD0042,CUS0076,STR0309,EMP0693,MEM0076,delivery_partner,takeout,completed,2025-03-22 13:12:34,2025-03-22 14:20:34,26.66,2.20,3.99,0.00,32.85,USD
ORD0043,CUS0803,STR0465,EMP0436,MEM0803,delivery_partner,delivery,ready_pickup,2025-03-24 13:29:49,2025-03-24 14:01:49,53.79,4.44,3.99,5.38,56.84,USD
ORD0044,CUS0576,STR0710,EMP0221,MEM0576,phone,dine_in,baking,2024-07-16 22:09:30,2024-07-16 23:08:30,40.33,3.33,0.00,0.00,43.66,USD
ORD0045,CUS0878,STR0197,EMP0178,MEM0878,phone,dine_in,completed,2025-06-14 23:41:46,2025-06-15 00:23:46,89.08,7.35,0.00,0.00,96.43,USD
ORD0046,CUS0065,STR0502,EMP0963,MEM0065,web,takeout,completed,2024-10-31 07:58:03,2024-10-31 08:52:03,76.71,6.33,3.99,0.00,87.03,USD
ORD0047,CUS0742,STR0588,EMP0482,MEM0742,phone,dine_in,cancelled,2026-05-28 03:29:56,2026-05-28 04:11:56,92.57,7.64,0.00,0.00,100.21,USD
ORD0048,CUS0488,STR0799,EMP0681,MEM0488,in_store,dine_in,out_for_delivery,2025-05-13 19:39:20,2025-05-13 20:01:20,9.50,0.78,0.00,0.00,10.28,USD
ORD0049,CUS0821,STR0219,EMP0144,MEM0821,phone,dine_in,preparing,2024-02-01 19:25:02,2024-02-01 20:22:02,85.44,7.05,0.00,12.82,79.68,USD
ORD0050,CUS0347,STR0985,EMP0611,MEM0347,phone,delivery,placed,2025-07-18 20:05:51,2025-07-18 20:39:51,16.40,1.35,0.00,0.82,16.93,USD
ORD0051,CUS0140,STR0196,EMP0958,MEM0140,web,dine_in,ready_pickup,2024-08-26 11:07:46,2024-08-26 11:53:46,87.28,7.20,0.00,0.00,94.48,USD
ORD0052,CUS0839,STR0237,EMP0328,MEM0839,phone,dine_in,out_for_delivery,2024-07-26 00:47:56,2024-07-26 01:37:56,17.90,1.48,0.00,0.00,19.38,USD
ORD0053,CUS0109,STR0345,EMP0557,MEM0109,web,takeout,baking,2024-02-26 19:10:48,2024-02-26 20:01:48,18.84,1.55,3.99,0.94,23.45,USD
ORD0054,CUS0564,STR0513,EMP0362,MEM0564,in_store,delivery,cancelled,2024-02-20 10:01:30,2024-02-20 10:27:30,67.07,5.53,0.00,10.06,62.55,USD
ORD0055,CUS0214,STR0183,EMP0703,MEM0214,web,takeout,ready_pickup,2025-10-19 00:02:03,2025-10-19 00:34:03,24.20,2.00,3.99,3.63,26.56,USD
ORD0056,CUS0346,STR0364,EMP0397,MEM0346,delivery_partner,delivery,out_for_delivery,2025-02-21 18:30:52,2025-02-21 19:26:52,67.20,5.54,0.00,10.08,62.67,USD
ORD0057,CUS0723,STR0193,EMP0181,MEM0723,web,dine_in,placed,2024-05-14 18:58:44,2024-05-14 20:03:44,46.67,3.85,3.99,0.00,54.51,USD
ORD0058,CUS0562,STR0103,EMP0748,MEM0562,web,takeout,baking,2025-07-04 06:21:09,2025-07-04 07:08:09,37.45,3.09,3.99,3.75,40.79,USD
ORD0059,CUS0655,STR0797,EMP0338,MEM0655,mobile_app,takeout,completed,2024-09-08 10:25:53,2024-09-08 11:03:53,8.57,0.71,0.00,0.00,9.28,USD
ORD0060,CUS0023,STR0693,EMP0547,MEM0023,in_store,takeout,preparing,2026-06-25 10:14:03,2026-06-25 11:06:03,62.16,5.13,0.00,6.22,61.07,USD
ORD0061,CUS0622,STR0081,EMP0508,MEM0622,web,delivery,completed,2026-07-20 22:42:19,2026-07-20 23:27:19,9.08,0.75,3.99,0.45,13.37,USD
ORD0062,CUS0584,STR0586,EMP0584,MEM0584,phone,delivery,ready_pickup,2026-07-31 19:31:53,2026-07-31 19:58:53,66.11,5.45,0.00,0.00,71.56,USD
ORD0063,CUS0909,STR0917,EMP0280,MEM0909,delivery_partner,takeout,baking,2026-06-01 22:18:01,2026-06-01 22:45:01,92.39,7.62,3.99,4.62,99.39,USD
ORD0064,CUS0178,STR0241,EMP0094,MEM0178,in_store,takeout,ready_pickup,2024-05-10 00:02:26,2024-05-10 00:43:26,11.14,0.92,0.00,0.00,12.06,USD
ORD0065,CUS0116,STR0507,EMP0216,MEM0116,mobile_app,takeout,ready_pickup,2025-05-23 02:36:02,2025-05-23 03:09:02,86.82,7.16,3.99,4.34,93.64,USD
ORD0066,CUS0208,STR0170,EMP0620,MEM0208,phone,takeout,placed,2026-01-05 21:52:06,2026-01-05 22:38:06,51.91,4.28,0.00,5.19,51.00,USD
ORD0067,CUS0986,STR0445,EMP0276,MEM0986,delivery_partner,dine_in,out_for_delivery,2026-02-18 13:50:41,2026-02-18 14:14:41,40.10,3.31,3.99,6.02,41.38,USD
ORD0068,CUS0092,STR0395,EMP0415,MEM0092,in_store,takeout,placed,2024-09-08 07:36:57,2024-09-08 08:51:57,69.98,5.77,0.00,10.50,65.25,USD
ORD0069,CUS0869,STR0773,EMP0958,MEM0869,delivery_partner,takeout,baking,2024-05-11 04:18:18,2024-05-11 05:24:18,30.02,2.48,3.99,3.00,33.48,USD
ORD0070,CUS0373,STR0701,EMP0363,MEM0373,phone,takeout,completed,2025-03-27 02:41:35,2025-03-27 03:32:35,14.80,1.22,0.00,0.00,16.02,USD
ORD0071,CUS0068,STR0679,EMP0473,MEM0068,in_store,takeout,preparing,2024-03-11 12:44:08,2024-03-11 13:40:08,94.85,7.83,0.00,0.00,102.68,USD
ORD0072,CUS0425,STR0043,EMP0393,MEM0425,delivery_partner,delivery,completed,2026-05-15 22:50:26,2026-05-15 23:38:26,94.10,7.76,3.99,9.41,96.45,USD
ORD0073,CUS0623,STR0194,EMP0193,MEM0623,delivery_partner,dine_in,cancelled,2025-05-30 16:12:30,2025-05-30 16:48:30,34.05,2.81,0.00,0.00,36.86,USD
ORD0074,CUS0581,STR0284,EMP0891,MEM0581,in_store,delivery,preparing,2025-06-02 06:53:50,2025-06-02 07:40:50,22.69,1.87,0.00,3.40,21.16,USD
ORD0075,CUS0047,STR0435,EMP0111,MEM0047,in_store,delivery,completed,2024-08-04 04:19:34,2024-08-04 04:41:34,73.82,6.09,0.00,7.38,72.53,USD
ORD0076,CUS0699,STR0280,EMP0849,MEM0699,delivery_partner,delivery,completed,2024-03-15 12:17:34,2024-03-15 13:14:34,83.93,6.92,3.99,12.59,82.26,USD
ORD0077,CUS0119,STR0325,EMP0807,MEM0119,web,dine_in,cancelled,2024-07-12 03:53:55,2024-07-12 04:48:55,72.83,6.01,0.00,0.00,78.84,USD
ORD0078,CUS0358,STR0015,EMP0645,MEM0358,phone,takeout,completed,2024-05-03 08:32:19,2024-05-03 09:37:19,66.68,5.50,0.00,3.33,68.85,USD
ORD0079,CUS0166,STR0994,EMP0074,MEM0166,mobile_app,dine_in,completed,2026-07-23 14:08:24,2026-07-23 14:38:24,87.07,7.18,3.99,0.00,98.25,USD
ORD0080,CUS0824,STR0422,EMP0706,MEM0824,phone,dine_in,out_for_delivery,2025-04-16 08:24:37,2025-04-16 09:28:37,35.86,2.96,0.00,0.00,38.82,USD
ORD0081,CUS0589,STR0758,EMP0014,MEM0589,web,takeout,baking,2024-10-04 07:43:01,2024-10-04 08:11:01,26.43,2.18,3.99,1.32,31.28,USD
ORD0082,CUS0260,STR0027,EMP0377,MEM0260,mobile_app,delivery,placed,2026-04-14 07:54:25,2026-04-14 08:29:25,32.64,2.69,3.99,0.00,39.32,USD
ORD0083,CUS0952,STR0585,EMP0516,MEM0952,web,dine_in,ready_pickup,2025-09-13 23:12:14,2025-09-13 23:33:14,73.38,6.05,0.00,3.67,75.76,USD
ORD0084,CUS0583,STR0101,EMP0400,MEM0583,delivery_partner,dine_in,completed,2026-05-01 18:03:32,2026-05-01 18:39:32,16.88,1.39,0.00,0.84,17.43,USD
ORD0085,CUS0905,STR0164,EMP0623,MEM0905,delivery_partner,takeout,placed,2026-04-14 08:58:00,2026-04-14 09:55:00,77.97,6.43,0.00,0.00,84.40,USD
ORD0086,CUS0723,STR0016,EMP0851,MEM0723,phone,delivery,completed,2025-11-07 13:58:21,2025-11-07 14:38:21,39.14,3.23,0.00,0.00,42.37,USD
ORD0087,CUS0638,STR0080,EMP0057,MEM0638,web,dine_in,out_for_delivery,2024-04-26 12:47:24,2024-04-26 13:49:24,64.50,5.32,0.00,3.22,66.59,USD
ORD0088,CUS0866,STR0359,EMP0053,MEM0866,mobile_app,takeout,preparing,2024-11-12 22:15:58,2024-11-12 23:16:58,60.07,4.96,0.00,3.00,62.03,USD
ORD0089,CUS0242,STR0479,EMP0479,MEM0242,delivery_partner,dine_in,baking,2026-01-13 19:25:02,2026-01-13 20:16:02,48.09,3.97,3.99,0.00,56.04,USD
ORD0090,CUS0142,STR0037,EMP0008,MEM0142,phone,dine_in,baking,2024-06-27 18:22:40,2024-06-27 19:37:40,28.89,2.38,0.00,0.00,31.27,USD
ORD0091,CUS0191,STR0345,EMP0196,MEM0191,mobile_app,dine_in,ready_pickup,2025-08-17 23:47:11,2025-08-18 00:11:11,31.63,2.61,3.99,0.00,38.23,USD
ORD0092,CUS0946,STR0103,EMP0553,MEM0946,delivery_partner,delivery,placed,2025-07-08 13:48:23,2025-07-08 14:27:23,44.07,3.64,0.00,0.00,47.70,USD
ORD0093,CUS0162,STR0145,EMP0019,MEM0162,mobile_app,delivery,completed,2025-10-02 17:53:31,2025-10-02 19:06:31,25.18,2.08,0.00,0.00,27.26,USD
ORD0094,CUS0630,STR0031,EMP0365,MEM0630,web,takeout,completed,2024-11-16 21:06:11,2024-11-16 22:06:11,68.15,5.62,0.00,0.00,73.78,USD
ORD0095,CUS0351,STR0201,EMP0903,MEM0351,mobile_app,delivery,out_for_delivery,2025-08-12 08:13:36,2025-08-12 08:45:36,15.65,1.29,3.99,0.78,20.15,USD
ORD0096,CUS0337,STR0086,EMP0139,MEM0337,phone,dine_in,baking,2025-04-13 16:02:14,2025-04-13 16:30:14,23.99,1.98,0.00,3.60,22.37,USD
ORD0097,CUS0903,STR0333,EMP0844,MEM0903,web,delivery,cancelled,2024-12-02 09:36:10,2024-12-02 10:34:10,52.50,4.33,0.00,0.00,56.83,USD
ORD0098,CUS0458,STR0781,EMP0468,MEM0458,web,takeout,preparing,2026-06-01 21:16:34,2026-06-01 22:11:34,59.86,4.94,3.99,2.99,65.80,USD
ORD0099,CUS0246,STR0657,EMP0509,MEM0246,phone,dine_in,baking,2024-12-09 23:10:04,2024-12-10 00:13:04,18.38,1.52,0.00,1.84,18.06,USD
ORD0100,CUS0397,STR0302,EMP0968,MEM0397,web,delivery,out_for_delivery,2024-01-11 10:55:42,2024-01-11 11:56:42,15.69,1.29,0.00,2.35,14.63,USD
ORD0101,CUS0079,STR0332,EMP0516,MEM0079,phone,dine_in,placed,2025-03-12 16:19:47,2025-03-12 16:39:47,34.81,2.87,0.00,1.74,35.94,USD
ORD0102,CUS0905,STR0970,EMP0146,MEM0905,in_store,takeout,baking,2025-12-04 08:07:53,2025-12-04 09:07:53,17.31,1.43,0.00,0.00,18.74,USD
ORD0103,CUS0022,STR0982,EMP0692,MEM0022,web,takeout,completed,2024-10-21 19:45:51,2024-10-21 20:13:51,57.69,4.76,0.00,0.00,62.45,USD
ORD0104,CUS0390,STR0972,EMP0172,MEM0390,mobile_app,takeout,completed,2026-07-29 11:46:07,2026-07-29 12:15:07,25.49,2.10,3.99,0.00,31.58,USD
ORD0105,CUS0748,STR0076,EMP0964,MEM0748,mobile_app,takeout,cancelled,2024-10-18 14:24:33,2024-10-18 14:56:33,90.41,7.46,0.00,0.00,97.87,USD
ORD0106,CUS0397,STR0499,EMP0314,MEM0397,mobile_app,takeout,ready_pickup,2025-10-11 22:50:20,2025-10-11 23:40:20,61.17,5.05,3.99,9.18,61.04,USD
ORD0107,CUS0645,STR0877,EMP0914,MEM0645,delivery_partner,dine_in,out_for_delivery,2024-10-16 03:36:18,2024-10-16 04:40:18,52.70,4.35,3.99,0.00,61.04,USD
ORD0108,CUS0239,STR0212,EMP0564,MEM0239,mobile_app,dine_in,preparing,2024-12-09 00:30:15,2024-12-09 01:41:15,61.51,5.07,3.99,9.23,61.35,USD
ORD0109,CUS0097,STR0850,EMP0683,MEM0097,phone,takeout,placed,2025-12-03 19:28:58,2025-12-03 19:55:58,63.77,5.26,0.00,3.19,65.84,USD
ORD0110,CUS0618,STR0581,EMP0878,MEM0618,web,delivery,placed,2025-08-21 02:39:37,2025-08-21 03:21:37,82.54,6.81,0.00,0.00,89.34,USD
ORD0111,CUS0123,STR0316,EMP0043,MEM0123,mobile_app,dine_in,baking,2025-12-15 09:22:35,2025-12-15 10:16:35,90.73,7.48,3.99,13.61,88.59,USD
ORD0112,CUS0290,STR0598,EMP0528,MEM0290,phone,dine_in,completed,2025-05-22 04:36:47,2025-05-22 05:49:47,42.65,3.52,0.00,2.13,44.04,USD
ORD0113,CUS0162,STR0994,EMP0798,MEM0162,delivery_partner,dine_in,out_for_delivery,2026-02-18 17:47:26,2026-02-18 18:55:26,35.26,2.91,3.99,0.00,42.16,USD
ORD0114,CUS0012,STR0580,EMP0630,MEM0012,in_store,dine_in,out_for_delivery,2025-08-14 04:56:58,2025-08-14 05:55:58,66.50,5.49,0.00,0.00,71.99,USD
ORD0115,CUS0902,STR0195,EMP0048,MEM0902,web,delivery,completed,2024-09-02 19:33:57,2024-09-02 20:25:57,90.93,7.50,3.99,9.09,93.33,USD
ORD0116,CUS0344,STR0816,EMP0900,MEM0344,delivery_partner,dine_in,out_for_delivery,2024-03-08 13:47:52,2024-03-08 14:25:52,9.30,0.77,0.00,1.39,8.67,USD
ORD0117,CUS0754,STR0767,EMP0141,MEM0754,in_store,takeout,completed,2026-01-20 02:04:12,2026-01-20 02:37:12,14.82,1.22,0.00,0.00,16.04,USD
ORD0118,CUS0026,STR0852,EMP0588,MEM0026,delivery_partner,takeout,preparing,2024-08-04 05:19:41,2024-08-04 06:23:41,62.40,5.15,3.99,9.36,62.18,USD
ORD0119,CUS0894,STR0841,EMP0976,MEM0894,phone,dine_in,completed,2024-05-31 14:02:47,2024-05-31 14:51:47,59.55,4.91,0.00,0.00,64.46,USD
ORD0120,CUS0157,STR0151,EMP0567,MEM0157,phone,dine_in,placed,2024-11-02 08:45:07,2024-11-02 09:19:07,29.10,2.40,0.00,4.36,27.14,USD
ORD0121,CUS0230,STR0591,EMP0642,MEM0230,web,delivery,ready_pickup,2026-04-20 15:48:44,2026-04-20 16:45:44,13.88,1.15,3.99,0.00,19.02,USD
ORD0122,CUS0510,STR0782,EMP0469,MEM0510,phone,delivery,cancelled,2025-12-30 19:46:40,2025-12-30 20:16:40,55.07,4.54,0.00,8.26,51.36,USD
ORD0123,CUS0450,STR0565,EMP0401,MEM0450,mobile_app,dine_in,out_for_delivery,2025-12-28 00:04:42,2025-12-28 01:04:42,89.97,7.42,3.99,0.00,101.38,USD
ORD0124,CUS0565,STR0732,EMP0830,MEM0565,phone,takeout,preparing,2025-03-31 13:40:43,2025-03-31 14:21:43,59.60,4.92,0.00,2.98,61.54,USD
ORD0125,CUS0107,STR0312,EMP0278,MEM0107,web,dine_in,completed,2025-02-01 14:23:04,2025-02-01 14:44:04,77.27,6.38,0.00,3.86,79.78,USD
ORD0126,CUS0920,STR0413,EMP0317,MEM0920,in_store,delivery,cancelled,2024-08-29 11:11:56,2024-08-29 12:14:56,41.24,3.40,0.00,0.00,44.65,USD
ORD0127,CUS0997,STR0865,EMP0602,MEM0997,web,delivery,completed,2026-05-15 17:48:32,2026-05-15 18:52:32,78.43,6.47,3.99,0.00,88.89,USD
ORD0128,CUS0450,STR0145,EMP0778,MEM0450,delivery_partner,dine_in,preparing,2024-03-19 13:30:16,2024-03-19 14:23:16,52.71,4.35,0.00,0.00,57.06,USD
ORD0129,CUS0279,STR0244,EMP0594,MEM0279,in_store,delivery,ready_pickup,2024-12-05 16:26:35,2024-12-05 17:21:35,94.97,7.84,0.00,0.00,102.81,USD
ORD0130,CUS0119,STR0773,EMP0022,MEM0119,mobile_app,delivery,completed,2024-04-27 13:26:22,2024-04-27 14:07:22,59.41,4.90,0.00,0.00,64.31,USD
ORD0131,CUS0002,STR0466,EMP0868,MEM0002,web,dine_in,ready_pickup,2025-03-10 14:55:15,2025-03-10 15:43:15,12.59,1.04,0.00,0.00,13.63,USD
ORD0132,CUS0100,STR0846,EMP0146,MEM0100,delivery_partner,delivery,preparing,2026-07-06 19:02:28,2026-07-06 19:55:28,56.59,4.67,3.99,0.00,65.24,USD
ORD0133,CUS0288,STR1000,EMP0089,MEM0288,in_store,delivery,cancelled,2025-02-13 23:31:13,2025-02-14 00:15:13,77.27,6.37,0.00,3.86,79.78,USD
ORD0134,CUS0607,STR0219,EMP0533,MEM0607,phone,delivery,cancelled,2025-09-26 20:55:46,2025-09-26 21:48:46,31.75,2.62,0.00,0.00,34.37,USD
ORD0135,CUS0786,STR0339,EMP0201,MEM0786,mobile_app,takeout,completed,2024-06-27 10:49:02,2024-06-27 11:09:02,28.24,2.33,0.00,0.00,30.57,USD
ORD0136,CUS0922,STR0754,EMP0950,MEM0922,web,dine_in,out_for_delivery,2025-05-12 15:30:10,2025-05-12 16:01:10,14.65,1.21,0.00,0.73,15.13,USD
ORD0137,CUS0425,STR0874,EMP0954,MEM0425,web,delivery,ready_pickup,2025-06-04 02:53:02,2025-06-04 03:26:02,18.63,1.54,0.00,0.00,20.17,USD
ORD0138,CUS0540,STR0359,EMP0819,MEM0540,mobile_app,dine_in,cancelled,2024-05-10 07:26:45,2024-05-10 08:12:45,28.38,2.34,3.99,0.00,34.71,USD
ORD0139,CUS0290,STR0807,EMP0109,MEM0290,mobile_app,dine_in,completed,2025-03-08 06:02:55,2025-03-08 06:32:55,43.72,3.61,3.99,2.19,49.13,USD
ORD0140,CUS0702,STR0933,EMP0853,MEM0702,in_store,delivery,cancelled,2024-04-01 12:30:55,2024-04-01 13:31:55,75.52,6.23,0.00,0.00,81.75,USD
ORD0141,CUS0104,STR0963,EMP0377,MEM0104,web,delivery,ready_pickup,2025-06-10 01:44:05,2025-06-10 02:09:05,67.61,5.58,3.99,6.76,70.41,USD
ORD0142,CUS0938,STR0124,EMP0380,MEM0938,web,dine_in,placed,2024-03-23 22:41:24,2024-03-23 23:22:24,41.41,3.42,0.00,6.21,38.61,USD
ORD0143,CUS0650,STR0805,EMP0804,MEM0650,delivery_partner,takeout,out_for_delivery,2026-07-09 01:07:43,2026-07-09 01:30:43,22.18,1.83,3.99,0.00,28.00,USD
ORD0144,CUS0551,STR0117,EMP0832,MEM0551,phone,dine_in,completed,2024-08-06 17:15:35,2024-08-06 18:00:35,37.28,3.08,0.00,0.00,40.36,USD
ORD0145,CUS0508,STR0837,EMP0407,MEM0508,in_store,delivery,out_for_delivery,2025-08-17 14:22:41,2025-08-17 15:19:41,20.43,1.69,0.00,0.00,22.11,USD
ORD0146,CUS0185,STR0475,EMP0790,MEM0185,delivery_partner,delivery,completed,2026-04-01 14:29:18,2026-04-01 15:39:18,56.37,4.65,3.99,5.64,59.38,USD
ORD0147,CUS0471,STR0982,EMP0865,MEM0471,in_store,delivery,ready_pickup,2024-05-19 13:55:40,2024-05-19 14:29:40,82.28,6.79,0.00,0.00,89.07,USD
ORD0148,CUS0315,STR0511,EMP0013,MEM0315,in_store,delivery,completed,2025-11-20 11:34:31,2025-11-20 12:46:31,38.28,3.16,0.00,0.00,41.44,USD
ORD0149,CUS0782,STR0760,EMP0569,MEM0782,phone,dine_in,out_for_delivery,2025-02-01 06:16:39,2025-02-01 06:47:39,94.25,7.78,0.00,14.14,87.89,USD
ORD0150,CUS0530,STR0169,EMP0306,MEM0530,in_store,delivery,preparing,2024-05-26 22:11:58,2024-05-26 22:42:58,69.27,5.72,0.00,10.39,64.60,USD
ORD0151,CUS0319,STR0645,EMP0317,MEM0319,web,takeout,cancelled,2024-05-23 19:19:22,2024-05-23 20:15:22,72.20,5.96,0.00,0.00,78.16,USD
