stock_id,store_id,product_id,quantity_on_hand,quantity_reserved,reorder_level,reorder_quantity,unit_cost,bin_location,last_counted_at,stock_status
STK0056,STR0932,PRD0056,31,10,56,110,7.83,F-06,2025-10-16 22:48:42,low
STK0057,STR0071,PRD0057,125,6,57,111,7.63,B-19,2024-08-14 11:37:14,ok
STK0058,STR0299,PRD0058,82,17,48,121,5.20,F-15,2025-12-07 23:16:11,ok
STK0059,STR0201,PRD0059,139,5,56,144,6.41,C-07,2026-02-19 20:42:15,ok
STK0060,STR0160,PRD0060,16,13,27,37,8.25,B-06,2024-10-16 09:18:42,low
STK0061,STR0165,PRD0061,242,7,43,68,8.90,A-07,2026-02-16 05:10:47,ok
STK0062,STR0962,PRD0062,237,5,30,76,6.53,B-07,2025-06-09 04:00:40,ok
STK0063,STR0616,PRD0063,7,2,34,96,8.76,A-19,2025-03-28 19:16:00,low
STK0064,STR0942,PRD0064,209,3,12,20,4.82,C-03,2024-09-24 04:03:02,ok
STK0065,STR0319,PRD0065,86,5,20,57,3.08,B-09,2025-07-28 14:42:24,ok
STK0066,STR0398,PRD0066,113,0,53,119,2.98,B-19,2024-12-18 11:46:43,ok
STK0067,STR0927,PRD0067,223,20,54,98,4.46,A-09,2025-10-06 23:41:36,ok
STK0068,STR0931,PRD0068,40,19,54,142,4.61,B-07,2025-12-14 11:46:03,low
STK0069,STR0286,PRD0069,28,6,32,75,4.47,B-07,2026-03-22 16:18:01,low
STK0070,STR0458,PRD0070,130,18,51,97,2.53,A-20,2024-02-03 22:29:18,ok
STK0071,STR0349,PRD0071,62,1,58,132,4.89,C-11,2026-05-22 10:14:29,ok
STK0072,STR0494,PRD0072,92,11,46,53,5.71,B-12,2026-01-11 07:50:34,ok
STK0073,STR0133,PRD0073,57,6,21,21,8.16,A-16,2024-01-08 06:58:11,ok
STK0074,STR0573,PRD0074,107,17,14,27,4.05,C-17,2025-04-08 05:23:19,ok
STK0075,STR0404,PRD0075,174,9,39,98,8.44,C-06,2024-06-01 12:44:19,ok
STK0076,STR0276,PRD0076,140,11,25,66,2.82,F-12,2024-03-05 13:15:32,ok
STK0077,STR0570,PRD0077,163,12,59,132,3.61,B-05,2025-12-12 22:15:12,ok
STK0078,STR0865,PRD0078,240,0,52,147,3.11,B-11,2024-07-21 13:44:41,ok
STK0079,STR0694,PRD0079,174,20,33,66,5.18,A-04,2024-04-06 19:15:16,ok
STK0080,STR0914,PRD0080,192,11,33,85,3.35,B-10,2024-04-21 17:25:27,ok
STK0081,STR0147,PRD0081,108,13,52,109,3.79,F-17,2024-02-10 23:41:51,ok
STK0082,STR0805,PRD0082,165,8,46,52,3.98,C-19,2025-09-17 06:41:41,ok
STK0083,STR0310,PRD0083,123,7,12,18,7.02,F-09,2024-09-22 05:38:45,ok
STK0084,STR0862,PRD0084,73,10,59,156,3.79,B-05,2024-02-06 18:43:54,ok
STK0085,STR0441,PRD0085,81,7,27,35,9.29,F-03,2025-04-03 11:51:17,ok
STK0086,STR0226,PRD0086,76,6,13,28,4.50,A-12,2024-08-20 08:26:15,ok
STK0087,STR0911,PRD0087,215,8,55,79,5.76,A-02,2024-04-11 05:49:50,ok
STK0088,STR0344,PRD0088,173,17,36,67,8.37,A-20,2025-07-21 14:01:05,ok
STK0089,STR0247,PRD0089,186,5,14,19,7.40,C-06,2025-09-16 14:06:50,ok
STK0090,STR0283,PRD0090,150,9,38,94,7.48,F-02,2025-11-06 20:58:23,ok
STK0091,STR0449,PRD0091,166,12,50,87,2.69,C-06,2026-02-25 18:50:58,ok
STK0092,STR0424,PRD0092,160,1,24,53,2.88,A-15,2026-03-25 15:37:10,ok
STK0093,STR0082,PRD0093,188,2,12,35,5.24,A-04,2024-07-29 08:52:49,ok
STK0094,STR0302,PRD0094,214,16,28,77,4.85,A-12,2025-08-31 20:42:32,ok
STK0095,STR0621,PRD0095,163,4,29,35,3.59,A-17,2026-01-19 15:55:25,ok
STK0096,STR0315,PRD0096,183,20,47,49,4.04,A-09,2025-02-02 06:58:18,ok
STK0097,STR0599,PRD0097,17,1,13,27,2.78,B-07,2024-04-21 05:28:39,ok
STK0098,STR0750,PRD0098,215,18,28,39,7.42,A-10,2026-06-02 08:58:59,ok
STK0099,STR0616,PRD0099,53,13,11,20,6.79,A-09,2024-05-13 07:20:39,ok
STK0100,STR0134,PRD0100,18,14,13,14,7.11,C-07,2024-04-26 21:41:23,ok
STK0101,STR0030,PRD0101,204,11,32,33,8.94,B-03,2025-07-20 11:01:20,ok
STK0102,STR0746,PRD0102,133,14,42,112,3.65,C-02,2025-08-24 13:48:10,ok
STK0103,STR0426,PRD0103,3,3,59,115,8.14,C-04,2025-02-19 12:41:02,low
STK0104,STR0119,PRD0104,67,7,43,87,9.15,A-11,2025-09-18 14:03:47,ok
STK0105,STR0022,PRD0105,145,3,32,66,4.32,B-15,2026-01-06 20:48:35,ok
STK0106,STR0053,PRD0106,175,2,19,40,4.52,B-18,2025-08-26 12:10:53,ok
STK0107,STR0118,PRD0107,26,3,31,38,9.21,A-14,2024-09-27 21:22:38,low
STK0108,STR0886,PRD0108,185,3,40,72,3.50,B-12,2024-10-26 20:24:21,ok
STK0109,STR0270,PRD0109,28,12,12,15,3.76,F-11,2024-01-17 12:23:37,ok
STK0110,STR0647,PRD0110,65,15,54,77,7.29,C-12,2024-12-01 00:35:35,ok
STK0111,STR0125,PRD0111,217,1,54,117,8.58,B-16,2024-04-25 21:09:08,ok
STK0112,STR0192,PRD0112,37,14,10,14,5.73,C-02,2026-04-28 02:40:20,ok
STK0113,STR0664,PRD0113,78,5,30,49,5.12,A-18,2026-03-15 08:03:07,ok
STK0114,STR0448,PRD0114,184,1,60,154,4.11,F-19,2024-07-18 16:26:49,ok
STK0115,STR0326,PRD0115,196,7,24,50,3.85,A-04,2024-01-24 12:47:48,ok
STK0116,STR0945,PRD0116,238,20,47,125,7.52,B-03,2026-07-07 01:54:39,ok
STK0117,STR0101,PRD0117,241,8,59,157,5.35,A-01,2026-07-13 18:15:00,ok
STK0118,STR0626,PRD0118,174,3,42,63,2.53,F-04,2026-07-01 13:34:16,ok
STK0119,STR0139,PRD0119,169,20,54,77,8.74,F-10,2024-04-29 18:04:19,ok
STK0120,STR0344,PRD0120,181,8,47,126,8.22,B-12,2025-02-15 12:18:06,ok
STK0121,STR0652,PRD0121,49,10,29,81,7.23,A-05,2025-09-21 18:00:39,ok
STK0122,STR0437,PRD0122,66,5,51,112,7.57,B-18,2025-11-04 17:48:01,ok
STK0123,STR0641,PRD0123,152,13,35,70,8.92,A-03,2024-02-28 15:03:22,ok
STK0124,STR0343,PRD0124,17,5,59,131,6.48,B-15,2024-08-18 21:15:31,low
STK0125,STR0839,PRD0125,69,0,22,49,8.86,F-16,2026-02-12 11:06:01,ok
STK0126,STR0633,PRD0126,132,12,24,53,8.79,F-17,2024-04-13 20:51:59,ok
STK0127,STR0012,PRD0127,126,16,10,14,8.64,C-02,2026-02-21 05:01:04,ok
STK0128,STR0625,PRD0128,202,20,24,46,6.97,A-08,2024-10-24 00:49:26,ok
STK0129,STR0761,PRD0129,195,11,16,45,8.76,B-02,2026-05-23 06:09:15,ok
STK0130,STR0185,PRD0130,171,13,25,49,6.11,A-13,2024-09-12 01:27:14,ok
STK0131,STR0017,PRD0131,21,4,38,113,2.79,C-04,2024-08-06 11:22:53,low
STK0132,STR0391,PRD0132,164,1,35,88,5.63,F-04,2024-05-16 03:50:02,ok
STK0133,STR0872,PRD0133,246,17,11,19,8.72,A-08,2024-02-12 05:21:40,ok
STK0134,STR0761,PRD0134,145,20,21,63,7.41,F-13,2026-01-21 06:43:34,ok
STK0135,STR0222,PRD0135,193,0,36,103,9.34,F-08,2024-11-17 13:26:17,ok
STK0136,STR0224,PRD0136,208,19,47,129,6.55,C-02,2025-08-30 22:19:18,ok
STK0137,STR0401,PRD0137,179,20,35,98,8.59,F-01,2025-06-13 01:51:30,ok
STK0138,STR0363,PRD0138,5,5,43,46,4.29,A-11,2024-03-16 22:27:36,low
STK0139,STR0696,PRD0139,155,17,13,19,6.32,A-14,2024-10-17 13:06:34,ok
STK0140,STR0370,PRD0140,12,11,54,129,3.61,A-12,2025-07-30 07:18:10,low
STK0141,STR0913,PRD0141,110,9,28,79,2.80,A-19,2026-06-10 21:02:52,ok
STK0142,STR0767,PRD0142,73,2,59,167,5.89,B-09,2024-11-24 09:27:18,ok
STK0143,STR0428,PRD0143,16,1,35,82,8.02,A-06,2026-07-15 12:54:25,low
STK0144,STR0651,PRD0144,192,19,47,52,5.51,F-13,2024-05-23 13:55:16,ok
STK0145,STR0596,PRD0145,30,20,58,122,4.74,A-10,2026-04-13 21:54:05,low
STK0146,STR0216,PRD0146,105,16,41,74,8.13,A-08,2024-07-27 09:21:14,ok
STK0147,STR0858,PRD0147,242,14,15,29,8.70,C-19,2024-05-25 16:45:04,ok
STK0148,STR0998,PRD0148,30,15,59,114,8.05,F-11,2025-07-31 04:55:15,low
STK0149,STR0024,PRD0149,248,1,54,89,4.73,B-16,2025-06-10 22:29:20,ok
STK0150,STR0658,PRD0150,222,3,22,43,7.96,F-12,2024-07-24 19:28:36,ok
STK0151,STR0915,PRD0151,45,10,49,55,7.51,B-18,2025-09-03 20:48:03,low
STK0152,STR0037,PRD0152,232,18,22,25,4.94,B-14,2026-02-09 09:06:57,ok
STK0153,STR0299,PRD0153,142,14,37,83,6.58,F-16,2025-07-24 19:05:07,ok
STK0154,STR0874,PRD0154,52,10,59,68,5.32,C-08,2025-02-06 05:27:05,low
STK0155,STR0678,PRD0155,178,9,41,66,4.51,B-16,2024-01-02 22:44:23,ok
STK0156,STR0531,PRD0156,26,1,20,49,9.11,A-01,2024-11-18 15:43:43,ok
STK0157,STR0505,PRD0157,138,0,15,18,3.90,A-08,2024-08-10 22:51:57,ok
STK0158,STR0822,PRD0158,221,16,10,14,9.39,B-09,2024-05-30 18:20:35,ok
STK0159,STR0833,PRD0159,196,0,35,38,5.45,F-12,2026-01-30 01:40:58,ok
STK0160,STR0722,PRD0160,133,11,44,58,2.76,F-13,2024-05-11 09:27:09,ok
STK0161,STR0577,PRD0161,4,3,41,74,2.72,C-09,2026-07-20 04:40:16,low
STK0162,STR0050,PRD0162,71,18,24,42,8.87,F-03,2025-11-05 19:02:24,ok
STK0163,STR0982,PRD0163,165,4,19,29,6.05,F-15,2024-07-24 18:01:40,ok
STK0164,STR0442,PRD0164,26,10,11,19,6.49,A-06,2025-08-16 01:46:23,ok
STK0165,STR0020,PRD0165,190,16,21,62,8.47,C-14,2025-07-06 21:28:49,ok
STK0166,STR0739,PRD0166,84,4,47,58,7.35,C-13,2026-04-20 15:18:38,ok
STK0167,STR0520,PRD0167,206,8,35,62,5.25,B-19,2025-11-30 01:20:30,ok
STK0168,STR0282,PRD0168,90,19,22,26,2.52,A-06,2024-12-28 17:15:02,ok
STK0169,STR0555,PRD0169,75,14,45,97,7.17,A-10,2025-04-17 01:18:06,ok
STK0170,STR0262,PRD0170,57,7,56,141,3.96,F-08,2025-08-10 03:15:56,ok
STK0171,STR0790,PRD0171,164,1,51,130,9.42,A-17,2025-05-26 20:45:20,ok
STK0172,STR0449,PRD0172,86,14,24,62,7.49,C-15,2025-09-01 19:42:03,ok
STK0173,STR0772,PRD0173,55,16,16,29,6.63,C-06,2026-06-08 13:35:11,ok
STK0174,STR0017,PRD0174,3,2,20,57,3.30,B-16,2026-04-14 21:00:04,low
STK0175,STR0960,PRD0175,203,5,31,85,7.01,B-10,2025-09-12 22:14:29,ok
STK0176,STR0742,PRD0176,243,2,52,92,8.67,A-06,2024-06-22 07:51:56,ok
STK0177,STR0774,PRD0177,208,15,37,88,7.44,A-17,2025-09-27 12:50:00,ok
STK0178,STR0046,PRD0178,22,12,11,24,6.24,C-17,2025-11-23 19:51:25,ok
STK0179,STR0515,PRD0179,173,9,20,28,6.14,C-14,2025-07-14 09:38:58,ok
STK0180,STR0566,PRD0180,33,18,58,85,8.60,C-09,2024-03-05 19:25:47,low
STK0181,STR0644,PRD0181,168,9,29,69,7.27,C-01,2024-12-27 14:32:32,ok
STK0182,STR0903,PRD0182,147,12,45,69,6.73,B-09,2025-08-08 23:58:44,ok
STK0183,STR0972,PRD0183,99,0,48,114,3.48,A-09,2025-04-02 09:04:18,ok
STK0184,STR0622,PRD0184,135,1,35,52,5.34,F-11,2024-12-16 01:24:39,ok
STK0185,STR0188,PRD0185,175,7,45,54,5.29,C-07,2024-02-04 18:10:00,ok
STK0186,STR0491,PRD0186,4,4,39,52,5.53,A-10,2026-03-29 18:41:23,low
STK0187,STR0713,PRD0187,127,13,43,45,8.97,A-12,2024-04-06 19:48:37,ok
STK0188,STR0528,PRD0188,181,20,58,160,8.32,B-08,2025-03-06 20:57:58,ok
STK0189,STR0829,PRD0189,81,5,14,33,9.15,B-20,2025-01-25 23:29:47,ok
STK0190,STR0356,PRD0190,69,2,58,123,4.54,B-07,2026-02-10 02:41:55,ok
STK0191,STR0574,PRD0191,133,9,16,47,6.86,C-05,2025-06-28 03:06:48,ok
STK0192,STR0025,PRD0192,117,7,29,62,2.67,B-02,2024-11-07 00:31:02,ok
STK0193,STR0610,PRD0193,91,1,53,136,2.71,A-15,2026-03-01 01:06:47,ok
STK0194,STR0439,PRD0194,114,10,38,80,5.88,A-02,2025-05-13 18:09:43,ok
STK0195,STR0195,PRD0195,248,10,57,118,4.96,F-02,2024-12-08 00:11:19,ok
STK0196,STR0402,PRD0196,219,6,38,65,5.50,F-03,2025-02-22 09:39:02,ok
STK0197,STR0186,PRD0197,248,15,26,43,6.66,A-12,2024-05-25 00:59:54,ok
STK0198,STR0851,PRD0198,111,7,57,76,9.45,C-14,2025-10-08 04:01:58,ok
STK0199,STR0726,PRD0199,16,8,51,116,3.21,B-09,2025-01-11 09:17:12,low
STK0200,STR0427,PRD0200,77,10,44,53,5.95,F-17,2024-09-08 22:25:26,ok
STK0201,STR0713,PRD0201,115,11,53,148,3.63,F-16,2024-11-11 15:07:26,ok
STK0202,STR0062,PRD0202,195,2,34,67,3.68,F-01,2024-05-04 15:34:38,ok
STK0203,STR0505,PRD0203,171,2,26,64,8.83,F-10,2024-02-10 04:20:14,ok
STK0204,STR0920,PRD0204,185,1,13,39,5.79,B-11,2025-10-02 20:21:58,ok
STK0205,STR0693,PRD0205,130,6,60,175,8.15,C-20,2025-10-25 01:48:07,ok
STK0206,STR0849,PRD0206,32,16,38,69,4.29,F-16,2026-01-13 17:17:54,low
STK0207,STR0392,PRD0207,84,0,26,34,4.27,B-10,2026-01-02 03:49:53,ok
STK0208,STR0781,PRD0208,31,11,28,35,8.77,B-15,2025-02-27 17:15:36,ok
STK0209,STR0675,PRD0209,224,4,10,27,6.05,B-14,2025-07-07 11:32:06,ok
STK0210,STR0817,PRD0210,208,13,51,94,8.48,B-19,2024-12-12 08:47:08,ok
STK0211,STR0936,PRD0211,170,15,34,80,3.58,F-06,2025-12-07 00:36:38,ok
STK0212,STR0379,PRD0212,194,10,26,69,8.81,C-01,2024-12-30 09:45:19,ok
STK0213,STR0798,PRD0213,78,20,47,112,4.61,B-20,2025-11-28 17:43:59,ok
STK0214,STR0370,PRD0214,158,10,32,62,2.67,F-10,2024-09-20 15:48:25,ok
STK0215,STR0186,PRD0215,175,18,13,21,3.72,F-02,2025-05-30 14:25:42,ok
STK0216,STR0264,PRD0216,226,15,26,51,3.88,C-17,2024-11-08 09:37:10,ok
STK0217,STR0625,PRD0217,169,0,59,67,4.09,F-13,2026-07-31 18:41:54,ok
STK0218,STR0169,PRD0218,213,1,38,72,7.17,B-17,2026-04-19 11:08:11,ok
STK0219,STR0340,PRD0219,231,4,56,166,3.46,F-03,2025-07-02 23:40:58,ok
STK0220,STR0788,PRD0220,176,7,43,77,9.45,C-08,2024-02-08 15:06:57,ok
STK0221,STR0135,PRD0221,210,19,47,135,4.09,F-08,2026-05-03 08:29:25,ok
STK0222,STR0326,PRD0222,79,5,27,78,6.84,C-02,2024-08-30 10:02:22,ok
STK0223,STR0631,PRD0223,229,8,59,163,4.17,A-10,2025-10-21 11:28:20,ok
STK0224,STR0528,PRD0224,134,20,34,39,3.79,F-13,2024-11-06 00:47:41,ok
STK0225,STR0910,PRD0225,229,5,26,57,3.28,B-10,2025-11-13 14:25:27,ok
STK0226,STR0825,PRD0226,119,3,16,38,4.55,F-18,2025-12-09 20:47:03,ok
STK0227,STR0199,PRD0227,122,17,60,70,4.13,C-14,2024-07-09 18:37:55,ok
STK0228,STR0860,PRD0228,226,5,35,43,4.69,F-07,2025-08-10 16:03:41,ok
STK0229,STR0955,PRD0229,121,7,15,38,3.81,F-07,2024-04-08 06:55:01,ok
STK0230,STR0299,PRD0230,5,5,54,81,3.17,A-19,2024-07-01 15:46:59,low
STK0231,STR0408,PRD0231,108,3,36,90,7.53,B-10,2025-09-09 05:28:36,ok
STK0232,STR0633,PRD0232,185,16,44,117,2.70,F-16,2025-09-03 06:47:25,ok
STK0233,STR0177,PRD0233,239,2,57,121,2.60,B-06,2025-04-30 00:57:49,ok
STK0234,STR0476,PRD0234,145,20,50,73,2.64,B-09,2026-02-06 18:58:03,ok
STK0235,STR0415,PRD0235,166,13,45,101,9.09,A-15,2024-06-08 13:28:42,ok
STK0236,STR0402,PRD0236,215,2,38,72,8.90,C-15,2024-08-07 06:44:19,ok
STK0237,STR0342,PRD0237,116,11,44,132,4.46,B-07,2025-05-05 08:45:30,ok
STK0238,STR0155,PRD0238,152,1,42,45,4.91,B-10,2024-04-19 08:34:18,ok
STK0239,STR0229,PRD0239,198,7,38,70,8.21,C-09,2024-07-19 01:40:53,ok
STK0240,STR0293,PRD0240,122,3,58,66,3.25,C-11,2026-03-15 20:29:25,ok
STK0241,STR0191,PRD0241,219,2,21,56,3.79,A-19,2025-06-02 00:21:27,ok
STK0242,STR0087,PRD0242,113,19,15,45,3.86,A-15,2024-02-10 17:43:03,ok
STK0243,STR0446,PRD0243,116,20,40,94,8.91,B-04,2024-11-21 19:56:10,ok
STK0244,STR0100,PRD0244,203,9,35,75,3.33,B-18,2024-11-01 11:54:56,ok
STK0245,STR0198,PRD0245,102,5,28,50,3.39,C-01,2024-12-12 14:27:11,ok
STK0246,STR0985,PRD0246,92,7,25,69,6.06,B-03,2024-02-21 16:43:23,ok
STK0247,STR0103,PRD0247,41,9,31,75,8.24,F-15,2025-05-24 02:17:44,ok
STK0248,STR0788,PRD0248,219,2,48,85,5.60,C-19,2025-11-28 20:04:09,ok
STK0249,STR0483,PRD0249,10,1,24,68,6.45,F-01,2025-07-14 03:46:16,low
STK0250,STR0439,PRD0250,136,4,52,99,7.68,B-06,2024-03-05 04:47:38,ok
STK0251,STR0069,PRD0251,230,6,27,48,4.72,C-12,2025-08-26 14:49:33,ok
STK0252,STR0824,PRD0252,234,12,22,52,5.96,B-14,2026-02-16 21:56:42,ok
STK0253,STR0444,PRD0253,60,20,36,74,6.66,C-10,2026-06-19 15:07:21,ok
STK0254,STR0520,PRD0254,224,0,17,42,2.56,B-05,2025-10-03 03:30:15,ok
STK0255,STR0881,PRD0255,114,6,58,130,6.88,B-01,2025-08-08 23:50:40,ok
STK0256,STR0841,PRD0256,181,0,60,95,3.03,B-19,2025-04-02 20:46:10,ok
STK0257,STR0151,PRD0257,157,4,49,145,8.60,A-03,2024-09-29 01:29:01,ok
STK0258,STR0273,PRD0258,114,6,26,67,4.67,C-02,2025-10-31 15:52:16,ok
STK0259,STR0617,PRD0259,169,17,40,61,8.07,A-19,2026-06-18 19:40:14,ok
STK0260,STR0756,PRD0260,53,15,42,59,3.35,A-04,2024-08-03 08:05:32,ok
STK0261,STR0954,PRD0261,4,4,23,32,6.46,B-19,2026-07-14 21:31:14,low
STK0262,STR0902,PRD0262,213,3,12,23,6.70,A-12,2025-06-27 01:42:05,ok
STK0263,STR0963,PRD0263,76,13,41,51,3.79,F-18,2024-04-04 22:55:03,ok
STK0264,STR0741,PRD0264,160,16,34,38,8.89,B-02,2025-04-27 10:59:56,ok
STK0265,STR0745,PRD0265,247,0,11,21,8.37,C-14,2026-03-20 09:13:04,ok
STK0266,STR0018,PRD0266,20,6,54,69,7.85,C-07,2025-01-08 13:08:11,low
STK0267,STR0427,PRD0267,0,0,32,65,4.32,B-06,2024-06-08 08:07:06,out_of_stock
STK0268,STR0754,PRD0268,225,3,16,38,5.23,C-19,2025-05-31 15:46:21,ok
STK0269,STR0635,PRD0269,161,20,57,139,5.62,B-19,2024-05-07 17:14:56,ok
STK0270,STR0777,PRD0270,174,19,40,53,8.43,F-20,2024-03-14 15:27:08,ok
STK0271,STR0617,PRD0271,221,7,14,26,6.31,C-03,2026-01-31 16:26:15,ok
STK0272,STR0659,PRD0272,106,18,30,38,6.31,A-12,2026-06-10 22:13:54,ok
STK0273,STR0310,PRD0273,138,6,50,150,4.02,F-01,2026-06-04 19:55:51,ok
STK0274,STR0028,PRD0274,227,13,14,40,8.01,A-04,2024-05-07 22:02:50,ok
STK0275,STR0349,PRD0275,228,6,52,146,9.16,F-01,2025-08-21 09:53:19,ok
STK0276,STR0299,PRD0276,53,9,48,94,5.12,B-09,2026-02-05 00:41:33,ok
STK0277,STR0213,PRD0277,32,0,13,31,8.71,F-02,2024-06-30 08:52:42,ok
STK0278,STR0381,PRD0278,50,6,31,82,6.27,A-12,2024-12-08 18:33:28,ok
STK0279,STR0184,PRD0279,203,11,59,114,6.36,B-10,2026-05-21 04:22:51,ok
STK0280,STR0560,PRD0280,189,20,45,133,7.28,A-10,2026-07-15 02:13:05,ok
STK0281,STR0508,PRD0281,11,6,26,43,9.33,C-11,2025-07-07 18:58:37,low
STK0282,STR0100,PRD0282,174,18,35,61,9.05,B-10,2024-02-19 09:44:36,ok
STK0283,STR0864,PRD0283,85,20,58,172,5.14,F-10,2024-06-04 06:39:59,ok
STK0284,STR0083,PRD0284,233,18,50,76,3.40,C-07,2026-05-30 20:04:34,ok
STK0285,STR0101,PRD0285,160,7,10,26,3.30,A-13,2025-09-14 07:08:47,ok
STK0286,STR0510,PRD0286,112,0,53,132,6.18,C-05,2024-04-22 23:11:25,ok
STK0287,STR0520,PRD0287,233,16,31,85,6.80,F-17,2024-03-07 21:16:53,ok
STK0288,STR0268,PRD0288,177,19,22,38,3.37,B-19,2024-01-23 02:19:54,ok
STK0289,STR0034,PRD0289,202,16,42,117,6.84,B-11,2026-04-18 22:18:34,ok
