account_txn_id,order_id,customer_id,store_id,account_type,payment_method,txn_status,amount,currency,auth_code,txn_ts,settlement_date,reference_no
ACC0028,ORD0028,CUS0429,STR0776,receivable,mastercard,captured,32.05,USD,886116,2025-07-22 23:24:54,2025-07-22,REF00000028
ACC0029,ORD0029,CUS0480,STR0910,payable,google_pay,voided,75.89,USD,194679,2024-10-22 05:31:18,2024-10-22,REF00000029
ACC0030,ORD0030,CUS0630,STR0602,revenue,apple_pay,pending,41.60,USD,635531,2025-11-06 01:30:00,2025-11-06,REF00000030
ACC0031,ORD0031,CUS0027,STR0625,cash,visa,pending,23.38,USD,518684,2026-05-22 20:23:59,2026-05-22,REF00000031
ACC0032,ORD0032,CUS0265,STR0671,receivable,visa,captured,36.72,USD,183445,2025-01-11 19:40:41,2025-01-11,REF00000032
ACC0033,ORD0033,CUS0205,STR0445,payable,gift_card,refunded,-80.19,USD,396546,2025-07-24 17:43:31,2025-07-24,REF00000033
ACC0034,ORD0034,CUS0907,STR0847,cogs,apple_pay,pending,12.63,USD,858067,2024-09-26 14:21:55,2024-09-26,REF00000034
ACC0035,ORD0035,CUS0675,STR0188,payable,mastercard,captured,31.59,USD,961535,2024-09-17 03:42:00,2024-09-17,REF00000035
ACC0036,ORD0036,CUS0551,STR0662,cogs,apple_pay,captured,37.55,USD,183440,2026-07-16 14:14:47,2026-07-16,REF00000036
ACC0037,ORD0037,CUS0334,STR0066,payable,google_pay,captured,39.38,USD,912224,2026-01-20 00:09:29,2026-01-20,REF00000037
ACC0038,ORD0038,CUS0408,STR0376,loyalty_liability,visa,captured,51.87,USD,651250,2025-05-04 04:17:34,2025-05-04,REF00000038
ACC0039,ORD0039,CUS0342,STR0447,cash,visa,refunded,-46.72,USD,589565,2024-11-09 21:26:07,2024-11-09,REF00000039
ACC0040,ORD0040,CUS0465,STR0060,loyalty_liability,amex,captured,16.03,USD,320122,2024-11-22 19:55:09,2024-11-22,REF00000040
ACC0041,ORD0041,CUS0230,STR0660,loyalty_liability,gift_card,refunded,-75.22,USD,553154,2026-03-12 15:44:54,2026-03-12,REF00000041
ACC0042,ORD0042,CUS0076,STR0309,cogs,visa,captured,32.85,USD,869414,2025-03-22 13:12:34,2025-03-22,REF00000042
ACC0043,ORD0043,CUS0803,STR0465,revenue,cash,refunded,-56.84,USD,767725,2025-03-24 13:29:49,2025-03-24,REF00000043
ACC0044,ORD0044,CUS0576,STR0710,inventory,apple_pay,captured,43.66,USD,393684,2024-07-16 22:09:30,2024-07-16,REF00000044
ACC0045,ORD0045,CUS0878,STR0197,cogs,amex,captured,96.43,USD,399427,2025-06-14 23:41:46,2025-06-14,REF00000045
ACC0046,ORD0046,CUS0065,STR0502,payable,mastercard,pending,87.03,USD,426346,2024-10-31 07:58:03,2024-10-31,REF00000046
ACC0047,ORD0047,CUS0742,STR0588,cogs,gift_card,voided,100.21,USD,294041,2026-05-28 03:29:56,2026-05-28,REF00000047
ACC0048,ORD0048,CUS0488,STR0799,cogs,amex,captured,10.28,USD,724389,2025-05-13 19:39:20,2025-05-13,REF00000048
ACC0049,ORD0049,CUS0821,STR0219,receivable,visa,captured,79.68,USD,563677,2024-02-01 19:25:02,2024-02-01,REF00000049
ACC0050,ORD0050,CUS0347,STR0985,card_clearing,cash,captured,16.93,USD,299394,2025-07-18 20:05:51,2025-07-18,REF00000050
ACC0051,ORD0051,CUS0140,STR0196,payable,amex,pending,94.48,USD,816909,2024-08-26 11:07:46,2024-08-26,REF00000051
ACC0052,ORD0052,CUS0839,STR0237,inventory,visa,captured,19.38,USD,471815,2024-07-26 00:47:56,2024-07-26,REF00000052
ACC0053,ORD0053,CUS0109,STR0345,card_clearing,mastercard,captured,23.45,USD,560256,2024-02-26 19:10:48,2024-02-26,REF00000053
ACC0054,ORD0054,CUS0564,STR0513,cogs,visa,voided,62.55,USD,574044,2024-02-20 10:01:30,2024-02-20,REF00000054
ACC0055,ORD0055,CUS0214,STR0183,loyalty_liability,google_pay,captured,26.56,USD,810937,2025-10-19 00:02:03,2025-10-19,REF00000055
ACC0056,ORD0056,CUS0346,STR0364,inventory,cash,captured,62.67,USD,666769,2025-02-21 18:30:52,2025-02-21,REF00000056
ACC0057,ORD0057,CUS0723,STR0193,payable,apple_pay,pending,54.51,USD,327094,2024-05-14 18:58:44,2024-05-14,REF00000057
ACC0058,ORD0058,CUS0562,STR0103,card_clearing,amex,captured,40.79,USD,258175,2025-07-04 06:21:09,2025-07-04,REF00000058
ACC0059,ORD0059,CUS0655,STR0797,receivable,visa,captured,9.28,USD,517840,2024-09-08 10:25:53,2024-09-08,REF00000059
ACC0060,ORD0060,CUS0023,STR0693,cogs,visa,captured,61.07,USD,573702,2026-06-25 10:14:03,2026-06-25,REF00000060
ACC0061,ORD0061,CUS0622,STR0081,loyalty_liability,mastercard,captured,13.37,USD,854635,2026-07-20 22:42:19,2026-07-20,REF00000061
ACC0062,ORD0062,CUS0584,STR0586,receivable,apple_pay,captured,71.56,USD,983831,2026-07-31 19:31:53,2026-07-31,REF00000062
ACC0063,ORD0063,CUS0909,STR0917,cash,cash,captured,99.39,USD,171133,2026-06-01 22:18:01,2026-06-01,REF00000063
ACC0064,ORD0064,CUS0178,STR0241,cogs,gift_card,captured,12.06,USD,719334,2024-05-10 00:02:26,2024-05-10,REF00000064
ACC0065,ORD0065,CUS0116,STR0507,inventory,google_pay,refunded,-93.64,USD,581412,2025-05-23 02:36:02,2025-05-23,REF00000065
ACC0066,ORD0066,CUS0208,STR0170,payable,amex,captured,51.00,USD,811870,2026-01-05 21:52:06,2026-01-05,REF00000066
ACC0067,ORD0067,CUS0986,STR0445,revenue,apple_pay,pending,41.38,USD,791552,2026-02-18 13:50:41,2026-02-18,REF00000067
ACC0068,ORD0068,CUS0092,STR0395,card_clearing,amex,pending,65.25,USD,962626,2024-09-08 07:36:57,2024-09-08,REF00000068
ACC0069,ORD0069,CUS0869,STR0773,cash,apple_pay,refunded,-33.48,USD,617383,2024-05-11 04:18:18,2024-05-11,REF00000069
ACC0070,ORD0070,CUS0373,STR0701,revenue,apple_pay,captured,16.02,USD,769279,2025-03-27 02:41:35,2025-03-27,REF00000070
ACC0071,ORD0071,CUS0068,STR0679,cogs,google_pay,captured,102.68,USD,709823,2024-03-11 12:44:08,2024-03-11,REF00000071
ACC0072,ORD0072,CUS0425,STR0043,receivable,apple_pay,refunded,-96.45,USD,849288,2026-05-15 22:50:26,2026-05-15,REF00000072
ACC0073,ORD0073,CUS0623,STR0194,cogs,gift_card,voided,36.86,USD,871732,2025-05-30 16:12:30,2025-05-30,REF00000073
ACC0074,ORD0074,CUS0581,STR0284,cash,google_pay,refunded,-21.16,USD,952661,2025-06-02 06:53:50,2025-06-02,REF00000074
ACC0075,ORD0075,CUS0047,STR0435,card_clearing,cash,pending,72.53,USD,833533,2024-08-04 04:19:34,2024-08-04,REF00000075
ACC0076,ORD0076,CUS0699,STR0280,payable,visa,refunded,-82.26,USD,113813,2024-03-15 12:17:34,2024-03-15,REF00000076
ACC0077,ORD0077,CUS0119,STR0325,card_clearing,cash,voided,78.84,USD,523430,2024-07-12 03:53:55,2024-07-12,REF00000077
ACC0078,ORD0078,CUS0358,STR0015,receivable,visa,captured,68.85,USD,631733,2024-05-03 08:32:19,2024-05-03,REF00000078
ACC0079,ORD0079,CUS0166,STR0994,payable,google_pay,captured,98.25,USD,739155,2026-07-23 14:08:24,2026-07-23,REF00000079
ACC0080,ORD0080,CUS0824,STR0422,revenue,mastercard,captured,38.82,USD,373416,2025-04-16 08:24:37,2025-04-16,REF00000080
ACC0081,ORD0081,CUS0589,STR0758,cogs,gift_card,pending,31.28,USD,399796,2024-10-04 07:43:01,2024-10-04,REF00000081
ACC0082,ORD0082,CUS0260,STR0027,inventory,gift_card,captured,39.32,USD,531140,2026-04-14 07:54:25,2026-04-14,REF00000082
ACC0083,ORD0083,CUS0952,STR0585,cash,google_pay,captured,75.76,USD,251568,2025-09-13 23:12:14,2025-09-13,REF00000083
ACC0084,ORD0084,CUS0583,STR0101,receivable,google_pay,captured,17.43,USD,483219,2026-05-01 18:03:32,2026-05-01,REF00000084
ACC0085,ORD0085,CUS0905,STR0164,cogs,mastercard,pending,84.40,USD,872368,2026-04-14 08:58:00,2026-04-14,REF00000085
ACC0086,ORD0086,CUS0723,STR0016,loyalty_liability,apple_pay,refunded,-42.37,USD,625180,2025-11-07 13:58:21,2025-11-07,REF00000086
ACC0087,ORD0087,CUS0638,STR0080,receivable,gift_card,refunded,-66.59,USD,888560,2024-04-26 12:47:24,2024-04-26,REF00000087
ACC0088,ORD0088,CUS0866,STR0359,inventory,gift_card,captured,62.03,USD,374799,2024-11-12 22:15:58,2024-11-12,REF00000088
ACC0089,ORD0089,CUS0242,STR0479,cash,amex,captured,56.04,USD,107737,2026-01-13 19:25:02,2026-01-13,REF00000089
ACC0090,ORD0090,CUS0142,STR0037,cash,cash,captured,31.27,USD,335364,2024-06-27 18:22:40,2024-06-27,REF00000090
ACC0091,ORD0091,CUS0191,STR0345,cogs,mastercard,captured,38.23,USD,198645,2025-08-17 23:47:11,2025-08-17,REF00000091
ACC0092,ORD0092,CUS0946,STR0103,loyalty_liability,mastercard,captured,47.70,USD,301874,2025-07-08 13:48:23,2025-07-08,REF00000092
ACC0093,ORD0093,CUS0162,STR0145,receivable,google_pay,refunded,-27.26,USD,927268,2025-10-02 17:53:31,2025-10-02,REF00000093
ACC0094,ORD0094,CUS0630,STR0031,cogs,cash,captured,73.78,USD,286770,2024-11-16 21:06:11,2024-11-16,REF00000094
ACC0095,ORD0095,CUS0351,STR0201,cash,google_pay,captured,20.15,USD,661449,2025-08-12 08:13:36,2025-08-12,REF00000095
ACC0096,ORD0096,CUS0337,STR0086,receivable,apple_pay,captured,22.37,USD,920460,2025-04-13 16:02:14,2025-04-13,REF00000096
ACC0097,ORD0097,CUS0903,STR0333,revenue,google_pay,voided,56.83,USD,736405,2024-12-02 09:36:10,2024-12-02,REF00000097
ACC0098,ORD0098,CUS0458,STR0781,inventory,gift_card,pending,65.80,USD,615580,2026-06-01 21:16:34,2026-06-01,REF00000098
ACC0099,ORD0099,CUS0246,STR0657,inventory,visa,refunded,-18.06,USD,345052,2024-12-09 23:10:04,2024-12-09,REF00000099
ACC0100,ORD0100,CUS0397,STR0302,inventory,google_pay,pending,14.63,USD,982436,2024-01-11 10:55:42,2024-01-11,REF00000100
ACC0101,ORD0101,CUS0079,STR0332,cash,cash,captured,35.94,USD,112491,2025-03-12 16:19:47,2025-03-12,REF00000101
ACC0102,ORD0102,CUS0905,STR0970,payable,amex,captured,18.74,USD,964441,2025-12-04 08:07:53,2025-12-04,REF00000102
ACC0103,ORD0103,CUS0022,STR0982,receivable,gift_card,captured,62.45,USD,445991,2024-10-21 19:45:51,2024-10-21,REF00000103
ACC0104,ORD0104,CUS0390,STR0972,cash,amex,captured,31.58,USD,292824,2026-07-29 11:46:07,2026-07-29,REF00000104
ACC0105,ORD0105,CUS0748,STR0076,loyalty_liability,visa,voided,97.87,USD,620106,2024-10-18 14:24:33,2024-10-18,REF00000105
ACC0106,ORD0106,CUS0397,STR0499,card_clearing,google_pay,captured,61.04,USD,276954,2025-10-11 22:50:20,2025-10-11,REF00000106
ACC0107,ORD0107,CUS0645,STR0877,card_clearing,google_pay,captured,61.04,USD,919689,2024-10-16 03:36:18,2024-10-16,REF00000107
ACC0108,ORD0108,CUS0239,STR0212,cogs,gift_card,captured,61.35,USD,660436,2024-12-09 00:30:15,2024-12-09,REF00000108
ACC0109,ORD0109,CUS0097,STR0850,revenue,cash,captured,65.84,USD,663537,2025-12-03 19:28:58,2025-12-03,REF00000109
ACC0110,ORD0110,CUS0618,STR0581,revenue,mastercard,captured,89.34,USD,391251,2025-08-21 02:39:37,2025-08-21,REF00000110
ACC0111,ORD0111,CUS0123,STR0316,card_clearing,visa,refunded,-88.59,USD,687585,2025-12-15 09:22:35,2025-12-15,REF00000111
ACC0112,ORD0112,CUS0290,STR0598,inventory,gift_card,captured,44.04,USD,484008,2025-05-22 04:36:47,2025-05-22,REF00000112
ACC0113,ORD0113,CUS0162,STR0994,card_clearing,cash,pending,42.16,USD,283775,2026-02-18 17:47:26,2026-02-18,REF00000113
ACC0114,ORD0114,CUS0012,STR0580,receivable,gift_card,captured,71.99,USD,822285,2025-08-14 04:56:58,2025-08-14,REF00000114
ACC0115,ORD0115,CUS0902,STR0195,cash,google_pay,refunded,-93.33,USD,790039,2024-09-02 19:33:57,2024-09-02,REF00000115
ACC0116,ORD0116,CUS0344,STR0816,loyalty_liability,visa,captured,8.67,USD,814509,2024-03-08 13:47:52,2024-03-08,REF00000116
ACC0117,ORD0117,CUS0754,STR0767,payable,gift_card,refunded,-16.04,USD,330621,2026-01-20 02:04:12,2026-01-20,REF00000117
ACC0118,ORD0118,CUS0026,STR0852,payable,cash,pending,62.18,USD,100152,2024-08-04 05:19:41,2024-08-04,REF00000118
ACC0119,ORD0119,CUS0894,STR0841,inventory,apple_pay,captured,64.46,USD,788354,2024-05-31 14:02:47,2024-05-31,REF00000119
ACC0120,ORD0120,CUS0157,STR0151,receivable,gift_card,pending,27.14,USD,392972,2024-11-02 08:45:07,2024-11-02,REF00000120
ACC0121,ORD0121,CUS0230,STR0591,card_clearing,cash,refunded,-19.02,USD,527348,2026-04-20 15:48:44,2026-04-20,REF00000121
ACC0122,ORD0122,CUS0510,STR0782,receivable,mastercard,voided,51.36,USD,949106,2025-12-30 19:46:40,2025-12-30,REF00000122
ACC0123,ORD0123,CUS0450,STR0565,loyalty_liability,gift_card,pending,101.38,USD,203383,2025-12-28 00:04:42,2025-12-28,REF00000123
ACC0124,ORD0124,CUS0565,STR0732,payable,mastercard,captured,61.54,USD,634001,2025-03-31 13:40:43,2025-03-31,REF00000124
ACC0125,ORD0125,CUS0107,STR0312,cash,visa,captured,79.78,USD,401440,2025-02-01 14:23:04,2025-02-01,REF00000125
ACC0126,ORD0126,CUS0920,STR0413,card_clearing,cash,voided,44.65,USD,803268,2024-08-29 11:11:56,2024-08-29,REF00000126
ACC0127,ORD0127,CUS0997,STR0865,inventory,google_pay,captured,88.89,USD,164732,2026-05-15 17:48:32,2026-05-15,REF00000127
ACC0128,ORD0128,CUS0450,STR0145,cash,cash,captured,57.06,USD,356599,2024-03-19 13:30:16,2024-03-19,REF00000128
ACC0129,ORD0129,CUS0279,STR0244,cash,visa,captured,102.81,USD,856262,2024-12-05 16:26:35,2024-12-05,REF00000129
ACC0130,ORD0130,CUS0119,STR0773,card_clearing,gift_card,captured,64.31,USD,696732,2024-04-27 13:26:22,2024-04-27,REF00000130
ACC0131,ORD0131,CUS0002,STR0466,inventory,apple_pay,captured,13.63,USD,978031,2025-03-10 14:55:15,2025-03-10,REF00000131
ACC0132,ORD0132,CUS0100,STR0846,loyalty_liability,apple_pay,captured,65.24,USD,295686,2026-07-06 19:02:28,2026-07-06,REF00000132
ACC0133,ORD0133,CUS0288,STR1000,card_clearing,amex,voided,79.78,USD,432340,2025-02-13 23:31:13,2025-02-13,REF00000133
ACC0134,ORD0134,CUS0607,STR0219,cash,cash,voided,34.37,USD,244180,2025-09-26 20:55:46,2025-09-26,REF00000134
ACC0135,ORD0135,CUS0786,STR0339,payable,cash,captured,30.57,USD,511632,2024-06-27 10:49:02,2024-06-27,REF00000135
ACC0136,ORD0136,CUS0922,STR0754,receivable,gift_card,captured,15.13,USD,823964,2025-05-12 15:30:10,2025-05-12,REF00000136
ACC0137,ORD0137,CUS0425,STR0874,inventory,gift_card,captured,20.17,USD,334529,2025-06-04 02:53:02,2025-06-04,REF00000137
ACC0138,ORD0138,CUS0540,STR0359,cash,google_pay,voided,34.71,USD,196292,2024-05-10 07:26:45,2024-05-10,REF00000138
ACC0139,ORD0139,CUS0290,STR0807,cogs,cash,captured,49.13,USD,626810,2025-03-08 06:02:55,2025-03-08,REF00000139
ACC0140,ORD0140,CUS0702,STR0933,loyalty_liability,google_pay,voided,81.75,USD,794522,2024-04-01 12:30:55,2024-04-01,REF00000140
ACC0141,ORD0141,CUS0104,STR0963,payable,gift_card,captured,70.41,USD,937199,2025-06-10 01:44:05,2025-06-10,REF00000141
ACC0142,ORD0142,CUS0938,STR0124,inventory,mastercard,captured,38.61,USD,981500,2024-03-23 22:41:24,2024-03-23,REF00000142
ACC0143,ORD0143,CUS0650,STR0805,loyalty_liability,cash,refunded,-28.00,USD,821086,2026-07-09 01:07:43,2026-07-09,REF00000143
ACC0144,ORD0144,CUS0551,STR0117,cogs,google_pay,captured,40.36,USD,735849,2024-08-06 17:15:35,2024-08-06,REF00000144
ACC0145,ORD0145,CUS0508,STR0837,payable,gift_card,refunded,-22.11,USD,609096,2025-08-17 14:22:41,2025-08-17,REF00000145
ACC0146,ORD0146,CUS0185,STR0475,receivable,amex,captured,59.38,USD,796849,2026-04-01 14:29:18,2026-04-01,REF00000146
ACC0147,ORD0147,CUS0471,STR0982,payable,cash,refunded,-89.07,USD,213272,2024-05-19 13:55:40,2024-05-19,REF00000147
ACC0148,ORD0148,CUS0315,STR0511,card_clearing,mastercard,captured,41.44,USD,867156,2025-11-20 11:34:31,2025-11-20,REF00000148
ACC0149,ORD0149,CUS0782,STR0760,cogs,cash,pending,87.89,USD,154365,2025-02-01 06:16:39,2025-02-01,REF00000149
ACC0150,ORD0150,CUS0530,STR0169,payable,cash,captured,64.60,USD,101291,2024-05-26 22:11:58,2024-05-26,REF00000150
ACC0151,ORD0151,CUS0319,STR0645,cash,mastercard,voided,78.16,USD,954734,2024-05-23 19:19:22,2024-05-23,REF00000151
ACC0152,ORD0152,CUS0476,STR0546,loyalty_liability,cash,pending,75.93,USD,796799,2026-07-03 20:21:36,2026-07-03,REF00000152
ACC0153,ORD0153,CUS0594,STR0955,revenue,mastercard,voided,87.34,USD,252717,2024-01-25 17:20:12,2024-01-25,REF00000153
ACC0154,ORD0154,CUS0738,STR0748,receivable,google_pay,captured,42.54,USD,746085,2024-12-17 12:48:24,2024-12-17,REF00000154
ACC0155,ORD0155,CUS0683,STR0089,cash,apple_pay,captured,27.53,USD,839808,2024-11-04 01:59:52,2024-11-04,REF00000155
ACC0156,ORD0156,CUS0400,STR0073,revenue,amex,captured,64.48,USD,903934,2026-01-10 20:58:31,2026-01-10,REF00000156
ACC0157,ORD0157,CUS0752,STR0275,card_clearing,mastercard,captured,62.17,USD,739527,2025-10-05 02:11:29,2025-10-05,REF00000157
ACC0158,ORD0158,CUS0535,STR0501,inventory,amex,captured,85.01,USD,769083,2024-07-15 19:27:18,2024-07-15,REF00000158
ACC0159,ORD0159,CUS0399,STR0588,receivable,google_pay,captured,29.97,USD,879381,2025-09-03 03:24:17,2025-09-03,REF00000159
ACC0160,ORD0160,CUS0335,STR0379,revenue,google_pay,captured,59.59,USD,467811,2025-11-14 17:53:58,2025-11-14,REF00000160
ACC0161,ORD0161,CUS0585,STR0420,payable,amex,pending,24.90,USD,898909,2024-10-31 20:31:35,2024-10-31,REF00000161
ACC0162,ORD0162,CUS0974,STR0677,payable,amex,pending,88.69,USD,249258,2025-02-27 15:44:26,2025-02-27,REF00000162
ACC0163,ORD0163,CUS0916,STR0640,loyalty_liability,amex,refunded,-17.27,USD,942953,2024-02-14 17:26:48,2024-02-14,REF00000163
ACC0164,ORD0164,CUS0249,STR0838,payable,mastercard,captured,74.35,USD,339369,2025-11-11 13:09:04,2025-11-11,REF00000164
ACC0165,ORD0165,CUS0221,STR0863,cogs,cash,captured,70.40,USD,236944,2025-06-21 13:16:50,2025-06-21,REF00000165
ACC0166,ORD0166,CUS0041,STR0798,card_clearing,mastercard,captured,20.97,USD,780126,2025-07-23 04:24:00,2025-07-23,REF00000166
ACC0167,ORD0167,CUS0398,STR0985,loyalty_liability,google_pay,captured,21.31,USD,909824,2025-06-22 12:58:47,2025-06-22,REF00000167
ACC0168,ORD0168,CUS0098,STR0344,cogs,google_pay,voided,100.12,USD,944971,2025-12-13 09:51:29,2025-12-13,REF00000168
ACC0169,ORD0169,CUS0019,STR0108,card_clearing,cash,pending,63.65,USD,117139,2026-03-22 17:06:07,2026-03-22,REF00000169
ACC0170,ORD0170,CUS0784,STR0377,revenue,amex,refunded,-68.94,USD,674717,2026-06-04 07:08:56,2026-06-04,REF00000170
ACC0171,ORD0171,CUS0893,STR0348,revenue,apple_pay,pending,41.62,USD,967653,2024-08-01 12:58:19,2024-08-01,REF00000171
ACC0172,ORD0172,CUS0356,STR0893,cash,cash,refunded,-60.35,USD,965490,2026-03-08 15:53:36,2026-03-08,REF00000172
ACC0173,ORD0173,CUS0689,STR0779,cash,cash,captured,79.47,USD,669497,2026-03-13 17:40:27,2026-03-13,REF00000173
ACC0174,ORD0174,CUS0165,STR0607,inventory,google_pay,voided,59.53,USD,402948,2026-07-25 22:21:06,2026-07-25,REF00000174
ACC0175,ORD0175,CUS0067,STR0730,receivable,cash,captured,63.90,USD,248399,2025-01-08 20:19:27,2025-01-08,REF00000175
ACC0176,ORD0176,CUS0008,STR0049,revenue,amex,captured,35.42,USD,509125,2025-01-19 11:11:26,2025-01-19,REF00000176
ACC0177,ORD0177,CUS0678,STR0853,loyalty_liability,gift_card,refunded,-12.65,USD,435223,2024-01-26 00:39:18,2024-01-26,REF00000177
ACC0178,ORD0178,CUS0855,STR0361,payable,google_pay,captured,15.04,USD,434774,2025-11-30 13:06:01,2025-11-30,REF00000178
ACC0179,ORD0179,CUS0626,STR0058,cash,gift_card,pending,81.91,USD,274025,2024-08-10 12:11:09,2024-08-10,REF00000179
ACC0180,ORD0180,CUS0620,STR0880,loyalty_liability,mastercard,voided,77.04,USD,643540,2024-04-15 23:13:45,2024-04-15,REF00000180
ACC0181,ORD0181,CUS0535,STR0431,receivable,cash,refunded,-23.90,USD,527265,2025-02-18 16:07:21,2025-02-18,REF00000181
ACC0182,ORD0182,CUS0423,STR0718,inventory,cash,captured,75.92,USD,968895,2024-10-28 11:17:33,2024-10-28,REF00000182
ACC0183,ORD0183,CUS0326,STR0190,cash,google_pay,refunded,-79.20,USD,840795,2026-07-17 20:51:21,2026-07-17,REF00000183
ACC0184,ORD0184,CUS0102,STR0367,payable,amex,refunded,-65.92,USD,396958,2025-02-26 23:15:28,2025-02-26,REF00000184
ACC0185,ORD0185,CUS0688,STR0652,inventory,amex,captured,32.94,USD,795983,2025-02-15 15:47:14,2025-02-15,REF00000185
ACC0186,ORD0186,CUS0843,STR0484,loyalty_liability,google_pay,pending,79.46,USD,742330,2024-02-25 09:33:25,2024-02-25,REF00000186
ACC0187,ORD0187,CUS0330,STR0441,payable,gift_card,pending,83.87,USD,984390,2024-09-10 14:27:29,2024-09-10,REF00000187
ACC0188,ORD0188,CUS0739,STR0550,payable,amex,captured,47.30,USD,278523,2026-04-08 02:27:51,2026-04-08,REF00000188
ACC0189,ORD0189,CUS0232,STR0909,payable,amex,refunded,-30.30,USD,428851,2026-06-10 23:32:41,2026-06-10,REF00000189
ACC0190,ORD0190,CUS0733,STR0083,card_clearing,gift_card,captured,18.19,USD,383763,2025-04-09 12:17:29,2025-04-09,REF00000190
ACC0191,ORD0191,CUS0673,STR0809,card_clearing,mastercard,voided,28.63,USD,301251,2026-04-16 00:40:12,2026-04-16,REF00000191
ACC0192,ORD0192,CUS0783,STR0952,card_clearing,apple_pay,captured,36.25,USD,121933,2024-04-27 02:11:48,2024-04-27,REF00000192
ACC0193,ORD0193,CUS0448,STR0704,cash,apple_pay,voided,91.82,USD,537776,2024-10-31 20:08:04,2024-10-31,REF00000193
ACC0194,ORD0194,CUS0167,STR0494,card_clearing,apple_pay,pending,50.73,USD,319529,2024-12-19 07:55:26,2024-12-19,REF00000194
ACC0195,ORD0195,CUS0327,STR0796,cash,cash,captured,70.37,USD,906092,2025-04-06 06:22:57,2025-04-06,REF00000195
